Vendor,Brand,Product,Article Number,Product Description,Group (DERNI),Category (DERNI),Class (DERNI),GR Qty
503161,"KITCHENAID","5KSM160PSAER",11206481,"KITCHENAID KSM160 EMPIRE RED MIXER","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
503161,"NUTRIBULLE","NB07100-1008DG",11557189,"NUTRIBULLET PRO 1000W BLENDER","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
503239,"KENWOOD","FDM300SS",11356206,"KENWOOD MULTI PRO COMPACT","SMALL APPLIANCES","FOOD PREPARATION","FOOD PROCESSORS",1
503239,"KENWOOD","HBM60307GY",11809908,"KENWOOD TRIBLADE XL PLUS HAND BLENDER","SMALL APPLIANCES","FOOD PREPARATION","STICK MIXERS",1
503606,"KITCHENAID","5KHBBV83ABM",11723961,"KITCHENAID CORDLESS HAND BLENDER BM","SMALL APPLIANCES","FOOD PREPARATION","STICK MIXERS",1
503934,"KENWOOD","KAH740PL",11447789,"KENWOOD SPORTS BLENDER ATTACHMENT","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
504162,"BREVILLE","BBL620SIL/V",11592148,"BREVILLE THE FRESH & FURIOUS BLENDER","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
504162,"BREVILLE","BFP800BAL",11434098,"BREVILLE THE KITCHEN WIZZ 15 PRO","SMALL APPLIANCES","FOOD PREPARATION","FOOD PROCESSORS",1
504162,"KENWOOD","KAX643ME",11116256,"KENWOOD ROTOFOOD CUTTER","SMALL APPLIANCES","FOOD PREPARATION","ACCESSORIES",1
504162,"KENWOOD","MG450",10224025,"KENWOOD\MINCER","SMALL APPLIANCES","FOOD PREPARATION","MINCERS",1
504162,"KITCHENAID","5KSM160PSAPK",11206532,"KITCHENAID KSM160 PINK MIXER","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
504162,"KITCHENAID","5KSM160PSAWH",11206485,"KITCHENAID KSM160 WHITE MIXER","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
504162,"NUTRIBULLE","NB07200-1210DG",11563417,"NUTRIBULLET SELECT 1200W BLENDER","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
504162,"VITAMIX","V063210",11724230,"VITAMIX A2500I HIGH-PERF BLENDER - WHITE","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
504763,"SMEG","SMF02BLAU",11582102,"SMEG 50S STAND MIXER - BLACK","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
504875,"KAMBROOK","KCP150BSS",11538831,"KAMBROOK JUICE EASY CITRUS PRESS","SMALL APPLIANCES","FOOD PREPARATION","JUICER",1
504875,"KITCHENAID","5KSM160PSAER",11206481,"KITCHENAID KSM160 EMPIRE RED MIXER","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
504875,"NUTRIBULLE","NB07200-1210DG",11563417,"NUTRIBULLET SELECT 1200W BLENDER","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
504953,"KENWOOD","FPM810",10065757,"KENWOOD MULTIPRO SENSE FOOD PROC","SMALL APPLIANCES","FOOD PREPARATION","FOOD PROCESSORS",1
504953,"KENWOOD","KVL6100T",11294138,"KENWOOD CHEF SENSE XL - SILVER & WHITE","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
504953,"KITCHENAID","5KSM160PSAWH",11206485,"KITCHENAID KSM160 WHITE MIXER","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
504953,"KITCHENAID","JE",11376073,"KITCHENAID CITRUS JUICER WITH STRAINER","SMALL APPLIANCES","FOOD PREPARATION","ACCESSORIES",1
504953,"KITCHENAID","KFE5T",11218546,"KITCHENAID FLEX EDGE BEATER","SMALL APPLIANCES","FOOD PREPARATION","ACCESSORIES",1
504953,"NINJA","BL480ANZMN",11389436,"NUTRI NINJA AUTO-IQ ONE TOUCH BLENDER","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
504953,"SMEG","SMF02PKAU",11582103,"SMEG 50S STAND MIXER - PINK","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
505076,"KENWOOD","MG450",10224025,"KENWOOD\MINCER","SMALL APPLIANCES","FOOD PREPARATION","MINCERS",1
505148,"BREVILLE","BJE200SIL",11434097,"BREVILLE THE JUICE FOUNTAIN COMPACT","SMALL APPLIANCES","FOOD PREPARATION","JUICER",1
505148,"NINJA","BL682ANZMN",11389439,"BL682 - 15PCE 1500W LIQUIDISER+PROCESSOR","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
505190,"MORPHY RIC","501050",11772351,"MORPHY RICHARDS CLARITY SOUP MAKER","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
505267,"KENWOOD","KVL8300S",11294140,"KENWOOD CHEF TITANIUM XL PRO - SILVER","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
505966,"SUNBEAM","SM9000",10070118,"SUNBEAM PLATINUM STICK MIXER","SMALL APPLIANCES","FOOD PREPARATION","STICK MIXERS",1
506169,"BREVILLE","BFP560SIL",11202716,"BREVILLE THE KITCHEN WIZZ 8","SMALL APPLIANCES","FOOD PREPARATION","FOOD PROCESSORS",1
506169,"KITCHENAID","5KSB4027ACU",11723973,"KITCHENAID K400 BLENDER CONTOUR SILVER","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
506169,"KITCHENAID","5KSMSFTAA",11443067,"KITCHENAID SIFTER / SCALER ATTACHMENT","SMALL APPLIANCES","FOOD PREPARATION","ACCESSORIES",1
506169,"KUVINGS","E8000B",11604242,"PROFESSIONAL COLD PRESS JUICER BLACK","SMALL APPLIANCES","FOOD PREPARATION","JUICER",1
506183,"SUNBEAM","JE7800",10065297,"SUNBEAM DOUBLE SIEVE JUICER","SMALL APPLIANCES","FOOD PREPARATION","JUICER",1
506183,"SUNBEAM","PB9800",10034030,"SUNBEAM BLENDER 2000W 2L SIL","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
506316,"BREVILLE","BJE530DBL",11527447,"BREVILLE JUICE FOUNTAIN COLD PLUS","SMALL APPLIANCES","FOOD PREPARATION","JUICER",1
506316,"KITCHENAID","5KSM175PSAHY",11757457,"KITCHENAID KSM175 HONEY COTY 2021 MIXER","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
506338,"BRAUN","MQ5237BK",11763230,"BRAUN MULTIQUICK 5 HAND BLENDER","SMALL APPLIANCES","FOOD PREPARATION","STICK MIXERS",1
506338,"BREVILLE","BFP820BAL",11372249,"BREVILLE KITCHEN WIZZ PEEL & DICE","SMALL APPLIANCES","FOOD PREPARATION","FOOD PROCESSORS",1
506338,"KITCHENAID","5KSM160PSAVB",11712175,"KITCHENAID KSM160 BLUE VELVET MIXER","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
506338,"NINJA","BL642ANZMN",11389438,"NUTRI NINJA DUO AUTO-IQ BLENDER","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
506338,"NINJA","CB102ANZ",11740511,"NINJA FOODI NUTRI BLEND & POWER MIX SYST","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
506338,"SMEG","HBF02PBAU",11377726,"SMEG BLUE STICK MIXER 700 WATT","SMALL APPLIANCES","FOOD PREPARATION","STICK MIXERS",1
506831,"KITCHENAID","5KSM160PSAIB",11622625,"KITCHENAID KSM160 INK BLUE MIXER","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
507119,"KUVINGS","C7000SV",11256529,"KUVINGS PROFESSIONAL FRUIT JUICER SLV","SMALL APPLIANCES","FOOD PREPARATION","JUICER",1
507119,"KUVINGS","EVO820GY",11518391,"KUVINGS FRUIT/VEG JUICER-GREY MATTE","SMALL APPLIANCES","FOOD PREPARATION","JUICER",1
508032,"KITCHENAID","5KSM175PSAHY",11757457,"KITCHENAID KSM175 HONEY COTY 2021 MIXER","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
508032,"NUTRIBULLE","NBM-0507M",11134172,"NUTRIBULLET DELUXE UPGRADE KIT","SMALL APPLIANCES","FOOD PREPARATION","ACCESSORIES",1
508052,"BREVILLE","BFP560SIL",11202716,"BREVILLE THE KITCHEN WIZZ 8","SMALL APPLIANCES","FOOD PREPARATION","FOOD PROCESSORS",1
508052,"BREVILLE","LEM750SST2JAN1",11760367,"BREVILLE BAKERY CHEF HUB MIXER SEASALT","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
508052,"KITCHENAID","5KHBBV83AER",11723960,"KITCHENAID CORDLESS HAND BLENDER ER","SMALL APPLIANCES","FOOD PREPARATION","STICK MIXERS",1
508397,"TRENT & ST","TS217",11718154,"TRENT & STEELE CITRUS PRESS","SMALL APPLIANCES","FOOD PREPARATION","JUICER",1
508507,"NINJA","CB102ANZ",11740511,"NINJA FOODI NUTRI BLEND & POWER MIX SYST","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
508511,"BREVILLE","BBL405",11089346,"BREVILLE KINETIX TWIST BLENDER","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
508511,"BREVILLE","BJE430SIL",11160841,"BREVILLE JUICE FOUNTAIN COLD HNGX","SMALL APPLIANCES","FOOD PREPARATION","JUICER",1
508511,"SMEG","BLF01PBAU",11148911,"SMEG 50'S STYLE SERIES BLU BLENDER","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
509033,"BREVILLE","LEM750SST2JAN1",11760367,"BREVILLE BAKERY CHEF HUB MIXER SEASALT","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
511123,"TRENT & ST","TS217",11718154,"TRENT & STEELE CITRUS PRESS","SMALL APPLIANCES","FOOD PREPARATION","JUICER",1
511183,"BREVILLE","800CPBSS",11434116,"BREVILLE THE CITRUS PRESS PRO","SMALL APPLIANCES","FOOD PREPARATION","JUICER",1
511183,"BREVILLE","BJE200SIL",11434097,"BREVILLE THE JUICE FOUNTAIN COMPACT","SMALL APPLIANCES","FOOD PREPARATION","JUICER",1
511476,"KITCHENAID","5KSM160PSACU",11206480,"KITCHENAID KSM160 CONTOUR SILVER MIXER","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
511476,"MORPHY RIC","501050",11772351,"MORPHY RICHARDS CLARITY SOUP MAKER","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
511839,"BREVILLE","LEM750ALM2JAN1",11760368,"BREVILLE BAKERY CHEF HUB MIXER ALMOND","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
511839,"KENWOOD","AT956A",10019829,"KENWOOD CHEF ICE CREAM MAKER","SMALL APPLIANCES","FOOD PREPARATION","ACCESSORIES",1
601261,"KENWOOD","KVL4100S",11616863,"KENWOOD CHEF XL - SILVER- 6.7L CAPACITY","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
601261,"KENWOOD","KWL90004SI",11763212,"KENWOOD TITANIUM PATISSIER MIXER","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
601261,"KITCHENAID","5KHM926AOB",11206506,"KITCHENAID KHM926 ONYX BLACK H MIXER","SMALL APPLIANCES","FOOD PREPARATION","HANDHELD MIXERS",1
601261,"KITCHENAID","5KSM2APC",11367287,"KITCHENAID SPIRALIZER PLUS","SMALL APPLIANCES","FOOD PREPARATION","ACCESSORIES",1
601261,"NUTRIBULLE","NBF07500-1210DG",11563410,"NUTRIBULLET BLENDER COMBO 1200W","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
602611,"KITCHENAID","5KHMB732AER",11723966,"KITCHENAID CORDLESS HAND MIXER ER","SMALL APPLIANCES","FOOD PREPARATION","HANDHELD MIXERS",1
602673,"KENWOOD","MG450",10224025,"KENWOOD\MINCER","SMALL APPLIANCES","FOOD PREPARATION","MINCERS",1
603671,"SUNBEAM","SM9000",10070118,"SUNBEAM PLATINUM STICK MIXER","SMALL APPLIANCES","FOOD PREPARATION","STICK MIXERS",1
604268,"KENWOOD","AT501",10147768,"KENWOOD CHEF FLEXI BEATER","SMALL APPLIANCES","FOOD PREPARATION","ACCESSORIES",1
604268,"KENWOOD","AT502",10147769,"KENWOOD MAJOR FLEXI BEATER","SMALL APPLIANCES","FOOD PREPARATION","ACCESSORIES",1
604268,"KENWOOD","AT641",10019826,"KENWOOD CENTRIFUGAL JUICER","SMALL APPLIANCES","FOOD PREPARATION","ACCESSORIES",1
604268,"KENWOOD","KAT621SS",11379015,"KENWOOD S/S BOWL SUITS KVL6100","SMALL APPLIANCES","FOOD PREPARATION","ACCESSORIES",1
604268,"KENWOOD","KAX400PL",11116257,"KENWOOD DICING ATTACHMENT","SMALL APPLIANCES","FOOD PREPARATION","ACCESSORIES",1
604268,"KENWOOD","KAX941PL",11116258,"KENWOOD GRAIN MILL","SMALL APPLIANCES","FOOD PREPARATION","ACCESSORIES",1
604268,"KENWOOD","KAX972ME",11116261,"KENWOOD TAGLIONI PASTA CUTTER","SMALL APPLIANCES","FOOD PREPARATION","ACCESSORIES",1
604268,"KENWOOD","KAX982ME",11415306,"KENWOOD TAGLIOLINI ROLLER MACHINE","SMALL APPLIANCES","FOOD PREPARATION","ACCESSORIES",1
604268,"KENWOOD","MG700",10026055,"KENWOOD MINCER SIL","SMALL APPLIANCES","FOOD PREPARATION","MINCERS",1
604906,"TRENT & ST","TS602",11508200,"T&S CITRUS PRESS S/S","SMALL APPLIANCES","FOOD PREPARATION","JUICER",1
604907,"KITCHENAID","5KSM175PSAHY",11757457,"KITCHENAID KSM175 HONEY COTY 2021 MIXER","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
604907,"SMEG","BLF01CRAU",11148915,"SMEG 50'S STYLE SERIES CRM BLENDER","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
606419,"BRAUN","MQ9187XLI",11763219,"BRAUN MULTIQUICK 9 HAND BLENDER","SMALL APPLIANCES","FOOD PREPARATION","STICK MIXERS",1
606419,"BREVILLE","BJE430SIL",11160841,"BREVILLE JUICE FOUNTAIN COLD HNGX","SMALL APPLIANCES","FOOD PREPARATION","JUICER",1
606419,"KENWOOD","HBM40006WH",11809907,"KENWOOD TRIBLADE XL HAND BLENDER","SMALL APPLIANCES","FOOD PREPARATION","STICK MIXERS",1
606419,"KITCHENAID","5KSB4027APT",11723969,"KITCHENAID K400 BLENDER PISTACHIO","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
606419,"SUNBEAM","SM7200",10070116,"SUNBEAM STICK MIXER","SMALL APPLIANCES","FOOD PREPARATION","STICK MIXERS",1
607526,"KENWOOD","KAH359GL",11495868,"KENWOOD THERMORESIST GLS BLENDER","SMALL APPLIANCES","FOOD PREPARATION","ACCESSORIES",1
607526,"KITCHENAID","KFE5T",11218546,"KITCHENAID FLEX EDGE BEATER","SMALL APPLIANCES","FOOD PREPARATION","ACCESSORIES",1
607983,"SMEG","HBF02BLAU",11377728,"SMEG BLACK STICK MIXER 700 WATT","SMALL APPLIANCES","FOOD PREPARATION","STICK MIXERS",1
607983,"VITAMIX","V066571",11724226,"VITAMIX E310 HIGH-PERF BLENDER - BLK","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
607987,"PHILIPS","HR2375/13",11499647,"PHILIPS PASTA NOODLE MAKER BLACK","SMALL APPLIANCES","FOOD PREPARATION","PASTA & SAUSAGE MAKER",1
608023,"BREVILLE","BBL620SIL/V",11592148,"BREVILLE THE FRESH & FURIOUS BLENDER","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
608023,"KITCHENAID","5KHM926AER",11206475,"KITCHENAID KHM926 EMPIRE RED H MIXER","SMALL APPLIANCES","FOOD PREPARATION","HANDHELD MIXERS",1
608023,"KITCHENAID","5KSM177ACP",11621392,"KITCHENAID KSM177 METALLIC COPPER MIXER","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
608490,"BREVILLE","BJE200SIL",11434097,"BREVILLE THE JUICE FOUNTAIN COMPACT","SMALL APPLIANCES","FOOD PREPARATION","JUICER",1
610035,"BRAUN","MQ5064BKBL",11535802,"BRAUN MQFIT MULTI QUICK 5 HAND BLENDER","SMALL APPLIANCES","FOOD PREPARATION","STICK MIXERS",1
610035,"KENWOOD","FPM810",10065757,"KENWOOD MULTIPRO SENSE FOOD PROC","SMALL APPLIANCES","FOOD PREPARATION","FOOD PROCESSORS",1
610035,"KENWOOD","KCL95004SI",11765471,"KENWOOD COOKING CHEF XL","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
610035,"KITCHENAID","5KHM926ACU",11206474,"KITCHENAID KHM926 CONTOUR SILVER H MIXER","SMALL APPLIANCES","FOOD PREPARATION","HANDHELD MIXERS",1
610042,"KENWOOD","FDP65890SI",11763231,"MULTIPRO EXPRESS+FOOD PROCESSOR","SMALL APPLIANCES","FOOD PREPARATION","FOOD PROCESSORS",1
610042,"SMEG","SMF13WHAU",11582096,"SMEG 50S STAND MIXER-FULL COLOUR WHITE","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
610045,"BREVILLE","800CPBSS",11434116,"BREVILLE THE CITRUS PRESS PRO","SMALL APPLIANCES","FOOD PREPARATION","JUICER",1
610045,"BREVILLE","BFP560SIL",11202716,"BREVILLE THE KITCHEN WIZZ 8","SMALL APPLIANCES","FOOD PREPARATION","FOOD PROCESSORS",1
610045,"KITCHENAID","5KFP0919AOB",11443074,"KITCHENAID 9 CUP FOOD PRO ONYX BLACK","SMALL APPLIANCES","FOOD PREPARATION","FOOD PROCESSORS",1
610045,"KITCHENAID","5KSM160PSAER",11206481,"KITCHENAID KSM160 EMPIRE RED MIXER","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
610106,"BREVILLE","LEM750DBL2JAN1",11760366,"BREVILLE BAKERY CHEF HUB MIXER DAMSON","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
610106,"NINJA","BL450ANZMN",11389435,"NINJA NUTRI NINJA PRO BLENDER","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
610873,"BREVILLE","LEM013GRY0NAN1",11796979,"BREVILLE SPIRALISER CHEF","SMALL APPLIANCES","FOOD PREPARATION","ACCESSORIES",1
610873,"BREVILLE","LEM014GRY0NAN1",11796980,"BREVILLE FOOD PROCESSOR CHEF","SMALL APPLIANCES","FOOD PREPARATION","ACCESSORIES",1
610873,"BREVILLE","LEM750DBL2JAN1",11760366,"BREVILLE BAKERY CHEF HUB MIXER DAMSON","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
615355,"BREVILLE","BJE430SIL",11160841,"BREVILLE JUICE FOUNTAIN COLD HNGX","SMALL APPLIANCES","FOOD PREPARATION","JUICER",1
615355,"SUNBEAM","MXM5000BK",11538675,"SUNBEAM THE MASTER ONE DARK CANYON","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
616720,"BREVILLE","BJE430SIL",11160841,"BREVILLE JUICE FOUNTAIN COLD HNGX","SMALL APPLIANCES","FOOD PREPARATION","JUICER",1
616720,"KENWOOD","KVL4100S",11616863,"KENWOOD CHEF XL - SILVER- 6.7L CAPACITY","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
616720,"NINJA","CB102ANZ",11740511,"NINJA FOODI NUTRI BLEND & POWER MIX SYST","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
616720,"SMEG","HBF02PBAU",11377726,"SMEG BLUE STICK MIXER 700 WATT","SMALL APPLIANCES","FOOD PREPARATION","STICK MIXERS",1
616720,"SMEG","SMF03CRAU",11582098,"SMEG 50S STAND MIXER-FULL COLOUR CREAM","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
616720,"SUNBEAM","MXM5000BK",11538675,"SUNBEAM THE MASTER ONE DARK CANYON","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
616937,"KENWOOD","KCL95004SI",11765471,"KENWOOD COOKING CHEF XL","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
617095,"BREVILLE","BJE410CRO",11434096,"BREVILLE THE JUICE FOUNTAIN MAX","SMALL APPLIANCES","FOOD PREPARATION","JUICER",1
617095,"KENWOOD","FPM910",11018055,"KENWOOD MULTI PRO EXCEL FOOD PROCESSOR","SMALL APPLIANCES","FOOD PREPARATION","FOOD PROCESSORS",1
617095,"KITCHENAID","5KSM160PSAWH",11206485,"KITCHENAID KSM160 WHITE MIXER","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
617095,"MORPHY RIC","501050",11772351,"MORPHY RICHARDS CLARITY SOUP MAKER","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
617394,"MORPHY RIC","501050",11772351,"MORPHY RICHARDS CLARITY SOUP MAKER","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
617395,"SMEG","BLF01CRAU",11148915,"SMEG 50'S STYLE SERIES CRM BLENDER","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
617398,"KENWOOD","KWL90004SI",11763212,"KENWOOD TITANIUM PATISSIER MIXER","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
617398,"SMEG","HBF02BLAU",11377728,"SMEG BLACK STICK MIXER 700 WATT","SMALL APPLIANCES","FOOD PREPARATION","STICK MIXERS",1
617400,"NUTRIBULLE","NBM-0507M",11134172,"NUTRIBULLET DELUXE UPGRADE KIT","SMALL APPLIANCES","FOOD PREPARATION","ACCESSORIES",1
617400,"SUNBEAM","JM6600",10019810,"SUNBEAM MIXMASTER HANDMIXER WHT","SMALL APPLIANCES","FOOD PREPARATION","HANDHELD MIXERS",1
618131,"KENWOOD","FDM300SS",11356206,"KENWOOD MULTI PRO COMPACT","SMALL APPLIANCES","FOOD PREPARATION","FOOD PROCESSORS",1
618131,"KENWOOD","KAX980ME",11415308,"KENWOOD PASTA ROLLER ATTACHMENT","SMALL APPLIANCES","FOOD PREPARATION","ACCESSORIES",1
618131,"KENWOOD","KWL90004SI",11763212,"KENWOOD TITANIUM PATISSIER MIXER","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
618131,"KENWOOD","MG450",10224025,"KENWOOD\MINCER","SMALL APPLIANCES","FOOD PREPARATION","MINCERS",1
618131,"KITCHENAID","5KFP0919AOB",11443074,"KITCHENAID 9 CUP FOOD PRO ONYX BLACK","SMALL APPLIANCES","FOOD PREPARATION","FOOD PROCESSORS",1
618131,"KITCHENAID","5KHMB732AAC",11723968,"KITCHENAID CORDLESS HAND MIXER AC","SMALL APPLIANCES","FOOD PREPARATION","HANDHELD MIXERS",1
618131,"KITCHENAID","5KSM160PSAOB",11206483,"KITCHENAID KSM160 ONYX BLACK MIXER","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
618131,"KITCHENAID","KSMPRA",11206440,"KITCHENAID PASTA ROLLER ATTACHMENT - 3PC","SMALL APPLIANCES","FOOD PREPARATION","ACCESSORIES",1
618131,"SUNBEAM","JM6600",10019810,"SUNBEAM MIXMASTER HANDMIXER WHT","SMALL APPLIANCES","FOOD PREPARATION","HANDHELD MIXERS",1
620094,"BREVILLE","LEM750DBL2JAN1",11760366,"BREVILLE BAKERY CHEF HUB MIXER DAMSON","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
620709,"SUNBEAM","JM7000",11431834,"SUNBEAM MIXMASTER HAND MIXER HEATSOFT","SMALL APPLIANCES","FOOD PREPARATION","HANDHELD MIXERS",1
620776,"SMEG","SMF02RDAU",11582100,"SMEG 50S STAND MIXER - RED","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
620776,"SMEG","SMMG01",11242610,"SMEG MULTI FOOD GRINDER ATTACHMENT","SMALL APPLIANCES","FOOD PREPARATION","ACCESSORIES",1
620776,"SMEG","SMSG01",11281564,"SMEG SLICER GRATER ATTACHMENT","SMALL APPLIANCES","FOOD PREPARATION","ACCESSORIES",1
622132,"KENWOOD","HDP306WH",11116275,"KENWOOD TRI-BLADE - DUAL SPEED","SMALL APPLIANCES","FOOD PREPARATION","STICK MIXERS",1
622132,"SUNBEAM","MXM5000BK",11538675,"SUNBEAM THE MASTER ONE DARK CANYON","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
622140,"KITCHENAID","KSM2CB5PWG",11621563,"KITCHENAID WHITE GARDENIA C/BOWL","SMALL APPLIANCES","FOOD PREPARATION","ACCESSORIES",1
622140,"NUTRIBULLE","NB9-1107AK",11510873,"NUTRIBULLET 900W MEGA PACK BLK","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
622151,"BREVILLE","LEM750SST2JAN1",11760367,"BREVILLE BAKERY CHEF HUB MIXER SEASALT","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
622151,"KITCHENAID","5KSB4027AAC",11723975,"KITCHENAID K400 ALMOND CREAM BLENDER","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
622151,"KITCHENAID","5KSB4027APT",11723969,"KITCHENAID K400 BLENDER PISTACHIO","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
622151,"KITCHENAID","5KSM175PSAHY",11757457,"KITCHENAID KSM175 HONEY COTY 2021 MIXER","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
622151,"KITCHENAID","KFE5T",11218546,"KITCHENAID FLEX EDGE BEATER","SMALL APPLIANCES","FOOD PREPARATION","ACCESSORIES",1
622151,"NINJA","CB102ANZ",11740511,"NINJA FOODI NUTRI BLEND & POWER MIX SYST","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
622151,"SMEG","HBF02PBAU",11377726,"SMEG BLUE STICK MIXER 700 WATT","SMALL APPLIANCES","FOOD PREPARATION","STICK MIXERS",1
623678,"BREVILLE","LEM750DBL2JAN1",11760366,"BREVILLE BAKERY CHEF HUB MIXER DAMSON","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
623919,"KENWOOD","FPM910",11018055,"KENWOOD MULTI PRO EXCEL FOOD PROCESSOR","SMALL APPLIANCES","FOOD PREPARATION","FOOD PROCESSORS",1
626763,"NINJA","CB102ANZ",11740511,"NINJA FOODI NUTRI BLEND & POWER MIX SYST","SMALL APPLIANCES","FOOD PREPARATION","BLENDERS - UPRIGHT",1
626763,"TRENT & ST","TS602",11508200,"T&S CITRUS PRESS S/S","SMALL APPLIANCES","FOOD PREPARATION","JUICER",1
628990,"SUNBEAM","JM7000",11431834,"SUNBEAM MIXMASTER HAND MIXER HEATSOFT","SMALL APPLIANCES","FOOD PREPARATION","HANDHELD MIXERS",1
633230,"KITCHENAID","5KSM160PSAWH",11206485,"KITCHENAID KSM160 WHITE MIXER","SMALL APPLIANCES","FOOD PREPARATION","STAND MIXERS",1
634129,"KENWOOD","FDP646SI",11294137,"KENWOOD MULTI PRO HOME 3L CAPACITY BOWL","SMALL APPLIANCES","FOOD PREPARATION","FOOD PROCESSORS",1
634130,"SUNBEAM","SM9000",10070118,"SUNBEAM PLATINUM STICK MIXER","SMALL APPLIANCES","FOOD PREPARATION","STICK MIXERS",1
