CasualtiesID,CasualtiesNK,Casualties Class,Casualties Type,Age Band,Age Band (groups),Order
268,375678,"Passenger","Car occupant","66 - 75","Old","4"
269,522197,"Passenger","Car occupant","Over 75","Old","4"
270,481573,"Passenger","Car occupant","Data missing or out of range","Data missing or out of range","5"
271,645769,"Passenger","Minibus (8 - 16 passenger seats) occupant","0 - 5","Children","1"
272,714238,"Passenger","Minibus (8 - 16 passenger seats) occupant","6 - 10","Children","1"
273,554232,"Passenger","Minibus (8 - 16 passenger seats) occupant","11 - 15","Children","1"
274,682941,"Passenger","Minibus (8 - 16 passenger seats) occupant","16 - 20","Young adult","2"
280,39353,"Passenger","Minibus (8 - 16 passenger seats) occupant","66 - 75","Old","4"
281,262147,"Passenger","Minibus (8 - 16 passenger seats) occupant","Over 75","Old","4"
282,652175,"Passenger","Minibus (8 - 16 passenger seats) occupant","Data missing or out of range","Data missing or out of range","5"
283,469325,"Passenger","Bus or coach occupant (17 or more pass seats)","0 - 5","Children","1"
284,489990,"Passenger","Bus or coach occupant (17 or more pass seats)","6 - 10","Children","1"
285,420173,"Passenger","Bus or coach occupant (17 or more pass seats)","11 - 15","Children","1"
286,670922,"Passenger","Bus or coach occupant (17 or more pass seats)","16 - 20","Young adult","2"
292,743669,"Passenger","Bus or coach occupant (17 or more pass seats)","66 - 75","Old","4"
293,722906,"Passenger","Bus or coach occupant (17 or more pass seats)","Over 75","Old","4"
294,492152,"Passenger","Bus or coach occupant (17 or more pass seats)","Data missing or out of range","Data missing or out of range","5"
295,380608,"Passenger","Horse rider","0 - 5","Children","1"
296,337405,"Passenger","Horse rider","6 - 10","Children","1"
300,620190,"Passenger","Agricultural vehicle occupant","6 - 10","Children","1"
301,145320,"Passenger","Agricultural vehicle occupant","11 - 15","Children","1"
302,173425,"Passenger","Agricultural vehicle occupant","16 - 20","Young adult","2"
308,687956,"Passenger","Agricultural vehicle occupant","66 - 75","Old","4"
309,261512,"Passenger","Agricultural vehicle occupant","Over 75","Old","4"
310,761179,"Passenger","Agricultural vehicle occupant","Data missing or out of range","Data missing or out of range","5"
311,771392,"Passenger","Tram occupant","11 - 15","Children","1"
312,125725,"Passenger","Tram occupant","16 - 20","Young adult","2"
318,114774,"Passenger","Tram occupant","66 - 75","Old","4"
319,120224,"Passenger","Tram occupant","Over 75","Old","4"
320,465116,"Passenger","Tram occupant","Data missing or out of range","Data missing or out of range","5"
321,14204,"Passenger","Van / Goods vehicle (3.5 tonnes mgw or under) occu","0 - 5","Children","1"
322,82102,"Passenger","Van / Goods vehicle (3.5 tonnes mgw or under) occu","6 - 10","Children","1"
323,230273,"Passenger","Van / Goods vehicle (3.5 tonnes mgw or under) occu","11 - 15","Children","1"
324,53102,"Passenger","Van / Goods vehicle (3.5 tonnes mgw or under) occu","16 - 20","Young adult","2"
330,302587,"Passenger","Van / Goods vehicle (3.5 tonnes mgw or under) occu","66 - 75","Old","4"
331,87699,"Passenger","Van / Goods vehicle (3.5 tonnes mgw or under) occu","Over 75","Old","4"
332,370959,"Passenger","Van / Goods vehicle (3.5 tonnes mgw or under) occu","Data missing or out of range","Data missing or out of range","5"
333,399306,"Passenger","Goods vehicle (over 3.5t. and under 7.5t.) occupan","0 - 5","Children","1"
334,362180,"Passenger","Goods vehicle (over 3.5t. and under 7.5t.) occupan","6 - 10","Children","1"
335,238835,"Passenger","Goods vehicle (over 3.5t. and under 7.5t.) occupan","11 - 15","Children","1"
336,13751,"Passenger","Goods vehicle (over 3.5t. and under 7.5t.) occupan","16 - 20","Young adult","2"
342,168561,"Passenger","Goods vehicle (over 3.5t. and under 7.5t.) occupan","66 - 75","Old","4"
343,12027,"Passenger","Goods vehicle (over 3.5t. and under 7.5t.) occupan","Over 75","Old","4"
344,501399,"Passenger","Goods vehicle (over 3.5t. and under 7.5t.) occupan","Data missing or out of range","Data missing or out of range","5"
345,323947,"Passenger","Goods vehicle (7.5 tonnes mgw and over) occupant","0 - 5","Children","1"
346,284082,"Passenger","Goods vehicle (7.5 tonnes mgw and over) occupant","6 - 10","Children","1"
347,717658,"Passenger","Goods vehicle (7.5 tonnes mgw and over) occupant","11 - 15","Children","1"
348,191760,"Passenger","Goods vehicle (7.5 tonnes mgw and over) occupant","16 - 20","Young adult","2"
354,248867,"Passenger","Goods vehicle (7.5 tonnes mgw and over) occupant","66 - 75","Old","4"
355,632668,"Passenger","Goods vehicle (7.5 tonnes mgw and over) occupant","Over 75","Old","4"
356,543018,"Passenger","Goods vehicle (7.5 tonnes mgw and over) occupant","Data missing or out of range","Data missing or out of range","5"
358,655181,"Passenger","Electric motorcycle rider or passenger","11 - 15","Children","1"
359,564570,"Passenger","Other vehicle occupant","0 - 5","Children","1"
360,711402,"Passenger","Other vehicle occupant","6 - 10","Children","1"
361,376626,"Passenger","Other vehicle occupant","11 - 15","Children","1"
362,663276,"Passenger","Other vehicle occupant","16 - 20","Young adult","2"
368,481883,"Passenger","Other vehicle occupant","66 - 75","Old","4"
369,516400,"Passenger","Other vehicle occupant","Over 75","Old","4"
370,411255,"Passenger","Other vehicle occupant","Data missing or out of range","Data missing or out of range","5"
371,689081,"Passenger","Motorcycle - unknown cc rider or passenger","6 - 10","Children","1"
372,719259,"Passenger","Motorcycle - unknown cc rider or passenger","11 - 15","Children","1"
373,622368,"Passenger","Motorcycle - unknown cc rider or passenger","16 - 20","Young adult","2"
379,759180,"Passenger","Motorcycle - unknown cc rider or passenger","Data missing or out of range","Data missing or out of range","5"
380,766647,"Passenger","Goods vehicle (unknown weight) occupant","16 - 20","Young adult","2"
386,698955,"Passenger","Goods vehicle (unknown weight) occupant","66 - 75","Old","4"
