Date,Holiday
1972-11-23 00:00:00.000,"Thanksgiving Day"
1972-12-25 00:00:00.000,"Christmas Day"
1966-01-01 00:00:00.000,"New Year's Day"
1966-02-22 00:00:00.000,"Presidents' Day"
1966-07-04 00:00:00.000,"Independence Day"
1966-09-05 00:00:00.000,"Labor Day"
1966-10-12 00:00:00.000,"Columbus Day"
1966-11-11 00:00:00.000,"Veterans Day"
1966-11-24 00:00:00.000,"Thanksgiving Day"
1966-12-25 00:00:00.000,"Christmas Day"
