Year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1973,330543,3579780,2059256,2124438,20868728,2495868,3067814,731488,577759,7913696,4910374,851595,2863715,782074,11251367,5338277,2265603,3371024,3788375,5781172,4097974,1045655,9077956,3889332,4782645,2349546,726798,5389852,632675,1529567,800951,7333083,1105529,568991,18177063,10767314,2695931,2241932,11890527,975738,2776605,678715,4147401,12019543,1170040,4901292,468430,3478782,4524244,1806360,354061
1974,341063,3626499,2101403,2223196,21173865,2541406,3074047,717947,581418,8298762,4999419,867978,2867530,807990,11262145,5361890,2269499,3416315,3820109,5773548,4118815,1059040,9117507,3903925,4795930,2378268,736419,5470911,634559,1539191,815914,7332411,1131309,596822,18049775,10765759,2734768,2285013,11870884,950615,2844749,679585,4213509,12268629,1200471,4971069,473002,3549946,4545782,1815447,365501
1975,376170,3678814,2159526,2284847,21537849,2586192,3082500,706871,586589,8518422,5064075,886160,2880847,831982,11291743,5365766,2280578,3467769,3886104,5757756,4139096,1071995,9117668,3932515,4808308,2399449,748208,5547188,638886,1543117,828555,7337765,1159944,619972,18003485,10770425,2774683,2329661,11906095,942788,2902028,681042,4275566,12568843,1236030,5047395,479713,3621339,4578986,1842250,381695
1976,400969,3735139,2170161,2346157,21935909,2632306,3083335,692295,590166,8667379,5132812,904191,2903082,856983,11342853,5389088,2301001,3529257,3950605,5743672,4150539,1088412,9129205,3964680,4839029,2429756,757317,5607964,645797,1550911,845248,7339745,1189295,646975,17940541,10752662,2826815,2378262,11897378,946089,2943657,686390,4346928,12904089,1274928,5121863,484928,3693610,4595904,1879503,396952
1977,403436,3780403,2209010,2425197,22352396,2696140,3085722,677228,591829,8856183,5219697,918259,2913573,883469,11386316,5425638,2320647,3573693,4014459,5738199,4169595,1103578,9171110,3989364,4863173,2459201,769953,5685607,649769,1556842,869763,7337169,1215720,678333,17812602,10771394,2870014,2446673,11893591,950230,2991681,688480,4422921,13193050,1319512,5193112,491931,3776050,4626514,1908088,413354
1978,404766,3831836,2243127,2515316,22835958,2766748,3091627,665052,594776,9102032,5295751,931584,2918069,910690,11412561,5470214,2335657,3609976,4068579,5736469,4183603,1113566,9217761,4015341,4889399,2487816,782317,5759492,651301,1563884,891520,7350804,1238034,719436,17680589,10795581,2917336,2518298,11879396,951816,3044364,688580,4486314,13500429,1367510,5270240,498109,3889073,4646108,1923395,432880
1979,402753,3866248,2271333,2635571,23256880,2849234,3095917,650016,594984,9426159,5401384,953306,2915739,932627,11396837,5501174,2350906,3641804,4137665,5738404,4191160,1122563,9266268,4050316,4912430,2507069,787305,5823491,652896,1567344,909074,7366512,1284722,765367,17583838,10798298,2975310,2588012,11887975,950382,3090267,688335,4560473,13888371,1420238,5307945,505372,4017632,4682811,1942146,454378
1980,405315,3900368,2288738,2737774,23800800,2908803,3113174,638284,594919,9839835,5486174,967710,2914018,947983,11434702,5490721,2369039,3664221,4223101,5746075,4227643,1126860,9255553,4085017,4921966,2525342,788752,5898980,654380,1572296,924250,7376330,1309400,810215,17566754,10800650,3040758,2641218,11868305,948773,3134502,690851,4600252,14338208,1472595,5368334,512524,4154678,4712045,1951349,474185
1981,418491,3918531,2293201,2810107,24285933,2977898,3128836,636893,595975,10192774,5568345,978195,2907983,962204,11443458,5480435,2384849,3670394,4283303,5768685,4261905,1133033,9209287,4111728,4932064,2539036,795328,5956653,659505,1578515,936621,7407472,1332748,847655,17567734,10788330,3096164,2667982,11858567,953013,3179255,689584,4627658,14746318,1515471,5444097,515594,4235731,4726343,1954124,491712
1982,449606,3925266,2294257,2889861,24820009,3061564,3139013,634174,599148,10471407,5649792,993780,2888189,973721,11423412,5467922,2401202,3683445,4352608,5771222,4282923,1136684,9115198,4131450,4929451,2556777,803986,6019101,668972,1581780,947719,7430968,1363823,881537,17589738,10757087,3206123,2664922,11845146,954170,3207614,690597,4646041,15331415,1558314,5492783,519109,4276552,4728870,1949604,506400
1983,488417,3934102,2305761,2968925,25360026,3133630,3162354,632433,605458,10749851,5728250,1012717,2870543,981869,11408818,5450395,2415531,3694484,4395316,5799407,4313327,1144772,9047754,4141456,4943733,2567717,814031,6077056,676688,1584293,958134,7467785,1394361,901977,17686905,10737632,3290402,2653066,11837723,956382,3234066,693008,4659749,15751676,1594943,5564657,523302,4300266,4721438,1945061,510345
1984,513702,3951820,2319768,3067135,25844393,3169992,3180014,633382,611565,11039925,5834954,1027922,2858618,990839,11412132,5458322,2424086,3695453,4400477,5840773,4365243,1155635,9049452,4157706,4975278,2578051,820905,6164006,680497,1588639,976864,7515473,1416717,924922,17745684,10737746,3285533,2666588,11815172,961894,3271868,697249,4686737,16007086,1622342,5643870,526660,4343656,4735563,1927697,504896
1985,532495,3972523,2327046,3183538,26441109,3208723,3201131,634549,618280,11351118,5962661,1039698,2829684,994051,11399806,5459211,2427405,3694826,4408118,5880733,4413071,1162936,9076293,4184302,5000268,2588102,822320,6253954,676980,1584664,996753,7565528,1438361,951030,17791672,10734926,3271332,2672652,11770862,968955,3303209,698402,4715296,16272734,1642910,5715153,530035,4400098,4747767,1906831,499695
1986,544268,3991569,2331984,3308262,27102237,3237450,3223740,638269,627559,11667505,6084666,1051762,2791970,990224,11387257,5454108,2432619,3687809,4406919,5902678,4486957,1170126,9127775,4205212,5023068,2593597,813739,6321578,669512,1574333,1025053,7622159,1462729,980613,17833419,10730268,3252735,2683528,11782752,977341,3342758,696034,4738708,16561113,1662834,5811700,534066,4452720,4755618,1882350,495633
1987,539309,4015264,2342355,3437103,27777158,3260480,3247291,636930,636947,11997283,6208467,1067918,2767011,984997,11391178,5473012,2445367,3683329,4344148,5935204,4565557,1184574,9187481,4235136,5056696,2588545,805063,6403700,661136,1566547,1054289,7670742,1478520,1023376,17868848,10760090,3210122,2700991,11810866,989604,3380506,696036,4782927,16621791,1678119,5932268,540267,4531901,4777919,1857585,476965
1988,541983,4023844,2342656,3535183,28464249,3262281,3271953,630432,647622,12306395,6316142,1079828,2768388,985664,11390183,5491735,2461996,3679999,4288863,5979982,4657904,1203840,9217998,4296166,5081736,2580352,800202,6480594,655331,1571477,1082577,7712333,1490337,1075022,17941309,10798552,3167057,2741297,11845752,996408,3412096,698165,4822437,16667022,1689372,6036909,549763,4639893,4822388,1830215,465101
1989,547159,4030222,2346358,3622185,29218164,3275818,3283403,624168,658273,12637715,6411099,1094588,2770592,994416,11409782,5523693,2472849,3677306,4252894,6015478,4727301,1219961,9253295,4338057,5095830,2574269,799636,6565459,646351,1574864,1104522,7726089,1503901,1137382,17983086,10829217,3150307,2790575,11865996,1000666,3456775,696701,4854444,16806735,1705864,6120246,557707,4746316,4856574,1806568,458374
1990,553120,4048508,2354343,3679056,29950111,3303862,3289056,603814,669063,13018365,6506531,1112703,2779769,1011882,11446979,5555097,2480683,3692584,4219179,6018664,4797431,1231296,9310462,4387283,5126370,2577426,799824,6656987,637364,1580664,1111831,7757158,1519933,1218629,18002855,10861837,3147105,2858547,11895604,1004649,3499064,696667,4890626,17044714,1729722,6213526,564526,4900780,4902265,1792481,453401
1991,569273,4091025,2370666,3762394,30414114,3367567,3288640,593239,680495,13289497,6621279,1131412,2791227,1038915,11535973,5602062,2495209,3714686,4240950,5998652,4856176,1235439,9395022,4427429,5157770,2591230,807837,6748135,634199,1590805,1107055,7784269,1547115,1285046,18029532,10933683,3166471,2918745,11943160,1003990,3559470,701445,4946886,17339904,1771941,6283853,567141,5013443,4952675,1798212,457739
1992,587073,4139269,2394098,3867333,30875920,3459995,3274997,584183,690158,13504775,6759474,1149926,2806923,1066490,11635197,5648649,2526042,3756358,4270849,5993474,4902545,1235748,9470323,4471503,5193686,2610193,822436,6831850,635427,1602406,1112766,7827770,1580750,1330694,18082032,11007609,3204174,2973934,11980819,1000571,3600576,708698,5013999,17650479,1821498,6383315,570115,5139011,5004636,1805462,463491
1993,596993,4193114,2423743,3993390,31147208,3560884,3272325,576358,699475,13713593,6894092,1161508,2820525,1101204,11725984,5701965,2547605,3792288,4284749,6010884,4942504,1238256,9529240,4521709,5237757,2635574,839876,6947412,637229,1612149,1122191,7874891,1614937,1380197,18140894,11070385,3228829,3034490,12022128,997852,3634507,716258,5085666,17996764,1875993,6464795,574004,5247704,5055318,1816179,469033
1994,600624,4232965,2450605,4147561,31317179,3653910,3268346,564982,708416,13961798,7045900,1173903,2829422,1135459,11804986,5745626,2569118,3823215,4306500,6031352,4985411,1237687,9584481,4566028,5281206,2663450,854923,7060959,639762,1621551,1133054,7918796,1653329,1456388,18156652,11111451,3246119,3087142,12042545,993412,3666456,723038,5163016,18338319,1930436,6536771,578900,5334896,5095504,1818490,474982
1995,601345,4262731,2480121,4306908,31493525,3738061,3265293,551273,718265,14185403,7188538,1180490,2840860,1165000,11884935,5791819,2586942,3855248,4327978,6062335,5023650,1237438,9659871,4605445,5324610,2690788,868522,7185403,641548,1635142,1145604,7965523,1682417,1525777,18150928,11155493,3265547,3141421,12044780,989203,3699943,728251,5241168,18679706,1976774,6601392,582827,5431024,5137004,1820560,478447
1996,604918,4290403,2504858,4432308,31780829,3812716,3267030,538273,727090,14426911,7332225,1184434,2848473,1187706,11953003,5834908,2598266,3881051,4338763,6085393,5057142,1241436,9739184,4647723,5367888,2709925,876656,7307658,642858,1647657,1160768,8009624,1706151,1596476,18143805,11187032,3289634,3195087,12038008,987858,3738974,730699,5313576,19006240,2022253,6665491,586352,5509963,5173828,1818983,480085
1997,608846,4320281,2524007,4552207,32217708,3891293,3268514,528752,735024,14683350,7486094,1189322,2854396,1210638,12011509,5872370,2616339,3907816,4351390,6115476,5092914,1245215,9785450,4687726,5407113,2731826,878706,7428672,640945,1656042,1173239,8054178,1722939,1675581,18143184,11212498,3314259,3243254,12015888,986966,3790066,730855,5378433,19355427,2065397,6732878,588665,5604105,5200235,1815588,480031
1998,615205,4351037,2538202,4667277,32682794,3968967,3272563,521426,744066,14908230,7636522,1190472,2861025,1230923,12069774,5907617,2638667,3934310,4362758,6144407,5130072,1247554,9820231,4726411,5437562,2751335,879533,7545828,637808,1660772,1185823,8095542,1733535,1743772,18159175,11237752,3339478,3282055,12002329,987704,3839578,730789,5432679,19712389,2100562,6789225,590579,5687832,5222124,1811688,480045
1999,619500,4369862,2551373,4778332,33145121,4056133,3282031,519000,753538,15111244,7788240,1185497,2869413,1251700,12128370,5942901,2654052,3960825,4372035,6175169,5171634,1253040,9863775,4775508,5468338,2768619,882779,7650789,633666,1666028,1201134,8143412,1739844,1809253,18196601,11256654,3358044,3316154,11994016,990819,3885736,733133,5483535,20044141,2129836,6872912,593740,5756361,5250446,1806928,479602
2000,627963,4452173,2678588,5160586,33987977,4326921,3411777,572046,786373,16047515,8227303,1213519,2929067,1299430,12434161,6091866,2693681,4049021,4471885,6361104,5311034,1277072,9952450,4933692,5607285,2848353,903773,8081614,642023,1713820,1239882,8430621,1821204,2018741,19001780,11363543,3454365,3429708,12284173,1050268,4024223,755844,5703719,20944499,2244502,7105817,609618,5910512,5373999,1807021,494300
2001,633714,4467634,2691571,5273477,34479458,4425687,3432835,574504,795699,16356966,8377038,1225948,2931997,1319962,12488445,6127760,2702162,4068132,4477875,6397634,5374691,1285692,9991120,4982796,5641142,2852994,906961,8210122,639062,1719836,1255517,8492671,1831690,2098399,19082838,11387404,3467100,3467937,12298970,1057142,4064995,757972,5750789,21319622,2283715,7198362,612223,5985722,5406835,1801481,494657
2002,642337,4480089,2705927,5396255,34871843,4490406,3458749,573158,806169,16689370,8508256,1239613,2934234,1340372,12525556,6155967,2713535,4089875,4497267,6417206,5440389,1295960,10015710,5018935,5674825,2858681,911667,8326201,638168,1728292,1269089,8552643,1855309,2173791,19137800,11407889,3489080,3513424,12331031,1065995,4107795,760020,5795918,21690325,2324815,7286873,615442,6052349,5445162,1805414,500017
2003,648414,4503491,2724816,5510364,35253159,4528732,3484336,568502,818003,17004085,8622793,1251154,2941999,1363380,12556006,6196638,2723004,4117170,4521042,6422565,5496269,1306513,10041152,5053572,5709403,2868312,919630,8422501,638817,1738643,1279840,8601402,1877574,2248850,19175939,11434788,3504892,3547376,12374658,1071342,4150297,763729,5847812,22030931,2360137,7366977,617858,6104115,5479203,1812295,503453
2004,659286,4530729,2749686,5652404,35574576,4575013,3496094,567754,830803,17415318,8769252,1273569,2953635,1391802,12589773,6233007,2734373,4146101,4552238,6412281,5546935,1313688,10055315,5087713,5747741,2889010,930009,8553152,644705,1749370,1290121,8634561,1903808,2346222,19171567,11452251,3525233,3569463,12410722,1074579,4210921,770396,5910809,22394023,2401580,7475575,619920,6178645,5514026,1816438,509106
2005,666946,4569805,2781097,5839077,35827943,4631888,3506956,567136,845150,17842038,8925922,1292729,2964454,1428241,12609903,6278616,2745299,4182742,4576628,6403290,5592379,1318787,10051137,5119598,5790300,2905943,940102,8705407,646089,1761497,1298492,8651974,1932274,2432143,19132610,11463320,3548597,3613202,12449990,1067916,4270150,775493,5991057,22778123,2457719,7577105,621215,6257305,5546166,1820492,514157
2006,675302,4628981,2821761,6029141,36021202,4720423,3517460,570681,859268,18166990,9155813,1309731,2982644,1468669,12643955,6332669,2762931,4219239,4302665,6410084,5627367,1323619,10036081,5163555,5842704,2904978,952692,8917270,649422,1772693,1308389,8661679,1962137,2522658,19104631,11481213,3594090,3670883,12510809,1063096,4357847,783033,6088766,23359580,2525507,7673725,622892,6370753,5577655,1827912,522667
2007,680300,4672840,2848650,6167681,36250311,4803868,3527270,574404,871749,18367842,9349988,1315675,2999212,1505105,12695866,6379599,2783785,4256672,4375581,6431559,5653408,1327040,10001284,5207203,5887612,2928350,964706,9118037,652822,1783440,1312540,8677885,1990070,2601072,19132335,11500468,3634349,3722417,12563937,1057315,4444110,791623,6175727,23831983,2597746,7751000,623481,6461587,5610775,1834052,534876
2008,687455,4718206,2874554,6280362,36604337,4889730,3545579,580236,883874,18527305,9504843,1332213,3016734,1534320,12747038,6424806,2808076,4289878,4435586,6468967,5684965,1330509,9946889,5247018,5923916,2947806,976415,9309449,657569,1796378,1315906,8711090,2010662,2653630,19212436,11515391,3668976,3768748,12612285,1055003,4528996,799124,6247411,24309039,2663029,7833496,624151,6562231,5640996,1840310,546043
2009,698895,4757938,2896843,6343154,36961229,4972195,3561807,592228,891730,18652644,9620846,1346717,3032870,1554439,12796778,6459325,2832704,4317074,4491648,6517613,5730388,1329590,9901591,5281203,5961088,2958774,983982,9449566,664968,1812683,1316102,8755602,2036802,2684665,19307066,11528896,3717572,3808600,12666858,1053646,4589872,807067,6306019,24801761,2723421,7925937,624817,6667426,5669264,1847775,559851
2010,713856,4785822,2922297,6411999,37336011,5048575,3579345,605210,899731,18852220,9714464,1363950,3050295,1570639,12840097,6490308,2858949,4349838,4545581,6564073,5788101,1327361,9876498,5310418,5996085,2970811,990575,9559488,674345,1829865,1316517,8803580,2064950,2703493,19400867,11540070,3759481,3837083,12711077,1053078,4636290,816192,6356628,25245717,2774346,8025376,625792,6741911,5689268,1854176,564358
2011,722572,4801695,2938430,6472867,37701901,5119661,3590537,620427,907829,19107900,9813201,1378251,3064904,1583780,12858725,6516560,2869965,4370038,4575972,6612270,5843833,1327930,9875736,5348036,6010544,2978464,997661,9651502,685242,1842232,1318109,8842614,2078407,2718586,19521745,11544757,3786527,3867644,12743995,1052020,4673054,824171,6398389,25657477,2815324,8110188,626450,6822112,5708785,1854982,567631
2012,731081,4817484,2949300,6556236,38062780,5191709,3594362,635040,916881,19355257,9919000,1392766,3075935,1595590,12873763,6537632,2885966,4383465,4604744,6655829,5891819,1328592,9884781,5380615,6025281,2986137,1005163,9748181,701705,1855487,1321297,8876000,2084594,2755245,19607140,11550901,3817059,3898684,12770043,1052637,4722621,834504,6455177,26094422,2855194,8193422,626138,6896325,5724888,1856313,576893
2013,737259,4833996,2958765,6634997,38431393,5272086,3599341,649111,925240,19600311,9994759,1408987,3092341,1612843,12890552,6570713,2895801,4399583,4629284,6708874,5938737,1328702,9898193,5422060,6044917,2992206,1014864,9848917,723857,1868969,1322616,8911502,2086895,2791494,19695680,11572005,3853118,3928068,12781296,1053354,4771929,845510,6497269,26505637,2902787,8270345,626855,6973742,5742953,1853595,583223
2014,736732,4849377,2966369,6731484,38802500,5355866,3596677,658893,935614,19893297,10097343,1419561,3107126,1634464,12880580,6596855,2904021,4413457,4649676,6745408,5976407,1330089,9909877,5457173,6063589,2994079,1023579,9943964,739482,1881503,1326813,8938175,2085572,2839099,19746227,11594163,3878051,3970239,12787209,1055173,4832482,853175,6549352,26956958,2942902,8326289,626562,7061530,5757564,1850326,584153
2015,738432,4858979,2978204,6828065,39144818,5456574,3590886,672228,945934,20271272,10214860,1431603,3123899,1654930,12859995,6619680,2911641,4425092,4670724,6794422,6006401,1329328,9922576,5489594,6083672,2992333,1032949,10042802,756927,1896190,1330608,8958013,2085109,2890845,19795791,11613423,3911338,4028977,12802503,1056298,4896146,858469,6600299,27469114,2995919,8382993,626042,7170351,5771337,1844128,586107
