CRP,ID,Year2,Title,Stage,Type2,Contribution 2,Leader,NextUsers,Geographical scope,Country,Region,link,Index2
"Rice",653,2018,"Array sites established in multiple locations in India, Southeast Asia, Latin America, and Africa","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","Lead Contribution","IRRI","","Global","","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=653&phaseID=189",207
"Wheat",667,2018,"Novel genomic regions and donors for grain zinc content","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","Lead Contribution","IRRI","","Global","","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=667&phaseID=189",208
"Rice",669,2018,"C4 Rice","Stage 1: discovery/proof of concept (PC - end of research phase)","Genetic (varieties and breeds)","Partial Contribution","IRRI","","Global","","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=669&phaseID=189",219
"Rice",671,2018,"Multiline variety for blast resistance","Stage 1: discovery/proof of concept (PC - end of research phase)","Genetic (varieties and breeds)","Partial Contribution","JIRCAS","","Global","","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=671&phaseID=189",220
"A4NH",679,2018,"108 Green Super Rice lines tested and available for release, or just formally released, as varieties in Africa and Asia","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","Partial Contribution","CAAS","","Global","","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=679&phaseID=189",221
"FTA",767,2018,"Why Institutional Environments for Agroforestry Seed Systems Matter","Stage 1: discovery/proof of concept (PC - end of research phase)","Production systems and Management practices","Sole Contribution","ICRAF","","Global","","","https://marlo.cgiar.org/summaries/FTA/projectInnovationSummary.do?innovationID=767&phaseID=61",241
"Rice",844,2019,"Elite lines with Pi9 introgressed","Stage 1: discovery/proof of concept (PC - end of research phase)","Genetic (varieties and breeds)","Sole Contribution","","","Global","","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=844&phaseID=192",246
"CCAFS",643,2018,"How to harness the nutrition co-benefits of climate resilient agriculture","Stage 1: discovery/proof of concept (PC - end of research phase)","Production systems and Management practices","OTHER","BIOVERSITY","","Global","","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=643&phaseID=59",266
"CCAFS",1070,2019,"Resilient seed systems approach and methodology","Stage 3: available/ ready for uptake (AV)","Other","OTHER","BIOVERSITY","","Global","","","https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=1070&phaseID=101",267
"PIM",1187,2019,"Survey-based approaches for measuring gendered freedom of movement","Stage 2: successful piloting (PIL - end of piloting phase)","Social Science","OTHER","IFPRI","","Global","","","https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=1187&phaseID=102",281
"PIM",1189,2019,"Methodological guide for participatory collection of gender indicators in agriculture","Stage 3: available/ ready for uptake (AV)","Social Science","OTHER","CIAT","","Global","","","https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=1189&phaseID=102",282
"PIM",1266,2019,"A land accounting model as a companion to the International Model for Policy Analysis of Agricultural Commodities and Trade (IMPACT)","Stage 1: discovery/proof of concept (PC - end of research phase)","Biophysical Research","OTHER","IFPRI","","Global","","","https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=1266&phaseID=102",283
"PIM",1267,2019,"Model to examine farm household trade-offs and synergies","Stage 1: discovery/proof of concept (PC - end of research phase)","Social Science","OTHER","","","Global","","","https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=1267&phaseID=102",284
"PIM",1421,2019,"Women's land tenure security and poverty reduction: conceptual framework","Stage 3: available/ ready for uptake (AV)","Social Science","OTHER","","","Global","","","https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=1421&phaseID=102",286
"WLE",1508,2019,"A Knowledge brokering framework for integrated landscape management","Stage 1: discovery/proof of concept (PC - end of research phase)","Production systems and Management practices","OTHER","BIOVERSITY","","Global","","","https://marlo.cgiar.org/summaries/WLE/projectInnovationSummary.do?innovationID=1508&phaseID=103",298
"A4NH",1264,2019,"Conceptual framework to identify and analyze food system innovations that can lead to improvements in the choices available to consumers and their diets","Stage 3: available/ ready for uptake (AV)","Social Science","OTHER","IFPRI","","Global","","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=1264&phaseID=104",301
"Livestock",1066,2019,"New barley genotypes identified with superior forage, grain and biomass production after cutting","Stage 1: discovery/proof of concept (PC - end of research phase)","Genetic (varieties and breeds)","OTHER","ICARDA","","Global","","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=1066&phaseID=105",335
"Livestock",1089,2019,"List of top performing Napier grass genotypes identified for broader testing across systems and agroecologies","Stage 1: discovery/proof of concept (PC - end of research phase)","Genetic (varieties and breeds)","OTHER","ILRI","","Global","","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=1089&phaseID=105",341
"Livestock",1176,2019,"Livestock value chain assessment toolkit","Stage 3: available/ ready for uptake (AV)","Social Science","OTHER","ILRI","","Global","","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=1176&phaseID=105",343
"FTA",1518,2019,"New tools for crop wild relative conservation planning","Stage 3: available/ ready for uptake (AV)","Other","OTHER","BIOVERSITY","","Global","","","https://marlo.cgiar.org/summaries/FTA/projectInnovationSummary.do?innovationID=1518&phaseID=106",352
"BigData",1101,2019,"Extension of SDG Interface Ontology with the concepts of  the CGIAR Strategic Research Framework","Stage 1: discovery/proof of concept (PC - end of research phase)","Other","OTHER","BIOVERSITY","","Global","","","https://marlo.cgiar.org/summaries/BigData/projectInnovationSummary.do?innovationID=1101&phaseID=110",363
"BigData",1102,2019,"Socio!: Agricultural Household Survey Ontology","Stage 1: discovery/proof of concept (PC - end of research phase)","Other","OTHER","IFPRI","","Global","","","https://marlo.cgiar.org/summaries/BigData/projectInnovationSummary.do?innovationID=1102&phaseID=110",364
"BigData",1259,2019,"Gap analysis of crop modeling activities within CGIAR and collaborators","Stage 1: discovery/proof of concept (PC - end of research phase)","Other","OTHER","CIMMYT","","Global","","","https://marlo.cgiar.org/summaries/BigData/projectInnovationSummary.do?innovationID=1259&phaseID=110",371
"Rice",1290,2019,"Global rice array antenna and reference panel genotyping data","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","OTHER","IRRI","","Global","","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=1290&phaseID=192",378
"Rice",1291,2019,"Trial data on the antenna and reference panels were obtained, curated, analyzed, and made available for use.","Stage 2: successful piloting (PIL - end of piloting phase)","Genetic (varieties and breeds)","OTHER","IRRI","","Global","","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=1291&phaseID=192",379
"RTB",1365,2019,"Leaf morphology, rather than plant water status, underlies genetic variation of rice leaf rolling under drought","Stage 3: available/ ready for uptake (AV)","Biophysical Research","OTHER","IRRI","","Global","","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=1365&phaseID=192",381
"RTB",1566,2019,"Banana Musa balbisiana B-genome sequence","Stage 1: discovery/proof of concept (PC - end of research phase)","Biophysical Research","OTHER","","","Global","","","https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=1566&phaseID=262",396
"GLDC",1650,2019,"Farming system sustainability assessment","Stage 3: available/ ready for uptake (AV)","Other","OTHER","ICRAF","","Global","","","https://marlo.cgiar.org/summaries/GLDC/projectInnovationSummary.do?innovationID=1650&phaseID=282",420
"GLDC",1655,2019,"Molecular breeding products released in chickpea and groundnut","Stage 3: available/ ready for uptake (AV)","Other","OTHER","ICRISAT","","Global","","","https://marlo.cgiar.org/summaries/GLDC/projectInnovationSummary.do?innovationID=1655&phaseID=282",425
"GLDC",1659,2019,"Markers deployment in breeding programs in groundnut, sorghum and soybean","Stage 3: available/ ready for uptake (AV)","Other","OTHER","ICRISAT","","Global","","","https://marlo.cgiar.org/summaries/GLDC/projectInnovationSummary.do?innovationID=1659&phaseID=282",429
"GLDC",1661,2019,"QC panel developed and initially validated in groundnut and pearl millet","Stage 2: successful piloting (PIL - end of piloting phase)","Other","OTHER","ICRISAT","","Global","","","https://marlo.cgiar.org/summaries/GLDC/projectInnovationSummary.do?innovationID=1661&phaseID=282",431
"BigData",523,2018,"Social learning approaches in Climate Smart Villages (CSV) development and scaling","Stage 2: successful piloting (PIL - end of piloting phase)","Social Science","OTHER","IIRR","","Regional","","","https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=523&phaseID=56",105
"Rice",663,2018,"Application of AMMI model to multi-site data allowed exploration of G x E effects in GWAS.","Stage 1: discovery/proof of concept (PC - end of research phase)","Research and Communication Methodologies and Tools","Sole Contribution","IRRI","","","","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=663&phaseID=189",172
"RTB",906,2018,"Prototype ICT4BXW app","Stage 1: discovery/proof of concept (PC - end of research phase)","Research and Communication Methodologies and Tools","OTHER","WUR","","Regional","","","https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=906&phaseID=259",383
"A4NH",365,2018,"Using data from the Living Standards Measurement Study (LSMS), (non-food consumption data) to assess dietary intake and monitor dietary changes","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","Lead Contribution","","","Multi-national","BD","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=365&phaseID=59",17
"Livestock",241,2018,"CLEANED-R (Comprehensive Livestock Environmental Assessment for Improved Nutrition, a Secured Environment and Sustainable Development along Livestock and Fish Value Chains) tool","Stage 3: available/ ready for uptake (AV)","Production systems and Management practices","Lead Contribution","ILRI","","Multi-national","BF","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=241&phaseID=60",20
"BigData",665,2018,"Business-to-business fora to boost livestock trade in Northern Kenya","Stage 2: successful piloting (PIL - end of piloting phase)","Social Science","Lead Contribution","ILRI","","Sub-national","KE","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=665&phaseID=60",22
"Rice",657,2018,"Hoja blanca disease screening system","Stage 1: discovery/proof of concept (PC - end of research phase)","Research and Communication Methodologies and Tools","Lead Contribution","CIAT","","Multi-national","AR","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=657&phaseID=189",27
"BigData",798,2018,"Sustainable Landscapes Rating Tool (SLRT)","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","Partial Contribution","","","Multi-national","BR","","https://marlo.cgiar.org/summaries/FTA/projectInnovationSummary.do?innovationID=798&phaseID=61",49
"CCAFS",707,2018,"Inspire Challenge Award: Pest and disease monitoring by using artificial intelligence","Stage 1: discovery/proof of concept (PC - end of research phase)","Production systems and Management practices","Partial Contribution","IITA","","Multi-national","KE","","https://marlo.cgiar.org/summaries/BigData/projectInnovationSummary.do?innovationID=707&phaseID=65",54
"PIM",337,2018,"Findings on the effects of combining lump sum cash transfers with technical and farm management advice to increase productivity and link farmers to value chains","Stage 1: discovery/proof of concept (PC - end of research phase)","Social Science","OTHER","IFPRI","","Multi-national","MW","","https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=337&phaseID=57",57
"PIM",367,2018,"Nutrition incentive in dairy contract farming in Northern Senegal","Stage 2: successful piloting (PIL - end of piloting phase)","Social Science","OTHER","IFPRI","","Sub-national","SN","","https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=367&phaseID=57",59
"PIM",381,2018,"Women's Empowerment in Agriculture Index for Value chains (WEAI4VC)","Stage 1: discovery/proof of concept (PC - end of research phase)","Social Science","OTHER","IFPRI","","Multi-national","BD","","https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=381&phaseID=57",60
"A4NH",711,2018,"Video-based agricultural extension - Integration of videos to create awareness among farmers","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","OTHER","Digital Green","","Multi-national","ET","","https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=711&phaseID=57",64
"A4NH",352,2018,"Methodology for identifying diversification options for climate change adaptation","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","OTHER","BIOVERSITY","","Multi-national","GT","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=352&phaseID=59",65
"A4NH",362,2018,"Methodology for profiling indigenous food systems (elements, sustainability and resilience)","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","OTHER","BIOVERSITY","","Multi-national","CM","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=362&phaseID=59",67
"A4NH",368,2018,"Methodology for dietary gap analysis at national level","Stage 1: discovery/proof of concept (PC - end of research phase)","Research and Communication Methodologies and Tools","OTHER","","","Multi-national","BD","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=368&phaseID=59",69
"A4NH",379,2018,"Methdology for stakeholder-led identification of platforms for healthier diets and the role of platforms as mechanisms to support the scaling and anchoring of food system transformations for healthier diets","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","OTHER","","","Multi-national","BD","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=379&phaseID=59",75
"Livestock",792,2018,"Chaya (native plant known as tree spinach) introduced in school feeding programme in Chiquimula, Guatemala","Stage 1: discovery/proof of concept (PC - end of research phase)","Production systems and Management practices","OTHER","BIOVERSITY","","Sub-national","GT","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=792&phaseID=59",79
"RTB",891,2018,"Low-cost and energy-efficient small-scale flash dryer for cassava","Stage 3: available/ ready for uptake (AV)","Production systems and Management practices","OTHER","CIAT","","Multi-national","CO","","https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=891&phaseID=259",86
"RTB",896,2018,"Global information system for in situ conservation of RTB crops","Stage 1: discovery/proof of concept (PC - end of research phase)","Research and Communication Methodologies and Tools","OTHER","BIOVERSITY","","Multi-national","PE","","https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=896&phaseID=259",87
"RTB",913,2018,"Multi-stakeholder framework for intervening in RTB seed systems","Stage 4: uptake by next user (USE)","Social Science","OTHER","CIP","","Multi-national","EC","","https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=913&phaseID=259",92
"RTB",915,2018,"Impact network analysis (INA) to understand and describe RTB seed systems","Stage 4: uptake by next user (USE)","Social Science","OTHER","UF","","Multi-national","EC","","https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=915&phaseID=259",93
"CCAFS",330,2018,"Stakeholders Prioritization Framework of Climate-Smart Agriculture Interventions","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","Sole Contribution","CIMMYT","","Sub-national","IN","","https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=330&phaseID=56",103
"Livestock",451,2018,"Low-infrastructure artificial insemination laboratory ""mobile kit"" (part of reproductive platform to support and scale goat breeding programs in Ethiopia and Tanzania)","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","Sole Contribution","ICARDA","","Multi-national","ET","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=451&phaseID=60",109
"A4NH",777,2018,"Locally adapted planting basin technology to ameliorate impact of drought (low and variable rainfall) on crop yield and tree survival","Stage 3: available/ ready for uptake (AV)","Production systems and Management practices","Sole Contribution","ICRAF","","Multi-national","KE","","https://marlo.cgiar.org/summaries/FTA/projectInnovationSummary.do?innovationID=777&phaseID=61",116
"A4NH",734,2018,"[updated from 2017] Aflasafe MWMZ01 product for Malawi and Mozambique","Stage 2: successful piloting (PIL - end of piloting phase)","Production systems and Management practices","Lead Contribution","","","Multi-national","MW","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=734&phaseID=59",122
"Livestock",785,2018,"Electronic syndromic surveillance of livestock diseases in Marsabit, Kenya","Stage 3: available/ ready for uptake (AV)","Biophysical Research","Lead Contribution","ILRI","","Sub-national","KE","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=785&phaseID=60",136
"Livestock",459,2018,"Definition of cost-effective total mixed rations for dairy cattle in India","Stage 1: discovery/proof of concept (PC - end of research phase)","Production systems and Management practices","Partial Contribution","ILRI","","Sub-national","IN","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=459&phaseID=60",141
"PIM",319,2018,"Community seedbanks as platforms for building socio-ecological resilience","Stage 2: successful piloting (PIL - end of piloting phase)","Production systems and Management practices","OTHER","","","Multi-national","GT","","https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=319&phaseID=57",149
"PIM",321,2018,"Multistakeholder dialogue tool for cross-border integrated landscape management","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","OTHER","ICRAF","","Multi-national","KE","","https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=321&phaseID=57",150
"A4NH",791,2018,"PIM research showing the economic benefits of community forest concessions makes the case for continued community stewardship of 400,000 hectares of tropical forests in Guatemala","Stage 3: available/ ready for uptake (AV)","Social Science","OTHER","BIOVERSITY","","Sub-national","GT","","https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=791&phaseID=57",153
"Rice",893,2018,"High quality cassava peel for animal feed","Stage 3: available/ ready for uptake (AV)","Production systems and Management practices","OTHER","IITA","","Multi-national","NG","","https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=893&phaseID=259",169
"Rice",600,2018,"Alternate wetting and drying (AWD) in Africa","Stage 3: available/ ready for uptake (AV)","Production systems and Management practices","Lead Contribution","AfricaRice","","Multi-national","BF","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=600&phaseID=189",181
"Rice",604,2018,"Weather-rice-nutrient integrated decision support system (WeRise)","Stage 2: successful piloting (PIL - end of piloting phase)","Production systems and Management practices","Lead Contribution","IRRI","","Multi-national","ID","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=604&phaseID=189",183
"Rice",612,2018,"Laser land leveling in Cambodia, Vietnam, Thailand","Stage 3: available/ ready for uptake (AV)","Production systems and Management practices","Lead Contribution","IRRI","","Multi-national","KH","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=612&phaseID=189",191
"Rice",613,2018,"Laser land leveling in Indonesia, Philippines, Myanmar, Sri Lanka","Stage 2: successful piloting (PIL - end of piloting phase)","Production systems and Management practices","Lead Contribution","IRRI","","Multi-national","ID","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=613&phaseID=189",192
"Rice",616,2018,"Semi automatic rice husk furnace","Stage 1: discovery/proof of concept (PC - end of research phase)","Production systems and Management practices","Lead Contribution","IRRI","","Multi-national","KH","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=616&phaseID=189",194
"Rice",648,2018,"Satellite-based rice monitoring system in India and the Philippines","Stage 4: uptake by next user (USE)","Production systems and Management practices","Lead Contribution","IRRI","","Multi-national","IN","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=648&phaseID=189",202
"Rice",649,2018,"satellite-based rice monitoring system in Cambodia and Vietnam","Stage 3: available/ ready for uptake (AV)","Production systems and Management practices","Lead Contribution","IRRI","","Multi-national","KH","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=649&phaseID=189",203
"CCAFS",1223,2019,"Climate-Smart Agriculture Investment Plans","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","OTHER","CIAT","","Multi-national","BD","","https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=1223&phaseID=101",275
"PIM",1359,2019,"Need for policy reforms to encourage women’s participation in irrigation management in Egypt","Stage 3: available/ ready for uptake (AV)","Social Science","OTHER","ICARDA","","Sub-national","EG","","https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=1359&phaseID=102",285
"PIM",1455,2019,"Institutional design guide for multiactor platforms addressing natural resource governance at landscape scale","Stage 2: successful piloting (PIL - end of piloting phase)","Social Science","OTHER","CoRe","","Multi-national","IN","","https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=1455&phaseID=102",287
"PIM",1459,2019,"JAL SUTRA: a mobile application to support facilitation of learning games on water management in India","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","OTHER","ICRISAT","","Sub-national","IN","","https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=1459&phaseID=102",290
"A4NH",380,2019,"Methodology to conduct food system policy analysis","Stage 2: successful piloting (PIL - end of piloting phase)","Social Science","OTHER","WUR","","Multi-national","BD","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=380&phaseID=104",300
"A4NH",1332,2019,"Participatory community-based farm diversification and nutrition education approach to increase farm, market and dietary diversity","Stage 2: successful piloting (PIL - end of piloting phase)","Social Science","OTHER","BIOVERSITY","","Multi-national","ET","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=1332&phaseID=104",304
"Livestock",1064,2019,"Release of Urochloa “Camello Blend (GP 3025 + GP 3207)” in Bolivia, Ecuador and Paraguay","Stage 3: available/ ready for uptake (AV)","Genetic (varieties and breeds)","OTHER","CIAT","","Multi-national","BO","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=1064&phaseID=105",333
"FTA",1473,2019,"A methodology for the landscape assessment of financial flows in Ghana and Indonesia","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","OTHER","TBI","","Multi-national","GH","","https://marlo.cgiar.org/summaries/FTA/projectInnovationSummary.do?innovationID=1473&phaseID=106",348
"FTA",1527,2019,"The role of multi-stakeholder forums in subnational jurisdictions: Methods training manual and tools for in-depth research","Stage 1: discovery/proof of concept (PC - end of research phase)","Social Science","OTHER","CIFOR","","Multi-national","BR","","https://marlo.cgiar.org/summaries/FTA/projectInnovationSummary.do?innovationID=1527&phaseID=106",355
"FTA",1533,2019,"Locally adapted planting basins","Stage 2: successful piloting (PIL - end of piloting phase)","Production systems and Management practices","OTHER","ICRAF","","Multi-national","ET","","https://marlo.cgiar.org/summaries/FTA/projectInnovationSummary.do?innovationID=1533&phaseID=106",359
"RTB",909,2018,"Management practice based on Single Diseased Stem Removal (SDSR) for quick and effective banana recovery in Xanthomonas wilt (XW) affected regions","Stage 4: uptake by next user (USE)","Production systems and Management practices","OTHER","BIOVERSITY","","Multi-national","BI","","https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=909&phaseID=259",384
"CCAFS",274,2018,"Using roof-top rainwater harvesting system (RWHS) to irrigate home-based vegetable gardens in Laos","Stage 1: discovery/proof of concept (PC - end of research phase)","Production systems and Management practices","Lead Contribution","IWMI","","National","LA","","https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=274&phaseID=56",9
"CCAFS",286,2018,"Validation of RUMINANT model of enteric methane emissions","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","Lead Contribution","CIAT","","National","CO","","https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=286&phaseID=56",10
"CCAFS",439,2018,"Investment pathways (Stepwise approach) tailored to specific farmer segments for improving resilience and smart agriculture practices","Stage 2: successful piloting (PIL - end of piloting phase)","Production systems and Management practices","Lead Contribution","IITA","","National","UG","","https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=439&phaseID=56",12
"CCAFS",484,2018,"Analytical approach for predicting potential areas of agroforestry expansion","Stage 3: available/ ready for uptake (AV)","Biophysical Research","Lead Contribution","ICRAF","","National","VN","","https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=484&phaseID=56",13
"CCAFS",507,2018,"Feeding cassava leaves to livestock for reducing methane emissions","Stage 1: discovery/proof of concept (PC - end of research phase)","Production systems and Management practices","Lead Contribution","CIAT","","National","CO","","https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=507&phaseID=56",14
"A4NH",366,2018,"Food system assessment in local settings (transects, food flow in Ethiopia, etc)","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","Lead Contribution","WUR","","National","ET","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=366&phaseID=59",18
"Livestock",376,2018,"Protocol to assess and reduce post-harvest losses in tomato value chain","Stage 2: successful piloting (PIL - end of piloting phase)","Production systems and Management practices","Lead Contribution","","","National","NG","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=376&phaseID=59",19
"CCAFS",419,2018,"Information and Communications Technology (ICT)-based App—“YeZaRe”—for disseminating climate and market information to smallholder farmers developed and is being tested in northern and southern Ethiopian highlands through a public-private partnership","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","Partial Contribution","Echnoserve","","National","ET","","https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=419&phaseID=56",33
"Livestock",457,2018,"New groundnut dual purpose cultivars for India","Stage 1: discovery/proof of concept (PC - end of research phase)","Genetic (varieties and breeds)","Partial Contribution","ILRI","","National","IN","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=457&phaseID=60",43
"Livestock",458,2018,"New maize dual purpose cultivars","Stage 2: successful piloting (PIL - end of piloting phase)","Genetic (varieties and breeds)","Partial Contribution","ILRI","","National","IN","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=458&phaseID=60",44
"Livestock",476,2018,"New rice dual purpose cultivars","Stage 1: discovery/proof of concept (PC - end of research phase)","Genetic (varieties and breeds)","Partial Contribution","ILRI","","National","PH","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=476&phaseID=60",45
"FTA",692,2018,"Module on the implementation of different livestock extension approaches in Tunisia","Stage 2: successful piloting (PIL - end of piloting phase)","Social Science","Partial Contribution","ICARDA","","National","TN","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=692&phaseID=60",48
"BigData",700,2018,"Inspire Challenge Award: Farm.ink: Analysing livestock social media data for farmer chatbot","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","Partial Contribution","ILRI","","National","KE","","https://marlo.cgiar.org/summaries/BigData/projectInnovationSummary.do?innovationID=700&phaseID=65",50
"BigData",704,2018,"Inspire Challenge Award: Seeing is believing – Using smartphone camera data","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","Partial Contribution","IFPRI","","National","IN","","https://marlo.cgiar.org/summaries/BigData/projectInnovationSummary.do?innovationID=704&phaseID=65",51
"BigData",705,2018,"Inspire Challenge Award: Real-time diagnostics for devastating wheat rust","Stage 2: successful piloting (PIL - end of piloting phase)","Production systems and Management practices","Partial Contribution","CIMMYT","","National","ET","","https://marlo.cgiar.org/summaries/BigData/projectInnovationSummary.do?innovationID=705&phaseID=65",52
