Dest,Dest City Name,Dest State Abr,Origin,Origin City Name,Origin State Abr,Route,Passengers
"MLU","Monroe, LA","LA","DFW","Dallas/Fort Worth, TX","TX","DFW-MLU",2080
"SHV","Shreveport, LA","LA","DFW","Dallas/Fort Worth, TX","TX","DFW-SHV",6115
"LAW","Lawton/Fort Sill, OK","OK","DFW","Dallas/Fort Worth, TX","TX","DFW-LAW",3974
"OKC","Oklahoma City, OK","OK","IAH","Houston, TX","TX","IAH-OKC",1888
"UTM","Tunica, MS","MS","IAH","Houston, TX","TX","IAH-UTM",55
"GPT","Gulfport/Biloxi, MS","MS","HOU","Houston, TX","TX","HOU-GPT",121
"MEM","Memphis, TN","TN","HOU","Houston, TX","TX","HOU-MEM",39
"JAN","Jackson/Vicksburg, MS","MS","HOU","Houston, TX","TX","HOU-JAN",5725
"LIT","Little Rock, AR","AR","IAH","Houston, TX","TX","IAH-LIT",38
"LIT","Little Rock, AR","AR","HOU","Houston, TX","TX","HOU-LIT",2421
"MSY","New Orleans, LA","LA","HOU","Houston, TX","TX","HOU-MSY",21979
"MSY","New Orleans, LA","LA","IAH","Houston, TX","TX","IAH-MSY",27313
"OKC","Oklahoma City, OK","OK","IAH","Houston, TX","TX","IAH-OKC",160
"OKC","Oklahoma City, OK","OK","HOU","Houston, TX","TX","HOU-OKC",8906
"TUL","Tulsa, OK","OK","HOU","Houston, TX","TX","HOU-TUL",7776
"OKC","Oklahoma City, OK","OK","IAH","Houston, TX","TX","IAH-OKC",72
"TUL","Tulsa, OK","OK","IAH","Houston, TX","TX","IAH-TUL",1411
"MSY","New Orleans, LA","LA","HOU","Houston, TX","TX","HOU-MSY",113
"OKC","Oklahoma City, OK","OK","HOU","Houston, TX","TX","HOU-OKC",38
"OKC","Oklahoma City, OK","OK","IAH","Houston, TX","TX","IAH-OKC",1888
"PNS","Pensacola, FL","FL","IAH","Houston, TX","TX","IAH-PNS",4280
"MOB","Mobile, AL","AL","IAH","Houston, TX","TX","IAH-MOB",4368
"JAN","Jackson/Vicksburg, MS","MS","IAH","Houston, TX","TX","IAH-JAN",4452
"JAN","Jackson/Vicksburg, MS","MS","IAH","Houston, TX","TX","IAH-JAN",1201
"MEM","Memphis, TN","TN","IAH","Houston, TX","TX","IAH-MEM",6983
"LIT","Little Rock, AR","AR","IAH","Houston, TX","TX","IAH-LIT",3952
"LIT","Little Rock, AR","AR","IAH","Houston, TX","TX","IAH-LIT",2296
"AEX","Alexandria, LA","LA","IAH","Houston, TX","TX","IAH-AEX",1183
"BTR","Baton Rouge, LA","LA","IAH","Houston, TX","TX","IAH-BTR",2890
"LCH","Lake Charles, LA","LA","IAH","Houston, TX","TX","IAH-LCH",2502
"LFT","Lafayette, LA","LA","IAH","Houston, TX","TX","IAH-LFT",3849
"MLU","Monroe, LA","LA","IAH","Houston, TX","TX","IAH-MLU",1187
"MSY","New Orleans, LA","LA","IAH","Houston, TX","TX","IAH-MSY",1621
"SHV","Shreveport, LA","LA","IAH","Houston, TX","TX","IAH-SHV",2206
"AEX","Alexandria, LA","LA","IAH","Houston, TX","TX","IAH-AEX",1950
"BTR","Baton Rouge, LA","LA","IAH","Houston, TX","TX","IAH-BTR",5467
"LFT","Lafayette, LA","LA","IAH","Houston, TX","TX","IAH-LFT",4142
"MLU","Monroe, LA","LA","IAH","Houston, TX","TX","IAH-MLU",79
"MSY","New Orleans, LA","LA","IAH","Houston, TX","TX","IAH-MSY",1494
"SHV","Shreveport, LA","LA","IAH","Houston, TX","TX","IAH-SHV",1868
"OKC","Oklahoma City, OK","OK","IAH","Houston, TX","TX","IAH-OKC",4647
"TUL","Tulsa, OK","OK","IAH","Houston, TX","TX","IAH-TUL",4261
"OKC","Oklahoma City, OK","OK","IAH","Houston, TX","TX","IAH-OKC",3828
"TUL","Tulsa, OK","OK","IAH","Houston, TX","TX","IAH-TUL",4583
"MEM","Memphis, TN","TN","HOU","Houston, TX","TX","HOU-MEM",39
"JAN","Jackson/Vicksburg, MS","MS","HOU","Houston, TX","TX","HOU-JAN",5725
"LIT","Little Rock, AR","AR","IAH","Houston, TX","TX","IAH-LIT",38
"LIT","Little Rock, AR","AR","HOU","Houston, TX","TX","HOU-LIT",2421
"MSY","New Orleans, LA","LA","HOU","Houston, TX","TX","HOU-MSY",21979
"MSY","New Orleans, LA","LA","IAH","Houston, TX","TX","IAH-MSY",27313
"OKC","Oklahoma City, OK","OK","IAH","Houston, TX","TX","IAH-OKC",160
"OKC","Oklahoma City, OK","OK","HOU","Houston, TX","TX","HOU-OKC",8906
"TUL","Tulsa, OK","OK","HOU","Houston, TX","TX","HOU-TUL",7776
"OKC","Oklahoma City, OK","OK","IAH","Houston, TX","TX","IAH-OKC",72
"TUL","Tulsa, OK","OK","IAH","Houston, TX","TX","IAH-TUL",1411
"MSY","New Orleans, LA","LA","HOU","Houston, TX","TX","HOU-MSY",113
"OKC","Oklahoma City, OK","OK","HOU","Houston, TX","TX","HOU-OKC",38
"PNS","Pensacola, FL","FL","IAH","Houston, TX","TX","IAH-PNS",4280
"MOB","Mobile, AL","AL","IAH","Houston, TX","TX","IAH-MOB",4368
"JAN","Jackson/Vicksburg, MS","MS","IAH","Houston, TX","TX","IAH-JAN",4452
"GPT","Gulfport/Biloxi, MS","MS","IAH","Houston, TX","TX","IAH-GPT",4613
"JAN","Jackson/Vicksburg, MS","MS","IAH","Houston, TX","TX","IAH-JAN",1201
"GPT","Gulfport/Biloxi, MS","MS","HOU","Houston, TX","TX","HOU-GPT",101
"MEM","Memphis, TN","TN","IAH","Houston, TX","TX","IAH-MEM",6983
"LIT","Little Rock, AR","AR","IAH","Houston, TX","TX","IAH-LIT",3952
"LIT","Little Rock, AR","AR","IAH","Houston, TX","TX","IAH-LIT",2296
"XNA","Fayetteville, AR","AR","IAH","Houston, TX","TX","IAH-XNA",2616
"AEX","Alexandria, LA","LA","IAH","Houston, TX","TX","IAH-AEX",1183
"BTR","Baton Rouge, LA","LA","IAH","Houston, TX","TX","IAH-BTR",2890
"LCH","Lake Charles, LA","LA","IAH","Houston, TX","TX","IAH-LCH",2502
"LFT","Lafayette, LA","LA","IAH","Houston, TX","TX","IAH-LFT",3849
"MLU","Monroe, LA","LA","IAH","Houston, TX","TX","IAH-MLU",1187
"MSY","New Orleans, LA","LA","IAH","Houston, TX","TX","IAH-MSY",1621
"SHV","Shreveport, LA","LA","IAH","Houston, TX","TX","IAH-SHV",2206
"AEX","Alexandria, LA","LA","IAH","Houston, TX","TX","IAH-AEX",1950
"BTR","Baton Rouge, LA","LA","IAH","Houston, TX","TX","IAH-BTR",5467
"LFT","Lafayette, LA","LA","IAH","Houston, TX","TX","IAH-LFT",4142
"MLU","Monroe, LA","LA","IAH","Houston, TX","TX","IAH-MLU",79
"MSY","New Orleans, LA","LA","IAH","Houston, TX","TX","IAH-MSY",1494
"SHV","Shreveport, LA","LA","IAH","Houston, TX","TX","IAH-SHV",1868
"OKC","Oklahoma City, OK","OK","IAH","Houston, TX","TX","IAH-OKC",4647
"TUL","Tulsa, OK","OK","IAH","Houston, TX","TX","IAH-TUL",4261
"OKC","Oklahoma City, OK","OK","IAH","Houston, TX","TX","IAH-OKC",3828
"TUL","Tulsa, OK","OK","IAH","Houston, TX","TX","IAH-TUL",4583
"AMA","Amarillo, TX","TX","ABI","Abilene, TX","TX","ABI-AMA",50
"ACT","Waco, TX","TX","AUS","Austin, TX","TX","AUS-ACT",133
"LRD","Laredo, TX","TX","HRL","Harlingen/San Benito, TX","TX","HRL-LRD",81
"SAT","San Antonio, TX","TX","ELP","El Paso, TX","TX","ELP-SAT",15
"SAT","San Antonio, TX","TX","HRL","Harlingen/San Benito, TX","TX","HRL-SAT",191
"SAT","San Antonio, TX","TX","LRD","Laredo, TX","TX","LRD-SAT",34
"ACT","Waco, TX","TX","SAT","San Antonio, TX","TX","SAT-ACT",16
"ELP","El Paso, TX","TX","SAT","San Antonio, TX","TX","SAT-ELP",16
"HRL","Harlingen/San Benito, TX","TX","SAT","San Antonio, TX","TX","SAT-HRL",46
"LBB","Lubbock, TX","TX","ACT","Waco, TX","TX","ACT-LBB",49
"LBB","Lubbock, TX","TX","AUS","Austin, TX","TX","AUS-LBB",28
"AUS","Austin, TX","TX","LBB","Lubbock, TX","TX","LBB-AUS",29
"SAT","San Antonio, TX","TX","HRL","Harlingen/San Benito, TX","TX","HRL-SAT",18
"AUS","Austin, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-AUS",46367
"MFE","Mission/McAllen/Edinburg, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-MFE",6454
"SAT","San Antonio, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-SAT",45504
"ELP","El Paso, TX","TX","SAT","San Antonio, TX","TX","SAT-ELP",41
"ABI","Abilene, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-ABI",5487
"ACT","Waco, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-ACT",207
"AMA","Amarillo, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-AMA",5946
"BRO","Brownsville, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-BRO",1280
"CLL","College Station/Bryan, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-CLL",179
"CRP","Corpus Christi, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-CRP",6737
"GGG","Longview, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-GGG",180
"GRK","Killeen, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-GRK",254
"LBB","Lubbock, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-LBB",6511
"LRD","Laredo, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-LRD",3046
"MAF","Midland/Odessa, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-MAF",5183
"MFE","Mission/McAllen/Edinburg, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-MFE",1492
"SJT","San Angelo, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-SJT",170
"SPS","Wichita Falls, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-SPS",66
"TYR","Tyler, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-TYR",2558
"SAT","San Antonio, TX","TX","LRD","Laredo, TX","TX","LRD-SAT",20
"AUS","Austin, TX","TX","AMA","Amarillo, TX","TX","AMA-AUS",116
"DAL","Dallas, TX","TX","AMA","Amarillo, TX","TX","AMA-DAL",9924
"ELP","El Paso, TX","TX","AMA","Amarillo, TX","TX","AMA-ELP",2
"SAT","San Antonio, TX","TX","AMA","Amarillo, TX","TX","AMA-SAT",507
"AMA","Amarillo, TX","TX","AUS","Austin, TX","TX","AUS-AMA",598
"DAL","Dallas, TX","TX","AUS","Austin, TX","TX","AUS-DAL",21883
"HRL","Harlingen/San Benito, TX","TX","AUS","Austin, TX","TX","AUS-HRL",1878
"LBB","Lubbock, TX","TX","AUS","Austin, TX","TX","AUS-LBB",2133
"MAF","Midland/Odessa, TX","TX","AUS","Austin, TX","TX","AUS-MAF",598
"DAL","Dallas, TX","TX","CRP","Corpus Christi, TX","TX","CRP-DAL",1407
"LBB","Lubbock, TX","TX","CRP","Corpus Christi, TX","TX","CRP-LBB",6
"AMA","Amarillo, TX","TX","DAL","Dallas, TX","TX","DAL-AMA",9831
"AUS","Austin, TX","TX","DAL","Dallas, TX","TX","DAL-AUS",21074
"CRP","Corpus Christi, TX","TX","DAL","Dallas, TX","TX","DAL-CRP",1569
"HRL","Harlingen/San Benito, TX","TX","DAL","Dallas, TX","TX","DAL-HRL",1423
"LBB","Lubbock, TX","TX","DAL","Dallas, TX","TX","DAL-LBB",11729
"MAF","Midland/Odessa, TX","TX","DAL","Dallas, TX","TX","DAL-MAF",11005
"SAT","San Antonio, TX","TX","DAL","Dallas, TX","TX","DAL-SAT",23814
"SAT","San Antonio, TX","TX","ELP","El Paso, TX","TX","ELP-SAT",4770
"AUS","Austin, TX","TX","HRL","Harlingen/San Benito, TX","TX","HRL-AUS",1884
"DAL","Dallas, TX","TX","HRL","Harlingen/San Benito, TX","TX","HRL-DAL",1743
"SAT","San Antonio, TX","TX","HRL","Harlingen/San Benito, TX","TX","HRL-SAT",2515
"AUS","Austin, TX","TX","LBB","Lubbock, TX","TX","LBB-AUS",2173
"CRP","Corpus Christi, TX","TX","LBB","Lubbock, TX","TX","LBB-CRP",6
"DAL","Dallas, TX","TX","LBB","Lubbock, TX","TX","LBB-DAL",9816
"ELP","El Paso, TX","TX","LBB","Lubbock, TX","TX","LBB-ELP",86
"AUS","Austin, TX","TX","MAF","Midland/Odessa, TX","TX","MAF-AUS",226
"CRP","Corpus Christi, TX","TX","MAF","Midland/Odessa, TX","TX","MAF-CRP",44
"DAL","Dallas, TX","TX","MAF","Midland/Odessa, TX","TX","MAF-DAL",10456
"ELP","El Paso, TX","TX","MAF","Midland/Odessa, TX","TX","MAF-ELP",1
"HRL","Harlingen/San Benito, TX","TX","MAF","Midland/Odessa, TX","TX","MAF-HRL",2
"SAT","San Antonio, TX","TX","MAF","Midland/Odessa, TX","TX","MAF-SAT",13
"AMA","Amarillo, TX","TX","SAT","San Antonio, TX","TX","SAT-AMA",295
"DAL","Dallas, TX","TX","SAT","San Antonio, TX","TX","SAT-DAL",26070
"ELP","El Paso, TX","TX","SAT","San Antonio, TX","TX","SAT-ELP",4328
"HRL","Harlingen/San Benito, TX","TX","SAT","San Antonio, TX","TX","SAT-HRL",2427
"LBB","Lubbock, TX","TX","SAT","San Antonio, TX","TX","SAT-LBB",60
"MAF","Midland/Odessa, TX","TX","SAT","San Antonio, TX","TX","SAT-MAF",10
"SAT","San Antonio, TX","TX","ELP","El Paso, TX","TX","ELP-SAT",15
"SAT","San Antonio, TX","TX","HRL","Harlingen/San Benito, TX","TX","HRL-SAT",191
"SAT","San Antonio, TX","TX","LRD","Laredo, TX","TX","LRD-SAT",34
"ACT","Waco, TX","TX","SAT","San Antonio, TX","TX","SAT-ACT",16
"ELP","El Paso, TX","TX","SAT","San Antonio, TX","TX","SAT-ELP",16
"HRL","Harlingen/San Benito, TX","TX","SAT","San Antonio, TX","TX","SAT-HRL",46
"LBB","Lubbock, TX","TX","ACT","Waco, TX","TX","ACT-LBB",49
"LBB","Lubbock, TX","TX","AUS","Austin, TX","TX","AUS-LBB",28
"AUS","Austin, TX","TX","LBB","Lubbock, TX","TX","LBB-AUS",29
"SAT","San Antonio, TX","TX","HRL","Harlingen/San Benito, TX","TX","HRL-SAT",18
"TYR","Tyler, TX","TX","CLL","College Station/Bryan, TX","TX","CLL-TYR",1
"SAT","San Antonio, TX","TX","DAL","Dallas, TX","TX","DAL-SAT",4
"MFE","Mission/McAllen/Edinburg, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-MFE",21
"SJT","San Angelo, TX","TX","ABI","Abilene, TX","TX","ABI-SJT",26
"ABI","Abilene, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-ABI",41
"ACT","Waco, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-ACT",3144
"CLL","College Station/Bryan, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-CLL",2759
"GGG","Longview, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-GGG",1083
"GRK","Killeen, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-GRK",7245
"LBB","Lubbock, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-LBB",1421
"SJT","San Angelo, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-SJT",3857
"SPS","Wichita Falls, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-SPS",2089
"TYR","Tyler, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-TYR",693
"AMA","Amarillo, TX","TX","ABI","Abilene, TX","TX","ABI-AMA",50
"ACT","Waco, TX","TX","AUS","Austin, TX","TX","AUS-ACT",133
"LRD","Laredo, TX","TX","HRL","Harlingen/San Benito, TX","TX","HRL-LRD",81
"AUS","Austin, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-AUS",46367
"MFE","Mission/McAllen/Edinburg, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-MFE",6454
"SAT","San Antonio, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-SAT",45504
"ELP","El Paso, TX","TX","SAT","San Antonio, TX","TX","SAT-ELP",41
"ABI","Abilene, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-ABI",5487
"ACT","Waco, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-ACT",207
"AMA","Amarillo, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-AMA",5946
"BRO","Brownsville, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-BRO",1280
"CLL","College Station/Bryan, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-CLL",179
"CRP","Corpus Christi, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-CRP",6737
"GGG","Longview, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-GGG",180
"GRK","Killeen, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-GRK",254
"LBB","Lubbock, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-LBB",6511
"LRD","Laredo, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-LRD",3046
"MAF","Midland/Odessa, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-MAF",5183
"MFE","Mission/McAllen/Edinburg, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-MFE",1492
"SJT","San Angelo, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-SJT",170
"SPS","Wichita Falls, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-SPS",66
"TYR","Tyler, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-TYR",2558
"SAT","San Antonio, TX","TX","LRD","Laredo, TX","TX","LRD-SAT",20
"DAL","Dallas, TX","TX","AFW","Dallas/Fort Worth, TX","TX","AFW-DAL",137
"AUS","Austin, TX","TX","AMA","Amarillo, TX","TX","AMA-AUS",116
"DAL","Dallas, TX","TX","AMA","Amarillo, TX","TX","AMA-DAL",9924
"ELP","El Paso, TX","TX","AMA","Amarillo, TX","TX","AMA-ELP",2
"SAT","San Antonio, TX","TX","AMA","Amarillo, TX","TX","AMA-SAT",507
"AMA","Amarillo, TX","TX","AUS","Austin, TX","TX","AUS-AMA",598
"DAL","Dallas, TX","TX","AUS","Austin, TX","TX","AUS-DAL",21883
"HRL","Harlingen/San Benito, TX","TX","AUS","Austin, TX","TX","AUS-HRL",1878
"LBB","Lubbock, TX","TX","AUS","Austin, TX","TX","AUS-LBB",2133
"MAF","Midland/Odessa, TX","TX","AUS","Austin, TX","TX","AUS-MAF",598
"DAL","Dallas, TX","TX","CRP","Corpus Christi, TX","TX","CRP-DAL",1407
"LBB","Lubbock, TX","TX","CRP","Corpus Christi, TX","TX","CRP-LBB",6
"AMA","Amarillo, TX","TX","DAL","Dallas, TX","TX","DAL-AMA",9831
"AUS","Austin, TX","TX","DAL","Dallas, TX","TX","DAL-AUS",21074
"CRP","Corpus Christi, TX","TX","DAL","Dallas, TX","TX","DAL-CRP",1569
"HRL","Harlingen/San Benito, TX","TX","DAL","Dallas, TX","TX","DAL-HRL",1423
"LBB","Lubbock, TX","TX","DAL","Dallas, TX","TX","DAL-LBB",11729
"MAF","Midland/Odessa, TX","TX","DAL","Dallas, TX","TX","DAL-MAF",11005
"SAT","San Antonio, TX","TX","DAL","Dallas, TX","TX","DAL-SAT",23814
"SAT","San Antonio, TX","TX","ELP","El Paso, TX","TX","ELP-SAT",4770
"AUS","Austin, TX","TX","HRL","Harlingen/San Benito, TX","TX","HRL-AUS",1884
"DAL","Dallas, TX","TX","HRL","Harlingen/San Benito, TX","TX","HRL-DAL",1743
"SAT","San Antonio, TX","TX","HRL","Harlingen/San Benito, TX","TX","HRL-SAT",2515
"AUS","Austin, TX","TX","LBB","Lubbock, TX","TX","LBB-AUS",2173
"CRP","Corpus Christi, TX","TX","LBB","Lubbock, TX","TX","LBB-CRP",6
"DAL","Dallas, TX","TX","LBB","Lubbock, TX","TX","LBB-DAL",9816
"ELP","El Paso, TX","TX","LBB","Lubbock, TX","TX","LBB-ELP",86
"AUS","Austin, TX","TX","MAF","Midland/Odessa, TX","TX","MAF-AUS",226
"CRP","Corpus Christi, TX","TX","MAF","Midland/Odessa, TX","TX","MAF-CRP",44
"DAL","Dallas, TX","TX","MAF","Midland/Odessa, TX","TX","MAF-DAL",10456
"ELP","El Paso, TX","TX","MAF","Midland/Odessa, TX","TX","MAF-ELP",1
"HRL","Harlingen/San Benito, TX","TX","MAF","Midland/Odessa, TX","TX","MAF-HRL",2
"SAT","San Antonio, TX","TX","MAF","Midland/Odessa, TX","TX","MAF-SAT",13
"AMA","Amarillo, TX","TX","SAT","San Antonio, TX","TX","SAT-AMA",295
"DAL","Dallas, TX","TX","SAT","San Antonio, TX","TX","SAT-DAL",26070
"ELP","El Paso, TX","TX","SAT","San Antonio, TX","TX","SAT-ELP",4328
"HRL","Harlingen/San Benito, TX","TX","SAT","San Antonio, TX","TX","SAT-HRL",2427
"LBB","Lubbock, TX","TX","SAT","San Antonio, TX","TX","SAT-LBB",60
"MAF","Midland/Odessa, TX","TX","SAT","San Antonio, TX","TX","SAT-MAF",10
"TYR","Tyler, TX","TX","CLL","College Station/Bryan, TX","TX","CLL-TYR",1
"SAT","San Antonio, TX","TX","DAL","Dallas, TX","TX","DAL-SAT",4
"MFE","Mission/McAllen/Edinburg, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-MFE",21
"VCT","Victoria, TX","TX","TYR","Tyler, TX","TX","TYR-VCT",1
"SJT","San Angelo, TX","TX","ABI","Abilene, TX","TX","ABI-SJT",26
"ABI","Abilene, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-ABI",41
"ACT","Waco, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-ACT",3144
"CLL","College Station/Bryan, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-CLL",2759
"GGG","Longview, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-GGG",1083
"GRK","Killeen, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-GRK",7245
"LBB","Lubbock, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-LBB",1421
"SJT","San Angelo, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-SJT",3857
"SPS","Wichita Falls, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-SPS",2089
"TYR","Tyler, TX","TX","DFW","Dallas/Fort Worth, TX","TX","DFW-TYR",693
"AUS","Austin, TX","TX","IAH","Houston, TX","TX","IAH-AUS",3844
"DAL","Dallas, TX","TX","IAH","Houston, TX","TX","IAH-DAL",2703
"MAF","Midland/Odessa, TX","TX","IAH","Houston, TX","TX","IAH-MAF",988
"AUS","Austin, TX","TX","HOU","Houston, TX","TX","HOU-AUS",10756
"CRP","Corpus Christi, TX","TX","HOU","Houston, TX","TX","HOU-CRP",5648
"DAL","Dallas, TX","TX","HOU","Houston, TX","TX","HOU-DAL",46152
"HRL","Harlingen/San Benito, TX","TX","HOU","Houston, TX","TX","HOU-HRL",10840
"LBB","Lubbock, TX","TX","HOU","Houston, TX","TX","HOU-LBB",1642
"MAF","Midland/Odessa, TX","TX","HOU","Houston, TX","TX","HOU-MAF",5409
"SAT","San Antonio, TX","TX","HOU","Houston, TX","TX","HOU-SAT",10600
"AUS","Austin, TX","TX","IAH","Houston, TX","TX","IAH-AUS",14895
"MFE","Mission/McAllen/Edinburg, TX","TX","IAH","Houston, TX","TX","IAH-MFE",5383
"SAT","San Antonio, TX","TX","IAH","Houston, TX","TX","IAH-SAT",20940
"DAL","Dallas, TX","TX","HOU","Houston, TX","TX","HOU-DAL",32
"ACT","Waco, TX","TX","IAH","Houston, TX","TX","IAH-ACT",1275
"AUS","Austin, TX","TX","IAH","Houston, TX","TX","IAH-AUS",5608
"BPT","Beaumont/Port Arthur, TX","TX","IAH","Houston, TX","TX","IAH-BPT",834
"CLL","College Station/Bryan, TX","TX","IAH","Houston, TX","TX","IAH-CLL",2806
"DAL","Dallas, TX","TX","IAH","Houston, TX","TX","IAH-DAL",3690
"DRT","Del Rio, TX","TX","IAH","Houston, TX","TX","IAH-DRT",678
"GRK","Killeen, TX","TX","IAH","Houston, TX","TX","IAH-GRK",2373
"MAF","Midland/Odessa, TX","TX","IAH","Houston, TX","TX","IAH-MAF",189
"MFE","Mission/McAllen/Edinburg, TX","TX","IAH","Houston, TX","TX","IAH-MFE",5986
"SAT","San Antonio, TX","TX","IAH","Houston, TX","TX","IAH-SAT",4532
"TYR","Tyler, TX","TX","IAH","Houston, TX","TX","IAH-TYR",1664
"AUS","Austin, TX","TX","IAH","Houston, TX","TX","IAH-AUS",468
"BRO","Brownsville, TX","TX","IAH","Houston, TX","TX","IAH-BRO",4545
"CRP","Corpus Christi, TX","TX","IAH","Houston, TX","TX","IAH-CRP",8982
"DAL","Dallas, TX","TX","IAH","Houston, TX","TX","IAH-DAL",1580
"HRL","Harlingen/San Benito, TX","TX","IAH","Houston, TX","TX","IAH-HRL",4993
"LBB","Lubbock, TX","TX","IAH","Houston, TX","TX","IAH-LBB",3050
"LRD","Laredo, TX","TX","IAH","Houston, TX","TX","IAH-LRD",2767
"MAF","Midland/Odessa, TX","TX","IAH","Houston, TX","TX","IAH-MAF",4887
"MFE","Mission/McAllen/Edinburg, TX","TX","IAH","Houston, TX","TX","IAH-MFE",379
"SAT","San Antonio, TX","TX","IAH","Houston, TX","TX","IAH-SAT",1028
"AUS","Austin, TX","TX","IAH","Houston, TX","TX","IAH-AUS",3844
"DAL","Dallas, TX","TX","IAH","Houston, TX","TX","IAH-DAL",2703
"MAF","Midland/Odessa, TX","TX","IAH","Houston, TX","TX","IAH-MAF",988
"AUS","Austin, TX","TX","HOU","Houston, TX","TX","HOU-AUS",10756
"CRP","Corpus Christi, TX","TX","HOU","Houston, TX","TX","HOU-CRP",5648
"DAL","Dallas, TX","TX","HOU","Houston, TX","TX","HOU-DAL",46152
"HRL","Harlingen/San Benito, TX","TX","HOU","Houston, TX","TX","HOU-HRL",10840
"LBB","Lubbock, TX","TX","HOU","Houston, TX","TX","HOU-LBB",1642
"MAF","Midland/Odessa, TX","TX","HOU","Houston, TX","TX","HOU-MAF",5409
"SAT","San Antonio, TX","TX","HOU","Houston, TX","TX","HOU-SAT",10600
"AUS","Austin, TX","TX","IAH","Houston, TX","TX","IAH-AUS",14895
"MFE","Mission/McAllen/Edinburg, TX","TX","IAH","Houston, TX","TX","IAH-MFE",5383
"SAT","San Antonio, TX","TX","IAH","Houston, TX","TX","IAH-SAT",20940
"DAL","Dallas, TX","TX","HOU","Houston, TX","TX","HOU-DAL",32
"ACT","Waco, TX","TX","IAH","Houston, TX","TX","IAH-ACT",1275
"AUS","Austin, TX","TX","IAH","Houston, TX","TX","IAH-AUS",5608
"BPT","Beaumont/Port Arthur, TX","TX","IAH","Houston, TX","TX","IAH-BPT",834
"CLL","College Station/Bryan, TX","TX","IAH","Houston, TX","TX","IAH-CLL",2806
"DAL","Dallas, TX","TX","IAH","Houston, TX","TX","IAH-DAL",3690
"DRT","Del Rio, TX","TX","IAH","Houston, TX","TX","IAH-DRT",678
"GRK","Killeen, TX","TX","IAH","Houston, TX","TX","IAH-GRK",2373
"MAF","Midland/Odessa, TX","TX","IAH","Houston, TX","TX","IAH-MAF",189
