OrderNumber,OrderDate,Ship Date,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Total Unit Cost,Total Revenue,Region City,Region Territory
"SO - 0005607",2016-03-14 00:00:00.000,2016-04-23 00:00:00.000,24,"Wholesale","NZD","GUT930",42,6,8,904.5,750.735,7236,"Cessnock","New South Wales"
"SO - 0005628",2016-03-18 00:00:00.000,2016-05-04 00:00:00.000,42,"Wholesale","NZD","GUT930",47,7,9,3892.7,2257.766,35034.3,"Coffs Harbour","New South Wales"
"SO - 0005640",2016-03-19 00:00:00.000,2016-05-30 00:00:00.000,38,"Wholesale","NZD","GUT930",86,14,5,1125.6,630.336,5628,"Lismore","New South Wales"
"SO - 0005647",2016-03-20 00:00:00.000,2016-05-23 00:00:00.000,2,"Wholesale","NZD","GUT930",1,2,7,2680,1206,18760,"Albury","New South Wales"
"SO - 0005658",2016-03-22 00:00:00.000,2016-05-24 00:00:00.000,10,"Wholesale","NZD","GUT930",10,7,11,3872.6,2517.19,42598.6,"Coffs Harbour","New South Wales"
"SO - 0005661",2016-03-22 00:00:00.000,2016-06-06 00:00:00.000,32,"Wholesale","NZD","GUT930",17,3,7,917.9,715.962,6425.3,"Armidale","New South Wales"
"SO - 0005676",2016-03-24 00:00:00.000,2016-05-11 00:00:00.000,8,"Wholesale","NZD","GUT930",72,2,8,1018.4,682.328,8147.2,"Albury","New South Wales"
"SO - 0005692",2016-03-26 00:00:00.000,2016-06-21 00:00:00.000,32,"Wholesale","NZD","GUT930",74,11,5,3504.1,2417.829,17520.5,"Grafton","New South Wales"
"SO - 0005711",2016-03-29 00:00:00.000,2016-06-16 00:00:00.000,8,"Wholesale","NZD","GUT930",39,7,9,1252.9,751.74,11276.1,"Coffs Harbour","New South Wales"
"SO - 0005731",2016-03-30 00:00:00.000,2016-05-24 00:00:00.000,1,"Wholesale","NZD","GUT930",19,2,7,2874.3,1667.094,20120.1,"Albury","New South Wales"
"SO - 0005744",2016-04-01 00:00:00.000,2016-06-27 00:00:00.000,44,"Wholesale","NZD","GUT930",38,2,8,3155.7,1388.508,25245.6,"Albury","New South Wales"
"SO - 0005754",2016-04-02 00:00:00.000,2016-06-29 00:00:00.000,35,"Wholesale","NZD","GUT930",15,9,6,1058.6,793.95,6351.6,"Gosford","New South Wales"
"SO - 0005767",2016-04-04 00:00:00.000,2016-06-11 00:00:00.000,27,"Wholesale","NZD","GUT930",4,2,9,2901.1,2146.814,26109.9,"Albury","New South Wales"
"SO - 0005773",2016-04-04 00:00:00.000,2016-06-17 00:00:00.000,33,"Wholesale","NZD","GUT930",33,1,12,3939.6,2481.948,47275.2,"Sydney","New South Wales"
"SO - 0005776",2016-04-04 00:00:00.000,2016-06-02 00:00:00.000,37,"Wholesale","NZD","GUT930",23,5,7,1105.5,784.905,7738.5,"Broken Hill","New South Wales"
"SO - 0005785",2016-04-05 00:00:00.000,2016-06-10 00:00:00.000,22,"Wholesale","NZD","GUT930",7,8,9,2351.7,1599.156,21165.3,"Dubbo","New South Wales"
"SO - 0005792",2016-04-06 00:00:00.000,2016-06-08 00:00:00.000,24,"Wholesale","NZD","GUT930",32,5,7,221.1,161.403,1547.7,"Broken Hill","New South Wales"
"SO - 0005804",2016-04-07 00:00:00.000,2016-07-04 00:00:00.000,43,"Wholesale","NZD","GUT930",32,11,6,2646.5,1243.855,15879,"Grafton","New South Wales"
"SO - 0005815",2016-04-08 00:00:00.000,2016-06-10 00:00:00.000,14,"Wholesale","NZD","GUT930",16,1,6,1849.2,1423.884,11095.2,"Sydney","New South Wales"
"SO - 0005822",2016-04-09 00:00:00.000,2016-07-02 00:00:00.000,30,"Wholesale","NZD","GUT930",57,1,9,1045.2,888.42,9406.8,"Sydney","New South Wales"
"SO - 0005842",2016-04-12 00:00:00.000,2016-06-29 00:00:00.000,17,"Wholesale","NZD","GUT930",13,13,6,254.6,155.306,1527.6,"Lake Macquarie","New South Wales"
"SO - 0005875",2016-04-16 00:00:00.000,2016-06-22 00:00:00.000,6,"Wholesale","NZD","GUT930",18,1,5,2378.5,1902.8,11892.5,"Sydney","New South Wales"
"SO - 0005884",2016-04-17 00:00:00.000,2016-06-16 00:00:00.000,22,"Wholesale","NZD","GUT930",59,11,7,1735.3,1180.004,12147.1,"Grafton","New South Wales"
"SO - 0005886",2016-04-18 00:00:00.000,2016-06-14 00:00:00.000,16,"Wholesale","NZD","GUT930",20,7,5,221.1,145.926,1105.5,"Coffs Harbour","New South Wales"
"SO - 0005919",2016-04-22 00:00:00.000,2016-06-05 00:00:00.000,14,"Wholesale","NZD","GUT930",33,2,9,3999.9,2159.946,35999.1,"Albury","New South Wales"
"SO - 0005920",2016-04-22 00:00:00.000,2016-06-26 00:00:00.000,35,"Wholesale","NZD","GUT930",8,7,11,3242.8,2756.38,35670.8,"Coffs Harbour","New South Wales"
"SO - 0005928",2016-04-23 00:00:00.000,2016-06-01 00:00:00.000,38,"Wholesale","NZD","GUT930",82,2,8,3906.1,2421.782,31248.8,"Albury","New South Wales"
"SO - 0005932",2016-04-24 00:00:00.000,2016-05-29 00:00:00.000,12,"Wholesale","NZD","GUT930",75,9,8,6344.9,3616.593,50759.2,"Gosford","New South Wales"
"SO - 0005970",2016-04-28 00:00:00.000,2016-07-14 00:00:00.000,17,"Wholesale","NZD","GUT930",47,5,10,944.7,472.35,9447,"Broken Hill","New South Wales"
"SO - 0005979",2016-04-29 00:00:00.000,2016-06-23 00:00:00.000,40,"Wholesale","NZD","GUT930",24,11,11,1172.5,492.45,12897.5,"Grafton","New South Wales"
"SO - 0005998",2016-04-30 00:00:00.000,2016-07-02 00:00:00.000,41,"Wholesale","NZD","GUT930",11,12,10,3845.8,1884.442,38458,"Griffith","New South Wales"
"SO - 0006022",2016-05-04 00:00:00.000,2016-07-29 00:00:00.000,48,"Wholesale","NZD","GUT930",84,2,11,1742,992.94,19162,"Albury","New South Wales"
"SO - 0006030",2016-05-05 00:00:00.000,2016-07-13 00:00:00.000,48,"Wholesale","NZD","GUT930",65,5,11,3685,2395.25,40535,"Broken Hill","New South Wales"
"SO - 0006031",2016-05-05 00:00:00.000,2016-06-27 00:00:00.000,8,"Wholesale","NZD","GUT930",69,14,6,3530.9,1482.978,21185.4,"Lismore","New South Wales"
"SO - 0006044",2016-05-07 00:00:00.000,2016-07-08 00:00:00.000,21,"Wholesale","NZD","GUT930",78,7,7,2298.1,1493.765,16086.7,"Coffs Harbour","New South Wales"
"SO - 0006095",2016-05-14 00:00:00.000,2016-06-30 00:00:00.000,20,"Wholesale","NZD","GUT930",62,5,7,783.9,642.798,5487.3,"Broken Hill","New South Wales"
"SO - 0006112",2016-05-16 00:00:00.000,2016-07-25 00:00:00.000,40,"Wholesale","NZD","GUT930",13,11,7,5587.8,3017.412,39114.6,"Grafton","New South Wales"
"SO - 0006148",2016-05-19 00:00:00.000,2016-06-22 00:00:00.000,44,"Wholesale","NZD","GUT930",78,2,12,1051.9,546.988,12622.8,"Albury","New South Wales"
"SO - 0006175",2016-05-23 00:00:00.000,2016-06-22 00:00:00.000,42,"Wholesale","NZD","GUT930",9,7,11,261.3,151.554,2874.3,"Coffs Harbour","New South Wales"
"SO - 0006177",2016-05-23 00:00:00.000,2016-06-23 00:00:00.000,1,"Wholesale","NZD","GUT930",1,1,5,1165.8,571.242,5829,"Sydney","New South Wales"
"SO - 0006187",2016-05-24 00:00:00.000,2016-07-12 00:00:00.000,42,"Wholesale","NZD","GUT930",9,2,11,3939.6,2206.176,43335.6,"Albury","New South Wales"
"SO - 0006242",2016-05-30 00:00:00.000,2016-08-14 00:00:00.000,18,"Wholesale","NZD","GUT930",47,14,9,3912.8,2738.96,35215.2,"Lismore","New South Wales"
"SO - 0006248",2016-05-31 00:00:00.000,2016-07-10 00:00:00.000,49,"Wholesale","NZD","GUT930",35,3,11,1728.6,1175.448,19014.6,"Armidale","New South Wales"
"SO - 0006250",2016-05-31 00:00:00.000,2016-07-04 00:00:00.000,17,"Wholesale","NZD","GUT930",23,9,5,1882.7,1299.063,9413.5,"Gosford","New South Wales"
"SO - 0006287",2016-06-02 00:00:00.000,2016-07-19 00:00:00.000,26,"Wholesale","NZD","GUT930",30,1,7,884.4,459.888,6190.8,"Sydney","New South Wales"
"SO - 0006297",2016-06-04 00:00:00.000,2016-07-29 00:00:00.000,6,"Wholesale","NZD","GUT930",79,11,10,3859.2,1698.048,38592,"Grafton","New South Wales"
"SO - 0006305",2016-06-05 00:00:00.000,2016-07-21 00:00:00.000,7,"Wholesale","NZD","GUT930",5,2,8,2934.6,1643.376,23476.8,"Albury","New South Wales"
"SO - 0006323",2016-06-06 00:00:00.000,2016-07-09 00:00:00.000,39,"Wholesale","NZD","GUT930",11,7,8,2525.9,1010.36,20207.2,"Coffs Harbour","New South Wales"
"SO - 0006348",2016-06-10 00:00:00.000,2016-07-18 00:00:00.000,10,"Wholesale","NZD","GUT930",49,2,11,3979.8,2427.678,43777.8,"Albury","New South Wales"
"SO - 0006349",2016-06-10 00:00:00.000,2016-07-11 00:00:00.000,17,"Wholesale","NZD","GUT930",34,7,10,804,329.64,8040,"Coffs Harbour","New South Wales"
"SO - 0006350",2016-06-10 00:00:00.000,2016-07-28 00:00:00.000,20,"Wholesale","NZD","GUT930",44,1,12,958.1,411.983,11497.2,"Sydney","New South Wales"
"SO - 0006364",2016-06-12 00:00:00.000,2016-09-03 00:00:00.000,6,"Wholesale","NZD","GUT930",79,13,11,5185.8,2644.758,57043.8,"Lake Macquarie","New South Wales"
"SO - 0006372",2016-06-13 00:00:00.000,2016-09-04 00:00:00.000,31,"Wholesale","NZD","GUT930",52,6,10,1279.7,652.647,12797,"Cessnock","New South Wales"
"SO - 0006378",2016-06-14 00:00:00.000,2016-09-07 00:00:00.000,1,"Wholesale","NZD","GUT930",52,11,9,1768.8,1308.912,15919.2,"Grafton","New South Wales"
"SO - 0006387",2016-06-15 00:00:00.000,2016-08-26 00:00:00.000,4,"Wholesale","NZD","GUT930",38,5,12,3242.8,1751.112,38913.6,"Broken Hill","New South Wales"
"SO - 0006421",2016-06-19 00:00:00.000,2016-08-04 00:00:00.000,22,"Wholesale","NZD","GUT930",49,2,7,1105.5,906.51,7738.5,"Albury","New South Wales"
"SO - 0006463",2016-06-24 00:00:00.000,2016-09-10 00:00:00.000,31,"Wholesale","NZD","GUT930",44,2,5,1118.9,492.316,5594.5,"Albury","New South Wales"
"SO - 0006486",2016-06-27 00:00:00.000,2016-09-01 00:00:00.000,2,"Wholesale","NZD","GUT930",19,12,7,6137.2,4480.156,42960.4,"Griffith","New South Wales"
"SO - 0006581",2016-07-08 00:00:00.000,2016-09-06 00:00:00.000,42,"Wholesale","NZD","GUT930",64,5,8,917.9,670.067,7343.2,"Broken Hill","New South Wales"
"SO - 0006618",2016-07-12 00:00:00.000,2016-08-18 00:00:00.000,29,"Wholesale","NZD","GUT930",11,11,7,2666.6,2079.948,18666.2,"Grafton","New South Wales"
"SO - 0006628",2016-07-13 00:00:00.000,2016-09-30 00:00:00.000,44,"Wholesale","NZD","GUT930",37,1,5,1085.4,727.218,5427,"Sydney","New South Wales"
"SO - 0006651",2016-07-16 00:00:00.000,2016-09-07 00:00:00.000,27,"Wholesale","NZD","GUT930",11,2,11,2626.4,2048.592,28890.4,"Albury","New South Wales"
"SO - 0006657",2016-07-17 00:00:00.000,2016-10-09 00:00:00.000,48,"Wholesale","NZD","GUT930",53,13,5,3792.2,2919.994,18961,"Lake Macquarie","New South Wales"
"SO - 0006664",2016-07-18 00:00:00.000,2016-10-03 00:00:00.000,50,"Wholesale","NZD","GUT930",85,2,6,723.6,586.116,4341.6,"Albury","New South Wales"
"SO - 0006671",2016-07-18 00:00:00.000,2016-09-04 00:00:00.000,23,"Wholesale","NZD","GUT930",4,3,11,1145.7,458.28,12602.7,"Armidale","New South Wales"
"SO - 0006672",2016-07-18 00:00:00.000,2016-10-07 00:00:00.000,19,"Wholesale","NZD","GUT930",83,7,5,3939.6,2403.156,19698,"Coffs Harbour","New South Wales"
"SO - 0006692",2016-07-20 00:00:00.000,2016-08-22 00:00:00.000,46,"Wholesale","NZD","GUT930",14,5,11,3819,2711.49,42009,"Broken Hill","New South Wales"
"SO - 0006704",2016-07-21 00:00:00.000,2016-09-09 00:00:00.000,50,"Wholesale","NZD","GUT930",29,2,9,5085.3,3661.416,45767.7,"Albury","New South Wales"
"SO - 0006719",2016-07-23 00:00:00.000,2016-09-10 00:00:00.000,5,"Wholesale","NZD","GUT930",6,1,12,1721.9,964.264,20662.8,"Sydney","New South Wales"
"SO - 0006755",2016-07-27 00:00:00.000,2016-10-21 00:00:00.000,2,"Wholesale","NZD","GUT930",21,2,7,1139,706.18,7973,"Albury","New South Wales"
"SO - 0006765",2016-07-28 00:00:00.000,2016-10-26 00:00:00.000,6,"Wholesale","NZD","GUT930",12,12,6,5085.3,3000.327,30511.8,"Griffith","New South Wales"
"SO - 0006768",2016-07-28 00:00:00.000,2016-08-30 00:00:00.000,44,"Wholesale","NZD","GUT930",84,2,8,5500.7,2420.308,44005.6,"Albury","New South Wales"
"SO - 0006785",2016-07-31 00:00:00.000,2016-10-02 00:00:00.000,7,"Wholesale","NZD","GUT930",84,7,10,1273,801.99,12730,"Coffs Harbour","New South Wales"
"SO - 0006808",2016-08-03 00:00:00.000,2016-09-28 00:00:00.000,20,"Wholesale","NZD","GUT930",5,7,8,3819,2978.82,30552,"Coffs Harbour","New South Wales"
"SO - 0006831",2016-08-06 00:00:00.000,2016-10-02 00:00:00.000,23,"Wholesale","NZD","GUT930",20,5,5,1105.5,563.805,5527.5,"Broken Hill","New South Wales"
"SO - 0006832",2016-08-06 00:00:00.000,2016-10-10 00:00:00.000,10,"Wholesale","NZD","GUT930",28,5,12,3912.8,2856.344,46953.6,"Broken Hill","New South Wales"
"SO - 0006834",2016-08-06 00:00:00.000,2016-10-11 00:00:00.000,50,"Wholesale","NZD","GUT930",1,7,8,3859.2,2431.296,30873.6,"Coffs Harbour","New South Wales"
"SO - 0006846",2016-08-08 00:00:00.000,2016-10-19 00:00:00.000,9,"Wholesale","NZD","GUT930",1,7,11,1085.4,770.634,11939.4,"Coffs Harbour","New South Wales"
"SO - 0006856",2016-08-09 00:00:00.000,2016-11-03 00:00:00.000,21,"Wholesale","NZD","GUT930",66,5,11,991.6,644.54,10907.6,"Broken Hill","New South Wales"
"SO - 0006864",2016-08-10 00:00:00.000,2016-10-23 00:00:00.000,30,"Wholesale","NZD","GUT930",3,1,6,3999.9,2519.937,23999.4,"Sydney","New South Wales"
"SO - 0006885",2016-08-13 00:00:00.000,2016-10-12 00:00:00.000,30,"Wholesale","NZD","GUT930",30,7,7,3155.7,1988.091,22089.9,"Coffs Harbour","New South Wales"
"SO - 0006919",2016-08-16 00:00:00.000,2016-09-21 00:00:00.000,21,"Wholesale","NZD","GUT930",59,2,9,998.3,838.572,8984.7,"Albury","New South Wales"
"SO - 0006929",2016-08-18 00:00:00.000,2016-10-25 00:00:00.000,10,"Wholesale","NZD","GUT930",17,1,11,2666.6,2239.944,29332.6,"Sydney","New South Wales"
"SO - 0006943",2016-08-20 00:00:00.000,2016-09-22 00:00:00.000,31,"Wholesale","NZD","GUT930",9,3,5,2331.6,1095.852,11658,"Armidale","New South Wales"
"SO - 0006967",2016-08-23 00:00:00.000,2016-10-05 00:00:00.000,37,"Wholesale","NZD","GUT930",64,5,10,5393.5,3667.58,53935,"Broken Hill","New South Wales"
"SO - 0006974",2016-08-24 00:00:00.000,2016-11-03 00:00:00.000,6,"Wholesale","NZD","GUT930",39,1,5,201,158.79,1005,"Sydney","New South Wales"
"SO - 0006986",2016-08-25 00:00:00.000,2016-10-25 00:00:00.000,15,"Wholesale","NZD","GUT930",9,11,10,207.7,139.159,2077,"Grafton","New South Wales"
"SO - 0007002",2016-08-27 00:00:00.000,2016-11-08 00:00:00.000,23,"Wholesale","NZD","GUT930",63,3,11,958.1,603.603,10539.1,"Armidale","New South Wales"
"SO - 0007018",2016-08-29 00:00:00.000,2016-11-02 00:00:00.000,12,"Wholesale","NZD","GUT930",80,12,11,180.9,74.169,1989.9,"Griffith","New South Wales"
"SO - 0007063",2016-09-04 00:00:00.000,2016-11-26 00:00:00.000,27,"Wholesale","NZD","GUT930",84,11,5,757.1,423.976,3785.5,"Grafton","New South Wales"
"SO - 0007077",2016-09-05 00:00:00.000,2016-10-31 00:00:00.000,37,"Wholesale","NZD","GUT930",9,12,9,214.4,167.232,1929.6,"Griffith","New South Wales"
"SO - 0007118",2016-09-09 00:00:00.000,2016-11-20 00:00:00.000,20,"Wholesale","NZD","GUT930",72,7,7,1159.1,660.687,8113.7,"Coffs Harbour","New South Wales"
"SO - 0007129",2016-09-12 00:00:00.000,2016-10-26 00:00:00.000,45,"Wholesale","NZD","GUT930",2,3,12,1072,846.88,12864,"Armidale","New South Wales"
"SO - 0007161",2016-09-16 00:00:00.000,2016-11-06 00:00:00.000,50,"Wholesale","NZD","GUT930",8,1,7,2894.4,2402.352,20260.8,"Sydney","New South Wales"
"SO - 0007194",2016-09-19 00:00:00.000,2016-11-21 00:00:00.000,4,"Wholesale","NZD","GUT930",21,13,7,1058.6,783.364,7410.2,"Lake Macquarie","New South Wales"
"SO - 0007224",2016-09-22 00:00:00.000,2016-11-15 00:00:00.000,42,"Wholesale","NZD","GUT930",31,9,8,2472.3,1013.643,19778.4,"Gosford","New South Wales"
"SO - 0007247",2016-09-23 00:00:00.000,2016-11-16 00:00:00.000,44,"Wholesale","NZD","GUT930",21,7,12,3852.5,2195.925,46230,"Coffs Harbour","New South Wales"
"SO - 0007250",2016-09-24 00:00:00.000,2016-10-29 00:00:00.000,15,"Wholesale","NZD","GUT930",3,1,5,1775.5,1083.055,8877.5,"Sydney","New South Wales"
"SO - 0007289",2016-09-29 00:00:00.000,2016-12-18 00:00:00.000,33,"Wholesale","NZD","GUT930",9,1,7,3986.5,2989.875,27905.5,"Sydney","New South Wales"
"SO - 0007311",2016-10-02 00:00:00.000,2016-12-08 00:00:00.000,4,"Wholesale","NZD","GUT930",10,8,9,214.4,180.096,1929.6,"Dubbo","New South Wales"
"SO - 0007318",2016-10-03 00:00:00.000,2016-12-11 00:00:00.000,11,"Wholesale","NZD","GUT930",6,1,6,194.3,110.751,1165.8,"Sydney","New South Wales"
"SO - 0007321",2016-10-03 00:00:00.000,2016-12-09 00:00:00.000,7,"Wholesale","NZD","GUT930",10,11,7,2559.4,1638.016,17915.8,"Grafton","New South Wales"
"SO - 0007327",2016-10-04 00:00:00.000,2016-11-12 00:00:00.000,41,"Wholesale","NZD","GUT930",21,7,9,817.4,678.442,7356.6,"Coffs Harbour","New South Wales"
"SO - 0007365",2016-10-08 00:00:00.000,2016-11-29 00:00:00.000,16,"Wholesale","NZD","GUT930",4,4,5,6043.4,2659.096,30217,"Bathurst","New South Wales"
"SO - 0007385",2016-10-10 00:00:00.000,2016-12-11 00:00:00.000,26,"Wholesale","NZD","GUT930",42,7,10,2271.3,1748.901,22713,"Coffs Harbour","New South Wales"
"SO - 0007412",2016-10-14 00:00:00.000,2016-12-09 00:00:00.000,30,"Wholesale","NZD","GUT930",2,2,12,2452.2,1814.628,29426.4,"Albury","New South Wales"
"SO - 0007435",2016-10-16 00:00:00.000,2016-12-13 00:00:00.000,39,"Wholesale","NZD","GUT930",25,12,8,1118.9,839.175,8951.2,"Griffith","New South Wales"
"SO - 0007492",2016-10-23 00:00:00.000,2017-01-14 00:00:00.000,14,"Wholesale","NZD","GUT930",8,5,10,2981.5,1759.085,29815,"Broken Hill","New South Wales"
"SO - 0007523",2016-10-26 00:00:00.000,2016-11-29 00:00:00.000,5,"Wholesale","NZD","GUT930",20,2,12,2010,1005,24120,"Albury","New South Wales"
"SO - 0007534",2016-10-27 00:00:00.000,2017-01-04 00:00:00.000,16,"Wholesale","NZD","GUT930",17,8,10,221.1,90.651,2211,"Dubbo","New South Wales"
"SO - 0007537",2016-10-28 00:00:00.000,2016-12-16 00:00:00.000,1,"Wholesale","NZD","GUT930",2,7,7,1989.9,1114.344,13929.3,"Coffs Harbour","New South Wales"
"SO - 0007541",2016-10-28 00:00:00.000,2016-11-28 00:00:00.000,24,"Wholesale","NZD","GUT930",70,1,10,924.6,499.284,9246,"Sydney","New South Wales"
"SO - 0007544",2016-10-29 00:00:00.000,2016-12-05 00:00:00.000,39,"Wholesale","NZD","GUT930",19,1,8,683.4,444.21,5467.2,"Sydney","New South Wales"
"SO - 0007560",2016-10-30 00:00:00.000,2016-12-23 00:00:00.000,39,"Wholesale","NZD","GUT930",72,8,8,1078.7,787.451,8629.6,"Dubbo","New South Wales"
"SO - 0007574",2016-10-31 00:00:00.000,2017-01-11 00:00:00.000,42,"Wholesale","NZD","GUT930",68,5,8,5152.3,2576.15,41218.4,"Broken Hill","New South Wales"
"SO - 0007582",2016-11-01 00:00:00.000,2017-01-01 00:00:00.000,1,"Wholesale","NZD","GUT930",36,7,9,3932.9,2831.688,35396.1,"Coffs Harbour","New South Wales"
"SO - 0007675",2016-11-13 00:00:00.000,2017-01-16 00:00:00.000,34,"Wholesale","NZD","GUT930",31,5,10,1132.3,600.119,11323,"Broken Hill","New South Wales"
"SO - 0007693",2016-11-15 00:00:00.000,2016-12-20 00:00:00.000,40,"Wholesale","NZD","GUT930",13,3,6,984.9,512.148,5909.4,"Armidale","New South Wales"
"SO - 0007739",2016-11-18 00:00:00.000,2017-02-07 00:00:00.000,24,"Wholesale","NZD","GUT930",6,11,6,857.6,445.952,5145.6,"Grafton","New South Wales"
"SO - 0007810",2016-11-26 00:00:00.000,2017-01-20 00:00:00.000,50,"Wholesale","NZD","GUT930",23,13,12,6137.2,3498.204,73646.4,"Lake Macquarie","New South Wales"
"SO - 0007823",2016-11-29 00:00:00.000,2017-01-19 00:00:00.000,48,"Wholesale","NZD","GUT930",75,7,10,221.1,114.972,2211,"Coffs Harbour","New South Wales"
"SO - 0007837",2016-11-30 00:00:00.000,2017-02-09 00:00:00.000,4,"Wholesale","NZD","GUT930",15,3,11,2546,1171.16,28006,"Armidale","New South Wales"
"SO - 0007845",2016-12-01 00:00:00.000,2017-02-20 00:00:00.000,6,"Wholesale","NZD","GUT930",66,5,7,3283,1936.97,22981,"Broken Hill","New South Wales"
"SO - 0007848",2016-12-01 00:00:00.000,2017-01-19 00:00:00.000,2,"Wholesale","NZD","GUT930",54,11,8,1909.5,1279.365,15276,"Grafton","New South Wales"
"SO - 0007884",2016-12-07 00:00:00.000,2017-02-04 00:00:00.000,30,"Wholesale","NZD","GUT930",3,2,11,6123.8,3123.138,67361.8,"Albury","New South Wales"
"SO - 0007957",2016-12-15 00:00:00.000,2017-02-04 00:00:00.000,40,"Wholesale","NZD","GUT930",24,12,8,1118.9,469.938,8951.2,"Griffith","New South Wales"
"SO - 0007963",2016-12-16 00:00:00.000,2017-01-15 00:00:00.000,10,"Wholesale","NZD","GUT930",22,14,9,214.4,105.056,1929.6,"Lismore","New South Wales"
"SO - 0007971",2016-12-18 00:00:00.000,2017-02-12 00:00:00.000,32,"Wholesale","NZD","GUT930",71,6,11,6472.2,4012.764,71194.2,"Cessnock","New South Wales"
"SO - 0007983",2016-12-19 00:00:00.000,2017-03-15 00:00:00.000,8,"Wholesale","NZD","GUT930",2,14,5,1065.3,617.874,5326.5,"Lismore","New South Wales"
"SO - 0007996",2016-12-21 00:00:00.000,2017-02-10 00:00:00.000,14,"Wholesale","NZD","GUT930",17,8,5,991.6,644.54,4958,"Dubbo","New South Wales"
"SO - 0008022",2016-12-23 00:00:00.000,2017-01-26 00:00:00.000,48,"Wholesale","NZD","GUT930",18,13,5,3946.3,2683.484,19731.5,"Lake Macquarie","New South Wales"
"SO - 0008025",2016-12-24 00:00:00.000,2017-02-26 00:00:00.000,1,"Wholesale","NZD","GUT930",20,11,10,1125.6,562.8,11256,"Grafton","New South Wales"
"SO - 000106",2014-06-01 00:00:00.000,2014-07-20 00:00:00.000,21,"Wholesale","NZD","NXH382",11,5,6,1038.5,446.555,6231,"Broken Hill","New South Wales"
"SO - 000110",2014-06-02 00:00:00.000,2014-07-27 00:00:00.000,33,"Wholesale","NZD","NXH382",14,1,6,1956.4,1212.968,11738.4,"Sydney","New South Wales"
"SO - 000148",2014-06-05 00:00:00.000,2014-09-03 00:00:00.000,49,"Wholesale","NZD","NXH382",14,2,10,6452.1,5161.68,64521,"Albury","New South Wales"
"SO - 000214",2014-06-15 00:00:00.000,2014-08-30 00:00:00.000,25,"Wholesale","NZD","NXH382",49,8,6,3932.9,1691.147,23597.4,"Dubbo","New South Wales"
"SO - 000240",2014-06-17 00:00:00.000,2014-09-08 00:00:00.000,18,"Wholesale","NZD","NXH382",12,1,6,891.1,712.88,5346.6,"Sydney","New South Wales"
"SO - 000253",2014-06-19 00:00:00.000,2014-07-24 00:00:00.000,35,"Wholesale","NZD","NXH382",17,5,6,1701.8,1157.224,10210.8,"Broken Hill","New South Wales"
"SO - 000254",2014-06-19 00:00:00.000,2014-08-21 00:00:00.000,9,"Wholesale","NZD","NXH382",49,10,5,2566.1,2181.185,12830.5,"Goulburn","New South Wales"
"SO - 000295",2014-06-24 00:00:00.000,2014-08-15 00:00:00.000,27,"Wholesale","NZD","NXH382",29,6,10,1829.1,768.222,18291,"Cessnock","New South Wales"
"SO - 000337",2014-06-29 00:00:00.000,2014-09-25 00:00:00.000,26,"Wholesale","NZD","NXH382",72,13,6,3008.3,2226.142,18049.8,"Lake Macquarie","New South Wales"
"SO - 000362",2014-07-02 00:00:00.000,2014-08-16 00:00:00.000,21,"Wholesale","NZD","NXH382",16,13,10,1031.8,773.85,10318,"Lake Macquarie","New South Wales"
"SO - 000395",2014-07-06 00:00:00.000,2014-09-06 00:00:00.000,44,"Wholesale","NZD","NXH382",27,4,5,1748.7,751.941,8743.5,"Bathurst","New South Wales"
"SO - 000401",2014-07-07 00:00:00.000,2014-08-24 00:00:00.000,38,"Wholesale","NZD","NXH382",77,2,7,1038.5,830.8,7269.5,"Albury","New South Wales"
"SO - 000415",2014-07-09 00:00:00.000,2014-09-25 00:00:00.000,8,"Wholesale","NZD","NXH382",4,12,12,3865.9,2822.107,46390.8,"Griffith","New South Wales"
"SO - 000426",2014-07-10 00:00:00.000,2014-10-06 00:00:00.000,13,"Wholesale","NZD","NXH382",37,2,7,1165.8,582.9,8160.6,"Albury","New South Wales"
"SO - 000445",2014-07-12 00:00:00.000,2014-09-12 00:00:00.000,43,"Wholesale","NZD","NXH382",18,11,6,180.9,74.169,1085.4,"Grafton","New South Wales"
"SO - 000480",2014-07-16 00:00:00.000,2014-09-23 00:00:00.000,13,"Wholesale","NZD","NXH382",81,10,12,2432.1,1264.692,29185.2,"Goulburn","New South Wales"
"SO - 000499",2014-07-18 00:00:00.000,2014-09-03 00:00:00.000,28,"Wholesale","NZD","NXH382",48,1,9,201,80.4,1809,"Sydney","New South Wales"
"SO - 000516",2014-07-20 00:00:00.000,2014-10-14 00:00:00.000,15,"Wholesale","NZD","NXH382",17,7,12,2733.6,1230.12,32803.2,"Coffs Harbour","New South Wales"
"SO - 000526",2014-07-22 00:00:00.000,2014-10-20 00:00:00.000,21,"Wholesale","NZD","NXH382",12,1,6,1755.4,912.808,10532.4,"Sydney","New South Wales"
"SO - 000556",2014-07-24 00:00:00.000,2014-10-08 00:00:00.000,4,"Wholesale","NZD","NXH382",42,5,12,5071.9,2535.95,60862.8,"Broken Hill","New South Wales"
"SO - 000634",2014-08-03 00:00:00.000,2014-09-28 00:00:00.000,10,"Wholesale","NZD","NXH382",55,1,5,757.1,507.257,3785.5,"Sydney","New South Wales"
