Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date,Closing Year
"Canyon National Bank","Palm Springs","CA",34692,"Pacific Premier Bank",2011-02-11 00:00:00.000,2014-08-19 00:00:00.000,2011
"Badger State Bank","Cassville","WI",13272,"Royal Bank",2011-02-11 00:00:00.000,2012-09-12 00:00:00.000,2011
"Peoples State Bank","Hamtramck","MI",14939,"First Michigan Bank",2011-02-11 00:00:00.000,2013-01-22 00:00:00.000,2011
"Sunshine State Community Bank","Port Orange","FL",35478,"Premier American Bank, N.A.",2011-02-11 00:00:00.000,2016-08-08 00:00:00.000,2011
"First Community Bank","Taos","NM",12261,"U.S. Bank, N.A.",2011-01-28 00:00:00.000,2012-09-12 00:00:00.000,2011
"FirsTier Bank","Louisville","CO",57646,"No Acquirer",2011-01-28 00:00:00.000,2012-09-12 00:00:00.000,2011
"Evergreen State Bank","Stoughton","WI",5328,"McFarland State Bank",2011-01-28 00:00:00.000,2012-09-12 00:00:00.000,2011
"The First State Bank","Camargo","OK",2303,"Bank 7",2011-01-28 00:00:00.000,2012-09-12 00:00:00.000,2011
"United Western Bank","Denver","CO",31293,"First-Citizens Bank & Trust Company",2011-01-21 00:00:00.000,2012-09-12 00:00:00.000,2011
"CommunitySouth Bank & Trust","Easley","SC",57868,"CertusBank, National Association",2011-01-21 00:00:00.000,2016-06-06 00:00:00.000,2011
"Legacy Bank","Scottsdale","AZ",57820,"Enterprise Bank & Trust",2011-01-07 00:00:00.000,2016-04-12 00:00:00.000,2011
"First Commercial Bank of Florida","Orlando","FL",34965,"First Southern Bank",2011-01-07 00:00:00.000,2016-06-06 00:00:00.000,2011
"Community National Bank","Lino Lakes","MN",23306,"Farmers & Merchants Savings Bank",2010-12-17 00:00:00.000,2016-11-10 00:00:00.000,2010
"First Southern Bank","Batesville","AR",58052,"Southern Bank",2010-12-17 00:00:00.000,2012-08-20 00:00:00.000,2010
"United Americas Bank, N.A.","Atlanta","GA",35065,"State Bank and Trust Company",2010-12-17 00:00:00.000,2015-10-17 00:00:00.000,2010
"Chestatee State Bank","Dawsonville","GA",34578,"Bank of the Ozarks",2010-12-17 00:00:00.000,2015-09-21 00:00:00.000,2010
"Earthstar Bank","Southampton","PA",35561,"Polonia Bank",2010-12-10 00:00:00.000,2012-08-20 00:00:00.000,2010
"Paramount Bank","Farmington Hills","MI",34673,"Level One Bank",2010-12-10 00:00:00.000,2015-09-21 00:00:00.000,2010
"First Banking Center","Burlington","WI",5287,"First Michigan Bank",2010-11-19 00:00:00.000,2012-08-20 00:00:00.000,2010
"Allegiance Bank of North America","Bala Cynwyd","PA",35078,"VIST Bank",2010-11-19 00:00:00.000,2012-08-20 00:00:00.000,2010
"Gulf State Community Bank","Carrabelle","FL",20340,"Centennial Bank",2010-11-19 00:00:00.000,2016-12-12 00:00:00.000,2010
"Copper Star Bank","Scottsdale","AZ",35463,"Stearns Bank, N.A.",2010-11-12 00:00:00.000,2012-08-20 00:00:00.000,2010
"First Vietnamese American Bank","Westminster","CA",57885,"Grandpoint Bank",2010-11-05 00:00:00.000,2012-09-12 00:00:00.000,2010
"Pierce Commercial Bank","Tacoma","WA",34411,"Heritage Bank",2010-11-05 00:00:00.000,2015-10-19 00:00:00.000,2010
"Western Commercial Bank","Woodland Hills","CA",58087,"First California Bank",2010-11-05 00:00:00.000,2016-09-12 00:00:00.000,2010
"K Bank","Randallstown","MD",31263,"Manufacturers and Traders Trust Company (M&T Bank)",2010-11-05 00:00:00.000,2012-08-20 00:00:00.000,2010
"First Arizona Savings, A FSB","Scottsdale","AZ",32582,"No Acquirer",2010-10-22 00:00:00.000,2012-08-20 00:00:00.000,2010
"Hillcrest Bank","Overland Park","KS",22173,"Hillcrest Bank, N.A.",2010-10-22 00:00:00.000,2012-08-20 00:00:00.000,2010
"The First National Bank of Barnesville","Barnesville","GA",2119,"United Bank",2010-10-22 00:00:00.000,2015-10-17 00:00:00.000,2010
"Progress Bank of Florida","Tampa","FL",32251,"Bay Cities Bank",2010-10-22 00:00:00.000,2016-02-04 00:00:00.000,2010
"Premier Bank","Jefferson City","MO",34016,"Providence Bank",2010-10-15 00:00:00.000,2012-08-20 00:00:00.000,2010
"WestBridge Bank and Trust Company","Chesterfield","MO",58205,"Midland States Bank",2010-10-15 00:00:00.000,2017-02-09 00:00:00.000,2010
"Security Savings Bank, F.S.B.","Olathe","KS",30898,"Simmons First National Bank",2010-10-15 00:00:00.000,2012-08-20 00:00:00.000,2010
"Shoreline Bank","Shoreline","WA",35250,"GBC International Bank",2010-10-01 00:00:00.000,2012-08-20 00:00:00.000,2010
"North County Bank","Arlington","WA",35053,"Whidbey Island Bank",2010-09-24 00:00:00.000,2016-04-12 00:00:00.000,2010
"Haven Trust Bank Florida","Ponte Vedra Beach","FL",58308,"First Southern Bank",2010-09-24 00:00:00.000,2016-07-11 00:00:00.000,2010
"Maritime Savings Bank","West Allis","WI",28612,"North Shore Bank, FSB",2010-09-17 00:00:00.000,2012-08-20 00:00:00.000,2010
"Bramble Savings Bank","Milford","OH",27808,"Foundation Bank",2010-09-17 00:00:00.000,2012-08-20 00:00:00.000,2010
"The Peoples Bank","Winder","GA",182,"Community & Southern Bank",2010-09-17 00:00:00.000,2016-05-04 00:00:00.000,2010
"First Commerce Community Bank","Douglasville","GA",57448,"Community & Southern Bank",2010-09-17 00:00:00.000,2016-05-04 00:00:00.000,2010
"Bank of Ellijay","Ellijay","GA",58197,"Community & Southern Bank",2010-09-17 00:00:00.000,2016-06-06 00:00:00.000,2010
"ISN Bank","Cherry Hill","NJ",57107,"Customers Bank",2010-09-17 00:00:00.000,2012-08-22 00:00:00.000,2010
"Sonoma Valley Bank","Sonoma","CA",27259,"Westamerica Bank",2010-08-20 00:00:00.000,2012-09-12 00:00:00.000,2010
"Los Padres Bank","Solvang","CA",32165,"Pacific Western Bank",2010-08-20 00:00:00.000,2012-09-12 00:00:00.000,2010
"Butte Community Bank","Chico","CA",33219,"Rabobank, N.A.",2010-08-20 00:00:00.000,2012-09-12 00:00:00.000,2010
"Pacific State Bank","Stockton","CA",27090,"Rabobank, N.A.",2010-08-20 00:00:00.000,2012-09-12 00:00:00.000,2010
"Imperial Savings and Loan Association","Martinsville","VA",31623,"River Community Bank, N.A.",2010-08-20 00:00:00.000,2012-08-24 00:00:00.000,2010
"Independent National Bank","Ocala","FL",27344,"CenterState Bank of Florida, N.A.",2010-08-20 00:00:00.000,2016-10-20 00:00:00.000,2010
"Community National Bank at Bartow","Bartow","FL",25266,"CenterState Bank of Florida, N.A.",2010-08-20 00:00:00.000,2016-07-11 00:00:00.000,2010
"LibertyBank","Eugene","OR",31964,"Home Federal Bank",2010-07-30 00:00:00.000,2012-08-22 00:00:00.000,2010
"The Cowlitz Bank","Longview","WA",22643,"Heritage Bank",2010-07-30 00:00:00.000,2012-08-22 00:00:00.000,2010
"Coastal Community Bank","Panama City Beach","FL",9619,"Centennial Bank",2010-07-30 00:00:00.000,2017-02-09 00:00:00.000,2010
"Bayside Savings Bank","Port Saint Joe","FL",57669,"Centennial Bank",2010-07-30 00:00:00.000,2016-12-12 00:00:00.000,2010
"Northwest Bank & Trust","Acworth","GA",57658,"State Bank and Trust Company",2010-07-30 00:00:00.000,2015-09-21 00:00:00.000,2010
"Home Valley Bank","Cave Junction","OR",23181,"South Valley Bank & Trust",2010-07-23 00:00:00.000,2012-09-12 00:00:00.000,2010
"SouthwestUSA Bank","Las Vegas","NV",35434,"Plaza Bank",2010-07-23 00:00:00.000,2012-08-22 00:00:00.000,2010
"Community Security Bank","New Prague","MN",34486,"Roundbank",2010-07-23 00:00:00.000,2016-02-04 00:00:00.000,2010
"Thunder Bank","Sylvan Grove","KS",10506,"The Bennington State Bank",2010-07-23 00:00:00.000,2012-09-13 00:00:00.000,2010
"Williamsburg First National Bank","Kingstree","SC",17837,"First Citizens Bank and Trust Company, Inc.",2010-07-23 00:00:00.000,2016-10-20 00:00:00.000,2010
"Mainstreet Savings Bank, FSB","Hastings","MI",28136,"Commercial Bank",2010-07-16 00:00:00.000,2012-09-13 00:00:00.000,2010
"Olde Cypress Community Bank","Clewiston","FL",28864,"CenterState Bank of Florida, N.A.",2010-07-16 00:00:00.000,2016-07-11 00:00:00.000,2010
"Turnberry Bank","Aventura","FL",32280,"NAFH National Bank",2010-07-16 00:00:00.000,2016-09-12 00:00:00.000,2010
"Metro Bank of Dade County","Miami","FL",25172,"NAFH National Bank",2010-07-16 00:00:00.000,2016-08-08 00:00:00.000,2010
"Woodlands Bank","Bluffton","SC",32571,"Bank of the Ozarks",2010-07-16 00:00:00.000,2015-09-21 00:00:00.000,2010
"Home National Bank","Blackwell","OK",11636,"RCB Bank",2010-07-09 00:00:00.000,2016-12-12 00:00:00.000,2010
"USA Bank","Port Chester","NY",58072,"New Century Bank",2010-07-09 00:00:00.000,2012-09-14 00:00:00.000,2010
"Ideal Federal Savings Bank","Baltimore","MD",32456,"No Acquirer",2010-07-09 00:00:00.000,2015-05-08 00:00:00.000,2010
"Bay National Bank","Baltimore","MD",35462,"Bay Bank, FSB",2010-07-09 00:00:00.000,2013-01-15 00:00:00.000,2010
"High Desert State Bank","Albuquerque","NM",35279,"First American Bank",2010-06-25 00:00:00.000,2012-09-14 00:00:00.000,2010
"Nevada Security Bank","Reno","NV",57110,"Umpqua Bank",2010-06-18 00:00:00.000,2012-08-23 00:00:00.000,2010
"Washington First International Bank","Seattle","WA",32955,"East West Bank",2010-06-11 00:00:00.000,2012-09-14 00:00:00.000,2010
"TierOne Bank","Lincoln","NE",29341,"Great Western Bank",2010-06-04 00:00:00.000,2012-09-14 00:00:00.000,2010
"Sun West Bank","Las Vegas","NV",34785,"City National Bank",2010-05-28 00:00:00.000,2012-09-14 00:00:00.000,2010
"Granite Community Bank, NA","Granite Bay","CA",57315,"Tri Counties Bank",2010-05-28 00:00:00.000,2012-09-14 00:00:00.000,2010
"Bank of Florida - Tampa","Tampa","FL",57814,"EverBank",2010-05-28 00:00:00.000,2016-08-08 00:00:00.000,2010
"Bank of Florida - Southwest","Naples","FL",35106,"EverBank",2010-05-28 00:00:00.000,2016-08-08 00:00:00.000,2010
"Bank of Florida - Southeast","Fort Lauderdale","FL",57360,"EverBank",2010-05-28 00:00:00.000,2016-08-08 00:00:00.000,2010
"Pinehurst Bank","Saint Paul","MN",57735,"Coulee Bank",2010-05-21 00:00:00.000,2012-10-26 00:00:00.000,2010
"Southwest Community Bank","Springfield","MO",34255,"Simmons First National Bank",2010-05-14 00:00:00.000,2016-02-04 00:00:00.000,2010
"New Liberty Bank","Plymouth","MI",35586,"Bank of Ann Arbor",2010-05-14 00:00:00.000,2012-08-23 00:00:00.000,2010
"1st Pacific Bank of California","San Diego","CA",35517,"City National Bank",2010-05-07 00:00:00.000,2012-12-13 00:00:00.000,2010
"Towne Bank of Arizona","Mesa","AZ",57697,"Commerce Bank of Arizona",2010-05-07 00:00:00.000,2012-08-23 00:00:00.000,2010
"Access Bank","Champlin","MN",16476,"PrinsBank",2010-05-07 00:00:00.000,2015-02-05 00:00:00.000,2010
"The Bank of Bonifay","Bonifay","FL",14246,"First Federal Bank of Florida",2010-05-07 00:00:00.000,2012-11-05 00:00:00.000,2010
"Frontier Bank","Everett","WA",22710,"Union Bank, N.A.",2010-04-30 00:00:00.000,2013-01-15 00:00:00.000,2010
"BC National Banks","Butler","MO",17792,"Community First Bank",2010-04-30 00:00:00.000,2012-08-23 00:00:00.000,2010
"Champion Bank","Creve Coeur","MO",58362,"BankLiberty",2010-04-30 00:00:00.000,2016-06-06 00:00:00.000,2010
"CF Bancorp","Port Huron","MI",30005,"First Michigan Bank",2010-04-30 00:00:00.000,2016-04-13 00:00:00.000,2010
"R-G Premier Bank of Puerto Rico","Hato Rey","PR",32185,"Scotiabank de Puerto Rico",2010-04-30 00:00:00.000,2015-08-05 00:00:00.000,2010
"City Bank","Lynnwood","WA",21521,"Whidbey Island Bank",2010-04-16 00:00:00.000,2012-09-14 00:00:00.000,2010
"Tamalpais Bank","San Rafael","CA",33493,"Union Bank, N.A.",2010-04-16 00:00:00.000,2012-08-23 00:00:00.000,2010
"Innovative Bank","Oakland","CA",23876,"Center Bank",2010-04-16 00:00:00.000,2012-08-23 00:00:00.000,2010
"Butler Bank","Lowell","MA",26619,"People's United Bank",2010-04-16 00:00:00.000,2012-08-23 00:00:00.000,2010
"Lakeside Community Bank","Sterling Heights","MI",34878,"No Acquirer",2010-04-16 00:00:00.000,2012-08-23 00:00:00.000,2010
"Desert Hills Bank","Phoenix","AZ",57060,"New York Community Bank",2010-03-26 00:00:00.000,2012-08-23 00:00:00.000,2010
"Unity National Bank","Cartersville","GA",34678,"Bank of the Ozarks",2010-03-26 00:00:00.000,2015-09-21 00:00:00.000,2010
"Key West Bank","Key West","FL",34684,"Centennial Bank",2010-03-26 00:00:00.000,2017-02-09 00:00:00.000,2010
"McIntosh Commercial Bank","Carrollton","GA",57399,"CharterBank",2010-03-26 00:00:00.000,2016-07-11 00:00:00.000,2010
"State Bank of Aurora","Aurora","MN",8221,"Northern State Bank",2010-03-19 00:00:00.000,2016-08-08 00:00:00.000,2010
"Advanta Bank Corp.","Draper","UT",33535,"No Acquirer",2010-03-19 00:00:00.000,2016-03-31 00:00:00.000,2010
"Century Security Bank","Duluth","GA",58104,"Bank of Upson",2010-03-19 00:00:00.000,2016-04-13 00:00:00.000,2010
"American National Bank","Parma","OH",18806,"The National Bank and Trust Company",2010-03-19 00:00:00.000,2015-09-21 00:00:00.000,2010
"Statewide Bank","Covington","LA",29561,"Home Bank",2010-03-12 00:00:00.000,2012-08-23 00:00:00.000,2010
"Old Southern Bank","Orlando","FL",58182,"Centennial Bank",2010-03-12 00:00:00.000,2017-02-09 00:00:00.000,2010
"The Park Avenue Bank","New York","NY",27096,"Valley National Bank",2010-03-12 00:00:00.000,2012-08-23 00:00:00.000,2010
"LibertyPointe Bank","New York","NY",58071,"Valley National Bank",2010-03-11 00:00:00.000,2012-08-23 00:00:00.000,2010
"Centennial Bank","Ogden","UT",34430,"No Acquirer",2010-03-05 00:00:00.000,2012-09-14 00:00:00.000,2010
"Waterfield Bank","Germantown","MD",34976,"No Acquirer",2010-03-05 00:00:00.000,2012-08-23 00:00:00.000,2010
"Rainier Pacific Bank","Tacoma","WA",38129,"Umpqua Bank",2010-02-26 00:00:00.000,2012-08-23 00:00:00.000,2010
"Carson River Community Bank","Carson City","NV",58352,"Heritage Bank of Nevada",2010-02-26 00:00:00.000,2013-01-15 00:00:00.000,2010
"La Jolla Bank, FSB","La Jolla","CA",32423,"OneWest Bank, FSB",2010-02-19 00:00:00.000,2012-08-24 00:00:00.000,2010
"The La Coste National Bank","La Coste","TX",3287,"Community National Bank",2010-02-19 00:00:00.000,2014-08-19 00:00:00.000,2010
"1st American State Bank of Minnesota","Hancock","MN",15448,"Community Development Bank, FSB",2010-02-05 00:00:00.000,2013-11-01 00:00:00.000,2010
"American Marine Bank","Bainbridge Island","WA",16730,"Columbia State Bank",2010-01-29 00:00:00.000,2012-08-24 00:00:00.000,2010
"First Regional Bank","Los Angeles","CA",23011,"First-Citizens Bank & Trust Company",2010-01-29 00:00:00.000,2016-03-04 00:00:00.000,2010
"Community Bank and Trust","Cornelia","GA",5702,"SCBT National Association",2010-01-29 00:00:00.000,2016-04-13 00:00:00.000,2010
"Marshall Bank, N.A.","Hallock","MN",16133,"United Valley Bank",2010-01-29 00:00:00.000,2012-08-23 00:00:00.000,2010
"Columbia River Bank","The Dalles","OR",22469,"Columbia State Bank",2010-01-22 00:00:00.000,2012-09-14 00:00:00.000,2010
"Evergreen Bank","Seattle","WA",20501,"Umpqua Bank",2010-01-22 00:00:00.000,2013-01-15 00:00:00.000,2010
"Charter Bank","Santa Fe","NM",32498,"Charter Bank",2010-01-22 00:00:00.000,2012-08-23 00:00:00.000,2010
"Bank of Leeton","Leeton","MO",8265,"Sunflower Bank, N.A.",2010-01-22 00:00:00.000,2013-01-15 00:00:00.000,2010
"Premier American Bank","Miami","FL",57147,"Premier American Bank, N.A.",2010-01-22 00:00:00.000,2015-09-21 00:00:00.000,2010
"Barnes Banking Company","Kaysville","UT",1252,"No Acquirer",2010-01-15 00:00:00.000,2012-08-23 00:00:00.000,2010
"St. Stephen State Bank","St. Stephen","MN",17522,"First State Bank of St. Joseph",2010-01-15 00:00:00.000,2016-08-08 00:00:00.000,2010
"Horizon Bank","Bellingham","WA",22977,"Washington Federal Savings and Loan Association",2010-01-08 00:00:00.000,2012-08-23 00:00:00.000,2010
"First Federal Bank of California, F.S.B.","Santa Monica","CA",28536,"OneWest Bank, FSB",2009-12-18 00:00:00.000,2012-08-23 00:00:00.000,2009
"Imperial Capital Bank","La Jolla","CA",26348,"City National Bank",2009-12-18 00:00:00.000,2012-09-05 00:00:00.000,2009
"New South Federal Savings Bank","Irondale","AL",32276,"Beal Bank",2009-12-18 00:00:00.000,2012-08-23 00:00:00.000,2009
"Peoples First Community Bank","Panama City","FL",32167,"Hancock Bank",2009-12-18 00:00:00.000,2012-11-05 00:00:00.000,2009
"SolutionsBank","Overland Park","KS",4731,"Arvest Bank",2009-12-11 00:00:00.000,2016-07-19 00:00:00.000,2009
"Valley Capital Bank, N.A.","Mesa","AZ",58399,"Enterprise Bank & Trust",2009-12-11 00:00:00.000,2016-10-20 00:00:00.000,2009
"First Security National Bank","Norcross","GA",26290,"State Bank and Trust Company",2009-12-04 00:00:00.000,2015-10-17 00:00:00.000,2009
"Pacific Coast National Bank","San Clemente","CA",57914,"Sunwest Bank",2009-11-13 00:00:00.000,2017-04-10 00:00:00.000,2009
"United Commercial Bank","San Francisco","CA",32469,"East West Bank",2009-11-06 00:00:00.000,2012-11-05 00:00:00.000,2009
"Gateway Bank of St. Louis","St. Louis","MO",19450,"Central Bank of Kansas City",2009-11-06 00:00:00.000,2012-08-22 00:00:00.000,2009
"Prosperan Bank","Oakdale","MN",35074,"Alerus Financial, N.A.",2009-11-06 00:00:00.000,2012-08-22 00:00:00.000,2009
"Home Federal Savings Bank","Detroit","MI",30329,"Liberty Bank and Trust Company",2009-11-06 00:00:00.000,2012-08-22 00:00:00.000,2009
"North Houston Bank","Houston","TX",18776,"U.S. Bank N.A.",2009-10-30 00:00:00.000,2012-08-22 00:00:00.000,2009
"Madisonville State Bank","Madisonville","TX",33782,"U.S. Bank N.A.",2009-10-30 00:00:00.000,2012-08-22 00:00:00.000,2009
"Citizens National Bank","Teague","TX",25222,"U.S. Bank N.A.",2009-10-30 00:00:00.000,2012-08-22 00:00:00.000,2009
"Pacific National Bank","San Francisco","CA",30006,"U.S. Bank N.A.",2009-10-30 00:00:00.000,2012-08-22 00:00:00.000,2009
"California National Bank","Los Angeles","CA",34659,"U.S. Bank N.A.",2009-10-30 00:00:00.000,2012-09-05 00:00:00.000,2009
"San Diego National Bank","San Diego","CA",23594,"U.S. Bank N.A.",2009-10-30 00:00:00.000,2012-08-22 00:00:00.000,2009
"Bank USA, N.A.","Phoenix","AZ",32218,"U.S. Bank N.A.",2009-10-30 00:00:00.000,2012-08-22 00:00:00.000,2009
"Riverview Community Bank","Otsego","MN",57525,"Central Bank",2009-10-23 00:00:00.000,2012-08-22 00:00:00.000,2009
"Bank of Elmwood","Racine","WI",18321,"Tri City National Bank",2009-10-23 00:00:00.000,2012-08-22 00:00:00.000,2009
"Flagship National Bank","Bradenton","FL",35044,"First Federal Bank of Florida",2009-10-23 00:00:00.000,2015-02-05 00:00:00.000,2009
"Hillcrest Bank Florida","Naples","FL",58336,"Stonegate Bank",2009-10-23 00:00:00.000,2012-08-22 00:00:00.000,2009
"American United Bank","Lawrenceville","GA",57794,"Ameris Bank",2009-10-23 00:00:00.000,2012-09-05 00:00:00.000,2009
"Partners Bank","Naples","FL",57959,"Stonegate Bank",2009-10-23 00:00:00.000,2015-02-05 00:00:00.000,2009
"San Joaquin Bank","Bakersfield","CA",23266,"Citizens Business Bank",2009-10-16 00:00:00.000,2012-08-22 00:00:00.000,2009
"Southern Colorado National Bank","Pueblo","CO",57263,"Legacy Bank",2009-10-02 00:00:00.000,2016-12-12 00:00:00.000,2009
"Jennings State Bank","Spring Grove","MN",11416,"Central Bank",2009-10-02 00:00:00.000,2012-08-21 00:00:00.000,2009
"Warren Bank","Warren","MI",34824,"The Huntington National Bank",2009-10-02 00:00:00.000,2012-08-21 00:00:00.000,2009
"Georgian Bank","Atlanta","GA",57151,"First Citizens Bank and Trust Company, Inc.",2009-09-25 00:00:00.000,2012-08-21 00:00:00.000,2009
"Irwin Union Bank, F.S.B.","Louisville","KY",57068,"First Financial Bank, N.A.",2009-09-18 00:00:00.000,2012-09-05 00:00:00.000,2009
"Irwin Union Bank and Trust Company","Columbus","IN",10100,"First Financial Bank, N.A.",2009-09-18 00:00:00.000,2012-08-21 00:00:00.000,2009
"Venture Bank","Lacey","WA",22868,"First-Citizens Bank & Trust Company",2009-09-11 00:00:00.000,2012-08-21 00:00:00.000,2009
"Brickwell Community Bank","Woodbury","MN",57736,"CorTrust Bank N.A.",2009-09-11 00:00:00.000,2016-10-20 00:00:00.000,2009
"First State Bank","Flagstaff","AZ",34875,"Sunwest Bank",2009-09-04 00:00:00.000,2015-02-05 00:00:00.000,2009
"Vantus Bank","Sioux City","IA",27732,"Great Southern Bank",2009-09-04 00:00:00.000,2012-08-21 00:00:00.000,2009
"First Bank of Kansas City","Kansas City","MO",25231,"Great American Bank",2009-09-04 00:00:00.000,2012-08-21 00:00:00.000,2009
"Affinity Bank","Ventura","CA",27197,"Pacific Western Bank",2009-08-28 00:00:00.000,2012-08-21 00:00:00.000,2009
"Mainstreet Bank","Forest Lake","MN",1909,"Central Bank",2009-08-28 00:00:00.000,2012-08-21 00:00:00.000,2009
"Bradford Bank","Baltimore","MD",28312,"Manufacturers and Traders Trust Company (M&T Bank)",2009-08-28 00:00:00.000,2013-01-15 00:00:00.000,2009
"Guaranty Bank","Austin","TX",32618,"BBVA Compass",2009-08-21 00:00:00.000,2012-08-21 00:00:00.000,2009
"CapitalSouth Bank","Birmingham","AL",22130,"IBERIABANK",2009-08-21 00:00:00.000,2013-01-15 00:00:00.000,2009
"First Coweta Bank","Newnan","GA",57702,"United Bank",2009-08-21 00:00:00.000,2015-12-07 00:00:00.000,2009
"ebank","Atlanta","GA",34682,"Stearns Bank, N.A.",2009-08-21 00:00:00.000,2012-08-21 00:00:00.000,2009
"Community Bank of Nevada","Las Vegas","NV",34043,"No Acquirer",2009-08-14 00:00:00.000,2012-08-21 00:00:00.000,2009
"Community Bank of Arizona","Phoenix","AZ",57645,"MidFirst Bank",2009-08-14 00:00:00.000,2012-08-21 00:00:00.000,2009
"Union Bank, National Association","Gilbert","AZ",34485,"MidFirst Bank",2009-08-14 00:00:00.000,2012-08-21 00:00:00.000,2009
"Colonial Bank","Montgomery","AL",9609,"Branch Banking & Trust Company, (BB&T)",2009-08-14 00:00:00.000,2014-06-12 00:00:00.000,2009
"Dwelling House Savings and Loan Association","Pittsburgh","PA",31559,"PNC Bank, N.A.",2009-08-14 00:00:00.000,2013-01-15 00:00:00.000,2009
"Community First Bank","Prineville","OR",23268,"Home Federal Bank",2009-08-07 00:00:00.000,2013-01-15 00:00:00.000,2009
"Community National Bank of Sarasota County","Venice","FL",27183,"Stearns Bank, N.A.",2009-08-07 00:00:00.000,2012-08-20 00:00:00.000,2009
"First State Bank","Sarasota","FL",27364,"Stearns Bank, N.A.",2009-08-07 00:00:00.000,2012-08-20 00:00:00.000,2009
"First BankAmericano","Elizabeth","NJ",34270,"Crown Bank",2009-07-31 00:00:00.000,2012-08-20 00:00:00.000,2009
"Peoples Community Bank","West Chester","OH",32288,"First Financial Bank, N.A.",2009-07-31 00:00:00.000,2012-08-20 00:00:00.000,2009
"Integrity Bank","Jupiter","FL",57604,"Stonegate Bank",2009-07-31 00:00:00.000,2012-08-20 00:00:00.000,2009
"First State Bank of Altus","Altus","OK",9873,"Herring Bank",2009-07-31 00:00:00.000,2012-08-20 00:00:00.000,2009
"Security Bank of Jones County","Gray","GA",8486,"State Bank and Trust Company",2009-07-24 00:00:00.000,2012-08-20 00:00:00.000,2009
"Security Bank of Houston County","Perry","GA",27048,"State Bank and Trust Company",2009-07-24 00:00:00.000,2015-10-17 00:00:00.000,2009
"Security Bank of Bibb County","Macon","GA",27367,"State Bank and Trust Company",2009-07-24 00:00:00.000,2012-08-20 00:00:00.000,2009
"Security Bank of North Metro","Woodstock","GA",57105,"State Bank and Trust Company",2009-07-24 00:00:00.000,2016-01-06 00:00:00.000,2009
"Security Bank of North Fulton","Alpharetta","GA",57430,"State Bank and Trust Company",2009-07-24 00:00:00.000,2012-08-20 00:00:00.000,2009
"Security Bank of Gwinnett County","Suwanee","GA",57346,"State Bank and Trust Company",2009-07-24 00:00:00.000,2012-08-20 00:00:00.000,2009
"Waterford Village Bank","Williamsville","NY",58065,"Evans Bank, N.A.",2009-07-24 00:00:00.000,2013-11-01 00:00:00.000,2009
"Temecula Valley Bank","Temecula","CA",34341,"First-Citizens Bank & Trust Company",2009-07-17 00:00:00.000,2016-10-20 00:00:00.000,2009
"Vineyard Bank","Rancho Cucamonga","CA",23556,"California Bank & Trust",2009-07-17 00:00:00.000,2012-08-20 00:00:00.000,2009
"BankFirst","Sioux Falls","SD",34103,"Alerus Financial, N.A.",2009-07-17 00:00:00.000,2012-08-20 00:00:00.000,2009
"First Piedmont Bank","Winder","GA",34594,"First American Bank and Trust Company",2009-07-17 00:00:00.000,2016-08-08 00:00:00.000,2009
"Bank of Wyoming","Thermopolis","WY",22754,"Central Bank & Trust",2009-07-10 00:00:00.000,2012-08-20 00:00:00.000,2009
"Millennium State Bank of Texas","Dallas","TX",57667,"State Bank of Texas",2009-07-02 00:00:00.000,2012-10-26 00:00:00.000,2009
"Mirae Bank","Los Angeles","CA",57332,"Wilshire State Bank",2009-06-26 00:00:00.000,2012-08-20 00:00:00.000,2009
"MetroPacific Bank","Irvine","CA",57893,"Sunwest Bank",2009-06-26 00:00:00.000,2015-02-05 00:00:00.000,2009
"Horizon Bank","Pine City","MN",9744,"Stearns Bank, N.A.",2009-06-26 00:00:00.000,2015-02-05 00:00:00.000,2009
"Neighborhood Community Bank","Newnan","GA",35285,"CharterBank",2009-06-26 00:00:00.000,2015-12-07 00:00:00.000,2009
"Community Bank of West Georgia","Villa Rica","GA",57436,"No Acquirer",2009-06-26 00:00:00.000,2012-08-17 00:00:00.000,2009
"First National Bank of Anthony","Anthony","KS",4614,"Bank of Kansas",2009-06-19 00:00:00.000,2015-09-21 00:00:00.000,2009
"Cooperative Bank","Wilmington","NC",27837,"First Bank",2009-06-19 00:00:00.000,2012-08-17 00:00:00.000,2009
"Southern Community Bank","Fayetteville","GA",35251,"United Community Bank",2009-06-19 00:00:00.000,2015-09-21 00:00:00.000,2009
"BankUnited, FSB","Coral Gables","FL",32247,"BankUnited",2009-05-21 00:00:00.000,2012-08-17 00:00:00.000,2009
"Westsound Bank","Bremerton","WA",34843,"Kitsap Bank",2009-05-08 00:00:00.000,2012-09-04 00:00:00.000,2009
"America West Bank","Layton","UT",35461,"Cache Valley Bank",2009-05-01 00:00:00.000,2012-08-17 00:00:00.000,2009
"Citizens Community Bank","Ridgewood","NJ",57563,"North Jersey Community Bank",2009-05-01 00:00:00.000,2012-09-04 00:00:00.000,2009
"Silverton Bank, NA","Atlanta","GA",26535,"No Acquirer",2009-05-01 00:00:00.000,2012-08-17 00:00:00.000,2009
"First Bank of Idaho","Ketchum","ID",34396,"U.S. Bank, N.A.",2009-04-24 00:00:00.000,2012-08-17 00:00:00.000,2009
"First Bank of Beverly Hills","Calabasas","CA",32069,"No Acquirer",2009-04-24 00:00:00.000,2012-09-04 00:00:00.000,2009
