h_a,xG,xGA,npxG,npxGA,shots,shots_against,goals_scored,goals_against,xpts,npxGD,%team_id
"h",2.89217,0.343347,2.89217,0.343347,12,4,2,0,2.8644,2.548823,19
"h",0.905143,0.335474,0.905143,0.335474,9,5,1,0,1.9581000000000002,0.569669,19
"a",2.55922,0.185407,2.55922,0.185407,7,3,2,0,2.9238,2.3738129999999997,20
"a",0.909833,0.909342,0.909833,0.909342,3,7,1,0,1.3647999999999998,0.0004910000000000192,20
"h",1.31903,0.436331,1.31903,0.436331,5,7,1,0,2.1129,0.8826989999999999,20
"a",0.297157,1.4047,0.297157,1.4047,5,9,0,0,0.4192,-1.1075430000000002,20
"h",0.711691,0.195537,0.711691,0.195537,5,6,0,0,1.8234,0.516154,20
"a",1.11736,1.20118,1.11736,1.20118,3,2,1,0,1.2184,-0.08382,20
"h",0.321371,0.793952,0.321371,0.793952,4,11,0,0,0.7828,-0.472581,20
"a",0.840925,0.768752,0.840925,0.768752,7,3,1,0,1.3995,0.072173000000000043,20
"a",1.87026,0.838197,1.87026,0.838197,4,8,2,0,2.2487,1.032063,20
"a",1.02385,1.88818,1.02385,1.88818,10,7,0,2,0.6559,-0.86433,1
"h",0.630099,3.64132,0.630099,3.64132,3,19,0,2,0.0659,-3.011221,1
"h",1.7436,0.492239,1.7436,0.492239,10,3,2,2,2.3971,1.2513610000000002,1
"a",1.05723,1.06108,1.05723,1.06108,8,5,1,2,1.3465,-0.0038500000000001311,1
"h",0.836949,1.94623,0.836949,1.18506,4,8,1,2,0.4979,-0.34811099999999995,1
"a",1.07395,1.78187,1.07395,1.78187,11,11,1,2,0.8379,-0.7079200000000001,2
"h",0.772083,1.01897,0.772083,1.01897,4,9,1,2,1.1260999999999999,-0.24688699999999997,2
"a",1.13821,0.501329,1.13821,0.501329,6,4,1,2,1.9134000000000002,0.63688099999999992,2
"h",1.82784,1.35378,1.82784,1.35378,12,4,2,2,1.7497,0.47405999999999993,2
"h",1.16789,1.00254,1.16789,1.00254,7,5,1,2,1.4951999999999999,0.16535000000000011,3
"h",2.79229,1.15797,2.79229,0.396837,11,4,1,2,2.503,2.395453,3
"a",0.225492,2.07248,0.225492,2.07248,7,6,0,2,0.1308,-1.846988,3
"a",1.19959,1.41896,1.19959,1.41896,5,7,2,2,1.1591,-0.21937000000000006,3
"a",1.10342,0.943363,1.10342,0.943363,7,7,0,2,1.4949999999999999,0.16005700000000012,3
"h",0.742573,0.218211,0.742573,0.218211,6,2,1,2,1.8158999999999998,0.524362,3
"a",0.461305,1.98246,0.461305,1.22129,3,11,0,2,0.29410000000000003,-0.75998499999999991,3
"a",0.640726,1.52247,0.640726,1.52247,4,3,1,2,0.66039999999999988,-0.881744,3
"h",0.494232,2.25373,0.494232,2.25373,5,8,0,2,0.3033,-1.759498,3
"h",0.701622,1.54868,0.701622,0.787544,9,3,0,2,0.6414,-0.085922000000000054,4
"a",1.51032,1.39778,1.51032,1.39778,4,11,2,2,1.4754,0.11254000000000008,4
"a",0.582787,1.06946,0.582787,1.06946,4,6,0,2,0.87149999999999994,-0.486673,4
"a",1.48397,1.82698,1.48397,1.06581,8,5,3,2,1.0883,0.41816000000000009,4
"a",1.26179,2.74936,1.26179,2.74936,4,8,0,2,0.4998,-1.4875699999999998,4
"h",0.627107,1.3027,0.627107,1.3027,5,4,0,2,0.7048,-0.675593,4
"h",1.79548,1.6853,1.79548,1.6853,3,7,1,2,1.4559000000000002,0.11017999999999994,5
"a",0.690464,2.63945,0.690464,2.63945,3,8,0,2,0.29879999999999995,-1.948986,5
"a",0.428866,2.16233,0.428866,2.16233,9,17,2,2,0.2818,-1.733464,5
"a",1.07719,2.15712,1.07719,2.15712,6,18,0,2,0.5535,-1.0799299999999998,5
"a",0.673195,1.42567,0.673195,1.42567,4,6,2,2,0.70629999999999993,-0.752475,5
"h",2.74844,1.72934,1.2261,0.968172,8,1,3,2,2.1049,0.25792799999999994,6
"h",1.389,1.78897,1.389,1.78897,8,4,2,2,1.0459,-0.39996999999999994,6
"a",1.67658,1.44748,1.67658,1.44748,6,11,2,2,1.5829,0.22909999999999986,7
"h",1.1703,1.04322,1.1703,1.04322,13,1,2,2,1.4123999999999999,0.12707999999999986,7
"a",0.492239,1.7436,0.492239,1.7436,3,10,2,2,0.40990000000000004,-1.2513610000000002,7
"h",0.962129,0.454305,0.962129,0.454305,5,6,1,2,1.8546999999999998,0.507824,7
"h",1.49244,0.625183,1.49244,0.625183,4,2,2,2,2.1068,0.86725699999999994,7
"a",1.85713,0.966093,1.09596,0.966093,6,4,2,2,2.1241000000000003,0.12986700000000007,8
"a",1.69767,1.69344,1.69767,1.69344,7,6,1,2,1.3842999999999999,0.004229999999999956,8
"a",0.541027,1.00153,0.541027,1.00153,7,4,1,2,0.8229,-0.460503,8
"a",0.19991,2.72851,0.19991,2.72851,8,9,0,2,0.0673,-2.5286,8
"h",0.966093,1.85713,0.966093,1.09596,4,6,2,2,0.6439,-0.12986700000000007,10
"h",1.1967,1.98962,1.1967,1.98962,8,5,1,2,0.82369999999999988,-0.79291999999999985,10
"a",1.46689,2.31744,1.46689,2.31744,5,8,1,2,0.7541,-0.85054999999999992,10
"h",1.41896,1.19959,1.41896,1.19959,7,5,2,2,1.5383,0.21937000000000006,10
"a",2.26884,2.3549,2.26884,2.3549,6,9,3,2,1.3017999999999998,-0.086060000000000247,10
"a",1.25373,1.47438,1.25373,0.71321,12,6,1,2,1.1499,0.54052,9
"h",2.16233,0.428866,2.16233,0.428866,17,9,2,2,2.5699,1.733464,9
"a",1.04322,1.1703,1.04322,1.1703,1,13,2,2,1.2822,-0.12707999999999986,9
"h",2.96611,1.02494,2.96611,1.02494,10,4,4,2,2.6238,1.94117,9
"h",1.98801,1.10288,1.98801,1.10288,9,5,0,2,2.0833,0.88513,9
"h",2.16027,2.38383,2.16027,1.62266,8,4,4,2,1.2363,0.53761000000000014,9
"a",1.4401,1.9116899999999999,1.4401,1.9116899999999999,5,10,2,2,1.0004,-0.47158999999999995,9
"a",0.982614,1.84818,0.982614,1.84818,12,7,1,2,0.7368,-0.865566,9
"a",0.544954,2.72997,0.544954,2.72997,5,12,0,2,0.176,-2.1850159999999996,9
"h",1.40693,0.745068,0.645761,0.745068,3,7,2,2,1.9497,-0.099306999999999923,9
"a",1.55048,0.472777,1.55048,0.472777,8,4,1,2,2.3895999999999997,1.077703,9
"h",0.949368,1.04319,0.949368,1.04319,7,11,2,2,1.2774,-0.093822000000000072,11
"h",1.39778,1.51032,1.39778,1.51032,11,4,2,2,1.2456,-0.11254000000000008,11
"a",1.54944,2.79777,1.54944,2.79777,13,11,2,2,0.5444,-1.24833,11
"a",1.78897,1.389,1.78897,1.389,4,8,2,2,1.6882000000000001,0.39996999999999994,11
"a",1.04319,0.949368,1.04319,0.949368,11,7,2,2,1.4001000000000001,0.093822000000000072,12
"h",0.65739,1.05029,0.65739,1.05029,12,5,0,2,0.9416,-0.39289999999999992,12
"h",0.759561,2.04202,0.759561,2.04202,0,8,0,2,0.44189999999999996,-1.2824589999999998,13
"h",1.85597,1.16638,1.0948,1.16638,9,4,3,2,1.9234999999999998,-0.071579999999999977,13
"a",1.35378,1.82784,1.35378,1.82784,4,12,2,2,0.98649999999999993,-0.47405999999999993,13
"a",2.60999,1.74476,2.60999,1.74476,12,6,4,2,1.9773999999999998,0.86522999999999972,13
"a",0.63163,1.18426,0.63163,0.423091,4,5,0,2,0.7396,0.20853900000000003,14
"h",1.19077,3.46036,1.19077,2.69919,6,10,2,2,0.1282,-1.50842,14
"a",0.865217,1.15849,0.865217,1.15849,1,3,1,2,1.0173999999999999,-0.293273,14
"a",0.185383,2.84493,0.185383,2.84493,4,13,0,2,0.0531,-2.6595470000000003,14
"h",1.44084,1.27371,0.679671,1.27371,2,3,1,2,1.5021,-0.59403899999999987,15
"a",0.800903,2.26681,0.800903,1.50564,4,6,0,2,0.29469999999999996,-0.70473700000000006,15
"h",0.661887,1.16855,0.661887,1.16855,2,5,1,2,0.8668,-0.506663,15
"h",0.502647,1.96261,0.502647,1.96261,5,14,0,2,0.2555,-1.4599630000000001,15
"a",0.343347,2.89217,0.343347,2.89217,4,12,0,2,0.0849,-2.548823,15
"a",0.424877,3.08863,0.424877,3.08863,4,9,0,2,0.0835,-2.6637530000000003,15
"a",3.46036,1.19077,2.69919,1.19077,10,6,2,2,2.7954999999999997,1.50842,16
"h",1.42567,0.673195,1.42567,0.673195,6,4,2,2,2.0092,0.752475,16
"a",1.13118,0.43778,1.13118,0.43778,9,4,1,2,1.9398,0.6934,16
"h",1.9116899999999999,1.4401,1.9116899999999999,1.4401,10,5,2,2,1.748,0.47158999999999995,16
"a",0.625183,1.49244,0.625183,1.49244,2,4,2,2,0.641,-0.86725699999999994,16
"a",1.35643,1.53745,0.595257,1.53745,2,10,3,2,1.1727,-0.942193,16
"a",1.73293,1.74286,1.73293,1.74286,7,4,3,2,1.3425000000000002,-0.0099299999999999944,16
"a",1.55008,0.645658,1.55008,0.645658,10,3,3,2,2.1853,0.904422,17
"h",2.79777,1.54944,2.79777,1.54944,11,13,2,2,2.2655000000000003,1.24833,17
"a",4.24711,1.95031,4.24711,1.95031,11,6,3,2,2.5865,2.2968,17
"a",0.328818,1.04212,0.328818,1.04212,4,4,0,2,0.66599999999999993,-0.71330199999999988,17
"h",0.838197,1.87026,0.838197,1.87026,8,4,0,2,0.5387,-1.032063,17
"a",2.00235,2.31773,2.00235,1.55656,2,22,3,2,1.1663000000000001,0.44578999999999991,17
"h",1.35036,1.13718,1.35036,0.376011,4,6,3,2,1.4836,0.974349,18
"a",0.407224,1.77896,0.407224,1.77896,6,7,0,2,0.32509999999999994,-1.371736,18
"h",0.185407,2.55922,0.185407,2.55922,3,7,0,2,0.0432,-2.3738129999999997,18
"a",3.10344,1.84089,3.10344,1.84089,6,12,5,2,2.2206,1.26255,18
"h",0.990877,0.908574,0.990877,0.908574,7,7,1,2,1.3971,0.082303000000000015,18
"a",0.561554,1.82799,0.561554,1.06682,2,6,1,2,0.38450000000000006,-0.5052660000000001,18
"h",0.532979,1.80456,0.532979,1.80456,5,5,0,2,0.35719999999999996,-1.2715809999999999,18
"a",3.00939,1.67926,2.09241,1.67926,10,5,4,2,2.2684,0.41315000000000013,19
"h",1.44748,1.67658,1.44748,1.67658,11,6,2,2,1.1347,-0.22909999999999986,19
"h",1.6671,1.8954,0.905935,1.8954,7,7,1,2,1.1842000000000001,-0.98946499999999993,19
"h",1.37258,1.30098,1.37258,1.30098,8,1,1,2,1.3847999999999998,0.071599999999999886,19
"h",1.25298,1.45641,1.25298,1.45641,3,16,3,2,1.2139,-0.20343,19
"a",0.171763,2.72187,0.171763,2.72187,5,9,1,2,0.0579,-2.550107,19
"h",2.0174,1.37049,1.25623,1.37049,4,13,3,2,1.8787000000000003,-0.11426000000000003,19
"a",0.338855,2.81482,0.338855,2.05365,0,13,0,2,0.094300000000000009,-1.714795,19
"a",2.23146,2.69204,1.47029,2.69204,4,11,3,2,1.0835000000000001,-1.22175,19
"a",0.745068,1.40693,0.745068,0.645761,7,3,2,2,0.7605,0.099306999999999923,19
"h",1.02316,2.32741,1.02316,1.56627,4,3,0,2,0.40850000000000003,-0.54311,20
"a",2.19633,1.21276,2.19633,1.21276,10,7,3,2,2.1291,0.98357,20
"a",0.25416,2.65161,0.25416,2.65161,2,10,0,2,0.07980000000000001,-2.3974499999999996,20
"a",1.10934,2.50961,1.10934,2.50961,2,23,1,2,0.5385,-1.40027,20
"a",0.116805,4.47273,0.116805,4.47273,0,14,0,5,0.0063,-4.355925,1
"a",0.268025,3.97374,0.268025,3.97374,0,13,0,4,0.0066999999999999994,-3.7057149999999996,1
"a",1.16638,1.85597,1.16638,1.0948,4,9,2,3,0.8204,0.071579999999999977,1
"a",1.13718,1.35036,0.376011,1.35036,6,4,2,3,1.1959,-0.974349,2
"a",1.17349,1.22153,1.17349,1.22153,6,3,0,3,1.3221,-0.048040000000000083,2
"h",1.21276,2.19633,1.21276,2.19633,7,10,2,3,0.6525,-0.98357,2
"a",1.41088,3.4984,1.41088,2.62648,7,14,1,3,0.2518,-1.2156,2
"h",0.687551,2.66391,0.687551,2.66391,3,4,1,4,0.153,-1.976359,2
"h",0.474029,2.8285,0.474029,1.30616,6,14,1,3,0.0974,-0.832131,2
"h",1.5013,2.52914,1.5013,2.52914,2,8,3,3,0.6474,-1.0278399999999999,2
"h",2.94058,2.25736,2.94058,2.25736,4,12,3,3,1.8647,0.68322000000000038,3
"a",0.834312,2.72901,0.834312,2.72901,2,2,1,3,0.2717,-1.894698,3
"a",1.23275,2.18388,1.23275,2.18388,6,8,3,3,0.7258,-0.95112999999999981,3
"a",0.621466,1.59306,0.621466,1.59306,3,1,1,4,0.56700000000000006,-0.971594,3
"a",0.376656,3.49099,0.376656,3.49099,5,11,0,3,0.061,-3.114334,3
"h",2.081,2.05969,2.081,2.05969,8,6,1,3,1.3774000000000002,0.021310000000000162,3
"h",1.1695,3.57376,0.408335,3.57376,7,10,1,4,0.1408,-3.165425,4
"h",0.44587,0.821228,0.44587,0.821228,6,2,0,3,0.90999999999999992,-0.37535799999999997,4
"a",1.82061,1.80386,1.82061,1.80386,4,7,1,3,1.404,0.016750000000000043,5
"h",1.04224,1.74839,1.04224,1.74839,5,9,3,3,0.86820000000000008,-0.70615,5
"a",0.871738,1.80776,0.871738,1.80776,6,6,1,3,0.6896,-0.936022,5
"a",0.960493,2.04186,0.960493,2.04186,2,8,1,3,0.6182,-1.0813669999999997,5
"a",1.37049,2.0174,1.37049,1.25623,13,4,2,3,0.8833,0.11426000000000003,6
"a",0.321701,1.18709,0.321701,1.18709,3,14,0,3,0.5141,-0.865389,7
"a",0.644168,2.76793,0.644168,2.76793,8,8,0,3,0.1891,-2.1237619999999997,7
"a",1.74839,1.04224,1.74839,1.04224,9,5,3,3,1.8903,0.70615,7
"a",0.178324,2.82148,0.178324,2.82148,2,15,0,3,0.0596,-2.6431560000000003,7
"h",2.69204,2.23146,2.69204,1.47029,11,4,2,3,1.6874,1.22175,7
"h",1.62615,1.49697,1.62615,0.735802,5,11,1,3,1.4757,0.890348,7
"a",0.755035,0.777716,0.755035,0.777716,2,5,0,3,1.2992,-0.022680999999999951,8
"h",1.84089,3.10344,1.84089,3.10344,12,6,2,5,0.603,-1.26255,8
"a",0.266894,2.61302,0.266894,2.61302,3,14,0,3,0.1081,-2.346126,8
"h",0.512263,2.86067,0.512263,2.86067,1,10,1,4,0.1388,-2.348407,8
"a",1.27556,2.09864,1.27556,2.09864,5,8,1,3,0.7711,-0.82308,8
"h",1.82698,1.48397,1.06581,1.48397,5,8,2,3,1.6211,-0.41816000000000009,8
"a",0.823607,2.68732,0.823607,2.68732,1,3,1,3,0.2541,-1.8637130000000002,8
"a",0.568342,1.64248,0.568342,1.64248,3,8,1,5,0.5492,-1.074138,10
"h",0.652514,4.4016,0.652514,4.4016,8,15,0,3,0.0453,-3.749086,10
"a",1.72934,2.74844,0.968172,1.2261,1,8,2,3,0.6751,-0.25792799999999994,10
"a",0.227498,3.31349,0.227498,3.31349,2,14,0,7,0.045299999999999993,-3.0859919999999996,10
"h",1.31408,3.69008,0.55291,3.69008,7,14,1,4,0.2098,-3.1371700000000002,10
"a",2.52914,1.5013,2.52914,1.5013,8,2,3,3,2.1414,1.0278399999999999,10
"a",0.242668,2.58561,0.242668,2.58561,4,10,0,3,0.0782,-2.342942,10
"h",1.74476,2.60999,1.74476,2.60999,6,12,2,4,0.8092,-0.86522999999999972,10
"a",0.141547,5.3303,0.141547,3.80797,3,13,0,6,0.0015,-3.666423,10
"h",1.89569,2.47025,1.89569,2.47025,16,10,0,4,1.0085,-0.57456,10
"a",0.62676,2.28613,0.62676,2.28613,5,5,1,4,0.3362,-1.65937,9
"h",0.499504,2.57178,0.499504,2.57178,1,8,0,3,0.1647,-2.072276,9
"a",2.43425,3.82869,2.43425,2.30635,6,12,3,6,0.5574,0.1278999999999999,9
"h",1.95031,4.24711,1.95031,4.24711,6,11,2,3,0.3056,-2.2968,9
"a",2.25736,2.94058,2.25736,2.94058,12,4,3,3,0.9266,-0.68322000000000038,11
"a",1.45641,1.25298,1.45641,1.25298,16,3,2,3,1.5019,0.20343,11
"h",3.82869,2.43425,2.30635,2.43425,12,6,6,3,2.28,-0.1278999999999999,12
"h",2.31773,2.00235,1.55656,2.00235,22,2,2,3,1.5803000000000003,-0.44578999999999991,12
"a",1.02494,2.96611,1.02494,2.96611,4,10,2,4,0.2643,-1.94117,13
"h",1.35584,4.04765,1.35584,4.04765,7,13,0,5,0.1523,-2.6918100000000003,13
"a",1.66794,2.73393,1.66794,1.97277,9,7,1,4,0.7023,-0.30482999999999993,13
"h",1.67926,3.00939,1.67926,2.09241,5,10,2,4,0.5491,-0.41315000000000013,14
"a",0.622042,2.77326,0.622042,2.77326,1,11,1,4,0.1559,-2.151218,14
"h",0.645658,1.55008,0.645658,1.55008,3,10,2,3,0.5596,-0.904422,14
"h",0.157616,2.16608,0.157616,1.40491,0,14,0,3,0.0815,-1.2472940000000001,14
"h",2.18388,1.23275,2.18388,1.23275,8,6,3,3,2.0484999999999998,0.95112999999999981,14
"a",0.511934,2.05771,0.511934,1.29654,7,8,0,4,0.2635,-0.784606,14
"a",0.2064,2.93912,0.2064,2.93912,2,14,1,3,0.033,-2.73272,14
"h",0.174208,3.64686,0.174208,3.64686,5,11,0,4,0.012,-3.472652,14
"h",1.3333,1.78728,1.3333,1.78728,3,13,0,3,1.0334999999999999,-0.45398000000000005,15
"a",0.0250088,2.43928,0.0250088,2.43928,0,16,0,5,0.0388,-2.4142712,15
"h",0.782665,2.42487,0.782665,2.42487,12,7,1,3,0.3517,-1.6422049999999997,15
"a",0.26742899999999997,3.10509,0.26742899999999997,2.34393,0,10,0,7,0.047,-2.076501,15
"a",1.06562,2.00668,1.06562,2.00668,9,3,0,3,0.69009999999999994,-0.94105999999999979,15
"h",0.154212,2.87539,0.154212,2.11422,1,10,0,5,0.0342,-1.960008,15
"a",0.594134,2.38978,0.594134,1.62862,5,8,0,3,0.263,-1.0344859999999998,15
"h",0.356755,4.44653,0.356755,3.46024,5,21,0,4,0.0075000000000000006,-3.103485,15
"a",0.66975,3.15449,0.66975,3.15449,5,21,1,3,0.1656,-2.48474,15
"a",0.580601,2.38863,0.580601,2.38863,6,4,1,3,0.2455,-1.8080289999999999,16
"a",1.52634,3.79243,0.765173,3.79243,4,12,1,3,0.1839,-3.027257,16
"a",0.966132,3.07278,0.966132,3.07278,2,14,0,4,0.2162,-2.106648,16
"a",0.502215,2.08429,0.502215,2.08429,2,7,0,3,0.31889999999999996,-1.5820750000000001,16
"a",0.91728,2.29917,0.91728,1.538,8,4,1,3,0.3762,-0.62072,16
"a",0.0775646,2.89372,0.0775646,2.13255,1,7,0,3,0.0144,-2.0549854,17
"h",0.70567,2.5869,0.70567,2.5869,0,15,0,3,0.276,-1.88123,17
"a",0.980166,1.44499,0.980166,1.44499,2,5,1,3,0.9357,-0.464824,17
"h",1.15787,1.38612,1.15787,1.38612,3,9,0,3,1.1688,-0.22825000000000006,17
"h",1.74286,1.73293,1.74286,1.73293,4,7,2,3,1.3881000000000001,0.0099299999999999944,17
"h",0.302302,3.65553,0.302302,3.65553,5,10,0,5,0.0189,-3.353228,18
"a",2.38383,2.16027,1.62266,2.16027,4,8,2,4,1.5234,-0.53761000000000014,18
"h",0.675105,4.03223,0.675105,4.03223,2,27,1,3,0.0801,-3.3571250000000004,18
"h",1.0143,2.84084,1.0143,2.07967,3,6,1,4,0.3019,-1.0653700000000002,18
"h",1.30606,0.925212,1.30606,0.925212,9,2,0,3,1.6481000000000001,0.38084799999999996,18
"h",1.71917,0.818403,1.71917,0.818403,4,2,1,4,2.1715999999999998,0.9007670000000001,18
"h",1.53745,1.35643,1.53745,0.595257,10,2,2,3,1.5153,0.942193,19
"h",2.3549,2.26884,2.3549,2.26884,9,6,2,3,1.4292999999999998,0.086060000000000247,19
