Country,variable,value
COM,1997,
CPV,1997,
CRI,1997,0.696
CUB,1997,0.669
CYP,1997,0.789
CZE,1997,0.774
DEU,1997,0.844
DJI,1997,0.355
DMA,1997,
DNK,1997,0.843
DOM,1997,0.637
DZA,1997,0.619
ECU,1997,0.667
EGY,1997,0.591
ERI,1997,
ESP,1997,0.81
EST,1997,0.747
ETH,1997,
FIN,1997,0.832
FJI,1997,0.667
FRA,1997,0.834
FSM,1997,
GAB,1997,0.633
GBR,1997,0.849
GEO,1997,
GHA,1997,0.475
GIN,1997,0.314
GMB,1997,0.362
GNB,1997,
GNQ,1997,
GRC,1997,0.777
GRD,1997,
GTM,1997,0.523
GUY,1997,0.594
HKG,1997,0.816
HND,1997,0.54
HRV,1997,0.72
HTI,1997,0.43
HUN,1997,0.747
IDN,1997,0.587
IND,1997,0.477
IRL,1997,0.809
IRN,1997,0.653
IRQ,1997,0.583
ISL,1997,0.841
ISR,1997,0.836
ITA,1997,0.814
JAM,1997,0.669
JOR,1997,0.689
JPN,1997,0.848
KAZ,1997,0.669
KEN,1997,0.449
KGZ,1997,0.576
KHM,1997,0.397
KIR,1997,
KNA,1997,
KOR,1997,0.8
KWT,1997,0.775
LAO,1997,0.447
LBN,1997,
LBR,1997,
LBY,1997,0.716
LCA,1997,
LIE,1997,
LKA,1997,0.662
LSO,1997,0.463
LTU,1997,0.724
LUX,1997,0.835
LVA,1997,0.692
MAR,1997,0.503
MDA,1997,0.604
MDG,1997,
MDV,1997,0.573
MEX,1997,0.685
MHL,1997,
MKD,1997,
MLI,1997,0.281
MLT,1997,0.772
MMR,1997,0.4
MNE,1997,
MNG,1997,0.566
MOZ,1997,0.271
MRT,1997,0.43
MUS,1997,0.657
MWI,1997,0.367
MYS,1997,0.706
NAM,1997,0.563
NER,1997,0.24
NGA,1997,
NIC,1997,0.542
NLD,1997,0.866
NOR,1997,0.894
NPL,1997,0.427
NZL,1997,0.861
OMN,1997,
PAK,1997,0.436
PAN,1997,0.7
PER,1997,0.657
PHL,1997,0.619
PLW,1997,
PNG,1997,0.425
POL,1997,0.759
PRT,1997,0.773
PRY,1997,0.633
PSE,1997,
QAT,1997,0.806
ROU,1997,0.695
RUS,1997,0.704
RWA,1997,0.288
SAU,1997,0.732
SDN,1997,0.385
SEN,1997,0.38
SGP,1997,0.791
SLB,1997,
SLE,1997,0.278
SLV,1997,0.59
SRB,1997,0.705
SSD,1997,
STP,1997,0.462
SUR,1997,
SVK,1997,0.756
SVN,1997,0.796
SWE,1997,0.874
SWZ,1997,0.507
SYC,1997,
SYR,1997,0.587
TCD,1997,
TGO,1997,0.425
THA,1997,0.625
TJK,1997,0.522
TKM,1997,
TLS,1997,
TON,1997,0.667
TTO,1997,0.699
TUN,1997,0.623
TUR,1997,0.624
TZA,1997,0.375
UGA,1997,0.35
UKR,1997,0.663
URY,1997,0.727
USA,1997,
UZB,1997,
VCT,1997,
VEN,1997,0.665
VNM,1997,0.539
VUT,1997,
WSM,1997,0.621
YEM,1997,0.418
ZAF,1997,0.644
ZMB,1997,0.42
ZWE,1997,0.466
AFG,1998,0.339
AGO,1998,
ALB,1998,0.649
AND,1998,
ARE,1998,0.769
ARG,1998,0.752
ARM,1998,0.637
ATG,1998,
AUS,1998,0.892
AUT,1998,0.828
AZE,1998,0.627
BDI,1998,0.287
BEL,1998,0.866
BEN,1998,0.385
BFA,1998,
BGD,1998,0.453
BGR,1998,0.71
BHR,1998,0.784
BHS,1998,
BIH,1998,
BLR,1998,0.671
BLZ,1998,0.631
BOL,1998,0.599
BRA,1998,0.67
BRB,1998,0.756
BRN,1998,0.798
BTN,1998,
BWA,1998,0.577
CAF,1998,0.306
CAN,1998,0.861
CHE,1998,0.874
CHL,1998,0.741
CHN,1998,0.574
CIV,1998,0.403
CMR,1998,0.434
COD,1998,0.334
COG,1998,0.511
COL,1998,0.658
COM,1998,
CPV,1998,
CRI,1998,0.702
CUB,1998,0.672
CYP,1998,0.797
CZE,1998,0.775
DEU,1998,0.853
DJI,1998,0.356
DMA,1998,
DNK,1998,0.849
DOM,1998,0.643
DZA,1998,0.629
ECU,1998,0.67
EGY,1998,0.592
ERI,1998,
ESP,1998,0.814
EST,1998,0.759
ETH,1998,
FIN,1998,0.84
FJI,1998,0.667
FRA,1998,0.839
FSM,1998,
GAB,1998,0.636
GBR,1998,0.855
GEO,1998,
GHA,1998,0.476
GIN,1998,0.321
GMB,1998,0.368
GNB,1998,
GNQ,1998,
GRC,1998,0.787
GRD,1998,
GTM,1998,0.531
GUY,1998,0.597
HKG,1998,0.817
HND,1998,0.545
HRV,1998,0.731
HTI,1998,0.433
HUN,1998,0.754
IDN,1998,0.587
IND,1998,0.484
IRL,1998,0.841
IRN,1998,0.659
IRQ,1998,0.597
ISL,1998,0.851
ISR,1998,0.843
ITA,1998,0.819
JAM,1998,0.67
JOR,1998,0.693
JPN,1998,0.847
KAZ,1998,0.672
KEN,1998,0.448
KGZ,1998,0.58
KHM,1998,0.402
KIR,1998,
KNA,1998,
KOR,1998,0.797
KWT,1998,0.781
LAO,1998,0.454
LBN,1998,
LBR,1998,
LBY,1998,0.719
LCA,1998,
LIE,1998,
LKA,1998,0.669
LSO,1998,0.453
LTU,1998,0.736
LUX,1998,0.843
LVA,1998,0.705
MAR,1998,0.511
MDA,1998,0.604
MDG,1998,
MDV,1998,0.587
MEX,1998,0.693
MHL,1998,
MKD,1998,
MLI,1998,0.291
MLT,1998,0.78
MMR,1998,0.405
MNE,1998,
MNG,1998,0.574
MOZ,1998,0.283
MRT,1998,0.438
MUS,1998,0.663
MWI,1998,0.368
MYS,1998,0.709
NAM,1998,0.556
NER,1998,0.248
NGA,1998,
NIC,1998,0.551
NLD,1998,0.868
NOR,1998,0.906
NPL,1998,0.432
NZL,1998,0.864
OMN,1998,
PAK,1998,0.44
PAN,1998,0.708
PER,1998,0.667
PHL,1998,0.623
PLW,1998,
PNG,1998,0.428
POL,1998,0.769
PRT,1998,0.78
PRY,1998,0.638
PSE,1998,
QAT,1998,0.81
ROU,1998,0.697
RUS,1998,0.703
RWA,1998,0.303
SAU,1998,0.737
SDN,1998,0.391
SEN,1998,0.383
SGP,1998,0.796
SLB,1998,
SLE,1998,0.283
SLV,1998,0.598
SRB,1998,0.708
SSD,1998,
STP,1998,0.467
SUR,1998,
SVK,1998,0.762
SVN,1998,0.805
SWE,1998,0.888
SWZ,1998,0.493
SYC,1998,
SYR,1998,0.59
TCD,1998,
TGO,1998,0.424
THA,1998,0.63
TJK,1998,0.526
TKM,1998,
TLS,1998,
TON,1998,0.67
TTO,1998,0.698
TUN,1998,0.635
TUR,1998,0.635
TZA,1998,0.381
UGA,1998,0.365
UKR,1998,0.665
URY,1998,0.735
USA,1998,0.884
UZB,1998,
VCT,1998,
VEN,1998,0.668
VNM,1998,0.559
VUT,1998,
WSM,1998,0.628
YEM,1998,0.43
ZAF,1998,0.638
ZMB,1998,0.419
ZWE,1998,0.461
AFG,1999,0.343
AGO,1999,0.384
ALB,1999,0.66
AND,1999,
ARE,1999,0.776
ARG,1999,0.763
ARM,1999,0.644
ATG,1999,
AUS,1999,0.895
AUT,1999,0.834
AZE,1999,0.634
BDI,1999,0.288
BEL,1999,0.868
BEN,1999,0.391
BFA,1999,
BGD,1999,0.462
BGR,1999,0.709
BHR,1999,0.786
BHS,1999,
BIH,1999,
BLR,1999,0.676
BLZ,1999,0.636
BOL,1999,0.608
BRA,1999,0.675
BRB,1999,0.764
BRN,1999,0.803
BTN,1999,
BWA,1999,0.579
CAF,1999,0.308
CAN,1999,0.864
CHE,1999,0.881
CHL,1999,0.747
CHN,1999,0.583
CIV,1999,0.408
CMR,1999,0.434
COD,1999,0.331
COG,1999,0.5
COL,1999,0.658
COM,1999,
CPV,1999,
CRI,1999,0.706
CUB,1999,0.679
CYP,1999,0.797
CZE,1999,0.784
DEU,1999,0.861
DJI,1999,0.36
DMA,1999,
DNK,1999,0.861
DOM,1999,0.648
DZA,1999,0.638
ECU,1999,0.667
EGY,1999,0.605
ERI,1999,
ESP,1999,0.819
EST,1999,0.766
ETH,1999,
FIN,1999,0.848
FJI,1999,0.672
FRA,1999,0.844
FSM,1999,
GAB,1999,0.631
GBR,1999,0.861
GEO,1999,
GHA,1999,0.478
GIN,1999,0.328
GMB,1999,0.376
GNB,1999,
GNQ,1999,
GRC,1999,0.789
GRD,1999,
GTM,1999,0.539
GUY,1999,0.601
HKG,1999,0.821
HND,1999,0.548
HRV,1999,0.74
HTI,1999,0.437
HUN,1999,0.761
IDN,1999,0.595
IND,1999,0.492
IRL,1999,0.849
IRN,1999,0.664
IRQ,1999,0.604
ISL,1999,0.855
ISR,1999,0.85
ITA,1999,0.824
JAM,1999,0.672
JOR,1999,0.696
JPN,1999,0.85
KAZ,1999,0.676
KEN,1999,0.447
KGZ,1999,0.587
KHM,1999,0.407
KIR,1999,
KNA,1999,
KOR,1999,0.808
KWT,1999,0.786
LAO,1999,0.462
LBN,1999,
LBR,1999,0.361
LBY,1999,0.723
LCA,1999,
LIE,1999,
LKA,1999,0.677
LSO,1999,0.445
LTU,1999,0.744
LUX,1999,0.856
LVA,1999,0.716
MAR,1999,0.52
MDA,1999,0.607
MDG,1999,
MDV,1999,0.601
MEX,1999,0.698
MHL,1999,
MKD,1999,
MLI,1999,0.302
MLT,1999,0.785
MMR,1999,0.414
MNE,1999,
MNG,1999,0.581
MOZ,1999,0.294
MRT,1999,0.445
MUS,1999,0.668
MWI,1999,0.368
MYS,1999,0.715
NAM,1999,0.546
NER,1999,0.251
NGA,1999,
NIC,1999,0.56
NLD,1999,0.871
NOR,1999,0.911
NPL,1999,0.439
NZL,1999,0.865
OMN,1999,
PAK,1999,0.445
PAN,1999,0.713
PER,1999,0.677
PHL,1999,0.627
PLW,1999,
PNG,1999,0.431
POL,1999,0.778
PRT,1999,0.779
PRY,1999,0.641
PSE,1999,
QAT,1999,0.814
ROU,1999,0.703
RUS,1999,0.71
RWA,1999,0.322
SAU,1999,0.739
SDN,1999,0.397
SEN,1999,0.385
SGP,1999,0.807
SLB,1999,0.49
SLE,1999,0.289
SLV,1999,0.6
SRB,1999,0.703
SSD,1999,
STP,1999,0.474
SUR,1999,
SVK,1999,0.762
SVN,1999,0.819
SWE,1999,0.893
SWZ,1999,0.483
SYC,1999,
SYR,1999,0.589
TCD,1999,
TGO,1999,0.425
THA,1999,0.64
TJK,1999,0.53
TKM,1999,
TLS,1999,
TON,1999,0.67
TTO,1999,0.717
TUN,1999,0.645
TUR,1999,0.643
TZA,1999,0.388
UGA,1999,0.381
UKR,1999,0.667
URY,1999,0.737
USA,1999,0.885
UZB,1999,
VCT,1999,
VEN,1999,0.67
VNM,1999,0.566
VUT,1999,
WSM,1999,0.633
YEM,1999,0.423
ZAF,1999,0.633
ZMB,1999,0.424
ZWE,1999,0.457
AFG,2000,0.345
AGO,2000,0.394
ALB,2000,0.667
AND,2000,0.759
ARE,2000,0.782
ARG,2000,0.77
ARM,2000,0.649
ATG,2000,
AUS,2000,0.898
AUT,2000,0.838
AZE,2000,0.641
BDI,2000,0.293
BEL,2000,0.873
BEN,2000,0.398
BFA,2000,0.286
BGD,2000,0.47
BGR,2000,0.712
BHR,2000,0.792
BHS,2000,0.787
BIH,2000,0.669
BLR,2000,0.682
BLZ,2000,0.643
BOL,2000,0.616
BRA,2000,0.684
BRB,2000,0.771
BRN,2000,0.805
BTN,2000,
BWA,2000,0.578
CAF,2000,0.307
CAN,2000,0.868
CHE,2000,0.889
CHL,2000,0.753
CHN,2000,0.591
CIV,2000,0.407
CMR,2000,0.438
COD,2000,0.333
COG,2000,0.495
COL,2000,0.662
COM,2000,0.457
CPV,2000,0.564
CRI,2000,0.711
CUB,2000,0.686
CYP,2000,0.799
CZE,2000,0.796
DEU,2000,0.869
DJI,2000,0.361
DMA,2000,0.694
DNK,2000,0.863
DOM,2000,0.653
DZA,2000,0.646
ECU,2000,0.669
EGY,2000,0.611
ERI,2000,
ESP,2000,0.825
EST,2000,0.78
ETH,2000,0.283
FIN,2000,0.858
FJI,2000,0.675
FRA,2000,0.842
FSM,2000,0.541
GAB,2000,0.627
GBR,2000,0.867
GEO,2000,0.669
GHA,2000,0.483
GIN,2000,0.335
GMB,2000,0.382
GNB,2000,
GNQ,2000,0.52
GRC,2000,0.796
GRD,2000,
GTM,2000,0.546
GUY,2000,0.606
HKG,2000,0.827
HND,2000,0.555
HRV,2000,0.749
HTI,2000,0.44
HUN,2000,0.769
IDN,2000,0.604
IND,2000,0.497
IRL,2000,0.857
IRN,2000,0.671
IRQ,2000,0.608
ISL,2000,0.861
ISR,2000,0.853
ITA,2000,0.83
JAM,2000,0.669
JOR,2000,0.702
JPN,2000,0.855
KAZ,2000,0.685
KEN,2000,0.446
KGZ,2000,0.594
KHM,2000,0.419
KIR,2000,0.564
KNA,2000,
KOR,2000,0.817
KWT,2000,0.786
LAO,2000,0.466
LBN,2000,
LBR,2000,0.422
LBY,2000,0.728
LCA,2000,0.694
LIE,2000,0.862
LKA,2000,0.687
LSO,2000,0.444
LTU,2000,0.755
LUX,2000,0.86
LVA,2000,0.728
MAR,2000,0.531
MDA,2000,0.609
MDG,2000,0.456
MDV,2000,0.61
MEX,2000,0.705
MHL,2000,
MKD,2000,0.669
MLI,2000,0.308
MLT,2000,0.787
MMR,2000,0.424
MNE,2000,
MNG,2000,0.589
MOZ,2000,0.301
MRT,2000,0.446
MUS,2000,0.674
MWI,2000,0.362
MYS,2000,0.724
NAM,2000,0.543
NER,2000,0.253
NGA,2000,
NIC,2000,0.568
NLD,2000,0.876
NOR,2000,0.917
NPL,2000,0.446
NZL,2000,0.87
OMN,2000,0.704
PAK,2000,0.449
PAN,2000,0.719
PER,2000,0.679
PHL,2000,0.631
PLW,2000,0.736
PNG,2000,0.436
POL,2000,0.785
PRT,2000,0.785
PRY,2000,0.64
PSE,2000,
QAT,2000,0.816
ROU,2000,0.709
RUS,2000,0.721
RWA,2000,0.337
SAU,2000,0.744
SDN,2000,0.403
SEN,2000,0.39
SGP,2000,0.818
SLB,2000,0.476
SLE,2000,0.298
SLV,2000,0.608
SRB,2000,0.71
SSD,2000,
STP,2000,0.48
SUR,2000,
SVK,2000,0.763
SVN,2000,0.824
SWE,2000,0.897
SWZ,2000,0.468
SYC,2000,0.712
SYR,2000,0.59
TCD,2000,0.298
TGO,2000,0.426
THA,2000,0.649
TJK,2000,0.538
TKM,2000,
TLS,2000,0.505
TON,2000,0.666
TTO,2000,0.721
TUN,2000,0.653
TUR,2000,0.655
TZA,2000,0.395
UGA,2000,0.395
UKR,2000,0.671
URY,2000,0.742
USA,2000,0.881
UZB,2000,0.596
VCT,2000,0.674
VEN,2000,0.672
VNM,2000,0.578
VUT,2000,
WSM,2000,0.638
YEM,2000,0.432
ZAF,2000,0.629
ZMB,2000,0.428
ZWE,2000,0.452
AFG,2001,0.347
AGO,2001,0.404
ALB,2001,0.673
AND,2001,0.767
ARE,2001,0.787
ARG,2001,0.775
ARM,2001,0.653
ATG,2001,
AUS,2001,0.9
AUT,2001,0.848
AZE,2001,0.649
BDI,2001,0.294
BEL,2001,0.876
BEN,2001,0.41
BFA,2001,0.29
BGD,2001,0.479
BGR,2001,0.722
BHR,2001,0.792
BHS,2001,0.788
BIH,2001,0.675
BLR,2001,0.689
BLZ,2001,0.647
BOL,2001,0.619
BRA,2001,0.691
BRB,2001,0.77
BRN,2001,0.806
BTN,2001,
BWA,2001,0.58
CAF,2001,0.311
CAN,2001,0.872
CHE,2001,0.891
CHL,2001,0.764
CHN,2001,0.599
CIV,2001,0.408
CMR,2001,0.455
COD,2001,0.333
COG,2001,0.501
COL,2001,0.664
COM,2001,0.462
CPV,2001,0.566
CRI,2001,0.714
CUB,2001,0.692
CYP,2001,0.805
CZE,2001,0.806
DEU,2001,0.876
DJI,2001,0.37
DMA,2001,0.698
DNK,2001,0.876
DOM,2001,0.657
DZA,2001,0.655
ECU,2001,0.674
EGY,2001,0.616
ERI,2001,
ESP,2001,0.828
EST,2001,0.79
ETH,2001,0.298
FIN,2001,0.864
FJI,2001,0.675
FRA,2001,0.845
FSM,2001,0.547
GAB,2001,0.63
GBR,2001,0.871
GEO,2001,0.673
GHA,2001,0.482
GIN,2001,0.341
GMB,2001,0.389
GNB,2001,
GNQ,2001,0.523
GRC,2001,0.806
GRD,2001,
GTM,2001,0.553
GUY,2001,0.609
HKG,2001,0.835
HND,2001,0.559
HRV,2001,0.761
HTI,2001,0.442
HUN,2001,0.777
IDN,2001,0.61
IND,2001,0.502
IRL,2001,0.863
IRN,2001,0.678
IRQ,2001,0.615
ISL,2001,0.867
ISR,2001,0.857
ITA,2001,0.837
JAM,2001,0.68
JOR,2001,0.708
JPN,2001,0.859
KAZ,2001,0.7
KEN,2001,0.45
KGZ,2001,0.602
KHM,2001,0.434
KIR,2001,0.582
KNA,2001,
KOR,2001,0.824
KWT,2001,0.785
LAO,2001,0.471
LBN,2001,
LBR,2001,0.421
LBY,2001,0.733
LCA,2001,0.691
LIE,2001,0.868
LKA,2001,0.693
LSO,2001,0.445
LTU,2001,0.767
LUX,2001,0.865
LVA,2001,0.745
MAR,2001,0.542
MDA,2001,0.618
MDG,2001,0.462
MDV,2001,0.616
MEX,2001,0.708
MHL,2001,
MKD,2001,0.673
MLI,2001,0.321
MLT,2001,0.793
MMR,2001,0.432
MNE,2001,
MNG,2001,0.6
MOZ,2001,0.314
MRT,2001,0.446
MUS,2001,0.683
MWI,2001,0.362
MYS,2001,0.722
NAM,2001,0.542
NER,2001,0.259
NGA,2001,
NIC,2001,0.575
NLD,2001,0.88
NOR,2001,0.916
NPL,2001,0.446
NZL,2001,0.874
OMN,2001,0.716
PAK,2001,0.456
PAN,2001,0.722
PER,2001,0.688
PHL,2001,0.634
PLW,2001,0.741
PNG,2001,0.441
POL,2001,0.791
PRT,2001,0.79
PRY,2001,0.648
PSE,2001,
QAT,2001,0.817
ROU,2001,0.715
RUS,2001,0.727
RWA,2001,0.346
SAU,2001,0.747
SDN,2001,0.409
SEN,2001,0.406
SGP,2001,0.822
SLB,2001,0.48
SLE,2001,0.302
SLV,2001,0.612
SRB,2001,0.716
SSD,2001,
STP,2001,0.489
SUR,2001,
SVK,2001,0.765
SVN,2001,0.835
SWE,2001,0.9
SWZ,2001,0.457
SYC,2001,0.708
SYR,2001,0.597
TCD,2001,0.306
TGO,2001,0.427
THA,2001,0.657
TJK,2001,0.548
TKM,2001,
TLS,2001,0.512
TON,2001,0.67
TTO,2001,0.729
TUN,2001,0.661
TUR,2001,0.661
TZA,2001,0.402
UGA,2001,0.403
UKR,2001,0.681
URY,2001,0.745
USA,2001,0.884
UZB,2001,0.603
VCT,2001,0.678
VEN,2001,0.68
VNM,2001,0.586
VUT,2001,
WSM,2001,0.645
YEM,2001,0.449
ZAF,2001,0.61
ZMB,2001,0.436
ZWE,2001,0.453
AFG,2002,0.378
AGO,2002,0.419
ALB,2002,0.68
AND,2002,0.78
ARE,2002,0.792
ARG,2002,0.77
ARM,2002,0.663
ATG,2002,
AUS,2002,0.903
AUT,2002,0.838
AZE,2002,0.658
BDI,2002,0.304
BEL,2002,0.879
BEN,2002,0.419
BFA,2002,0.296
BGD,2002,0.485
BGR,2002,0.729
BHR,2002,0.792
BHS,2002,0.79
BIH,2002,0.681
BLR,2002,0.696
BLZ,2002,0.655
BOL,2002,0.625
BRA,2002,0.698
BRB,2002,0.774
BRN,2002,0.809
BTN,2002,
BWA,2002,0.576
CAF,2002,0.314
CAN,2002,0.877
CHE,2002,0.891
CHL,2002,0.766
CHN,2002,0.61
CIV,2002,0.409
CMR,2002,0.457
COD,2002,0.34
COG,2002,0.504
COL,2002,0.667
COM,2002,0.467
CPV,2002,0.576
CRI,2002,0.717
CUB,2002,0.693
CYP,2002,0.814
CZE,2002,0.813
DEU,2002,0.883
DJI,2002,0.376
DMA,2002,0.697
DNK,2002,0.883
DOM,2002,0.662
DZA,2002,0.666
ECU,2002,0.679
EGY,2002,0.621
ERI,2002,
ESP,2002,0.83
EST,2002,0.799
ETH,2002,0.306
FIN,2002,0.867
FJI,2002,0.678
FRA,2002,0.845
FSM,2002,0.553
GAB,2002,0.632
GBR,2002,0.874
GEO,2002,0.678
GHA,2002,0.487
GIN,2002,0.351
GMB,2002,0.392
GNB,2002,
GNQ,2002,0.536
GRC,2002,0.818
GRD,2002,0.711
GTM,2002,0.56
GUY,2002,0.612
HKG,2002,0.842
HND,2002,0.564
HRV,2002,0.767
HTI,2002,0.444
HUN,2002,0.784
IDN,2002,0.616
IND,2002,0.508
IRL,2002,0.871
IRN,2002,0.683
IRQ,2002,0.616
ISL,2002,0.876
ISR,2002,0.865
ITA,2002,0.842
JAM,2002,0.683
JOR,2002,0.706
JPN,2002,0.862
KAZ,2002,0.713
KEN,2002,0.45
KGZ,2002,0.604
KHM,2002,0.453
KIR,2002,0.58
KNA,2002,
KOR,2002,0.832
KWT,2002,0.788
LAO,2002,0.48
LBN,2002,
LBR,2002,0.423
LBY,2002,0.737
LCA,2002,0.692
LIE,2002,0.873
LKA,2002,0.699
LSO,2002,0.44
LTU,2002,0.778
LUX,2002,0.869
LVA,2002,0.76
MAR,2002,0.553
MDA,2002,0.628
MDG,2002,0.457
MDV,2002,0.619
MEX,2002,0.714
MHL,2002,
MKD,2002,0.679
MLI,2002,0.33
MLT,2002,0.797
MMR,2002,0.441
MNE,2002,
MNG,2002,0.609
MOZ,2002,0.32
MRT,2002,0.451
MUS,2002,0.688
MWI,2002,0.363
MYS,2002,0.724
NAM,2002,0.54
NER,2002,0.263
NGA,2002,
NIC,2002,0.581
NLD,2002,0.879
NOR,2002,0.918
NPL,2002,0.456
NZL,2002,0.882
OMN,2002,0.725
PAK,2002,0.464
PAN,2002,0.728
PER,2002,0.688
PHL,2002,0.639
PLW,2002,0.745
PNG,2002,0.446
POL,2002,0.799
PRT,2002,0.792
PRY,2002,0.658
PSE,2002,
QAT,2002,0.822
ROU,2002,0.724
RUS,2002,0.733
RWA,2002,0.361
SAU,2002,0.749
SDN,2002,0.415
SEN,2002,0.41
SGP,2002,0.83
SLB,2002,0.486
SLE,2002,0.319
SLV,2002,0.619
SRB,2002,0.72
SSD,2002,
STP,2002,0.494
SUR,2002,
SVK,2002,0.772
SVN,2002,0.843
SWE,2002,0.903
SWZ,2002,0.445
SYC,2002,0.709
SYR,2002,0.6
TCD,2002,0.311
TGO,2002,0.428
THA,2002,0.665
TJK,2002,0.559
TKM,2002,
TLS,2002,0.522
TON,2002,0.676
TTO,2002,0.73
TUN,2002,0.666
TUR,2002,0.672
TZA,2002,0.412
UGA,2002,0.418
UKR,2002,0.689
URY,2002,0.747
USA,2002,0.886
UZB,2002,0.61
VCT,2002,0.683
VEN,2002,0.688
VNM,2002,0.594
VUT,2002,
WSM,2002,0.653
YEM,2002,0.456
ZAF,2002,0.618
ZMB,2002,0.445
ZWE,2002,0.444
AFG,2003,0.387
AGO,2003,0.428
ALB,2003,0.687
AND,2003,0.82
ARE,2003,0.798
ARG,2003,0.775
ARM,2003,0.672
ATG,2003,
AUS,2003,0.904
AUT,2003,0.842
AZE,2003,0.667
BDI,2003,0.312
BEL,2003,0.882
BEN,2003,0.426
BFA,2003,0.303
BGD,2003,0.492
BGR,2003,0.738
BHR,2003,0.793
BHS,2003,0.789
BIH,2003,0.686
BLR,2003,0.704
BLZ,2003,0.663
BOL,2003,0.629
BRA,2003,0.694
BRB,2003,0.778
BRN,2003,0.815
BTN,2003,
BWA,2003,0.583
CAF,2003,0.314
CAN,2003,0.882
CHE,2003,0.896
CHL,2003,0.773
CHN,2003,0.622
CIV,2003,0.411
CMR,2003,0.463
COD,2003,0.349
COG,2003,0.504
COL,2003,0.666
COM,2003,0.473
CPV,2003,0.58
CRI,2003,0.72
CUB,2003,0.704
CYP,2003,0.822
CZE,2003,0.822
DEU,2003,0.889
DJI,2003,0.386
DMA,2003,0.702
DNK,2003,0.894
DOM,2003,0.663
DZA,2003,0.676
ECU,2003,0.682
EGY,2003,0.623
ERI,2003,
ESP,2003,0.833
EST,2003,0.806
ETH,2003,0.31
FIN,2003,0.87
FJI,2003,0.678
FRA,2003,0.848
FSM,2003,0.56
GAB,2003,0.633
GBR,2003,0.878
GEO,2003,0.688
GHA,2003,0.489
GIN,2003,0.338
GMB,2003,0.4
GNB,2003,
GNQ,2003,0.535
GRC,2003,0.825
GRD,2003,0.719
GTM,2003,0.564
GUY,2003,0.609
HKG,2003,0.851
HND,2003,0.569
HRV,2003,0.773
HTI,2003,0.447
HUN,2003,0.793
IDN,2003,0.623
IND,2003,0.521
IRL,2003,0.879
IRN,2003,0.69
IRQ,2003,0.604
ISL,2003,0.882
ISR,2003,0.865
ITA,2003,0.847
JAM,2003,0.678
JOR,2003,0.711
JPN,2003,0.865
KAZ,2003,0.725
KEN,2003,0.462
KGZ,2003,0.611
KHM,2003,0.466
KIR,2003,0.586
KNA,2003,
KOR,2003,0.839
KWT,2003,0.791
LAO,2003,0.488
LBN,2003,
LBR,2003,0.402
LBY,2003,0.745
LCA,2003,0.694
LIE,2003,0.878
LKA,2003,0.708
LSO,2003,0.438
LTU,2003,0.79
LUX,2003,0.87
LVA,2003,0.774
MAR,2003,0.564
MDA,2003,0.641
MDG,2003,0.466
MDV,2003,0.633
MEX,2003,0.72
MHL,2003,
MKD,2003,0.686
MLI,2003,0.343
MLT,2003,0.804
MMR,2003,0.451
MNE,2003,0.741
MNG,2003,0.622
MOZ,2003,0.334
MRT,2003,0.455
MUS,2003,0.697
MWI,2003,0.367
MYS,2003,0.731
NAM,2003,0.542
NER,2003,0.268
NGA,2003,0.452
NIC,2003,0.584
NLD,2003,0.883
NOR,2003,0.924
NPL,2003,0.461
NZL,2003,0.885
OMN,2003,0.735
PAK,2003,0.472
PAN,2003,0.73
PER,2003,0.687
PHL,2003,0.643
PLW,2003,0.747
PNG,2003,0.45
POL,2003,0.804
PRT,2003,0.796
PRY,2003,0.657
PSE,2003,
QAT,2003,0.83
ROU,2003,0.732
RUS,2003,0.74
RWA,2003,0.374
SAU,2003,0.756
SDN,2003,0.421
SEN,2003,0.418
SGP,2003,0.839
SLB,2003,0.492
SLE,2003,0.329
SLV,2003,0.625
SRB,2003,0.726
SSD,2003,
STP,2003,0.502
SUR,2003,
SVK,2003,0.777
SVN,2003,0.85
SWE,2003,0.908
SWZ,2003,0.44
SYC,2003,0.713
SYR,2003,0.61
TCD,2003,0.31
TGO,2003,0.432
THA,2003,0.674
TJK,2003,0.571
TKM,2003,
TLS,2003,0.525
TON,2003,0.685
TTO,2003,0.744
TUN,2003,0.673
TUR,2003,0.679
TZA,2003,0.421
UGA,2003,0.427
UKR,2003,0.699
URY,2003,0.75
USA,2003,0.889
UZB,2003,0.615
VCT,2003,0.69
VEN,2003,0.687
VNM,2003,0.603
VUT,2003,
WSM,2003,0.658
YEM,2003,0.464
ZAF,2003,0.617
ZMB,2003,0.455
ZWE,2003,0.43
AFG,2004,0.4
AGO,2004,0.44
ALB,2004,0.692
AND,2004,0.826
ARE,2004,0.803
ARG,2004,0.775
ARM,2004,0.681
ATG,2004,
AUS,2004,0.907
AUT,2004,0.849
AZE,2004,0.674
BDI,2004,0.322
BEL,2004,0.885
BEN,2004,0.434
BFA,2004,0.312
BGD,2004,0.499
BGR,2004,0.745
BHR,2004,0.792
BHS,2004,0.79
BIH,2004,0.692
BLR,2004,0.714
BLZ,2004,0.668
BOL,2004,0.63
BRA,2004,0.697
BRB,2004,0.782
BRN,2004,0.82
BTN,2004,
BWA,2004,0.589
CAF,2004,0.319
CAN,2004,0.887
CHE,2004,0.901
CHL,2004,0.782
CHN,2004,0.631
CIV,2004,0.417
CMR,2004,0.468
COD,2004,0.357
COG,2004,0.508
