Game,ReleaseDate,Genre,TotalEarnings,OnlineEarnings,TotalPlayers,TotalTournaments,genmatch,img
"Shadowrun",2007,"Shooter",24000,24000,0,3,"Match","https://playerskev.blob.core.windows.net/nbaimage/Shadowrun.png"
"ShootMania Storm",2013,"Shooter",262090.69,258286.5,108,43,"Match","https://playerskev.blob.core.windows.net/nbaimage/ShootMania Storm.png"
"Special Force",2004,"Shooter",130250,130250,0,3,"Match","https://playerskev.blob.core.windows.net/nbaimage/Special Force.png"
"Splatoon 2",2017,"Shooter",10055,9755,13,7,"Match","https://playerskev.blob.core.windows.net/nbaimage/Splatoon 2.png"
"Team Fortress 2",2007,"Shooter",718078.81,393807.2,1364,197,"Match","https://playerskev.blob.core.windows.net/nbaimage/Team Fortress 2.png"
"Unreal Tournament",1999,"Shooter",89000,89000,14,5,"Match","https://playerskev.blob.core.windows.net/nbaimage/Unreal Tournament.png"
"Unreal Tournament 2003",2002,"Shooter",147473.91,147473.91,33,14,"Match","https://playerskev.blob.core.windows.net/nbaimage/Unreal Tournament 2003.png"
"Unreal Tournament 2004",2004,"Shooter",133969.33,133969.33,41,12,"Match","https://playerskev.blob.core.windows.net/nbaimage/Unreal Tournament 2004.png"
"Unreal Tournament 3",2007,"Shooter",104977.82,104977.82,7,4,"Match","https://playerskev.blob.core.windows.net/nbaimage/Unreal Tournament 3.png"
"VALORANT",2020,"Shooter",2276376.65,210228,2165,296,"Match","https://playerskev.blob.core.windows.net/nbaimage/VALORANT.png"
"Warface",2013,"Shooter",109555,109555,32,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Warface.png"
"Wolfenstein Enemy Territory",2003,"Shooter",140963.24,138376.87,152,18,"Match","https://playerskev.blob.core.windows.net/nbaimage/Wolfenstein Enemy Territory.png"
"Xonotic",2010,"Shooter",5489.65,26.07,133,25,"Match","https://playerskev.blob.core.windows.net/nbaimage/Xonotic.png"
"Arena of Valor",2015,"Multiplayer Online Battle Arena",23760471.67,22409531.67,664,61,"Match","https://playerskev.blob.core.windows.net/nbaimage/Arena of Valor.png"
"Battlerite",2016,"Multiplayer Online Battle Arena",65173.45,28000,86,75,"Match","https://playerskev.blob.core.windows.net/nbaimage/Battlerite.png"
"Bloodline Champions",2011,"Multiplayer Online Battle Arena",41905.32,40850,43,12,"Match","https://playerskev.blob.core.windows.net/nbaimage/Bloodline Champions.png"
"Defense of the Ancients",2003,"Multiplayer Online Battle Arena",857420.65,829658.68,468,94,"Match","https://playerskev.blob.core.windows.net/nbaimage/Defense of the Ancients.png"
"Dota 2",2013,"Multiplayer Online Battle Arena",229445489.5,213610391.3,3934,1476,"Match","https://playerskev.blob.core.windows.net/nbaimage/Dota 2.png"
"Heroes of Newerth",2010,"Multiplayer Online Battle Arena",2915206.56,1552890.01,813,371,"Match","https://playerskev.blob.core.windows.net/nbaimage/Heroes of Newerth.png"
"Heroes of the Storm",2015,"Multiplayer Online Battle Arena",18188482.65,14196415.95,1253,475,"Match","https://playerskev.blob.core.windows.net/nbaimage/Heroes of the Storm.png"
"League of Legends",2009,"Multiplayer Online Battle Arena",82031341.76,74127639.23,7202,2491,"Match","https://playerskev.blob.core.windows.net/nbaimage/League of Legends.png"
"Minecraft",2011,"Multiplayer Online Battle Arena",429539.15,10000,84,20,"Match","https://playerskev.blob.core.windows.net/nbaimage/Minecraft.png"
"SMITE",2014,"Multiplayer Online Battle Arena",9240112.75,7872832.57,525,96,"Match","https://playerskev.blob.core.windows.net/nbaimage/SMITE.png"
"Vainglory",2014,"Multiplayer Online Battle Arena",797421.19,696825.87,247,35,"Match","https://playerskev.blob.core.windows.net/nbaimage/Vainglory.png"
"Blade & Soul",2012,"Role-Playing",409355.52,409355.52,51,5,"Match","https://playerskev.blob.core.windows.net/nbaimage/Blade & Soul.png"
"Guild Wars 2",2012,"Role-Playing",476005.5,350000,152,57,"Match","https://playerskev.blob.core.windows.net/nbaimage/Guild Wars 2.png"
"Old School Runescape",2013,"Role-Playing",422504.2,28500,66,22,"Match","https://playerskev.blob.core.windows.net/nbaimage/Old School Runescape.png"
"Red Stone",2004,"Role-Playing",58000,58000,12,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Red Stone.png"
"World of WarCraft",2004,"Role-Playing",4957837.61,4615888.91,413,118,"Match","https://playerskev.blob.core.windows.net/nbaimage/World of WarCraft.png"
"Acceleration of SUGURI 2",2018,"Fighting Game",410,210,8,3,"Match","https://playerskev.blob.core.windows.net/nbaimage/Acceleration of SUGURI 2.png"
"Aquapazza Aquaplus Dream Match",2011,"Fighting Game",245,245,5,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Aquapazza Aquaplus Dream Match.png"
"Arcana Heart 3 Love Max Six Stars!!!!!",2014,"Fighting Game",570,520,8,4,"Match","https://playerskev.blob.core.windows.net/nbaimage/Arcana Heart 3 Love Max Six Stars!!!!!.png"
"Arcana Heart 3 LOVE MAX!!!!!",2013,"Fighting Game",410,410,6,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Arcana Heart 3 LOVE MAX!!!!!.png"
"ARMS",2017,"Fighting Game",20130.77,13261.93,110,88,"Match","https://playerskev.blob.core.windows.net/nbaimage/ARMS.png"
"BlazBlue Central Fiction",2015,"Fighting Game",78879.26,78582.42,86,38,"Match","https://playerskev.blob.core.windows.net/nbaimage/BlazBlue Central Fiction.png"
"BlazBlue Chronophantasma",2012,"Fighting Game",37020.58,37020.58,63,15,"Match","https://playerskev.blob.core.windows.net/nbaimage/BlazBlue Chronophantasma.png"
"BlazBlue Chronophantasma Extend",2015,"Fighting Game",4918.77,4918.77,28,11,"Match","https://playerskev.blob.core.windows.net/nbaimage/BlazBlue Chronophantasma Extend.png"
"BlazBlue Continuum Shift II",2010,"Fighting Game",24591.01,24591.01,14,5,"Match","https://playerskev.blob.core.windows.net/nbaimage/BlazBlue Continuum Shift II.png"
"BlazBlue Cross Tag Battle",2018,"Fighting Game",82800.03,82800.03,89,31,"Match","https://playerskev.blob.core.windows.net/nbaimage/BlazBlue Cross Tag Battle.png"
"Brawlhalla",2015,"Fighting Game",1164994.09,692000.3,498,388,"Match","https://playerskev.blob.core.windows.net/nbaimage/Brawlhalla.png"
"Capcom vs. SNK",2000,"Fighting Game",140,140,6,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Capcom vs. SNK.png"
"Capcom vs. SNK 2",2001,"Fighting Game",24186.79,24186.79,36,19,"Match","https://playerskev.blob.core.windows.net/nbaimage/Capcom vs. SNK 2.png"
"Dead or Alive 4",2005,"Fighting Game",497745.31,497745.31,45,13,"Match","https://playerskev.blob.core.windows.net/nbaimage/Dead or Alive 4.png"
"Dead or Alive 5 Last Round",2015,"Fighting Game",8163.82,8163.82,45,19,"Match","https://playerskev.blob.core.windows.net/nbaimage/Dead or Alive 5 Last Round.png"
"Dead or Alive 6",2019,"Fighting Game",64332.54,63222.54,64,19,"Match","https://playerskev.blob.core.windows.net/nbaimage/Dead or Alive 6.png"
"Dengeki Bunko Fighting Climax Ignition",2015,"Fighting Game",2852.8,2667.3,31,10,"Match","https://playerskev.blob.core.windows.net/nbaimage/Dengeki Bunko Fighting Climax Ignition.png"
"Divekick",2013,"Fighting Game",5840,5840,27,11,"Match","https://playerskev.blob.core.windows.net/nbaimage/Divekick.png"
"Dragon Ball FighterZ",2018,"Fighting Game",337985.4,337135.4,159,73,"Match","https://playerskev.blob.core.windows.net/nbaimage/Dragon Ball FighterZ.png"
"Fantasy Strike",2019,"Fighting Game",4135,2610,18,4,"Match","https://playerskev.blob.core.windows.net/nbaimage/Fantasy Strike.png"
"Fighting EX Layer",2018,"Fighting Game",1642.96,1632.96,16,7,"Match","https://playerskev.blob.core.windows.net/nbaimage/Fighting EX Layer.png"
"Garou Mark of the Wolves",1999,"Fighting Game",658.71,513.71,13,4,"Match","https://playerskev.blob.core.windows.net/nbaimage/Garou Mark of the Wolves.png"
"Guilty Gear Xrd  REVELATOR",2016,"Fighting Game",36437.43,36437.43,61,19,"Match","https://playerskev.blob.core.windows.net/nbaimage/Guilty Gear Xrd  REVELATOR.png"
"Guilty Gear Xrd  SIGN",2014,"Fighting Game",37445.66,37445.66,80,38,"Match","https://playerskev.blob.core.windows.net/nbaimage/Guilty Gear Xrd  SIGN.png"
"Guilty Gear Xrd REV 2",2017,"Fighting Game",116749.7,116554.7,104,50,"Match","https://playerskev.blob.core.windows.net/nbaimage/Guilty Gear Xrd REV 2.png"
"Guilty Gear XX Accent Core",2007,"Fighting Game",10365,10365,33,4,"Match","https://playerskev.blob.core.windows.net/nbaimage/Guilty Gear XX Accent Core.png"
"Guilty Gear XX Accent Core Plus R",2012,"Fighting Game",4640,4640,61,19,"Match","https://playerskev.blob.core.windows.net/nbaimage/Guilty Gear XX Accent Core Plus R.png"
"Guilty Gear XX Slash",2005,"Fighting Game",10250,10250,6,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Guilty Gear XX Slash.png"
"Injustice 2",2017,"Fighting Game",835742.83,834310.24,81,37,"Match","https://playerskev.blob.core.windows.net/nbaimage/Injustice 2.png"
"Injustice Gods Among Us",2013,"Fighting Game",35176.89,35176.89,101,117,"Match","https://playerskev.blob.core.windows.net/nbaimage/Injustice Gods Among Us.png"
"Kill la Kill the Game IF",2019,"Fighting Game",920,770,12,4,"Match","https://playerskev.blob.core.windows.net/nbaimage/Kill la Kill the Game IF.png"
"Killer Instinct (2013)",2013,"Fighting Game",224466.96,224416.96,128,53,"Match","https://playerskev.blob.core.windows.net/nbaimage/Killer Instinct (2013).png"
"King of Fighters 2002 Unlimited Match",2009,"Fighting Game",760,760,6,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/King of Fighters 2002 Unlimited Match.png"
"King of Fighters 98",1998,"Fighting Game",7945.57,7945.57,7,3,"Match","https://playerskev.blob.core.windows.net/nbaimage/King of Fighters 98.png"
"King of Fighters XIII",2010,"Fighting Game",44724.28,44724.28,107,43,"Match","https://playerskev.blob.core.windows.net/nbaimage/King of Fighters XIII.png"
"King of Fighters XIV",2016,"Fighting Game",72902.09,72042.09,90,37,"Match","https://playerskev.blob.core.windows.net/nbaimage/King of Fighters XIV.png"
"Koihime Enbu",2016,"Fighting Game",1665,1615,13,6,"Match","https://playerskev.blob.core.windows.net/nbaimage/Koihime Enbu.png"
"Lethal League Blaze",2018,"Fighting Game",5343.92,1677.75,25,11,"Match","https://playerskev.blob.core.windows.net/nbaimage/Lethal League Blaze.png"
"Marvel vs. Capcom 2",2000,"Fighting Game",39060,39050,60,28,"Match","https://playerskev.blob.core.windows.net/nbaimage/Marvel vs. Capcom 2.png"
"Marvel vs. Capcom 3",2011,"Fighting Game",22343.62,22343.62,38,12,"Match","https://playerskev.blob.core.windows.net/nbaimage/Marvel vs. Capcom 3.png"
"Marvel vs. Capcom Infinite",2017,"Fighting Game",42482.12,42482.12,49,19,"Match","https://playerskev.blob.core.windows.net/nbaimage/Marvel vs. Capcom Infinite.png"
"Melty Blood Actress Again Current Code",2010,"Fighting Game",8587.76,6135,48,18,"Match","https://playerskev.blob.core.windows.net/nbaimage/Melty Blood Actress Again Current Code.png"
"Million Arthur Arcana Blood",2017,"Fighting Game",7430,7420,9,3,"Match","https://playerskev.blob.core.windows.net/nbaimage/Million Arthur Arcana Blood.png"
"Mortal Kombat 11",2019,"Fighting Game",392602.33,354602.33,158,37,"Match","https://playerskev.blob.core.windows.net/nbaimage/Mortal Kombat 11.png"
"Mortal Kombat 9",2011,"Fighting Game",136891.67,136891.67,67,26,"Match","https://playerskev.blob.core.windows.net/nbaimage/Mortal Kombat 9.png"
"Mortal Kombat X",2015,"Fighting Game",523532.42,523532.42,100,62,"Match","https://playerskev.blob.core.windows.net/nbaimage/Mortal Kombat X.png"
"Mortal Kombat XL",2016,"Fighting Game",129203.79,129203.79,50,17,"Match","https://playerskev.blob.core.windows.net/nbaimage/Mortal Kombat XL.png"
"Mystery Game Tournament",2019,"Fighting Game",10995,10995,56,8,"Match","https://playerskev.blob.core.windows.net/nbaimage/Mystery Game Tournament.png"
"Naruto Shippuden Ultimate Ninja Storm 4",2016,"Fighting Game",4550,2000,7,5,"Match","https://playerskev.blob.core.windows.net/nbaimage/Naruto Shippuden Ultimate Ninja Storm 4.png"
"Nitroplus Blasterz Heroines Infinite Duel",2015,"Fighting Game",1994,1994,10,4,"Match","https://playerskev.blob.core.windows.net/nbaimage/Nitroplus Blasterz Heroines Infinite Duel.png"
"Persona 4 Arena",2012,"Fighting Game",6336.63,6336.63,42,11,"Match","https://playerskev.blob.core.windows.net/nbaimage/Persona 4 Arena.png"
"Persona 4 Arena Ultimax",2013,"Fighting Game",18828.16,18828.16,58,19,"Match","https://playerskev.blob.core.windows.net/nbaimage/Persona 4 Arena Ultimax.png"
"Pokk<U+00E9>n Tournament",2016,"Fighting Game",77016.66,76971.66,62,25,"Match","https://playerskev.blob.core.windows.net/nbaimage/Pokk<U+00E9>n Tournament.png"
"Pokk<U+00E9>n Tournament DX",2017,"Fighting Game",20275.4,20064,43,26,"Match","https://playerskev.blob.core.windows.net/nbaimage/Pokk<U+00E9>n Tournament DX.png"
"Power Rangers Battle for the Grid",2019,"Fighting Game",1390,530,11,4,"Match","https://playerskev.blob.core.windows.net/nbaimage/Power Rangers Battle for the Grid.png"
"Project M",2010,"Fighting Game",205292.09,205292.09,560,335,"Match","https://playerskev.blob.core.windows.net/nbaimage/Project M.png"
"Rivals of Aether",2015,"Fighting Game",38868.62,36737,48,18,"Match","https://playerskev.blob.core.windows.net/nbaimage/Rivals of Aether.png"
"Sailor Moon S",1995,"Fighting Game",3201.19,3191.19,18,11,"Match","https://playerskev.blob.core.windows.net/nbaimage/Sailor Moon S.png"
"Samurai Shodown (2019)",2019,"Fighting Game",68009.91,68009.91,58,15,"Match","https://playerskev.blob.core.windows.net/nbaimage/Samurai Shodown (2019).png"
"Samurai Shodown V Special",2004,"Fighting Game",590.57,490.11,15,5,"Match","https://playerskev.blob.core.windows.net/nbaimage/Samurai Shodown V Special.png"
"Skullgirls 2nd Encore",2015,"Fighting Game",18321,17871,34,12,"Match","https://playerskev.blob.core.windows.net/nbaimage/Skullgirls 2nd Encore.png"
"Skullgirls Encore",2014,"Fighting Game",9155.4,9155.4,37,13,"Match","https://playerskev.blob.core.windows.net/nbaimage/Skullgirls Encore.png"
"Soul Calibur II",2003,"Fighting Game",4790,4790,15,7,"Match","https://playerskev.blob.core.windows.net/nbaimage/Soul Calibur II.png"
"Soul Calibur II HD Online",2013,"Fighting Game",945.41,945.41,29,5,"Match","https://playerskev.blob.core.windows.net/nbaimage/Soul Calibur II HD Online.png"
"Soul Calibur IV",2008,"Fighting Game",100260,100260,4,3,"Match","https://playerskev.blob.core.windows.net/nbaimage/Soul Calibur IV.png"
"Soul Calibur V",2012,"Fighting Game",60008.54,60008.54,78,26,"Match","https://playerskev.blob.core.windows.net/nbaimage/Soul Calibur V.png"
"Soul Calibur VI",2018,"Fighting Game",109895.21,94795.21,101,49,"Match","https://playerskev.blob.core.windows.net/nbaimage/Soul Calibur VI.png"
"Street Fighter Alpha 2",1996,"Fighting Game",1390,1390,17,8,"Match","https://playerskev.blob.core.windows.net/nbaimage/Street Fighter Alpha 2.png"
"Street Fighter Alpha 3",1998,"Fighting Game",300,300,15,4,"Match","https://playerskev.blob.core.windows.net/nbaimage/Street Fighter Alpha 3.png"
"Street Fighter EX2 Plus",1999,"Fighting Game",350,350,5,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Street Fighter EX2 Plus.png"
"Street Fighter III 3rd Strike",1999,"Fighting Game",49378.86,49278.86,83,35,"Match","https://playerskev.blob.core.windows.net/nbaimage/Street Fighter III 3rd Strike.png"
"Street Fighter IV",2009,"Fighting Game",7938.22,7938.22,41,12,"Match","https://playerskev.blob.core.windows.net/nbaimage/Street Fighter IV.png"
"Street Fighter V",2016,"Fighting Game",2202726.43,2202726.43,233,120,"Match","https://playerskev.blob.core.windows.net/nbaimage/Street Fighter V.png"
"Street Fighter V Arcade Edition",2018,"Fighting Game",2017135.95,2016285.95,229,100,"Match","https://playerskev.blob.core.windows.net/nbaimage/Street Fighter V Arcade Edition.png"
"Street Fighter V Champion Edition",2020,"Fighting Game",33628.66,33628.66,10,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Street Fighter V Champion Edition.png"
"Street Fighter X Tekken",2012,"Fighting Game",84090.64,83229.34,115,93,"Match","https://playerskev.blob.core.windows.net/nbaimage/Street Fighter X Tekken.png"
"Super Smash Bros.",1999,"Fighting Game",68082.81,68042.81,234,123,"Match","https://playerskev.blob.core.windows.net/nbaimage/Super Smash Bros..png"
"Super Smash Bros. Brawl",2008,"Fighting Game",246715.83,246715.83,499,344,"Match","https://playerskev.blob.core.windows.net/nbaimage/Super Smash Bros. Brawl.png"
"Super Smash Bros. for Wii U",2014,"Fighting Game",1511976.47,1510076.47,1264,1022,"Match","https://playerskev.blob.core.windows.net/nbaimage/Super Smash Bros. for Wii U.png"
"Super Smash Bros. Melee",2001,"Fighting Game",3238403.57,3178984.8,1881,2613,"Match","https://playerskev.blob.core.windows.net/nbaimage/Super Smash Bros. Melee.png"
"Super Smash Bros. Ultimate",2018,"Fighting Game",1432755.84,1214511.95,1939,1303,"Match","https://playerskev.blob.core.windows.net/nbaimage/Super Smash Bros. Ultimate.png"
"Super Street Fighter II Turbo",1994,"Fighting Game",23678.05,23678.05,104,44,"Match","https://playerskev.blob.core.windows.net/nbaimage/Super Street Fighter II Turbo.png"
"Super Street Fighter II Turbo HD Remix",2008,"Fighting Game",16360,16360,29,8,"Match","https://playerskev.blob.core.windows.net/nbaimage/Super Street Fighter II Turbo HD Remix.png"
"Super Street Fighter IV",2010,"Fighting Game",20877.3,20877.3,40,16,"Match","https://playerskev.blob.core.windows.net/nbaimage/Super Street Fighter IV.png"
"Super Street Fighter IV Arcade Edition",2010,"Fighting Game",343878.08,343878.08,153,202,"Match","https://playerskev.blob.core.windows.net/nbaimage/Super Street Fighter IV Arcade Edition.png"
"Tatsunoko vs. Capcom Ultimate All Stars",2010,"Fighting Game",1330.81,1330.81,13,8,"Match","https://playerskev.blob.core.windows.net/nbaimage/Tatsunoko vs. Capcom Ultimate All Stars.png"
"Teenage Mutant Ninja Turtles Tournament Fighters",1993,"Fighting Game",820,820,7,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Teenage Mutant Ninja Turtles Tournament Fighters.png"
"Tekken 4",2001,"Fighting Game",12500,12500,4,4,"Match","https://playerskev.blob.core.windows.net/nbaimage/Tekken 4.png"
"Tekken 5",2004,"Fighting Game",10250,10250,10,9,"Match","https://playerskev.blob.core.windows.net/nbaimage/Tekken 5.png"
"Tekken 5 Dark Resurrection",2006,"Fighting Game",12180,12180,18,5,"Match","https://playerskev.blob.core.windows.net/nbaimage/Tekken 5 Dark Resurrection.png"
"Tekken 6",2007,"Fighting Game",119874.64,119874.64,59,30,"Match","https://playerskev.blob.core.windows.net/nbaimage/Tekken 6.png"
"Tekken 7",2015,"Fighting Game",1732656.45,1714113.85,425,238,"Match","https://playerskev.blob.core.windows.net/nbaimage/Tekken 7.png"
"Tekken Tag Tournament 2",2011,"Fighting Game",125965.7,125965.7,142,138,"Match","https://playerskev.blob.core.windows.net/nbaimage/Tekken Tag Tournament 2.png"
"Them's Fightin' Herds",2018,"Fighting Game",580,530,10,4,"Match","https://playerskev.blob.core.windows.net/nbaimage/Them's Fightin' Herds.png"
"Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe",2009,"Fighting Game",1879.61,220,17,5,"Match","https://playerskev.blob.core.windows.net/nbaimage/Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe.png"
"Ultimate Marvel vs. Capcom 3",2011,"Fighting Game",116733.16,116733.16,190,169,"Match","https://playerskev.blob.core.windows.net/nbaimage/Ultimate Marvel vs. Capcom 3.png"
"Ultimate Mortal Kombat 3",1995,"Fighting Game",150,150,6,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Ultimate Mortal Kombat 3.png"
"Ultra Street Fighter IV",2014,"Fighting Game",816713.46,816673.46,231,229,"Match","https://playerskev.blob.core.windows.net/nbaimage/Ultra Street Fighter IV.png"
"Umineko Golden Fantasia",2010,"Fighting Game",140,90,6,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Umineko Golden Fantasia.png"
"Under Night In Birth EXE Late",2014,"Fighting Game",6025.76,6025.76,52,23,"Match","https://playerskev.blob.core.windows.net/nbaimage/Under Night In Birth EXE Late.png"
"Under Night In Birth EXE Late[st]",2015,"Fighting Game",46553.33,46553.33,98,34,"Match","https://playerskev.blob.core.windows.net/nbaimage/Under Night In Birth EXE Late[st].png"
"Under Night In Birth ExeLate[cl r]",2020,"Fighting Game",1050,1000,7,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Under Night In Birth ExeLate[cl r].png"
"Vampire Savior",1997,"Fighting Game",9185.95,8038.74,32,18,"Match","https://playerskev.blob.core.windows.net/nbaimage/Vampire Savior.png"
"Virtua Fighter 5",2007,"Fighting Game",39830,39830,14,7,"Match","https://playerskev.blob.core.windows.net/nbaimage/Virtua Fighter 5.png"
"Virtua Fighter 5 Final Showdown",2010,"Fighting Game",573.77,573.77,28,6,"Match","https://playerskev.blob.core.windows.net/nbaimage/Virtua Fighter 5 Final Showdown.png"
"Asphalt 4",2008,"Sports",29500,29500,5,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Asphalt 4.png"
"Asphalt 9 Legends",2018,"Sports",51520,51520,5,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Asphalt 9 Legends.png"
"Assetto Corsa",2014,"Sports",361419.61,228047,170,55,"Match","https://playerskev.blob.core.windows.net/nbaimage/Assetto Corsa.png"
"Dirt Rally 2.0",2019,"Sports",10000,10000,5,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Dirt Rally 2.0.png"
"F1 2019",2019,"Sports",538047.38,538047.38,25,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/F1 2019.png"
"Forza Motorsport 2",2007,"Sports",222000,222000,17,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Forza Motorsport 2.png"
"Forza Motorsport 3",2009,"Sports",11000,11000,3,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Forza Motorsport 3.png"
"Forza Motorsport 6",2015,"Sports",172600,170200,43,9,"Match","https://playerskev.blob.core.windows.net/nbaimage/Forza Motorsport 6.png"
"Forza Motorsport 7",2017,"Sports",820200,616200,124,12,"Match","https://playerskev.blob.core.windows.net/nbaimage/Forza Motorsport 7.png"
"Gran Turismo 3 A Spec",2001,"Sports",3250,3250,4,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Gran Turismo 3 A Spec.png"
"Gran Turismo 4",2004,"Sports",44000,44000,5,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Gran Turismo 4.png"
"Gran Turismo Sport",2017,"Sports",27511,27511,75,7,"Match","https://playerskev.blob.core.windows.net/nbaimage/Gran Turismo Sport.png"
"iRacing.com",2008,"Sports",1545879.43,128994.1,883,112,"Match","https://playerskev.blob.core.windows.net/nbaimage/iRacing.com.png"
"KartRider",2004,"Sports",567366.35,567366.35,76,20,"Match","https://playerskev.blob.core.windows.net/nbaimage/KartRider.png"
"Live for Speed",2003,"Sports",11599.14,9219.14,22,9,"Match","https://playerskev.blob.core.windows.net/nbaimage/Live for Speed.png"
"Mario Kart 8 Deluxe",2017,"Sports",1754.44,1754.44,30,4,"Match","https://playerskev.blob.core.windows.net/nbaimage/Mario Kart 8 Deluxe.png"
"Need for Speed Carbon",2006,"Sports",36322.58,36322.58,12,4,"Match","https://playerskev.blob.core.windows.net/nbaimage/Need for Speed Carbon.png"
"Need for Speed Most Wanted",2005,"Sports",35694.54,35694.54,18,7,"Match","https://playerskev.blob.core.windows.net/nbaimage/Need for Speed Most Wanted.png"
"Need for Speed ProStreet",2007,"Sports",32208.46,32208.46,12,3,"Match","https://playerskev.blob.core.windows.net/nbaimage/Need for Speed ProStreet.png"
"Need for Speed Underground 2",2004,"Sports",35629.48,35629.48,8,3,"Match","https://playerskev.blob.core.windows.net/nbaimage/Need for Speed Underground 2.png"
"Project Cars",2015,"Sports",67968.71,10602.71,50,114,"Match","https://playerskev.blob.core.windows.net/nbaimage/Project Cars.png"
"Project Cars 2",2017,"Sports",66150,58150,37,22,"Match","https://playerskev.blob.core.windows.net/nbaimage/Project Cars 2.png"
"Project Gotham Racing 2",2003,"Sports",35000,35000,4,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Project Gotham Racing 2.png"
"Project Gotham Racing 3",2005,"Sports",297286.85,297286.85,33,10,"Match","https://playerskev.blob.core.windows.net/nbaimage/Project Gotham Racing 3.png"
"Project Gotham Racing 4",2007,"Sports",25208.46,25208.46,5,4,"Match","https://playerskev.blob.core.windows.net/nbaimage/Project Gotham Racing 4.png"
"RaceRoom Racing Experience",2013,"Sports",156963.7,74108.7,145,21,"Match","https://playerskev.blob.core.windows.net/nbaimage/RaceRoom Racing Experience.png"
"rFactor 2",2013,"Sports",1271690.6,1064611.94,229,49,"Match","https://playerskev.blob.core.windows.net/nbaimage/rFactor 2.png"
"TrackMania 2 Canyon",2011,"Sports",22098.74,16559.04,21,36,"Match","https://playerskev.blob.core.windows.net/nbaimage/TrackMania 2 Canyon.png"
"TrackMania 2 Stadium",2013,"Sports",198680.08,107640.31,347,283,"Match","https://playerskev.blob.core.windows.net/nbaimage/TrackMania 2 Stadium.png"
"Trackmania 2 Valley",2013,"Sports",779.34,779.34,6,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Trackmania 2 Valley.png"
"TrackMania Nations",2006,"Sports",93381.66,53381.66,18,8,"Match","https://playerskev.blob.core.windows.net/nbaimage/TrackMania Nations.png"
"TrackMania Nations Forever",2008,"Sports",167386.65,146554.75,109,73,"Match","https://playerskev.blob.core.windows.net/nbaimage/TrackMania Nations Forever.png"
"Turbo Racing League",2013,"Sports",1000000,500000,16,9,"Match","https://playerskev.blob.core.windows.net/nbaimage/Turbo Racing League.png"
"Carom 3D",1999,"Sports",60500,60500,11,4,"Match","https://playerskev.blob.core.windows.net/nbaimage/Carom 3D.png"
"FIFA 03",2002,"Sports",54066.44,54066.44,10,3,"Match","https://playerskev.blob.core.windows.net/nbaimage/FIFA 03.png"
"FIFA 04",2003,"Sports",40000,40000,3,3,"Match","https://playerskev.blob.core.windows.net/nbaimage/FIFA 04.png"
"FIFA 05",2004,"Sports",57728.01,57728.01,5,8,"Match","https://playerskev.blob.core.windows.net/nbaimage/FIFA 05.png"
"FIFA 06",2005,"Sports",112464.53,112464.53,23,12,"Match","https://playerskev.blob.core.windows.net/nbaimage/FIFA 06.png"
"FIFA 07",2006,"Sports",237812.23,237812.23,42,13,"Match","https://playerskev.blob.core.windows.net/nbaimage/FIFA 07.png"
"FIFA 08",2007,"Sports",207129.94,207129.94,68,17,"Match","https://playerskev.blob.core.windows.net/nbaimage/FIFA 08.png"
"FIFA 09",2008,"Sports",121618.34,115321.42,52,19,"Match","https://playerskev.blob.core.windows.net/nbaimage/FIFA 09.png"
"FIFA 10",2009,"Sports",117026.71,90147.21,64,48,"Match","https://playerskev.blob.core.windows.net/nbaimage/FIFA 10.png"
"FIFA 11",2010,"Sports",93983.77,85154.02,72,78,"Match","https://playerskev.blob.core.windows.net/nbaimage/FIFA 11.png"
"FIFA 12",2011,"Sports",54431.52,47279.42,53,66,"Match","https://playerskev.blob.core.windows.net/nbaimage/FIFA 12.png"
"FIFA 13",2012,"Sports",458427.82,448195.59,53,62,"Match","https://playerskev.blob.core.windows.net/nbaimage/FIFA 13.png"
