2017 Expenses.Category,2017 Expenses.SubCategory,2018FullCategory,2018FullSubCategory,2018 Expenses.Category,2018 Expenses.Subcategory,FullCategory,FullSubCategory,Actual                2017–18,Actual                2018–19,Actual                2019–20,Current                 Outlook22020–21,2021 Expenses.Actual                 2018–19,2021 Expenses.Actual                 2019–20,2021 Expenses.Interim2                 2020‑21,2021 Expenses.Plan                 2021–22,2019 Expenses.Actual 2016–17,2019 Expenses.Actual 2017–18,2019 Expenses.Interim22018–19,2019 Expenses.Plan2019–20,2018 Expenses.2015–16,2018 Expenses.Actual  2016–17,2018 Expenses.Interim  2017–18,2018 Expenses.Plan  2018–19,2017 Expenses.2014–15,2017 Expenses.Actual2015–16,2017 Expenses.Interim2016–17,2017 Expenses.Plan2017–18
"Energy, Northern Development and Mines","Ontario Clean Energy Benefit","Energy, Northern Development and Mines"," Ontario Clean Energy Benefit","Energy, Northern Development and Mines"," Ontario Clean Energy Benefit","","",,,,,,,,,,,,,860,21,0,0,1078,860,21,0
"Energy, Northern Development and Mines","Strategic Asset Management and Transformation Related to Hydro One","Energy, Northern Development and Mines"," Strategic Asset Management and Transformation Related to Hydro One","Energy, Northern Development and Mines"," Strategic Asset Management and Transformation Related to Hydro One","","",,,,,,,,,,,,,44,43,188,35,0,44,45,100
"Energy, Northern Development and Mines","Electricity Cost Relief Programs","Energy, Northern Development and Mines"," Electricity Cost Relief Programs","Energy, Northern Development and Mines"," Electricity Cost Relief Programs","Energy, Northern Development and Mines"," Electricity Cost Relief Programs",2834,4243,5484,6209,4243,5484,5903,6494,426,2834,4293,4013,0,400,1247,1581,0,0,400,1438
"Energy, Northern Development and Mines (Total)","","Energy, Northern Development and Mines (Total)","","Energy, Northern Development and Mines (Total)","","Energy, Northern Development and Mines (Total)","",4117,5605,6584,7256,5604,6583,7396,7640,1726,4221,5751,5185,1232,920,1790,1990,1404,1232,926,2050
"Northern Development and Mines (Total)","","Energy, Northern Development and Mines (Total)","","Energy, Northern Development and Mines (Total)","","Energy, Northern Development and Mines (Total)","",4117,5605,6584,7256,5604,6583,7396,7640,1726,4221,5751,5185,1232,920,1790,1990,804,701,837,767
"Energy, Northern Development and Mines (Total)","","Energy, Northern Development and Mines (Total)","","Northern Development and Mines (Total)","","Energy, Northern Development and Mines (Total)","",4117,5605,6584,7256,5604,6583,7396,7640,1726,4221,5751,5185,701,814,764,814,1404,1232,926,2050
"Northern Development and Mines (Total)","","Energy, Northern Development and Mines (Total)","","Northern Development and Mines (Total)","","Energy, Northern Development and Mines (Total)","",4117,5605,6584,7256,5604,6583,7396,7640,1726,4221,5751,5185,701,814,764,814,804,701,837,767
"Energy, Northern Development and Mines (Total)","","Energy, Northern Development and Mines (Total)","","Energy, Northern Development and Mines (Base)","","Energy, Northern Development and Mines (Total)","",4117,5605,6584,7256,5604,6583,7396,7640,1726,4221,5751,5185,328,456,355,375,1404,1232,926,2050
"Northern Development and Mines (Total)","","Energy, Northern Development and Mines (Total)","","Energy, Northern Development and Mines (Base)","","Energy, Northern Development and Mines (Total)","",4117,5605,6584,7256,5604,6583,7396,7640,1726,4221,5751,5185,328,456,355,375,804,701,837,767
"Energy, Northern Development and Mines (Total)","","Energy, Northern Development and Mines (Total)","","Energy, Northern Development and Mines (Total)","","Energy, Northern Development and Mines (Total)","",4117,5605,6584,7256,5604,6583,7396,7640,1300,1387,1458,1172,1232,920,1790,1990,1404,1232,926,2050
"Northern Development and Mines (Total)","","Energy, Northern Development and Mines (Total)","","Energy, Northern Development and Mines (Total)","","Energy, Northern Development and Mines (Total)","",4117,5605,6584,7256,5604,6583,7396,7640,1300,1387,1458,1172,1232,920,1790,1990,804,701,837,767
"Energy, Northern Development and Mines (Total)","","Energy, Northern Development and Mines (Total)","","Northern Development and Mines (Total)","","Energy, Northern Development and Mines (Total)","",4117,5605,6584,7256,5604,6583,7396,7640,1300,1387,1458,1172,701,814,764,814,1404,1232,926,2050
"Northern Development and Mines (Total)","","Energy, Northern Development and Mines (Total)","","Northern Development and Mines (Total)","","Energy, Northern Development and Mines (Total)","",4117,5605,6584,7256,5604,6583,7396,7640,1300,1387,1458,1172,701,814,764,814,804,701,837,767
"Energy, Northern Development and Mines (Total)","","Energy, Northern Development and Mines (Total)","","Energy, Northern Development and Mines (Base)","","Energy, Northern Development and Mines (Total)","",4117,5605,6584,7256,5604,6583,7396,7640,1300,1387,1458,1172,328,456,355,375,1404,1232,926,2050
"Northern Development and Mines (Total)","","Energy, Northern Development and Mines (Total)","","Energy, Northern Development and Mines (Base)","","Energy, Northern Development and Mines (Total)","",4117,5605,6584,7256,5604,6583,7396,7640,1300,1387,1458,1172,328,456,355,375,804,701,837,767
"Executive Offices","Time-Limited Assistance","Executive Offices"," Time-Limited Assistance","","","Executive Offices"," Time-Limited Assistance",0,0,0,2,0,0,2,0,,,,,,,,,0,0,1,0
"Executive Offices (Total)","","Executive Offices (Total)","","Executive Offices (Total)","","Executive Offices (Total)","",37,34,32,40,33,32,40,40,45,48,45,40,36,49,62,58,36,35,46,56
"Executive Offices (Total)","","Executive Offices (Total)","","Executive Offices (Total)","","Executive Offices (Total)","",37,34,32,40,33,32,38,40,45,48,45,40,36,49,62,58,36,35,46,56
"Finance","Ontario Municipal Partnership Fund","Finance"," Ontario Municipal Partnership Fund","Finance"," Ontario Municipal Partnership Fund","Finance"," Ontario Municipal Partnership Fund",506,510,503,502,510,503,502,502,505,506,510,505,513,505,506,510,542,513,505,505
"Finance","Power Supply Contract Costs","Finance"," Power Supply Contract Costs","Finance"," Power Supply Contract Costs","Finance"," Power Supply Contract Costs",191,173,122,107,173,122,114,102,838,191,183,125,875,838,182,183,950,875,739,292
"Finance (Total)","","Finance (Total)","","Finance (Total)","","Finance (Total)","",1540,1636,1520,4298,1633,1518,1937,1675,2205,1567,1608,1463,2436,2205,1573,1679,2422,2436,2146,1730
"Government and Consumer Services (Total)","","Government and Consumer Services (Total)","","Government and Consumer Services (Total)","","Government and Consumer Services (Total)","",1650,1664,1550,1667,1718,1607,2359,1888,716,795,714,666,602,595,619,585,567,602,614,593
"Government and Consumer Services (Total)","","Government and Consumer Services (Total)","","Government and Consumer Services (Total)","","Government and Consumer Services (Total)","",1650,1664,1550,1667,706,683,717,743,716,795,714,666,602,595,619,585,567,602,614,593
"Infrastructure","Federal–Provincial Infrastructure Programs","Infrastructure"," Federal–Provincial Infrastructure Programs","Infrastructure"," Federal–Provincial Infrastructure Programs","Infrastructure"," Federal–Provincial Infrastructure Programs",248,352,160,310,352,160,235,590,8,248,344,134,0,8,142,603,0,0,132,689
"Infrastructure (Total)","","Infrastructure (Total)","","Infrastructure (Total)","","Infrastructure (Total)","",475,513,358,854,512,358,691,1544,97,320,453,524,213,169,408,817,229,213,325,862
"International Trade (Total)","","International Trade (Total)","","International Trade (Total)","","","",,,,,,,,,,,,,21,29,52,61,17,21,31,62
"Municipal Affairs / Housing","Time-Limited Investments in Municipal, Social and  Affordable Housing","Municipal Affairs/Housing"," Time-Limited Investments in Municipal, Social and Affordable Housing","Municipal Affairs/Housing"," Time-Limited Investments in Municipal, Social and Affordable Housing","","",,,,,,,,,,,,,165,544,297,324,153,165,544,297
"Natural Resources and Forestry","Emergency Forest Firefighting","Natural Resources and Forestry"," Emergency Forest Firefighting","","","Natural Resources and Forestry"," Emergency Forest Firefighting",117,208,136,100,208,136,120,100,107,117,212,70,,,,,78,95,109,70
"Natural Resources and Forestry (Total)","","Natural Resources and Forestry (Total)","","Natural Resources and Forestry (Total)","","Natural Resources and Forestry (Total)","",726,713,677,656,708,665,676,673,729,781,834,672,818,858,919,850,791,818,862,824
"Natural Resources and Forestry (Total)","","Natural Resources and Forestry (Total)","","Natural Resources and Forestry (Base)","","Natural Resources and Forestry (Total)","",726,713,677,656,708,665,676,673,622,664,622,602,723,751,801,780,791,818,862,824
"Natural Resources and Forestry (Total)","","Natural Resources and Forestry (Total)","","Natural Resources and Forestry (Total)","","Natural Resources and Forestry (Total)","",726,713,677,656,500,529,556,573,729,781,834,672,818,858,919,850,791,818,862,824
"Natural Resources and Forestry (Total)","","Natural Resources and Forestry (Total)","","Natural Resources and Forestry (Base)","","Natural Resources and Forestry (Total)","",726,713,677,656,500,529,556,573,729,781,834,672,723,751,801,780,791,818,862,824
"Natural Resources and Forestry (Total)","","Natural Resources and Forestry (Total)","","Natural Resources and Forestry (Base)","","Natural Resources and Forestry (Total)","",726,713,677,656,708,665,676,673,729,781,834,672,723,751,801,780,791,818,862,824
"Natural Resources and Forestry (Total)","","Natural Resources and Forestry (Total)","","Natural Resources and Forestry (Total)","","Natural Resources and Forestry (Total)","",726,713,677,656,708,665,676,673,622,664,622,602,818,858,919,850,791,818,862,824
"Natural Resources and Forestry (Total)","","Natural Resources and Forestry (Total)","","Natural Resources and Forestry (Base)","","Natural Resources and Forestry (Total)","",726,713,677,656,500,529,556,573,622,664,622,602,723,751,801,780,791,818,862,824
"Natural Resources and Forestry (Total)","","Natural Resources and Forestry (Total)","","Natural Resources and Forestry (Total)","","Natural Resources and Forestry (Total)","",726,713,677,656,500,529,556,573,622,664,622,602,818,858,919,850,791,818,862,824
"Seniors Affairs (Total)","","Seniors Affairs (Total)","","Seniors Affairs (Total)","","","",,,,,,,,,,,,,20,19,30,46,17,20,20,35
"Status of Women (Total)","","Status of Women (Total)","","Status of Women (Total)","","","",,,,,,,,,,,,,26,23,28,37,20,26,23,26
"Total Expense","","Total Expense","","Total Expense","","Total Expense","",154266,161135,164768,187042,161135,164768,190281,186120,143169,154266,162518,163444,139663,141725,149494,158464,128861,131891,134752,141050
"Transportation","Time-Limited Investments in Infrastructure","Transportation"," Time-Limited Investments in Infrastructure","Transportation"," Time-Limited Investments in Infrastructure","","",,,,,,,,,,,,,0,0,896,888,0,0,0,1113
"Transportation (Total)","","Transportation (Total)","","Transportation (Total)","","Transportation (Total)","",4588,4840,5145,7613,4833,5138,7946,6233,3644,4522,4676,5188,3284,3636,5095,5566,2941,3284,3688,5326
"Treasury Board Secretariat","Capital Contingency Fund","Treasury Board Secretariat"," Capital Contingency Fund","Treasury Board Secretariat"," Capital Contingency Fund","Treasury Board Secretariat"," Capital Contingency Fund",0,0,0,99,0,0,0,165,0,0,50,325,0,0,0,275,0,0,0,100
"Treasury Board Secretariat","Operating Contingency Fund","Treasury Board Secretariat"," Operating Contingency Fund","Treasury Board Secretariat"," Operating Contingency Fund","Treasury Board Secretariat"," Operating Contingency Fund",0,0,0,2912,0,0,0,1915,0,0,200,775,0,0,50,1325,0,0,30,515
"Treasury Board Secretariat (Total)","","Treasury Board Secretariat (Total)","","Treasury Board Secretariat (Total)","","Treasury Board Secretariat (Total)","",1636,1365,1855,4807,1392,1879,1744,4302,1271,1631,1770,2739,1207,1235,1435,3218,1423,1208,1433,2160
"Treasury Board Secretariat (Total)","","Treasury Board Secretariat (Total)","","Treasury Board Secretariat (Total)","","Treasury Board Secretariat (Total)","",1636,1365,1855,4807,1392,1879,1744,4302,189,189,233,287,1207,1235,1435,3218,1423,1208,1433,2160
"Treasury Board Secretariat (Total)","","Treasury Board Secretariat (Total)","","Treasury Board Secretariat (Base)","","Treasury Board Secretariat (Total)","",1636,1365,1855,4807,1392,1879,1744,4302,189,189,233,287,220,233,230,347,1423,1208,1433,2160
"Treasury Board Secretariat (Total)","","Treasury Board Secretariat (Total)","","Treasury Board Secretariat (Total)","","Treasury Board Secretariat (Total)","",1636,1365,1855,4807,227,214,344,455,1271,1631,1770,2739,1207,1235,1435,3218,1423,1208,1433,2160
"Treasury Board Secretariat (Total)","","Treasury Board Secretariat (Total)","","Treasury Board Secretariat (Base)","","Treasury Board Secretariat (Total)","",1636,1365,1855,4807,227,214,344,455,1271,1631,1770,2739,220,233,230,347,1423,1208,1433,2160
"Treasury Board Secretariat (Total)","","Treasury Board Secretariat (Total)","","Treasury Board Secretariat (Total)","","Treasury Board Secretariat (Total)","",1636,1365,1855,4807,227,214,344,455,189,189,233,287,1207,1235,1435,3218,1423,1208,1433,2160
"Treasury Board Secretariat (Total)","","Treasury Board Secretariat (Total)","","Treasury Board Secretariat (Base)","","Treasury Board Secretariat (Total)","",1636,1365,1855,4807,227,214,344,455,189,189,233,287,220,233,230,347,1423,1208,1433,2160
"Treasury Board Secretariat (Total)","","Treasury Board Secretariat (Total)","","Treasury Board Secretariat (Base)","","Treasury Board Secretariat (Total)","",1636,1365,1855,4807,1392,1879,1744,4302,1271,1631,1770,2739,220,233,230,347,1423,1208,1433,2160
"Treasury Board Secretariat","Employee and Pensioner Benefits","Treasury Board Secretariat"," Employee and Pensioner Benefits17","Treasury Board Secretariat"," Employee and Pensioner Benefits","Treasury Board Secretariat"," Employee and Pensioner Benefits17",1442,1165,1666,1389,1165,1665,1340,1766,1082,1442,1287,1352,987,1002,1155,1271,1186,987,1163,1208
"Board of Internal Economy1 (Total)","","Board of Internal Economy (Total)","","Board of Internal Economy (Total)","","Board of Internal Economy (Total)","",296,371,257,281,371,257,280,273,219,303,395,295,205,219,252,352,264,205,226,226
"Year-End Savings4","","Year-End Savings","","Year-End Savings2","","Year-End Savings","",,,,,,,,,0,0,0,0,0,0,0,-1225,0,0,0,-1200
"Education","Teachers’ Pension Plan2","Education"," Teachers’ Pension Plan","Education"," Teachers’ Pension Plan","Education"," Teachers’ Pension Plan",1659,1678,1570,1621,1678,1570,1608,1631,987,1659,1677,1732,110,-377,-460,-861,564,110,-502,-531
"Municipal Affairs / Housing","Time-Limited Investments","Municipal Affairs and Housing"," Time-Limited Investments","Municipal Affairs/Housing"," Time-Limited Investments","Municipal Affairs and Housing"," Time-Limited Investments",559,636,317,256,636,317,255,349,565,334,635,271,1,6,23,17,7,1,7,10
"Interest on Debt3","","Interest on Debt18","","Interest on Debt1","","Interest on Debt18","",11903,12384,12495,12456,12384,12495,12456,13130,11709,11903,12534,13335,11589,11709,11965,12543,10635,10967,11250,11581
"Municipal Affairs / Housing (Total)","","Municipal Affairs and Housing (Total)","","Municipal Affairs/Housing (Total)","","Municipal Affairs and Housing (Total)","",1368,1478,1199,2953,474,540,483,512,978,1041,850,847,1088,1544,1371,1348,1050,1088,1541,1262
"Municipal Affairs / Housing (Total)","","Municipal Affairs and Housing (Total)","","Municipal Affairs/Housing (Total)","","Municipal Affairs and Housing (Total)","",1368,1478,1199,2953,474,540,483,512,1544,1375,1484,1118,1088,1544,1371,1348,1050,1088,1541,1262
"Municipal Affairs / Housing (Total)","","Municipal Affairs and Housing (Total)","","Municipal Affairs/Housing (Total)","","Municipal Affairs and Housing (Total)","",1368,1478,1199,2953,1477,1197,3749,1432,978,1041,850,847,1088,1544,1371,1348,1050,1088,1541,1262
"Municipal Affairs / Housing (Total)","","Municipal Affairs and Housing (Total)","","Municipal Affairs/Housing (Total)","","Municipal Affairs and Housing (Total)","",1368,1478,1199,2953,1477,1197,3749,1432,1544,1375,1484,1118,1088,1544,1371,1348,1050,1088,1541,1262
"Tourism, Culture and Sport","Time-Limited Investments to Support 2015 Pan/Parapan  American Games","Heritage, Sport, Tourism and Culture Industries"," Time-Limited Investments to Support 2015 Pan/Parapan American Games","Heritage, Sport, Tourism and Culture Industries"," Time-Limited Investments to Support 2015 Pan/Parapan American Games","","",,,,,,,,,,,,,839,0,0,0,405,839,82,0
"Agriculture, Food and Rural Affairs (Total)","","Agriculture, Food and Rural Affairs (Total)5","","Agriculture, Food and Rural Affairs (Total)","","Agriculture, Food and Rural Affairs (Total)5","",993,1065,1132,870,1064,1130,777,754,1031,904,1065,840,929,1031,1033,1199,847,929,1074,1026
"Agriculture, Food and Rural Affairs (Total)","","Agriculture, Food and Rural Affairs (Total)5","","Agriculture, Food and Rural Affairs (Total)","","Agriculture, Food and Rural Affairs (Total)5","",993,1065,1132,870,1064,1130,777,754,1031,1006,1162,878,929,1031,1033,1199,847,929,1074,1026
"Agriculture, Food and Rural Affairs (Total)","","Agriculture, Food and Rural Affairs (Base)","","Agriculture, Food and Rural Affairs (Base)","","Agriculture, Food and Rural Affairs (Base)","",384,330,298,314,328,297,301,311,1031,904,1065,840,883,1031,931,1099,847,929,1074,1026
"Agriculture, Food and Rural Affairs (Total)","","Agriculture, Food and Rural Affairs (Base)","","Agriculture, Food and Rural Affairs (Base)","","Agriculture, Food and Rural Affairs (Base)","",384,330,298,314,1064,1130,777,754,1031,1006,1162,878,883,1031,931,1099,847,929,1074,1026
"Agriculture, Food and Rural Affairs (Total)","","Agriculture, Food and Rural Affairs (Base)","","Agriculture, Food and Rural Affairs (Total)","","Agriculture, Food and Rural Affairs (Base)","",384,330,298,314,1064,1130,777,754,1031,904,1065,840,929,1031,1033,1199,847,929,1074,1026
"Agriculture, Food and Rural Affairs (Total)","","Agriculture, Food and Rural Affairs (Base)","","Agriculture, Food and Rural Affairs (Base)","","Agriculture, Food and Rural Affairs (Base)","",384,330,298,314,1064,1130,777,754,1031,904,1065,840,883,1031,931,1099,847,929,1074,1026
"Agriculture, Food and Rural Affairs (Total)","","Agriculture, Food and Rural Affairs (Base)","","Agriculture, Food and Rural Affairs (Total)","","Agriculture, Food and Rural Affairs (Base)","",384,330,298,314,328,297,301,311,1031,1006,1162,878,929,1031,1033,1199,847,929,1074,1026
"Agriculture, Food and Rural Affairs (Total)","","Agriculture, Food and Rural Affairs (Base)","","Agriculture, Food and Rural Affairs (Base)","","Agriculture, Food and Rural Affairs (Base)","",384,330,298,314,328,297,301,311,1031,1006,1162,878,883,1031,931,1099,847,929,1074,1026
"Agriculture, Food and Rural Affairs (Total)","","Agriculture, Food and Rural Affairs (Base)","","Agriculture, Food and Rural Affairs (Total)","","Agriculture, Food and Rural Affairs (Base)","",384,330,298,314,328,297,301,311,1031,904,1065,840,929,1031,1033,1199,847,929,1074,1026
"Agriculture, Food and Rural Affairs (Total)","","Agriculture, Food and Rural Affairs (Base)","","Agriculture, Food and Rural Affairs (Total)","","Agriculture, Food and Rural Affairs (Base)","",384,330,298,314,1064,1130,777,754,1031,1006,1162,878,929,1031,1033,1199,847,929,1074,1026
"Community Safety and Correctional Services (Total)","","Community Safety and Correctional Services (Base)","","Community Safety and Correctional Services (Base)","","","",,,,,,,,,,,,,2565,2681,2806,3027,2567,2687,2689,2777
"Government and Consumer Services (Total)","","Government and Consumer Services"," Realty","Government and Consumer Services (Total)","","Government and Consumer Services"," Realty",982,1012,924,1026,1012,924,1234,1145,716,795,714,666,602,595,619,585,567,602,614,593
"Government and Consumer Services (Total)","","Government and Consumer Services (Base)","","Government and Consumer Services (Total)","","Government and Consumer Services (Base)","",668,651,626,641,1718,1607,2359,1888,716,795,714,666,602,595,619,585,567,602,614,593
"Government and Consumer Services (Total)","","Government and Consumer Services (Base)","","Government and Consumer Services (Total)","","Government and Consumer Services (Base)","",668,651,626,641,706,683,717,743,716,795,714,666,602,595,619,585,567,602,614,593
"Agriculture, Food and Rural Affairs","Agriculture, Food and Rural Affairs (Base)","","","","","","",,,,,,,,,,,,,,,,,805,883,971,949
"Agriculture, Food and Rural Affairs","Time-Limited Assistance","","","","","","",,,,,,,,,,,,,,,,,7,0,3,0
"Children, Community and Social Services","Community and Social Services (Base)","","","","","","",,,,,,,,,,,,,,,,,10550,11298,11697,12410
"Community Safety and Correctional Services","Community Safety and Correctional  Services (Base)","","","","","","",,,,,,,,,,,,,,,,,2523,2565,2689,2777
"Economic Development and Growth / Research, Innovation and Science","Economic Development and Growth / Research, Innovation and Science (Base)","","","","","","",,,,,,,,,,,,,,,,,834,908,960,971
"Economic Development and Growth / Research, Innovation and Science","Green Investment Fund Initiatives","","","","","","",,,,,,,,,,,,,,,,,0,0,99,0
"Economic Development and Growth / Research, Innovation and Science (Total)","","","","","","","",,,,,,,,,,,,,,,,,834,908,1059,971
"Education","Education (Base)","","","","","","",,,,,,,,,,,,,,,,,24629,24998,25741,26518
"Energy, Northern Development and Mines","Energy (Base)","","","","","","",,,,,,,,,,,,,,,,,326,328,352,512
"Energy, Northern Development and Mines","Green Investment Fund Initiatives","","","","","","",,,,,,,,,,,,,,,,,0,0,108,0
"Environment and Climate Change","Environment and Climate Change (Base)","","","","","","",,,,,,,,,,,,,,,,,486,503,530,1023
"Environment and Climate Change","Green Investment Fund Initiatives","","","","","","",,,,,,,,,,,,,,,,,0,0,1,0
"Environment and Climate Change (Total)","","","","","","","",,,,,,,,,,,,,,,,,486,503,531,1023
"Executive Offices","Executive Offices (Base)","","","","","","",,,,,,,,,,,,,,,,,36,35,44,56
"Finance","Finance (Base)","","","","","","",,,,,,,,,,,,,,,,,930,1048,902,933
"Francophone Affairs, Office of (Total)","","","","","","","",,,,,,,,,,,,,,,,,5,8,5,5
"Health and Long-Term Care","Health and Long-Term Care (Base)","","","","","","",,,,,,,,,,,,,,,,,49983,51011,52201,53763
"Health and Long-Term Care","Time-Limited Investments in Affordable and Supportive Housing","","","","","","",,,,,,,,,,,,,,,,,0,0,5,0
"Health and Long-Term Care (Total)","","","","","","","",,,,,,,,,,,,,,,,,49983,51011,52206,53763
"Indigenous Relations and Reconciliation","Indigenous Relations and Reconciliation (Base)","","","","","","",,,,,,,,,,,,,,,,,67,75,83,86
"Indigenous Relations and Reconciliation","Green Investment Fund Initiatives","","","","","","",,,,,,,,,,,,,,,,,0,0,5,0
"Indigenous Relations and Reconciliation","One-Time Investments including Settlements","","","","","","",,,,,,,,,,,,,,,,,3,5,11,5
"Indigenous Relations and Reconciliation (Total)","","","","","","","",,,,,,,,,,,,,,,,,71,79,99,91
"Infrastructure","Infrastructure (Base)","","","","","","",,,,,,,,,,,,,,,,,229,213,193,173
"Labour (Total)","","","","","","","",,,,,,,,,,,,,,,,,305,305,310,312
"Municipal Affairs / Housing","Municipal Affairs / Housing (Base)","","","","","","",,,,,,,,,,,,,,,,,889,923,898,955
"Municipal Affairs / Housing","Green Investment Fund Initiatives","","","","","","",,,,,,,,,,,,,,,,,0,0,92,0
"Natural Resources and Forestry","Natural Resources and Forestry (Base)","","","","","","",,,,,,,,,,,,,,,,,713,723,753,755
"Tourism, Culture and Sport","Tourism, Culture and Sport (Base)","","","","","","",,,,,,,,,,,,,,,,,1246,1431,1455,1390
"Tourism, Culture and Sport (Total)","","","","","","","",,,,,,,,,,,,,,,,,1650,2270,1537,1390
"Transportation","Transportation (Base)","","","","","","",,,,,,,,,,,,,,,,,2941,3284,3668,4214
"Transportation","Green Investment Fund Initiatives","","","","","","",,,,,,,,,,,,,,,,,0,0,20,0
"Treasury Board Secretariat","Treasury Board Secretariat (Base)","","","","","","",,,,,,,,,,,,,,,,,237,221,240,337
