locationid,Location (geo),Latitude,Longitude,RegionName,ProvinceName,DistrictName,District,Region,Province,regionId,provinceId,districtId
"4-14-124","Hadiya-Zone, SNNP, Ethiopia",75,3775,"Ethiopia","SNNP","Hadiya-Zone","124-Hadiya-Zone","4-Ethiopia","14-SNNP",4,14,124
"7-30-141","KANO, North West, Northen Nigeria",955950546,8077880859,"Northen Nigeria","North West","KANO","141-KANO","7-Northen Nigeria","30-North West",7,30,141
"7-28-141","KANO, North Central, Northen Nigeria",955950546,8077880859,"Northen Nigeria","North Central","KANO","141-KANO","7-Northen Nigeria","28-North Central",7,28,141
"7-29-141","KANO, North East, Northen Nigeria",,,"Northen Nigeria","North East","KANO","141-KANO","7-Northen Nigeria","29-North East",7,29,141
"4-14-125","Kembata Tembaro-Zone, SNNP, Ethiopia",8626703262,3963755417,"Ethiopia","SNNP","Kembata Tembaro-Zone","125-Kembata Tembaro-Zone","4-Ethiopia","14-SNNP",4,14,125
"4-14-128","Wolayita-Zone, SNNP, Ethiopia",6843120098,3770050049,"Ethiopia","SNNP","Wolayita-Zone","128-Wolayita-Zone","4-Ethiopia","14-SNNP",4,14,128
"4-14-129","South Omo-Zone, SNNP, Ethiopia",5462080002,364015007,"Ethiopia","SNNP","South Omo-Zone","129-South Omo-Zone","4-Ethiopia","14-SNNP",4,14,129
"7-28-137","BENUE, North Central, Northen Nigeria",955950546,8077880859,"Northen Nigeria","North Central","BENUE","137-BENUE","7-Northen Nigeria","28-North Central",7,28,137
"4-14-130","Gamo Gofa-Zone, SNNP, Ethiopia",8626703262,3963755417,"Ethiopia","SNNP","Gamo Gofa-Zone","130-Gamo Gofa-Zone","4-Ethiopia","14-SNNP",4,14,130
"4-14-131","Bench Maji-Zone, SNNP, Ethiopia",6459939957,3530550003,"Ethiopia","SNNP","Bench Maji-Zone","131-Bench Maji-Zone","4-Ethiopia","14-SNNP",4,14,131
"4-15-135","ADDIS ABABA, ADDIS ABABA, Ethiopia",904666996,3875920105,"Ethiopia","ADDIS ABABA","ADDIS ABABA","135-ADDIS ABABA","4-Ethiopia","15-ADDIS ABABA",4,15,135
"6-60-184","Kyaukse, Mandalay, Myanmar",2160758972,9613555908,"Myanmar","Mandalay","Kyaukse","184-Kyaukse","6-Myanmar","60-Mandalay",6,60,184
"4-16-136","DIRE DAWA, DIRE DAWA, Ethiopia",962469959,4185419846,"Ethiopia","DIRE DAWA","DIRE DAWA","136-DIRE DAWA","4-Ethiopia","16-DIRE DAWA",4,16,136
"8-32-145","EDO, South South, Southern Nigeria",,,"Southern Nigeria","South South","EDO","145-EDO","8-Southern Nigeria","32-South South",8,32,145
"8-32-144","RIVERS, South South, Southern Nigeria",,,"Southern Nigeria","South South","RIVERS","144-RIVERS","8-Southern Nigeria","32-South South",8,32,144
"8-31-144","RIVERS, South East, Southern Nigeria",,,"Southern Nigeria","South East","RIVERS","144-RIVERS","8-Southern Nigeria","31-South East",8,31,144
"7-28-138","FCT ABUJA, North Central, Northen Nigeria",955950546,8077880859,"Northen Nigeria","North Central","FCT ABUJA","138-FCT ABUJA","7-Northen Nigeria","28-North Central",7,28,138
"6-67-191","Thayet ;, Magway, Myanmar",205,9475,"Myanmar","Magway","Thayet ;","191-Thayet ;","6-Myanmar","67-Magway",6,67,191
"2-35-150","Comoé, Cascades, Burkina Faso",,,"Burkina Faso","Cascades","Comoé","150-Comoé","2-Burkina Faso","35-Cascades",2,35,150
"9-52-167","Jhansi, Jhansi, Uttar Pradesh India",2524844933,7846369934,"Uttar Pradesh India","Jhansi","Jhansi","167-Jhansi","9-Uttar Pradesh India","52-Jhansi",9,52,167
"9-49-164","Kanpur Rural, Kanpur Rural, Uttar Pradesh India",2646697998,8036177063,"Uttar Pradesh India","Kanpur Rural","Kanpur Rural","164-Kanpur Rural","9-Uttar Pradesh India","49-Kanpur Rural",9,49,164
"6-59-174","Yangon (North), Yangon, Myanmar",1690730095,961332016,"Myanmar","Yangon","Yangon (North)","174-Yangon (North)","6-Myanmar","59-Yangon",6,59,174
"6-59-183","Yangon (South), Yangon, Myanmar",1690730095,961332016,"Myanmar","Yangon","Yangon (South)","183-Yangon (South)","6-Myanmar","59-Yangon",6,59,183
"6-65-181","Bago, Bago, Myanmar",2033014297,9652182007,"Myanmar","Bago","Bago","181-Bago","6-Myanmar","65-Bago",6,65,181
"2-39-154","Boulkiemde, Centre Ouest, Burkina Faso",,,"Burkina Faso","Centre Ouest","Boulkiemde","154-Boulkiemde","2-Burkina Faso","39-Centre Ouest",2,39,154
"9-47-162","Meerut, Meerut, Uttar Pradesh India",2904529953,7770999908,"Uttar Pradesh India","Meerut","Meerut","162-Meerut","9-Uttar Pradesh India","47-Meerut",9,47,162
"2-42-157","Houet, Hauts Bassins, Burkina Faso",,,"Burkina Faso","Hauts Bassins","Houet","157-Houet","2-Burkina Faso","42-Hauts Bassins",2,42,157
"7-29-192","North East, Northen Nigeria",3952770996,-842230072,"Northen Nigeria","North East","","","7-Northen Nigeria","29-North East",7,29,192
"7-28-192","North Central, Northen Nigeria",3952770996,-842230072,"Northen Nigeria","North Central","","","7-Northen Nigeria","28-North Central",7,28,192
"6-60-175","Mandalay, Mandalay, Myanmar",2195833206,9609166718,"Myanmar","Mandalay","Mandalay","175-Mandalay","6-Myanmar","60-Mandalay",6,60,175
"6-61-185","Thaton, Mon, Myanmar",1625,9775,"Myanmar","Mon","Thaton","185-Thaton","6-Myanmar","61-Mon",6,61,185
"6-63-178","Sittwe, Rakhine, Myanmar",19,9425,"Myanmar","Rakhine","Sittwe","178-Sittwe","6-Myanmar","63-Rakhine",6,63,178
"6-64-180","Pathein, Ayeyarwaddy, Myanmar",1683333206,9516666412,"Myanmar","Ayeyarwaddy","Pathein","180-Pathein","6-Myanmar","64-Ayeyarwaddy",6,64,180
"6-66-179","Sagaing, Sagaing, Myanmar",2033014297,9652182007,"Myanmar","Sagaing","Sagaing","179-Sagaing","6-Myanmar","66-Sagaing",6,66,179
"6-61-176","Maw La Mying, Mon, Myanmar",,,"Myanmar","Mon","Maw La Mying","176-Maw La Mying","6-Myanmar","61-Mon",6,61,176
"6-63-187","Thandwe, Rakhine, Myanmar",1940069962,9412799835,"Myanmar","Rakhine","Thandwe","187-Thandwe","6-Myanmar","63-Rakhine",6,63,187
"6-65-189","Bago, Bago, Myanmar",2033014297,9652182007,"Myanmar","Bago","Bago","189-Bago","6-Myanmar","65-Bago",6,65,189
"4-10-89","Affar - Zone 2, AFFAR, Ethiopia",,,"Ethiopia","AFFAR","Affar - Zone 2","89-Affar - Zone 2","4-Ethiopia","10-AFFAR",4,10,89
"4-11-105","North Shewa-Zone, AMHARA, Ethiopia",8626703262,3963755417,"Ethiopia","AMHARA","North Shewa-Zone","105-North Shewa-Zone","4-Ethiopia","11-AMHARA",4,11,105
"4-14-127","Gedeo-Zone, SNNP, Ethiopia",6127270222,3827719879,"Ethiopia","SNNP","Gedeo-Zone","127-Gedeo-Zone","4-Ethiopia","14-SNNP",4,14,127
"4-14-132","Dawro-Zone, SNNP, Ethiopia",983333015,3921670151,"Ethiopia","SNNP","Dawro-Zone","132-Dawro-Zone","4-Ethiopia","14-SNNP",4,14,132
"4-11-99","Oromia - Zone, AMHARA, Ethiopia",8626703262,3963755417,"Ethiopia","AMHARA","Oromia - Zone","99-Oromia - Zone","4-Ethiopia","11-AMHARA",4,11,99
"4-11-109","East Hararge-Zone, AMHARA, Ethiopia",,,"Ethiopia","AMHARA","East Hararge-Zone","109-East Hararge-Zone","4-Ethiopia","11-AMHARA",4,11,109
"4-12-105","North Shewa-Zone, OROMIA, Ethiopia",8626703262,3963755417,"Ethiopia","OROMIA","North Shewa-Zone","105-North Shewa-Zone","4-Ethiopia","12-OROMIA",4,12,105
"3-21-194","Kassai Occidental, Democratic Republic Congo",-5417163849,2162505722,"Democratic Republic Congo","Kassai Occidental","","","3-Democratic Republic Congo","21-Kassai Occidental",3,21,194
"4-12-131","Bench Maji-Zone, OROMIA, Ethiopia",8626703262,3963755417,"Ethiopia","OROMIA","Bench Maji-Zone","131-Bench Maji-Zone","4-Ethiopia","12-OROMIA",4,12,131
