ProductCode,OrderDateKey,variable,value
CA-1098,20080222,OrderDate,2008-02-22 00:00:00.000
BK-R93R-44,20051225,OrderDate,2005-12-25 00:00:00.000
FE-6654,20071218,OrderDate,2007-12-18 00:00:00.000
TT-M928,20080702,OrderDate,2008-07-02 00:00:00.000
GL-H102-L,20080505,OrderDate,2008-05-05 00:00:00.000
PK-7098,20080501,OrderDate,2008-05-01 00:00:00.000
WB-H098,20070902,OrderDate,2007-09-02 00:00:00.000
BK-R19B-48,20071113,OrderDate,2007-11-13 00:00:00.000
TI-M823,20080516,OrderDate,2008-05-16 00:00:00.000
HL-U509,20080619,OrderDate,2008-06-19 00:00:00.000
WB-H098,20080110,OrderDate,2008-01-10 00:00:00.000
WB-H098,20071122,OrderDate,2007-11-22 00:00:00.000
BK-R19B-52,20080401,OrderDate,2008-04-01 00:00:00.000
BK-T18U-62,20071024,OrderDate,2007-10-24 00:00:00.000
BK-M68B-46,20070410,OrderDate,2007-04-10 00:00:00.000
BK-R79Y-44,20080520,OrderDate,2008-05-20 00:00:00.000
TT-M928,20080220,OrderDate,2008-02-20 00:00:00.000
BK-M68S-38,20080628,OrderDate,2008-06-28 00:00:00.000
BK-M68S-46,20070620,OrderDate,2007-06-20 00:00:00.000
BK-R89B-48,20070309,OrderDate,2007-03-09 00:00:00.000
BK-M82S-48,20060421,OrderDate,2006-04-21 00:00:00.000
BK-T44U-46,20080210,OrderDate,2008-02-10 00:00:00.000
HL-U509,20080127,OrderDate,2008-01-27 00:00:00.000
BC-R205,20070920,OrderDate,2007-09-20 00:00:00.000
BK-R79Y-48,20080116,OrderDate,2008-01-16 00:00:00.000
TI-M602,20080321,OrderDate,2008-03-21 00:00:00.000
TT-T092,20080605,OrderDate,2008-06-05 00:00:00.000
BK-M38S-38,20080503,OrderDate,2008-05-03 00:00:00.000
BK-R19B-52,20070727,OrderDate,2007-07-27 00:00:00.000
