responseID,responseID_primary key_cleaned,gender,age,age range,Study,campusdesc,Origin Area,Origin Flyke,Origin City,Place,citizendesc,Salary
809,571,"M",38,"36-40","IT-Management","Oslo","Northen area","Trøndelag","Trondheim","Trondheim, Norway","Norway",452179
814,575,"M",27,"26-30","Geology","Oslo","Southen area","Rogaland","Moi","Moi, Norway","Norway",142882
820,578,"M",42,"41-45","IT-Management","Oslo","Northen area","Nordland","Andenes","Andenes, Norway","Norway",507175
823,580,"M",47,"46-50","Rocket Science","Oslo","Eastern area","Viken","Ski","Ski, Norway","Norway",788956
826,582,"M",28,"26-30","IT-Management","Oslo","Northen area","Troms og Finnmark","Bjoernevatn","Bjoernevatn, Norway","Norway",357587
833,588,"M",29,"26-30","Teaching","Oslo","Southen area","Agder","Arendal","Arendal, Norway","Norway",143916
863,606,"M",39,"36-40","Neural Science","Oslo","Southen area","Agder","Kristiansand","Kristiansand, Norway","Norway",271375
870,609,"M",48,"46-50","Rocket Science","Oslo","Northen area","Troms og Finnmark","Tromso","Tromso, Norway","Norway",356021
884,619,"M",47,"46-50","IT-Management","Oslo","Southen area","Rogaland","Sandnes","Sandnes, Norway","Norway",654640
885,620,"M",29,"26-30","Mathematics","Oslo","Southen area","Agder","Kristiansand","Kristiansand, Norway","Norway",281594
892,623,"M",22,"18-25","Rocket Science","Oslo","Southen area","Rogaland","Nedre Vats","Nedre Vats, Norway","Norway",289994
894,625,"M",52,"50+","Mathematics","Oslo","Southen area","Rogaland","Sandnes","Sandnes, Norway","Norway",269950
895,626,"M",35,"31-35","IT-Management","Oslo","Northen area","Nordland","Bodo","Bodo, Norway","Norway",525317
903,631,"M",27,"26-30","Teaching","Oslo","Eastern area","Oslo","Oslo","Oslo, Norway","Norway",311362
925,646,"M",47,"46-50","Finans","Oslo","Eastern area","Viken","Eidsvoll","Eidsvoll, Norway","Norway",514798
930,647,"M",24,"18-25","Art","Oslo","Northen area","Troms og Finnmark","Alta","Alta, Norway","Norway",400459
946,657,"M",53,"50+","Journalism","Oslo","Unknown","Unknown","Unknown","Unknown, Norway","Norway",638713
962,666,"M",26,"26-30","Supply Chain Management","Oslo","Western area","Vestland","Bergen","Bergen, Norway","Norway",410239
972,674,"M",18,"18-25","IT-Management","Oslo","Eastern area","Oslo","Oslo","Oslo, Norway","Norway",471847
977,676,"M",25,"18-25","Marine Biology","Oslo","Eastern area","Viken","Halden","Halden, Norway","Norway",548999
987,682,"M",34,"31-35","Farming","Oslo","Southen area","Rogaland","Vigrestad","Vigrestad, Norway","Norway",201195
988,683,"M",51,"50+","Geology","Oslo","Western area","Vestland","Stord","Stord, Norway","Norway",619211
995,687,"M",25,"18-25","Mathematics","Oslo","Southen area","Agder","Grimstad","Grimstad, Norway","Norway",327527
1005,693,"M",53,"50+","Marine Biology","Oslo","Eastern area","Viken","Fredrikstad","Fredrikstad, Norway","Norway",625457
1017,702,"M",25,"18-25","Rocket Science","Oslo","Southen area","Agder","Mandal","Mandal, Norway","Norway",540489
1020,704,"M",20,"18-25","Rocket Science","Oslo","Southen area","Rogaland","Egersund","Egersund, Norway","Norway",249793
1031,710,"M",54,"50+","IT-Management","Oslo","Inland area","Innlandet","Lillehammer","Lillehammer, Norway","Norway",407195
1033,712,"M",54,"50+","Geology","Oslo","Northen area","Møre og Romsdal","Molde","Molde, Norway","Norway",586138
1034,713,"M",28,"26-30","IT-Management","Oslo","Northen area","Trøndelag","Steinkjer","Steinkjer, Norway","Norway",480199
1057,723,"M",51,"50+","Journalism","Oslo","Western area","Vestland","Bergen","Bergen, Norway","Norway",888472
1070,730,"M",27,"26-30","Rocket Science","Oslo","Northen area","Troms og Finnmark","Lakselv","Lakselv, Norway","Norway",144313
1081,736,"M",53,"50+","Rocket Science","Oslo","Eastern area","Viken","Lorenskog","Lorenskog, Norway","Norway",680507
1095,744,"M",18,"18-25","IT-Management","Oslo","Eastern area","Oslo","Oslo","Oslo, Norway","Norway",345825
1099,747,"M",53,"50+","IT-Management","Oslo","Southen area","Rogaland","Stavanger","Stavanger, Norway","Norway",714138
1113,755,"M",29,"26-30","Rocket Science","Oslo","Unknown","Unknown","Unknown","Unknown, Norway","Norway",341642
1120,761,"M",47,"46-50","IT-Management","Oslo","Eastern area","Viken","Ski","Ski, Norway","Norway",682008
1121,762,"M",28,"26-30","Defence","Oslo","Eastern area","Viken","Skedsmokorset","Skedsmokorset, Norway","Norway",441695
1128,767,"M",25,"18-25","Medicine","Oslo","Southen area","Rogaland","Stavanger","Stavanger, Norway","Norway",424013
1136,773,"M",28,"26-30","Linguistics","Oslo","Eastern area","Viken","Halden","Halden, Norway","Norway",391160
1142,776,"M",25,"18-25","Rocket Science","Oslo","Northen area","Nordland","Hemnes","Hemnes, Norway","Norway",212242
1144,777,"M",33,"31-35","Geology","Oslo","Eastern area","Viken","Kongsberg","Kongsberg, Norway","Norway",363424
1150,782,"M",50,"46-50","IT-Management","Oslo","Western area","Vestland","Bergen","Bergen, Norway","Norway",385178
1159,785,"M",22,"18-25","Mathematics","Oslo","Northen area","Trøndelag","Verdalsora","Verdalsora, Norway","Norway",368478
1168,791,"M",23,"18-25","Rocket Science","Oslo","Northen area","Møre og Romsdal","Sykkylven","Sykkylven, Norway","Norway",539529
1175,797,"M",37,"36-40","Rocket Science","Oslo","Western area","Vestland","Hagavik","Hagavik, Norway","Norway",162174
1184,801,"M",43,"41-45","Neural Science","Oslo","Inland area","Innlandet","Raufoss","Raufoss, Norway","Norway",641268
1202,810,"M",25,"18-25","Teaching","Oslo","Western area","Vestland","Voss","Voss, Norway","Norway",160905
1203,811,"M",37,"36-40","IT-Management","Oslo","Eastern area","Viken","Fredrikstad","Fredrikstad, Norway","Norway",599201
1211,817,"M",50,"46-50","Rocket Science","Oslo","Northen area","Trøndelag","Trondheim","Trondheim, Norway","Norway",520228
1216,820,"M",40,"36-40","Rocket Science","Oslo","Southen area","Agder","Flekkefjord","Flekkefjord, Norway","Norway",197987
1219,822,"M",23,"18-25","Mathematics","Oslo","Eastern area","Viken","Skedsmokorset","Skedsmokorset, Norway","Norway",348764
1222,823,"M",19,"18-25","Neural Science","Oslo","Eastern area","Viken","Kongsberg","Kongsberg, Norway","Norway",305820
1241,833,"M",54,"50+","IT-Management","Oslo","Southen area","Vestfold og Telemark","Porsgrunn","Porsgrunn, Norway","Norway",684359
1245,835,"M",48,"46-50","IT-Management","Oslo","Eastern area","Viken","Hokksund","Hokksund, Norway","Norway",577441
1247,836,"M",25,"18-25","IT-Management","Oslo","Eastern area","Viken","Oppegard","Oppegard, Norway","Norway",376857
9,8,"F",54,"50+","Journalism","Oslo","Eastern area","Viken","Raholt","Raholt, Norway","Norway",574749
11,9,"F",49,"46-50","Geology","Oslo","Northen area","Møre og Romsdal","Alesund","Alesund, Norway","Norway",622043
18,16,"F",24,"18-25","Law","Oslo","Inland area","Innlandet","Elverum","Elverum, Norway","Norway",371545
20,18,"F",38,"36-40","Supply Chain Management","Oslo","Northen area","Møre og Romsdal","Molde","Molde, Norway","Norway",180972
28,23,"F",25,"18-25","Rocket Science","Oslo","Eastern area","Viken","Skedsmokorset","Skedsmokorset, Norway","Norway",468998
55,46,"F",36,"36-40","Journalism","Oslo","Eastern area","Viken","Drammen","Drammen, Norway","Norway",217432
67,56,"F",45,"41-45","Carpenter","Oslo","Northen area","Møre og Romsdal","Kristiansund","Kristiansund, Norway","Norway",606068
72,60,"F",34,"31-35","Marine Biology","Oslo","Eastern area","Viken","Asker","Asker, Norway","Norway",520489
88,73,"F",24,"18-25","Marine Biology","Oslo","Eastern area","Viken","Raholt","Raholt, Norway","Norway",437831
92,76,"F",54,"50+","Journalism","Oslo","Northen area","Møre og Romsdal","Molde","Molde, Norway","Norway",535183
98,81,"F",47,"46-50","Marine Biology","Oslo","Northen area","Møre og Romsdal","Molde","Molde, Norway","Norway",705764
121,98,"F",41,"41-45","Law","Oslo","Western area","Vestland","Nordfjordeid","Nordfjordeid, Norway","Norway",990014
123,100,"F",19,"18-25","Rocket Science","Oslo","Eastern area","Viken","Raholt","Raholt, Norway","Norway",383414
134,109,"F",38,"36-40","Mathematics","Oslo","Eastern area","Viken","Drammen","Drammen, Norway","Norway",401940
136,111,"F",40,"36-40","Geology","Oslo","Inland area","Innlandet","Lillehammer","Lillehammer, Norway","Norway",567280
150,122,"F",25,"18-25","Journalism","Oslo","Eastern area","Viken","Ski","Ski, Norway","Norway",379717
159,128,"F",49,"46-50","IT-Management","Oslo","Northen area","Nordland","Kabelvag","Kabelvag, Norway","Norway",463681
169,135,"F",31,"31-35","Neural Science","Oslo","Northen area","Trøndelag","Stjordal","Stjordal, Norway","Norway",543877
172,137,"F",38,"36-40","IT-Management","Oslo","Western area","Vestland","Husnes","Husnes, Norway","Norway",273273
190,146,"F",48,"46-50","Geology","Oslo","Western area","Vestland","Godvik","Godvik, Norway","Norway",687488
191,147,"F",35,"31-35","Farming","Oslo","Inland area","Innlandet","Raufoss","Raufoss, Norway","Norway",132273
215,160,"F",48,"46-50","Law","Oslo","Northen area","Troms og Finnmark","Harstad","Harstad, Norway","Norway",276528
239,175,"F",42,"41-45","Marine Biology","Oslo","Inland area","Innlandet","Elverum","Elverum, Norway","Norway",545128
260,190,"F",38,"36-40","Mathematics","Oslo","Unknown","Unknown","Unknown","Unknown, Norway","Norway",527646
288,212,"F",39,"36-40","Medicine","Oslo","Northen area","Troms og Finnmark","Harstad","Harstad, Norway","Norway",309468
289,213,"F",35,"31-35","Law","Oslo","Inland area","Innlandet","Aurdal","Aurdal, Norway","Norway",469154
296,216,"F",53,"50+","Law","Oslo","Western area","Vestland","Godvik","Godvik, Norway","Norway",723371
298,218,"F",42,"41-45","Supply Chain Management","Oslo","Western area","Vestland","Husnes","Husnes, Norway","Norway",778464
299,219,"F",22,"18-25","Journalism","Oslo","Eastern area","Viken","Kongsberg","Kongsberg, Norway","Norway",399675
308,224,"F",22,"18-25","Medicine","Oslo","Eastern area","Viken","Halden","Halden, Norway","Norway",454045
313,227,"F",38,"36-40","Supply Chain Management","Oslo","Northen area","Møre og Romsdal","Alesund","Alesund, Norway","Norway",362967
319,230,"F",45,"41-45","Rocket Science","Oslo","Northen area","Møre og Romsdal","Molde","Molde, Norway","Norway",544741
321,231,"F",24,"18-25","Journalism","Oslo","Northen area","Troms og Finnmark","Harstad","Harstad, Norway","Norway",419532
331,237,"F",42,"41-45","Supply Chain Management","Oslo","Eastern area","Viken","Nittedal","Nittedal, Norway","Norway",591015
350,253,"F",19,"18-25","Defence","Oslo","Inland area","Innlandet","Kongsvinger","Kongsvinger, Norway","Norway",282752
363,263,"F",47,"46-50","Teaching","Oslo","Eastern area","Viken","Halden","Halden, Norway","Norway",535510
369,269,"F",38,"36-40","Rocket Science","Oslo","Eastern area","Viken","Skedsmokorset","Skedsmokorset, Norway","Norway",471110
371,271,"F",25,"18-25","Carpenter","Oslo","Northen area","Trøndelag","Stjordal","Stjordal, Norway","Norway",502654
374,273,"F",32,"31-35","Carpenter","Oslo","Western area","Vestland","Nordfjordeid","Nordfjordeid, Norway","Norway",359393
375,274,"F",54,"50+","Geology","Oslo","Eastern area","Viken","Sarpsborg","Sarpsborg, Norway","Norway",203910
379,276,"F",44,"41-45","Journalism","Oslo","Western area","Vestland","Bergen","Bergen, Norway","Norway",686519
389,283,"F",49,"46-50","Medicine","Oslo","Western area","Vestland","Hagavik","Hagavik, Norway","Norway",835483
391,285,"F",40,"36-40","Art","Oslo","Northen area","Troms og Finnmark","Hammerfest","Hammerfest, Norway","Norway",410908
395,288,"F",30,"26-30","Mathematics","Oslo","Northen area","Trøndelag","Straumen","Straumen, Norway","Norway",475385
402,294,"F",51,"50+","IT-Management","Oslo","Western area","Vestland","Godvik","Godvik, Norway","Norway",410161
406,296,"F",29,"26-30","Journalism","Oslo","Western area","Vestland","Bergen","Bergen, Norway","Norway",121368
410,300,"F",37,"36-40","Geology","Oslo","Northen area","Møre og Romsdal","Molde","Molde, Norway","Norway",534998
433,318,"F",44,"41-45","Geology","Oslo","Western area","Vestland","Bomlo","Bomlo, Norway","Norway",214508
456,333,"F",20,"18-25","Marine Biology","Oslo","Eastern area","Viken","Fredrikstad","Fredrikstad, Norway","Norway",459928
457,334,"F",41,"41-45","IT-Management","Oslo","Northen area","Nordland","Bodo","Bodo, Norway","Norway",736810
458,335,"F",34,"31-35","Marine Biology","Oslo","Western area","Vestland","Stord","Stord, Norway","Norway",397551
464,340,"F",40,"36-40","Art","Oslo","Eastern area","Viken","Askim","Askim, Norway","Norway",609027
466,342,"F",34,"31-35","Neural Science","Oslo","Inland area","Innlandet","Lillehammer","Lillehammer, Norway","Norway",435875
474,347,"F",45,"41-45","Rocket Science","Oslo","Western area","Vestland","Husnes","Husnes, Norway","Norway",582369
480,352,"F",38,"36-40","Journalism","Oslo","Northen area","Trøndelag","Levanger","Levanger, Norway","Norway",353689
487,357,"F",42,"41-45","IT-Management","Oslo","Eastern area","Viken","Drammen","Drammen, Norway","Norway",739618
498,364,"F",52,"50+","Mathematics","Oslo","Eastern area","Viken","Skedsmokorset","Skedsmokorset, Norway","Norway",459883
503,368,"F",38,"36-40","Rocket Science","Oslo","Eastern area","Viken","Asker","Asker, Norway","Norway",414972
517,379,"F",29,"26-30","Mathematics","Oslo","Northen area","Nordland","Bodo","Bodo, Norway","Norway",565497
519,381,"F",42,"41-45","Rocket Science","Oslo","Northen area","Trøndelag","Steinkjer","Steinkjer, Norway","Norway",628249
532,390,"F",44,"41-45","Defence","Oslo","Western area","Vestland","Stord","Stord, Norway","Norway",694444
537,395,"F",49,"46-50","IT-Management","Oslo","Northen area","Trøndelag","Trondheim","Trondheim, Norway","Norway",659372
555,409,"F",50,"46-50","Supply Chain Management","Oslo","Northen area","Trøndelag","Trondheim","Trondheim, Norway","Norway",211920
564,414,"F",21,"18-25","Geology","Oslo","Inland area","Innlandet","Aurdal","Aurdal, Norway","Norway",306462
569,418,"F",29,"26-30","Geology","Oslo","Eastern area","Viken","Raholt","Raholt, Norway","Norway",290985
594,432,"F",49,"46-50","Geology","Oslo","Western area","Vestland","Hagavik","Hagavik, Norway","Norway",492534
597,435,"F",48,"46-50","Law","Oslo","Northen area","Møre og Romsdal","Alesund","Alesund, Norway","Norway",491175
599,437,"F",23,"18-25","IT-Management","Oslo","Northen area","Nordland","Sortland","Sortland, Norway","Norway",463044
625,453,"F",37,"36-40","Art","Oslo","Inland area","Innlandet","Hamar","Hamar, Norway","Norway",441754
632,458,"F",48,"46-50","Rocket Science","Oslo","Eastern area","Viken","Skedsmokorset","Skedsmokorset, Norway","Norway",529788
635,460,"F",32,"31-35","Rocket Science","Oslo","Eastern area","Viken","Moss","Moss, Norway","Norway",311834
636,461,"F",43,"41-45","Marine Biology","Oslo","Eastern area","Viken","Kongsberg","Kongsberg, Norway","Norway",657445
638,463,"F",51,"50+","Law","Oslo","Northen area","Troms og Finnmark","Harstad","Harstad, Norway","Norway",667114
667,482,"F",50,"46-50","Mathematics","Oslo","Northen area","Trøndelag","Namsos","Namsos, Norway","Norway",810670
673,487,"F",36,"36-40","Journalism","Oslo","Inland area","Innlandet","Raufoss","Raufoss, Norway","Norway",545024
677,490,"F",29,"26-30","Journalism","Oslo","Northen area","Nordland","Bodo","Bodo, Norway","Norway",187396
695,500,"F",48,"46-50","Rocket Science","Oslo","Northen area","Trøndelag","Oppdal","Oppdal, Norway","Norway",682195
700,504,"F",44,"41-45","IT-Management","Oslo","Western area","Vestland","Hagavik","Hagavik, Norway","Norway",694247
714,513,"F",39,"36-40","Mathematics","Oslo","Inland area","Innlandet","Lillehammer","Lillehammer, Norway","Norway",591742
717,515,"F",42,"41-45","Rocket Science","Oslo","Eastern area","Viken","Hokksund","Hokksund, Norway","Norway",716259
735,530,"F",30,"26-30","IT-Management","Oslo","Eastern area","Viken","Ski","Ski, Norway","Norway",356268
737,532,"F",35,"31-35","Marine Biology","Oslo","Eastern area","Viken","Raholt","Raholt, Norway","Norway",424862
744,536,"F",54,"50+","IT-Management","Oslo","Inland area","Innlandet","Lillehammer","Lillehammer, Norway","Norway",547463
755,545,"F",21,"18-25","Rocket Science","Oslo","Eastern area","Viken","Skedsmokorset","Skedsmokorset, Norway","Norway",233863
762,547,"F",26,"26-30","Journalism","Oslo","Eastern area","Viken","Halden","Halden, Norway","Norway",455782
765,549,"F",47,"46-50","Geology","Oslo","Inland area","Innlandet","Lillehammer","Lillehammer, Norway","Norway",606360
766,550,"F",50,"46-50","Teaching","Oslo","Western area","Vestland","Hagavik","Hagavik, Norway","Norway",538473
769,552,"F",48,"46-50","IT-Management","Oslo","Eastern area","Viken","Fredrikstad","Fredrikstad, Norway","Norway",549825
771,553,"F",22,"18-25","IT-Management","Oslo","Northen area","Trøndelag","Straumen","Straumen, Norway","Norway",373645
773,554,"F",36,"36-40","Law","Oslo","Northen area","Trøndelag","Trondheim","Trondheim, Norway","Norway",534053
783,559,"F",28,"26-30","Art","Oslo","Eastern area","Viken","Asker","Asker, Norway","Norway",627940
786,561,"F",52,"50+","Law","Oslo","Northen area","Nordland","Narvik","Narvik, Norway","Norway",613803
792,563,"F",23,"18-25","Carpenter","Oslo","Western area","Vestland","Husnes","Husnes, Norway","Norway",702190
807,570,"F",39,"36-40","Geology","Oslo","Eastern area","Viken","Skedsmokorset","Skedsmokorset, Norway","Norway",470540
815,576,"F",53,"50+","Carpenter","Oslo","Eastern area","Viken","Asker","Asker, Norway","Norway",315666
824,581,"F",31,"31-35","Rocket Science","Oslo","Eastern area","Viken","Drammen","Drammen, Norway","Norway",572935
827,583,"F",32,"31-35","IT-Management","Oslo","Western area","Vestland","Husnes","Husnes, Norway","Norway",476035
830,586,"F",19,"18-25","IT-Management","Oslo","Inland area","Innlandet","Raufoss","Raufoss, Norway","Norway",166116
834,589,"F",43,"41-45","Defence","Oslo","Northen area","Nordland","Bodo","Bodo, Norway","Norway",639108
845,596,"F",46,"46-50","IT-Management","Oslo","Eastern area","Viken","Eidsvoll","Eidsvoll, Norway","Norway",596617
851,599,"F",20,"18-25","Law","Oslo","Eastern area","Viken","Drammen","Drammen, Norway","Norway",376614
856,601,"F",32,"31-35","Law","Oslo","Northen area","Trøndelag","Stjordal","Stjordal, Norway","Norway",230425
861,604,"F",30,"26-30","Geology","Oslo","Northen area","Trøndelag","Bjugn","Bjugn, Norway","Norway",541061
862,605,"F",51,"50+","Marine Biology","Oslo","Inland area","Innlandet","Elverum","Elverum, Norway","Norway",342445
880,615,"F",22,"18-25","IT-Management","Oslo","Northen area","Trøndelag","Straumen","Straumen, Norway","Norway",267741
882,617,"F",46,"46-50","Rocket Science","Oslo","Northen area","Trøndelag","Stjordal","Stjordal, Norway","Norway",577777
908,635,"F",41,"41-45","Defence","Oslo","Northen area","Møre og Romsdal","Alesund","Alesund, Norway","Norway",353974
917,640,"F",18,"18-25","Art","Oslo","Western area","Vestland","Bergen","Bergen, Norway","Norway",552776
923,644,"F",30,"26-30","Supply Chain Management","Oslo","Northen area","Trøndelag","Trondheim","Trondheim, Norway","Norway",363082
924,645,"F",34,"31-35","IT-Management","Oslo","Northen area","Møre og Romsdal","Alesund","Alesund, Norway","Norway",550547
935,650,"F",33,"31-35","Journalism","Oslo","Eastern area","Viken","Nittedal","Nittedal, Norway","Norway",280225
948,659,"F",52,"50+","Marine Biology","Oslo","Western area","Vestland","Hagavik","Hagavik, Norway","Norway",480120
958,664,"F",45,"41-45","Carpenter","Oslo","Northen area","Nordland","Kabelvag","Kabelvag, Norway","Norway",402345
959,665,"F",36,"36-40","Mathematics","Oslo","Eastern area","Viken","Nittedal","Nittedal, Norway","Norway",446615
964,668,"F",37,"36-40","Mathematics","Oslo","Unknown","Unknown","Unknown","Unknown, Norway","Norway",448896
969,672,"F",19,"18-25","IT-Management","Oslo","Eastern area","Viken","Kongsberg","Kongsberg, Norway","Norway",415493
981,678,"F",22,"18-25","Journalism","Oslo","Eastern area","Viken","Asker","Asker, Norway","Norway",380350
983,680,"F",43,"41-45","Mathematics","Oslo","Northen area","Nordland","Andenes","Andenes, Norway","Norway",313479
997,688,"F",29,"26-30","IT-Management","Oslo","Eastern area","Viken","Asker","Asker, Norway","Norway",476095
1008,695,"F",36,"36-40","IT-Management","Oslo","Eastern area","Viken","Drammen","Drammen, Norway","Norway",359909
1015,700,"F",39,"36-40","Geology","Oslo","Inland area","Innlandet","Kongsvinger","Kongsvinger, Norway","Norway",401111
1016,701,"F",23,"18-25","Geology","Oslo","Inland area","Innlandet","Lillehammer","Lillehammer, Norway","Norway",172618
1032,711,"F",48,"46-50","IT-Management","Oslo","Western area","Vestland","Hagavik","Hagavik, Norway","Norway",673836
1063,726,"F",45,"41-45","Geology","Oslo","Northen area","Trøndelag","Oppdal","Oppdal, Norway","Norway",397214
1078,734,"F",41,"41-45","Journalism","Oslo","Eastern area","Viken","Sarpsborg","Sarpsborg, Norway","Norway",721221
1087,740,"F",54,"50+","Mathematics","Oslo","Northen area","Møre og Romsdal","Alesund","Alesund, Norway","Norway",567958
1092,743,"F",54,"50+","Rocket Science","Oslo","Western area","Vestland","Bergen","Bergen, Norway","Norway",578258
1096,745,"F",36,"36-40","Rocket Science","Oslo","Eastern area","Viken","Drammen","Drammen, Norway","Norway",360526
1097,746,"F",55,"50+","Journalism","Oslo","Northen area","Trøndelag","Melhus","Melhus, Norway","Norway",492509
1107,751,"F",44,"41-45","Art","Oslo","Northen area","Nordland","Bodo","Bodo, Norway","Norway",656566
1112,754,"F",47,"46-50","IT-Management","Oslo","Northen area","Trøndelag","Straumen","Straumen, Norway","Norway",733964
1127,766,"F",50,"46-50","Geology","Oslo","Northen area","Troms og Finnmark","Vadso","Vadso, Norway","Norway",690936
1133,771,"F",29,"26-30","Geology","Oslo","Northen area","Nordland","Andenes","Andenes, Norway","Norway",395024
1145,778,"F",36,"36-40","Rocket Science","Oslo","Northen area","Trøndelag","Trondheim","Trondheim, Norway","Norway",231904
1154,784,"F",55,"50+","Rocket Science","Oslo","Northen area","Nordland","Bodo","Bodo, Norway","Norway",682605
1169,792,"F",50,"46-50","Marine Biology","Oslo","Inland area","Innlandet","Trysil","Trysil, Norway","Norway",402407
1170,793,"F",36,"36-40","Teaching","Oslo","Northen area","Troms og Finnmark","Harstad","Harstad, Norway","Norway",387090
1171,794,"F",49,"46-50","Geology","Oslo","Eastern area","Viken","Kongsberg","Kongsberg, Norway","Norway",6652
1179,799,"F",38,"36-40","Law","Oslo","Eastern area","Viken","Raholt","Raholt, Norway","Norway",394182
1182,800,"F",43,"41-45","Art","Oslo","Eastern area","Viken","Nittedal","Nittedal, Norway","Norway",279293
1187,804,"F",44,"41-45","IT-Management","Oslo","Northen area","Nordland","Fauske","Fauske, Norway","Norway",215991
1205,813,"F",43,"41-45","IT-Management","Oslo","Northen area","Trøndelag","Roros","Roros, Norway","Norway",629055
1214,819,"F",54,"50+","Geology","Oslo","Western area","Vestland","Stord","Stord, Norway","Norway",523890
1225,824,"F",36,"36-40","Mathematics","Oslo","Eastern area","Viken","Asker","Asker, Norway","Norway",300389
1228,825,"F",51,"50+","Supply Chain Management","Oslo","Northen area","Troms og Finnmark","Tromso","Tromso, Norway","Norway",476100
1258,843,"F",48,"46-50","Carpenter","Oslo","Northen area","Trøndelag","Stjordal","Stjordal, Norway","Norway",563187
1259,844,"F",50,"46-50","IT-Management","Oslo","Eastern area","Viken","Oppegard","Oppegard, Norway","Norway",585012
19,17,"F",35,"31-35","Marine Biology","Oslo","Southen area","Rogaland","Haugesund","Haugesund, Norway","Norway",381809
35,28,"F",39,"36-40","Art","Oslo","Southen area","Agder","Grimstad","Grimstad, Norway","Norway",461964
42,35,"F",41,"41-45","Mathematics","Oslo","Southen area","Rogaland","Sandnes","Sandnes, Norway","Norway",890871
50,41,"F",37,"36-40","Journalism","Oslo","Southen area","Rogaland","Sandnes","Sandnes, Norway","Norway",411639
53,44,"F",40,"36-40","Carpenter","Oslo","Southen area","Agder","Aurskog","Aurskog, Norway","Norway",117436
61,51,"F",21,"18-25","Farming","Oslo","Southen area","Agder","Arendal","Arendal, Norway","Norway",474644
68,57,"F",21,"18-25","Law","Oslo","Southen area","Vestfold og Telemark","Sandefjord","Sandefjord, Norway","Norway",529167
113,91,"F",51,"50+","IT-Management","Oslo","Southen area","Rogaland","Egersund","Egersund, Norway","Norway",815436
126,103,"F",24,"18-25","Law","Oslo","Southen area","Agder","Arendal","Arendal, Norway","Norway",479980
151,123,"F",34,"31-35","Supply Chain Management","Oslo","Southen area","Rogaland","Sola","Sola, Norway","Norway",407858
213,159,"F",54,"50+","Supply Chain Management","Oslo","Southen area","Vestfold og Telemark","Tonsberg","Tonsberg, Norway","Norway",687097
227,169,"F",24,"18-25","Journalism","Oslo","Southen area","Vestfold og Telemark","Notodden","Notodden, Norway","Norway",206165
244,178,"F",35,"31-35","Journalism","Oslo","Southen area","Agder","Aurskog","Aurskog, Norway","Norway",328754
255,186,"F",41,"41-45","Mathematics","Oslo","Southen area","Vestfold og Telemark","Notodden","Notodden, Norway","Norway",573147
279,205,"F",44,"41-45","Carpenter","Oslo","Southen area","Rogaland","Egersund","Egersund, Norway","Norway",556949
294,215,"F",27,"26-30","Geology","Oslo","Southen area","Vestfold og Telemark","Ulefoss","Ulefoss, Norway","Norway",156783
327,234,"F",26,"26-30","Law","Oslo","Southen area","Rogaland","Vigrestad","Vigrestad, Norway","Norway",370446
340,245,"F",27,"26-30","Neural Science","Oslo","Southen area","Agder","Grimstad","Grimstad, Norway","Norway",379975
347,251,"F",42,"41-45","Geology","Oslo","Southen area","Vestfold og Telemark","Sandefjord","Sandefjord, Norway","Norway",334848
364,264,"F",49,"46-50","IT-Management","Oslo","Southen area","Vestfold og Telemark","Larvik","Larvik, Norway","Norway",624492
370,270,"F",54,"50+","Neural Science","Oslo","Southen area","Vestfold og Telemark","Skien","Skien, Norway","Norway",782013
378,275,"F",46,"46-50","Marine Biology","Oslo","Southen area","Vestfold og Telemark","Skien","Skien, Norway","Norway",684367
427,312,"F",20,"18-25","Supply Chain Management","Oslo","Southen area","Vestfold og Telemark","Larvik","Larvik, Norway","Norway",529313
429,314,"F",52,"50+","Geology","Oslo","Southen area","Agder","Grimstad","Grimstad, Norway","Norway",676437
446,325,"F",43,"41-45","Law","Oslo","Southen area","Rogaland","Egersund","Egersund, Norway","Norway",576999
468,344,"F",31,"31-35","Geology","Oslo","Southen area","Vestfold og Telemark","Skien","Skien, Norway","Norway",331448
471,345,"F",30,"26-30","Geology","Oslo","Southen area","Vestfold og Telemark","Larvik","Larvik, Norway","Norway",470488
477,349,"F",43,"41-45","IT-Management","Oslo","Southen area","Agder","Vennesla","Vennesla, Norway","Norway",469472
482,353,"F",48,"46-50","Neural Science","Oslo","Southen area","Rogaland","Haugesund","Haugesund, Norway","Norway",223881
494,362,"F",28,"26-30","Carpenter","Oslo","Southen area","Agder","Vennesla","Vennesla, Norway","Norway",356569
504,369,"F",34,"31-35","Art","Oslo","Southen area","Rogaland","Nedre Vats","Nedre Vats, Norway","Norway",370301
518,380,"F",31,"31-35","Supply Chain Management","Oslo","Southen area","Agder","Kvinesdal","Kvinesdal, Norway","Norway",488323
533,391,"F",51,"50+","Law","Oslo","Southen area","Vestfold og Telemark","Skien","Skien, Norway","Norway",588774
534,392,"F",27,"26-30","Law","Oslo","Southen area","Agder","Kvinesdal","Kvinesdal, Norway","Norway",455177
541,398,"F",54,"50+","Art","Oslo","Southen area","Rogaland","Sandnes","Sandnes, Norway","Norway",541730
561,412,"F",24,"18-25","Law","Oslo","Southen area","Rogaland","Egersund","Egersund, Norway","Norway",498142
572,420,"F",38,"36-40","Supply Chain Management","Oslo","Southen area","Rogaland","Sandnes","Sandnes, Norway","Norway",463714
