Fiscal Year,Period,Area,Country,Std Rptg Mid Reported Subsegment,Rev Sum Division,Forecast Planning Level,Budget Sales,Forecast Sales
"FY18",6,"CEE","Latvia","EPG Commercial","OSD Other SMSG","3rd Party Hosting",0.1606,0
"FY18",3,"CEE","Latvia","EPG Commercial","Project","3rd Party Hosting",0.1606,0
"FY18",1,"CEE","Latvia","EPG Commercial","OSD Other SMSG","3rd Party Hosting",0.1606,0
"FY18",1,"CEE","Latvia","EPG Commercial","Speech at Microsoft","3rd Party Hosting",0.1606,0
"FY18",11,"CEE","Latvia","EPG Commercial","Other Server","3rd Party Hosting",0.1606,0
"FY18",3,"CEE","Latvia","EPG Commercial","System Center Client","3rd Party Hosting",0.1606,0
"FY18",4,"CEE","Latvia","EPG Commercial","OSD Other SMSG","3rd Party Hosting",0.1606,0
"FY18",2,"CEE","Latvia","EPG Commercial","Project","3rd Party Hosting",0.1606,0
"FY18",7,"CEE","Latvia","EPG Commercial","Other MBS","3rd Party Hosting",0.1606,0
"FY18",1,"CEE","Latvia","EPG Commercial","MDOP-Client","3rd Party Hosting",0.1606,0
"FY18",1,"CEE","Latvia","EPG Commercial","S&T CAL Suites - ECAL","3rd Party Hosting",0.1606,0
"FY18",1,"CEE","Latvia","EPG Commercial","Other MBS","3rd Party Hosting",0.1606,0
"FY18",4,"CEE","Latvia","EPG Commercial","Other MBS","3rd Party Hosting",0.1606,0
"FY18",3,"CEE","Latvia","EPG Commercial","OSD Subs & Trans OSD SMSG","3rd Party Hosting",0.1606,0
"FY18",7,"CEE","Latvia","EPG Commercial","Lync Server & CAL","3rd Party Hosting",0.1606,0
"FY18",10,"CEE","Latvia","EPG Commercial","OSD Other SMSG","3rd Party Hosting",0.1606,0
"FY18",4,"CEE","Latvia","EPG Commercial","System Center Server","3rd Party Hosting",0.1606,0
"FY18",5,"CEE","Latvia","EPG Commercial","System Center Client","3rd Party Hosting",0.1606,0
"FY18",3,"CEE","Latvia","EPG Commercial","Dynamics ERP","3rd Party Hosting",0.1606,0
"FY18",3,"CEE","Latvia","EPG Commercial","S&T CAL Suites - ECAL","3rd Party Hosting",0.1606,0
"FY18",9,"CEE","Latvia","EPG Commercial","Visio","3rd Party Hosting",0.1606,0
"FY18",6,"CEE","Latvia","EPG Commercial","Biztalk Server","3rd Party Hosting",0.1606,0
"FY18",7,"CEE","Latvia","EPG Commercial","SharePoint CAL","3rd Party Hosting",0.1606,0
"FY18",7,"CEE","Latvia","EPG Commercial","Dynamics CRM","3rd Party Hosting",0.1606,0
"FY18",7,"CEE","Latvia","EPG Commercial","OSD Other SMSG","3rd Party Hosting",0.1606,0
"FY18",3,"CEE","Latvia","EPG Commercial","Biztalk Server","3rd Party Hosting",0.1606,0
"FY18",12,"CEE","Latvia","EPG Commercial","OSD Other SMSG","3rd Party Hosting",0.1606,0
"FY18",11,"CEE","Latvia","EPG Commercial","OSD Other SMSG","3rd Party Hosting",0.1606,0
"FY18",4,"CEE","Latvia","EPG Commercial","Lync Server & CAL","3rd Party Hosting",0.1606,0
"FY18",1,"CEE","Latvia","EPG Commercial","Lync Server & CAL","3rd Party Hosting",0.1606,0
"FY18",4,"CEE","Latvia","EPG Commercial","Other Server","3rd Party Hosting",0.1606,0
"FY18",1,"CEE","Latvia","EPG Commercial","Dynamics ERP","3rd Party Hosting",0.1606,0
"FY18",5,"CEE","Latvia","EPG Commercial","Dynamics ERP","3rd Party Hosting",0.1606,0
"FY18",8,"CEE","Latvia","EPG Commercial","IW CAL Suites - ECAL","3rd Party Hosting",0.1606,0
"FY18",5,"CEE","Latvia","EPG Commercial","OSD Other SMSG","3rd Party Hosting",0.1606,0
"FY18",3,"CEE","Latvia","EPG Commercial","SharePoint Server","3rd Party Hosting",0.1606,0
"FY18",2,"CEE","Latvia","EPG Commercial","SharePoint CAL","3rd Party Hosting",0.1606,0
"FY18",7,"CEE","Latvia","EPG Commercial","Dynamics ERP","3rd Party Hosting",0.1606,0
"FY18",2,"CEE","Latvia","EPG Commercial","Dynamics CRM","3rd Party Hosting",0.1606,0
"FY18",2,"CEE","Latvia","EPG Commercial","OSD Subs & Trans OSD SMSG","3rd Party Hosting",0.1606,0
"FY18",9,"CEE","Latvia","EPG Commercial","Lync Server & CAL","3rd Party Hosting",0.1606,0
"FY18",4,"CEE","Latvia","EPG Commercial","Dynamics ERP","3rd Party Hosting",0.1606,0
"FY18",1,"CEE","Latvia","EPG Commercial","SharePoint CAL","3rd Party Hosting",0.1606,0
"FY18",4,"CEE","Latvia","EPG Commercial","Dynamics CRM","3rd Party Hosting",0.1606,0
"FY18",7,"CEE","Latvia","EPG Commercial","IW CAL Suites - ECAL","3rd Party Hosting",0.1606,0
"FY18",10,"CEE","Latvia","EPG Commercial","Other Server","3rd Party Hosting",0.1606,0
"FY18",2,"CEE","Latvia","EPG Commercial","S&T CAL Suites - ECAL","3rd Party Hosting",0.1606,0
"FY18",9,"CEE","Latvia","EPG Commercial","SharePoint for Internet Sites","3rd Party Hosting",0.1606,0
"FY18",7,"CEE","Latvia","EPG Commercial","System Center Server","3rd Party Hosting",0.1606,0
"FY18",7,"CEE","Latvia","EPG Commercial","S&T CAL Suites - Core CAL","3rd Party Hosting",0.1606,0
"FY18",1,"CEE","Latvia","EPG Commercial","Dynamics CRM","3rd Party Hosting",0.1606,0
"FY18",12,"CEE","Latvia","EPG Commercial","Other MBS","3rd Party Hosting",0.1606,0
"FY18",5,"CEE","Latvia","EPG Commercial","IW CAL Suites - ECAL","3rd Party Hosting",0.1606,0
"FY18",9,"CEE","Latvia","EPG Commercial","OSD Other SMSG","3rd Party Hosting",0.1606,0
"FY18",6,"CEE","Latvia","EPG Commercial","IW CAL Suites - ECAL","3rd Party Hosting",0.1606,0
"FY18",4,"CEE","Latvia","EPG Commercial","Speech at Microsoft","3rd Party Hosting",0.1606,0
"FY18",8,"CEE","Latvia","EPG Commercial","Other MBS","3rd Party Hosting",0.1606,0
"FY18",9,"CEE","Latvia","EPG Commercial","Other MBS","3rd Party Hosting",0.1606,0
"FY18",8,"CEE","Latvia","EPG Commercial","OSD Other SMSG","3rd Party Hosting",0.1606,0
"FY18",2,"CEE","Latvia","EPG Commercial","SharePoint for Internet Sites","3rd Party Hosting",0.1606,0
"FY18",2,"CEE","Latvia","EPG Commercial","Lync Server & CAL","3rd Party Hosting",0.1606,0
"FY18",6,"CEE","Latvia","EPG Commercial","Lync Server & CAL","3rd Party Hosting",0.1606,0
"FY18",1,"CEE","Latvia","EPG Commercial","Other IW Apps","3rd Party Hosting",0.1606,0
"FY18",5,"CEE","Latvia","EPG Commercial","System Center Server","3rd Party Hosting",0.1606,0
"FY18",6,"CEE","Latvia","EPG Commercial","Project","3rd Party Hosting",0.1606,0
"FY18",8,"CEE","Latvia","EPG Commercial","Speech at Microsoft","3rd Party Hosting",0.1606,0
"FY18",9,"CEE","Latvia","EPG Commercial","System Center Client","3rd Party Hosting",0.1606,0
"FY18",5,"CEE","Latvia","EPG Commercial","MDOP-Client","3rd Party Hosting",0.1606,0
"FY18",5,"CEE","Latvia","EPG Commercial","Other IW Apps","3rd Party Hosting",0.1606,0
"FY18",3,"CEE","Latvia","EPG Commercial","MDOP-Client","3rd Party Hosting",0.1606,0
"FY18",12,"CEE","Latvia","EPG Commercial","Dynamics ERP","3rd Party Hosting",0.1606,0
"FY18",4,"CEE","Latvia","EPG Commercial","S&T CAL Suites - Core CAL","3rd Party Hosting",0.1606,0
"FY18",3,"CEE","Latvia","EPG Commercial","Other IW Apps","3rd Party Hosting",0.1606,0
"FY18",1,"CEE","Latvia","EPG Commercial","Project","3rd Party Hosting",0.1606,0
"FY18",6,"CEE","Latvia","EPG Commercial","SQL Server Premium","3rd Party Hosting",0.1606,0
"FY18",7,"CEE","Latvia","EPG Commercial","FAST Legacy","3rd Party Hosting",0.1606,0
"FY18",3,"CEE","Latvia","EPG Commercial","S&T CAL Suites - Core CAL","3rd Party Hosting",0.1606,0
"FY18",3,"CEE","Latvia","EPG Commercial","Speech at Microsoft","3rd Party Hosting",0.1606,0
"FY18",5,"CEE","Latvia","EPG Commercial","SharePoint for Internet Sites","3rd Party Hosting",0.1606,0
"FY18",2,"CEE","Latvia","EPG Commercial","Other Server","3rd Party Hosting",0.1606,0
"FY18",10,"CEE","Latvia","EPG Commercial","Speech at Microsoft","3rd Party Hosting",0.1606,0
"FY18",3,"CEE","Latvia","EPG Commercial","Visio","3rd Party Hosting",0.1606,0
"FY18",9,"CEE","Latvia","EPG Commercial","Dynamics ERP","3rd Party Hosting",0.1606,0
"FY18",7,"CEE","Latvia","EPG Commercial","Other Server","3rd Party Hosting",0.1606,0
"FY18",2,"CEE","Latvia","EPG Commercial","FAST Legacy","3rd Party Hosting",0.1606,0
"FY18",8,"CEE","Latvia","EPG Commercial","Other IW Apps","3rd Party Hosting",0.1606,0
"FY18",8,"CEE","Latvia","EPG Commercial","S&T CAL Suites - Core CAL","3rd Party Hosting",0.1606,0
"FY18",8,"CEE","Latvia","EPG Commercial","OSD Subs & Trans OSD SMSG","3rd Party Hosting",0.1606,0
"FY18",5,"CEE","Latvia","EPG Commercial","IW CAL Suites - Core CAL","3rd Party Hosting",0.1606,0
"FY18",10,"CEE","Latvia","EPG Commercial","OSD Subs & Trans OSD SMSG","3rd Party Hosting",0.1606,0
"FY18",1,"CEE","Latvia","EPG Commercial","SharePoint for Internet Sites","3rd Party Hosting",0.1606,0
"FY18",5,"CEE","Latvia","EPG Commercial","Visio","3rd Party Hosting",0.1606,0
"FY18",3,"CEE","Latvia","EPG Commercial","SharePoint for Internet Sites","3rd Party Hosting",0.1606,0
"FY18",8,"CEE","Latvia","EPG Commercial","S&T CAL Suites - ECAL","3rd Party Hosting",0.1606,0
"FY18",3,"CEE","Latvia","EPG Commercial","IW CAL Suites - Core CAL","3rd Party Hosting",0.1606,0
"FY18",6,"CEE","Latvia","EPG Commercial","Other Server","3rd Party Hosting",0.1606,0
"FY18",5,"CEE","Latvia","EPG Commercial","Speech at Microsoft","3rd Party Hosting",0.1606,0
"FY18",6,"CEE","Latvia","EPG Commercial","FAST Legacy","3rd Party Hosting",0.1606,0
"FY18",5,"CEE","Latvia","EPG Commercial","SharePoint CAL","3rd Party Hosting",0.1606,0
"FY18",8,"CEE","Latvia","EPG Commercial","MDOP-Client","3rd Party Hosting",0.1606,0
"FY18",5,"CEE","Latvia","EPG Commercial","S&T CAL Suites - ECAL","3rd Party Hosting",0.1606,0
"FY18",6,"CEE","Latvia","EPG Commercial","Other MBS","3rd Party Hosting",0.1606,0
"FY18",8,"CEE","Latvia","EPG Commercial","SharePoint for Internet Sites","3rd Party Hosting",0.1606,0
"FY18",8,"CEE","Latvia","EPG Commercial","IW CAL Suites - Core CAL","3rd Party Hosting",0.1606,0
"FY18",9,"CEE","Latvia","EPG Commercial","Other Server","3rd Party Hosting",0.1606,0
"FY18",2,"CEE","Latvia","EPG Commercial","OSD Other SMSG","3rd Party Hosting",0.1606,0
"FY18",9,"CEE","Latvia","EPG Commercial","Project","3rd Party Hosting",0.1606,0
"FY18",9,"CEE","Latvia","EPG Commercial","Other IW Apps","3rd Party Hosting",0.1606,0
"FY18",9,"CEE","Latvia","EPG Commercial","S&T CAL Suites - Core CAL","3rd Party Hosting",0.1606,0
"FY18",8,"CEE","Latvia","EPG Commercial","Dynamics CRM","3rd Party Hosting",0.1606,0
"FY18",9,"CEE","Latvia","EPG Commercial","Speech at Microsoft","3rd Party Hosting",0.1606,0
"FY18",8,"CEE","Latvia","EPG Commercial","SharePoint CAL","3rd Party Hosting",0.1606,0
"FY18",9,"CEE","Latvia","EPG Commercial","MDOP-Client","3rd Party Hosting",0.1606,0
"FY18",7,"CEE","Latvia","EPG Commercial","OSD Subs & Trans OSD SMSG","3rd Party Hosting",0.1606,0
"FY18",2,"CEE","Latvia","EPG Commercial","Biztalk Server","3rd Party Hosting",0.1606,0
"FY18",3,"CEE","Latvia","EPG Commercial","Dynamics CRM","3rd Party Hosting",0.1606,0
"FY18",7,"CEE","Latvia","EPG Commercial","System Center Client","3rd Party Hosting",0.1606,0
"FY18",5,"CEE","Latvia","EPG Commercial","Project","3rd Party Hosting",0.1606,0
"FY18",2,"CEE","Latvia","EPG Commercial","Other MBS","3rd Party Hosting",0.1606,0
"FY18",5,"CEE","Latvia","EPG Commercial","Dynamics CRM","3rd Party Hosting",0.1606,0
"FY18",6,"CEE","Latvia","EPG Commercial","System Center Client","3rd Party Hosting",0.1606,0
"FY18",3,"CEE","Latvia","EPG Commercial","SharePoint CAL","3rd Party Hosting",0.1606,0
"FY18",9,"CEE","Latvia","EPG Commercial","FAST Legacy","3rd Party Hosting",0.1606,0
"FY18",7,"CEE","Latvia","EPG Commercial","Biztalk Server","3rd Party Hosting",0.1606,0
"FY18",9,"CEE","Latvia","EPG Commercial","IW CAL Suites - Core CAL","3rd Party Hosting",0.1606,0
"FY18",1,"CEE","Latvia","EPG Commercial","IW CAL Suites - Core CAL","3rd Party Hosting",0.1606,0
"FY18",1,"CEE","Latvia","EPG Commercial","System Center Server","3rd Party Hosting",0.1606,0
"FY18",2,"CEE","Latvia","EPG Commercial","MDOP-Client","3rd Party Hosting",0.1606,0
"FY18",6,"CEE","Latvia","EPG Commercial","Dynamics ERP","3rd Party Hosting",0.1606,0
"FY18",1,"CEE","Latvia","EPG Commercial","IW CAL Suites - ECAL","3rd Party Hosting",0.1606,0
"FY18",4,"CEE","Latvia","EPG Commercial","SharePoint CAL","3rd Party Hosting",0.1606,0
"FY18",11,"CEE","Latvia","EPG Commercial","Speech at Microsoft","3rd Party Hosting",0.1606,0
"FY18",5,"CEE","Latvia","EPG Commercial","S&T CAL Suites - Core CAL","3rd Party Hosting",0.1606,0
"FY18",4,"CEE","Latvia","EPG Commercial","Other IW Apps","3rd Party Hosting",0.1606,0
"FY18",2,"CEE","Latvia","EPG Commercial","Other IW Apps","3rd Party Hosting",0.1606,0
"FY18",12,"CEE","Latvia","EPG Commercial","Speech at Microsoft","3rd Party Hosting",0.1606,0
"FY18",2,"CEE","Latvia","EPG Commercial","System Center Client","3rd Party Hosting",0.1606,0
"FY18",2,"CEE","Latvia","EPG Commercial","Speech at Microsoft","3rd Party Hosting",0.1606,0
"FY18",1,"CEE","Latvia","EPG Commercial","SharePoint Server","3rd Party Hosting",0.1606,0
"FY18",6,"CEE","Latvia","EPG Commercial","SharePoint for Internet Sites","3rd Party Hosting",0.1606,0
"FY18",6,"CEE","Latvia","EPG Commercial","MDOP-Client","3rd Party Hosting",0.1606,0
"FY18",10,"CEE","Latvia","EPG Commercial","Dynamics CRM","3rd Party Hosting",0.1606,0
"FY18",6,"CEE","Latvia","EPG Commercial","Speech at Microsoft","3rd Party Hosting",0.1606,0
"FY18",4,"CEE","Latvia","EPG Commercial","Visio","3rd Party Hosting",0.1606,0
"FY18",4,"CEE","Latvia","EPG Commercial","MDOP-Client","3rd Party Hosting",0.1606,0
"FY18",8,"CEE","Latvia","EPG Commercial","Visio","3rd Party Hosting",0.1606,0
"FY18",6,"CEE","Latvia","EPG Commercial","IW CAL Suites - Core CAL","3rd Party Hosting",0.1606,0
"FY18",4,"CEE","Latvia","EPG Commercial","IW CAL Suites - Core CAL","3rd Party Hosting",0.1606,0
"FY18",4,"CEE","Latvia","EPG Commercial","SharePoint for Internet Sites","3rd Party Hosting",0.1606,0
"FY18",3,"CEE","Latvia","EPG Commercial","IW CAL Suites - ECAL","3rd Party Hosting",0.1606,0
"FY18",2,"CEE","Latvia","EPG Commercial","Dynamics ERP","3rd Party Hosting",0.1606,0
"FY18",3,"CEE","Latvia","EPG Commercial","System Center Server","3rd Party Hosting",0.1606,0
"FY18",1,"CEE","Latvia","EPG Commercial","S&T CAL Suites - Core CAL","3rd Party Hosting",0.1606,0
"FY18",6,"CEE","Latvia","EPG Commercial","Other IW Apps","3rd Party Hosting",0.1606,0
"FY18",5,"WE","Austria","EPG Public Sector","Office","EA Renewal",550179.1462,0
"FY18",5,"WE","Austria","EPG Public Sector","Windows Client","EA Renewal",260131.9262,0
"FY18",5,"WE","Austria","EPG Public Sector","IW CAL Suites - Core CAL","EA Renewal",185201.93,0
"FY18",7,"WE","Austria","EPG Public Sector","Office","EA Renewal",117601.2725,0
"FY18",5,"WE","Austria","EPG Public Sector","S&T CAL Suites - Core CAL","EA Renewal",104168.1854,0
"FY18",7,"WE","Austria","EPG Public Sector","IW CAL Suites - ECAL","EA Renewal",75265.7312,0
"FY18",5,"WE","Austria","EPG Public Sector","SQL Server Premium","EA Renewal",72722.8915,0
"FY18",5,"WE","Austria","EPG Public Sector","Developer Tools","EA Renewal",53652.6742,0
"FY18",7,"WE","Austria","EPG Public Sector","S&T CAL Suites - ECAL","EA Renewal",53511.0417,0
"FY18",7,"WE","Austria","EPG Public Sector","SQL Server Premium","EA Renewal",47149.1712,0
"FY18",5,"WE","Austria","EPG Public Sector","IW CAL Suites - ECAL","EA Renewal",44529.7081,0
"FY18",5,"WE","Austria","EPG Public Sector","Project","EA Renewal",43469.4902,0
"FY18",5,"WE","Austria","EPG Public Sector","Windows Server Premium","EA Renewal",34314.2317,0
"FY18",7,"WE","Austria","EPG Public Sector","Windows Client","EA Renewal",29445.3116,0
"FY18",5,"WE","Austria","EPG Public Sector","System Center Client","EA Renewal",24994.6457,0
"FY18",5,"WE","Austria","EPG Public Sector","System Center Server","EA Renewal",24459.4562,0
"FY18",5,"WE","Austria","EPG Public Sector","Visio","EA Renewal",23702.0808,0
"FY18",5,"WE","Austria","EPG Public Sector","SQL Server Standard & CAL","EA Renewal",20298.0162,0
"FY18",7,"WE","Austria","EPG Public Sector","IW CAL Suites - Core CAL","EA Renewal",16682.8755,0
"FY18",7,"WE","Austria","EPG Public Sector","SharePoint for Internet Sites","EA Renewal",15497.9269,0
"FY18",5,"WE","Austria","EPG Public Sector","SharePoint Server","EA Renewal",15081.2873,0
"FY18",7,"WE","Austria","EPG Public Sector","Lync Server & CAL","EA Renewal",15047.8624,0
"FY18",7,"WE","Austria","EPG Public Sector","SharePoint Server","EA Renewal",14186.2028,0
"FY18",7,"WE","Austria","EPG Public Sector","Developer Tools","EA Renewal",13721.5721,0
"FY18",5,"WE","Austria","EPG Public Sector","Exchange Server & CAL","EA Renewal",12525.7285,0
"FY18",7,"WE","Austria","EPG Public Sector","Windows Server Premium","EA Renewal",11706.6037,0
"FY18",5,"WE","Austria","EPG Public Sector","Windows Server & Solutions & CAL","EA Renewal",11582.4438,0
"FY18",7,"WE","Austria","EPG Public Sector","System Center Server","EA Renewal",11569.3663,0
"FY18",5,"WE","Austria","EPG Public Sector","Identity & Direct Access","EA Renewal",11265.9491,0
"FY18",12,"WE","Austria","EPG Public Sector","IW CAL Suites - ECAL","EA Renewal",10809.1553,0
"FY18",7,"WE","Austria","EPG Public Sector","S&T CAL Suites - Core CAL","EA Renewal",9384.1174,0
"FY18",1,"WE","Austria","EPG Public Sector","Forefront Protection","EA Renewal",8007.0039,0
"FY18",7,"WE","Austria","EPG Public Sector","Exchange Server & CAL","EA Renewal",7722.7984,0
"FY18",5,"WE","Austria","EPG Public Sector","MDOP-Client","EA Renewal",6154.17,0
"FY18",7,"WE","Austria","EPG Public Sector","Windows Server & Solutions & CAL","EA Renewal",3907.1835,0
"FY18",7,"WE","Austria","EPG Public Sector","System Center Client","EA Renewal",3015.0935,0
"FY18",7,"WE","Austria","EPG Public Sector","Identity & Direct Access","EA Renewal",1480.8387,0
"FY18",5,"WE","Austria","EPG Public Sector","Lync Server & CAL","EA Renewal",1320.0271,0
"FY18",7,"WE","Austria","EPG Public Sector","Project","EA Renewal",984.6008,0
"FY18",7,"WE","Austria","EPG Public Sector","Visio","EA Renewal",926.1542,0
"FY18",7,"WE","Austria","EPG Public Sector","Forefront Protection","EA Renewal",757.6367,0
"FY18",7,"WE","Austria","EPG Public Sector","MDOP-Client","EA Renewal",523.3345,0
"FY18",7,"WE","Austria","EPG Public Sector","Windows Server Other","EA Renewal",462.9648,0
"FY18",7,"WE","Austria","EPG Public Sector","SQL Server Standard & CAL","EA Renewal",455.0993,0
"FY18",5,"WE","Austria","EPG Public Sector","SharePoint CAL","EA Renewal",228.9158,0
"FY18",6,"WE","Austria","EPG Public Sector","Forefront Protection","EA Renewal",38.2287,0
"FY18",5,"WE","Austria","EPG Public Sector","Forefront Protection","EA Renewal",17.096,0
"FY18",12,"WE","Austria","EPG Public Sector","S&T CAL Suites - ECAL","EA Renewal",-10809.1553,0
"FY18",7,"WE","Ireland","EPG Public Sector","S&T CAL Suites - ECAL","EA Renewal",243489.1557,0
"FY18",3,"WE","Ireland","EPG Public Sector","Lync Server & CAL","EA Renewal",206556.2748,0
"FY18",7,"WE","Ireland","EPG Public Sector","SharePoint CAL","EA Renewal",180540.0596,0
"FY18",8,"WE","Ireland","EPG Public Sector","Windows Server & Solutions & CAL","EA Renewal",150767.9205,0
"FY18",8,"WE","Ireland","EPG Public Sector","SharePoint for Internet Sites","EA Renewal",84252.6615,0
"FY18",8,"WE","Ireland","EPG Public Sector","Biztalk Server","EA Renewal",78709.7232,0
"FY18",7,"WE","Ireland","EPG Public Sector","IW CAL Suites - ECAL","EA Renewal",71278.6948,0
"FY18",7,"WE","Ireland","EPG Public Sector","Office 365","EA Renewal",55085.848,0
"FY18",3,"WE","Ireland","EPG Public Sector","Developer Tools","EA Renewal",38912.9553,0
"FY18",3,"WE","Ireland","EPG Public Sector","Office","EA Renewal",37090.6742,0
"FY18",8,"WE","Ireland","EPG Public Sector","Other Server","EA Renewal",34366.2172,0
"FY18",12,"WE","Ireland","EPG Public Sector","Windows Azure","EA Renewal",34000,0
"FY18",3,"WE","Ireland","EPG Public Sector","SharePoint Server","EA Renewal",30810.6518,0
"FY18",11,"WE","Ireland","EPG Public Sector","Windows Azure","EA Renewal",30600,0
"FY18",4,"WE","Ireland","EPG Public Sector","IW CAL Suites - ECAL","EA Renewal",29701.1725,0
"FY18",10,"WE","Ireland","EPG Public Sector","Windows Azure","EA Renewal",28900,0
"FY18",3,"WE","Ireland","EPG Public Sector","Exchange Server & CAL","EA Renewal",25314.6977,0
"FY18",8,"WE","Ireland","EPG Public Sector","Windows Azure","EA Renewal",22100,0
"FY18",7,"WE","Ireland","EPG Public Sector","Biztalk Server","EA Renewal",21701.5237,0
"FY18",3,"WE","Ireland","EPG Public Sector","IW CAL Suites - Core CAL","EA Renewal",20909.4736,0
"FY18",7,"WE","Ireland","EPG Public Sector","Windows Azure","EA Renewal",17850,0
"FY18",3,"WE","Ireland","EPG Public Sector","SQL Server Premium","EA Renewal",16873.9379,0
"FY18",4,"WE","Ireland","EPG Public Sector","S&T CAL Suites - ECAL","EA Renewal",16719.8908,0
"FY18",6,"WE","Ireland","EPG Public Sector","Windows Azure","EA Renewal",16150,0
"FY18",3,"WE","Ireland","EPG Public Sector","Windows Server Premium","EA Renewal",14739.1496,0
"FY18",3,"WE","Ireland","EPG Public Sector","S&T CAL Suites - Core CAL","EA Renewal",14701.4264,0
"FY18",5,"WE","Ireland","EPG Public Sector","Windows Azure","EA Renewal",14450,0
"FY18",3,"WE","Ireland","EPG Public Sector","Windows Server & Solutions & CAL","EA Renewal",14402.4972,0
"FY18",4,"WE","Ireland","EPG Public Sector","Project","EA Renewal",14162.2388,0
"FY18",4,"WE","Ireland","EPG Public Sector","Windows Azure","EA Renewal",13600,0
"FY18",3,"WE","Ireland","EPG Public Sector","Windows Client","EA Renewal",13309.2127,0
"FY18",3,"WE","Ireland","EPG Public Sector","Windows Azure","EA Renewal",12750,0
"FY18",2,"WE","Ireland","EPG Public Sector","Windows Azure","EA Renewal",10200,0
"FY18",1,"WE","Ireland","EPG Public Sector","Windows Azure","EA Renewal",8500,0
"FY18",3,"WE","Ireland","EPG Public Sector","SQL Server Standard & CAL","EA Renewal",5579.2261,0
"FY18",4,"WE","Ireland","EPG Public Sector","SQL Server Standard & CAL","EA Renewal",3859.044,0
"FY18",4,"WE","Ireland","EPG Public Sector","Visio","EA Renewal",2612.296,0
"FY18",4,"WE","Ireland","EPG Public Sector","MDOP-Client","EA Renewal",1583.2646,0
"FY18",6,"WE","Ireland","EPG Public Sector","Other IW Apps","EA Renewal",1482.6879,0
"FY18",4,"WE","Ireland","EPG Public Sector","Windows Server & Solutions & CAL","EA Renewal",1089.216,0
"FY18",5,"WE","Ireland","EPG Public Sector","Windows Server Other","EA Renewal",765.3522,0
"FY18",4,"WE","Ireland","EPG Public Sector","Developer Tools","EA Renewal",740.2442,0
"FY18",4,"WE","Ireland","EPG Public Sector","SharePoint Server","EA Renewal",739.7964,0
"FY18",3,"WE","Ireland","EPG Public Sector","MDOP-Client","EA Renewal",306.4621,0
"FY18",4,"WE","Ireland","EPG Public Sector","System Center Client","EA Renewal",-6039.5878,0
"FY18",3,"WE","Ireland","EPG Public Sector","System Center Client","EA Renewal",-11506.6393,0
"FY18",11,"WE","Ireland","EPG Public Sector","System Center Client","EA Renewal",-30600,0
"FY18",9,"WE","Ireland","EPG Public Sector","SQL Azure","EA Renewal",-115798.24,0
"FY18",9,"WE","Ireland","EPG Public Sector","Windows Azure","EA Renewal",-207851.76,0
"FY18",4,"CEE","Hungary","EPG Public Sector","Office","EA Renewal",190532.7664,0
"FY18",2,"CEE","Hungary","EPG Public Sector","Office","EA Renewal",80148.3578,0
"FY18",3,"CEE","Hungary","EPG Public Sector","IW CAL Suites - Core CAL","EA Renewal",51392.0805,0
"FY18",4,"CEE","Hungary","EPG Public Sector","IW CAL Suites - Core CAL","EA Renewal",36595.0321,0
"FY18",12,"CEE","Hungary","EPG Public Sector","Biztalk Server","EA Renewal",33906.2825,0
"FY18",3,"CEE","Hungary","EPG Public Sector","S&T CAL Suites - Core CAL","EA Renewal",28908.0453,0
"FY18",4,"CEE","Hungary","EPG Public Sector","SQL Server Standard & CAL","EA Renewal",23056.6185,0
"FY18",4,"CEE","Hungary","EPG Public Sector","S&T CAL Suites - Core CAL","EA Renewal",20584.7055,0
"FY18",11,"CEE","Hungary","EPG Public Sector","Office","EA Renewal",15106.2045,0
"FY18",12,"CEE","Hungary","EPG Public Sector","Developer Tools","EA Renewal",13936.9635,0
"FY18",12,"CEE","Hungary","EPG Public Sector","Windows Server Premium","EA Renewal",11533.4394,0
"FY18",4,"CEE","Hungary","EPG Public Sector","Windows Server Premium","EA Renewal",9540.0635,0
"FY18",6,"CEE","Hungary","EPG Public Sector","Identity & Direct Access","EA Renewal",8945.35,0
"FY18",3,"CEE","Hungary","EPG Public Sector","Identity & Direct Access","EA Renewal",8089.0372,0
"FY18",4,"CEE","Hungary","EPG Public Sector","System Center Server","EA Renewal",7601.1338,0
"FY18",11,"CEE","Hungary","EPG Public Sector","Windows Server Premium","EA Renewal",6184.9977,0
"FY18",9,"CEE","Hungary","EPG Public Sector","Developer Tools","EA Renewal",5331.3613,0
"FY18",8,"CEE","Hungary","EPG Public Sector","IW CAL Suites - Core CAL","EA Renewal",5144.012,0
"FY18",9,"CEE","Hungary","EPG Public Sector","Project","EA Renewal",5126.3232,0
"FY18",7,"CEE","Hungary","EPG Public Sector","SharePoint Server","EA Renewal",4362.0604,0
"FY18",9,"CEE","Hungary","EPG Public Sector","Windows Client","EA Renewal",4175.5241,0
"FY18",4,"CEE","Hungary","EPG Public Sector","Windows Server & Solutions & CAL","EA Renewal",2992.9205,0
"FY18",9,"CEE","Hungary","EPG Public Sector","Visio","EA Renewal",2894.2878,0
"FY18",8,"CEE","Hungary","EPG Public Sector","S&T CAL Suites - Core CAL","EA Renewal",2893.5067,0
"FY18",11,"CEE","Hungary","EPG Public Sector","Identity & Direct Access","EA Renewal",2723.5183,0
"FY18",12,"CEE","Hungary","EPG Public Sector","SharePoint Server","EA Renewal",2706.1421,0
