Fiscal Year,Area,Subsidiary,Rev Sum Division,Std Rptg Mid Reported Subsegment,Forecast Planning Level,Period,Sales
"FY18","CEE","Ukraine","Office","EPG Commercial","VL Non-Annuity",8,143569.1486
"FY18","CEE","Ukraine","Office","EPG Commercial","VL Non-Annuity",9,600953.88
"FY18","CEE","Ukraine","Office","EPG Commercial","VL Non-Annuity",10,631537.386
"FY18","CEE","Ukraine","Office","EPG Commercial","VL Non-Annuity",11,139744.7964
"FY18","CEE","Ukraine","Office","EPG Commercial","VL Non-Annuity",12,561021.6468
"FY18","CEE","Ukraine","Office for Mac","EPG Commercial","VL Non-Annuity",1,144.216
"FY18","CEE","Ukraine","Office for Mac","EPG Commercial","VL Non-Annuity",2,240.36
"FY18","CEE","Ukraine","Office for Mac","EPG Commercial","VL Non-Annuity",3,2214.24
"FY18","CEE","Ukraine","Office for Mac","EPG Commercial","VL Non-Annuity",4,372.984
"FY18","CEE","Ukraine","Office for Mac","EPG Commercial","VL Non-Annuity",5,283.32
"FY18","CEE","Ukraine","Office for Mac","EPG Commercial","VL Non-Annuity",6,599.64
"FY18","CEE","Ukraine","Office for Mac","EPG Commercial","VL Non-Annuity",7,576.864
"FY18","CEE","Ukraine","Office for Mac","EPG Commercial","VL Non-Annuity",8,259.68
"FY18","CEE","Ukraine","Office for Mac","EPG Commercial","VL Non-Annuity",9,880.32
"FY18","CEE","Ukraine","Office for Mac","EPG Commercial","VL Non-Annuity",10,632.64
"FY18","CEE","Ukraine","Office for Mac","EPG Commercial","VL Non-Annuity",12,599.64
"FY18","CEE","Ukraine","Other IW Apps","EPG Commercial","VL Non-Annuity",1,1553.736
"FY18","CEE","Ukraine","Other IW Apps","EPG Commercial","VL Non-Annuity",2,690.024
"FY18","CEE","Ukraine","Other IW Apps","EPG Commercial","VL Non-Annuity",3,828.6
"FY18","CEE","Ukraine","Other IW Apps","EPG Commercial","VL Non-Annuity",4,814.056
"FY18","CEE","Ukraine","Other IW Apps","EPG Commercial","VL Non-Annuity",5,3433.056
"FY18","CEE","Ukraine","Other IW Apps","EPG Commercial","VL Non-Annuity",6,862.968
"FY18","CEE","Ukraine","Other IW Apps","EPG Commercial","VL Non-Annuity",7,444.768
"FY18","CEE","Ukraine","Other IW Apps","EPG Commercial","VL Non-Annuity",8,1336.848
"FY18","CEE","Ukraine","Other IW Apps","EPG Commercial","VL Non-Annuity",9,805.32
"FY18","CEE","Ukraine","Other IW Apps","EPG Commercial","VL Non-Annuity",10,305.496
"FY18","CEE","Ukraine","Other IW Apps","EPG Commercial","VL Non-Annuity",11,12250.632
"FY18","CEE","Ukraine","Other IW Apps","EPG Commercial","VL Non-Annuity",12,3537.432
"FY18","CEE","Ukraine","Project","EPG Commercial","VL Non-Annuity",1,8131.848
"FY18","CEE","Ukraine","Project","EPG Commercial","VL Non-Annuity",2,7157.304
"FY18","CEE","Ukraine","Project","EPG Commercial","VL Non-Annuity",3,4175.256
"FY18","CEE","Ukraine","Project","EPG Commercial","VL Non-Annuity",4,17993.52
"FY18","CEE","Ukraine","Project","EPG Commercial","VL Non-Annuity",5,44246.688
"FY18","CEE","Ukraine","Project","EPG Commercial","VL Non-Annuity",6,103688.116
"FY18","CEE","Ukraine","Project","EPG Commercial","VL Non-Annuity",7,28202.448
"FY18","CEE","Ukraine","Project","EPG Commercial","VL Non-Annuity",8,3795.432
"FY18","CEE","Ukraine","Project","EPG Commercial","VL Non-Annuity",9,-23840.28
"FY18","CEE","Ukraine","Project","EPG Commercial","VL Non-Annuity",10,18231.48
"FY18","CEE","Ukraine","Project","EPG Commercial","VL Non-Annuity",11,15423.624
"FY18","CEE","Ukraine","Project","EPG Commercial","VL Non-Annuity",12,16453.992
"FY18","CEE","Ukraine","SharePoint CAL","EPG Commercial","VL Non-Annuity",3,2313.6
"FY18","CEE","Ukraine","SharePoint CAL","EPG Commercial","VL Non-Annuity",6,41015.44
"FY18","CEE","Ukraine","SharePoint CAL","EPG Commercial","VL Non-Annuity",7,6564
"FY18","CEE","Ukraine","SharePoint CAL","EPG Commercial","VL Non-Annuity",8,13128
"FY18","CEE","Ukraine","SharePoint CAL","EPG Commercial","VL Non-Annuity",9,2140.08
"FY18","CEE","Ukraine","SharePoint CAL","EPG Commercial","VL Non-Annuity",11,2625.6
"FY18","CEE","Ukraine","SharePoint Server","EPG Commercial","VL Non-Annuity",6,8057.52
"FY18","CEE","Ukraine","SharePoint Server","EPG Commercial","VL Non-Annuity",9,-4620
"FY18","CEE","Ukraine","SharePoint Server","EPG Commercial","VL Non-Annuity",11,3437.52
"FY18","CEE","Ukraine","SQL Server Premium","EPG Commercial","VL Non-Annuity",1,-4399.776
"FY18","CEE","Ukraine","SQL Server Premium","EPG Commercial","VL Non-Annuity",2,232203.2
"FY18","CEE","Ukraine","SQL Server Premium","EPG Commercial","VL Non-Annuity",3,95657.064
"FY18","CEE","Ukraine","SQL Server Premium","EPG Commercial","VL Non-Annuity",4,79228.968
"FY18","CEE","Ukraine","SQL Server Premium","EPG Commercial","VL Non-Annuity",5,67461.48
"FY18","CEE","Ukraine","SQL Server Premium","EPG Commercial","VL Non-Annuity",6,318303.36
"FY18","CEE","Ukraine","SQL Server Premium","EPG Commercial","VL Non-Annuity",7,7302.36
"FY18","CEE","Ukraine","SQL Server Premium","EPG Commercial","VL Non-Annuity",8,7302.36
"FY18","CEE","Ukraine","SQL Server Premium","EPG Commercial","VL Non-Annuity",9,37679.616
"FY18","CEE","Ukraine","SQL Server Premium","EPG Commercial","VL Non-Annuity",10,-52765.32
"FY18","CEE","Ukraine","SQL Server Premium","EPG Commercial","VL Non-Annuity",12,32703.6
"FY18","CEE","Ukraine","SQL Server Standard & CAL","EPG Commercial","VL Non-Annuity",1,49618.0048
"FY18","CEE","Ukraine","SQL Server Standard & CAL","EPG Commercial","VL Non-Annuity",2,28437.237
"FY18","CEE","Ukraine","SQL Server Standard & CAL","EPG Commercial","VL Non-Annuity",3,297152.64
"FY18","CEE","Ukraine","SQL Server Standard & CAL","EPG Commercial","VL Non-Annuity",4,10507.392
"FY18","CEE","Ukraine","SQL Server Standard & CAL","EPG Commercial","VL Non-Annuity",5,68343.84
"FY18","CEE","Ukraine","SQL Server Standard & CAL","EPG Commercial","VL Non-Annuity",6,44976.48
"FY18","CEE","Ukraine","SQL Server Standard & CAL","EPG Commercial","VL Non-Annuity",7,34738.46
"FY18","CEE","Ukraine","SQL Server Standard & CAL","EPG Commercial","VL Non-Annuity",8,82091.4
"FY18","CEE","Ukraine","SQL Server Standard & CAL","EPG Commercial","VL Non-Annuity",9,398068.454
"FY18","CEE","Ukraine","SQL Server Standard & CAL","EPG Commercial","VL Non-Annuity",10,120089.28
"FY18","CEE","Ukraine","SQL Server Standard & CAL","EPG Commercial","VL Non-Annuity",11,22509.792
"FY18","CEE","Ukraine","SQL Server Standard & CAL","EPG Commercial","VL Non-Annuity",12,93943.13
"FY18","CEE","Ukraine","System Center Client","EPG Commercial","VL Non-Annuity",1,126.816
"FY18","CEE","Ukraine","System Center Client","EPG Commercial","VL Non-Annuity",2,2229.12
"FY18","CEE","Ukraine","System Center Client","EPG Commercial","VL Non-Annuity",3,597.36
"FY18","CEE","Ukraine","System Center Client","EPG Commercial","VL Non-Annuity",4,5652.528
"FY18","CEE","Ukraine","System Center Client","EPG Commercial","VL Non-Annuity",5,962.304
"FY18","CEE","Ukraine","System Center Client","EPG Commercial","VL Non-Annuity",6,-826.944
"FY18","CEE","Ukraine","System Center Client","EPG Commercial","VL Non-Annuity",7,4028.664
"FY18","CEE","Ukraine","System Center Client","EPG Commercial","VL Non-Annuity",8,6151.56
"FY18","CEE","Ukraine","System Center Client","EPG Commercial","VL Non-Annuity",9,809.28
"FY18","CEE","Ukraine","System Center Client","EPG Commercial","VL Non-Annuity",10,878.616
"FY18","CEE","Ukraine","System Center Client","EPG Commercial","VL Non-Annuity",11,134.88
"FY18","CEE","Ukraine","System Center Client","EPG Commercial","VL Non-Annuity",12,640.68
"FY18","CEE","Ukraine","System Center Server","EPG Commercial","VL Non-Annuity",1,329.4
"FY18","CEE","Ukraine","System Center Server","EPG Commercial","VL Non-Annuity",2,5051.52
"FY18","CEE","Ukraine","System Center Server","EPG Commercial","VL Non-Annuity",3,63875.16
"FY18","CEE","Ukraine","System Center Server","EPG Commercial","VL Non-Annuity",4,3773.16
"FY18","CEE","Ukraine","System Center Server","EPG Commercial","VL Non-Annuity",5,826.32
"FY18","CEE","Ukraine","System Center Server","EPG Commercial","VL Non-Annuity",6,6338.52
"FY18","CEE","Ukraine","System Center Server","EPG Commercial","VL Non-Annuity",8,109.8
"FY18","CEE","Ukraine","System Center Server","EPG Commercial","VL Non-Annuity",9,1664.904
"FY18","CEE","Ukraine","System Center Server","EPG Commercial","VL Non-Annuity",10,1310.76
"FY18","CEE","Ukraine","System Center Server","EPG Commercial","VL Non-Annuity",11,3165.024
"FY18","CEE","Ukraine","System Center Server","EPG Commercial","VL Non-Annuity",12,219.6
"FY18","CEE","Ukraine","Visio","EPG Commercial","VL Non-Annuity",1,5971.776
"FY18","CEE","Ukraine","Visio","EPG Commercial","VL Non-Annuity",2,5319.84
"FY18","CEE","Ukraine","Visio","EPG Commercial","VL Non-Annuity",3,1534.2
"FY18","CEE","Ukraine","Visio","EPG Commercial","VL Non-Annuity",4,9828.9101
"FY18","CEE","Ukraine","Visio","EPG Commercial","VL Non-Annuity",5,55614.288
"FY18","CEE","Ukraine","Visio","EPG Commercial","VL Non-Annuity",6,36033.936
"FY18","CEE","Ukraine","Visio","EPG Commercial","VL Non-Annuity",7,3988.608
"FY18","CEE","Ukraine","Visio","EPG Commercial","VL Non-Annuity",8,15156.336
"FY18","CEE","Ukraine","Visio","EPG Commercial","VL Non-Annuity",9,-16699.272
"FY18","CEE","Ukraine","Visio","EPG Commercial","VL Non-Annuity",10,14726.016
"FY18","CEE","Ukraine","Visio","EPG Commercial","VL Non-Annuity",11,12871.08
"FY18","CEE","Ukraine","Visio","EPG Commercial","VL Non-Annuity",12,5601.168
"FY18","CEE","Ukraine","Windows Client","EPG Commercial","VL Non-Annuity",1,305.76
"FY18","CEE","Ukraine","Windows Client","EPG Commercial","VL Non-Annuity",2,2261.04
"FY18","CEE","Ukraine","Windows Client","EPG Commercial","VL Non-Annuity",3,2226.312
"FY18","CEE","Ukraine","Windows Client","EPG Commercial","VL Non-Annuity",4,764.4
"FY18","CEE","Ukraine","Windows Client","EPG Commercial","VL Non-Annuity",5,572.496
"FY18","CEE","Ukraine","Windows Client","EPG Commercial","VL Non-Annuity",6,805.44
"FY18","CEE","Ukraine","Windows Client","EPG Commercial","VL Non-Annuity",7,616.27
"FY18","CEE","Ukraine","Windows Client","EPG Commercial","VL Non-Annuity",8,5197.92
"FY18","CEE","Ukraine","Windows Client","EPG Commercial","VL Non-Annuity",9,266.736
"FY18","CEE","Ukraine","Windows Client","EPG Commercial","VL Non-Annuity",10,91238.784
"FY18","CEE","Ukraine","Windows Client","EPG Commercial","VL Non-Annuity",11,152.88
"FY18","CEE","Ukraine","Windows Client","EPG Commercial","VL Non-Annuity",12,764.4
"FY18","CEE","Ukraine","Windows Legalization","EPG Commercial","VL Non-Annuity",3,108750
"FY18","CEE","Ukraine","Windows Legalization","EPG Commercial","VL Non-Annuity",9,324600
"FY18","CEE","Ukraine","Windows Legalization","EPG Commercial","VL Non-Annuity",11,88010
"FY18","CEE","Ukraine","Windows Legalization","EPG Commercial","VL Non-Annuity",12,23250
"FY18","CEE","Ukraine","Windows Server & Solutions & CAL","EPG Commercial","VL Non-Annuity",1,-95458.342
"FY18","CEE","Ukraine","Windows Server & Solutions & CAL","EPG Commercial","VL Non-Annuity",2,48997.6557
"FY18","CEE","Ukraine","Windows Server & Solutions & CAL","EPG Commercial","VL Non-Annuity",3,100907.6787
"FY18","CEE","Ukraine","Windows Server & Solutions & CAL","EPG Commercial","VL Non-Annuity",4,31421.794
"FY18","CEE","Ukraine","Windows Server & Solutions & CAL","EPG Commercial","VL Non-Annuity",5,64084.2197
"FY18","CEE","Ukraine","Windows Server & Solutions & CAL","EPG Commercial","VL Non-Annuity",6,170057.2718
"FY18","CEE","Ukraine","Windows Server & Solutions & CAL","EPG Commercial","VL Non-Annuity",7,37069.0963
"FY18","CEE","Ukraine","Windows Server & Solutions & CAL","EPG Commercial","VL Non-Annuity",8,173431.268
"FY18","CEE","Ukraine","Windows Server & Solutions & CAL","EPG Commercial","VL Non-Annuity",9,193918.69
"FY18","CEE","Ukraine","Windows Server & Solutions & CAL","EPG Commercial","VL Non-Annuity",10,45917.216
"FY18","CEE","Ukraine","Windows Server & Solutions & CAL","EPG Commercial","VL Non-Annuity",11,38065.5408
"FY18","CEE","Ukraine","Windows Server & Solutions & CAL","EPG Commercial","VL Non-Annuity",12,61835.9354
"FY18","CEE","Ukraine","Windows Server Other","EPG Commercial","VL Non-Annuity",1,2070
"FY18","CEE","Ukraine","Windows Server Other","EPG Commercial","VL Non-Annuity",2,321.6
"FY18","CEE","Ukraine","Windows Server Other","EPG Commercial","VL Non-Annuity",4,-315.48
"FY18","CEE","Ukraine","Windows Server Other","EPG Commercial","VL Non-Annuity",6,20281.92
"FY18","CEE","Ukraine","Windows Server Other","EPG Commercial","VL Non-Annuity",7,2106
"FY18","CEE","Ukraine","Windows Server Other","EPG Commercial","VL Non-Annuity",8,3299.52
"FY18","CEE","Ukraine","Windows Server Other","EPG Commercial","VL Non-Annuity",9,-11730
"FY18","CEE","Ukraine","Windows Server Other","EPG Commercial","VL Non-Annuity",12,3012.72
"FY18","CEE","Ukraine","Windows Server Premium","EPG Commercial","VL Non-Annuity",1,10716.8218
"FY18","CEE","Ukraine","Windows Server Premium","EPG Commercial","VL Non-Annuity",2,42282.0674
"FY18","CEE","Ukraine","Windows Server Premium","EPG Commercial","VL Non-Annuity",3,48820.56
"FY18","CEE","Ukraine","Windows Server Premium","EPG Commercial","VL Non-Annuity",4,17556.576
"FY18","CEE","Ukraine","Windows Server Premium","EPG Commercial","VL Non-Annuity",5,60539.04
"FY18","CEE","Ukraine","Windows Server Premium","EPG Commercial","VL Non-Annuity",6,116390.28
"FY18","CEE","Ukraine","Windows Server Premium","EPG Commercial","VL Non-Annuity",7,6870.144
"FY18","CEE","Ukraine","Windows Server Premium","EPG Commercial","VL Non-Annuity",8,93563.04
"FY18","CEE","Ukraine","Windows Server Premium","EPG Commercial","VL Non-Annuity",9,4526.232
"FY18","CEE","Ukraine","Windows Server Premium","EPG Commercial","VL Non-Annuity",10,10859.688
"FY18","CEE","Ukraine","Windows Server Premium","EPG Commercial","VL Non-Annuity",11,12545.76
"FY18","CEE","Ukraine","Windows Server Premium","EPG Commercial","VL Non-Annuity",12,21203.04
"FY18","CEE","Latvia","Biztalk Server","EPG Commercial","VL Non-Annuity",6,10338
"FY18","CEE","Latvia","Biztalk Server","EPG Commercial","VL Non-Annuity",7,5566.85
"FY18","CEE","Latvia","Developer Tools","EPG Commercial","VL Non-Annuity",1,95134.776
"FY18","CEE","Latvia","Developer Tools","EPG Commercial","VL Non-Annuity",2,5451.288
"FY18","CEE","Latvia","Developer Tools","EPG Commercial","VL Non-Annuity",3,3297.576
"FY18","CEE","Latvia","Developer Tools","EPG Commercial","VL Non-Annuity",4,691.68
"FY18","CEE","Latvia","Developer Tools","EPG Commercial","VL Non-Annuity",5,15641.736
"FY18","CEE","Latvia","Developer Tools","EPG Commercial","VL Non-Annuity",6,8457.88
"FY18","CEE","Latvia","Developer Tools","EPG Commercial","VL Non-Annuity",7,3888.418
"FY18","CEE","Latvia","Developer Tools","EPG Commercial","VL Non-Annuity",8,351.35
"FY18","CEE","Latvia","Developer Tools","EPG Commercial","VL Non-Annuity",9,2926.848
"FY18","CEE","Latvia","Developer Tools","EPG Commercial","VL Non-Annuity",10,9148.512
"FY18","CEE","Latvia","Developer Tools","EPG Commercial","VL Non-Annuity",11,6509.52
"FY18","CEE","Latvia","Developer Tools","EPG Commercial","VL Non-Annuity",12,4156.44
"FY18","CEE","Latvia","Exchange Server & CAL","EPG Commercial","VL Non-Annuity",1,13026.48
"FY18","CEE","Latvia","Exchange Server & CAL","EPG Commercial","VL Non-Annuity",2,36417.984
"FY18","CEE","Latvia","Exchange Server & CAL","EPG Commercial","VL Non-Annuity",3,50165.928
"FY18","CEE","Latvia","Exchange Server & CAL","EPG Commercial","VL Non-Annuity",4,80352.344
"FY18","CEE","Latvia","Exchange Server & CAL","EPG Commercial","VL Non-Annuity",5,19599.936
"FY18","CEE","Latvia","Exchange Server & CAL","EPG Commercial","VL Non-Annuity",6,44577.48
"FY18","CEE","Latvia","Exchange Server & CAL","EPG Commercial","VL Non-Annuity",7,55331.852
"FY18","CEE","Latvia","Exchange Server & CAL","EPG Commercial","VL Non-Annuity",8,2034
"FY18","CEE","Latvia","Exchange Server & CAL","EPG Commercial","VL Non-Annuity",9,177484.456
"FY18","CEE","Latvia","Exchange Server & CAL","EPG Commercial","VL Non-Annuity",10,415.008
"FY18","CEE","Latvia","Exchange Server & CAL","EPG Commercial","VL Non-Annuity",11,63506.304
"FY18","CEE","Latvia","Exchange Server & CAL","EPG Commercial","VL Non-Annuity",12,46110.616
"FY18","CEE","Latvia","Identity & Direct Access","EPG Commercial","VL Non-Annuity",1,5569.8
"FY18","CEE","Latvia","Identity & Direct Access","EPG Commercial","VL Non-Annuity",2,1608.96
"FY18","CEE","Latvia","Identity & Direct Access","EPG Commercial","VL Non-Annuity",3,846.6
"FY18","CEE","Latvia","Identity & Direct Access","EPG Commercial","VL Non-Annuity",4,4386.48
"FY18","CEE","Latvia","Identity & Direct Access","EPG Commercial","VL Non-Annuity",5,1071.84
"FY18","CEE","Latvia","Identity & Direct Access","EPG Commercial","VL Non-Annuity",6,1272
"FY18","CEE","Latvia","Identity & Direct Access","EPG Commercial","VL Non-Annuity",8,1930.44
"FY18","CEE","Latvia","Identity & Direct Access","EPG Commercial","VL Non-Annuity",9,3386.4
"FY18","CEE","Latvia","Identity & Direct Access","EPG Commercial","VL Non-Annuity",12,3994.37
"FY18","CEE","Latvia","Lync Server & CAL","EPG Commercial","VL Non-Annuity",1,5233.2
"FY18","CEE","Latvia","Lync Server & CAL","EPG Commercial","VL Non-Annuity",2,4050.432
"FY18","CEE","Latvia","Lync Server & CAL","EPG Commercial","VL Non-Annuity",3,2810.784
"FY18","CEE","Latvia","Lync Server & CAL","EPG Commercial","VL Non-Annuity",6,15484.992
"FY18","CEE","Latvia","Lync Server & CAL","EPG Commercial","VL Non-Annuity",9,7565.472
"FY18","CEE","Latvia","Lync Server & CAL","EPG Commercial","VL Non-Annuity",10,10567.488
"FY18","CEE","Latvia","Lync Server & CAL","EPG Commercial","VL Non-Annuity",11,45958.848
"FY18","CEE","Latvia","Lync Server & CAL","EPG Commercial","VL Non-Annuity",12,192.384
"FY18","CEE","Latvia","Office","EPG Commercial","VL Non-Annuity",1,116307.722
"FY18","CEE","Latvia","Office","EPG Commercial","VL Non-Annuity",2,638657.436
"FY18","CEE","Latvia","Office","EPG Commercial","VL Non-Annuity",3,463077.7974
"FY18","CEE","Latvia","Office","EPG Commercial","VL Non-Annuity",4,138126.36
"FY18","CEE","Latvia","Office","EPG Commercial","VL Non-Annuity",5,184087.696
"FY18","CEE","Latvia","Office","EPG Commercial","VL Non-Annuity",6,717306.3187
"FY18","CEE","Latvia","Office","EPG Commercial","VL Non-Annuity",7,188356.92
"FY18","CEE","Latvia","Office","EPG Commercial","VL Non-Annuity",8,170623.9419
"FY18","CEE","Latvia","Office","EPG Commercial","VL Non-Annuity",9,1426627.421
"FY18","CEE","Latvia","Office","EPG Commercial","VL Non-Annuity",10,260462.0417
"FY18","CEE","Latvia","Office","EPG Commercial","VL Non-Annuity",11,1032116.774
"FY18","CEE","Latvia","Office","EPG Commercial","VL Non-Annuity",12,888063.046
"FY18","CEE","Latvia","Office for Mac","EPG Commercial","VL Non-Annuity",1,5666.4
"FY18","CEE","Latvia","Office for Mac","EPG Commercial","VL Non-Annuity",10,79.68
"FY18","CEE","Latvia","Office for Mac","EPG Commercial","VL Non-Annuity",12,1457.568
"FY18","CEE","Latvia","Other IW Apps","EPG Commercial","VL Non-Annuity",1,395.136
"FY18","CEE","Latvia","Other IW Apps","EPG Commercial","VL Non-Annuity",2,224.832
"FY18","CEE","Latvia","Other IW Apps","EPG Commercial","VL Non-Annuity",3,45487.176
"FY18","CEE","Latvia","Other IW Apps","EPG Commercial","VL Non-Annuity",4,13477.56
"FY18","CEE","Latvia","Other IW Apps","EPG Commercial","VL Non-Annuity",5,1805.616
"FY18","CEE","Latvia","Other IW Apps","EPG Commercial","VL Non-Annuity",6,4969.368
"FY18","CEE","Latvia","Other IW Apps","EPG Commercial","VL Non-Annuity",7,681.072
"FY18","CEE","Latvia","Other IW Apps","EPG Commercial","VL Non-Annuity",8,1839.2394
"FY18","CEE","Latvia","Other IW Apps","EPG Commercial","VL Non-Annuity",9,40126.32
"FY18","CEE","Latvia","Other IW Apps","EPG Commercial","VL Non-Annuity",10,3726.6
"FY18","CEE","Latvia","Other IW Apps","EPG Commercial","VL Non-Annuity",11,6420.8229
"FY18","CEE","Latvia","Other IW Apps","EPG Commercial","VL Non-Annuity",12,18047.556
"FY18","CEE","Latvia","Project","EPG Commercial","VL Non-Annuity",1,1446.912
"FY18","CEE","Latvia","Project","EPG Commercial","VL Non-Annuity",2,9204.08
"FY18","CEE","Latvia","Project","EPG Commercial","VL Non-Annuity",3,16005.624
"FY18","CEE","Latvia","Project","EPG Commercial","VL Non-Annuity",4,11259.816
"FY18","CEE","Latvia","Project","EPG Commercial","VL Non-Annuity",5,4600.16
"FY18","CEE","Latvia","Project","EPG Commercial","VL Non-Annuity",6,17139.336
"FY18","CEE","Latvia","Project","EPG Commercial","VL Non-Annuity",7,2408.208
"FY18","CEE","Latvia","Project","EPG Commercial","VL Non-Annuity",8,3286.92
"FY18","CEE","Latvia","Project","EPG Commercial","VL Non-Annuity",9,8555.736
"FY18","CEE","Latvia","Project","EPG Commercial","VL Non-Annuity",10,880.992
"FY18","CEE","Latvia","Project","EPG Commercial","VL Non-Annuity",11,7561.392
"FY18","CEE","Latvia","Project","EPG Commercial","VL Non-Annuity",12,21437.544
"FY18","CEE","Latvia","SharePoint CAL","EPG Commercial","VL Non-Annuity",6,26609.256
"FY18","CEE","Latvia","SharePoint CAL","EPG Commercial","VL Non-Annuity",7,15252
"FY18","CEE","Latvia","SharePoint CAL","EPG Commercial","VL Non-Annuity",8,97627.2
"FY18","CEE","Latvia","SharePoint CAL","EPG Commercial","VL Non-Annuity",10,33094.44
"FY18","CEE","Latvia","SharePoint CAL","EPG Commercial","VL Non-Annuity",11,24930.48
"FY18","CEE","Latvia","SharePoint CAL","EPG Commercial","VL Non-Annuity",12,1761
"FY18","CEE","Latvia","SharePoint for Internet Sites","EPG Commercial","VL Non-Annuity",3,26738.64
"FY18","CEE","Latvia","SharePoint for Internet Sites","EPG Commercial","VL Non-Annuity",8,63025.68
"FY18","CEE","Latvia","SharePoint for Internet Sites","EPG Commercial","VL Non-Annuity",11,12188.736
"FY18","CEE","Latvia","SharePoint Server","EPG Commercial","VL Non-Annuity",3,35444.088
"FY18","CEE","Latvia","SharePoint Server","EPG Commercial","VL Non-Annuity",5,3750.24
"FY18","CEE","Latvia","SharePoint Server","EPG Commercial","VL Non-Annuity",6,3750.24
"FY18","CEE","Latvia","SharePoint Server","EPG Commercial","VL Non-Annuity",7,43660.2
"FY18","CEE","Latvia","SharePoint Server","EPG Commercial","VL Non-Annuity",8,68095.08
"FY18","CEE","Latvia","SharePoint Server","EPG Commercial","VL Non-Annuity",9,20365.824
"FY18","CEE","Latvia","SharePoint Server","EPG Commercial","VL Non-Annuity",10,18586.176
"FY18","CEE","Latvia","SharePoint Server","EPG Commercial","VL Non-Annuity",11,20012.688
"FY18","CEE","Latvia","SharePoint Server","EPG Commercial","VL Non-Annuity",12,4187.04
"FY18","CEE","Latvia","SQL Server Premium","EPG Commercial","VL Non-Annuity",1,55979.832
"FY18","CEE","Latvia","SQL Server Premium","EPG Commercial","VL Non-Annuity",2,28620.768
"FY18","CEE","Latvia","SQL Server Premium","EPG Commercial","VL Non-Annuity",3,208818.528
"FY18","CEE","Latvia","SQL Server Premium","EPG Commercial","VL Non-Annuity",5,12576.12
"FY18","CEE","Latvia","SQL Server Premium","EPG Commercial","VL Non-Annuity",6,265942.416
"FY18","CEE","Latvia","SQL Server Premium","EPG Commercial","VL Non-Annuity",7,226412.718
"FY18","CEE","Latvia","SQL Server Premium","EPG Commercial","VL Non-Annuity",8,59506.08
"FY18","CEE","Latvia","SQL Server Premium","EPG Commercial","VL Non-Annuity",9,275005.182
"FY18","CEE","Latvia","SQL Server Premium","EPG Commercial","VL Non-Annuity",10,15420.336
"FY18","CEE","Latvia","SQL Server Premium","EPG Commercial","VL Non-Annuity",11,13081.44
"FY18","CEE","Latvia","SQL Server Premium","EPG Commercial","VL Non-Annuity",12,84982.032
"FY18","CEE","Latvia","SQL Server Standard & CAL","EPG Commercial","VL Non-Annuity",1,40299.204
"FY18","CEE","Latvia","SQL Server Standard & CAL","EPG Commercial","VL Non-Annuity",2,79777.956
"FY18","CEE","Latvia","SQL Server Standard & CAL","EPG Commercial","VL Non-Annuity",3,61329.984
"FY18","CEE","Latvia","SQL Server Standard & CAL","EPG Commercial","VL Non-Annuity",4,29260.632
"FY18","CEE","Latvia","SQL Server Standard & CAL","EPG Commercial","VL Non-Annuity",5,139910.256
"FY18","CEE","Latvia","SQL Server Standard & CAL","EPG Commercial","VL Non-Annuity",6,94048.728
"FY18","CEE","Latvia","SQL Server Standard & CAL","EPG Commercial","VL Non-Annuity",7,383075.964
"FY18","CEE","Latvia","SQL Server Standard & CAL","EPG Commercial","VL Non-Annuity",8,59558.076
"FY18","CEE","Latvia","SQL Server Standard & CAL","EPG Commercial","VL Non-Annuity",9,315401.272
"FY18","CEE","Latvia","SQL Server Standard & CAL","EPG Commercial","VL Non-Annuity",10,17590.632
"FY18","CEE","Latvia","SQL Server Standard & CAL","EPG Commercial","VL Non-Annuity",11,83017.1973
"FY18","CEE","Latvia","SQL Server Standard & CAL","EPG Commercial","VL Non-Annuity",12,125981.264
"FY18","CEE","Latvia","System Center Client","EPG Commercial","VL Non-Annuity",5,25152
"FY18","CEE","Latvia","System Center Client","EPG Commercial","VL Non-Annuity",10,2012.16
"FY18","CEE","Latvia","System Center Client","EPG Commercial","VL Non-Annuity",11,681.1737
"FY18","CEE","Latvia","System Center Server","EPG Commercial","VL Non-Annuity",2,4614.72
"FY18","CEE","Latvia","System Center Server","EPG Commercial","VL Non-Annuity",5,1366.08
"FY18","CEE","Latvia","System Center Server","EPG Commercial","VL Non-Annuity",8,299.232
"FY18","CEE","Latvia","System Center Server","EPG Commercial","VL Non-Annuity",9,682.56
"FY18","CEE","Latvia","System Center Server","EPG Commercial","VL Non-Annuity",10,1280.64
"FY18","CEE","Latvia","System Center Server","EPG Commercial","VL Non-Annuity",11,638.0813
"FY18","CEE","Latvia","System Center Server","EPG Commercial","VL Non-Annuity",12,3423.11
"FY18","CEE","Latvia","Visio","EPG Commercial","VL Non-Annuity",1,704.736
"FY18","CEE","Latvia","Visio","EPG Commercial","VL Non-Annuity",2,14026.608
"FY18","CEE","Latvia","Visio","EPG Commercial","VL Non-Annuity",3,11327.736
"FY18","CEE","Latvia","Visio","EPG Commercial","VL Non-Annuity",4,7023.744
"FY18","CEE","Latvia","Visio","EPG Commercial","VL Non-Annuity",5,6444.816
"FY18","CEE","Latvia","Visio","EPG Commercial","VL Non-Annuity",6,27741.816
"FY18","CEE","Latvia","Visio","EPG Commercial","VL Non-Annuity",7,2023.128
