Reseller,Year Opened,Bank Name,Business Type,Year of First Order,Year of Last Order,Reseller Annual Sales,Reseller Phone,Number of Employees,Annual Revenue,Reseller Address,Reseller City,Reseller Country Code,Reseller Country,Reseller Zip Code,Reseller State Province,Reseller State Province Code,Minimum Payment Amt,Reseller Product Line,Reseller Order Frequency,Reseller Order Month,Reseller Sales Territory Country,Reseller Sales Territory Group,Reseller Sales Territory Region,Reseller Key
"Big-Time Bike Store",1990,"United Security","Warehouse",2012,2013,3000000,"669-555-0149",96,300000,"9909 W. Ventura Boulevard","Camarillo","US","United States","93010","California","CA",,"Road","Q",5,"United States","North America","Southwest",529
"Sunny Place Bikes",1994,"Guardian Bank","Specialty Bike Shop",2011,2013,1500000,"235-555-0199",31,150000,"Horizon Outlet Center","Vero Beach","US","United States","32960","Florida","FL",,"Road","A",5,"United States","North America","Southeast",531
"Guaranteed Sales and Service",1975,"International Bank","Specialty Bike Shop",2012,2013,1000000,"995-555-0114",28,100000,"Buckeye Factory Shops","Burbank","US","United States","44214","Ohio","OH",,"Road","A",5,"United States","North America","Northeast",540
"Nonskid Tire Company",2003,"International Security","Warehouse",2011,2013,3000000,"525-555-0174",100,300000,"Holiday Village Mall","Great Falls","US","United States","59401","Montana","MT",,"Mountain","Q",5,"United States","North America","Northwest",541
"Field Trip Store",1974,"Reserve Security","Value Added Reseller",2012,2013,300000,"608-555-0162",2,30000,"2575 Rocky Mountain Ave.","Loveland","US","United States","80537","Colorado","CO",,"Mountain","S",5,"United States","North America","Central",546
"Systematic Sales",2003,"Primary International","Warehouse",2013,2013,3000000,"555-555-0162",55,300000,"2551 East Warner Road","Gilbert","US","United States","85233","Arizona","AZ",,"Touring","Q",5,"United States","North America","Southwest",563
"Expert Sports Store",1996,"Primary Bank & Reserve","Warehouse",2013,2013,3000000,"993-555-0162",81,300000,"Spring Meadows Place","Holland","US","United States","43528","Ohio","OH",,"Mountain","Q",5,"United States","North America","Northeast",593
"Coho Sports",1988,"International Bank","Warehouse",2012,2013,3000000,"627-555-0192",82,300000,"705 SE Mall Parkway","Everett","US","United States","98201","Washington","WA",,"Mountain","Q",5,"United States","North America","Northwest",596
"Outstanding Cycles",1990,"Primary International","Warehouse",2013,2013,3000000,"695-555-0161",85,300000,"North 93270 Newport Highway","Spokane","US","United States","99202","Washington","WA",,"Touring","Q",5,"United States","North America","Northwest",605
"Little Bicycle Supply Shop",1983,"United Security","Value Added Reseller",2013,2013,300000,"850-555-0198",6,30000,"Cedar Creek Stores","Mosinee","US","United States","54455","Wisconsin","WI",,"Road","S",5,"United States","North America","Central",606
"Maintenance and Repair for Bicycles",1989,"Primary Bank & Reserve","Specialty Bike Shop",2013,2013,1500000,"355-555-0180",42,150000,"Lone Star Factory","La Marque","US","United States","77568","Texas","TX",,"Touring","A",5,"United States","North America","Southwest",607
"General Associates",1980,"Primary International","Value Added Reseller",2011,2013,300000,"419-555-0166",4,30000,"32525 Hollywood Blvd.","Hollywood","US","United States","33021","Florida","FL",,"Road","S",5,"United States","North America","Southeast",612
"Superior Hardware Distributors",2004,"International Bank","Value Added Reseller",2012,2013,1000000,"784-555-0120",20,100000,"250775 SW Hillsdale Hwy","Beaverton","US","United States","97005","Oregon","OR",,"Mountain","S",5,"United States","North America","Northwest",645
"Permanent Finish Products",2003,"Guardian Bank","Warehouse",2011,2013,3000000,"265-555-0143",100,300000,"62500 Neil Road","Reno","US","United States","89502","Nevada","NV",,"Mountain","Q",5,"United States","North America","Northwest",650
"Bike Boutique",1996,"International Bank","Warehouse",2012,2013,1500000,"916-555-0133",49,150000,"Polaris Town Center","Columbus","US","United States","43215","Ohio","OH",,"Road","Q",5,"United States","North America","Northeast",666
"Traditional Department Stores",1998,"International Security","Value Added Reseller",2012,2013,800000,"272-555-0126",14,80000,"Green Acres Mall","Valley Stream","US","United States","11580","New York","NY",,"Mountain","S",5,"United States","North America","Northeast",667
"Lease-a-Bike Shop",1995,"Primary Bank & Reserve","Warehouse",2011,2013,3000000,"158-555-0188",67,300000,"Connecticut Post Mall","Milford","US","United States","06460","Connecticut","CT",,"Road","Q",5,"United States","North America","Northeast",684
"Stock Parts and Supplies",1994,"Reserve Security","Warehouse",2013,2013,3000000,"539-555-0121",76,300000,"99295 S.e. Tualatin Valley_hwy.","Hillsboro","US","United States","97123","Oregon","OR",,"Touring","Q",5,"United States","North America","Northwest",693
"Underglaze and Finish Company",1997,"Reserve Security","Value Added Reseller",2013,2013,800000,"703-555-0158",11,80000,"8520 University City Blvd","Charlotte","US","United States","28202","North Carolina","NC",,"Road","S",5,"United States","North America","Southeast",700
"Trusted Catalog Store",2005,"Primary International","Specialty Bike Shop",2010,2013,1000000,"497-555-0147",25,100000,"9920 Picketts Line Road","Newport News","US","United States","23607","Virginia","VA",,"Mountain","A",4,"United States","North America","Southeast",17
"Sports Sales and Rental",2000,"Guardian Bank","Warehouse",2010,2013,3000000,"284-555-0185",64,300000,"100 Fifth Drive","Millington","US","United States","38054","Tennessee","TN",,"Mountain","Q",4,"United States","North America","Southeast",27
"Specialty Sports Store",1992,"Primary International","Value Added Reseller",2011,2013,800000,"556-555-0192",16,80000,"52500 Liberty Way","Fort Worth","US","United States","76102","Texas","TX",,"Mountain","S",4,"United States","North America","Southwest",94
"Rural Department Store",1994,"United Security","Specialty Bike Shop",2012,2013,1500000,"716-555-0167",31,150000,"5967 W Las Positas Blvd","Pleasanton","US","United States","94566","California","CA",,"Touring","A",4,"United States","North America","Southwest",95
"Vintage Sport Boutique",1974,"Primary Bank & Reserve","Value Added Reseller",2012,2013,300000,"464-555-0188",2,30000,"22571 South 2500 East","Idaho Falls","US","United States","83402","Idaho","ID",,"Touring","S",4,"United States","North America","Northwest",110
"Retirement Activities Association",1986,"United Security","Value Added Reseller",2011,2013,300000,"699-555-0184",8,30000,"42500 West Park Drive","Atlanta","US","United States","30308","Georgia","GA",,"Road","S",3,"United States","North America","Southeast",116
"Pedals Warehouse",1988,"Primary Bank & Reserve","Specialty Bike Shop",2010,2013,800000,"987-555-0126",16,80000,"6055 Shawnee Industrial Way","Suwanee","US","United States","30024","Georgia","GA",,"Road","A",4,"United States","North America","Southeast",117
"Modern Bike Store",2003,"Primary International","Value Added Reseller",2011,2013,800000,"545-555-0183",15,80000,"Saltonstall Parkway","East Haven","US","United States","06512","Connecticut","CT",,"Road","S",3,"United States","North America","Northeast",143
"Latest Sports Equipment",1995,"Guardian Bank","Value Added Reseller",2010,2013,800000,"340-555-0131",14,80000,"4251 First Avenue","Seattle","US","United States","98104","Washington","WA",,"Mountain","S",4,"United States","North America","Northwest",146
"Widget Bicycle Specialists",1998,"Guardian Bank","Specialty Bike Shop",2013,2013,1500000,"954-555-0145",48,150000,"23456 Calumet St","Clearwater","US","United States","33755","Florida","FL",,"Road","A",10,"United States","North America","Southeast",153
"Suburban Cycle Shop",1986,"Primary International","Value Added Reseller",2011,2013,300000,"706-555-0140",8,30000,"994 Sw Cherry Park Rd","Troutdale","US","United States","97060","Oregon","OR",,"Mountain","S",8,"United States","North America","Northwest",164
"Fitness Toy Store",1985,"Primary Bank & Reserve","Warehouse",2010,2013,3000000,"351-555-0131",84,300000,"220 Mercy Drive","Garland","US","United States","75040","Texas","TX",,"Road","Q",4,"United States","North America","Southwest",166
"This Area Sporting Goods",1983,"International Bank","Specialty Bike Shop",2011,2013,1500000,"344-555-0181",38,150000,"25 N State St","Chicago","US","United States","60610","Illinois","IL",,"Mountain","A",4,"United States","North America","Central",183
"Field Trip Inc",1982,"International Security","Specialty Bike Shop",2011,2013,1500000,"528-555-0183",33,150000,"997000 Telegraph Rd.","Southfield","US","United States","48034","Michigan","MI",,"Road","A",8,"United States","North America","Central",198
"Basic Bike Company",1986,"United Security","Value Added Reseller",2010,2013,800000,"170-555-0189",14,80000,"15 East Main","Port Orchard","US","United States","98366","Washington","WA",,"Road","S",1,"United States","North America","Northwest",200
"Rally Master Company Inc",1996,"International Security","Warehouse",2012,2013,3000000,"171-555-0147",97,300000,"870 N. 54th Ave.","Chandler","US","United States","85225","Arizona","AZ",,"Touring","Q",4,"United States","North America","Southwest",205
"Best o' Bikes",1976,"Primary International","Specialty Bike Shop",2012,2013,800000,"575-555-0189",10,80000,"250880 Baur Blvd","Saint Louis","US","United States","63103","Missouri","MO",,"Touring","A",4,"United States","North America","Central",220
"Bike Dealers Association",1978,"United Security","Warehouse",2010,2013,1500000,"993-555-0179",40,150000,"9952 E. Lohman Ave.","Las Cruces","US","United States","88001","New Mexico","NM",,"Road","Q",4,"United States","North America","Southwest",221
"A Great Bicycle Company",1975,"Reserve Security","Specialty Bike Shop",2011,2013,1000000,"652-555-0189",28,100000,"6030 Robinson Road","Jefferson City","US","United States","65101","Missouri","MO",,"Road","A",12,"United States","North America","Central",238
"Vale Riding Supplies",2002,"Primary International","Specialty Bike Shop",2012,2013,1500000,"703-555-0120",31,150000,"Topanga Plaza","Canoga Park","US","United States","91303","California","CA",,"Touring","A",4,"United States","North America","Southwest",241
"Classic Cycle Store",2003,"Reserve Security","Value Added Reseller",2011,2013,800000,"612-555-0149",15,80000,"630 Oldgate Lane","Milford","US","United States","06460","Connecticut","CT",,"Mountain","S",4,"United States","North America","Northeast",252
"Roving Sports",1996,"International Bank","Specialty Bike Shop",2011,2013,1500000,"116-555-0163",43,150000,"4927 S Meridian Ave Ste D","Puyallup","US","United States","98371","Washington","WA",,"Road","A",4,"United States","North America","Northwest",253
"Rental Bikes",2001,"United Security","Specialty Bike Shop",2011,2013,1500000,"367-555-0124",46,150000,"99828 Routh Street, Suite 825","Dallas","US","United States","75201","Texas","TX",,"Road","A",11,"United States","North America","Southwest",256
"Outdoor Sporting Goods",1985,"International Security","Warehouse",2012,2013,3000000,"118-555-0131",84,300000,"Lakewood Mall","Lakewood","US","United States","90712","California","CA",,"Touring","Q",1,"United States","North America","Southwest",275
"Grease and Oil Products Company",1983,"Primary Bank & Reserve","Specialty Bike Shop",2010,2013,1500000,"126-555-0172",38,150000,"9903 Highway 6 South","Houston","US","United States","77003","Texas","TX",,"Road","A",4,"United States","North America","Southwest",292
"All Cycle Shop",2002,"Primary International","Specialty Bike Shop",2011,2013,1000000,"918-555-0127",27,100000,"25111 228th St Sw","Bothell","US","United States","98011","Washington","WA",,"Mountain","A",4,"United States","North America","Northwest",325
"Technical Parts Manufacturing",1980,"International Security","Value Added Reseller",2012,2013,300000,"433-555-0168",5,30000,"Ontario Mills","Ontario","US","United States","91764","California","CA",,"Touring","S",4,"United States","North America","Southwest",331
"Fifth Bike Store",2005,"International Bank","Specialty Bike Shop",2010,2013,1000000,"652-555-0132",25,100000,"2502 Evergreen Ste E","Everett","US","United States","98201","Washington","WA",,"Road","A",4,"United States","North America","Northwest",344
"First Department Stores",1987,"International Security","Specialty Bike Shop",2011,2013,1500000,"542-555-0164",45,150000,"2540 Dell Range Blvd","Cheyenne","US","United States","82001","Wyoming","WY",,"Mountain","A",4,"United States","North America","Northwest",380
"Touring Services",1984,"International Bank","Specialty Bike Shop",2011,2013,1500000,"884-555-0193",43,150000,"25 Myrtle Beach","Myrtle Beach","US","United States","29577","South Carolina","SC",,"Road","A",12,"United States","North America","Southeast",386
"Racing Association",1990,"International Security","Warehouse",2011,2013,3000000,"825-555-0187",85,300000,"Parkway City Mall","Huntsville","US","United States","35801","Alabama","AL",,"Road","Q",4,"United States","North America","Southeast",387
"Commendable Bikes",1978,"Guardian Bank","Specialty Bike Shop",2011,2013,1500000,"383-555-0155",39,150000,"4781 Highway 95","Sandpoint","US","United States","83864","Idaho","ID",,"Road","A",4,"United States","North America","Northwest",398
"Grand Discount Store",1978,"International Bank","Warehouse",2011,2013,3000000,"727-555-0190",94,300000,"Indiana Factory Shops","Daleville","US","United States","47334","Indiana","IN",,"Mountain","Q",4,"United States","North America","Northeast",414
"Genuine Bike Shop",1984,"United Security","Warehouse",2011,2013,3000000,"273-555-0181",95,300000,"7760 N. Pan Am Expwy","San Antonio","US","United States","78204","Texas","TX",,"Road","Q",12,"United States","North America","Southwest",417
"Fitness Cycling",1992,"International Bank","Value Added Reseller",2012,2013,800000,"448-555-0179",16,80000,"The Quad @ WestView","Whittier","US","United States","90605","California","CA",,"Mountain","S",4,"United States","North America","Southwest",421
"Small Cycle Store",1975,"United Security","Specialty Bike Shop",2010,2013,1000000,"583-555-0130",28,100000,"Horizon Outlet Center","Holland","US","United States","49423","Michigan","MI",,"Road","A",4,"United States","North America","Central",431
"Hobby Store",1980,"Guardian Bank","Value Added Reseller",2011,2013,300000,"315-555-0166",5,30000,"Highland Lakes Shopping Ctr.","Orlando","US","United States","32804","Florida","FL",,"Mountain","S",4,"United States","North America","Southeast",440
"Roadway Bike Emporium",2002,"Primary International","Warehouse",2012,2013,3000000,"691-555-0149",52,300000,"Medford","Medford","US","United States","97504","Oregon","OR",,"Touring","Q",4,"United States","North America","Northwest",451
"Simple Bike Parts",1979,"Primary International","Value Added Reseller",2010,2013,800000,"317-555-0163",19,80000,"Silver Sands Factory Outlet","Destin","US","United States","32541","Florida","FL",,"Road","S",4,"United States","North America","Southeast",458
"The Cycle Store",1998,"Primary Bank & Reserve","Value Added Reseller",2013,2013,800000,"505-555-0145",16,80000,"The Corner Shopping Center","Falls Church","US","United States","22046","Virginia","VA",,"Mountain","S",12,"United States","North America","Southeast",467
"Blue Bicycle Company",1999,"Guardian Bank","Specialty Bike Shop",2012,2013,1500000,"492-555-0146",40,150000,"Horizon Outlet Center","Monroe","US","United States","98272","Michigan","MI",,"Road","A",2,"United States","North America","Central",468
"Summer Sports Place",2002,"Primary International","Warehouse",2012,2013,3000000,"252-555-0127",73,300000,"Ring Plaza","Norridge","US","United States","60706","Illinois","IL",,"Mountain","Q",12,"United States","North America","Central",472
"Real Sporting Goods",1994,"Guardian Bank","Warehouse",2011,2013,3000000,"581-555-0172",76,300000,"7709 West Virginia Avenue","Phoenix","US","United States","85004","Arizona","AZ",,"Mountain","Q",4,"United States","North America","Southwest",475
"Cash & Carry Bikes",1987,"Guardian Bank","Specialty Bike Shop",2012,2013,1500000,"191-555-0198",45,150000,"Lakeline Mall","Cedar Park","US","United States","78613","Texas","TX",,"Mountain","A",3,"United States","North America","Southwest",489
"Area Bike Accessories",1986,"International Bank","Value Added Reseller",2010,2013,300000,"991-555-0183",8,30000,"6900 Sisk Road","Modesto","US","United States","95354","California","CA",,"Road","S",4,"United States","North America","Southwest",491
"Worthwhile Activity Store",1991,"United Security","Value Added Reseller",2011,2013,300000,"197-555-0143",7,30000,"Flagler Park Plaza","Miami","US","United States","33127","Florida","FL",,"Mountain","S",4,"United States","North America","Southeast",494
"Tough and Reliable Parts",1984,"Primary Bank & Reserve","Specialty Bike Shop",2011,2013,1500000,"395-555-0128",43,150000,"Market Square Shopping Center","Lakeland","US","United States","33801","Florida","FL",,"Road","A",11,"United States","North America","Southeast",495
"Honest Repair Service",1979,"International Bank","Warehouse",2012,2013,3000000,"688-555-0115",88,300000,"Three Rivers Mall","Kelso","US","United States","98626","Washington","WA",,"Touring","Q",4,"United States","North America","Northwest",505
"Great Bikes",1985,"International Security","Value Added Reseller",2010,2013,300000,"571-555-0128",3,30000,"Eastridge Mall","Casper","US","United States","82601","Wyoming","WY",,"Mountain","S",4,"United States","North America","Northwest",506
"Futuristic Sport Distributors",1978,"Primary Bank & Reserve","Warehouse",2011,2013,3000000,"149-555-0196",94,300000,"5525 South Hover Road","Longmont","US","United States","80501","Colorado","CO",,"Road","Q",4,"United States","North America","Central",523
"Valuable Bike Parts Company",1992,"Primary Bank & Reserve","Value Added Reseller",2011,2013,800000,"430-555-0121",16,80000,"Belz Factory Outlet","Orlando","US","United States","32804","Florida","FL",,"Mountain","S",4,"United States","North America","Southeast",530
"Major Sport Suppliers",2002,"Reserve Security","Warehouse",2012,2013,3000000,"331-555-0162",52,300000,"White Mountain Mall","Rock Springs","US","United States","82901","Wyoming","WY",,"Mountain","Q",4,"United States","North America","Northwest",560
"The Bike Shop",1997,"United Security","Warehouse",2010,2013,3000000,"957-555-0125",70,300000,"3250 South Meridian","Puyallup","US","United States","98371","Washington","WA",,"Mountain","Q",4,"United States","North America","Northwest",578
"Casual Bicycle Store",1989,"Guardian Bank","Value Added Reseller",2011,2013,800000,"301-555-0128",10,80000,"Westside Plaza","Nashua","US","United States","03064","New Hampshire","NH",,"Mountain","S",4,"United States","North America","Northeast",594
"All Seasons Sports Supply",1994,"International Security","Value Added Reseller",2012,2013,300000,"129-555-0120",9,30000,"Ohms Road","Houston","US","United States","77003","Texas","TX",,"Touring","S",4,"United States","North America","Southwest",597
"Westside Plaza",1993,"United Security","Warehouse",2012,2013,3000000,"362-555-0162",83,300000,"99040 California Avenue","Sand City","US","United States","93955","California","CA",,"Touring","Q",4,"United States","North America","Southwest",599
"Fitness Department Stores",1981,"International Bank","Specialty Bike Shop",2013,2013,1500000,"366-555-0110",41,150000,"7750 E Marching Rd","Scottsdale","US","United States","85257","Arizona","AZ",,"Touring","A",2,"United States","North America","Southwest",610
"Seventh Bike Store",1977,"International Security","Value Added Reseller",2010,2013,300000,"860-555-0119",2,30000,"Stateline Plaza","Plaistow","US","United States","03865","New Hampshire","NH",,"Road","S",4,"United States","North America","Northeast",618
"Gift and Toy Store",1975,"Guardian Bank","Specialty Bike Shop",2011,2013,1500000,"493-555-0185",37,150000,"Sports Stores @ Tuscola","Tuscola","US","United States","61953","Illinois","IL",,"Road","A",4,"United States","North America","Central",622
"Exhilarating Cycles",1984,"International Security","Warehouse",2011,2013,1500000,"371-555-0184",43,150000,"Kensington Valley Shops","Howell","US","United States","48843","Michigan","MI",,"Road","Q",4,"United States","North America","Central",660
"First Bike Store",2004,"Primary Bank & Reserve","Value Added Reseller",2010,2013,800000,"859-555-0140",17,80000,"Kansas City Factory Outlet","Odessa","US","United States","64076","Missouri","MO",,"Road","S",4,"United States","North America","Central",670
"Countryside Company",2004,"International Bank","Value Added Reseller",2012,2013,1000000,"107-555-0117",20,100000,"825 W 500 S","Bountiful","US","United States","84010","Utah","UT",,"Mountain","S",4,"United States","North America","Northwest",673
"Better Bike Shop",1979,"United Security","Value Added Reseller",2010,2013,800000,"967-555-0129",19,80000,"42525 Austell Road","Austell","US","United States","30106","Georgia","GA",,"Mountain","S",4,"United States","North America","Southeast",676
"The Accessories Store",2000,"International Bank","Value Added Reseller",2012,2013,800000,"713-555-0168",13,80000,"Medford Outlet Center","Medford","US","United States","55049","Minnesota","MN",,"Road","S",8,"United States","North America","Central",694
"Sensational Discount Store",1991,"Guardian Bank","Warehouse",2013,2013,3000000,"716-555-0123",80,300000,"6333 Cloverleaf Parkway","Kannapolis","US","United States","28081","North Carolina","NC",,"Road","Q",3,"United States","North America","Southeast",699
"A Bike Store",1974,"International Bank","Value Added Reseller",2011,2011,300000,"245-555-0173",2,30000,"2251 Elliot Avenue","Seattle","US","United States","98104","Washington","WA",,"Road","S",5,"United States","North America","Northwest",1
"Associated Bikes",1986,"Reserve Security","Value Added Reseller",2011,2012,300000,"192-555-0173",8,30000,"5420 West 22500 South","Salt Lake City","US","United States","84101","Utah","UT",,"Mountain","S",4,"United States","North America","Northwest",7
"Economic Parts Supply",1996,"Reserve Security","Specialty Bike Shop",,,1500000,"623-555-0153",43,150000,"2532 Fairgrounds Road","West Kingston","US","United States","02892","Rhode Island","RI",,"Road","A",,"United States","North America","Northeast",35
"Journey Sporting Goods",2000,"Primary Bank & Reserve","Value Added Reseller",2011,2011,800000,"417-555-0182",13,80000,"509 Nafta Boulevard","Laredo","US","United States","78040","Texas","TX",,"Mountain","S",5,"United States","North America","Southwest",40
"Leading Sales & Repair",1985,"International Bank","Warehouse",2011,2011,3000000,"260-555-0130",84,300000,"25149 Howard Dr","West Chicago","US","United States","60185","Illinois","IL",,"Road","Q",6,"United States","North America","Central",57
"Largest Bike Store",1991,"International Security","Value Added Reseller",2011,2012,300000,"436-555-0160",7,30000,"63 W Monroe","Chicago","US","United States","60610","Illinois","IL",,"Road","S",5,"United States","North America","Central",58
"Main Bicycle Services",1990,"United Security","Warehouse",,,3000000,"183-555-0111",85,300000,"60750 San Clemente","Hayward","US","United States","94541","California","CA",,"Road","Q",,"United States","North America","Southwest",60
"Outdoor Distributors",1978,"International Bank","Specialty Bike Shop",,,1500000,"513-555-0149",39,150000,"225 Hyde Rd","Farmington","US","United States","06032","Connecticut","CT",,"Mountain","A",,"United States","North America","Northeast",71
"Outdoor Sports Supply",1977,"Primary International","Value Added Reseller",2011,2012,300000,"107-555-0132",2,30000,"Great Northwestern","North Bend","US","United States","98045","Washington","WA",,"Mountain","S",2,"United States","North America","Northwest",73
"Out-of-the-Way Hotels",1982,"Guardian Bank","Value Added Reseller",,,300000,"265-555-0190",4,30000,"25269 N. Wood Dale Rd","Wood Dale","US","United States","60191","Illinois","IL",,"Mountain","S",,"United States","North America","Central",76
"Preferred Bikes",1981,"International Bank","Warehouse",2011,2012,3000000,"819-555-0186",91,300000,"Incom Sports Center","Ontario","US","United States","91764","California","CA",,"Road","Q",5,"United States","North America","Southwest",78
"Scooters and Bikes Store",1986,"Reserve Security","Value Added Reseller",2011,2011,800000,"810-555-0198",14,80000,"258101 Nw Evergreen Parkway","Beaverton","US","United States","97005","Oregon","OR",,"Road","S",6,"United States","North America","Northwest",91
"Stationary Bikes and Stands",1990,"International Security","Warehouse",2011,2011,3000000,"138-555-0156",96,300000,"Sapp Road West","Round Rock","US","United States","78664","Texas","TX",,"Road","Q",6,"United States","North America","Southwest",93
"Westside Cycle Store",1976,"Guardian Bank","Specialty Bike Shop",2011,2012,800000,"119-555-0144",10,80000,"25550 Executive Dr","Elgin","US","United States","60120","Illinois","IL",,"Road","A",12,"United States","North America","Central",111
"Front Sporting Goods",2003,"International Bank","Warehouse",2012,2012,3000000,"119-555-0195",55,300000,"257700 Ne 76th Street","Redmond","US","United States","98052","Washington","WA",,"Mountain","Q",5,"United States","North America","Northwest",127
"Another Sporting Goods Company",2002,"Guardian Bank","Specialty Bike Shop",,,1500000,"661-555-0168",31,150000,"5650 West 88th Ave.","Westminster","US","United States","80030","Colorado","CO",,"Road","A",,"United States","North America","Central",132
"Commercial Sporting Goods",1983,"Reserve Security","Warehouse",2012,2012,3000000,"132-555-0150",61,300000,"9700 Sisk Road","Modesto","US","United States","95354","California","CA",,"Mountain","Q",6,"United States","North America","Southwest",133
"Wonderful Bikes Inc.",1987,"International Security","Specialty Bike Shop",2012,2012,1500000,"250-555-0127",34,150000,"C/O Arrow Electronics","Memphis","US","United States","38103","Tennessee","TN",,"Road","A",5,"United States","North America","Southeast",135
"Only Bikes and Accessories",1996,"United Security","Specialty Bike Shop",2011,2011,1500000,"539-555-0142",43,150000,"123 Union Square South","New York","US","United States","10007","New York","NY",,"Mountain","A",5,"United States","North America","Northeast",144
"Raw Materials Inc",2002,"Primary Bank & Reserve","Warehouse",2011,2011,3000000,"962-555-0166",73,300000,"Bldg. 9n/99298","Redmond","US","United States","98052","Washington","WA",,"Mountain","Q",5,"United States","North America","Northwest",145
"Fleet Bikes",1993,"Primary International","Specialty Bike Shop",2012,2012,1500000,"927-555-0198",49,150000,"54254 Pacific Ave.","Stockton","US","United States","95202","California","CA",,"Mountain","A",5,"United States","North America","Southwest",150
"Weekend Tours",1994,"Reserve Security","Value Added Reseller",2010,2012,300000,"754-555-0134",9,30000,"42522 Northrupp","Fort Wayne","US","United States","46807","Indiana","IN",,"Road","S",4,"United States","North America","Northeast",161
"Economy Bikes Company",1984,"Reserve Security","Specialty Bike Shop",2012,2012,1500000,"688-555-0113",43,150000,"72502 Eastern Ave.","Bell Gardens","US","United States","90201","California","CA",,"Mountain","A",6,"United States","North America","Southwest",168
"Variety Bike Outlet",1974,"Guardian Bank","Value Added Reseller",,,300000,"685-555-0176",6,30000,"83995 South Dixie Highway","Miami","US","United States","33127","Florida","FL",,"Mountain","S",,"United States","North America","Southeast",188
"Principal Bicycle Supply",1980,"Reserve Security","Specialty Bike Shop",,,1500000,"514-555-0128",36,150000,"39950 Airport Blvd.","Mobile","US","United States","36602","Alabama","AL",,"Road","A",,"United States","North America","Southeast",189
"Separate Parts Corporation",1992,"Reserve Security","Value Added Reseller",2010,2012,800000,"207-555-0129",16,80000,"440 West Huntington Dr.","Monrovia","US","United States","91016","California","CA",,"Road","S",4,"United States","North America","Southwest",203
"Traction Tire Company",1994,"International Bank","Specialty Bike Shop",,,1500000,"973-555-0112",31,150000,"99235 Hawthorne Blvd.","Torrance","US","United States","90505","California","CA",,"Mountain","A",,"United States","North America","Southwest",204
"Eleventh Bike Store",1979,"Primary Bank & Reserve","Value Added Reseller",2011,2011,800000,"230-555-0164",18,80000,"25850 Post Road","Westport","US","United States","06880","Connecticut","CT",,"Road","S",10,"United States","North America","Northeast",215
"Extras Sporting Goods",1974,"International Security","Value Added Reseller",2012,2012,300000,"320-555-0134",2,30000,"625 W Jackson Blvd. Unit 2502","Chicago","US","United States","60610","Illinois","IL",,"Road","S",3,"United States","North America","Central",219
"Sample Bike Store",1980,"Primary Bank & Reserve","Value Added Reseller",2011,2012,300000,"858-555-0140",5,30000,"2530 South Colorado Blvd.","Denver","US","United States","80203","Colorado","CO",,"Road","S",9,"United States","North America","Central",222
"Optimal Bikes",1986,"International Bank","Value Added Reseller",2012,2012,300000,"523-555-0170",8,30000,"25050 S. Columbia Ave","Campbellsville","US","United States","42718","Kentucky","KY",,"Road","S",6,"United States","North America","Southeast",225
"Eastside Sporting Goods",2004,"Primary International","Value Added Reseller",2011,2012,800000,"428-555-0162",17,80000,"89950 Castleton Corner","Indianapolis","US","United States","46204","Indiana","IN",,"Road","S",4,"United States","North America","Northeast",234
"Spoke Manufacturers",1983,"United Security","Warehouse",2011,2012,3000000,"600-555-0162",61,300000,"2545 N.W. 107th Ave.","Miami","US","United States","33127","Florida","FL",,"Road","Q",7,"United States","North America","Southeast",242
"Recreation Supplies",2001,"Primary Bank & Reserve","Value Added Reseller",2012,2012,800000,"162-555-0138",18,80000,"8789 S.W. 2517 Ave.","Kendall","US","United States","33143","Florida","FL",,"Mountain","S",6,"United States","North America","Southeast",243
"Curbside Universe",1988,"Primary International","Warehouse",2010,2012,3000000,"131-555-0171",82,300000,"25264 E. 260th","Euclid","US","United States","44119","Ohio","OH",,"Road","Q",4,"United States","North America","Northeast",269
"Alternative Vehicles",1987,"Primary Bank & Reserve","Specialty Bike Shop",2011,2011,1500000,"164-555-0147",45,150000,"3307 Evergreen Blvd Ste 1071","Washougal","US","United States","98671","Washington","WA",,"Road","A",5,"United States","North America","Northwest",271
"Active Systems",1992,"International Bank","Specialty Bike Shop",2011,2012,1500000,"521-555-0183",44,150000,"9995 West Central Entrance","Duluth","US","United States","55802","Minnesota","MN",,"Road","A",4,"United States","North America","Central",274
"Tread Industries",1990,"Primary Bank & Reserve","Warehouse",2011,2011,3000000,"965-555-0112",85,300000,"25631 Florida Mall Ave.","Orlando","US","United States","32804","Florida","FL",,"Mountain","Q",5,"United States","North America","Southeast",278
"Kickstand Sellers",1985,"International Bank","Value Added Reseller",2012,2012,300000,"241-555-0112",3,30000,"6789 Warren Road","Westland","US","United States","48185","Michigan","MI",,"Mountain","S",6,"United States","North America","Central",288
"One-Piece Handle Bars",1996,"Guardian Bank","Warehouse",2011,2011,3000000,"188-555-0152",97,300000,"4496 Barnes Crossing Rd.","Tupelo","US","United States","38804","Mississippi","MS",,"Mountain","Q",6,"United States","North America","Southeast",314
"Juvenile Sports Equipment",1998,"Reserve Security","Value Added Reseller",2010,2012,800000,"843-555-0175",18,80000,"78025 E. Mercy Island Cswy","Merritt Island","US","United States","32952","Florida","FL",,"Mountain","S",4,"United States","North America","Southeast",315
