OrderNumber,OrderDate,Customer Name Index,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Line Total,Total Unit Cost,Channel,Channel Code,Alt. Name,Importance,Prior Code,Warehouse Code Ccy,Month Name,Type,Year
"SO - 0002542",2015-03-15 00:00:00.000,144,"USD","GUT930",41,2,5,5594.5,27972.5,2629.415,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","March","LOCAL / WHOLE","2015"
"SO - 0002545",2015-03-15 00:00:00.000,142,"USD","NXH382",52,5,12,690.1,8281.2,441.664,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","March","LOCAL / WHOLE","2015"
"SO - 0002599",2015-03-22 00:00:00.000,77,"USD","FLR025",63,13,5,1045.2,5226,637.572,"Wholesale","WHOLE","Local","Low","SUPER","FLR025 - USD","March","LOCAL / WHOLE","2015"
"SO - 0002627",2015-03-25 00:00:00.000,165,"USD","NXH382",54,3,11,3912.8,43040.8,3091.112,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","March","LOCAL / WHOLE","2015"
"SO - 0002635",2015-03-26 00:00:00.000,96,"USD","FLR025",60,10,12,1072,12864,525.28,"Wholesale","WHOLE","Local","Low","SUPER","FLR025 - USD","March","LOCAL / WHOLE","2015"
"SO - 0002638",2015-03-27 00:00:00.000,113,"USD","GUT930",45,12,11,3953,43483,1976.5,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","March","LOCAL / WHOLE","2015"
"SO - 0002655",2015-03-30 00:00:00.000,148,"USD","FLR025",62,14,10,1728.6,17286,985.302,"Wholesale","WHOLE","Local","Low","SUPER","FLR025 - USD","March","LOCAL / WHOLE","2015"
"SO - 0002660",2015-03-31 00:00:00.000,20,"USD","FLR025",65,7,10,2425.4,24254,2013.082,"Wholesale","WHOLE","Local","Low","SUPER","FLR025 - USD","March","LOCAL / WHOLE","2015"
"SO - 0002661",2015-03-31 00:00:00.000,155,"USD","NXH382",51,4,7,1145.7,8019.9,962.388,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","March","LOCAL / WHOLE","2015"
"SO - 0002695",2015-04-04 00:00:00.000,141,"USD","FLR025",63,5,5,234.5,1172.5,173.53,"Wholesale","WHOLE","Local","Low","SUPER","FLR025 - USD","April","LOCAL / WHOLE","2015"
"SO - 0002718",2015-04-06 00:00:00.000,128,"USD","NXH382",49,3,6,6083.6,36501.6,5171.06,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","April","LOCAL / WHOLE","2015"
"SO - 0002724",2015-04-07 00:00:00.000,116,"USD","NXH382",48,4,5,234.5,1172.5,117.25,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","April","LOCAL / WHOLE","2015"
"SO - 0002760",2015-04-10 00:00:00.000,145,"USD","NXH382",58,6,10,3738.6,37386,2766.564,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","April","LOCAL / WHOLE","2015"
"SO - 0002770",2015-04-11 00:00:00.000,132,"USD","FLR025",62,14,7,234.5,1641.5,166.495,"Wholesale","WHOLE","Local","Low","SUPER","FLR025 - USD","April","LOCAL / WHOLE","2015"
"SO - 0002812",2015-04-17 00:00:00.000,119,"USD","FLR025",65,12,6,3149,18894,1322.58,"Wholesale","WHOLE","Local","Low","SUPER","FLR025 - USD","April","LOCAL / WHOLE","2015"
"SO - 0002815",2015-04-17 00:00:00.000,7,"USD","GUT930",36,4,7,1011.7,7081.9,445.148,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","April","LOCAL / WHOLE","2015"
"SO - 0002822",2015-04-18 00:00:00.000,153,"USD","GUT930",46,8,9,1051.9,9467.1,452.317,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","April","LOCAL / WHOLE","2015"
"SO - 0002831",2015-04-19 00:00:00.000,94,"USD","GUT930",40,6,7,777.2,5440.4,334.196,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","April","LOCAL / WHOLE","2015"
"SO - 0002867",2015-04-24 00:00:00.000,72,"USD","FLR025",61,2,5,187.6,938,84.42,"Wholesale","WHOLE","Local","Low","SUPER","FLR025 - USD","April","LOCAL / WHOLE","2015"
"SO - 0002912",2015-04-28 00:00:00.000,18,"USD","GUT930",42,15,9,5661.5,50953.5,3623.36,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","April","LOCAL / WHOLE","2015"
"SO - 0002965",2015-05-04 00:00:00.000,146,"USD","GUT930",38,14,6,167.5,1005,110.55,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","May","LOCAL / WHOLE","2015"
"SO - 0003032",2015-05-10 00:00:00.000,85,"USD","FLR025",65,5,12,1788.9,21466.8,948.117,"Wholesale","WHOLE","Local","Low","SUPER","FLR025 - USD","May","LOCAL / WHOLE","2015"
"SO - 0003077",2015-05-15 00:00:00.000,83,"USD","GUT930",34,10,7,824.1,5768.7,395.568,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","May","LOCAL / WHOLE","2015"
"SO - 0003080",2015-05-16 00:00:00.000,175,"USD","FLR025",62,1,11,1728.6,19014.6,1175.448,"Wholesale","WHOLE","Local","Low","SUPER","FLR025 - USD","May","LOCAL / WHOLE","2015"
"SO - 0003127",2015-05-22 00:00:00.000,99,"USD","GUT930",40,11,5,4006.6,20033,2444.026,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","May","LOCAL / WHOLE","2015"
"SO - 0003132",2015-05-23 00:00:00.000,101,"USD","FLR025",66,11,12,1112.2,13346.4,456.002,"Wholesale","WHOLE","Local","Low","SUPER","FLR025 - USD","May","LOCAL / WHOLE","2015"
"SO - 0003142",2015-05-24 00:00:00.000,114,"USD","FLR025",63,5,7,2271.3,15899.1,1635.336,"Wholesale","WHOLE","Local","Low","SUPER","FLR025 - USD","May","LOCAL / WHOLE","2015"
"SO - 0003150",2015-05-25 00:00:00.000,27,"USD","NXH382",60,6,11,2847.5,31322.5,1822.4,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","May","LOCAL / WHOLE","2015"
"SO - 0003168",2015-05-26 00:00:00.000,71,"USD","NXH382",47,3,10,6123.8,61238,2816.948,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","May","LOCAL / WHOLE","2015"
"SO - 0003177",2015-05-28 00:00:00.000,77,"USD","GUT930",36,1,10,194.3,1943,128.238,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","May","LOCAL / WHOLE","2015"
"SO - 0003200",2015-05-29 00:00:00.000,122,"USD","FLR025",60,9,7,1058.6,7410.2,868.052,"Wholesale","WHOLE","Local","Low","SUPER","FLR025 - USD","May","LOCAL / WHOLE","2015"
"SO - 0003229",2015-06-02 00:00:00.000,114,"USD","FLR025",63,5,7,3973.1,27811.7,1708.433,"Wholesale","WHOLE","Local","Low","SUPER","FLR025 - USD","June","LOCAL / WHOLE","2015"
"SO - 0003276",2015-06-07 00:00:00.000,135,"USD","NXH382",58,9,8,6170.7,49365.6,4010.955,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","June","LOCAL / WHOLE","2015"
"SO - 0003300",2015-06-10 00:00:00.000,38,"USD","GUT930",33,14,10,1018.4,10184,539.752,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","June","LOCAL / WHOLE","2015"
"SO - 0003302",2015-06-10 00:00:00.000,12,"USD","GUT930",32,15,9,3899.4,35094.6,3002.538,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","June","LOCAL / WHOLE","2015"
"SO - 0003377",2015-06-19 00:00:00.000,19,"USD","GUT930",39,6,8,1045.2,8361.6,857.064,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","June","LOCAL / WHOLE","2015"
"SO - 0003380",2015-06-19 00:00:00.000,138,"USD","GUT930",36,3,8,5380.1,43040.8,4357.881,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","June","LOCAL / WHOLE","2015"
"SO - 0003392",2015-06-22 00:00:00.000,33,"USD","NXH382",50,4,12,3859.2,46310.4,1698.048,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","June","LOCAL / WHOLE","2015"
"SO - 0003409",2015-06-24 00:00:00.000,75,"USD","GUT930",32,13,9,1259.6,11336.4,919.508,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","June","LOCAL / WHOLE","2015"
"SO - 0003437",2015-06-27 00:00:00.000,79,"USD","GUT930",33,6,8,1051.9,8415.2,715.292,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","June","LOCAL / WHOLE","2015"
"SO - 0003468",2015-07-02 00:00:00.000,172,"USD","NXH382",53,3,9,247.9,2231.1,198.32,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","July","LOCAL / WHOLE","2015"
"SO - 0003470",2015-07-02 00:00:00.000,110,"USD","NXH382",58,9,6,5782.1,34692.6,3700.544,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","July","LOCAL / WHOLE","2015"
"SO - 0003545",2015-07-11 00:00:00.000,168,"USD","NXH382",57,3,7,6411.9,44883.3,4680.687,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","July","LOCAL / WHOLE","2015"
"SO - 0003597",2015-07-18 00:00:00.000,122,"USD","FLR025",65,8,12,3075.3,36903.6,1322.379,"Wholesale","WHOLE","Local","Low","SUPER","FLR025 - USD","July","LOCAL / WHOLE","2015"
"SO - 0003598",2015-07-18 00:00:00.000,136,"USD","NXH382",54,13,9,1165.8,10492.2,547.926,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","July","LOCAL / WHOLE","2015"
"SO - 0003603",2015-07-19 00:00:00.000,37,"USD","NXH382",55,12,9,964.8,8683.2,501.696,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","July","LOCAL / WHOLE","2015"
"SO - 0003623",2015-07-21 00:00:00.000,13,"USD","NXH382",54,1,8,1125.6,9004.8,799.176,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","July","LOCAL / WHOLE","2015"
"SO - 0003672",2015-07-26 00:00:00.000,89,"USD","GUT930",42,4,12,3939.6,47275.2,2836.512,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","July","LOCAL / WHOLE","2015"
"SO - 0003705",2015-07-30 00:00:00.000,89,"USD","GUT930",35,6,12,1989.9,23878.8,1591.92,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","July","LOCAL / WHOLE","2015"
"SO - 0003805",2015-08-11 00:00:00.000,24,"USD","NXH382",50,15,11,1145.7,12602.7,928.017,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","August","LOCAL / WHOLE","2015"
"SO - 0003838",2015-08-15 00:00:00.000,158,"USD","NXH382",53,12,7,221.1,1547.7,154.77,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","August","LOCAL / WHOLE","2015"
"SO - 0003863",2015-08-18 00:00:00.000,108,"USD","NXH382",48,8,5,241.2,1206,96.48,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","August","LOCAL / WHOLE","2015"
"SO - 0003882",2015-08-20 00:00:00.000,133,"USD","GUT930",40,1,9,1246.2,11215.8,610.638,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","August","LOCAL / WHOLE","2015"
"SO - 0003964",2015-08-31 00:00:00.000,2,"USD","GUT930",34,5,8,3932.9,31463.2,2792.359,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","August","LOCAL / WHOLE","2015"
"SO - 0003968",2015-08-31 00:00:00.000,133,"USD","GUT930",41,15,6,6512.4,39074.4,4754.052,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","August","LOCAL / WHOLE","2015"
"SO - 0003969",2015-08-31 00:00:00.000,149,"USD","GUT930",33,14,8,884.4,7075.2,601.392,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","August","LOCAL / WHOLE","2015"
"SO - 0004008",2015-09-05 00:00:00.000,102,"USD","FLR025",62,2,10,1025.1,10251,676.566,"Wholesale","WHOLE","Local","Low","SUPER","FLR025 - USD","September","LOCAL / WHOLE","2015"
"SO - 0004040",2015-09-10 00:00:00.000,67,"USD","GUT930",44,9,5,1005,5025,572.85,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","September","LOCAL / WHOLE","2015"
"SO - 0004056",2015-09-11 00:00:00.000,148,"USD","NXH382",60,6,10,5835.7,58357,3267.992,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","September","LOCAL / WHOLE","2015"
"SO - 0004067",2015-09-13 00:00:00.000,74,"USD","GUT930",35,2,5,1025.1,5125.5,625.311,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","September","LOCAL / WHOLE","2015"
"SO - 0004077",2015-09-14 00:00:00.000,8,"USD","NXH382",57,14,12,214.4,2572.8,96.48,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","September","LOCAL / WHOLE","2015"
"SO - 0004137",2015-09-22 00:00:00.000,94,"USD","GUT930",41,11,11,984.9,10833.9,797.769,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","September","LOCAL / WHOLE","2015"
"SO - 0004153",2015-09-24 00:00:00.000,2,"USD","FLR025",63,14,5,268,1340,179.56,"Wholesale","WHOLE","Local","Low","SUPER","FLR025 - USD","September","LOCAL / WHOLE","2015"
"SO - 0004157",2015-09-24 00:00:00.000,101,"USD","NXH382",53,6,11,3986.5,43851.5,2591.225,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","September","LOCAL / WHOLE","2015"
"SO - 0004169",2015-09-26 00:00:00.000,42,"USD","NXH382",52,15,9,6519.1,58671.9,3520.314,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","September","LOCAL / WHOLE","2015"
"SO - 0004182",2015-09-27 00:00:00.000,137,"USD","FLR025",65,15,5,1869.3,9346.5,1495.44,"Wholesale","WHOLE","Local","Low","SUPER","FLR025 - USD","September","LOCAL / WHOLE","2015"
"SO - 0004207",2015-09-30 00:00:00.000,165,"USD","FLR025",60,12,9,1882.7,16944.3,1242.582,"Wholesale","WHOLE","Local","Low","SUPER","FLR025 - USD","September","LOCAL / WHOLE","2015"
"SO - 0004222",2015-10-02 00:00:00.000,109,"USD","FLR025",64,7,11,5795.5,63750.5,3709.12,"Wholesale","WHOLE","Local","Low","SUPER","FLR025 - USD","October","LOCAL / WHOLE","2015"
"SO - 0004238",2015-10-04 00:00:00.000,99,"USD","NXH382",58,10,8,6458.8,51670.4,4714.924,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","October","LOCAL / WHOLE","2015"
"SO - 0004244",2015-10-05 00:00:00.000,12,"USD","GUT930",34,5,11,750.4,8254.4,555.296,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","October","LOCAL / WHOLE","2015"
"SO - 0004271",2015-10-08 00:00:00.000,75,"USD","NXH382",47,8,11,1078.7,11865.7,463.841,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","October","LOCAL / WHOLE","2015"
"SO - 0004324",2015-10-16 00:00:00.000,150,"USD","GUT930",43,8,11,1105.5,12160.5,442.2,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","October","LOCAL / WHOLE","2015"
"SO - 0004338",2015-10-17 00:00:00.000,167,"USD","NXH382",51,14,11,676.7,7443.7,439.855,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","October","LOCAL / WHOLE","2015"
"SO - 0004345",2015-10-19 00:00:00.000,5,"USD","NXH382",58,14,7,174.2,1219.4,109.746,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","October","LOCAL / WHOLE","2015"
"SO - 0004382",2015-10-23 00:00:00.000,72,"USD","FLR025",61,6,12,1051.9,12622.8,568.026,"Wholesale","WHOLE","Local","Low","SUPER","FLR025 - USD","October","LOCAL / WHOLE","2015"
"SO - 0004407",2015-10-27 00:00:00.000,23,"USD","NXH382",56,4,8,1882.7,15061.6,1374.371,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","October","LOCAL / WHOLE","2015"
"SO - 0004441",2015-10-31 00:00:00.000,124,"USD","GUT930",39,4,6,1078.7,6472.2,506.989,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","October","LOCAL / WHOLE","2015"
"SO - 0004475",2015-11-04 00:00:00.000,38,"USD","GUT930",45,9,6,1105.5,6633,696.465,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","November","LOCAL / WHOLE","2015"
"SO - 0004498",2015-11-07 00:00:00.000,41,"USD","NXH382",58,4,8,268,2144,144.72,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","November","LOCAL / WHOLE","2015"
"SO - 0004534",2015-11-13 00:00:00.000,119,"USD","NXH382",58,15,10,1969.8,19698,827.316,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","November","LOCAL / WHOLE","2015"
"SO - 0004536",2015-11-13 00:00:00.000,94,"USD","NXH382",60,6,10,268,2680,187.6,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","November","LOCAL / WHOLE","2015"
"SO - 0004553",2015-11-15 00:00:00.000,54,"USD","NXH382",60,11,6,194.3,1165.8,83.549,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","November","LOCAL / WHOLE","2015"
"SO - 0004560",2015-11-15 00:00:00.000,46,"USD","NXH382",47,4,6,2479,14874,2032.78,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","November","LOCAL / WHOLE","2015"
"SO - 0004601",2015-11-19 00:00:00.000,152,"USD","NXH382",55,12,8,1125.6,9004.8,574.056,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","November","LOCAL / WHOLE","2015"
"SO - 0004636",2015-11-23 00:00:00.000,144,"USD","GUT930",47,15,7,3182.5,22277.5,1782.2,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","November","LOCAL / WHOLE","2015"
"SO - 0004645",2015-11-24 00:00:00.000,159,"USD","NXH382",55,15,8,5634.7,45077.6,3268.126,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","November","LOCAL / WHOLE","2015"
"SO - 0004659",2015-11-26 00:00:00.000,23,"USD","NXH382",58,4,8,2532.6,20260.8,2076.732,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","November","LOCAL / WHOLE","2015"
"SO - 0004687",2015-11-29 00:00:00.000,74,"USD","NXH382",57,13,6,1065.3,6391.8,767.016,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","November","LOCAL / WHOLE","2015"
"SO - 0004709",2015-12-01 00:00:00.000,62,"USD","FLR025",62,5,10,214.4,2144,122.208,"Wholesale","WHOLE","Local","Low","SUPER","FLR025 - USD","December","LOCAL / WHOLE","2015"
"SO - 0004710",2015-12-01 00:00:00.000,119,"USD","NXH382",51,13,11,891.1,9802.1,525.749,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","December","LOCAL / WHOLE","2015"
"SO - 0004788",2015-12-11 00:00:00.000,98,"USD","GUT930",40,14,6,2592.9,15557.4,2048.391,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","December","LOCAL / WHOLE","2015"
"SO - 0004798",2015-12-12 00:00:00.000,97,"USD","GUT930",47,9,10,3999.9,39999,2599.935,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","December","LOCAL / WHOLE","2015"
"SO - 0004804",2015-12-13 00:00:00.000,101,"USD","GUT930",43,13,6,3825.7,22954.2,3137.074,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","December","LOCAL / WHOLE","2015"
"SO - 0004853",2015-12-19 00:00:00.000,136,"USD","GUT930",37,6,12,2425.4,29104.8,1697.78,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","December","LOCAL / WHOLE","2015"
"SO - 0004866",2015-12-20 00:00:00.000,2,"USD","FLR025",64,2,12,1078.7,12944.4,625.646,"Wholesale","WHOLE","Local","Low","SUPER","FLR025 - USD","December","LOCAL / WHOLE","2015"
"SO - 0004879",2015-12-22 00:00:00.000,114,"USD","NXH382",48,11,10,2257.9,22579,1151.529,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","December","LOCAL / WHOLE","2015"
"SO - 0004914",2015-12-27 00:00:00.000,43,"USD","GUT930",47,9,11,3872.6,42598.6,3059.354,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","December","LOCAL / WHOLE","2015"
"SO - 0004941",2015-12-30 00:00:00.000,171,"USD","NXH382",47,8,11,891.1,9802.1,507.927,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","December","LOCAL / WHOLE","2015"
"SO - 0004951",2015-12-31 00:00:00.000,159,"USD","NXH382",51,1,11,207.7,2284.7,89.311,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","December","LOCAL / WHOLE","2015"
"SO - 0004952",2015-12-31 00:00:00.000,11,"USD","GUT930",47,14,10,1929.6,19296,1254.24,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","December","LOCAL / WHOLE","2015"
