Symbol,Trade,Date,Price,Ex. date,Ex. Price,% chg,Profit,% Profit,Shares,Position value,Cum. Profit,# bars,Profit/bar,MAE,MFE,Scale In/Out
"VNQ","Long",2010-08-02 00:00:00.000,55.86908,2011-09-01 00:00:00.000,57.5,0.0292,20973.63,0.0292,"12860",718476.31,1423934.81,276,75.99,-0.0709,0.2229,"7/0"
"XLE","Long",2010-10-01 00:00:00.000,70.10699,2011-09-01 00:00:00.000,68.75,-0.0194,-10638.88,-0.0194,"7840",549638.81,1413295.93,233,-45.66,-0.0163,0.4306,"5/0"
"GLD","Long",2011-03-01 00:00:00.000,156.719,2012-01-03 00:00:00.000,154.76,-0.0125,-8031.9,-0.0125,"4100",642547.75,1404560.03,214,-37.53,-0.0241,0.3412,"6/0"
"VBR","Long",2011-12-01 00:00:00.000,64.94926,2012-06-01 00:00:00.000,63.86,-0.0168,-4564.17,-0.0168,"4190",272137.41,1395862.46,126,-36.22,-0.0389,0.1305,"2/0"
"VB","Long",2011-12-01 00:00:00.000,72.59303,2012-06-01 00:00:00.000,71,-0.0219,-3998.43,-0.0219,"2510",182208.5,1391864.03,126,-31.73,-0.0425,0.1423,"1/0"
"RSP","Long",2011-12-01 00:00:00.000,47.80898,2012-06-01 00:00:00.000,47.01,-0.0167,-3052.1,-0.0167,"3820",182630.3,1388811.92,126,-24.22,-0.0504,0.1313,"1/0"
"XLI","Long",2011-12-01 00:00:00.000,35.04357,2012-06-01 00:00:00.000,33.98,-0.0303,-5541.2,-0.0303,"5210",182577,1383270.72,126,-43.98,-0.0439,0.1326,"1/0"
"XLE","Long",2011-12-01 00:00:00.000,71.00374,2012-06-01 00:00:00.000,62.35,-0.1219,-22240.01,-0.1219,"2570",182479.61,1361030.72,126,-176.51,-0.1179,0.0823,"1/0"
"XLK","Long",2011-12-01 00:00:00.000,26.39112,2012-06-01 00:00:00.000,27.45,0.0401,7338.04,0.0401,"6930",182890.5,1368368.75,126,58.24,-0.0348,0.1984,"1/0"
"EWW","Long",2012-02-01 00:00:00.000,59.45389,2012-06-01 00:00:00.000,53.5,-0.1001,-12860.4,-0.1001,"2160",128420.4,1358624.84,85,-151.3,-0.0958,0.0789,"1/0"
"XLY","Long",2011-12-01 00:00:00.000,39.99746,2012-08-01 00:00:00.000,43.83,0.0958,17476.38,0.0958,"4560",182388.42,1376101.23,168,104.03,-0.0341,0.1959,"1/0"
"VNQ","Long",2012-01-03 00:00:00.000,63.17237,2012-10-01 00:00:00.000,65.1,0.0305,14225.91,0.0305,"7380",466212.06,1390180.83,189,75.27,-0.0342,0.1719,"5/0"
"EDV","Long",2012-06-01 00:00:00.000,131.5842,2012-10-01 00:00:00.000,125.33,-0.0475,-12883.65,-0.0475,"2060",271063.5,1377297.18,85,-151.57,-0.1231,0.0376,"2/0"
"XLK","Long",2012-08-01 00:00:00.000,30.18165,2012-11-01 00:00:00.000,29.02,-0.0385,-7120.91,-0.0385,"6130",185013.5,1370176.27,64,-111.26,-0.0248,0.0778,"1/0"
"FDL","Long",2011-11-01 00:00:00.000,18.02612,2012-12-03 00:00:00.000,18.82,0.044,32175.96,0.044,"40530",730598.63,1402352.22,273,117.86,-0.0362,0.1935,"7/0"
"XLP","Long",2011-11-01 00:00:00.000,33.22823,2013-01-02 00:00:00.000,35.4,0.0654,23737.45,0.0654,"10930",363184.59,1426070.87,293,81.02,-0.0111,0.1985,"3/0"
"XLE","Long",2012-08-01 00:00:00.000,71.87012,2013-01-02 00:00:00.000,72.95,0.015,2775.34,0.015,"2570",184706.2,1428846.21,105,26.43,-0.0306,0.1064,"1/0"
"MUB","Long",2012-08-01 00:00:00.000,112.6395,2013-01-02 00:00:00.000,110.74,-0.0169,-6192.37,-0.0169,"3260",367204.81,1422653.84,105,-58.97,-0.0247,0.023,"3/0"
"XME","Long",2012-10-01 00:00:00.000,45.22125,2013-03-01 00:00:00.000,40.24,-0.1102,-20373.31,-0.1102,"4090",184954.91,1402280.53,103,-197.8,-0.0945,0.0732,"1/0"
"EWW","Long",2012-07-02 00:00:00.000,68.20669,2013-06-03 00:00:00.000,67.76,-0.0065,-4775.22,-0.0065,"10690",729129.5,1396140.31,230,-20.76,-0.0237,0.2461,"7/0"
"VNQ","Long",2013-01-02 00:00:00.000,68.80476,2013-07-01 00:00:00.000,69.26,0.0066,2494.5,0.0066,"5480",377050.09,1398634.8,125,19.96,-0.0396,0.1782,"3/0"
"FDL","Long",2013-02-01 00:00:00.000,20.435,2013-09-03 00:00:00.000,20.82,0.0188,9093.7,0.0188,"23620",482674.69,1405316.5,148,61.44,-0.0088,0.1287,"4/0"
"XLP","Long",2013-02-01 00:00:00.000,38.28688,2013-09-03 00:00:00.000,39.69,0.0366,10383.09,0.0366,"7400",283322.91,1415699.59,148,70.16,-0.0089,0.1369,"2/0"
"XLE","Long",2013-08-01 00:00:00.000,82.72299,2014-02-03 00:00:00.000,83.3,0.007,2065.66,0.007,"3580",296148.31,1417759.15,128,16.14,-0.0392,0.0656,"2/0"
"XLB","Long",2013-08-01 00:00:00.000,41.35652,2014-11-03 00:00:00.000,48.42,0.1708,53117.37,0.1708,"7520",311001,1485799.62,318,167.04,-0.014,0.2481,"3/0"
"XLF","Long",2012-11-01 00:00:00.000,14.22052,2015-02-02 00:00:00.000,18.74086,0.3179,119834.21,0.3179,"26510",376986,1605633.84,566,211.72,-0.054,0.5791,"7/0"
"XLK","Long",2013-06-03 00:00:00.000,33.28201,2015-02-02 00:00:00.000,40.04,0.2031,120157.06,0.2031,"17780",591754.19,1725790.9,421,285.41,-0.0555,0.3432,"5/0"
"EDV","Long",2014-02-03 00:00:00.000,116.1418,2015-05-01 00:00:00.000,121.12,0.0429,25289.26,0.0429,"5080",590000.31,1734138.65,314,80.54,-0.0347,0.4601,"4/0"
"BND","Long",2014-02-03 00:00:00.000,82.60933,2015-05-01 00:00:00.000,82.56,-0.0006,-287.91,-0.0006,"5840",482438.47,1733850.74,314,-0.92,-0.0051,0.0398,"3/0"
"PFXF","Long",2014-11-03 00:00:00.000,20.82841,2015-07-01 00:00:00.000,20.12,-0.034,-21252.3,-0.034,"30000",624852.25,1706343.44,166,-128.03,-0.0233,0.0427,"4/0"
"VBR","Long",2015-03-02 00:00:00.000,108.8931,2015-07-01 00:00:00.000,108.36,-0.0049,-2446.93,-0.0049,"4590",499819.47,1703896.51,86,-28.45,-0.0269,0.0318,"3/0"
"FDL","Long",2015-05-01 00:00:00.000,24.03103,2015-07-01 00:00:00.000,22.91,-0.0466,-11322.4,-0.0466,"10100",242713.41,1692574.11,43,-263.31,-0.0553,0.005,"1/0"
"VB","Long",2015-03-02 00:00:00.000,121.905,2015-08-03 00:00:00.000,121.15,-0.0062,-3261.6,-0.0062,"4320",526629.44,1684736.91,108,-30.2,-0.0276,0.0386,"4/0"
"XLV","Long",2012-01-03 00:00:00.000,43.44795,2015-09-01 00:00:00.000,68.64,0.5798,556744.31,0.5798,"22100",960199.69,2241481.21,922,603.84,-0.0111,1.2051,"9/0"
"BND","Long",2015-10-01 00:00:00.000,81.66423,2015-12-01 00:00:00.000,81.17,-0.0061,-1438.12,-0.0061,"2910",237642.91,2218732.51,43,-33.44,-0.0139,0.0055,"1/0"
"EDV","Long",2015-10-01 00:00:00.000,117.6365,2016-01-04 00:00:00.000,115.62,-0.0171,-6089.83,-0.0171,"3020",355262.19,2212642.68,65,-93.69,-0.0658,0.0244,"2/0"
"BNDX","Long",2015-10-01 00:00:00.000,53.13,2016-01-04 00:00:00.000,52.94,-0.0036,-1276.8,-0.0036,"6720",357033.63,2211365.88,65,-19.64,-0.0124,0.0038,"2/0"
"VNQ","Long",2015-11-02 00:00:00.000,79.54549,2016-02-01 00:00:00.000,76.52,-0.038,-13493.73,-0.038,"4460",354772.88,2182736.98,62,-217.64,-0.0967,0.0191,"2/0"
"MUB","Long",2015-10-01 00:00:00.000,110.3179,2016-10-03 00:00:00.000,112.59,0.0206,14609.6,0.0206,"6430",709344.19,2189414.08,254,57.52,-0.0063,0.0523,"5/0"
"XLP","Long",2015-11-02 00:00:00.000,49.97314,2016-10-03 00:00:00.000,53.12,0.063,29832.23,0.063,"9480",473745.41,2219246.31,232,128.59,-0.0505,0.1224,"3/0"
"FDL","Long",2015-11-02 00:00:00.000,24.42263,2016-11-01 00:00:00.000,26.65,0.0912,65707.41,0.0912,"29500",720467.56,2284953.73,253,259.71,-0.0714,0.1569,"5/0"
"GLD","Long",2016-02-01 00:00:00.000,116.9457,2016-11-01 00:00:00.000,122.8,0.0501,18148.33,0.0501,"3100",362531.81,2303102.06,192,94.52,-0.0018,0.2195,"2/0"
"BND","Long",2016-02-01 00:00:00.000,82.56813,2016-11-01 00:00:00.000,82.89,0.0039,1416.36,0.0039,"4400",363299.78,2304518.42,192,7.38,-0.0023,0.0417,"2/0"
"EDV","Long",2016-02-01 00:00:00.000,128.8987,2016-11-01 00:00:00.000,126.69,-0.0171,-6228.53,-0.0171,"2820",363494.38,2298289.88,192,-32.44,-0.0055,0.1908,"2/0"
"BNDX","Long",2016-02-01 00:00:00.000,54.60459,2016-11-01 00:00:00.000,55.11,0.0093,3371.08,0.0093,"6670",364212.59,2301660.97,192,17.56,-0.0034,0.0502,"2/0"
"PFXF","Long",2016-03-01 00:00:00.000,20.12601,2016-11-01 00:00:00.000,20.22,0.0047,1044.23,0.0047,"11110",223600,2302705.2,172,6.07,-0.0082,0.1118,"1/0"
"BIL","Long",2016-02-01 00:00:00.000,91.41317,2017-01-03 00:00:00.000,91.43999,0.0003,180.36,0.0003,"6730",615210.63,2286000.76,234,0.77,-0.0002,0.0013,"4/0"
"PDBC","Long",2016-10-03 00:00:00.000,17.48885,2017-02-01 00:00:00.000,17.27,-0.0125,-6329.14,-0.0125,"28920",505777.41,2279671.62,84,-75.35,-0.0464,0.0573,"3/0"
"XME","Long",2016-03-01 00:00:00.000,26.33177,2017-04-03 00:00:00.000,30.51,0.1587,119831.64,0.1587,"28680",755195.13,2399503.25,276,434.17,-0.0294,1.07,"5/0"
"VBR","Long",2016-12-01 00:00:00.000,121.6634,2017-06-01 00:00:00.000,120.81,-0.007,-3370.93,-0.007,"3950",480570.31,2396132.32,125,-26.97,-0.008,0.065,"3/0"
"FDL","Long",2016-12-01 00:00:00.000,28.05999,2017-07-03 00:00:00.000,28.17,0.0039,2410.32,0.0039,"21910",614794.38,2398542.64,147,16.4,-0.0088,0.0839,"4/0"
"XLP","Long",2017-04-03 00:00:00.000,55.46309,2017-09-01 00:00:00.000,54.82,-0.0116,-2495.19,-0.0116,"3880",215196.8,2396047.45,107,-23.32,-0.0146,0.0494,"1/0"
"MUB","Long",2017-04-03 00:00:00.000,109.7375,2017-11-01 00:00:00.000,110.56,0.0075,2919.88,0.0075,"3550",389568,2398967.33,149,19.6,-0.0006,0.0266,"2/0"
"EWW","Long",2017-04-03 00:00:00.000,52.1529,2017-11-01 00:00:00.000,50.39,-0.0338,-11917.2,-0.0338,"6760",352553.63,2387050.13,149,-79.98,-0.025,0.1284,"2/0"
"XLB","Long",2016-12-01 00:00:00.000,52.7508,2018-04-02 00:00:00.000,56.75,0.0758,39712.06,0.0758,"9930",523815.41,2426762.18,334,118.9,-0.0122,0.2806,"4/0"
"RSP","Long",2016-12-01 00:00:00.000,90.3895,2018-04-02 00:00:00.000,99.28,0.0984,51387.09,0.0984,"5780",522451.28,2478149.27,334,153.85,-0.0079,0.2486,"3/0"
"VB","Long",2016-12-01 00:00:00.000,134.6826,2018-04-02 00:00:00.000,146.57,0.0883,57653.89,0.0883,"4850",653210.63,2535803.16,334,172.62,-0.0129,0.2183,"4/0"
"XLI","Long",2016-12-01 00:00:00.000,65.31056,2018-04-02 00:00:00.000,74.07,0.1341,57111.29,0.1341,"6520",425824.88,2592914.45,334,170.99,-0.0082,0.2947,"3/0"
"XLV","Long",2017-04-03 00:00:00.000,75.31985,2018-04-02 00:00:00.000,81.06001,0.0762,19745.94,0.0762,"3440",259100.3,2612660.39,251,78.67,-0.0172,0.2331,"1/0"
"XSOE","Long",2017-02-01 00:00:00.000,29.48853,2018-05-01 00:00:00.000,31.13,0.0557,15068.69,0.0557,"9180",270704.69,2627729.09,314,47.99,0,0.5348,"4/0"
"EWW","Long",2018-04-02 00:00:00.000,51.14967,2018-06-01 00:00:00.000,45.16,-0.1171,-32523.91,-0.1171,"5430",277742.72,2595205.18,44,-739.18,-0.1313,0.0722,"1/0"
"PDBC","Long",2017-08-01 00:00:00.000,17.62318,2018-08-01 00:00:00.000,17.83,0.0117,6430.03,0.0117,"31090",547904.81,2592078.11,253,25.42,-0.0282,0.1898,"4/0"
"BNDX","Long",2018-04-02 00:00:00.000,54.59353,2018-10-01 00:00:00.000,54.43,-0.003,-2083.37,-0.003,"12740",695521.63,2589994.74,128,-16.28,-0.0113,0.0059,"4/0"
"MUB","Long",2018-06-01 00:00:00.000,108.67,2018-10-01 00:00:00.000,107.66,-0.0093,-3878.4,-0.0093,"3840",417292.81,2586116.34,85,-45.63,-0.0087,0.0074,"2/0"
"EDV","Long",2018-06-01 00:00:00.000,112.8794,2018-10-01 00:00:00.000,107.93,-0.0438,-18312.78,-0.0438,"3700",417653.81,2567803.56,85,-215.44,-0.051,0.0315,"2/0"
"XLY","Long",2016-12-01 00:00:00.000,89.77739,2018-11-01 00:00:00.000,105.8,0.1785,132026.22,0.1785,"8240",739765.69,2699829.79,484,272.78,-0.0077,0.4445,"5/0"
"VNQ","Long",2018-06-01 00:00:00.000,80.49885,2018-11-01 00:00:00.000,78.38,-0.0263,-14704.47,-0.0263,"6940",558662,2685125.31,108,-136.15,-0.0408,0.0758,"3/0"
"XLE","Long",2018-06-01 00:00:00.000,76.14858,2018-11-01 00:00:00.000,67.3,-0.1162,-32562.85,-0.1162,"3680",280226.78,2652562.47,108,-301.51,-0.1561,0.0273,"1/0"
"VBR","Long",2018-06-01 00:00:00.000,137.3604,2018-11-01 00:00:00.000,127.12,-0.0746,-36353.42,-0.0746,"3550",487629.53,2616209.05,108,-336.61,-0.1027,0.0507,"3/0"
"VB","Long",2018-06-01 00:00:00.000,159.6035,2018-11-01 00:00:00.000,146.68,-0.081,-22616.12,-0.081,"1750",279306.19,2593592.92,108,-209.41,-0.0973,0.0637,"1/0"
"XLK","Long",2018-06-01 00:00:00.000,73.005,2018-11-01 00:00:00.000,69.4,-0.0494,-13843.2,-0.0494,"3840",280339.19,2579749.72,108,-128.18,-0.0679,0.0838,"1/0"
"PFXF","Long",2018-07-02 00:00:00.000,19.41416,2018-11-01 00:00:00.000,18.66,-0.0388,-10950.4,-0.0388,"14520",281893.59,2568799.32,87,-125.87,-0.0462,0.0174,"2/0"
"XSOE","Long",2019-02-01 00:00:00.000,28.17968,2019-06-03 00:00:00.000,27.29,-0.0316,-8265.13,-0.0316,"9290",261789.2,2516849.79,84,-98.39,-0.0513,0.0805,"1/0"
"ESGE","Long",2019-02-01 00:00:00.000,33.915,2019-06-03 00:00:00.000,32.82,-0.0323,-8453.4,-0.0323,"7720",261823.81,2508396.39,84,-100.64,-0.0634,0.0484,"1/0"
"GLD","Long",2018-12-03 00:00:00.000,121.483,2019-12-02 00:00:00.000,137.32,0.1304,68099.1,0.1304,"4300",522376.91,2576495.49,251,271.31,-0.0026,0.2592,"3/0"
"PFXF","Long",2019-02-01 00:00:00.000,19.10988,2019-12-02 00:00:00.000,19.9,0.0413,10848.35,0.0413,"13730",262378.63,2587343.84,211,51.41,-0.0111,0.07,"3/0"
"BNDX","Long",2019-02-01 00:00:00.000,55.32018,2019-12-02 00:00:00.000,57.97,0.0479,18946.21,0.0479,"7150",395539.31,2606290.05,211,89.79,-0.0013,0.0826,"2/0"
"BND","Long",2019-01-02 00:00:00.000,80.63684,2020-01-02 00:00:00.000,83.98,0.0415,22098.55,0.0415,"6610",533009.5,2628388.6,253,87.35,-0.0018,0.0759,"3/0"
"EDV","Long",2019-01-02 00:00:00.000,117.9867,2020-01-02 00:00:00.000,131.47,0.1143,60809.68,0.1143,"4510",532120.19,2689198.29,253,240.35,-0.0316,0.3169,"3/0"
"MUB","Long",2019-01-02 00:00:00.000,110.4148,2020-01-02 00:00:00.000,114.01,0.0326,17292.91,0.0326,"4810",531095.31,2706491.2,253,68.35,-0.0027,0.0589,"3/0"
"BIL","Long",2019-02-01 00:00:00.000,91.44692,2020-01-02 00:00:00.000,91.45,0,12.8,0,"4130",377675.78,2706504,232,0.06,-0.0007,0.0017,"2/0"
"XME","Long",2019-12-02 00:00:00.000,28.59634,2020-02-03 00:00:00.000,24.94,-0.1279,-36307.46,-0.1279,"9930",283961.69,2670196.54,43,-844.36,-0.1052,0.0739,"1/0"
"XLC","Long",2019-02-01 00:00:00.000,50.4967,2020-03-02 00:00:00.000,51.29,0.0157,10780.95,0.0157,"13590",686250.19,2651134.29,272,39.64,-0.0239,0.2546,"5/0"
"XLY","Long",2019-02-01 00:00:00.000,117.1848,2020-03-02 00:00:00.000,116.18,-0.0086,-6993.41,-0.0086,"6960",815606.19,2644140.88,272,-25.71,-0.0138,0.2307,"5/0"
"VNQ","Long",2019-02-01 00:00:00.000,90.02621,2020-03-02 00:00:00.000,87.65,-0.0264,-18177.93,-0.0264,"7650",688700.56,2625962.95,272,-66.83,-0.0212,0.1944,"5/0"
"PFXF","Long",2020-01-02 00:00:00.000,20.3721,2020-03-02 00:00:00.000,19.07,-0.0639,-18086.17,-0.0639,"13890",282968.5,2607876.78,41,-441.13,-0.0559,0.0243,"1/0"
"MUB","Long",2020-02-03 00:00:00.000,116.1937,2020-04-01 00:00:00.000,111.76,-0.0382,-10463.53,-0.0382,"2360",274217.19,2597413.25,42,-249.13,-0.1345,0.0223,"1/0"
"BIL","Long",2020-02-03 00:00:00.000,91.51357,2020-07-01 00:00:00.000,91.53,0.0002,122.02,0.0002,"7440",680861,2593730.47,105,1.16,-0.0001,0.0494,"4/0"
"EDV","Long",2020-02-03 00:00:00.000,160.7496,2020-09-01 00:00:00.000,163.58,0.0176,14350.13,0.0176,"5070",815000.25,2608080.6,148,96.96,-0.0291,0.3309,"5/0"
"BND","Long",2020-02-03 00:00:00.000,87.06909,2020-11-02 00:00:00.000,87.56,0.0056,5419.54,0.0056,"11040",961242.75,2613500.13,191,28.37,-0.1024,0.0513,"6/0"
"PDBC","Long",2020-08-03 00:00:00.000,14.28911,2020-11-02 00:00:00.000,13.2,-0.0762,-8048.52,-0.0762,"7390",105596.5,2611758.21,65,-123.82,-0.044,0.0517,"1/0"
"GLD","Long",2020-01-02 00:00:00.000,151.5981,2020-12-01 00:00:00.000,169.76,0.1198,98255.88,0.1198,"5410",820145.44,2710014.09,232,423.52,-0.0538,0.3517,"5/0"
"BNDX","Open Long",2020-05-01 00:00:00.000,57.86462,2021-01-15 00:00:00.000,58.34,0.0082,8124.24,0.0082,"17090",988906.38,2717775.33,181,44.89,-0.0061,0.0257,"6/0"
"XLB","Open Long",2020-06-01 00:00:00.000,62.73801,2021-01-15 00:00:00.000,75.34,0.2009,132446.91,0.2009,"10510",659376.44,2850222.25,161,822.65,-0.0393,0.402,"4/0"
"XLY","Open Long",2020-06-01 00:00:00.000,139.3222,2021-01-15 00:00:00.000,165.8,0.19,105911.2,0.19,"4000",557288.88,2956133.45,161,657.83,-0.0195,0.3605,"3/0"
"XLC","Open Long",2020-06-01 00:00:00.000,61.68864,2021-01-15 00:00:00.000,65.29,0.0584,28522.77,0.0584,"7920",488574,2984656.22,161,177.16,-0.0365,0.2583,"4/0"
"XLE","Open Long",2020-12-01 00:00:00.000,37.78145,2021-01-15 00:00:00.000,42.75,0.1315,19228.29,0.1315,"3870",146214.2,3009439.71,33,582.68,-0.0289,0.1911,"1/0"
"PDBC","Open Long",2020-12-01 00:00:00.000,14.52088,2021-01-15 00:00:00.000,15.88,0.0936,13659.16,0.0936,"10050",145934.89,3022500.36,33,413.91,-0.01,0.1102,"1/0"
