Station Name,Ticket type,Passengers
Shepperton,Reduced,118256
Shepperton,Sesason,198038
Shiplake,Full,23312
Shiplake,Reduced,22102
Shiplake,Sesason,41286
Shipton,Full,1288
Shipton,Reduced,1314
Shipton,Sesason,1970
Sholing,Full,37190
Sholing,Reduced,31786
Sholing,Sesason,35090
Shoreham (Kent),Full,13920
Shoreham (Kent),Reduced,25408
Shoreham (Kent),Sesason,15754
Shoreham-By-Sea,Full,256152
Shoreham-By-Sea,Reduced,615532
Shoreham-By-Sea,Sesason,363530
Sittingbourne,Full,466970
Sittingbourne,Reduced,750194
Sittingbourne,Sesason,1006472
Slough,Full,1366064
Slough,Reduced,2144048
Slough,Sesason,2034208
Smallbrook Junction,Full,7120
Smallbrook Junction,Reduced,5550
Smallbrook Junction,Sesason,0
Snodland,Full,75276
Snodland,Reduced,84522
Snodland,Sesason,165524
Snowdown,Full,2492
Snowdown,Reduced,3890
Snowdown,Sesason,2218
Sole Street,Full,9404
Sole Street,Reduced,16438
Sole Street,Sesason,38496
Southampton Airport (Parkway),Full,582358
Southampton Airport (Parkway),Reduced,730428
Southampton Airport (Parkway),Sesason,358736
Southampton Central,Full,1538566
Southampton Central,Reduced,3563336
Southampton Central,Sesason,1436454
Southbourne,Full,41244
Southbourne,Reduced,74490
Southbourne,Sesason,60662
Southease,Full,6368
Southease,Reduced,11660
Southease,Sesason,134
Southwick,Full,83072
Southwick,Reduced,147740
Southwick,Sesason,62446
St.Denys,Full,103532
St.Denys,Reduced,105596
St.Denys,Sesason,84272
St.Leonards Warrior Square,Full,147322
St.Leonards Warrior Square,Reduced,410122
St.Leonards Warrior Square,Sesason,183482
Staines,Full,869750
Staines,Reduced,952072
Staines,Sesason,931634
Staplehurst,Full,115494
Staplehurst,Reduced,259846
Staplehurst,Sesason,461162
Stoke Mandeville,Full,66442
Stoke Mandeville,Reduced,73196
Stoke Mandeville,Sesason,174728
Stone Crossing,Full,45366
Stone Crossing,Reduced,32270
Stone Crossing,Sesason,117692
Stonegate,Full,26308
Stonegate,Reduced,60772
Stonegate,Sesason,93142
Stoneleigh,Full,310714
Stoneleigh,Reduced,312946
Stoneleigh,Sesason,377748
Strood,Full,286762
Strood,Reduced,408422
Strood,Sesason,376380
Sturry,Full,18096
Sturry,Reduced,31384
Sturry,Sesason,36612
Sunbury,Full,109678
Sunbury,Reduced,108508
Sunbury,Sesason,205428
Sunningdale,Full,232230
Sunningdale,Reduced,248148
Sunningdale,Sesason,170248
Sunnymeads,Full,13600
Sunnymeads,Reduced,15912
Sunnymeads,Sesason,12890
Swale,Full,2082
Swale,Reduced,1682
Swale,Sesason,976
Swanley,Full,411002
Swanley,Reduced,588534
Swanley,Sesason,463756
Swanscombe,Full,37746
Swanscombe,Reduced,51316
Swanscombe,Sesason,87380
Swanwick,Full,209470
Swanwick,Reduced,205278
Swanwick,Sesason,202042
Sway,Full,26904
Sway,Reduced,40238
Sway,Sesason,38510
Swaythling,Full,34958
Swaythling,Reduced,37400
Swaythling,Sesason,53592
Tackley,Full,5572
Tackley,Reduced,9740
Tackley,Sesason,5992
Tadworth,Full,84202
Tadworth,Reduced,82114
Tadworth,Sesason,93374
Taplow,Full,75972
Taplow,Reduced,86148
Taplow,Sesason,118824
Tattenham Corner,Full,65490
Tattenham Corner,Reduced,68154
Tattenham Corner,Sesason,98998
Teynham,Full,30528
Teynham,Reduced,46768
Teynham,Sesason,59518
Thames Ditton,Full,299844
Thames Ditton,Reduced,268602
Thames Ditton,Sesason,255884
Thatcham,Full,116204
Thatcham,Reduced,216240
Thatcham,Sesason,224132
Theale,Full,147328
Theale,Reduced,143232
Theale,Sesason,191744
Three Bridges,Full,627918
Three Bridges,Reduced,1113104
Three Bridges,Sesason,1328248
Three Oaks,Full,2598
Three Oaks,Reduced,4450
Three Oaks,Sesason,1048
Tilehurst,Full,93822
Tilehurst,Reduced,161666
Tilehurst,Sesason,293882
Tonbridge,Full,702442
Tonbridge,Reduced,1329054
Tonbridge,Sesason,2359688
Totton,Full,81284
Totton,Reduced,96084
Totton,Sesason,107756
Tunbridge Wells,Full,595516
Tunbridge Wells,Reduced,1354734
Tunbridge Wells,Sesason,1728974
Twyford,Full,316140
Twyford,Reduced,488182
Twyford,Sesason,607064
Uckfield,Full,53826
Uckfield,Reduced,106608
Uckfield,Sesason,290854
Upper Halliford,Full,28098
Upper Halliford,Reduced,24822
Upper Halliford,Sesason,72260
Upper Warlingham,Full,260230
Upper Warlingham,Reduced,302872
Upper Warlingham,Sesason,442664
Virginia Water,Full,193604
Virginia Water,Reduced,215802
Virginia Water,Sesason,166126
Wadhurst,Full,58322
Wadhurst,Reduced,146146
Wadhurst,Sesason,192746
Walmer,Full,43902
Walmer,Reduced,84186
Walmer,Sesason,93746
Walton-On-Thames,Full,731294
Walton-On-Thames,Reduced,793834
Walton-On-Thames,Sesason,1331582
Wanborough,Full,49166
Wanborough,Reduced,25498
Wanborough,Sesason,30454
Warblington,Full,8984
Warblington,Reduced,8960
Warblington,Sesason,8624
Wargrave,Full,22342
Wargrave,Reduced,18898
Wargrave,Sesason,48838
Warnham,Full,4490
Warnham,Reduced,3154
Warnham,Sesason,5400
Wateringbury,Full,14560
Wateringbury,Reduced,21238
Wateringbury,Sesason,20010
Wendover,Full,116560
Wendover,Reduced,129762
Wendover,Sesason,246090
West Byfleet,Full,328700
West Byfleet,Reduced,372422
West Byfleet,Sesason,683830
West Malling,Full,169452
West Malling,Reduced,297570
West Malling,Sesason,372934
West St Leonards,Full,25896
West St Leonards,Reduced,38564
West St Leonards,Sesason,51962
West Worthing,Full,113336
West Worthing,Reduced,311596
West Worthing,Sesason,250788
Westenhanger,Full,11396
Westenhanger,Reduced,18026
Westenhanger,Sesason,35178
Westgate-On-Sea,Full,32274
Westgate-On-Sea,Reduced,55386
Westgate-On-Sea,Sesason,78532
Weybridge,Full,801062
Weybridge,Reduced,620252
Weybridge,Sesason,896966
Whitchurch (Hampshire),Full,42688
Whitchurch (Hampshire),Reduced,68096
Whitchurch (Hampshire),Sesason,176608
Whitstable,Full,115982
Whitstable,Reduced,412828
Whitstable,Sesason,357208
Whyteleafe,Full,89688
Whyteleafe,Reduced,97448
Whyteleafe,Sesason,94134
Whyteleafe South,Full,44944
Whyteleafe South,Reduced,42426
Whyteleafe South,Sesason,50746
Winchelsea,Full,988
Winchelsea,Reduced,5358
Winchelsea,Sesason,2908
Winchester,Full,961730
Winchester,Reduced,1889134
Winchester,Sesason,2240716
Winchfield,Full,58646
Winchfield,Reduced,89362
Winchfield,Sesason,210928
Windsor & Eton Central,Full,357274
Windsor & Eton Central,Reduced,1071160
Windsor & Eton Central,Sesason,459664
Windsor & Eton Riverside,Full,404404
Windsor & Eton Riverside,Reduced,735450
Windsor & Eton Riverside,Sesason,266316
Winnersh,Full,126740
Winnersh,Reduced,145892
Winnersh,Sesason,222010
Winnersh Triangle,Full,157296
Winnersh Triangle,Reduced,103084
Winnersh Triangle,Sesason,171022
Witley,Full,70430
Witley,Reduced,53574
Witley,Sesason,147768
Wivelsfield,Full,84336
Wivelsfield,Reduced,142332
Wivelsfield,Sesason,217658
Woburn Sands,Full,9634
Woburn Sands,Reduced,17108
Woburn Sands,Sesason,19864
Woking,Full,2048330
Woking,Reduced,2416500
Woking,Sesason,3177246
Wokingham,Full,659452
Wokingham,Reduced,933268
Wokingham,Sesason,830856
Woldingham,Full,52320
Woldingham,Reduced,83020
Woldingham,Sesason,171158
Wolverton,Full,64720
Wolverton,Reduced,91736
Wolverton,Sesason,303748
Woolston,Full,52372
Woolston,Reduced,43476
Woolston,Sesason,59112
Worplesdon,Full,42358
Worplesdon,Reduced,22114
Worplesdon,Sesason,138814
Worthing,Full,430336
Worthing,Reduced,1171774
Worthing,Sesason,653052
Wraysbury,Full,33814
Wraysbury,Reduced,30746
Wraysbury,Sesason,38592
Wye,Full,43824
Wye,Reduced,78676
Wye,Sesason,98708
Yalding,Full,8106
Yalding,Reduced,10456
Yalding,Sesason,10598
