Entitlement Agency ID,PIM Link,Project name,Project address,Status,Entered status date,Total project units,Market rate units,Affordable units,TBD units,Applicant,Entitlement agency,Supervisor district,Environmental review type,Under Entitlement Review Start Date,Under Entitlement Review End Date,Entitled Start Date,Entitled End Date,Filed for Permits Start Date,Filed For Permits End Date,Under Construction Start Date,Under Construction End Date,Completed Construction Start Date
2016-001741PRJ,https://sfplanninggis.org/pim?search=2016-001741PRJ,140 South Van Ness Avenue,140 UNKNOWN 94103,Under construction,2017-04-19 00:00:00,1,1,,0,",",Planning,6,,,,,,2015-10-27 00:00:00,2017-04-19 00:00:00,2017-04-19 00:00:00,,
2013.1869,https://sfplanninggis.org/pim?search=2013.1869,1400 43RD AV,"1400 - 0 43RD AV, SAN FRANCISCO, CA 94122","Entitled, not yet filed for permits",2014-02-04 00:00:00,1,1,,0,"Thillard, Sabrina",Planning,,Categorical Exemption-Determination of Historic Resource,2013-12-23 00:00:00,2014-02-04 00:00:00,2014-02-04 00:00:00,,,,,,
2016-015989PRJ,https://sfplanninggis.org/pim?search=2016-015989PRJ,1400 - 1404 HYDE ST,1400 HYDE ST 94109,Under construction,2018-06-08 00:00:00,4,4,,0,"LLC, MARY YANG FAMILY LLC",Planning,3,,,,,,2016-12-01 00:00:00,2018-06-08 00:00:00,2018-06-08 00:00:00,,
2001.1177,https://sfplanninggis.org/pim?search=2001.1177,1401 UNDERWOOD AV,"1401 - 0 UNDERWOOD AV, SAN FRANCISCO, CA 94124","Entitled, not yet filed for permits",2002-03-27 00:00:00,1,1,,0,"Anderson, Welton",Planning,,,2001-12-20 00:00:00,2002-03-27 00:00:00,2002-03-27 00:00:00,,,,,,
2017-009193PRJ,https://sfplanninggis.org/pim?search=2017-009193PRJ,1401 MASON ST,1401 MASON ST 94133,"Entitled, filed for permits",2019-10-03 00:00:00,1,1,,0,"Perry, W. Charles",Planning,3,,2017-07-19 00:00:00,2018-02-07 00:00:00,2018-02-07 00:00:00,2019-10-03 00:00:00,2019-10-03 00:00:00,,,,
2018-013645PRJ,https://sfplanninggis.org/pim?search=2018-013645PRJ,1401 NORIEGA ST,1401 NORIEGA ST 94122,Under construction,2019-06-17 00:00:00,1,1,,0,Thousand Architects,Planning,4,,,,,,2018-09-20 00:00:00,2019-06-17 00:00:00,2019-06-17 00:00:00,,
2019-001612PRJ,https://sfplanninggis.org/pim?search=2019-001612PRJ,1404-1406 LEAVENWORTH ST,1404 LEAVENWORTH ST 94109,"Entitled, filed for permits",2019-10-29 00:00:00,2,2,,0,"Diamond, Matthew",Planning,3,,,,,,2019-10-29 00:00:00,,,,
2017-003205PRJ,https://sfplanninggis.org/pim?search=2017-003205PRJ,1405 15TH ST - Legalization,1405 15TH ST 94103,Under construction,2018-02-27 00:00:00,2,2,,0,"Mo, Matthew",Planning,9,,,,,,2017-02-03 00:00:00,2018-02-27 00:00:00,2018-02-27 00:00:00,,
2017-007788PRJ,https://sfplanninggis.org/pim?search=2017-007788PRJ,1405 15th Street - ADU,1405 15TH ST 94103,Under construction,2019-02-08 00:00:00,5,5,,0,Hood Thomas Architects,Planning,9,,,,,,2017-03-22 00:00:00,2019-02-08 00:00:00,2019-02-08 00:00:00,,
2015-006670PRJ,https://sfplanninggis.org/pim?search=2015-006670PRJ,1405-07 29th Ave,1405 29TH AVE 94122,Under construction,2016-12-22 00:00:00,1,1,,0,",",Planning,4,,,,,,2015-05-13 00:00:00,2016-12-22 00:00:00,2016-12-22 00:00:00,,
2017-012370PRJ,https://sfplanninggis.org/pim?search=2017-012370PRJ,1405 MCALLISTER ST,1405 MCALLISTER ST 94117,"Entitled, filed for permits",2017-06-09 00:00:00,1,1,,0,Santos and Urrutia Structural Engineers,Planning,5,,,,,,2017-06-09 00:00:00,,,,
1993.176,https://sfplanninggis.org/pim?search=1993.176,1408 Bacon St,"1408 - 0 BACON ST 0001, SAN FRANCISCO, CA 94134",Completed,1993-09-08 00:00:00,4,4,,0,"",Planning,,,,,,,1992-12-01 00:00:00,1993-02-16 00:00:00,1993-02-16 00:00:00,1993-09-08 00:00:00,1993-09-08 00:00:00
2007.0667,https://sfplanninggis.org/pim?search=2007.0667,1408 SHOTWELL ST,"1408 - 0 SHOTWELL ST, SAN FRANCISCO, CA 94110","Entitled, not yet filed for permits",2008-10-08 00:00:00,1,1,,0,"Aldrich, Sophie",Planning,,Categorical Exemption-Stamp,2007-06-11 00:00:00,2008-10-08 00:00:00,2008-10-08 00:00:00,,,,,,
2017-016373PRJ,https://sfplanninggis.org/pim?search=2017-016373PRJ,1408 HUDSON AVE,1408 HUDSON AVE 94124,Under construction,2018-11-15 00:00:00,2,2,,0,"Wallace, Ron",Planning,10,,,,,,2017-12-12 00:00:00,2018-11-15 00:00:00,2018-11-15 00:00:00,,
2001.0679,https://sfplanninggis.org/pim?search=2001.0679,1409 11TH AV,"1409 - 0 11TH AV, SAN FRANCISCO, CA 94122",Completed,2002-12-10 00:00:00,1,1,,0,"Lam, Helen",Planning,,,2001-06-29 00:00:00,2001-07-25 00:00:00,2001-07-25 00:00:00,2001-07-25 00:00:00,2001-07-25 00:00:00,2001-11-29 00:00:00,2001-11-29 00:00:00,2002-12-10 00:00:00,2002-12-10 00:00:00
2006.1102,https://sfplanninggis.org/pim?search=2006.1102,1409 SANCHEZ STREET,"1409 - 0 SANCHEZ ST, SAN FRANCISCO, CA 94131","Entitled, not yet filed for permits",2009-02-06 00:00:00,2,2,,0,"Swason, C. Steven",Planning,,Categorical Exemption-Certificate,2006-08-31 00:00:00,2009-02-06 00:00:00,2009-02-06 00:00:00,,,,,,
2008.1209,https://sfplanninggis.org/pim?search=2008.1209,1409 - 1411 SANCHEZ STREET,"1409 - 0 SANCHEZ ST, SAN FRANCISCO, CA 94131",Completed,2010-12-20 00:00:00,4,4,,0,"1411 Sanchez, LLC",Planning,,,,,,,2008-10-20 00:00:00,,,,2010-12-20 00:00:00
2017-006832PRJ,https://sfplanninggis.org/pim?search=2017-006832PRJ,1409 MASONIC AVE,1409 MASONIC AVE 94117,"Entitled, filed for permits",2017-05-23 00:00:00,1,1,,0,"Buscovich, Pat",Planning,8,,,,,,2017-05-23 00:00:00,,,,
2017-005226PRJ,https://sfplanninggis.org/pim?search=2017-005226PRJ,1409 SOUTH VAN NESS AVE,1409 SOUTH VAN NESS AVE 94110,"Entitled, filed for permits",2018-06-19 00:00:00,1,1,,0,Cumby Architecture,Planning,9,,2017-08-22 00:00:00,2018-06-19 00:00:00,2018-06-19 00:00:00,2018-06-19 00:00:00,2018-06-19 00:00:00,,,,
2001.0214,https://sfplanninggis.org/pim?search=2001.0214,141 HAMPSHIRE ST,"141 - 0 HAMPSHIRE ST NIT-A, SAN FRANCISCO, CA 94103",Completed,2001-06-26 00:00:00,2,2,,0,G.L. & A. Civil Engineers,Planning,,,,,,,1999-06-30 00:00:00,2000-09-12 00:00:00,2000-09-12 00:00:00,2001-06-26 00:00:00,2001-06-26 00:00:00
1998.467,https://sfplanninggis.org/pim?search=1998.467,141-143 RIVOLI ST,"141 - 0 RIVOLI ST, SAN FRANCISCO, CA 94117",Completed,1999-04-23 00:00:00,2,2,,0,Herzig & Berlese,Planning,,,,,,,1998-02-27 00:00:00,1998-05-07 00:00:00,1998-05-07 00:00:00,1999-04-23 00:00:00,1999-04-23 00:00:00
2004.0064,https://sfplanninggis.org/pim?search=2004.0064,141 WILLARD NORTH STREET,"141 - 0 WILLARD NORTH ST, SAN FRANCISCO, CA",Completed,2007-08-08 00:00:00,2,2,,0,Kotas/Pantaleoni Architects,Planning,,,2004-03-22 00:00:00,2004-05-03 00:00:00,2004-05-03 00:00:00,2004-05-03 00:00:00,2004-05-03 00:00:00,2006-03-31 00:00:00,2006-03-31 00:00:00,2007-08-08 00:00:00,2007-08-08 00:00:00
2004.0875,https://sfplanninggis.org/pim?search=2004.0875,141 PARNASSUS AV,"141 - 145 PARNASSUS AV, SAN FRANCISCO, CA 94117",Completed,2005-10-20 00:00:00,-2,-2,,0,Kerman/Morris Architects LLP,Planning,,,,,,,2004-05-26 00:00:00,2005-07-27 00:00:00,2005-07-27 00:00:00,2005-10-20 00:00:00,2005-10-20 00:00:00
2003.0521,https://sfplanninggis.org/pim?search=2003.0521,141 ALBION ST,"141 - 149 ALBION ST, SAN FRANCISCO, CA 94110","Entitled, not yet filed for permits",2003-08-27 00:00:00,5,5,,0,Topetcher Architecture,Planning,,,2003-05-08 00:00:00,2003-08-27 00:00:00,2003-08-27 00:00:00,,,,,,
2008.0726,https://sfplanninggis.org/pim?search=2008.0726,141 ALBION ST,"141 - 149 ALBION ST, SAN FRANCISCO, CA 94110",Completed,2015-01-08 00:00:00,9,9,,0,Kennerly Architecture & Planning,Planning,,Categorical Exemption-Certificate,2008-06-19 00:00:00,2009-10-16 00:00:00,2009-10-16 00:00:00,2010-06-04 00:00:00,2010-06-04 00:00:00,2012-03-01 00:00:00,2012-03-01 00:00:00,2015-01-08 00:00:00,2015-01-08 00:00:00
2018-001271PRJ,https://sfplanninggis.org/pim?search=2018-001271PRJ,141 LEXINGTON ST,141 LEXINGTON ST 94110,Under construction,2020-02-10 00:00:00,1,1,,0,", 141 LEXINGTON LLC",Planning,9,,,,,,2018-01-11 00:00:00,2020-02-10 00:00:00,2020-02-10 00:00:00,,
2019-021354PRJ,https://sfplanninggis.org/pim?search=2019-021354PRJ,141 Maynard Street,141 MAYNARD ST 94112,"Entitled, filed for permits",2019-11-15 00:00:00,1,1,,0,LSF Solutions,Planning,11,,,,,,2019-11-15 00:00:00,,,,
1992.545,https://sfplanninggis.org/pim?search=1992.545,1410 Felton St,"1410 - 0 FELTON ST, SAN FRANCISCO, CA 94134",Completed,1994-03-02 00:00:00,1,1,,0,"Lee, Kwan Yee",Planning,,,,,,,1992-07-22 00:00:00,1993-02-10 00:00:00,1993-02-10 00:00:00,1994-03-02 00:00:00,1994-03-02 00:00:00
2012.1448,https://sfplanninggis.org/pim?search=2012.1448,1410 JEFFERSON ST,"1410 - 0 JEFFERSON ST, SAN FRANCISCO, CA 94123","Entitled, not yet filed for permits",2013-10-17 00:00:00,1,1,,0,Architecture Studio,Planning,,Categorical Exemption-Determination of Historic Resource,2012-11-27 00:00:00,2013-10-17 00:00:00,2013-10-17 00:00:00,,,,,,
2000.1046,https://sfplanninggis.org/pim?search=2000.1046,1410-12 SOUTH VAN NESS AV,"1410 - 0 SOUTH VAN NESS AV, SAN FRANCISCO, CA",Completed,2000-11-15 00:00:00,8,8,,0,Herzig & Berlese,Planning,,,,,,,1998-07-02 00:00:00,,,,2000-11-15 00:00:00
2013.1085,https://sfplanninggis.org/pim?search=2013.1085,1411 Hudson Ave,"1411 - 0 HUDSON AV, SAN FRANCISCO, CA",Completed,2015-07-16 00:00:00,1,1,,0,Wing Lee Architects,Planning,,Categorical Exemption-Certificate,2013-08-08 00:00:00,2013-09-19 00:00:00,2013-09-19 00:00:00,2013-09-19 00:00:00,2013-09-19 00:00:00,2014-11-18 00:00:00,2014-11-18 00:00:00,2015-07-16 00:00:00,2015-07-16 00:00:00
2002.0963,https://sfplanninggis.org/pim?search=2002.0963,1411 NOE ST,"1411 - 0 NOE ST, SAN FRANCISCO, CA 94131","Entitled, not yet filed for permits",2003-02-20 00:00:00,1,1,,0,"Heuer, Jeffrey",Planning,,,2002-08-01 00:00:00,2003-02-20 00:00:00,2003-02-20 00:00:00,,,,,,
2019-006175PRJ,https://sfplanninggis.org/pim?search=2019-006175PRJ,1411 CHURCH ST,1411 CHURCH ST 94131,"Entitled, filed for permits",2012-06-04 00:00:00,1,1,,0,"Coll, Kathleen",Planning,8,,,,,,2012-06-04 00:00:00,,,,
2019-002886PRL,https://sfplanninggis.org/pim?search=2019-002886PRL,1411 FLORIDA ST,1411 FLORIDA ST 94110,Completed,2019-10-01 00:00:00,1,1,,0,", MEDA SMALL PROPERTIES LLC",Planning,9,,,,,,2019-03-08 00:00:00,2019-03-25 00:00:00,2019-03-25 00:00:00,2019-10-01 00:00:00,2019-10-01 00:00:00
2017-014686PRJ,https://sfplanninggis.org/pim?search=2017-014686PRJ,1411 FLORIDA ST,1411 FLORIDA ST 94110,Completed,2019-10-03 00:00:00,1,1,,0,"Ma, Dawn",Planning,9,,,,,,2017-09-22 00:00:00,2018-05-23 00:00:00,2018-05-23 00:00:00,2019-10-03 00:00:00,2019-10-03 00:00:00
2019-012802PRJ,https://sfplanninggis.org/pim?search=2019-012802PRJ,1412 Clayton,1412 CLAYTON ST 94114,"Entitled, filed for permits",2019-05-23 00:00:00,1,1,,0,"Larkin, Mark",Planning,8,,,,,,2019-05-23 00:00:00,,,,
2008.0439,https://sfplanninggis.org/pim?search=2008.0439,1413 NOE ST,"1413 - 0 NOE ST, SAN FRANCISCO, CA 94131","Entitled, filed for permits",2007-08-31 00:00:00,1,1,,0,"Joy, Robin",Planning,,,,,,,2007-08-31 00:00:00,,,,
2006.1519,https://sfplanninggis.org/pim?search=2006.1519,1413 NOE ST,"1413 - 0 NOE ST, SAN FRANCISCO, CA 94131","Entitled, not yet filed for permits",2008-05-01 00:00:00,1,1,,0,"Levy Art & Architecture, Inc.",Planning,,Categorical Exemption-Certificate,2006-12-20 00:00:00,2008-05-01 00:00:00,2008-05-01 00:00:00,,,,,,
2003.1188,https://sfplanninggis.org/pim?search=2003.1188,1414 ALABAMA ST,"1414 - 0 ALABAMA ST, SAN FRANCISCO, CA 94110","Entitled, not yet filed for permits",2004-06-10 00:00:00,1,1,,0,"Emming, Ingrid",Planning,,,2003-11-06 00:00:00,2004-06-10 00:00:00,2004-06-10 00:00:00,,,,,,
1999.295,https://sfplanninggis.org/pim?search=1999.295,1415 & 1405 INDIANA ST,"1415 - 0 INDIANA ST 0101, SAN FRANCISCO, CA 94124",Completed,2000-10-02 00:00:00,3,3,,0,"Wholey, Jack",Planning,,,,,,,1997-12-09 00:00:00,,,,2000-10-02 00:00:00
2000.247,https://sfplanninggis.org/pim?search=2000.247,1415 Shrader Street,"1415 - 0 SHRADER ST, SAN FRANCISCO, CA",Under construction,2001-12-17 00:00:00,1,1,,0,"Matsche, Leigh Ann Baugh",Planning,,,,,,,1999-12-01 00:00:00,2001-12-17 00:00:00,2001-12-17 00:00:00,,
2017-009988PRJ,https://sfplanninggis.org/pim?search=2017-009988PRJ,1415 CLAY ST,1415 CLAY ST 94109,"Entitled, filed for permits",2017-07-06 00:00:00,1,1,,0,", KAM SIN & WAI CHE Y NG REVOC TR",Planning,3,,,,,,2017-07-06 00:00:00,,,,
2019-022082PRJ,https://sfplanninggis.org/pim?search=2019-022082PRJ,1415 FOLSOM ST,1415 FOLSOM ST 94103,Under entitlement review,2019-12-02 00:00:00,8,8,,0,"Reuben, Junius & Rose, LLP",Planning,6,Community Plan-Determination,2019-12-02 00:00:00,,,,,,,,
2017-005228PRJ,https://sfplanninggis.org/pim?search=2017-005228PRJ,1415 SOUTH VAN NESS AVE,1415 SOUTH VAN NESS AVE 94110,"Entitled, not yet filed for permits",2018-07-26 00:00:00,1,1,,0,Cumby Architecture,Planning,9,,2017-08-22 00:00:00,2018-07-26 00:00:00,2018-07-26 00:00:00,2018-07-26 00:00:00,2018-07-26 00:00:00,,,,
2015-009945PRJ,https://sfplanninggis.org/pim?search=2015-009945PRJ,1418 Diamond Street,1418 DIAMOND ST 94131,"Entitled, filed for permits",2019-01-04 00:00:00,1,1,,0,Jason Kaldis Architect,Planning,8,Categorical Exemption-Determination of Historic Resource,2015-08-04 00:00:00,2015-09-30 00:00:00,2015-09-30 00:00:00,2019-01-04 00:00:00,2019-01-04 00:00:00,,,,
2016-015299PRJ,https://sfplanninggis.org/pim?search=2016-015299PRJ,1418 RHODE ISLAND ST,1418 RHODE ISLAND ST 94107,Completed,2018-09-20 00:00:00,4,4,,0,SIA Consulting,Planning,10,,,,,,2016-11-16 00:00:00,2018-05-10 00:00:00,2018-05-10 00:00:00,2018-09-20 00:00:00,2018-09-20 00:00:00
2006.1114,https://sfplanninggis.org/pim?search=2006.1114,1419 16TH AV,"1419 - 1421 16TH AV, SAN FRANCISCO, CA 94122",Completed,2008-08-05 00:00:00,1,1,,0,"Scally, Michael",Planning,,,,,,,2006-05-17 00:00:00,,,,2008-08-05 00:00:00
2015-000173PRJ,https://sfplanninggis.org/pim?search=2015-000173PRJ,1419 FUNSTON AVE,1419 FUNSTON AVE 94122,Under construction,2018-07-30 00:00:00,1,1,,0,",",Planning,7,,,,,,2014-07-01 00:00:00,2018-07-30 00:00:00,2018-07-30 00:00:00,,
2017-014230PRJ,https://sfplanninggis.org/pim?search=2017-014230PRJ,1419 LANE ST,1419 LANE ST 94124,Completed,2019-11-15 00:00:00,1,1,,0,"Treadwell, Kevin",Planning,10,,,,,,2017-08-31 00:00:00,2019-01-03 00:00:00,2019-01-03 00:00:00,2019-11-15 00:00:00,2019-11-15 00:00:00
1991.241,https://sfplanninggis.org/pim?search=1991.241,142 Edinburgh St,"142 - 0 EDINBURG ST, SAN FRANCISCO, CA 94112","Entitled, filed for permits",1990-05-30 00:00:00,1,1,,0,"Smithers, Robert & Wendy",Planning,,,,,,,1990-05-30 00:00:00,,,,
2008.1100,https://sfplanninggis.org/pim?search=2008.1100,142 SATURN ST,"142 - 0 SATURN ST, SAN FRANCISCO, CA 94114","Entitled, not yet filed for permits",2009-01-13 00:00:00,1,1,,0,"Cumby, David",Planning,,,2008-09-18 00:00:00,2009-01-13 00:00:00,2009-01-13 00:00:00,,,,,,
2016-016389PRJ,https://sfplanninggis.org/pim?search=2016-016389PRJ,142 CORTLAND AVE,142 CORTLAND AVE 94110,Completed,2017-12-22 00:00:00,1,1,,0,"TRUST, MANCUSO DODY M 1996 TRUST",Planning,9,,,,,,2016-12-16 00:00:00,2017-05-08 00:00:00,2017-05-08 00:00:00,2017-12-22 00:00:00,2017-12-22 00:00:00
2018-008519PRJ,https://sfplanninggis.org/pim?search=2018-008519PRJ,142 CORTLAND AVE,142 CORTLAND AVE 94110,"Entitled, not yet filed for permits",2018-10-26 00:00:00,2,2,,0,", MANCUSO DODY M 1996 TRUST",Planning,9,Categorical Exemption-Determination of Historic Resource,2018-09-14 00:00:00,2018-10-26 00:00:00,2018-10-26 00:00:00,,,,,,
2017-006813PRJ,https://sfplanninggis.org/pim?search=2017-006813PRJ,142 CORTLAND AVE,142 CORTLAND AVE 94110,Completed,2019-07-03 00:00:00,2,2,,0,Dominguez Associates,Planning,9,,,,,,2016-12-16 00:00:00,2018-04-10 00:00:00,2018-04-10 00:00:00,2019-07-03 00:00:00,2019-07-03 00:00:00
2016-008088PRJ,https://sfplanninggis.org/pim?search=2016-008088PRJ,1420 Jones St - ADUs (2),1420 JONES ST 94108,Under construction,2017-10-11 00:00:00,3,3,,0,"TRUST, YEE FAMILY TRUST",Planning,3,,,,,,2016-05-23 00:00:00,2017-10-11 00:00:00,2017-10-11 00:00:00,,
2018-011904PRJ,https://sfplanninggis.org/pim?search=2018-011904PRJ,1420 TARAVAL ST,1420 TARAVAL ST 94116,"Entitled, filed for permits",2020-02-06 00:00:00,3,3,,0,William Pashelinsky Architect,Planning,4,,2018-08-30 00:00:00,2020-02-06 00:00:00,2020-02-06 00:00:00,2020-02-06 00:00:00,2020-02-06 00:00:00,,,,
2013.1084,https://sfplanninggis.org/pim?search=2013.1084,1421 Hudson AVE,"1421 - 0 HUDSON AV, SAN FRANCISCO, CA",Completed,2015-07-16 00:00:00,1,1,,0,Wing Lee Architects,Planning,,Categorical Exemption-Certificate,2013-08-08 00:00:00,2013-09-19 00:00:00,2013-09-19 00:00:00,2013-09-19 00:00:00,2013-09-19 00:00:00,2014-11-18 00:00:00,2014-11-18 00:00:00,2015-07-16 00:00:00,2015-07-16 00:00:00
2017-004788PRJ,https://sfplanninggis.org/pim?search=2017-004788PRJ,1421 10TH AVE,1421 10TH AVE 94122,Under construction,2019-03-07 00:00:00,5,5,,0,", NAM INVESTMENTS",Planning,7,,,,,,2017-03-09 00:00:00,2019-03-07 00:00:00,2019-03-07 00:00:00,,
2007.0209,https://sfplanninggis.org/pim?search=2007.0209,1422 WILLARD ST,"1422 - 0 WILLARD ST, SAN FRANCISCO, CA 94117","Entitled, not yet filed for permits",2007-06-25 00:00:00,2,2,,0,"Sheahan, Mary-Michael",Planning,,,2007-02-27 00:00:00,2007-06-25 00:00:00,2007-06-25 00:00:00,,,,,,
2006.1055,https://sfplanninggis.org/pim?search=2006.1055,1424 SILVER AV,"1424 - 0 SILVER AV, SAN FRANCISCO, CA 94134","Entitled, not yet filed for permits",2007-05-09 00:00:00,1,1,,0,Best Design & Construction Co.,Planning,,Categorical Exemption-Certificate,2006-08-31 00:00:00,2007-05-09 00:00:00,2007-05-09 00:00:00,,,,,,
2010.0061,https://sfplanninggis.org/pim?search=2010.0061,1424 SILVER AV,"1424 - 0 SILVER AV, SAN FRANCISCO, CA 94134","Entitled, not yet filed for permits",2010-04-28 00:00:00,1,1,,0,"Chan, Kenneth",Planning,,Categorical Exemption-Determination of Historic Resource Impact,2010-02-02 00:00:00,2010-04-28 00:00:00,2010-04-28 00:00:00,,,,,,
2018-012292PRJ,https://sfplanninggis.org/pim?search=2018-012292PRJ,1424 Valencia - ADU,1424 VALENCIA ST 94110,Under construction,2019-12-04 00:00:00,3,3,,0,Syncopated Architecture,Planning,8,,,,,,2018-09-26 00:00:00,2019-12-04 00:00:00,2019-12-04 00:00:00,,
2000.898,https://sfplanninggis.org/pim?search=2000.898,1425 SHOTWELL ST,"1425 - 0 SHOTWELL ST, SAN FRANCISCO, CA 94110","Entitled, not yet filed for permits",2001-02-23 00:00:00,1,1,,0,Slant Studio,Planning,,,2000-08-24 00:00:00,2001-02-23 00:00:00,2001-02-23 00:00:00,,,,,,
2019-002577PRL,https://sfplanninggis.org/pim?search=2019-002577PRL,1425 Irving - DU and commercial,1425 IRVING ST 94122,"Entitled, filed for permits",2018-10-24 00:00:00,1,1,,0,Sun Architecture,Planning,5,,,,,,2018-10-24 00:00:00,,,,
2008.1087,https://sfplanninggis.org/pim?search=2008.1087,1427 - 1429 SHRADER STREET,"1427 - 0 SHRADER ST, SAN FRANCISCO, CA 94117",Completed,2012-09-20 00:00:00,1,1,,0,Ken Linsteadt Architects,Planning,,Categorical Exemption-Determination of Historic Resource,2008-09-17 00:00:00,2009-01-20 00:00:00,2009-01-20 00:00:00,2009-01-20 00:00:00,2009-01-20 00:00:00,,,,2012-09-20 00:00:00
2018-002109PRJ,https://sfplanninggis.org/pim?search=2018-002109PRJ,1427 28TH AVE,1427 28TH AVE 94122,Completed,2019-04-03 00:00:00,1,1,,0,", CHAN DANNY HON BUN",Planning,4,,,,,,2018-02-02 00:00:00,2018-09-06 00:00:00,2018-09-06 00:00:00,2019-04-03 00:00:00,2019-04-03 00:00:00
2018-004032PRJ,https://sfplanninggis.org/pim?search=2018-004032PRJ,1428 STEINER ST,1428 STEINER ST 94115,Under construction,2019-01-24 00:00:00,1,1,,0,"Wyant, Gina",Planning,5,,,,,,2018-03-14 00:00:00,2019-01-24 00:00:00,2019-01-24 00:00:00,,
1995.253,https://sfplanninggis.org/pim?search=1995.253,1429 ALABAMA ST,"1429 - 0 ALABAMA ST, SAN FRANCISCO, CA 94110",Completed,1996-04-10 00:00:00,1,1,,0,"",Planning,,,1995-05-16 00:00:00,1995-06-21 00:00:00,1995-06-21 00:00:00,1995-06-21 00:00:00,1995-06-21 00:00:00,1995-10-23 00:00:00,1995-10-23 00:00:00,1996-04-10 00:00:00,1996-04-10 00:00:00
2000.869,https://sfplanninggis.org/pim?search=2000.869,1429 SHOTWELL ST,"1429 - 0 SHOTWELL ST, SAN FRANCISCO, CA 94110","Entitled, not yet filed for permits",2001-01-24 00:00:00,1,1,,0,"karen, anderson",Planning,,,2000-08-17 00:00:00,2001-01-24 00:00:00,2001-01-24 00:00:00,,,,,,
2013.1576,https://sfplanninggis.org/pim?search=2013.1576,143 LAIDLEY STREET,"143 - 0 LAIDLEY ST, SAN FRANCISCO, CA","Entitled, not yet filed for permits",2014-12-02 00:00:00,2,2,,0,"Doitel, Ofer & Noa",Planning,,Categorical Exemption-Certificate,2013-10-29 00:00:00,2014-12-02 00:00:00,2014-12-02 00:00:00,,,,,,
2017-009348PRJ,https://sfplanninggis.org/pim?search=2017-009348PRJ,143 CORBETT AVE,143 CORBETT AVE 94114,Under construction,2020-02-26 00:00:00,2,2,,0,"Cruz, Mark",Planning,8,Categorical Exemption-Stamp,2017-07-20 00:00:00,2019-03-19 00:00:00,2019-03-19 00:00:00,2019-03-19 00:00:00,2019-03-19 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,,
1990.083,https://sfplanninggis.org/pim?search=1990.083,1430 17th Ave,"1430 - 0 17TH AV 0001, SAN FRANCISCO, CA 94122","Entitled, not yet filed for permits",1990-07-26 00:00:00,3,3,,0,"",Planning,,,1990-02-09 00:00:00,1990-07-26 00:00:00,1990-07-26 00:00:00,,,,,,
2019-013950PRJ,https://sfplanninggis.org/pim?search=2019-013950PRJ,1430 LEAVENWORTH ST,1430 LEAVENWORTH ST 94109,"Entitled, filed for permits",2019-08-14 00:00:00,3,3,,0,Syncopated Architecture,Planning,3,Categorical Exemption-Stamp,2019-07-15 00:00:00,2019-08-14 00:00:00,2019-08-14 00:00:00,2019-08-14 00:00:00,2019-08-14 00:00:00,,,,
2019-020518PRJ,https://sfplanninggis.org/pim?search=2019-020518PRJ,1430 Pacific Avenue,1430 PACIFIC AVE 94109,"Entitled, filed for permits",2019-10-29 00:00:00,1,1,,0,Ice Design Inc.,Planning,3,,,,,,2019-10-29 00:00:00,,,,
2020-000127PRJ,https://sfplanninggis.org/pim?search=2020-000127PRJ,1431 6th Avenue,1431 06TH AVE 94122,"Entitled, filed for permits",2020-01-10 00:00:00,1,1,,0,B&B Contractors Services LLC,Planning,5,,,,,,2020-01-10 00:00:00,,,,
2015-018213PRJ,https://sfplanninggis.org/pim?search=2015-018213PRJ,1431 Grove Street,1431 GROVE ST 94117,Completed,2018-03-29 00:00:00,2,2,,0,", LORAINE E BROWN REVOC TRUST",Planning,5,,,,,,2015-11-20 00:00:00,2016-10-04 00:00:00,2016-10-04 00:00:00,2018-03-29 00:00:00,2018-03-29 00:00:00
2014.0272,https://sfplanninggis.org/pim?search=2014.0272,1432 GROVE ST,"1432 - 1434 GROVE ST, SAN FRANCISCO, CA 94117","Entitled, not yet filed for permits",2014-02-21 00:00:00,3,3,,0,TKA,Planning,,Categorical Exemption-Determination of Historic Resource,2014-02-19 00:00:00,2014-02-21 00:00:00,2014-02-21 00:00:00,,,,,,
2011.0852,https://sfplanninggis.org/pim?search=2011.0852,1434 LA PLAYA,"1434 - 0 LA PLAYA, SAN FRANCISCO, CA 94122","Entitled, not yet filed for permits",2012-04-04 00:00:00,1,1,,0,"Jalalian, Armen",Planning,,Categorical Exemption-Determination of Historic Resource,2011-08-05 00:00:00,2012-04-04 00:00:00,2012-04-04 00:00:00,,,,,,
2017-001223PRJ,https://sfplanninggis.org/pim?search=2017-001223PRJ,1435 LARKIN ST,1435 LARKIN ST 94109,Under construction,2019-12-18 00:00:00,4,4,,0,William Pashelinsky Architect,Planning,3,,,,,,2017-01-24 00:00:00,2019-12-18 00:00:00,2019-12-18 00:00:00,,
2004.0419,https://sfplanninggis.org/pim?search=2004.0419,1438 JACKSON ST,"1436 - 0 JACKSON ST, SAN FRANCISCO, CA 94109","Entitled, not yet filed for permits",2005-01-18 00:00:00,2,2,,0,John Schlesinger Architect,Planning,,,2004-05-26 00:00:00,2005-01-18 00:00:00,2005-01-18 00:00:00,,,,,,
