Country,State,District,Revenue,Manufacturer
USA,NM,District #39,72593.5875,VanArsdel
Japan,Ishikawaken,Kanazawashi,72152.325,VanArsdel
USA,MT,District #33,71980.44,Natura
USA,SD,District #32,71964.5325,Aliqui
Australia,Northern Territory,,71256.15,Aliqui
USA,MD,District #05,71234.9925,VanArsdel
USA,TX,District #39,71219.0325,Aliqui
Australia,Western Australia,STIRLING,71195.7225,Pirum
Australia,Victoria,DANDENONG,71151.15,Natura
Australia,South Australia,SA CITY SUBS,71035.545,Aliqui
Japan,Hiroshimaken,Fukuyamashi,70851.6375,Natura
Australia,Tasmania,,70390.4775,Pirum
Japan,Tokushimaken,Narutoshi,70074.795,Aliqui
Japan,Fukushimaken,Dategundatemachi,69219.045,Aliqui
Australia,Victoria,MELBOURNE CITY,69184.92,Currus
Australia,Western Australia,,69014.4525,Natura
Australia,Queensland,UNDERWOOD SOUTH,68762.19,Pirum
USA,IN,District #31,68287.065,Currus
Mexico,Distrito Federal,Cuajimalpa de Morelos,68274.7,Natura
Japan,Fukushimaken,Fukushimashi,68223.1725,Pirum
Australia,South Australia,SA CITY SUBS,67948.8075,Natura
Canada,Alberta,,67773.8775,Pirum
Australia,Western Australia,TANGNEY,67702.215,Pirum
Japan,Hiroshimaken,Toyotagunsetodachou,67528.7025,Currus
Australia,Victoria,DANDENONG,67128.3375,Pirum
Mexico,Distrito Federal,Azcapotzalco,67040.95,Aliqui
Japan,Fukushimaken,Dategunyanagawamachi,66605.07,Natura
Australia,Queensland,NORTHGATE CENT,66473.9775,Pirum
Australia,Tasmania,,66458.07,Aliqui
Japan,Tokushimaken,Narutoshi,65885.82,Natura
Australia,Queensland,UNDERWOOD CENT,65754.57,Natura
Canada,Alberta,,65675.6625,Natura
Germany,Hamburg,,65568.73,Pirum
Japan,Yamaguchiken,Shimonosekishi,65408.175,Natura
Australia,Victoria,RINGWOOD,65269.1025,Pirum
Japan,Tokushimaken,Narutoshi,64804.4775,Pirum
USA,CT,District #02,64538.25,VanArsdel
Australia,Victoria,VIC COUNTRY,64305.57,Aliqui
USA,AL,District #24,64190.385,Natura
Japan,Fukushimaken,Dategunyanagawamachi,64190.1225,Aliqui
Australia,Queensland,UNDERWOOD CENT,63870.03,Aliqui
Australia,New South Wales,WARRINGAH,63668.4825,Pirum
USA,OK,District #22,63418.4775,Natura
Canada,Alberta,,63008.9775,Aliqui
Australia,Victoria,HAWTHORN,62970.81,Pirum
Australia,Queensland,NORTH QLD,62510.28,Aliqui
Germany,Berlin,,62416.1,Pirum
Australia,Victoria,FOOTSCRAY,62064.03,Aliqui
USA,AK,District #34,61538.925,Pirum
Australia,Queensland,SUNSHINE MT ISA,61471.83,Pirum
Japan,Hiroshimaken,Onomichishi,61281.78,Aliqui
Australia,South Australia,SA CITY SUBS,61174.995,Pirum
Australia,New South Wales,SYDNEY STREETS,60911.6025,Currus
Australia,Western Australia,STIRLING,60583.845,Natura
Australia,Queensland,NORTH QLD,60326.7,Natura
Japan,Hiroshimaken,Onomichishi,60037.845,Natura
USA,IN,District #17,59631.8625,VanArsdel
Australia,Queensland,UNDERWOOD SOUTH,59607.45,Natura
Australia,Victoria,DANDENONG,59533.74,Aliqui
Australia,Victoria,HAWTHORN,59423.805,Natura
Australia,New South Wales,PENRITH,59280.2175,Pirum
USA,SD,District #32,58888.4625,Pirum
Australia,New South Wales,ILLAWARRA,58688.8575,Natura
Australia,Western Australia,BRAND,57841.9275,Pirum
USA,NJ,District #03,57753.675,VanArsdel
Japan,Yamaguchiken,Shimonosekishi,57623.5275,Aliqui
USA,WV,District #07,57383.7075,Currus
Australia,New South Wales,RICHMOND,56950.005,Pirum
USA,WV,District #13,56867.3175,Natura
Japan,Hiroshimaken,Miharashi,56764.26,Currus
Japan,Yamaguchiken,Iwakunishi,56436.7125,Pirum
Japan,Yamaguchiken,Hikarishi,56354.865,Currus
Australia,Victoria,PRESTON,56309.0325,Pirum
Canada,British Columbia,,56200.515,Natura
Japan,Yamaguchiken,Iwakunishi,56132.055,Aliqui
Australia,Queensland,UNDERWOOD CENT,56112.5775,Pirum
Japan,Hiroshimaken,Onomichishi,55736.4675,Pirum
USA,OK,District #22,55265.9625,Currus
Australia,Victoria,FOOTSCRAY,55085.9925,Pirum
Australia,Northern Territory,,54968.6025,Pirum
Japan,Yamaguchiken,Iwakunishi,54956.4225,Natura
USA,AL,District #24,54918.15,Pirum
Japan,Fukushimaken,Dategunyanagawamachi,54670.6125,Pirum
Mexico,Distrito Federal,Cuajimalpa de Morelos,54394.9,Aliqui
USA,DE,District #05,54305.055,Currus
Australia,Northern Territory,,54158.685,Natura
Japan,Tokushimaken,Ananshi,53761.6275,Currus
Australia,Victoria,MOORABBIN,53759.5275,Currus
Australia,New South Wales,ILLAWARRA,53670.1725,Aliqui
Australia,New South Wales,VIC FAR COUNTRY,53525.4825,Currus
Australia,Victoria,MELBOURNE CITY,53297.6325,Aliqui
Australia,Victoria,MULGRAVE,53003.7375,Natura
USA,WI,District #31,52825.2375,Natura
Australia,Victoria,FOOTSCRAY,52783.2375,Natura
Nigeria,Kano,NULL,52669.49,VanArsdel
USA,KY,District #25,52460.1,Currus
Australia,Victoria,MELBOURNE CITY,51743.8425,Natura
Japan,Ishikawaken,Ishikawaguntsurugimachi,51662.1,Currus
USA,SD,District #32,51208.29,Natura
Japan,Fukushimaken,Dategunhobaramachi,51124.2375,Aliqui
Japan,Yamaguchiken,Kudamatsushi,50979.705,Currus
USA,WY,District #32,50801.0475,Currus
Canada,Manitoba,,50257.2525,Pirum
Japan,Yamaguchiken,Yanaishi,50074.5525,Natura
Japan,Ishikawaken,Kahokugun'Uchinadamachi,49822.0275,Currus
Canada,British Columbia,,49817.0925,Aliqui
Mexico,Distrito Federal,Iztacalco,49379.47,Pirum
Mexico,Distrito Federal,Iztacalco,48667.85,Natura
USA,NM,District #22,48567.54,Currus
Australia,New South Wales,BANKSTOWN,48289.815,Natura
Australia,Victoria,VIC COUNTRY,48193.425,Pirum
Japan,Ishikawaken,Kagashi,48118.56,Currus
USA,TX,District #25,48068.8425,Currus
USA,MS,District #19,47822.1975,Currus
Japan,Yamaguchiken,Kugagunkugachou,47703.81,Currus
Australia,New South Wales,LEICHHARDT,47643.96,Natura
Japan,Ishikawaken,Ishikawaguntorigoemura,47588.3625,Currus
Japan,Tokushimaken,Nakagunnakagawachou,47481.3675,Natura
Australia,Victoria,VIC COUNTRY,47381.6175,Natura
Australia,New South Wales,ILLAWARRA,47287.8525,Pirum
Mexico,Distrito Federal,La Magdalena Contreras,47067.99,Pirum
USA,WY,District #20,46888.0125,Aliqui
Germany,Berlin,,46629.61,VanArsdel
Mexico,Distrito Federal,Cuajimalpa de Morelos,46352.89,Pirum
USA,WI,District #28,46011.105,Aliqui
USA,MA,District #02,45611.1075,VanArsdel
Australia,Queensland,NORTH QLD,45610.425,Pirum
USA,OR,District #34,45176.25,VanArsdel
USA,NV,District #38,45165.12,VanArsdel
Australia,New South Wales,PENRITH,44835.525,Natura
Australia,New South Wales,BANKSTOWN,44835.4725,Aliqui
Australia,New South Wales,RICHMOND,44719.7625,Aliqui
USA,WI,District #31,44646.42,Aliqui
USA,MS,District #25,44510.025,Natura
Japan,Yamaguchiken,Ooshimagun'Ooshimachou,44452.17,Currus
Germany,Hamburg,,44388.64,VanArsdel
USA,MS,District #25,44377.4625,Pirum
USA,LA,District #24,43743,VanArsdel
Mexico,Distrito Federal,Iztacalco,43476,Aliqui
Japan,Hiroshimaken,Mitsugigunmitsugichou,43423.065,Currus
Japan,Fukushimaken,Dategunhobaramachi,43232.6475,Pirum
Mexico,Distrito Federal,La Magdalena Contreras,42709.8,Natura
USA,CT,District #03,42654.045,Currus
Australia,New South Wales,RICHMOND,42609.6825,Natura
Australia,New South Wales,BANKSTOWN,41752.2525,Pirum
Australia,New South Wales,PENRITH,41696.2875,Aliqui
Japan,Fukushimaken,Dategunhobaramachi,41654.2875,Natura
USA,KY,District #25,41502.1425,Natura
Japan,Fukushimaken,Dategunkawamatamachi,41370.4725,Currus
Canada,British Columbia,,41170.5525,Pirum
USA,TX,District #21,41055.6825,Currus
Australia,Victoria,MELBOURNE CITY,40960.1325,Pirum
Japan,Hiroshimaken,Toyotagunsetodachou,40652.1675,Aliqui
USA,OK,District #22,40625.6025,Aliqui
Japan,Yamaguchiken,Shimonosekishi,40537.245,Pirum
Japan,Tokushimaken,Ananshi,40415.55,Natura
Australia,Queensland,GOLD COAST,40312.7025,Currus
USA,WY,District #20,40037.13,Currus
USA,WV,District #07,39916.7475,Natura
USA,IN,District #31,39733.1025,Aliqui
Canada,Manitoba,,39612.3525,Natura
Australia,New South Wales,SYDNEY STREETS,39186.9975,Natura
Japan,Tokushimaken,Nakagunkaminakachou,38895.5175,Currus
USA,DC,District #07,38819.7075,Currus
Nigeria,Lagos,NULL,38028.76,VanArsdel
Japan,Ishikawaken,Kagashi,37592.5725,Pirum
Japan,Fukushimaken,Shirakawashi,37414.86,VanArsdel
USA,KY,District #25,37127.685,Pirum
USA,MO,District #25,36903.3,Currus
Japan,Yamaguchiken,Ooshimaguntachibanachou,36851.1675,Pirum
USA,NM,District #22,36829.9575,Aliqui
Mexico,Distrito Federal,La Magdalena Contreras,36467.8,Aliqui
USA,OK,District #25,36396.675,Currus
Japan,Yamaguchiken,Yanaishi,36383.7075,Aliqui
Australia,New South Wales,PYMBLE,36368.1675,Aliqui
USA,IN,District #25,36121.365,Natura
USA,IA,District #28,36053.0625,Natura
Australia,New South Wales,LEICHHARDT,35580.6675,Aliqui
USA,WY,District #32,35517.72,Aliqui
USA,WY,District #20,34957.9125,Pirum
Australia,New South Wales,SYDNEY STREETS,34840.6275,Aliqui
Japan,Yamaguchiken,Kugagunmiwachou,34764.135,Currus
Japan,Tokushimaken,Ananshi,34745.9175,Aliqui
USA,KY,District #15,34732.8975,Currus
USA,MN,District #32,34362.4575,Aliqui
Japan,Tokushimaken,Nakagunnakagawachou,34315.5225,Aliqui
USA,ID,District #33,34218.975,VanArsdel
Australia,New South Wales,PYMBLE,34218.3975,Currus
USA,AL,District #24,34126.5225,Aliqui
Japan,Ishikawaken,Ishikawaguntorigoemura,33948.2325,Natura
USA,AR,District #24,33755.505,Pirum
Japan,Hiroshimaken,Mitsugigunmitsugichou,33580.8375,Natura
Japan,Tokushimaken,Nakagunwajikichou,33496.995,Aliqui
USA,WY,District #32,33496.7325,Natura
USA,WV,District #13,33470.2725,Aliqui
Australia,New South Wales,TOOWOOMBA SE CNR,33362.91,Currus
USA,MS,District #25,33359.97,Aliqui
USA,SC,District #11,33085.5,VanArsdel
Australia,Victoria,MULGRAVE,33076.8375,Aliqui
USA,NM,District #22,32865.105,Pirum
USA,IA,District #32,32803.575,Aliqui
Australia,Victoria,MULGRAVE,32726.715,Pirum
USA,WV,District #13,32376.54,Pirum
USA,IN,District #31,32236.05,Pirum
Japan,Hiroshimaken,Miharashi,32100.39,Natura
Japan,Ishikawaken,Kagashi,32084.325,Aliqui
USA,MO,District #29,31888.7625,VanArsdel
Nigeria,Rivers ,NULL,31847.17,VanArsdel
USA,KY,District #15,31737.9825,Aliqui
Japan,Tokushimaken,Tokushimashi,31721.235,VanArsdel
USA,IN,District #25,31703.91,Currus
USA,WI,District #28,31596.39,Natura
USA,CT,District #03,31512.6,Natura
USA,IN,District #31,31360.2975,Natura
USA,IA,District #28,31354.7325,Aliqui
Japan,Tokushimaken,Nakagunnakagawachou,31195.9725,Pirum
Australia,New South Wales,LEICHHARDT,31152.03,Pirum
USA,AL,District #19,31055.0625,VanArsdel
USA,VT,District #01,30249.555,Currus
USA,OK,District #25,30113.895,Pirum
Japan,Yamaguchiken,Ooshimagun'Ooshimachou,29984.955,Aliqui
USA,AK,District #34,29931.3,VanArsdel
USA,WY,District #20,29360.1525,Natura
Japan,Hiroshimaken,Seragunserachou,29283.8175,Currus
Australia,Queensland,GOLD COAST,29275.995,Aliqui
Japan,Yamaguchiken,Yanaishi,29182.9125,Pirum
Japan,Yamaguchiken,Hikarishi,28987.4025,Natura
USA,MT,District #33,28960.8375,VanArsdel
USA,MS,District #19,28799.925,Pirum
USA,MO,District #25,28707.21,Pirum
USA,WI,District #27,28656.5475,VanArsdel
Japan,Tokushimaken,Itanogun'Aizumichou,28635.6,Currus
Mexico,Distrito Federal,Iztapalapa,28630.48,VanArsdel
Japan,Hiroshimaken,Miharashi,28620.0075,Aliqui
Japan,Ishikawaken,Kagashi,28525.455,Natura
Japan,Yamaguchiken,Kugagunkugachou,28377.0375,Pirum
Japan,Tokushimaken,Miyoshigun'Ikedachou,28317.8175,Currus
USA,IN,District #25,27716.85,Aliqui
Australia,Victoria,MOORABBIN,27538.56,Natura
Australia,New South Wales,TOOWOOMBA SE CNR,27522.9675,Natura
USA,OK,District #21,27114.0975,VanArsdel
USA,IN,District #25,27002.0625,Pirum
Japan,Hiroshimaken,Fukayasugunkannabechou,26965.1025,Pirum
Australia,Queensland,GOLD COAST,26782.7175,Natura
Japan,Yamaguchiken,Kugagunmiwachou,26703.8625,Aliqui
USA,NE,District #30,26399.625,VanArsdel
USA,MA,District #01,26365.08,Currus
USA,MA,District #01,26263.0725,Natura
USA,WI,District #28,26251.9425,Currus
USA,MN,District #32,26153.7675,Pirum
USA,IA,District #32,25753.35,Currus
Japan,Ishikawaken,Ishikawagun'Oguchimura,25407.3225,Currus
USA,TX,District #25,25144.7175,Natura
USA,MO,District #25,25029.375,Natura
Australia,Queensland,GOLD COAST,24892.245,Pirum
USA,TX,District #21,24587.01,Pirum
USA,AL,District #09,24395.7,VanArsdel
Japan,Fukushimaken,Dategunkawamatamachi,24388.9275,Natura
Australia,New South Wales,SYDNEY STREETS,24332.8575,Pirum
USA,UT,District #38,24283.9275,Natura
Japan,Yamaguchiken,Hikarishi,24178.98,Aliqui
Japan,Hiroshimaken,Innoshimashi,24123.8025,Currus
Japan,Tokushimaken,Ananshi,24117.555,Pirum
Japan,Tokushimaken,Itanogunkitajimachou,24039.8025,Currus
USA,KS,District #30,24022.95,VanArsdel
USA,WY,District #32,23939.1075,Pirum
USA,WI,District #31,23865.8175,Pirum
Japan,Ishikawaken,Ishikawaguntorigoemura,23847.3375,Pirum
USA,NV,District #35,23682.1725,VanArsdel
Japan,Yamaguchiken,Kugagunmiwachou,23624.4225,Pirum
Japan,Ishikawaken,Ishikawagunkawachimura,23585.625,Currus
USA,MN,District #32,23475.4275,Natura
Japan,Yamaguchiken,Ooshimaguntachibanachou,23470.5975,Aliqui
Japan,Tokushimaken,Itanogun'Aizumichou,23443.98,Aliqui
USA,TX,District #21,23417.6775,Aliqui
USA,IA,District #32,23380.98,Natura
USA,NH,District #02,23286.5325,Natura
Australia,Northern Territory,ALICE SPRINGS,23281.1775,Currus
Japan,Yamaguchiken,Hikarishi,23209.305,Pirum
USA,SD,District #32,23172.975,VanArsdel
Japan,Ishikawaken,Kahokugun'Uchinadamachi,23128.14,Pirum
Japan,Ishikawaken,Ishikawaguntorigoemura,23003.085,Aliqui
USA,NM,District #22,22997.835,Natura
Japan,Ishikawaken,Ishikawaguntsurugimachi,22950.69,Natura
Japan,Yamaguchiken,Kugagunmiwachou,22866.585,Natura
Japan,Ishikawaken,Ishikawaguntsurugimachi,22861.23,Aliqui
Japan,Yamaguchiken,Kumageguntabusechou,22651.125,Currus
USA,CT,District #03,22425.6375,Aliqui
Japan,Ishikawaken,Kahokugun'Uchinadamachi,22346.835,Aliqui
Japan,Yamaguchiken,Kugagunyuuchou,22225.8225,Currus
USA,AR,District #24,22191.96,Currus
USA,MO,District #21,22170.4875,VanArsdel
USA,NH,District #02,22097.145,Currus
USA,NH,District #02,21963.8475,Aliqui
Japan,Tokushimaken,Nakagun'Aioichou,21937.2825,Currus
Australia,New South Wales,PYMBLE,21852.81,Pirum
Canada,Manitoba,,21821.8875,Aliqui
Japan,Yamaguchiken,Kugagunkugachou,21743.1375,Aliqui
Japan,Tokushimaken,Miyoshigun'Ikedachou,21697.9875,Pirum
USA,WV,District #07,21600.4425,Pirum
Japan,Hiroshimaken,Miharashi,21427.0875,Pirum
Japan,Fukushimaken,Dategunkawamatamachi,21337.89,Pirum
Japan,Tokushimaken,Itanogunmatsushigechou,21273.2625,Currus
USA,IA,District #27,21263.1825,VanArsdel
Japan,Hiroshimaken,Mitsugigunmitsugichou,21102.6375,Aliqui
USA,WV,District #07,21092.19,Aliqui
USA,KY,District #25,21034.44,Aliqui
USA,MD,District #13,21028.98,Currus
USA,MN,District #32,20921.355,Currus
Australia,New South Wales,TOOWOOMBA SE CNR,20624.7825,Pirum
USA,TX,District #39,20438.775,VanArsdel
Japan,Hiroshimaken,Mitsugigunmitsugichou,20430.1125,Pirum
Australia,Australian Capital Territory,,20346.9525,Currus
Japan,Yamaguchiken,Shuunanshi,20302.5375,VanArsdel
USA,KY,District #16,20202.7875,VanArsdel
USA,TX,District #25,20093.5875,Pirum
USA,WI,District #31,20008.5375,VanArsdel
USA,TX,District #25,19921.545,Aliqui
Japan,Tokushimaken,Nakagunkaminakachou,19905.8475,Aliqui
Australia,New South Wales,PYMBLE,19900.7025,Natura
USA,IA,District #28,19889.415,Pirum
Mexico,Distrito Federal,Gustavo A Madero,19846.14,VanArsdel
Australia,Victoria,MOORABBIN,19806.0975,Aliqui
USA,MD,District #04,19782.42,Currus
Japan,Hiroshimaken,Fukayasugunkannabechou,19729.7625,Currus
Australia,New South Wales,VIC FAR COUNTRY,19569.165,Pirum
USA,OK,District #25,19533.045,Aliqui
Japan,Ishikawaken,Ishikawaguntsurugimachi,19406.205,Pirum
Japan,Hiroshimaken,Fuchuushi,19399.065,Currus
Japan,Hiroshimaken,Fukayasugunkannabechou,19370.295,Aliqui
Japan,Ishikawaken,Kahokugun'Uchinadamachi,19213.005,Natura
Japan,Fukushimaken,Dategunkawamatamachi,19155.3075,Aliqui
Australia,Victoria,MOORABBIN,19060.0725,Pirum
USA,MA,District #01,18976.65,Aliqui
USA,MO,District #30,18969.5625,VanArsdel
Japan,Yamaguchiken,Kudamatsushi,18834.9,Aliqui
USA,IA,District #29,18821.67,Currus
USA,UT,District #33,18712.575,VanArsdel
Japan,Hiroshimaken,Innoshimashi,18619.86,Natura
USA,OR,District #33,18532.92,Currus
Japan,Yamaguchiken,Kudamatsushi,18241.755,Natura
Japan,Tokushimaken,Nakagunkaminakachou,18189.3075,Natura
USA,DC,District #07,18136.65,Pirum
USA,TX,District #21,18115.9125,Natura
Australia,New South Wales,VIC FAR COUNTRY,18105.4125,Natura
USA,DC,District #07,17937.3075,Aliqui
USA,WY,District #33,17816.715,Aliqui
Japan,Ishikawaken,Ishikawagunkawachimura,17806.11,Aliqui
USA,KY,District #15,17705.835,Pirum
USA,KY,District #15,17674.86,Natura
Japan,Tokushimaken,Nakagunkitouson,17627.4525,Currus
Japan,Yamaguchiken,Kugagunyuuchou,17582.3025,Pirum
Japan,Yamaguchiken,Kugagun'Oobatakechou,17491.1625,Currus
Australia,Northern Territory,ALICE SPRINGS,17412.4125,Natura
Japan,Yamaguchiken,Kumageguntabusechou,17396.715,Natura
Japan,Tokushimaken,Nakagun'Aioichou,17128.9125,Aliqui
USA,TN,District #25,17106.8625,VanArsdel
USA,FL,District #09,17033.1,VanArsdel
USA,MO,District #25,17029.0575,Aliqui
USA,KS,District #21,16991.3625,VanArsdel
USA,UT,District #38,16981.965,Aliqui
Australia,New South Wales,VIC FAR COUNTRY,16945.215,Aliqui
Australia,Australian Capital Territory,,16861.2675,Natura
Japan,Hiroshimaken,Jinsekigunsanwachou,16771.86,Aliqui
Japan,Tokushimaken,Miyoshigun'Ikedachou,16677.3075,Aliqui
USA,VT,District #01,16514.7675,Natura
Japan,Hiroshimaken,Innoshimashi,16446.5175,Aliqui
USA,MA,District #01,16406.5125,Pirum
USA,MS,District #19,16367.61,Aliqui
Japan,Ishikawaken,Ishikawagunkawachimura,16315.3725,Natura
Japan,Tokushimaken,Myoudougunsanagouchison,16307.3925,Currus
Japan,Hiroshimaken,Seragunserachou,16283.82,Natura
Japan,Ishikawaken,Ishikawagunnonoichimachi,16262.5575,Currus
USA,IA,District #30,16225.3875,VanArsdel
USA,DC,District #07,16142.175,Natura
USA,OK,District #25,16110.57,Natura
Japan,Hiroshimaken,Fukuyamashi,15947.1375,VanArsdel
USA,DE,District #05,15941.7825,Pirum
USA,IA,District #29,15921.3075,Aliqui
Japan,Yamaguchiken,Kugagunkugachou,15832.32,Natura
USA,MD,District #13,15816.57,Natura
USA,CA,District #39,15404.445,Currus
Japan,Hiroshimaken,Kamogunkurosechou,15372.8925,Currus
USA,CA,District #39,15370.425,Natura
USA,AR,District #25,15332.8875,VanArsdel
Japan,Hiroshimaken,Takeharashi,15301.965,Currus
USA,TX,District #24,15254.4,VanArsdel
USA,VT,District #01,15204.315,Pirum
Japan,Yamaguchiken,Ooshimagun'Ooshimachou,15202.425,Natura
USA,NH,District #02,15070.4925,Pirum
USA,WI,District #28,15065.0325,Pirum
Australia,Northern Territory,ALICE SPRINGS,15029.2275,Aliqui
Japan,Yamaguchiken,Houfushi,14850.15,VanArsdel
USA,UT,District #38,14711.025,Pirum
Japan,Tokushimaken,Itanogunkamiitachou,14585.4975,Currus
Japan,Yamaguchiken,Sabaguntokudichou,14538.1425,Currus
USA,CA,District #39,14488.4775,Aliqui
Japan,Yamaguchiken,Kumagegunhiraochou,14378.2275,Currus
Japan,Tokushimaken,Itanogun'Itanochou,14265.2475,Currus
Japan,Tokushimaken,Miyoshigun'Ikedachou,14189.175,Natura
USA,IA,District #28,14094.6225,Currus
Japan,Hiroshimaken,Fukayasugunkannabechou,14005.4775,Natura
Japan,Tokushimaken,Oegunkamojimachou,13976.445,Currus
Australia,New South Wales,TOOWOOMBA SE CNR,13968.78,Aliqui
USA,WY,District #32,13869.1875,VanArsdel
Japan,Tokushimaken,Nakagun'Aioichou,13853.3325,Natura
Japan,Yamaguchiken,Kudamatsushi,13805.0325,Pirum
Japan,Hiroshimaken,Jinsekigunsanwachou,13771.6425,Currus
USA,IA,District #29,13732.53,Natura
USA,WY,District #33,13669.215,Pirum
USA,WY,District #33,13530.3,Currus
Australia,Australian Capital Territory,,13333.5825,Aliqui
Japan,Hiroshimaken,Fuchuushi,13333.5825,Aliqui
Japan,Tokushimaken,Itanogun'Aizumichou,13291.5825,Natura
Japan,Tokushimaken,Nakagunhanourachou,13283.655,Currus
Mexico,Distrito Federal,Milpa Alta,13233.85,Currus
Japan,Tokushimaken,Itanogunmatsushigechou,13181.4375,Natura
Japan,Tokushimaken,Nakagunkaminakachou,13172.6175,Pirum
Japan,Tokushimaken,Nakagunkisawason,13162.905,Currus
Japan,Hiroshimaken,Seragunserachou,13018.635,Aliqui
Japan,Tokushimaken,Mimagun'Anabukichou,12900.09,Pirum
USA,WV,District #15,12861.7125,VanArsdel
USA,RI,District #02,12761.7,VanArsdel
Japan,Hiroshimaken,Shoubarashi,12756.135,Aliqui
USA,IN,District #16,12714.7125,VanArsdel
USA,DE,District #05,12714.135,Aliqui
Japan,Ishikawaken,Ishikawagunyoshinodanimura,12656.4375,Currus
USA,IA,District #29,12611.235,Pirum
Japan,Tokushimaken,Kaifugunkainanchou,12399.03,Currus
Japan,Yamaguchiken,Kumagegunhiraochou,12380.4975,Pirum
Canada,Quebec,,12351.78,Currus
Mexico,Distrito Federal,Coyoacan,12242.27,VanArsdel
Japan,Ishikawaken,Ishikawagunyoshinodanimura,12241.74,Natura
Japan,Tokushimaken,Itanogunyoshinochou,12149.8125,Currus
USA,UT,District #38,12144.4575,Currus
Japan,Hiroshimaken,Kamoguntoyosakachou,12133.9575,Currus
USA,WV,District #13,12084.975,VanArsdel
USA,MD,District #07,12053.475,VanArsdel
USA,OR,District #33,12026.49,Aliqui
Japan,Fukushimaken,Dategunhobaramachi,11995.725,VanArsdel
Japan,Tokushimaken,Itanogun'Aizumichou,11918.235,Pirum
Japan,Hiroshimaken,Seragunserachou,11792.3925,Pirum
USA,MS,District #19,11769.24,Natura
Japan,Tokushimaken,Nakagunwajikichou,11764.0425,Natura
Japan,Hiroshimaken,Innoshimashi,11752.86,Pirum
Japan,Yamaguchiken,Iwakunishi,11381.7375,VanArsdel
Mexico,Distrito Federal,Milpa Alta,11233.14,Pirum
USA,KY,District #19,11229.75,VanArsdel
USA,IA,District #32,11196.57,Pirum
Mexico,Distrito Federal,Milpa Alta,10966.2,Natura
USA,VT,District #01,10803.2925,Aliqui
Japan,Hiroshimaken,Jinsekigunsanwachou,10755.6225,Pirum
Japan,Fukushimaken,Dategunyanagawamachi,10736.46,VanArsdel
Japan,Ishikawaken,Ishikawagunkawachimura,10724.07,Pirum
Japan,Yamaguchiken,Sabaguntokudichou,10677.3975,Natura
Japan,Tokushimaken,Katsuuragunkamikatsuchou,10664.1675,Currus
Mexico,Distrito Federal,Azcapotzalco,10626.05,VanArsdel
USA,DC,District #05,10577.6475,Currus
USA,MT,District #32,10509.3975,Currus
Japan,Yamaguchiken,Kumageguntabusechou,10474.8,Pirum
USA,CA,District #39,10445.4525,Pirum
USA,DE,District #05,10409.6475,Natura
USA,MT,District #32,10357.1475,Natura
Japan,Tokushimaken,Mimagun'Anabukichou,10351.8975,Natura
Japan,Yamaguchiken,Ooshimagun'Ooshimachou,10280.6025,Pirum
Japan,Yamaguchiken,Kugagunshuutouchou,10236.24,Currus
Canada,Quebec,,10199.7,Aliqui
Japan,Tokushimaken,Itanogunmatsushigechou,10165.155,Pirum
Japan,Yamaguchiken,Kugagunshuutouchou,10057.95,Natura
Australia,Northern Territory,ALICE SPRINGS,9810.99,Pirum
Australia,Australian Capital Territory,,9742.635,Pirum
Japan,Tokushimaken,Mimagun'Anabukichou,9664.095,Aliqui
Japan,Hiroshimaken,Mitsugigunmukaishimachou,9651.075,Currus
Japan,Fukushimaken,Dategundatemachi,9650.025,VanArsdel
Japan,Yamaguchiken,Kugagunmikawachou,9598.4175,Currus
Japan,Hiroshimaken,Takeharashi,9577.26,Pirum
Japan,Fukushimaken,Nishishirakawagun'Omotegoumura,9509.325,Currus
Japan,Hiroshimaken,Toyotagunsetodachou,9433.305,Natura
Japan,Hiroshimaken,Onomichishi,9414.0375,VanArsdel
USA,MD,District #04,9412.2,Aliqui
USA,OR,District #33,9398.8125,Pirum
USA,ND,District #32,9309.0375,VanArsdel
Japan,Fukushimaken,Fukushimashi,9240.7875,VanArsdel
USA,OR,District #33,9239.0025,Natura
Japan,Yamaguchiken,Kugagunshuutouchou,9181.095,Pirum
USA,WI,District #28,9172.5375,VanArsdel
USA,MD,District #13,9107.805,Aliqui
USA,OR,District #35,9052.05,VanArsdel
Japan,Tokushimaken,Mimagun'Anabukichou,9047.1675,Currus
USA,MS,District #24,9030.7875,VanArsdel
Japan,Tokushimaken,Narutoshi,8973.3,VanArsdel
Japan,Tokushimaken,Nakagun'Aioichou,8968.3125,Pirum
Japan,Ishikawaken,Kagashi,8947.05,VanArsdel
USA,CT,District #03,8902.95,Pirum
Japan,Hiroshimaken,Fuchuushi,8871.555,Natura
Japan,Ishikawaken,Ishikawagunnonoichimachi,8845.3575,Aliqui
USA,MD,District #04,8819.055,Natura
Japan,Tokushimaken,Nakagunwajikichou,8818.6875,Pirum
Japan,Fukushimaken,Nishishirakawagun'Omotegoumura,8813.8575,Natura
Japan,Yamaguchiken,Kumagegunhiraochou,8750.805,Natura
USA,IA,District #32,8637.3,VanArsdel
USA,DE,District #04,8490.3,VanArsdel
Japan,Ishikawaken,Ishikawagunyoshinodanimura,8441.1075,Aliqui
Japan,Fukushimaken,Nishishirakawagun'Omotegoumura,8425.305,Aliqui
Japan,Yamaguchiken,Kugagunshuutouchou,8362.3575,Aliqui
USA,IA,District #29,8343.5625,VanArsdel
