Date,Total electricity Generated (GWh),Total electricity imported (GWh),Total electricity consumed in Power Stations and Auxiliary Systems,Total electricity exported (GWh),Total electricity Available for Distribution in South Africa,Electricity Generated by Eskom,Electricity Imported by Eskom,Electricity Consumed in Eskom Power Stations and Auxiliary Systems,Electricity Exported by Eskom,Electricity Available for Distribution in South Africa from Eskom,Electricity distributed,Physical Volume of Electricity Production Index (Base: 2015=100),Total - All producers (Electricity available for distribution in South Africa),Physical Volume of Electricity Production Index (Base: 2015=100)_1,Electricity generated per capita (kWh)
2006-01-01 00:00:00.000,20363,872,1575,1056,18603,19515,872,1496,1056,17835,17887,976,19011,997,454.33069545015127
2006-02-01 00:00:00.000,19180,646,1380,1050,17396,18446,646,1297,1050,16745,16727,919,19007,1009,427.93609678013564
2006-03-01 00:00:00.000,21077,581,1548,1129,18982,20304,581,1469,1129,18288,18279,101,18905,1006,470.26116328649209
2006-04-01 00:00:00.000,19993,587,1440,1017,18122,19323,587,1370,1017,17523,17455,958,19009,1006,446.07541099714553
2006-05-01 00:00:00.000,22069,879,1590,1046,20312,21231,879,1507,1046,19556,19537,1058,19492,1017,492.39425025238864
2006-06-01 00:00:00.000,21897,881,1510,1102,20166,20875,881,1432,1102,19221,19452,1049,19339,101,488.55665856072108
2006-07-01 00:00:00.000,22622,926,1676,1239,20632,21634,926,1581,1239,19740,19890,1084,19427,1016,504.7325537726918
2006-08-01 00:00:00.000,22273,930,1635,1262,20307,21306,930,1548,1262,19426,19678,1067,19423,1017,496.94581249134313
2006-09-01 00:00:00.000,20772,971,1517,1239,18987,19896,971,1451,1239,18177,18379,996,19142,1002,463.45613150766303
2006-10-01 00:00:00.000,21882,682,1590,1311,19663,21042,682,1526,1311,18887,18957,1049,19321,1026,488.22198486668032
2006-11-01 00:00:00.000,21074,862,1507,1186,19244,20261,862,1432,1186,18505,18542,101,19710,1032,470.19422854768391
2006-12-01 00:00:00.000,20596,965,1523,1129,18909,19761,965,1460,1129,18136,18324,987,19679,1023,459.52929349758466
2007-01-01 00:00:00.000,21215,1088,1608,1134,19561,20413,1088,1532,1134,18834,18902,1017,19979,1038,473.34016127166723
2007-02-01 00:00:00.000,19847,942,1428,1060,18301,19139,942,1374,1060,17648,17710,951,20009,1045,442.81792037514867
2007-03-01 00:00:00.000,21994,973,1576,1231,20160,21187,973,1516,1231,19413,19480,1054,20032,1047,490.72088178218473
2007-04-01 00:00:00.000,20587,1055,1528,1132,18982,19819,1055,1470,1132,18272,18360,987,19897,1036,459.32848928116022
2007-05-01 00:00:00.000,22849,900,1645,1203,20901,22061,900,1582,1203,20177,20220,1095,20064,1054,509.79728234250882
2007-06-01 00:00:00.000,22957,880,1562,1256,21020,21952,880,1482,1256,20095,20303,110,20126,1057,512.20693293960244
2007-07-01 00:00:00.000,23801,984,1703,1301,21780,22738,984,1624,1301,20796,21055,1141,20237,1056,531.03790612429657
2007-08-01 00:00:00.000,23281,1045,1722,1252,21353,22207,1045,1644,1252,20356,20560,1116,20446,1065,519.43588473088312
2007-09-01 00:00:00.000,21523,1026,1631,1186,19732,20674,1026,1565,1186,18950,18987,1031,20126,105,480.21212778930442
2007-10-01 00:00:00.000,22272,1040,1625,1252,20435,21371,1040,1555,1252,19604,19704,1067,20128,1046,496.9235009117404
2007-11-01 00:00:00.000,21810,796,1566,1256,19785,20918,796,1489,1256,18969,19066,1045,20053,1056,486.61555113528459
2007-12-01 00:00:00.000,21343,619,1569,1233,19160,20459,619,1502,1233,18343,18492,1023,20175,1072,476.19604346081513
2008-01-01 00:00:00.000,21490,638,1591,1280,19256,20699,638,1505,1280,18551,18600,103,19668,1051,479.47584566241477
2008-02-01 00:00:00.000,20349,885,1465,1101,18668,19541,885,1379,1101,17946,17923,975,19514,1026,454.01833333571324
2008-03-01 00:00:00.000,21548,802,1611,1136,19603,20671,802,1523,1136,18813,18811,1033,19738,1038,480.76991727937241
2008-04-01 00:00:00.000,20813,844,1531,998,19127,19863,844,1438,998,18271,18485,997,19742,1031,464.37090627137451
2008-05-01 00:00:00.000,22362,761,1639,1120,20365,21422,761,1549,1120,19513,19683,1072,19549,1031,498.931543075985
2008-06-01 00:00:00.000,22206,1002,1530,1162,20515,21167,1002,1436,1162,19571,19871,1064,19879,1035,495.450936657961
2008-07-01 00:00:00.000,23498,1089,1728,1249,21610,22515,1089,1626,1249,20730,20869,1126,20065,1042,524.277497504673
2008-08-01 00:00:00.000,22508,1076,1627,1220,20736,21566,1076,1542,1220,19880,19964,1079,19848,1028,502.18903369798193
2008-09-01 00:00:00.000,21384,1044,1500,1203,19725,20549,1044,1413,1203,18977,19091,1025,19920,1033,477.11081822452661
2008-10-01 00:00:00.000,22329,645,1577,1258,20138,21539,645,1505,1258,19420,19462,107,19885,1051,498.19526094909531
2008-11-01 00:00:00.000,20702,711,1520,1252,18640,19896,711,1443,1252,17912,18001,992,19078,101,461.89432093547276
2008-12-01 00:00:00.000,19102,1075,1448,1189,17541,18345,1075,1382,1189,16849,16911,915,18294,952,426.1957935711236
2009-01-01 00:00:00.000,19395,1102,1483,1096,17919,18643,1102,1412,1096,17237,17266,93,18221,946,432.73308639472003
2009-02-01 00:00:00.000,18056,999,1319,979,16757,17384,999,1239,979,16165,16055,865,18286,952,402.85788130668033
2009-03-01 00:00:00.000,20273,1064,1543,1100,18694,19540,1064,1463,1100,18042,17903,972,18548,963,452.32265328590665
2009-04-01 00:00:00.000,19624,906,1511,1086,17934,18863,906,1439,1086,17245,17286,94,18753,985,437.84243812374251
2009-05-01 00:00:00.000,21322,937,1603,1109,19548,20620,937,1538,1109,18910,18897,1022,18847,986,475.72750028915812
2009-06-01 00:00:00.000,21384,1088,1478,1175,19819,20723,1088,1408,1175,19227,19044,1025,18959,985,477.11081822452661
2009-07-01 00:00:00.000,23022,1040,1688,1223,21151,22212,1040,1615,1223,20414,20354,1103,19669,1023,513.657185613779
2009-08-01 00:00:00.000,22214,1072,1653,1235,20398,21431,1072,1578,1235,19690,19649,1065,19733,1026,495.62942929478271
2009-09-01 00:00:00.000,21306,920,1559,1285,19382,20579,920,1489,1285,18725,18582,1021,19594,103,475.37051501551457
2009-10-01 00:00:00.000,21557,1115,1485,1288,19899,20890,1115,1421,1288,19296,19047,1033,19625,1013,480.97072149579685
2009-11-01 00:00:00.000,20935,940,1415,1213,19248,20333,940,1357,1213,18704,18486,1003,19696,1021,467.0929189829061
2009-12-01 00:00:00.000,20469,1112,1468,1263,18850,19875,1112,1424,1263,18300,18192,981,19693,1022,456.69572288803943
2010-01-01 00:00:00.000,21113,1122,1622,1217,19396,20541,1122,1567,1217,18880,18726,1012,19728,1029,471.06438015219
2010-02-01 00:00:00.000,19702,995,1388,1128,18181,19151,995,1325,1128,17693,17541,944,19841,1038,439.58274133275455
2010-03-01 00:00:00.000,21917,1040,1519,1252,20186,21298,1040,1453,1252,19633,19443,105,20062,1043,489.00289015277536
2010-04-01 00:00:00.000,20815,931,1474,1170,19102,20281,931,1415,1170,18627,18436,998,19656,1028,464.41552943057991
2010-05-01 00:00:00.000,22141,1074,1602,1177,20435,21557,1074,1535,1177,19919,19718,1061,19974,1037,494.00068398378431
2010-06-01 00:00:00.000,22464,1019,1549,1132,20800,21792,1019,1484,1132,20193,20050,1077,19944,1036,501.20732419546232
2010-07-01 00:00:00.000,23056,1117,1660,1206,21307,22352,1117,1609,1206,20653,20561,1105,19811,1025,514.41577932027144
2010-08-01 00:00:00.000,22329,1109,1623,1275,20540,21326,1109,1548,1275,19610,19798,107,19689,1023,498.19526094909531
2010-09-01 00:00:00.000,20977,1068,1541,1248,19256,20133,1068,1473,1248,18480,18482,1005,19659,1024,468.03000532622031
2010-10-01 00:00:00.000,22624,770,1685,1338,20371,21718,770,1601,1338,19549,19546,1084,20098,1063,504.7771769318972
2010-11-01 00:00:00.000,21623,1018,1623,1316,19702,20879,1018,1551,1316,19030,18987,1036,19922,1043,482.44328574957626
2010-12-01 00:00:00.000,20840,930,1565,1209,18996,20229,930,1509,1209,18442,18380,999,19898,1043,464.9733189206479
2011-01-01 00:00:00.000,21233,1088,1572,1133,19616,20437,1088,1489,1133,18903,18944,1018,20097,1043,410.13656390549835
2011-02-01 00:00:00.000,20182,730,1388,1069,18455,19316,730,1326,1069,17651,17839,967,20117,106,389.83545107807504
2011-03-01 00:00:00.000,22287,1112,1601,1279,20518,21379,1112,1537,1279,19674,19727,1068,20333,1058,430.49562472386577
2011-04-01 00:00:00.000,21391,912,1575,1190,19539,20721,912,1528,1190,18916,18828,1025,20090,1055,413.18849142855532
2011-05-01 00:00:00.000,22910,907,1638,1241,20938,21984,907,1575,1241,20076,20154,1098,20342,1066,442.52949084326127
2011-06-01 00:00:00.000,22620,1009,1541,1174,20914,21592,1009,1464,1174,19963,20209,1084,20282,1056,436.927851718663
2011-07-01 00:00:00.000,23111,979,1681,1247,21162,22094,979,1607,1247,20219,20451,1108,19745,1031,446.4120062365173
2011-08-01 00:00:00.000,22443,1108,1635,1298,20617,21496,1108,1567,1298,19739,19889,1076,19762,1028,433.50892025295997
2011-09-01 00:00:00.000,21493,974,1561,1288,19619,20579,974,1495,1288,18771,18916,103,19797,1038,415.1587231206554
2011-10-01 00:00:00.000,22294,911,1630,1378,20198,21390,911,1569,1378,19355,19516,1068,20105,1056,430.63083670273534
2011-11-01 00:00:00.000,21665,1073,1594,1381,19763,20769,1073,1524,1381,18937,18976,1038,20001,1045,418.48107460145161
2011-12-01 00:00:00.000,20909,1087,1521,1286,19189,19989,1087,1453,1286,18337,18555,1002,20063,1046,403.87818088353339
2012-01-01 00:00:00.000,21462,1085,1624,1247,19676,20612,1085,1540,1247,18910,18995,1029,19920,1042,414.5599272142328
2012-02-01 00:00:00.000,20296,1063,1363,1212,18783,19410,1063,1286,1212,17974,18131,973,19711,1028,392.03747473395163
2012-03-01 00:00:00.000,21479,945,1559,1242,19623,20605,945,1488,1242,18820,18936,1029,19436,1018,414.88829916291616
2012-04-01 00:00:00.000,20099,1068,1527,1174,18466,19287,1068,1467,1174,17715,17890,963,19156,1001,388.2322233286211
2012-05-01 00:00:00.000,21702,1066,1576,1322,19869,20796,1066,1503,1322,19036,19200,104,19372,1013,419.19576648976243
2012-06-01 00:00:00.000,22107,1044,1542,1335,20274,21203,1044,1469,1335,19444,19665,1059,19447,1021,427.01874526721861
2012-07-01 00:00:00.000,22863,903,1673,1350,20743,21970,903,1590,1350,19934,20107,1096,19413,1024,441.62163898513671
2012-08-01 00:00:00.000,22802,465,1628,1295,20345,21886,465,1557,1295,19500,19705,1093,19486,1046,440.44336316927297
2012-09-01 00:00:00.000,21351,474,1560,1165,19100,20534,474,1495,1165,18348,18470,1023,19455,1039,412.41585154930038
2012-10-01 00:00:00.000,21877,451,1615,1300,19413,21003,451,1547,1300,18607,18775,1048,19139,1027,422.57606596150271
2012-11-01 00:00:00.000,21536,654,1533,1233,19426,20705,654,1475,1233,18652,18748,1032,19658,1041,415.98931099085445
2012-12-01 00:00:00.000,20345,788,1516,1160,18456,19505,788,1453,1160,17680,17917,975,19490,1026,392.98395858603891
2013-01-01 00:00:00.000,20819,676,1521,1115,18860,20076,676,1459,1115,18178,18308,998,19041,1008,402.13974115520983
2013-02-01 00:00:00.000,19584,407,1404,1095,17493,18847,407,1342,1095,16818,16942,939,19006,1024,378.28448488321379
2013-03-01 00:00:00.000,21540,455,1607,1187,19202,20544,455,1536,1187,18276,18551,1032,19138,1026,416.0665749787799
2013-04-01 00:00:00.000,20924,559,1589,1132,18762,20013,559,1532,1132,17909,18191,1003,19142,1026,404.16792083825396
2013-05-01 00:00:00.000,21892,919,1623,1196,19991,20928,919,1566,1196,19085,19406,1049,19556,1026,422.86580591622334
2013-06-01 00:00:00.000,22110,881,1563,1158,20270,21067,881,1493,1158,19297,19719,106,19698,1034,427.07669325816272
2013-07-01 00:00:00.000,23015,965,1679,1183,21119,21960,965,1609,1183,20134,20560,1103,19823,1033,444.55767052630546
2013-08-01 00:00:00.000,22549,930,1604,1185,20689,21462,930,1523,1185,19683,20209,1081,19791,1032,435.55641593298554
2013-09-01 00:00:00.000,21052,839,1454,1166,19271,20131,839,1378,1166,18425,18808,1009,19635,1025,406.64036845186973
2013-10-01 00:00:00.000,21615,891,1474,1237,19795,20694,891,1420,1237,18928,19331,1036,19526,1015,417.51527475238294
2013-11-01 00:00:00.000,20838,854,1489,1219,18984,19910,854,1433,1219,18112,18561,999,19180,1006,402.50674509785586
2013-12-01 00:00:00.000,20199,1052,1463,1056,18733,19219,1052,1393,1056,17823,18248,968,19525,1007,390.16382302675839
2014-01-01 00:00:00.000,21138,1020,1518,1183,19457,20236,1020,1450,1183,18623,18980,1013,19632,1023,408.3015441922679
2014-02-01 00:00:00.000,19527,873,1398,1085,17917,18678,873,1336,1085,17129,17424,936,19407,1019,377.18347305527556
2014-03-01 00:00:00.000,21380,854,1601,1219,19415,20292,854,1526,1219,18401,18910,1025,19485,1026,412.9760154617602
2014-04-01 00:00:00.000,20778,664,1547,999,18895,19637,664,1477,999,17824,18386,996,19367,1023,401.3477852789735
2014-05-01 00:00:00.000,21664,902,1613,1046,19907,20485,902,1538,1046,18803,19477,1038,19443,1014,418.46175860447022
2014-06-01 00:00:00.000,21598,882,1496,1092,19891,20399,882,1413,1092,18776,19453,1035,19402,1013,417.18690280369958
2014-07-01 00:00:00.000,22524,945,1636,1171,20661,21171,945,1542,1171,19402,20261,1079,19396,1011,435.07351600845118
2014-08-01 00:00:00.000,22104,935,1617,1167,20255,20786,935,1533,1167,19021,19821,1059,19403,1012,426.96079727627443
2014-09-01 00:00:00.000,21306,867,1528,1194,19450,20008,867,1461,1194,18220,18977,1021,19589,1025,411.54663168513861
2014-10-01 00:00:00.000,21722,1086,1541,1363,19905,20354,1086,1470,1363,18607,19363,1041,19664,1021,419.58208642938985
2014-11-01 00:00:00.000,20704,1120,1507,1191,19126,19416,1120,1444,1191,17902,18612,992,19524,1011,399.91840150235191
2014-12-01 00:00:00.000,20320,1029,1472,1126,18752,18939,1029,1401,1126,17441,18281,974,19505,101,392.50105866150454
2015-01-01 00:00:00.000,21108,1057,1519,1156,19491,19755,1057,1446,1156,18211,18952,1012,19595,1018,407.72206428282669
2015-02-01 00:00:00.000,19415,1061,1311,1106,18060,18187,1061,1254,1106,16888,17473,93,19546,1014,375.02008139336175
2015-03-01 00:00:00.000,21621,1163,1558,1228,19998,20313,1163,1489,1228,18759,19199,1036,19929,1031,417.63117073427111
2015-04-01 00:00:00.000,20132,1144,1457,1050,18769,18739,1144,1389,1050,17445,18209,965,19402,1002,388.86965122900642
2015-05-01 00:00:00.000,21162,1192,1557,1161,19636,19722,1192,1481,1161,18272,19041,1014,19175,99,408.76512811982087
2015-06-01 00:00:00.000,21425,1052,1514,1139,19824,20053,1052,1418,1139,18547,19210,1027,19140,995,413.84523532592203
2015-07-01 00:00:00.000,21984,1201,1613,1181,20391,20505,1201,1513,1181,19012,19792,1054,19166,987,424.64287763850962
2015-08-01 00:00:00.000,21109,1033,1517,1389,19236,19666,1033,1441,1389,17869,18930,1012,18654,978,407.74138027980808
2015-09-01 00:00:00.000,20579,971,1492,1270,18788,19110,971,1423,1270,17388,18368,986,18971,991,397.5039018796802
2015-10-01 00:00:00.000,21080,1144,1539,1269,19415,19766,1144,1477,1269,18164,18893,101,19130,987,407.18121636734827
2015-11-01 00:00:00.000,20467,947,1417,1277,18720,18965,947,1351,1277,17284,18220,981,19107,100,395.34051021776639
2015-12-01 00:00:00.000,20308,1094,1490,1383,18529,18852,1094,1418,1383,17145,18049,973,19242,1008,392.26926669772809
2016-01-01 00:00:00.000,20704,1058,1499,1339,18924,19350,1058,1436,1339,17633,18375,992,19041,998,372.01510614199742
2016-02-01 00:00:00.000,20000,930,1341,1398,18190,18640,930,1276,1398,16895,17736,959,19053,1011,359.36544256375333
2016-03-01 00:00:00.000,20774,1000,1412,1427,18935,19312,1000,1344,1427,17540,18443,996,18920,994,373.27288519097056
2016-04-01 00:00:00.000,20324,976,1395,1371,18535,18806,976,1327,1371,17085,18103,974,18929,999,365.18716273328607
2016-05-01 00:00:00.000,21422,930,1482,1367,19502,19929,930,1409,1367,18083,19118,1027,18974,999,384.91632553003615
2016-06-01 00:00:00.000,21526,788,1497,1411,19405,20014,788,1415,1411,17975,18926,1032,18960,1011,386.7850258313677
2016-07-01 00:00:00.000,22625,863,1752,1439,20297,21046,863,1661,1439,18808,19588,1084,18998,1014,406.53215690024592
2016-08-01 00:00:00.000,21928,770,1750,1378,19570,20236,770,1679,1378,17950,19102,1051,18832,1009,394.00827122689913
2016-09-01 00:00:00.000,20817,908,1662,1385,18679,19086,908,1591,1385,17018,18201,998,18887,1005,374.04552089248261
2016-10-01 00:00:00.000,21540,802,1686,1307,19349,19803,802,1628,1307,17670,18796,1032,19233,1017,387.03658164116234
2016-11-01 00:00:00.000,20928,819,1538,1419,18790,19156,819,1471,1419,17086,18431,1003,18935,1009,376.03999909871146
2016-12-01 00:00:00.000,20487,711,1520,1308,18370,18623,711,1449,1308,16577,18232,982,19034,1014,368.11599109018073
2017-01-01 00:00:00.000,20881,701,1524,1239,18820,19091,701,1457,1239,17096,18552,1001,18945,1007,375.19549030868666
2017-02-01 00:00:00.000,19231,670,1284,1078,17539,17667,670,1221,1078,16038,17306,922,19072,1008,345.547841297177
2017-03-01 00:00:00.000,21320,765,1521,1122,19441,19625,765,1458,1122,17809,19058,1022,19385,102,383.08356177296105
2017-04-01 00:00:00.000,20472,792,1563,1150,18550,18851,792,1496,1150,16996,18184,981,19293,1023,367.84646700825789
2017-05-01 00:00:00.000,22405,731,1711,1264,20161,20845,731,1644,1264,18668,19748,1074,19539,1042,402.57913703204463
2017-06-01 00:00:00.000,21869,718,1633,1234,19720,20086,718,1560,1234,18010,19348,1048,19037,1015,392.94814317133608
2017-07-01 00:00:00.000,22228,765,1706,1290,19997,20504,765,1636,1290,18342,19623,1065,18907,1005,399.39875286535545
2017-08-01 00:00:00.000,22110,786,1689,1326,19880,20181,786,1611,1326,18029,19536,106,19180,1019,397.27849675422931
2017-09-01 00:00:00.000,21043,648,1644,1340,18707,19272,648,1575,1340,17004,18344,1008,18919,1015,378.10635039345306
2017-10-01 00:00:00.000,21821,686,1708,1448,19352,19987,686,1643,1448,17583,19038,1046,18993,1018,392.08566610918308
2017-11-01 00:00:00.000,21265,572,1576,1321,18940,19390,572,1509,1321,17133,18576,1019,19262,1034,382.0953068059107
2017-12-01 00:00:00.000,20787,734,1569,1389,18562,18759,734,1503,1389,16602,18199,996,19257,1029,373.506472728637
2018-01-01 00:00:00.000,21373,799,1652,1414,19106,19280,799,1583,1414,17082,18649,1024,19267,1033,384.035880195755
2018-02-01 00:00:00.000,19590,712,1500,1135,17667,17807,712,1442,1135,15942,17256,939,19274,103,351.99845099119636
2018-03-01 00:00:00.000,21584,760,1671,1204,19470,19826,760,1616,1204,17766,18977,1034,19453,1036,387.8271856148026
2018-04-01 00:00:00.000,20366,744,1658,1030,18421,18640,744,1596,1030,16757,18061,976,19154,1018,365.94183016267
2018-05-01 00:00:00.000,22216,810,1757,1061,20207,20413,810,1686,1061,18475,19838,1065,19534,1031,399.18313359981721
2018-06-01 00:00:00.000,21939,795,1639,1169,19926,20059,795,1566,1169,18120,19544,1051,19193,1015,394.20592222030916
2018-07-01 00:00:00.000,22712,810,1687,1210,20626,20693,810,1611,1210,18682,20209,1088,19305,1017,408.09539657539824
2018-08-01 00:00:00.000,22013,935,1727,1168,20053,19972,935,1639,1168,18099,19652,1055,19398,1017,395.5355743577951
2018-09-01 00:00:00.000,20871,810,1639,1203,18839,19028,810,1576,1203,17059,18462,100,19269,1017,375.01580758740477
2018-10-01 00:00:00.000,21985,847,1735,1313,19785,19921,847,1669,1313,17786,19326,1054,19386,1024,395.03246273820582
2018-11-01 00:00:00.000,21241,764,1615,1268,19123,19175,764,1540,1268,17131,18753,1018,19205,1021,381.66406827483422
2018-12-01 00:00:00.000,20446,901,1554,1211,18582,18322,901,1465,1211,16547,18169,98,19479,1024,367.379291932925
2019-01-01 00:00:00.000,20942,915,1610,1115,19132,18795,915,1541,1115,17053,18752,1004,19305,1013,376.2915549085061
2019-02-01 00:00:00.000,19217,749,1438,1035,17493,17404,749,1374,1035,15744,17186,921,19094,1012,345.29628548738236
2019-03-01 00:00:00.000,20943,707,1581,1138,18930,18980,707,1511,1138,17038,18597,1004,18865,1002,376.3095231806343
2019-04-01 00:00:00.000,20733,689,1590,1120,18711,18852,689,1519,1120,16902,18333,994,19341,103,372.5361860337149
2019-05-01 00:00:00.000,22090,888,1728,1308,19943,20146,888,1652,1308,18074,19519,1059,19245,1024,396.91913131166558
2019-06-01 00:00:00.000,21947,692,1766,1264,19609,19888,692,1680,1264,17637,19221,1052,19074,1025,394.34966839733471
2019-07-01 00:00:00.000,22552,825,1843,1310,20224,20381,825,1739,1310,18157,19830,1081,18914,1009,405.22047303488824
2019-08-01 00:00:00.000,21500,766,1780,1380,19105,19368,766,1673,1380,17081,18712,103,18429,991,386.31785075603483
2019-09-01 00:00:00.000,20781,817,1737,1255,18605,18833,817,1671,1255,16723,18225,996,19058,1015,373.39866309586785
2019-10-01 00:00:00.000,21571,900,1747,1358,19367,19569,900,1672,1358,17439,19033,1034,18942,1004,387.59359807713616
2019-11-01 00:00:00.000,20662,903,1660,1365,18539,18695,903,1600,1365,16633,18235,99,18594,99,371.26043871261356
2019-12-01 00:00:00.000,19640,953,1587,1329,17678,17569,953,1522,1329,15672,17374,941,18379,976,352.89686459760577
2020-01-01 00:00:00.000,20434,975,1627,1338,18444,18412,975,1568,1338,16481,18139,979,18638,99,342.72382755795439
2020-02-01 00:00:00.000,19414,820,1534,1209,17491,17696,820,1482,1209,15826,17147,93,18415,987,325.61614897769039
2020-03-01 00:00:00.000,20110,920,1660,1393,17976,18299,920,1602,1393,16224,17719,964,17928,964,337.28962377363524
2020-04-01 00:00:00.000,16014,898,1506,1050,14357,14217,898,1448,1050,12617,14122,767,15041,807,268.590553710144
2020-05-01 00:00:00.000,19177,794,1680,1061,17230,17503,794,1627,1061,15608,16907,919,16573,886,321.64112954286441
2020-06-01 00:00:00.000,20679,788,1746,1073,18648,18651,788,1676,1073,16691,18284,991,17923,955,346.83302486399811
