School Name,Filtered by School Level,CCA Group,CCA General,CCA Customized,ID
"YUHUA SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","VOLLEYBALL","Not Available",338
"YUHUA SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","FLOORBALL","Not Available",338
"YUHUA SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","TCHOUKBALL","Not Available",338
"YUYING SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","WUSHU","Not Available",341
"ZHENGHUA SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","VOLLEYBALL","Not Available",344
"ZHENGHUA SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","OUTDOOR ADVENTURE","Not Available",344
"ZHENGHUA SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","MODULAR CCA (SPORTS)","Not Available",344
"RAFFLES INSTITUTION","SECONDARY","PHYSICAL SPORTS","RUGBY","Not Available",238
"RAFFLES INSTITUTION","SECONDARY","PHYSICAL SPORTS","SAILING","Not Available",238
"RAFFLES INSTITUTION","SECONDARY","PHYSICAL SPORTS","TABLE TENNIS","Not Available",238
"RAFFLES INSTITUTION","SECONDARY","PHYSICAL SPORTS","CRICKET","Not Available",238
"RAFFLES INSTITUTION","SECONDARY","PHYSICAL SPORTS","CROSS COUNTRY","Not Available",238
"RAFFLES INSTITUTION","SECONDARY","PHYSICAL SPORTS","FENCING","Not Available",238
"RAFFLES INSTITUTION","SECONDARY","PHYSICAL SPORTS","JUDO","Not Available",238
"RAFFLES INSTITUTION","SECONDARY","PHYSICAL SPORTS","SOFTBALL","Not Available",238
"RAFFLES INSTITUTION","SECONDARY","PHYSICAL SPORTS","SQUASH","Not Available",238
"RAFFLES INSTITUTION","SECONDARY","PHYSICAL SPORTS","TRACK AND FIELD","Not Available",238
"RAFFLES INSTITUTION","SECONDARY","PHYSICAL SPORTS","TENNIS","Not Available",238
"RAFFLES INSTITUTION","SECONDARY","PHYSICAL SPORTS","WATER POLO","Not Available",238
"REGENT SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","TAEKWONDO","Not Available",240
"RIVER VALLEY HIGH SCHOOL","SECONDARY","PHYSICAL SPORTS","TABLE TENNIS","Not Available",241
"RIVER VALLEY HIGH SCHOOL","SECONDARY","PHYSICAL SPORTS","WUSHU","Not Available",241
"RIVER VALLEY HIGH SCHOOL","SECONDARY","PHYSICAL SPORTS","VOLLEYBALL","Not Available",241
"RIVER VALLEY HIGH SCHOOL","SECONDARY","PHYSICAL SPORTS","FLOORBALL","Not Available",241
"RIVERSIDE SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","SOFTBALL","Not Available",244
"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE","SECONDARY","PHYSICAL SPORTS","FENCING","Not Available",248
"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE","SECONDARY","PHYSICAL SPORTS","TAEKWONDO","Not Available",248
"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE","SECONDARY","PHYSICAL SPORTS","FLOORBALL","Not Available",248
"SENG KANG SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","HOCKEY","Not Available",253
"SERANGOON GARDEN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","TABLE TENNIS","Not Available",255
"SERANGOON GARDEN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","FLOORBALL","Not Available",255
"SERANGOON SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","FLOORBALL","Not Available",256
"SINGAPORE CHINESE GIRLS' SCHOOL","SECONDARY","PHYSICAL SPORTS","ARTISTIC GYMNASTICS","Not Available",260
"SINGAPORE CHINESE GIRLS' SCHOOL","SECONDARY","PHYSICAL SPORTS","SQUASH","Not Available",260
"SINGAPORE CHINESE GIRLS' SCHOOL","SECONDARY","PHYSICAL SPORTS","SWIMMING","Not Available",260
"SINGAPORE CHINESE GIRLS' SCHOOL","SECONDARY","PHYSICAL SPORTS","TENNIS","Not Available",260
"SINGAPORE CHINESE GIRLS' SCHOOL","SECONDARY","PHYSICAL SPORTS","TRAMPOLINE","Not Available",260
"SPRINGFIELD SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","TAEKWONDO","Not Available",265
"ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","TENNIS","Not Available",270
"ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","TAEKWONDO","Not Available",270
"ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","FLOORBALL","Not Available",270
"ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","HANDBALL","Not Available",270
"ST. GABRIEL'S SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","JUDO","Not Available",273
"ST. GABRIEL'S SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","KARATE","Not Available",273
"ST. GABRIEL'S SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","SOFTBALL","Not Available",273
"ST. GABRIEL'S SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","FLOORBALL","Not Available",273
"ST. GABRIEL'S SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","GOLF","Not Available",273
"ST. HILDA'S SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","VOLLEYBALL","Not Available",275
"ST. HILDA'S SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","MODULAR CCA (SPORTS)","Not Available",275
"ST. MARGARET'S SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","FLOORBALL","Not Available",279
"ST. MARGARET'S SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BOWLING","Not Available",279
"ST. MARGARET'S SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","FENCING","Not Available",279
"ST. MARGARET'S SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","TENNIS","Not Available",279
"TAMPINES SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","WUSHU","Not Available",287
"TANGLIN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","FENCING","Not Available",288
"TANGLIN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","VOLLEYBALL","Not Available",288
"TANJONG KATONG GIRLS' SCHOOL","SECONDARY","PHYSICAL SPORTS","SOFTBALL","Not Available",289
"TANJONG KATONG GIRLS' SCHOOL","SECONDARY","PHYSICAL SPORTS","SAILING","Not Available",289
"TANJONG KATONG GIRLS' SCHOOL","SECONDARY","PHYSICAL SPORTS","TENNIS","Not Available",289
"TANJONG KATONG GIRLS' SCHOOL","SECONDARY","PHYSICAL SPORTS","FLOORBALL","Not Available",289
"TANJONG KATONG GIRLS' SCHOOL","SECONDARY","PHYSICAL SPORTS","BOWLING","Not Available",289
"TANJONG KATONG SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","SHOOTING","Not Available",291
"TANJONG KATONG SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","TRACK AND FIELD","Not Available",291
"TANJONG KATONG SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","FLOORBALL","Not Available",291
"TECK WHYE SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","HOCKEY","Not Available",295
"TECK WHYE SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","TAEKWONDO","Not Available",295
"TEMASEK JUNIOR COLLEGE","SECONDARY","PHYSICAL SPORTS","SWIMMING","Not Available",297
"TEMASEK JUNIOR COLLEGE","SECONDARY","PHYSICAL SPORTS","TAEKWONDO","Not Available",297
"TEMASEK JUNIOR COLLEGE","SECONDARY","PHYSICAL SPORTS","BOWLING","Not Available",297
"TEMASEK SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","SHOOTING","Not Available",299
"TEMASEK SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","SOFTBALL","Not Available",299
"TEMASEK SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","TRACK AND FIELD","Not Available",299
"TEMASEK SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","WUSHU","Not Available",299
"UNITY SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","TABLE TENNIS","Not Available",302
"UNITY SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","VOLLEYBALL","Not Available",302
"VICTORIA SCHOOL","SECONDARY","PHYSICAL SPORTS","CRICKET","Not Available",305
"VICTORIA SCHOOL","SECONDARY","PHYSICAL SPORTS","HOCKEY","Not Available",305
"VICTORIA SCHOOL","SECONDARY","PHYSICAL SPORTS","SAILING","Not Available",305
"VICTORIA SCHOOL","SECONDARY","PHYSICAL SPORTS","TRACK AND FIELD","Not Available",305
"VICTORIA SCHOOL","SECONDARY","PHYSICAL SPORTS","TABLE TENNIS","Not Available",305
"VICTORIA SCHOOL","SECONDARY","PHYSICAL SPORTS","TENNIS","Not Available",305
"VICTORIA SCHOOL","SECONDARY","PHYSICAL SPORTS","WUSHU","Not Available",305
"VICTORIA SCHOOL","SECONDARY","PHYSICAL SPORTS","VOLLEYBALL","Not Available",305
"VICTORIA SCHOOL","SECONDARY","PHYSICAL SPORTS","FLOORBALL","Not Available",305
"WEST SPRING SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","VOLLEYBALL","Not Available",310
"KRANJI SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","FLOORBALL","Not Available",155
"KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","SHOOTING","Not Available",157
"KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","TABLE TENNIS","Not Available",157
"KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","VOLLEYBALL","Not Available",157
"MANJUSRI SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","TABLE TENNIS","Not Available",162
"MANJUSRI SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","WUSHU","Not Available",162
"MARSILING SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","SEPAKTAKRAW","Not Available",165
"MARSILING SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","FLOORBALL","Not Available",165
"MAYFLOWER SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","TABLE TENNIS","Not Available",168
"MAYFLOWER SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","TAEKWONDO","Not Available",168
"MAYFLOWER SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BOWLING","Not Available",168
"METHODIST GIRLS' SCHOOL (SECONDARY)","SECONDARY","PHYSICAL SPORTS","SOFTBALL","Not Available",173
"METHODIST GIRLS' SCHOOL (SECONDARY)","SECONDARY","PHYSICAL SPORTS","SQUASH","Not Available",173
"METHODIST GIRLS' SCHOOL (SECONDARY)","SECONDARY","PHYSICAL SPORTS","SWIMMING","Not Available",173
"METHODIST GIRLS' SCHOOL (SECONDARY)","SECONDARY","PHYSICAL SPORTS","TENNIS","Not Available",173
"METHODIST GIRLS' SCHOOL (SECONDARY)","SECONDARY","PHYSICAL SPORTS","BOWLING","Not Available",173
"MONTFORT SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","RUGBY","Not Available",176
"MONTFORT SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","SOFTBALL","Not Available",176
"MONTFORT SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","WUSHU","Not Available",176
"NAN CHIAU HIGH SCHOOL","SECONDARY","PHYSICAL SPORTS","TABLE TENNIS","Not Available",177
"NAN CHIAU HIGH SCHOOL","SECONDARY","PHYSICAL SPORTS","WUSHU","Not Available",177
"NANYANG GIRLS' HIGH SCHOOL","SECONDARY","PHYSICAL SPORTS","JUDO","Not Available",181
"NANYANG GIRLS' HIGH SCHOOL","SECONDARY","PHYSICAL SPORTS","SOFTBALL","Not Available",181
"NANYANG GIRLS' HIGH SCHOOL","SECONDARY","PHYSICAL SPORTS","SAILING","Not Available",181
"NANYANG GIRLS' HIGH SCHOOL","SECONDARY","PHYSICAL SPORTS","TRACK AND FIELD","Not Available",181
"NANYANG GIRLS' HIGH SCHOOL","SECONDARY","PHYSICAL SPORTS","WUSHU","Not Available",181
"NANYANG GIRLS' HIGH SCHOOL","SECONDARY","PHYSICAL SPORTS","VOLLEYBALL","Not Available",181
"NANYANG GIRLS' HIGH SCHOOL","SECONDARY","PHYSICAL SPORTS","TENNIS","Not Available",181
"NANYANG GIRLS' HIGH SCHOOL","SECONDARY","PHYSICAL SPORTS","TABLE TENNIS","Not Available",181
"NATIONAL JUNIOR COLLEGE","SECONDARY","PHYSICAL SPORTS","SQUASH","Not Available",184
"NAVAL BASE SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","TABLE TENNIS","Not Available",186
"NEW TOWN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","SOFTBALL","Not Available",188
"NEW TOWN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","TABLE TENNIS","Not Available",188
"NGEE ANN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","WUSHU","Not Available",190
"NGEE ANN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","OUTDOOR ADVENTURE","Not Available",190
"NORTH VISTA SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","OUTDOOR ADVENTURE","Not Available",194
"NORTH VISTA SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","GOLF","Not Available",194
"NORTHBROOKS SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","FLOORBALL","Not Available",195
"NORTHLAND SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","HOCKEY","Not Available",197
"NORTHLAND SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","WUSHU","Not Available",197
"NORTHLAND SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","FLOORBALL","Not Available",197
"NORTHLIGHT SCHOOL","SECONDARY","PHYSICAL SPORTS","SEPAKTAKRAW","Not Available",198
"NORTHLIGHT SCHOOL","SECONDARY","PHYSICAL SPORTS","TRACK AND FIELD","Not Available",198
"NORTHLIGHT SCHOOL","SECONDARY","PHYSICAL SPORTS","TABLE TENNIS","Not Available",198
"NORTHLIGHT SCHOOL","SECONDARY","PHYSICAL SPORTS","FLOORBALL","Not Available",198
"NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE","SECONDARY","PHYSICAL SPORTS","OUTDOOR ADVENTURE","Not Available",201
"NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE","SECONDARY","PHYSICAL SPORTS","TRACK AND FIELD","Not Available",201
"NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE","SECONDARY","PHYSICAL SPORTS","TABLE TENNIS","Not Available",201
"NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE","SECONDARY","PHYSICAL SPORTS","TENNIS","Not Available",201
"OUTRAM SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","SWIMMING","Not Available",205
"OUTRAM SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","WATER POLO","Not Available",205
"PASIR RIS CREST SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","FENCING","Not Available",208
"PASIR RIS CREST SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","SOFTBALL","Not Available",208
"PASIR RIS CREST SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","TABLE TENNIS","Not Available",208
"PASIR RIS CREST SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","VOLLEYBALL","Not Available",208
"PASIR RIS SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","VOLLEYBALL","Not Available",210
"PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY)","SECONDARY","PHYSICAL SPORTS","SWIMMING","Not Available",212
"PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY)","SECONDARY","PHYSICAL SPORTS","TRACK AND FIELD","Not Available",212
"PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY)","SECONDARY","PHYSICAL SPORTS","TABLE TENNIS","Not Available",212
"PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY)","SECONDARY","PHYSICAL SPORTS","VOLLEYBALL","Not Available",212
"PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY)","SECONDARY","PHYSICAL SPORTS","RHYTHMIC GYMNASTICS","Not Available",212
"PEICAI SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","SOFTBALL","Not Available",217
"PEICAI SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","VOLLEYBALL","Not Available",217
"PEIRCE SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","RUGBY","Not Available",218
"PEIRCE SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","TABLE TENNIS","Not Available",218
"PEIRCE SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","VOLLEYBALL","Not Available",218
"PEIRCE SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","JUDO","Not Available",218
"PRESBYTERIAN HIGH SCHOOL","SECONDARY","PHYSICAL SPORTS","TABLE TENNIS","Not Available",223
"PRESBYTERIAN HIGH SCHOOL","SECONDARY","PHYSICAL SPORTS","VOLLEYBALL","Not Available",223
"QUEENSTOWN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","TABLE TENNIS","Not Available",233
"QUEENSTOWN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","WUSHU","Not Available",233
"QUEENSTOWN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","VOLLEYBALL","Not Available",233
"QUEENSWAY SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","HOCKEY","Not Available",234
"QUEENSWAY SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","VOLLEYBALL","Not Available",234
"RAFFLES GIRLS' SCHOOL (SECONDARY)","SECONDARY","PHYSICAL SPORTS","FENCING","Not Available",237
"RAFFLES GIRLS' SCHOOL (SECONDARY)","SECONDARY","PHYSICAL SPORTS","SOFTBALL","Not Available",237
"RAFFLES GIRLS' SCHOOL (SECONDARY)","SECONDARY","PHYSICAL SPORTS","SQUASH","Not Available",237
"RAFFLES GIRLS' SCHOOL (SECONDARY)","SECONDARY","PHYSICAL SPORTS","SWIMMING","Not Available",237
"RAFFLES GIRLS' SCHOOL (SECONDARY)","SECONDARY","PHYSICAL SPORTS","SAILING","Not Available",237
"RAFFLES GIRLS' SCHOOL (SECONDARY)","SECONDARY","PHYSICAL SPORTS","TABLE TENNIS","Not Available",237
"RAFFLES GIRLS' SCHOOL (SECONDARY)","SECONDARY","PHYSICAL SPORTS","TENNIS","Not Available",237
"RAFFLES GIRLS' SCHOOL (SECONDARY)","SECONDARY","PHYSICAL SPORTS","RHYTHMIC GYMNASTICS","Not Available",237
"CRESCENT GIRLS' SCHOOL","SECONDARY","PHYSICAL SPORTS","CANOEING","Not Available",79
"CRESCENT GIRLS' SCHOOL","SECONDARY","PHYSICAL SPORTS","HOCKEY","Not Available",79
"CRESCENT GIRLS' SCHOOL","SECONDARY","PHYSICAL SPORTS","SOFTBALL","Not Available",79
"CRESCENT GIRLS' SCHOOL","SECONDARY","PHYSICAL SPORTS","TRACK AND FIELD","Not Available",79
"DAMAI SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","DRAGON BOAT","Not Available",82
"DAMAI SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","HANDBALL","Not Available",82
"DAMAI SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","RUGBY","Not Available",82
"DEYI SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","TRACK AND FIELD","Not Available",85
"DEYI SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","TABLE TENNIS","Not Available",85
"DUNEARN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","TABLE TENNIS","Not Available",86
"EAST SPRING SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","FLOORBALL","Not Available",90
"EDGEFIELD SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","TAEKWONDO","Not Available",92
"EDGEFIELD SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","WUSHU","Not Available",92
"EVERGREEN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","CROSS COUNTRY","Not Available",98
"EVERGREEN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","TABLE TENNIS","Not Available",98
"EVERGREEN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","VOLLEYBALL","Not Available",98
"FUCHUN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","SEPAKTAKRAW","Not Available",109
"FUHUA SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","SHOOTING","Not Available",111
"FUHUA SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","TABLE TENNIS","Not Available",111
"FUHUA SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","TCHOUKBALL","Not Available",111
"GAN ENG SENG SCHOOL","SECONDARY","PHYSICAL SPORTS","CROSS COUNTRY","Not Available",113
"GEYLANG METHODIST SCHOOL (SECONDARY)","SECONDARY","PHYSICAL SPORTS","BOWLING","Not Available",115
"GEYLANG METHODIST SCHOOL (SECONDARY)","SECONDARY","PHYSICAL SPORTS","TABLE TENNIS","Not Available",115
"GREENDALE SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","FENCING","Not Available",118
"GREENDALE SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","SOFTBALL","Not Available",118
"GREENDALE SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","FLOORBALL","Not Available",118
"GREENRIDGE SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","RUGBY","Not Available",120
"GREENRIDGE SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","VOLLEYBALL","Not Available",120
"GREENRIDGE SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","TCHOUKBALL","Not Available",120
"GUANGYANG SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","CROSS COUNTRY","Not Available",123
"HAI SING CATHOLIC SCHOOL","SECONDARY","PHYSICAL SPORTS","FLOORBALL","Not Available",124
"HAI SING CATHOLIC SCHOOL","SECONDARY","PHYSICAL SPORTS","BOWLING","Not Available",124
"HAI SING CATHOLIC SCHOOL","SECONDARY","PHYSICAL SPORTS","GOLF","Not Available",124
"HOLY INNOCENTS' HIGH SCHOOL","SECONDARY","PHYSICAL SPORTS","WUSHU","Not Available",128
"HOLY INNOCENTS' HIGH SCHOOL","SECONDARY","PHYSICAL SPORTS","BOWLING","Not Available",128
"HOUGANG SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","JUDO","Not Available",133
"HOUGANG SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","WUSHU","Not Available",133
"HOUGANG SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","FLOORBALL","Not Available",133
"HWA CHONG INSTITUTION","SECONDARY","PHYSICAL SPORTS","GYMNASTICS","Not Available",136
"JUNYUAN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","ARCHERY","Not Available",141
"JUNYUAN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","RUGBY","Not Available",141
"JUNYUAN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","TRACK AND FIELD","Not Available",141
"JUNYUAN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","VOLLEYBALL","Not Available",141
"JURONG SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","CROSS COUNTRY","Not Available",144
"JURONG WEST SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","HOCKEY","Not Available",146
"JURONG WEST SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","VOLLEYBALL","Not Available",146
"JURONG WEST SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","FLOORBALL","Not Available",146
"JURONG WEST SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","FRISBEE","Not Available",146
"JURONGVILLE SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","SEPAKTAKRAW","Not Available",147
"JURONGVILLE SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","TCHOUKBALL","Not Available",147
"ADMIRALTY PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","TRACK AND FIELD","Not Available",1
"ADMIRALTY PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","WUSHU","Not Available",1
"ADMIRALTY PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","ROPE SKIPPING","Not Available",1
"AHMAD IBRAHIM PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","VOLLEYBALL","Not Available",3
"AI TONG SCHOOL","PRIMARY","PHYSICAL SPORTS","TRACK AND FIELD","Not Available",5
"AI TONG SCHOOL","PRIMARY","PHYSICAL SPORTS","TABLE TENNIS","Not Available",5
"AI TONG SCHOOL","PRIMARY","PHYSICAL SPORTS","WUSHU","Not Available",5
"AI TONG SCHOOL","PRIMARY","PHYSICAL SPORTS","VOLLEYBALL","Not Available",5
"AI TONG SCHOOL","PRIMARY","PHYSICAL SPORTS","ARTISTIC GYMNASTICS","Not Available",5
"ALEXANDRA PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","TRACK AND FIELD","Not Available",6
"ALEXANDRA PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","TABLE TENNIS","Not Available",6
"ALEXANDRA PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","RUGBY","Not Available",6
"ALEXANDRA PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","SOFTBALL","Not Available",6
"ALEXANDRA PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","TCHOUKBALL","Not Available",6
"ANDERSON PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","VOLLEYBALL","Not Available",8
"ANG MO KIO PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","TRACK AND FIELD","Not Available",11
"ANG MO KIO PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","TABLE TENNIS","Not Available",11
"ANGLO-CHINESE SCHOOL (PRIMARY)","PRIMARY","PHYSICAL SPORTS","SOFTBALL","Not Available",18
"ANGLO-CHINESE SCHOOL (PRIMARY)","PRIMARY","PHYSICAL SPORTS","SWIMMING","Not Available",18
"ANGLO-CHINESE SCHOOL (PRIMARY)","PRIMARY","PHYSICAL SPORTS","TRACK AND FIELD","Not Available",18
"ANGLO-CHINESE SCHOOL (PRIMARY)","PRIMARY","PHYSICAL SPORTS","TENNIS","Not Available",18
"ANGLO-CHINESE SCHOOL (PRIMARY)","PRIMARY","PHYSICAL SPORTS","FLOORBALL","Not Available",18
"BEACON PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","WUSHU","Not Available",23
"BEACON PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","TCHOUKBALL","Not Available",23
"BEDOK GREEN PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","RUGBY","Not Available",25
"BOON LAY GARDEN PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","FLOORBALL","Not Available",32
