Category,Source.Name,variable,value
Falling,call_100067.csv,Initial Sentiment,Medium
Rising,call_100070.csv,Initial Sentiment,Medium
Falling,call_100072.csv,Initial Sentiment,Medium
Steady Neutral,call_100074.csv,Initial Sentiment,Medium
Steady Neutral,call_100078.csv,Initial Sentiment,Medium
Falling,call_100080.csv,Initial Sentiment,Medium
Rising,call_100081.csv,Initial Sentiment,Medium
Falling,call_100082.csv,Initial Sentiment,Medium
Rising,call_100085.csv,Initial Sentiment,Medium
Falling,call_100087.csv,Initial Sentiment,Medium
Falling,call_100089.csv,Initial Sentiment,Medium
Rising,call_100093.csv,Initial Sentiment,Medium
Steady Neutral,call_100095.csv,Initial Sentiment,Medium
Steady Neutral,call_100096.csv,Initial Sentiment,Medium
Falling,call_100097.csv,Initial Sentiment,Medium
Steady Neutral,call_100099.csv,Initial Sentiment,Medium
Rising,call_100100.csv,Initial Sentiment,Medium
Falling,call_100102.csv,Initial Sentiment,Medium
Falling,call_100104.csv,Initial Sentiment,Medium
Rising,call_100108.csv,Initial Sentiment,Medium
Steady Neutral,call_100109.csv,Initial Sentiment,Medium
Falling,call_100110.csv,Initial Sentiment,Medium
Rising,call_100111.csv,Initial Sentiment,Medium
Falling,call_100112.csv,Initial Sentiment,Medium
Steady Neutral,call_100115.csv,Initial Sentiment,Medium
Rising,call_100116.csv,Initial Sentiment,Medium
Falling,call_100117.csv,Initial Sentiment,Medium
Rising,call_100118.csv,Initial Sentiment,Medium
Falling,call_100119.csv,Initial Sentiment,Medium
Rising,call_100123.csv,Initial Sentiment,Medium
Rising,call_100124.csv,Initial Sentiment,Medium
Steady Neutral,call_100125.csv,Initial Sentiment,Medium
Rising,call_100126.csv,Initial Sentiment,Medium
Steady Neutral,call_100127.csv,Initial Sentiment,Medium
Rising,call_100130.csv,Initial Sentiment,Medium
Rising,call_100131.csv,Initial Sentiment,Medium
Falling,call_100132.csv,Initial Sentiment,Medium
Falling,call_100134.csv,Initial Sentiment,Medium
Rising,call_100138.csv,Initial Sentiment,Medium
Falling,call_100140.csv,Initial Sentiment,Medium
Rising,call_100141.csv,Initial Sentiment,Medium
Falling,call_100142.csv,Initial Sentiment,Medium
Rising,call_100145.csv,Initial Sentiment,Medium
Falling,call_100147.csv,Initial Sentiment,Medium
Falling,call_100149.csv,Initial Sentiment,Medium
Falling,call_100151.csv,Initial Sentiment,Medium
Rising,call_100153.csv,Initial Sentiment,Medium
Falling,call_100155.csv,Initial Sentiment,Medium
Rising,call_100156.csv,Initial Sentiment,Medium
Falling,call_100157.csv,Initial Sentiment,Medium
Rising,call_100160.csv,Initial Sentiment,Medium
Falling,call_100162.csv,Initial Sentiment,Medium
Falling,call_100164.csv,Initial Sentiment,Medium
Rising,call_100168.csv,Initial Sentiment,Medium
Falling,call_100170.csv,Initial Sentiment,Medium
Rising,call_100171.csv,Initial Sentiment,Medium
Falling,call_100172.csv,Initial Sentiment,Medium
Rising,call_100175.csv,Initial Sentiment,Medium
Falling,call_100177.csv,Initial Sentiment,Medium
Falling,call_100179.csv,Initial Sentiment,Medium
Steady Negative,call_100001.csv,Initial Sentiment,Low
Steady High,call_100004.csv,Initial Sentiment,High
Steady Negative,call_100009.csv,Initial Sentiment,Low
Steady High,call_100011.csv,Initial Sentiment,High
Rising,call_100013.csv,Initial Sentiment,Low
Rising,call_100015.csv,Initial Sentiment,Low
Steady Negative,call_100016.csv,Initial Sentiment,Low
Steady Negative,call_100017.csv,Initial Sentiment,Low
Steady High,call_100019.csv,Initial Sentiment,High
Rising,call_100023.csv,Initial Sentiment,Low
Steady High,call_100026.csv,Initial Sentiment,High
Rising,call_100028.csv,Initial Sentiment,Low
Steady Negative,call_100030.csv,Initial Sentiment,Low
Steady Negative,call_100031.csv,Initial Sentiment,Low
Steady Negative,call_100032.csv,Initial Sentiment,Low
Steady Negative,call_100038.csv,Initial Sentiment,Low
Steady Negative,call_100039.csv,Initial Sentiment,Low
Steady High,call_100041.csv,Initial Sentiment,High
Rising,call_100043.csv,Initial Sentiment,Low
Rising,call_100045.csv,Initial Sentiment,Low
Steady Negative,call_100046.csv,Initial Sentiment,Low
Steady Negative,call_100047.csv,Initial Sentiment,Low
Falling,call_100049.csv,Initial Sentiment,High
Steady Negative,call_100053.csv,Initial Sentiment,Low
Steady Negative,call_100054.csv,Initial Sentiment,Low
Steady High,call_100056.csv,Initial Sentiment,High
Rising,call_100058.csv,Initial Sentiment,Low
Steady Negative,call_100061.csv,Initial Sentiment,Low
Steady Negative,call_100062.csv,Initial Sentiment,Low
Steady High,call_100064.csv,Initial Sentiment,High
Steady Negative,call_100068.csv,Initial Sentiment,Low
Steady Negative,call_100069.csv,Initial Sentiment,Low
Steady High,call_100071.csv,Initial Sentiment,High
Rising,call_100073.csv,Initial Sentiment,Low
Steady Negative,call_100075.csv,Initial Sentiment,Low
Steady Negative,call_100076.csv,Initial Sentiment,Low
Steady Negative,call_100077.csv,Initial Sentiment,Low
Steady High,call_100079.csv,Initial Sentiment,High
Steady Negative,call_100083.csv,Initial Sentiment,Low
Steady Negative,call_100084.csv,Initial Sentiment,Low
Falling,call_100086.csv,Initial Sentiment,High
Rising,call_100088.csv,Initial Sentiment,Low
Steady Negative,call_100090.csv,Initial Sentiment,Low
Steady Negative,call_100091.csv,Initial Sentiment,Low
Steady Negative,call_100092.csv,Initial Sentiment,Low
Steady High,call_100094.csv,Initial Sentiment,High
Rising,call_100098.csv,Initial Sentiment,Low
Steady High,call_100101.csv,Initial Sentiment,High
Rising,call_100103.csv,Initial Sentiment,Low
Steady Negative,call_100105.csv,Initial Sentiment,Low
Steady Negative,call_100106.csv,Initial Sentiment,Low
Rising,call_100107.csv,Initial Sentiment,Low
Steady Negative,call_100113.csv,Initial Sentiment,Low
Rising,call_100114.csv,Initial Sentiment,Low
Steady Negative,call_100120.csv,Initial Sentiment,Low
Steady Negative,call_100121.csv,Initial Sentiment,Low
Steady Negative,call_100122.csv,Initial Sentiment,Low
Steady Negative,call_100128.csv,Initial Sentiment,Low
Steady Negative,call_100129.csv,Initial Sentiment,Low
Rising,call_100133.csv,Initial Sentiment,Low
Steady Negative,call_100135.csv,Initial Sentiment,Low
Steady Negative,call_100136.csv,Initial Sentiment,Low
Steady Negative,call_100137.csv,Initial Sentiment,Low
Steady High,call_100139.csv,Initial Sentiment,High
Steady Negative,call_100143.csv,Initial Sentiment,Low
Steady Negative,call_100144.csv,Initial Sentiment,Low
Steady High,call_100146.csv,Initial Sentiment,High
Rising,call_100148.csv,Initial Sentiment,Low
Steady Negative,call_100150.csv,Initial Sentiment,Low
Steady Negative,call_100152.csv,Initial Sentiment,Low
Steady High,call_100154.csv,Initial Sentiment,High
Steady Negative,call_100158.csv,Initial Sentiment,Low
Rising,call_100159.csv,Initial Sentiment,Low
Steady High,call_100161.csv,Initial Sentiment,High
Rising,call_100163.csv,Initial Sentiment,Low
Steady Negative,call_100165.csv,Initial Sentiment,Low
Steady Negative,call_100166.csv,Initial Sentiment,Low
Steady Negative,call_100167.csv,Initial Sentiment,Low
Steady High,call_100169.csv,Initial Sentiment,High
Steady Negative,call_100173.csv,Initial Sentiment,Low
Steady Negative,call_100174.csv,Initial Sentiment,Low
Steady High,call_100176.csv,Initial Sentiment,High
Rising,call_100178.csv,Initial Sentiment,Low
Steady Negative,call_100180.csv,Initial Sentiment,Low
Falling,call_100002.csv,Final Sentiment,Low
Rising,call_100003.csv,Final Sentiment,High
Falling,call_100005.csv,Final Sentiment,Low
Steady Neutral,call_100006.csv,Final Sentiment,Medium
Falling,call_100007.csv,Final Sentiment,Low
Falling,call_100008.csv,Final Sentiment,Low
Rising,call_100010.csv,Final Sentiment,High
Falling,call_100012.csv,Final Sentiment,Low
Falling,call_100014.csv,Final Sentiment,Low
Steady Neutral,call_100018.csv,Final Sentiment,Medium
Falling,call_100020.csv,Final Sentiment,Low
Rising,call_100021.csv,Final Sentiment,High
Falling,call_100022.csv,Final Sentiment,Low
Falling,call_100024.csv,Final Sentiment,Low
Rising,call_100025.csv,Final Sentiment,High
Falling,call_100027.csv,Final Sentiment,Low
Falling,call_100029.csv,Final Sentiment,Low
Rising,call_100033.csv,Final Sentiment,High
Rising,call_100034.csv,Final Sentiment,High
Falling,call_100035.csv,Final Sentiment,Low
Rising,call_100036.csv,Final Sentiment,High
Falling,call_100037.csv,Final Sentiment,Low
Rising,call_100040.csv,Final Sentiment,High
Falling,call_100042.csv,Final Sentiment,Low
Falling,call_100044.csv,Final Sentiment,Low
Rising,call_100048.csv,Final Sentiment,High
Falling,call_100050.csv,Final Sentiment,Low
Rising,call_100051.csv,Final Sentiment,High
Falling,call_100052.csv,Final Sentiment,Low
Steady Neutral,call_100055.csv,Final Sentiment,Medium
Steady Neutral,call_100057.csv,Final Sentiment,Medium
Falling,call_100059.csv,Final Sentiment,Low
Falling,call_100060.csv,Final Sentiment,Low
Rising,call_100063.csv,Final Sentiment,High
Falling,call_100065.csv,Final Sentiment,Low
Rising,call_100066.csv,Final Sentiment,High
Falling,call_100067.csv,Final Sentiment,Low
Rising,call_100070.csv,Final Sentiment,High
Falling,call_100072.csv,Final Sentiment,Low
Steady Neutral,call_100074.csv,Final Sentiment,Medium
Steady Neutral,call_100078.csv,Final Sentiment,Medium
Falling,call_100080.csv,Final Sentiment,Low
Rising,call_100081.csv,Final Sentiment,High
Falling,call_100082.csv,Final Sentiment,Low
Rising,call_100085.csv,Final Sentiment,High
Falling,call_100087.csv,Final Sentiment,Low
Falling,call_100089.csv,Final Sentiment,Low
Rising,call_100093.csv,Final Sentiment,High
Steady Neutral,call_100095.csv,Final Sentiment,Medium
Steady Neutral,call_100096.csv,Final Sentiment,Medium
Falling,call_100097.csv,Final Sentiment,Low
Steady Neutral,call_100099.csv,Final Sentiment,Medium
Rising,call_100100.csv,Final Sentiment,High
Falling,call_100102.csv,Final Sentiment,Low
Falling,call_100104.csv,Final Sentiment,Low
Rising,call_100108.csv,Final Sentiment,High
Steady Neutral,call_100109.csv,Final Sentiment,Medium
Falling,call_100110.csv,Final Sentiment,Low
Rising,call_100111.csv,Final Sentiment,High
Falling,call_100112.csv,Final Sentiment,Low
Steady Neutral,call_100115.csv,Final Sentiment,Medium
Rising,call_100116.csv,Final Sentiment,High
Falling,call_100117.csv,Final Sentiment,Low
Rising,call_100118.csv,Final Sentiment,High
Falling,call_100119.csv,Final Sentiment,Low
Rising,call_100123.csv,Final Sentiment,High
Rising,call_100124.csv,Final Sentiment,High
Steady Neutral,call_100125.csv,Final Sentiment,Medium
Rising,call_100126.csv,Final Sentiment,High
Steady Neutral,call_100127.csv,Final Sentiment,Medium
Rising,call_100130.csv,Final Sentiment,High
Rising,call_100131.csv,Final Sentiment,High
Falling,call_100132.csv,Final Sentiment,Low
Falling,call_100134.csv,Final Sentiment,Low
Rising,call_100138.csv,Final Sentiment,High
Falling,call_100140.csv,Final Sentiment,Low
Rising,call_100141.csv,Final Sentiment,High
Falling,call_100142.csv,Final Sentiment,Low
Rising,call_100145.csv,Final Sentiment,High
Falling,call_100147.csv,Final Sentiment,Low
Falling,call_100149.csv,Final Sentiment,Low
Falling,call_100151.csv,Final Sentiment,Low
Rising,call_100153.csv,Final Sentiment,High
Falling,call_100155.csv,Final Sentiment,Low
Rising,call_100156.csv,Final Sentiment,High
Falling,call_100157.csv,Final Sentiment,Low
Rising,call_100160.csv,Final Sentiment,High
Falling,call_100162.csv,Final Sentiment,Low
Falling,call_100164.csv,Final Sentiment,Low
Rising,call_100168.csv,Final Sentiment,High
Falling,call_100170.csv,Final Sentiment,Low
Rising,call_100171.csv,Final Sentiment,High
Falling,call_100172.csv,Final Sentiment,Low
Rising,call_100175.csv,Final Sentiment,High
Falling,call_100177.csv,Final Sentiment,Low
Falling,call_100179.csv,Final Sentiment,Low
Steady Negative,call_100001.csv,Final Sentiment,Low
Steady High,call_100004.csv,Final Sentiment,High
Steady Negative,call_100009.csv,Final Sentiment,Low
Steady High,call_100011.csv,Final Sentiment,High
Rising,call_100013.csv,Final Sentiment,High
Rising,call_100015.csv,Final Sentiment,Medium
Steady Negative,call_100016.csv,Final Sentiment,Low
Steady Negative,call_100017.csv,Final Sentiment,Low
Steady High,call_100019.csv,Final Sentiment,High
Rising,call_100023.csv,Final Sentiment,Medium
Steady High,call_100026.csv,Final Sentiment,High
Rising,call_100028.csv,Final Sentiment,High
Steady Negative,call_100030.csv,Final Sentiment,Low
Steady Negative,call_100031.csv,Final Sentiment,Low
Steady Negative,call_100032.csv,Final Sentiment,Low
Steady Negative,call_100038.csv,Final Sentiment,Low
Steady Negative,call_100039.csv,Final Sentiment,Low
Steady High,call_100041.csv,Final Sentiment,High
Rising,call_100043.csv,Final Sentiment,High
Rising,call_100045.csv,Final Sentiment,Medium
Steady Negative,call_100046.csv,Final Sentiment,Low
Steady Negative,call_100047.csv,Final Sentiment,Low
Falling,call_100049.csv,Final Sentiment,Medium
Steady Negative,call_100053.csv,Final Sentiment,Low
Steady Negative,call_100054.csv,Final Sentiment,Low
Steady High,call_100056.csv,Final Sentiment,High
Rising,call_100058.csv,Final Sentiment,High
Steady Negative,call_100061.csv,Final Sentiment,Low
Steady Negative,call_100062.csv,Final Sentiment,Low
Steady High,call_100064.csv,Final Sentiment,High
Steady Negative,call_100068.csv,Final Sentiment,Low
Steady Negative,call_100069.csv,Final Sentiment,Low
Steady High,call_100071.csv,Final Sentiment,High
Rising,call_100073.csv,Final Sentiment,High
Steady Negative,call_100075.csv,Final Sentiment,Low
Steady Negative,call_100076.csv,Final Sentiment,Low
Steady Negative,call_100077.csv,Final Sentiment,Low
Steady High,call_100079.csv,Final Sentiment,High
Steady Negative,call_100083.csv,Final Sentiment,Low
Steady Negative,call_100084.csv,Final Sentiment,Low
Falling,call_100086.csv,Final Sentiment,Medium
Rising,call_100088.csv,Final Sentiment,High
Steady Negative,call_100090.csv,Final Sentiment,Low
Steady Negative,call_100091.csv,Final Sentiment,Low
Steady Negative,call_100092.csv,Final Sentiment,Low
Steady High,call_100094.csv,Final Sentiment,High
Rising,call_100098.csv,Final Sentiment,Medium
Steady High,call_100101.csv,Final Sentiment,High
Rising,call_100103.csv,Final Sentiment,Medium
Steady Negative,call_100105.csv,Final Sentiment,Low
Steady Negative,call_100106.csv,Final Sentiment,Low
Rising,call_100107.csv,Final Sentiment,Medium
Steady Negative,call_100113.csv,Final Sentiment,Low
Rising,call_100114.csv,Final Sentiment,Medium
Steady Negative,call_100120.csv,Final Sentiment,Low
Steady Negative,call_100121.csv,Final Sentiment,Low
Steady Negative,call_100122.csv,Final Sentiment,Low
Steady Negative,call_100128.csv,Final Sentiment,Low
Steady Negative,call_100129.csv,Final Sentiment,Low
Rising,call_100133.csv,Final Sentiment,High
Steady Negative,call_100135.csv,Final Sentiment,Low
Steady Negative,call_100136.csv,Final Sentiment,Low
Steady Negative,call_100137.csv,Final Sentiment,Low
Steady High,call_100139.csv,Final Sentiment,High
Steady Negative,call_100143.csv,Final Sentiment,Low
Steady Negative,call_100144.csv,Final Sentiment,Low
Steady High,call_100146.csv,Final Sentiment,High
Rising,call_100148.csv,Final Sentiment,High
Steady Negative,call_100150.csv,Final Sentiment,Low
Steady Negative,call_100152.csv,Final Sentiment,Low
Steady High,call_100154.csv,Final Sentiment,High
Steady Negative,call_100158.csv,Final Sentiment,Low
Rising,call_100159.csv,Final Sentiment,Medium
Steady High,call_100161.csv,Final Sentiment,High
Rising,call_100163.csv,Final Sentiment,Medium
Steady Negative,call_100165.csv,Final Sentiment,Low
Steady Negative,call_100166.csv,Final Sentiment,Low
Steady Negative,call_100167.csv,Final Sentiment,Low
Steady High,call_100169.csv,Final Sentiment,High
Steady Negative,call_100173.csv,Final Sentiment,Low
Steady Negative,call_100174.csv,Final Sentiment,Low
Steady High,call_100176.csv,Final Sentiment,High
Rising,call_100178.csv,Final Sentiment,Medium
Steady Negative,call_100180.csv,Final Sentiment,Low
