gamename,date,avg,gain,peak,avg_peak_perc,site
"Gang Beasts",2014-09-01 00:00:00.000,65.59,,193,0.3398,"SteamCharts"
"Call of Duty: Advanced Warfare",2014-11-01 00:00:00.000,3639.99,,12649,0.2878,"SteamCharts"
"Town of Salem",2014-12-01 00:00:00.000,284.34,,503,0.5653,"SteamCharts"
"Orcs Must Die! 2",2012-08-01 00:00:00.000,2783.75,,11371,0.2448,"SteamCharts"
"Tabletop Simulator",2014-04-01 00:00:00.000,155.37,,570,0.2726,"SteamCharts"
"HELLDIVERS™",2015-11-01 00:00:00.000,2.33,,12,0.1942,"SteamCharts"
"Deus Ex: Human Revolution - Director's Cut",2013-10-01 00:00:00.000,1193.34,,2957,0.4036,"SteamCharts"
"How to Survive",2013-10-01 00:00:00.000,1095.97,,6946,0.1578,"SteamCharts"
"Guns of Icarus Online",2012-08-01 00:00:00.000,30.23,,71,0.4258,"SteamCharts"
"Dragon's Dogma: Dark Arisen",2016-01-01 00:00:00.000,13191.52,,27259,0.4839,"SteamCharts"
"Brütal Legend",2012-11-01 00:00:00.000,0.01,,2,0.005,"SteamCharts"
"The Beginner's Guide",2015-10-01 00:00:00.000,185.72,,913,0.2034,"SteamCharts"
"Sniper Elite 3",2014-06-01 00:00:00.000,436.59,,5482,0.0796,"SteamCharts"
"DRAGON BALL XENOVERSE",2014-10-01 00:00:00.000,1.01,,9,0.1122,"SteamCharts"
"VA-11 Hall-A: Cyberpunk Bartender Action",2016-06-01 00:00:00.000,126.98,,563,0.2255,"SteamCharts"
"Just Cause 2: Multiplayer Mod",2013-12-01 00:00:00.000,2090.66,,10436,0.2003,"SteamCharts"
"Antichamber",2012-09-01 00:00:00.000,0,,0,,"SteamCharts"
"Dino D-Day",2012-07-01 00:00:00.000,22.4,,46,0.487,"SteamCharts"
"Counter-Strike: Condition Zero",2012-07-01 00:00:00.000,1891.34,,3466,0.5457,"SteamCharts"
"The Darkness II",2012-07-01 00:00:00.000,356.87,,1332,0.2679,"SteamCharts"
"GRID 2",2013-06-01 00:00:00.000,1794.23,,6713,0.2673,"SteamCharts"
"Sakura Clicker",2015-08-01 00:00:00.000,4103.66,,9097,0.4511,"SteamCharts"
"Refunct",2015-10-01 00:00:00.000,1.32,,9,0.1467,"SteamCharts"
"Gone Home",2013-02-01 00:00:00.000,0,,0,,"SteamCharts"
"NEKOPARA Vol. 0",2015-08-01 00:00:00.000,121.29,,949,0.1278,"SteamCharts"
"FINAL FANTASY VII",2013-07-01 00:00:00.000,2880.8,,6424,0.4484,"SteamCharts"
"Sanctum 2",2013-05-01 00:00:00.000,810.19,,2448,0.331,"SteamCharts"
"The Escapists",2014-06-01 00:00:00.000,0.68,,5,0.136,"SteamCharts"
"STAR WARS™: Knights of the Old Republic™",2012-07-01 00:00:00.000,1158.17,,2650,0.437,"SteamCharts"
"Pillars of Eternity",2015-04-01 00:00:00.000,9903.44,,30122,0.3288,"SteamCharts"
"Codename CURE",2015-07-01 00:00:00.000,781.32,,1280,0.6104,"SteamCharts"
"ShellShock Live",2015-03-01 00:00:00.000,32.92,,80,0.4115,"SteamCharts"
"Need for Speed: Hot Pursuit",2012-07-01 00:00:00.000,445.16,,1665,0.2674,"SteamCharts"
"Surgeon Simulator",2013-03-01 00:00:00.000,0.05,,2,0.025,"SteamCharts"
"Tricolour Lovestory",2017-09-01 00:00:00.000,565.96,,2692,0.2102,"SteamCharts"
"World of Guns: Gun Disassembly",2014-05-01 00:00:00.000,158.62,,678,0.234,"SteamCharts"
"Toribash",2014-05-01 00:00:00.000,1177.07,,2648,0.4445,"SteamCharts"
"Empyrion - Galactic Survival",2015-07-01 00:00:00.000,17.06,,32,0.5331,"SteamCharts"
"Hyper Light Drifter",2016-03-01 00:00:00.000,1.72,,6,0.2867,"SteamCharts"
"OneShot",2016-04-01 00:00:00.000,0,,1,0,"SteamCharts"
"Mountain",2014-08-01 00:00:00.000,336.12,,1476,0.2277,"SteamCharts"
"Chinese Parents",2018-02-01 00:00:00.000,0,,0,,"SteamCharts"
"Block N Load",2014-11-01 00:00:00.000,7.36,,32,0.23,"SteamCharts"
"Portal Knights",2016-02-01 00:00:00.000,570.84,,6511,0.0877,"SteamCharts"
"Shadow of the Tomb Raider",2018-03-01 00:00:00.000,1.68,,10,0.168,"SteamCharts"
"Outlast 2",2015-11-01 00:00:00.000,0,,0,,"SteamCharts"
"Call of Duty: WWII",2017-11-01 00:00:00.000,4147.78,,19374,0.2141,"SteamCharts"
"My Time At Portia",2017-07-01 00:00:00.000,0.06,,1,0.06,"SteamCharts"
"Dungeon Defenders",2012-07-01 00:00:00.000,6195.8,,12467,0.497,"SteamCharts"
"Mass Effect 2",2012-07-01 00:00:00.000,586.21,,978,0.5994,"SteamCharts"
"FEZ",2012-11-01 00:00:00.000,0,,0,,"SteamCharts"
"100% Orange Juice",2014-03-01 00:00:00.000,0.11,,3,0.0367,"SteamCharts"
"The Evil Within",2014-10-01 00:00:00.000,1608.59,,4089,0.3934,"SteamCharts"
"What Remains of Edith Finch",2016-12-01 00:00:00.000,0,,0,,"SteamCharts"
"Day of Defeat: Source",2012-07-01 00:00:00.000,1375.87,,2830,0.4862,"SteamCharts"
"Thief",2014-03-01 00:00:00.000,3499.04,,18239,0.1918,"SteamCharts"
"Bad Rats",2012-07-01 00:00:00.000,1.41,,6,0.235,"SteamCharts"
"Gunpoint",2013-06-01 00:00:00.000,463.41,,2606,0.1778,"SteamCharts"
"Quantum Break",2016-08-01 00:00:00.000,0.14,,3,0.0467,"SteamCharts"
"Quake Live",2014-09-01 00:00:00.000,2349.74,,6154,0.3818,"SteamCharts"
"The Room",2014-07-01 00:00:00.000,31.51,,108,0.2918,"SteamCharts"
"S.T.A.L.K.E.R.: Call of Pripyat",2012-07-01 00:00:00.000,511.75,,1221,0.4191,"SteamCharts"
"Shadow Warrior 2",2015-11-01 00:00:00.000,0.07,,1,0.07,"SteamCharts"
"Eternal Senia",2015-06-01 00:00:00.000,295.23,,606,0.4872,"SteamCharts"
"Montaro",2016-07-01 00:00:00.000,198.54,,320,0.6204,"SteamCharts"
"Tom Clancy's Splinter Cell Blacklist",2013-03-01 00:00:00.000,0,,0,,"SteamCharts"
"Endless Legend™",2014-04-01 00:00:00.000,645.31,,1225,0.5268,"SteamCharts"
"Survarium",2015-04-01 00:00:00.000,1562.63,,4340,0.3601,"SteamCharts"
"Child of Light",2014-02-01 00:00:00.000,0,,0,,"SteamCharts"
"Beholder",2016-07-01 00:00:00.000,0.22,,2,0.11,"SteamCharts"
"Artifact",2018-12-01 00:00:00.000,11168.61,,46456,0.2404,"SteamCharts"
"Fallout 3",2012-07-01 00:00:00.000,50.57,,110,0.4597,"SteamCharts"
"Bendy and the Ink Machine",2017-04-01 00:00:00.000,201.28,,582,0.3458,"SteamCharts"
"Yet Another Zombie Defense",2014-04-01 00:00:00.000,28.8,,148,0.1946,"SteamCharts"
"Moonbase Alpha",2012-07-01 00:00:00.000,36.99,,75,0.4932,"SteamCharts"
"Warhammer 40,000: Space Marine",2012-07-01 00:00:00.000,834.17,,2603,0.3205,"SteamCharts"
"Grand Theft Auto: Vice City",2012-07-01 00:00:00.000,203.37,,528,0.3852,"SteamCharts"
"Hand Simulator",2017-07-01 00:00:00.000,2.59,,24,0.1079,"SteamCharts"
"Who's Your Daddy?!",2015-12-01 00:00:00.000,114,,248,0.4597,"SteamCharts"
"The Banner Saga",2013-12-01 00:00:00.000,1.65,,13,0.1269,"SteamCharts"
"Burnout Paradise: The Ultimate Box",2012-07-01 00:00:00.000,173.47,,620,0.2798,"SteamCharts"
"Nuclear Throne",2013-10-01 00:00:00.000,51.44,,131,0.3927,"SteamCharts"
"Business Tour - Online Multiplayer Board Game",2016-10-01 00:00:00.000,0.09,,4,0.0225,"SteamCharts"
"Kingdom: Classic",2015-10-01 00:00:00.000,497.16,,3434,0.1448,"SteamCharts"
"Darwin Project",2018-01-01 00:00:00.000,332.41,,3227,0.103,"SteamCharts"
"Sid Meier's Civilization: Beyond Earth",2014-10-01 00:00:00.000,28463.95,,86747,0.3281,"SteamCharts"
"DRAGON BALL XENOVERSE 2",2016-11-01 00:00:00.000,4169.93,,12930,0.3225,"SteamCharts"
"Shadow Tactics: Blades of the Shogun",2016-04-01 00:00:00.000,0.66,,5,0.132,"SteamCharts"
"The Crew",2014-08-01 00:00:00.000,312.71,,1860,0.1681,"SteamCharts"
"Mitos.is: The Game",2015-08-01 00:00:00.000,525.61,,1294,0.4062,"SteamCharts"
"Aliens vs. Predator",2012-07-01 00:00:00.000,219.2,,386,0.5679,"SteamCharts"
"Trine",2012-07-01 00:00:00.000,243.78,,915,0.2664,"SteamCharts"
"Saints Row 2",2012-07-01 00:00:00.000,247.23,,425,0.5817,"SteamCharts"
"RAGE",2012-07-01 00:00:00.000,948.58,,1933,0.4907,"SteamCharts"
"Car Mechanic Simulator 2018",2017-06-01 00:00:00.000,0,,0,,"SteamCharts"
"Blackwake",2016-12-01 00:00:00.000,3.29,,52,0.0633,"SteamCharts"
"Pony Island",2015-12-01 00:00:00.000,0.19,,2,0.095,"SteamCharts"
"Shovel Knight: Treasure Trove",2014-06-01 00:00:00.000,716.93,,1827,0.3924,"SteamCharts"
"Far Cry® 3 Blood Dragon",2013-04-01 00:00:00.000,3.61,,12,0.3008,"SteamCharts"
"Gotham City Impostors: Free To Play",2012-09-01 00:00:00.000,2146.34,,7195,0.2983,"SteamCharts"
"Double Action: Boogaloo",2014-10-01 00:00:00.000,462.67,,1174,0.3941,"SteamCharts"
"Defiance",2012-11-01 00:00:00.000,0,,0,,"SteamCharts"
"Hyperdimension Neptunia Re;Birth1",2015-01-01 00:00:00.000,234.45,,1969,0.1191,"SteamCharts"
"Dead Space",2012-07-01 00:00:00.000,200.3,,450,0.4451,"SteamCharts"
"Contagion",2013-10-01 00:00:00.000,590.02,,1248,0.4728,"SteamCharts"
"Remember Me",2012-12-01 00:00:00.000,0,,0,,"SteamCharts"
"Resident Evil Revelations 2",2014-09-01 00:00:00.000,0.08,,2,0.04,"SteamCharts"
"Spooky's Jump Scare Mansion",2015-04-01 00:00:00.000,107.62,,327,0.3291,"SteamCharts"
"LEGO® Worlds",2015-06-01 00:00:00.000,1521.45,,4839,0.3144,"SteamCharts"
"WARMODE",2015-08-01 00:00:00.000,1568.09,,3047,0.5146,"SteamCharts"
"Deadlight",2012-10-01 00:00:00.000,482.07,,922,0.5229,"SteamCharts"
"Dungeons 3",2017-02-01 00:00:00.000,0.08,,2,0.04,"SteamCharts"
"Dead Space 2",2012-07-01 00:00:00.000,266.06,,552,0.482,"SteamCharts"
"The Evil Within 2",2017-10-01 00:00:00.000,3126.41,,9846,0.3175,"SteamCharts"
"Bayonetta",2017-04-01 00:00:00.000,1593.88,,4099,0.3888,"SteamCharts"
"Valkyria Chronicles™",2014-11-01 00:00:00.000,1895.16,,5017,0.3777,"SteamCharts"
"RWBY: Grimm Eclipse",2015-12-01 00:00:00.000,373.41,,1810,0.2063,"SteamCharts"
"Dragon Age: Origins - Ultimate Edition",2012-07-01 00:00:00.000,753.18,,1555,0.4844,"SteamCharts"
"LEGO® MARVEL Super Heroes",2013-10-01 00:00:00.000,549.13,,1264,0.4344,"SteamCharts"
"Injustice: Gods Among Us Ultimate Edition",2013-06-01 00:00:00.000,0.24,,4,0.06,"SteamCharts"
"Tropico 4",2012-07-01 00:00:00.000,1248.87,,3151,0.3963,"SteamCharts"
"Call of Duty 4: Modern Warfare",2012-07-01 00:00:00.000,362.94,,632,0.5743,"SteamCharts"
"Shadowrun Returns",2013-03-01 00:00:00.000,0,,1,0,"SteamCharts"
"NEKOPARA Vol. 2",2016-02-01 00:00:00.000,324.93,,1206,0.2694,"SteamCharts"
"Sonic Mania",2017-05-01 00:00:00.000,2,,8,0.25,"SteamCharts"
"MURDERED: SOUL SUSPECT™",2013-02-01 00:00:00.000,0.32,,3,0.1067,"SteamCharts"
"Star Conflict",2013-03-01 00:00:00.000,1474.1,,4973,0.2964,"SteamCharts"
"Move or Die",2014-10-01 00:00:00.000,0,,0,,"SteamCharts"
"Project CARS",2013-03-01 00:00:00.000,0,,0,,"SteamCharts"
"Detention",2016-11-01 00:00:00.000,0.1,,2,0.05,"SteamCharts"
"We Were Here",2017-01-01 00:00:00.000,0.17,,2,0.085,"SteamCharts"
"World War 3",2018-10-01 00:00:00.000,3810.99,,11021,0.3458,"SteamCharts"
"Kingdoms of Amalur: Reckoning™",2012-07-01 00:00:00.000,145.33,,287,0.5064,"SteamCharts"
"Bully: Scholarship Edition",2012-07-01 00:00:00.000,42.81,,80,0.5351,"SteamCharts"
"Zombie Army Trilogy",2015-03-01 00:00:00.000,332.23,,1184,0.2806,"SteamCharts"
"Far Cry Primal",2016-03-01 00:00:00.000,3969.91,,14702,0.27,"SteamCharts"
"Natural Selection 2",2012-09-01 00:00:00.000,235.39,,506,0.4652,"SteamCharts"
"BRAIN / OUT",2017-02-01 00:00:00.000,579.64,,1520,0.3813,"SteamCharts"
"Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad",2015-09-01 00:00:00.000,76.74,,229,0.3351,"SteamCharts"
"TrackMania Nations Forever",2012-07-01 00:00:00.000,249.96,,469,0.533,"SteamCharts"
"Ultra Street Fighter IV",2012-07-01 00:00:00.000,463.08,,821,0.564,"SteamCharts"
"NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst",2013-10-01 00:00:00.000,2446.48,,4677,0.5231,"SteamCharts"
"Psychonauts",2012-07-01 00:00:00.000,260.77,,529,0.4929,"SteamCharts"
"The Awesome Adventures of Captain Spirit",2018-07-01 00:00:00.000,470.67,,2148,0.2191,"SteamCharts"
"Reign Of Kings",2015-03-01 00:00:00.000,3865.34,,13278,0.2911,"SteamCharts"
"Hand of Fate",2014-07-01 00:00:00.000,14.72,,62,0.2374,"SteamCharts"
"Five Nights at Freddy's 2",2014-11-01 00:00:00.000,566.39,,1686,0.3359,"SteamCharts"
"METAL GEAR SOLID V: GROUND ZEROES",2014-12-01 00:00:00.000,1795.41,,5788,0.3102,"SteamCharts"
"Transmissions: Element 120",2016-06-01 00:00:00.000,338.08,,779,0.434,"SteamCharts"
"Half-Life 2: Episode One",2012-07-01 00:00:00.000,203.65,,329,0.619,"SteamCharts"
"Tropico 5",2014-04-01 00:00:00.000,0.33,,5,0.066,"SteamCharts"
"Freddy Fazbear's Pizzeria Simulator",2017-12-01 00:00:00.000,1424.33,,6427,0.2216,"SteamCharts"
"Call of Duty: Infinite Warfare",2016-11-01 00:00:00.000,4995.04,,15312,0.3262,"SteamCharts"
"Ultimate Custom Night",2018-07-01 00:00:00.000,2652.59,,7950,0.3337,"SteamCharts"
"NEKOPARA Vol. 3",2017-04-01 00:00:00.000,0.02,,1,0.02,"SteamCharts"
"AirMech Strike",2012-07-01 00:00:00.000,10.21,,29,0.3521,"SteamCharts"
"Alien Swarm: Reactive Drop",2017-01-01 00:00:00.000,1.29,,10,0.129,"SteamCharts"
"Defy Gravity",2012-07-01 00:00:00.000,1.03,,7,0.1471,"SteamCharts"
"Mini Metro",2014-08-01 00:00:00.000,131.84,,353,0.3735,"SteamCharts"
"Thomas Was Alone",2012-09-01 00:00:00.000,0.02,,1,0.02,"SteamCharts"
"LISA",2014-12-01 00:00:00.000,46.81,,150,0.3121,"SteamCharts"
"Tales of Berseria",2016-12-01 00:00:00.000,1.26,,12,0.105,"SteamCharts"
"Dungeon of the Endless™",2013-12-01 00:00:00.000,103.77,,422,0.2459,"SteamCharts"
"Lords Of The Fallen",2014-11-01 00:00:00.000,1078.88,,5250,0.2055,"SteamCharts"
"ELEX",2015-12-01 00:00:00.000,0.03,,1,0.03,"SteamCharts"
"The Room Two",2016-07-01 00:00:00.000,71.14,,369,0.1928,"SteamCharts"
"S.K.I.L.L. - Special Force 2",2015-05-01 00:00:00.000,1672.39,,3850,0.4344,"SteamCharts"
"Dead Rising 3",2014-06-01 00:00:00.000,0.42,,2,0.21,"SteamCharts"
"Celeste",2017-04-01 00:00:00.000,0.08,,2,0.04,"SteamCharts"
"Monaco",2012-12-01 00:00:00.000,0,,0,,"SteamCharts"
"SNOW",2013-10-01 00:00:00.000,40.1,,136,0.2949,"SteamCharts"
"DEEP SPACE WAIFU",2017-06-01 00:00:00.000,25.37,,72,0.3524,"SteamCharts"
"Deponia",2012-08-01 00:00:00.000,97.76,,396,0.2469,"SteamCharts"
"Armello",2015-01-01 00:00:00.000,47.41,,199,0.2382,"SteamCharts"
"Assassin's Creed Syndicate",2015-11-01 00:00:00.000,1852.19,,2769,0.6689,"SteamCharts"
"Salt and Sanctuary",2016-05-01 00:00:00.000,817.38,,2422,0.3375,"SteamCharts"
"Orwell",2016-08-01 00:00:00.000,0.22,,2,0.11,"SteamCharts"
"FINAL FANTASY XIII",2014-10-01 00:00:00.000,2723.53,,8320,0.3273,"SteamCharts"
"Fallout",2012-07-01 00:00:00.000,25.18,,49,0.5139,"SteamCharts"
"Craft The World",2013-11-01 00:00:00.000,354.43,,678,0.5228,"SteamCharts"
"Material Girl",2017-06-01 00:00:00.000,660.44,,3121,0.2116,"SteamCharts"
"Sonic Generations",2012-07-01 00:00:00.000,168.48,,420,0.4011,"SteamCharts"
"The Vanishing of Ethan Carter",2014-09-01 00:00:00.000,204.85,,1431,0.1432,"SteamCharts"
"RIFT",2012-07-01 00:00:00.000,356.18,,605,0.5887,"SteamCharts"
"GunZ 2: The Second Duel",2014-02-01 00:00:00.000,4969.55,,10315,0.4818,"SteamCharts"
"LYNE",2014-03-01 00:00:00.000,43.14,,119,0.3625,"SteamCharts"
"DISTRAINT: Deluxe Edition",2015-10-01 00:00:00.000,1.16,,12,0.0967,"SteamCharts"
"Warhammer 40,000: Dawn of War III",2016-05-01 00:00:00.000,0.19,,2,0.095,"SteamCharts"
"Carpe Diem",2015-12-01 00:00:00.000,23.86,,90,0.2651,"SteamCharts"
"Sniper Ghost Warrior 2",2013-03-01 00:00:00.000,900.29,,2652,0.3395,"SteamCharts"
"Night in the Woods",2016-12-01 00:00:00.000,0,,0,,"SteamCharts"
"Viscera Cleanup Detail",2014-04-01 00:00:00.000,189.07,,671,0.2818,"SteamCharts"
"Octodad: Dadliest Catch",2012-11-01 00:00:00.000,0,,0,,"SteamCharts"
"Crysis 2 Maximum Edition",2012-07-01 00:00:00.000,611.81,,1835,0.3334,"SteamCharts"
"VVVVVV",2012-07-01 00:00:00.000,41.23,,125,0.3298,"SteamCharts"
"Assassin's Creed Brotherhood",2012-07-01 00:00:00.000,777.12,,1492,0.5209,"SteamCharts"
"The Bureau: XCOM Declassified",2013-08-01 00:00:00.000,2150.13,,6584,0.3266,"SteamCharts"
"Scribblenauts Unlimited",2012-11-01 00:00:00.000,279.84,,865,0.3235,"SteamCharts"
"Overcooked",2016-04-01 00:00:00.000,0,,0,,"SteamCharts"
"Wolfenstein: The Old Blood",2015-05-01 00:00:00.000,1048.89,,3025,0.3467,"SteamCharts"
"Finding Paradise",2016-11-01 00:00:00.000,0,,0,,"SteamCharts"
"The Witness",2015-12-01 00:00:00.000,0.07,,1,0.07,"SteamCharts"
"Oxenfree",2015-12-01 00:00:00.000,0.51,,5,0.102,"SteamCharts"
"Braid",2012-07-01 00:00:00.000,116.26,,289,0.4023,"SteamCharts"
"STAR WARS™ Empire at War: Gold Pack",2012-07-01 00:00:00.000,158.76,,288,0.5513,"SteamCharts"
"Rabi-Ribi",2016-01-01 00:00:00.000,95.15,,566,0.1681,"SteamCharts"
"Youtubers Life",2016-05-01 00:00:00.000,1564.26,,7491,0.2088,"SteamCharts"
"Tribes: Ascend",2012-07-01 00:00:00.000,2025,,3165,0.6398,"SteamCharts"
"America's Army: Proving Grounds",2013-09-01 00:00:00.000,1326.05,,3040,0.4362,"SteamCharts"
"Little Inferno",2012-11-01 00:00:00.000,76.37,,319,0.2394,"SteamCharts"
"Homefront: The Revolution",2015-08-01 00:00:00.000,2.99,,17,0.1759,"SteamCharts"
"Absolver",2016-12-01 00:00:00.000,0,,0,,"SteamCharts"
"STAR WARS™ Republic Commando",2012-07-01 00:00:00.000,48.17,,99,0.4866,"SteamCharts"
"Gear Up",2012-08-01 00:00:00.000,0.23,,6,0.0383,"SteamCharts"
"Kingdoms and Castles",2017-04-01 00:00:00.000,32.59,,140,0.2328,"SteamCharts"
"F.E.A.R.",2012-07-01 00:00:00.000,119.23,,301,0.3961,"SteamCharts"
"Five Nights at Freddy's 4",2015-07-01 00:00:00.000,515.61,,1637,0.315,"SteamCharts"
"Mount Your Friends",2014-07-01 00:00:00.000,54.44,,534,0.1019,"SteamCharts"
"FINAL FANTASY X/X-2 HD Remaster",2016-05-01 00:00:00.000,6108.67,,13247,0.4611,"SteamCharts"
"Osiris: New Dawn",2016-09-01 00:00:00.000,337.39,,3335,0.1012,"SteamCharts"
"Resident Evil",2014-10-01 00:00:00.000,2.51,,15,0.1673,"SteamCharts"
"Deus Ex: Game of the Year Edition",2012-07-01 00:00:00.000,122.41,,269,0.4551,"SteamCharts"
"Mount & Blade: With Fire and Sword",2012-07-01 00:00:00.000,756.89,,1779,0.4255,"SteamCharts"
"Wasteland 2",2013-12-01 00:00:00.000,335.35,,1188,0.2823,"SteamCharts"
"CrossCode",2015-05-01 00:00:00.000,4.94,,29,0.1703,"SteamCharts"
"CPUCores :: Maximize Your FPS",2015-07-01 00:00:00.000,4.01,,17,0.2359,"SteamCharts"
"Dragon Age: Origins",2012-07-01 00:00:00.000,229.99,,446,0.5157,"SteamCharts"
"Vampire: The Masquerade - Bloodlines",2012-07-01 00:00:00.000,223.33,,709,0.315,"SteamCharts"
"Tyranny",2016-03-01 00:00:00.000,3.6,,12,0.3,"SteamCharts"
"Crysis",2012-07-01 00:00:00.000,338.21,,1033,0.3274,"SteamCharts"
"Foxhole",2016-08-01 00:00:00.000,0,,0,,"SteamCharts"
"Punch Club",2015-12-01 00:00:00.000,1.52,,7,0.2171,"SteamCharts"
"Galactic Civilizations III",2014-04-01 00:00:00.000,13.19,,49,0.2692,"SteamCharts"
"Minecraft: Story Mode - A Telltale Games Series",2015-11-01 00:00:00.000,453.81,,2498,0.1817,"SteamCharts"
"Half-Life 2: Deathmatch",2012-07-01 00:00:00.000,527.98,,825,0.64,"SteamCharts"
"PAC-MAN Championship Edition DX+",2013-09-01 00:00:00.000,104.9,,239,0.4389,"SteamCharts"
"Soulworker",2018-03-01 00:00:00.000,5458.2,,10919,0.4999,"SteamCharts"
"Super Crate Box",2012-09-01 00:00:00.000,159.87,,499,0.3204,"SteamCharts"
"Darksiders II Deathinitive Edition",2015-11-01 00:00:00.000,326.02,,958,0.3403,"SteamCharts"
"Universe Sandbox",2013-01-01 00:00:00.000,0.17,,2,0.085,"SteamCharts"
"Assassin's Creed Revelations",2012-07-01 00:00:00.000,1296.21,,2727,0.4753,"SteamCharts"
"Sakura Spirit",2014-07-01 00:00:00.000,77.6,,191,0.4063,"SteamCharts"
"Momodora: Reverie Under the Moonlight",2016-02-01 00:00:00.000,0.32,,2,0.16,"SteamCharts"
"Unepic",2013-06-01 00:00:00.000,1275.2,,2638,0.4834,"SteamCharts"
"Hitman: Blood Money",2012-07-01 00:00:00.000,341.11,,1137,0.3,"SteamCharts"
"Door Kickers",2013-09-01 00:00:00.000,30.65,,105,0.2919,"SteamCharts"
"How to Survive 2",2015-09-01 00:00:00.000,0.72,,4,0.18,"SteamCharts"
"Zup!",2016-10-01 00:00:00.000,40.29,,995,0.0405,"SteamCharts"
"Call to Arms",2014-10-01 00:00:00.000,0.02,,2,0.01,"SteamCharts"
"Half-Life 2: Lost Coast",2012-07-01 00:00:00.000,39.8,,74,0.5378,"SteamCharts"
"Loading Screen Simulator",2017-07-01 00:00:00.000,250.19,,1016,0.2463,"SteamCharts"
"FreeStyle 2: Street Basketball",2015-04-01 00:00:00.000,5479.02,,10305,0.5317,"SteamCharts"
"Lucius",2012-10-01 00:00:00.000,227.6,,510,0.4463,"SteamCharts"
"GRIS",2018-12-01 00:00:00.000,426.91,,854,0.4999,"SteamCharts"
"Keep Talking and Nobody Explodes",2015-10-01 00:00:00.000,382.11,,1744,0.2191,"SteamCharts"
"Assassin's Creed",2012-07-01 00:00:00.000,383.14,,997,0.3843,"SteamCharts"
"Batman - The Telltale Series",2016-08-01 00:00:00.000,136.2,,620,0.2197,"SteamCharts"
"STEINS;GATE",2016-08-01 00:00:00.000,0.27,,3,0.09,"SteamCharts"
"Relic Hunters Zero: Remix",2015-08-01 00:00:00.000,325.76,,1418,0.2297,"SteamCharts"
"Endless Space® - Definitive Edition",2012-07-01 00:00:00.000,1428.16,,2723,0.5245,"SteamCharts"
"The Swapper",2013-06-01 00:00:00.000,121.17,,649,0.1867,"SteamCharts"
"STAR WARS™ Jedi Knight: Jedi Academy™",2012-07-01 00:00:00.000,102.52,,198,0.5178,"SteamCharts"
"Aura Kingdom",2014-03-01 00:00:00.000,0.48,,3,0.16,"SteamCharts"
"Long Live The Queen",2013-11-01 00:00:00.000,223.53,,672,0.3326,"SteamCharts"
"Sword Art Online: Fatal Bullet",2018-01-01 00:00:00.000,4.34,,17,0.2553,"SteamCharts"
"Anno 2070",2012-07-01 00:00:00.000,1547.24,,3645,0.4245,"SteamCharts"
"Archeblade",2013-04-01 00:00:00.000,523.8,,1591,0.3292,"SteamCharts"
"Warhammer 40,000: Dawn of War II",2012-07-01 00:00:00.000,692.08,,1576,0.4391,"SteamCharts"
"S.T.A.L.K.E.R.: Clear Sky",2012-07-01 00:00:00.000,165.75,,404,0.4103,"SteamCharts"
"60 Seconds!",2015-05-01 00:00:00.000,31,,187,0.1658,"SteamCharts"
"Viridi",2015-08-01 00:00:00.000,500.37,,1269,0.3943,"SteamCharts"
"Homefront",2012-07-01 00:00:00.000,177.85,,363,0.4899,"SteamCharts"
"Magicite",2014-02-01 00:00:00.000,99.37,,217,0.4579,"SteamCharts"
"Streets of Rogue",2016-10-01 00:00:00.000,0,,0,,"SteamCharts"
"Nidhogg",2014-01-01 00:00:00.000,221.07,,606,0.3648,"SteamCharts"
"Hatred",2015-03-01 00:00:00.000,0.09,,2,0.045,"SteamCharts"
"Warhammer 40,000: Eternal Crusade",2016-01-01 00:00:00.000,456.35,,808,0.5648,"SteamCharts"
"FlatOut 2",2012-07-01 00:00:00.000,32.76,,69,0.4748,"SteamCharts"
"Machinarium",2012-07-01 00:00:00.000,85.48,,282,0.3031,"SteamCharts"
"DLC Quest",2013-03-01 00:00:00.000,193.99,,609,0.3185,"SteamCharts"
"PROTOTYPE 2",2012-07-01 00:00:00.000,1222.53,,4062,0.301,"SteamCharts"
"Homeworld Remastered Collection",2015-01-01 00:00:00.000,3.91,,21,0.1862,"SteamCharts"
"Planetary Annihilation: TITANS",2015-08-01 00:00:00.000,893.93,,1783,0.5014,"SteamCharts"
"Orcs Must Die!",2012-07-01 00:00:00.000,1349.83,,4548,0.2968,"SteamCharts"
"Blockstorm",2014-06-01 00:00:00.000,23.49,,159,0.1477,"SteamCharts"
"Overcooked! 2",2018-08-01 00:00:00.000,1717.91,,7030,0.2444,"SteamCharts"
"Serious Sam 2",2012-07-01 00:00:00.000,23.01,,57,0.4037,"SteamCharts"
"F.E.A.R. 3",2012-07-01 00:00:00.000,442.04,,1263,0.35,"SteamCharts"
"Lucy -The Eternity She Wished For-",2016-03-01 00:00:00.000,8.59,,34,0.2526,"SteamCharts"
"Supreme Commander 2",2012-07-01 00:00:00.000,567.44,,1000,0.5674,"SteamCharts"
"Sunless Sea",2014-06-01 00:00:00.000,0.22,,4,0.055,"SteamCharts"
"Jotun: Valhalla Edition",2015-08-01 00:00:00.000,0.2,,2,0.1,"SteamCharts"
"FINAL FANTASY VIII",2013-12-01 00:00:00.000,2330.04,,4457,0.5228,"SteamCharts"
