OrderNumber,OrderDate,Customer Name Index,Channel Index,Currency Index,Warehouse Index,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Line Total,Total Unit Cost,D_RANK,Cummulative Sales %
"SO - 0005342",2015-03-29 00:00:00.000,2,3,1,1,6,1,2,122.09,244.18,83.02,6600,0.98123482118953043
"SO - 0005805",2015-07-19 00:00:00.000,2,3,1,1,6,1,1,413.17,413.17,305.74,5861,0.95719647739531688
"SO - 0005880",2015-08-08 00:00:00.000,2,3,1,1,6,1,6,262.79,1576.73,149.79,2284,0.64904486402789807
"SO - 0005915",2015-08-18 00:00:00.000,2,3,1,1,6,1,5,431.78,2158.89,194.3,1501,0.50536234665539781
"SO - 0005951",2015-08-25 00:00:00.000,2,3,1,1,6,1,8,424.33,3394.67,322.49,641,0.27825096403632726
"SO - 0006025",2015-09-11 00:00:00.000,2,3,1,1,6,1,6,358.08,2148.47,290.04,1516,0.50771861432552956
"SO - 0006034",2015-09-12 00:00:00.000,2,3,1,1,6,1,3,126.56,379.67,63.28,6005,0.96318752582943024
"SO - 0006061",2015-09-20 00:00:00.000,2,3,1,1,3,1,9,427.31,3845.8,307.66,408,0.19472736061525547
"SO - 0006153",2015-10-11 00:00:00.000,2,3,1,1,6,1,7,119.86,838.99,94.69,4017,0.84412163851827682
"SO - 0006252",2015-11-01 00:00:00.000,2,3,1,1,6,1,3,147.4,442.2,117.92,5681,0.94962646071295209
"SO - 0006284",2015-11-07 00:00:00.000,2,3,1,1,6,1,9,109.43,984.9,70.04,3493,0.79689122800587653
"SO - 0006489",2015-12-20 00:00:00.000,2,3,1,1,6,1,3,588.11,1764.33,358.75,1971,0.5964211440838566
"SO - 0006797",2016-02-26 00:00:00.000,2,3,1,1,6,1,8,725.09,5800.71,398.8,45,0.028239664951475865
"SO - 0007027",2016-04-16 00:00:00.000,2,3,1,1,6,1,7,273.96,1917.69,199.99,1787,0.56299017106788618
"SO - 0007106",2016-05-03 00:00:00.000,2,3,1,1,6,1,1,21.59,21.59,17.7,7973,0.9999516283739589
"SO - 0007528",2016-08-18 00:00:00.000,2,3,1,1,6,1,9,324.58,2921.2,256.42,886,0.35213599730972911
"SO - 0007573",2016-08-31 00:00:00.000,2,3,1,1,6,1,2,201.74,403.49,108.94,5900,0.95869847852643142
"SO - 0007704",2016-10-01 00:00:00.000,2,3,1,1,6,1,1,419.12,419.12,217.94,5842,0.95628702196646809
"SO - 0007750",2016-10-12 00:00:00.000,2,3,1,1,6,1,1,696.8,696.8,418.08,4578,0.887242955471861
"SO - 0007784",2016-10-18 00:00:00.000,2,3,1,1,6,1,3,123.58,370.73,65.5,6060,0.96505161909547366
"SO - 0007876",2016-11-06 00:00:00.000,2,3,1,1,6,1,5,290.33,1451.67,180.01,2428,0.67132993116412476
"SO - 0007914",2016-11-16 00:00:00.000,2,3,1,1,6,1,2,189.83,379.67,94.92,6005,0.96318752582943024
"SO - 000199",2012-01-24 00:00:00.000,2,3,1,1,4,1,1,134,134,93.8,7246,0.9935206271097784
"SO - 000335",2012-02-23 00:00:00.000,2,3,1,1,4,1,9,286.61,2579.5,217.82,1143,0.42088343770132025
"SO - 000627",2012-05-01 00:00:00.000,2,3,1,1,4,1,3,23.08,69.23,15,7786,0.99915647828865761
"SO - 000664",2012-05-09 00:00:00.000,2,3,1,1,4,1,1,124.32,124.32,80.81,7323,0.994407423669305
"SO - 000712",2012-05-21 00:00:00.000,2,3,1,1,4,1,5,93.06,465.28,51.18,5583,0.94517267391825044
"SO - 000888",2012-06-22 00:00:00.000,2,3,1,1,4,1,3,19.36,58.07,8.9,7827,0.99939812446774356
"SO - 000933",2012-07-01 00:00:00.000,2,3,1,1,4,1,9,295.54,2659.9,124.13,1028,0.39147556380005438
"SO - 000954",2012-07-06 00:00:00.000,2,3,1,1,4,1,4,201,804,162.81,4184,0.85807391268045763
"SO - 000962",2012-07-08 00:00:00.000,2,3,1,1,4,1,2,93.06,186.11,71.65,6985,0.98921514938628163
"SO - 0001021",2012-07-24 00:00:00.000,2,3,1,1,4,1,3,116.88,350.63,84.15,6136,0.968117402624209
"SO - 0001033",2012-07-26 00:00:00.000,2,3,1,1,4,1,5,283.63,1418.17,232.58,2473,0.67702999855980761
"SO - 0001151",2012-08-24 00:00:00.000,2,3,1,1,4,1,5,323.09,1615.44,242.32,2237,0.64159307627266238
"SO - 0001352",2012-10-12 00:00:00.000,2,3,1,1,4,1,6,191.32,1147.93,88.01,3032,0.748972256934555
"SO - 0001376",2012-10-16 00:00:00.000,2,3,1,1,4,1,2,437.73,875.47,175.09,3795,0.826758169146801
"SO - 0001562",2012-11-22 00:00:00.000,2,3,1,1,4,1,7,258.32,1808.26,154.99,1885,0.58100554041844188
"SO - 0001617",2012-12-05 00:00:00.000,2,3,1,1,4,1,7,27.54,192.81,11.02,6945,0.9885000710543782
"SO - 0001681",2012-12-20 00:00:00.000,2,3,1,1,4,1,3,124.32,372.97,50.97,6050,0.96464545306655569
"SO - 0001772",2013-01-11 00:00:00.000,2,3,1,1,4,1,6,124.32,745.93,55.95,4404,0.87443104107516911
"SO - 0001815",2013-01-21 00:00:00.000,2,3,1,1,4,1,4,125.07,500.27,91.3,5444,0.93870789381352671
"SO - 0001989",2013-02-24 00:00:00.000,2,3,1,1,4,1,4,635.76,2543.02,464.1,1198,0.43464139845140215
"SO - 0002060",2013-03-13 00:00:00.000,2,3,1,1,4,1,8,134.74,1077.96,79.5,3207,0.76768684510011687
"SO - 0002090",2013-03-19 00:00:00.000,2,3,1,1,4,1,6,113.16,678.93,79.21,4640,0.89147843061321586
"SO - 0002105",2013-03-22 00:00:00.000,2,3,1,1,4,1,5,436.99,2184.94,196.65,1478,0.49974998423899558
"SO - 0002113",2013-03-23 00:00:00.000,2,3,1,1,4,1,2,118.37,236.73,63.92,6651,0.98230590676830754
"SO - 0002188",2013-04-09 00:00:00.000,2,3,1,1,4,1,8,21.59,172.71,14.03,7054,0.99057937133750829
"SO - 0002265",2013-04-28 00:00:00.000,2,3,1,1,4,1,6,119.86,719.13,58.73,4487,0.88127294194348849
"SO - 0002280",2013-05-01 00:00:00.000,2,3,1,1,4,1,6,439.97,2639.8,206.78,1053,0.39753883881055341
"SO - 0002405",2013-05-27 00:00:00.000,2,3,1,1,4,1,8,107.2,857.6,77.18,3898,0.83526711938127673
"SO - 0002639",2013-07-23 00:00:00.000,2,3,1,1,4,1,4,263.53,1054.13,224,3269,0.77477861445823337
"SO - 0002809",2013-09-01 00:00:00.000,2,3,1,1,4,1,9,201,1809,102.51,1880,0.58064566929252992
"SO - 0002828",2013-09-07 00:00:00.000,2,3,1,1,4,1,4,217.38,869.51,95.65,3841,0.82883835206209822
"SO - 0002915",2013-09-23 00:00:00.000,2,3,1,1,4,1,9,101.99,917.9,40.8,3637,0.81089905724575551
"SO - 0003242",2013-12-10 00:00:00.000,2,3,1,1,4,1,9,314.16,2827.4,197.92,930,0.36412142469640468
"SO - 0003625",2014-03-09 00:00:00.000,2,3,1,1,4,1,5,115.39,576.94,93.47,5135,0.92213727192212569
"SO - 0003692",2014-03-24 00:00:00.000,2,3,1,1,4,1,3,439.97,1319.9,338.77,2645,0.7007427595474226
"SO - 0003810",2014-04-20 00:00:00.000,2,3,1,1,4,1,5,438.48,2192.39,179.78,1466,0.49822620289042352
"SO - 0003950",2014-05-20 00:00:00.000,2,3,1,1,4,1,8,108.69,869.51,58.69,3841,0.82883835206209822
"SO - 0004011",2014-06-02 00:00:00.000,2,3,1,1,4,1,3,98.27,294.8,76.65,6319,0.97359975541197974
"SO - 0004023",2014-06-03 00:00:00.000,2,3,1,1,4,1,7,197.28,1380.94,153.88,2512,0.68286859243724762
"SO - 0004209",2014-07-16 00:00:00.000,2,3,1,1,4,1,1,433.27,433.27,324.95,5752,0.9528866322844658
"SO - 0004331",2014-08-14 00:00:00.000,2,3,1,1,4,1,9,122.83,1105.5,65.1,3144,0.7613903711083575
"SO - 0004593",2014-10-12 00:00:00.000,2,3,1,1,4,1,6,87.1,522.6,39.2,5359,0.93389054018167272
"SO - 0005004",2015-01-07 00:00:00.000,2,3,1,1,4,1,9,640.97,5768.7,506.36,48,0.029389723720051109
"SO - 0005255",2015-03-09 00:00:00.000,2,3,1,1,4,1,6,214.4,1286.4,165.09,2768,0.717197010318072
"SO - 0005271",2015-03-11 00:00:00.000,2,3,1,1,4,1,3,189.09,567.27,141.82,5190,0.92520490927693577
"SO - 0005908",2015-08-15 00:00:00.000,2,3,1,1,4,1,8,145.91,1167.29,105.06,2988,0.74345368438548853
"SO - 0005931",2015-08-20 00:00:00.000,2,3,1,1,4,1,6,126.56,759.33,103.78,4341,0.87031816025814723
"SO - 0005994",2015-09-04 00:00:00.000,2,3,1,1,4,1,1,206.96,206.96,173.84,6862,0.98683658604946689
"SO - 0006065",2015-09-21 00:00:00.000,2,3,1,1,4,1,6,697.54,4185.27,551.06,271,0.13961446869716854
"SO - 0006176",2015-10-16 00:00:00.000,2,3,1,1,4,1,4,272.47,1089.87,182.55,3182,0.76510241651711763
"SO - 0006214",2015-10-24 00:00:00.000,2,3,1,1,4,1,4,118.37,473.47,54.45,5558,0.94442737613167027
"SO - 0006316",2015-11-14 00:00:00.000,2,3,1,1,4,1,5,146.66,733.28,109.99,4451,0.877598687520593
"SO - 0006383",2015-11-29 00:00:00.000,2,3,1,1,4,1,6,295.54,1773.27,245.3,1956,0.59378256547008224
"SO - 0006491",2015-12-21 00:00:00.000,2,3,1,1,4,1,7,99.76,698.29,63.84,4572,0.88641083931847087
"SO - 0006610",2016-01-14 00:00:00.000,2,3,1,1,4,1,1,122.83,122.83,88.44,7336,0.99459120918023913
"SO - 0006656",2016-01-24 00:00:00.000,2,3,1,1,4,1,1,93.8,93.8,71.29,7665,0.99812694806721125
"SO - 0006728",2016-02-09 00:00:00.000,2,3,1,1,4,1,2,429.54,859.09,300.68,3896,0.83330435241624168
"SO - 0006760",2016-02-15 00:00:00.000,2,3,1,1,4,1,7,343.93,2407.53,154.77,1274,0.45360977570511574
"SO - 0006823",2016-03-03 00:00:00.000,2,3,1,1,4,1,6,120.6,723.6,101.3,4474,0.87969782961366894
"SO - 0006871",2016-03-13 00:00:00.000,2,3,1,1,4,1,6,125.81,754.87,76.74,4363,0.87167149309572045
"SO - 0007082",2016-04-28 00:00:00.000,2,3,1,1,4,1,2,412.42,824.84,263.95,4079,0.8488386238371799
"SO - 0007202",2016-05-24 00:00:00.000,2,3,1,1,4,1,1,101.24,101.24,64.8,7597,0.99753639450654585
"SO - 0007244",2016-06-06 00:00:00.000,2,3,1,1,4,1,1,206.96,206.96,82.78,6862,0.98683658604946689
"SO - 0007359",2016-07-04 00:00:00.000,2,3,1,1,4,1,5,310.43,1552.17,226.62,2321,0.65448351308984942
"SO - 0007406",2016-07-14 00:00:00.000,2,3,1,1,4,1,4,189.83,759.33,112,4341,0.87031816025814723
"SO - 0007454",2016-07-26 00:00:00.000,2,3,1,1,4,1,7,428.06,2996.39,342.44,842,0.3391530363615276
"SO - 0007516",2016-08-13 00:00:00.000,2,3,1,1,4,1,6,417.63,2505.8,300.7,1220,0.44065985624634596
"SO - 0007579",2016-09-01 00:00:00.000,2,3,1,1,4,1,3,103.48,310.43,72.43,6273,0.97213412827889822
"SO - 0007671",2016-09-25 00:00:00.000,2,3,1,1,4,1,9,284.38,2559.4,113.75,1170,0.42854953193011147
"SO - 0007723",2016-10-04 00:00:00.000,2,3,1,1,4,1,9,317.13,2854.2,190.28,912,0.35903538668787927
"SO - 0007917",2016-11-17 00:00:00.000,2,3,1,1,4,1,7,433.27,3032.87,311.95,812,0.32986115756179862
"SO - 0008001",2016-12-05 00:00:00.000,2,3,1,1,4,1,6,18.61,111.67,8,7495,0.996629838728358
"SO - 000221",2012-01-30 00:00:00.000,2,3,1,1,5,1,1,562.06,562.06,399.06,5234,0.92745036332423736
"SO - 000230",2012-02-01 00:00:00.000,2,3,1,1,5,1,6,29.03,174.2,12.48,7036,0.99039032585629461
"SO - 000375",2012-03-01 00:00:00.000,2,3,1,1,5,1,8,75.93,607.47,49.36,4938,0.91041251357716091
"SO - 000459",2012-03-26 00:00:00.000,2,3,1,1,5,1,4,652.88,2611.51,476.6,1087,0.40616453729948038
"SO - 000478",2012-04-01 00:00:00.000,2,3,1,1,5,1,6,434.01,2604.07,199.65,1095,0.41057209785140053
"SO - 000488",2012-04-02 00:00:00.000,2,3,1,1,5,1,9,202.49,1822.4,89.1,1875,0.57920255773786622
"SO - 000606",2012-04-26 00:00:00.000,2,3,1,1,5,1,6,106.46,638.73,84.1,4807,0.90213401591494591
"SO - 000659",2012-05-08 00:00:00.000,2,3,1,1,5,1,6,603,3618,416.07,461,0.21302340301481115
"SO - 0001110",2012-08-15 00:00:00.000,2,3,1,1,5,1,7,101.99,713.92,62.21,4514,0.88233966511028949
"SO - 0001201",2012-09-05 00:00:00.000,2,3,1,1,5,1,8,28.29,226.31,11.32,6724,0.98391465962314484
"SO - 0001378",2012-10-17 00:00:00.000,2,3,1,1,5,1,6,192.07,1152.4,142.13,3015,0.74737232741616666
"SO - 0001560",2012-11-22 00:00:00.000,2,3,1,1,5,1,9,201,1809,140.7,1880,0.58064566929252992
"SO - 0001571",2012-11-26 00:00:00.000,2,3,1,1,5,1,4,210.68,842.71,99.02,4001,0.84228376947787642
"SO - 0001835",2013-01-24 00:00:00.000,2,3,1,1,5,1,3,425.82,1277.47,242.72,2798,0.7200035228864895
"SO - 0001883",2013-02-01 00:00:00.000,2,3,1,1,5,1,4,106.46,425.82,68.13,5808,0.95531993672703575
"SO - 0001894",2013-02-04 00:00:00.000,2,3,1,1,5,1,5,121.34,606.72,74.02,4948,0.91107661915507732
"SO - 0001909",2013-02-06 00:00:00.000,2,3,1,1,5,1,2,726.58,1453.16,523.14,2426,0.670318766060249
"SO - 0001936",2013-02-12 00:00:00.000,2,3,1,1,5,1,3,120.6,361.8,95.27,6092,0.96632160936574263
"SO - 0002053",2013-03-12 00:00:00.000,2,3,1,1,5,1,6,410.19,2461.13,287.13,1245,0.44634688715496235
"SO - 0002203",2013-04-13 00:00:00.000,2,3,1,1,5,1,4,424.33,1697.33,267.33,2141,0.62657008470972209
"SO - 0002213",2013-04-15 00:00:00.000,2,3,1,1,5,1,9,189.09,1701.8,138.03,2133,0.62437293760854151
"SO - 0002257",2013-04-26 00:00:00.000,2,3,1,1,5,1,9,434.76,3912.8,369.54,363,0.17699934425703848
"SO - 0002266",2013-04-28 00:00:00.000,2,3,1,1,5,1,5,203.23,1016.17,89.42,3393,0.78693864977243588
"SO - 0002282",2013-05-01 00:00:00.000,2,3,1,1,5,1,1,268.74,268.74,177.37,6420,0.97632226766803953
"SO - 0002334",2013-05-14 00:00:00.000,2,3,1,1,5,1,3,437.73,1313.2,275.77,2664,0.70388336381495775
"SO - 0002404",2013-05-27 00:00:00.000,2,3,1,1,5,1,8,684.14,5473.16,533.63,79,0.047253748023366633
"SO - 0002427",2013-06-02 00:00:00.000,2,3,1,1,5,1,6,722.11,4332.67,505.48,248,0.12943513360270772
"SO - 0002435",2013-06-03 00:00:00.000,2,3,1,1,5,1,8,114.64,917.16,49.3,3643,0.81135537907149058
"SO - 0002593",2013-07-16 00:00:00.000,2,3,1,1,5,1,1,265.77,265.77,180.72,6442,0.97696096896270979
"SO - 0002607",2013-07-18 00:00:00.000,2,3,1,1,5,1,2,192.07,384.13,147.89,5977,0.96212672435826552
"SO - 0002632",2013-07-22 00:00:00.000,2,3,1,1,5,1,1,250.88,250.88,210.74,6535,0.9793636141271328
"SO - 0002793",2013-08-28 00:00:00.000,2,3,1,1,5,1,6,116.88,701.27,93.5,4557,0.88592414678654885
"SO - 0002837",2013-09-09 00:00:00.000,2,3,1,1,5,1,1,115.39,115.39,83.08,7447,0.99595705210982088
"SO - 0002857",2013-09-12 00:00:00.000,2,3,1,1,5,1,9,603.74,5433.7,356.21,91,0.053218200073515375
"SO - 0003020",2013-10-15 00:00:00.000,2,3,1,1,5,1,4,119.86,479.42,88.69,5544,0.94338880266203917
"SO - 0003153",2013-11-17 00:00:00.000,2,3,1,1,5,1,7,685.63,4799.43,569.08,181,0.099871102467998324
"SO - 0003270",2013-12-18 00:00:00.000,2,3,1,1,5,1,3,29.78,89.33,17.87,7682,0.99841510607581085
"SO - 0003444",2014-01-26 00:00:00.000,2,3,1,1,5,1,4,562.8,2251.2,433.36,1383,0.47993045503328224
"SO - 0003447",2014-01-27 00:00:00.000,2,3,1,1,5,1,4,27.54,110.18,14.6,7523,0.99676155093155394
"SO - 0003463",2014-01-30 00:00:00.000,2,3,1,1,5,1,7,126.56,885.89,62.01,3748,0.82072518623150692
"SO - 0003546",2014-02-17 00:00:00.000,2,3,1,1,5,1,4,124.32,497.29,52.22,5460,0.9396488334382983
"SO - 0003583",2014-02-26 00:00:00.000,2,3,1,1,5,1,1,29.03,29.03,18.58,7923,0.99983673792588579
"SO - 0003789",2014-04-15 00:00:00.000,2,3,1,1,5,1,9,29.78,268,18.46,6421,0.97672228810928319
"SO - 0003825",2014-04-23 00:00:00.000,2,3,1,1,5,1,6,117.62,705.73,99.98,4544,0.88459681428258063
"SO - 0003881",2014-05-06 00:00:00.000,2,3,1,1,5,1,4,95.29,381.16,72.42,5996,0.96269638530901958
"SO - 0003885",2014-05-07 00:00:00.000,2,3,1,1,5,1,6,418.38,2510.27,263.58,1216,0.43966232367989566
"SO - 0003899",2014-05-09 00:00:00.000,2,3,1,1,5,1,4,721.37,2885.47,295.76,903,0.35646473791351263
"SO - 0004335",2014-08-15 00:00:00.000,2,3,1,1,5,1,9,25.31,227.8,11.14,6705,0.98377954227081976
"SO - 0004585",2014-10-10 00:00:00.000,2,3,1,1,5,1,6,440.71,2644.27,237.98,1046,0.39701347863105352
"SO - 0004919",2014-12-20 00:00:00.000,2,3,1,1,5,1,8,218.12,1744.98,115.6,2027,0.60724250900128629
"SO - 0005080",2015-01-24 00:00:00.000,2,3,1,1,5,1,4,26.8,107.2,19.3,7549,0.99707274792840261
"SO - 0005092",2015-01-27 00:00:00.000,2,3,1,1,5,1,5,104.22,521.11,76.08,5360,0.93446093848353873
"SO - 0005176",2015-02-16 00:00:00.000,2,3,1,1,5,1,7,424.33,2970.33,326.74,868,0.34686965357007821
"SO - 0005189",2015-02-20 00:00:00.000,2,3,1,1,5,1,6,20.1,120.6,13.87,7361,0.99494085291785483
"SO - 0005240",2015-03-05 00:00:00.000,2,3,1,1,5,1,1,282.89,282.89,164.08,6369,0.97500627305687559
"SO - 0005279",2015-03-13 00:00:00.000,2,3,1,1,5,1,4,130.28,521.11,83.38,5360,0.93446093848353873
"SO - 0005404",2015-04-12 00:00:00.000,2,3,1,1,5,1,8,445.18,3561.42,186.97,482,0.22192867399898694
"SO - 0005434",2015-04-18 00:00:00.000,2,3,1,1,5,1,9,704.99,6344.9,458.24,13,0.0083690943315507388
"SO - 0005618",2015-06-03 00:00:00.000,2,3,1,1,5,1,7,260.56,1823.89,151.12,1873,0.57883987253780544
"SO - 0005901",2015-08-14 00:00:00.000,2,3,1,1,5,1,8,335.74,2685.96,204.8,992,0.381371715150053
"SO - 0006047",2015-09-16 00:00:00.000,2,3,1,1,5,1,6,122.09,732.53,102.55,4453,0.87803604121286782
"SO - 0006106",2015-09-30 00:00:00.000,2,3,1,1,5,1,9,431.78,3886,228.84,379,0.18319810579295631
"SO - 0006282",2015-11-07 00:00:00.000,2,3,1,1,5,1,5,439.97,2199.83,259.58,1452,0.49495055391109111
"SO - 0006296",2015-11-09 00:00:00.000,2,3,1,1,5,1,8,434.76,3478.04,182.6,559,0.24990944114354149
"SO - 0006326",2015-11-16 00:00:00.000,2,3,1,1,5,1,4,311.18,1244.71,146.25,2853,0.72727233810765812
"SO - 0006413",2015-12-04 00:00:00.000,2,3,1,1,5,1,7,18.61,130.28,10.98,7261,0.99375419824935984
"SO - 0006426",2015-12-05 00:00:00.000,2,3,1,1,5,1,7,112.41,786.88,91.05,4245,0.86210826510653038
"SO - 0006437",2015-12-07 00:00:00.000,2,3,1,1,5,1,2,338.72,677.44,270.98,4651,0.89174807225273423
"SO - 0006444",2015-12-08 00:00:00.000,2,3,1,1,5,1,8,26.8,214.4,16.62,6801,0.98596298916942582
"SO - 0006484",2015-12-19 00:00:00.000,2,3,1,1,5,1,7,191.32,1339.26,105.23,2577,0.691227463360805
"SO - 0006505",2015-12-24 00:00:00.000,2,3,1,1,5,1,6,428.8,2572.8,360.19,1147,0.42318844504058079
"SO - 0006521",2015-12-29 00:00:00.000,2,3,1,1,5,1,6,119.11,714.67,59.56,4505,0.8819844628796768
"SO - 0006522",2015-12-29 00:00:00.000,2,3,1,1,5,1,1,432.52,432.52,207.61,5763,0.95318790539111431
"SO - 0006769",2016-02-18 00:00:00.000,2,3,1,1,5,1,9,441.46,3973.1,370.82,323,0.16014922251091668
"SO - 0006813",2016-03-01 00:00:00.000,2,3,1,1,5,1,8,591.83,4734.67,325.51,189,0.1027141363056558
"SO - 0007055",2016-04-23 00:00:00.000,2,3,1,1,5,1,4,410.19,1640.76,242.01,2215,0.637705840817076
"SO - 0007098",2016-05-01 00:00:00.000,2,3,1,1,5,1,2,126.56,253.11,96.18,6509,0.97883758625182182
"SO - 0007134",2016-05-09 00:00:00.000,2,3,1,1,5,1,9,125.07,1125.6,57.53,3083,0.75495923252372743
"SO - 0007328",2016-06-27 00:00:00.000,2,3,1,1,5,1,8,434.76,3478.04,269.55,559,0.24990944114354149
"SO - 0007329",2016-06-27 00:00:00.000,2,3,1,1,5,1,2,347.66,695.31,292.03,4590,0.88745059593313824
"SO - 0007361",2016-07-04 00:00:00.000,2,3,1,1,5,1,1,22.33,22.33,12.95,7968,0.99994518326849147
"SO - 0007386",2016-07-09 00:00:00.000,2,3,1,1,5,1,7,23.08,161.54,15.23,7105,0.99136022815510294
"SO - 0007440",2016-07-23 00:00:00.000,2,3,1,1,5,1,6,25.31,151.87,17.46,7147,0.99204485119938257
"SO - 0007494",2016-08-05 00:00:00.000,2,3,1,1,5,1,9,215.89,1943,88.51,1770,0.55953695779104928
"SO - 0007564",2016-08-28 00:00:00.000,2,3,1,1,5,1,9,129.53,1165.8,56.99,2993,0.74403371402529173
"SO - 0007887",2016-11-09 00:00:00.000,2,3,1,1,5,1,9,440.71,3966.4,229.17,325,0.1617284146512068
"SO - 000144",2012-01-11 00:00:00.000,1,3,1,1,1,1,6,343.93,2063.6,223.56,1609,0.52806683323411707
"SO - 000225",2012-01-31 00:00:00.000,1,3,1,1,1,1,7,277.68,1943.74,202.7,1768,0.5591502713645139
"SO - 000357",2012-02-26 00:00:00.000,1,3,1,1,1,1,4,99.01,396.04,82.18,5921,0.95969141384303458
"SO - 000418",2012-03-13 00:00:00.000,1,3,1,1,1,1,3,78.17,234.5,35.17,6669,0.98265658737482808
"SO - 000450",2012-03-23 00:00:00.000,1,3,1,1,1,1,6,119.86,719.13,100.68,4487,0.88127294194348849
"SO - 000521",2012-04-06 00:00:00.000,1,3,1,1,1,1,7,122.83,859.83,82.3,3885,0.833133380495412
"SO - 000561",2012-04-19 00:00:00.000,1,3,1,1,1,1,8,134,1072,73.7,3215,0.7693953035474721
"SO - 000593",2012-04-24 00:00:00.000,1,3,1,1,1,1,7,616.4,4314.8,468.46,252,0.13115618373828064
"SO - 000654",2012-05-07 00:00:00.000,1,3,1,1,1,1,6,116.88,701.27,57.27,4557,0.88592414678654885
"SO - 000848",2012-06-13 00:00:00.000,1,3,1,1,1,1,6,246.41,1478.47,177.42,2401,0.666680210974045
"SO - 0001219",2012-09-10 00:00:00.000,1,3,1,1,1,1,7,20.1,140.7,14.47,7220,0.993047046690678
"SO - 0001466",2012-11-02 00:00:00.000,1,3,1,1,1,1,6,130.28,781.67,79.47,4266,0.86436956772489582
"SO - 0001724",2012-12-31 00:00:00.000,1,3,1,1,1,1,8,115.39,923.11,70.39,3627,0.81025924644165237
"SO - 0002047",2013-03-11 00:00:00.000,1,3,1,1,1,1,5,197.28,986.39,110.48,3489,0.796597139345959
"SO - 0002078",2013-03-16 00:00:00.000,1,3,1,1,1,1,3,444.43,1333.3,364.44,2591,0.69375084902348549
"SO - 0002217",2013-04-16 00:00:00.000,1,3,1,1,1,1,7,122.09,854.62,53.72,3928,0.83679867724663559
"SO - 0002331",2013-05-13 00:00:00.000,1,3,1,1,1,1,1,202.49,202.49,123.52,6882,0.98744350562057293
"SO - 0002398",2013-05-26 00:00:00.000,1,3,1,1,1,1,4,221.84,887.38,181.91,3729,0.8201961960157641
"SO - 0002409",2013-05-28 00:00:00.000,1,3,1,1,1,1,7,122.83,859.83,85.98,3885,0.833133380495412
"SO - 0002564",2013-07-08 00:00:00.000,1,3,1,1,1,1,8,18.61,148.89,11.54,7163,0.99240190725607025
"SO - 0002741",2013-08-19 00:00:00.000,1,3,1,1,1,1,6,197.28,1183.67,163.74,2949,0.73912938878496626
"SO - 0002795",2013-08-29 00:00:00.000,1,3,1,1,1,1,3,430.29,1290.87,279.69,2754,0.71501956671131206
"SO - 0002825",2013-09-06 00:00:00.000,1,3,1,1,1,1,9,352.87,3175.8,211.72,705,0.29663857031882312
"SO - 0002911",2013-09-22 00:00:00.000,1,3,1,1,1,1,6,101.24,607.47,73.91,4938,0.91041251357716091
"SO - 0002922",2013-09-24 00:00:00.000,1,3,1,1,1,1,1,27.54,27.54,13.77,7933,0.99986984708046645
"SO - 0002932",2013-09-25 00:00:00.000,1,3,1,1,1,1,6,123.58,741.47,60.55,4423,0.876131796641341
"SO - 0003190",2013-11-26 00:00:00.000,1,3,1,1,1,1,4,22.33,89.33,17.87,7682,0.99841510607581085
"SO - 0003221",2013-12-06 00:00:00.000,1,3,1,1,1,1,7,248.64,1740.51,156.65,2041,0.60828241388223658
"SO - 0003227",2013-12-08 00:00:00.000,1,3,1,1,1,1,4,118.37,473.47,95.88,5558,0.94442737613167027
"SO - 0003278",2013-12-19 00:00:00.000,1,3,1,1,1,1,2,424.33,848.67,267.33,3963,0.8399306134095349
"SO - 0003367",2014-01-08 00:00:00.000,1,3,1,1,1,1,3,329.79,989.37,131.92,3475,0.7951221774075059
"SO - 0003527",2014-02-13 00:00:00.000,1,3,1,1,1,1,2,189.09,378.18,158.83,6018,0.96333805292442476
"SO - 0003600",2014-03-02 00:00:00.000,1,3,1,1,1,1,9,23.08,207.7,16.15,6850,0.98675420970069094
"SO - 0003757",2014-04-08 00:00:00.000,1,3,1,1,1,1,5,271.72,1358.61,154.88,2540,0.68626809849200665
"SO - 0003773",2014-04-11 00:00:00.000,1,3,1,1,1,1,3,275.44,826.33,223.11,4075,0.84851031253294584
"SO - 0003792",2014-04-15 00:00:00.000,1,3,1,1,1,1,5,20.84,104.22,16.26,7572,0.99733327765951219
"SO - 0003879",2014-05-06 00:00:00.000,1,3,1,1,1,1,7,141.44,990.11,115.98,3474,0.79492527779359889
"SO - 0003901",2014-05-10 00:00:00.000,1,3,1,1,1,1,4,192.07,768.27,113.32,4303,0.86698281171072467
"SO - 0003918",2014-05-12 00:00:00.000,1,3,1,1,1,1,9,122.83,1105.5,94.58,3144,0.7613903711083575
"SO - 0003949",2014-05-19 00:00:00.000,1,3,1,1,1,1,3,343.19,1029.57,229.94,3362,0.78378544983638032
"SO - 0003973",2014-05-26 00:00:00.000,1,3,1,1,1,1,7,685.63,4799.43,555.36,181,0.099871102467998324
"SO - 0004007",2014-06-01 00:00:00.000,1,3,1,1,1,1,3,112.41,337.23,65.2,6202,0.9700960947811389
"SO - 0004448",2014-09-08 00:00:00.000,1,3,1,1,1,1,2,427.31,854.62,290.57,3928,0.83679867724663559
"SO - 0004592",2014-10-12 00:00:00.000,1,3,1,1,1,1,1,600.77,600.77,408.52,4986,0.91311642886300515
