Country,Year,Population
"Anguilla",1960,5863
"Antigua and Barbuda",1960,54657
"Argentina",1960,20625451
"Armenia",1960,1867396
"Aruba",1960,54209
"Australia",1960,10286184
"Austria",1960,7042634
"Azerbaijan",1960,3894494
"Bahamas",1960,109527
"Bahrain",1960,161825
"Bangladesh",1960,50101943
"Barbados",1960,230831
"Belarus",1960,8190006
"Belgium",1960,9152271
"Belize",1960,92633
"Benin",1960,2419644
"Bermuda",1960,44713
"Bhutan",1960,225993
"Bolivia",1960,3354895
"Bosnia and Herzegovina",1960,3180020
"Botswana",1960,523997
"Brazil",1960,72758801
"British Virgin Islands",1960,8015
"Brunei",1960,79846
"Bulgaria",1960,7867008
"Burkina Faso",1960,4881947
"Burundi",1960,2940498
"Cambodia",1960,5433306
"Cameroon",1960,5409083
"Canada",1960,17909009
"Cape Verde",1960,210933
"Cayman Islands",1960,8092
"Central African Rep.",1960,1503509
"Chad",1960,2954088
"Channel Islands",1960,109396
"Chile",1960,7651579
"China",1960,658270094
"Colombia",1960,16004714
"Comoros",1960,193052
"Congo, Dem. Rep.",1960,15367539
"Congo, Rep.",1960,1013581
"Cook Islands",1960,18259
"Costa Rica",1960,1334004
"Cote d'Ivoire",1960,3638385
"Croatia",1960,4045251
"Cuba",1960,7133582
"Cyprus",1960,572997
"Czech Rep.",1960,9521854
"Denmark",1960,4579770
"Djibouti",1960,84877
"Dominica",1960,60015
"Dominican Rep.",1960,3308941
"Ecuador",1960,4439206
"Egypt",1960,27903093
"El Salvador",1960,2773095
"Equatorial Guinea",1960,252115
"Eritrea",1960,1423599
"Estonia",1960,1216003
"Ethiopia",1960,22553350
"Faeroe Islands",1960,34334
"Falkland Islands (Malvinas)",1960,2144
"Fiji",1960,393366
"Finland",1960,4430001
"France",1960,45688594
"French Guiana",1960,32377
"French Polynesia",1960,79335
"Gabon",1960,485732
"Gambia",1960,372625
"Georgia",1960,4159500
"Germany",1960,72814899
"Ghana",1960,6742107
"Gibraltar",1960,21518
"Greece",1960,8333499
"Greenland",1960,32649
"Grenada",1960,89844
"Guadeloupe",1960,275526
"Guam",1960,67436
"Guatemala",1960,4158956
"Guinea",1960,3540756
"Guinea-Bissau",1960,593289
"Guyana",1960,560184
"Haiti",1960,3867502
"Holy See",1960,906
"Honduras",1960,1999530
"Hong Kong, China",1960,3075605
"Hungary",1960,9982612
"Iceland",1960,175998
"India",1960,447844159
"Indonesia",1960,91946612
"Iran",1960,21999103
"Iraq",1960,7379922
"Ireland",1960,2828866
"Isle of Man",1960,48445
"Israel",1960,2089963
"Italy",1960,49519312
"Jamaica",1960,1629025
"Japan",1960,92500572
"Jordan",1960,895357
"Kazakhstan",1960,9995997
"Kenya",1960,8105435
"Kiribati",1960,32975
"Korea, Dem. Rep.",1960,10946479
"Korea, Rep.",1960,25074152
"Kuwait",1960,263718
"Kyrgyzstan",1960,2172500
"Laos",1960,2129968
"Latvia",1960,2131890
"Lebanon",1960,1907573
"Lesotho",1960,851594
"Liberia",1960,1115736
"Libya",1960,1349004
"Liechtenstein",1960,16561
"Lithuania",1960,2769849
"Luxembourg",1960,314002
"Macao, China",1960,171450
"Macedonia, FYR",1960,1391996
"Madagascar",1960,5103652
"Malawi",1960,3525246
"Malaysia",1960,8160113
"Maldives",1960,90050
"Mali",1960,5247877
"Malta",1960,312905
"Marshall Islands",1960,14661
"Martinique",1960,281865
"Mauritania",1960,854167
"Mauritius",1960,659351
"Mayotte",1960,24055
"Mexico",1960,38418829
"Micronesia, Fed. Sts.",1960,44536
"Moldova",1960,3003500
"Monaco",1960,22135
"Mongolia",1960,957044
"Montenegro",1960,466674
"Montserrat",1960,12095
"Morocco",1960,11625999
"Mozambique",1960,7647298
"Myanmar",1960,20957397
"Namibia",1960,602545
"Nauru",1960,4433
"Nepal",1960,9740462
"Netherlands",1960,11418460
"Netherlands Antilles",1960,134776
"New Caledonia",1960,78005
"New Zealand",1960,2372000
"Nicaragua",1960,1772895
"Niger",1960,3249965
"Nigeria",1960,45926253
"Niue",1960,4831
"Northern Mariana Islands",1960,10070
"Norway",1960,3580998
"Oman",1960,557492
"Pakistan",1960,45920204
"Palau",1960,9638
"Panama",1960,1128378
"Papua New Guinea",1960,1966961
"Paraguay",1960,1905829
"Peru",1960,9929439
"Philippines",1960,26010295
"Poland",1960,29033001
"Portugal",1960,8882954
"Puerto Rico",1960,2358747
"Qatar",1960,47085
"Reunion",1960,335329
"Romania",1960,18407002
"Russia",1960,119905701
"Rwanda",1960,2771018
"Saint Helena",1960,4738
"Saint Kitts and Nevis",1960,51201
"Saint Lucia",1960,90213
"Saint Vincent and the Grenadines",1960,80948
"Saint-Pierre-et-Miquelon",1960,4919
"Samoa",1960,109917
"San Marino",1960,15392
"Sao Tome and Principe",1960,64251
"Saudi Arabia",1960,4041422
"Senegal",1960,3047804
"Serbia",1960,7583324
"Seychelles",1960,41443
"Sierra Leone",1960,2187240
"Singapore",1960,1633694
"Slovak Republic",1960,4093623
"Slovenia",1960,1580010
"Solomon Islands",1960,126363
"Somalia",1960,2819246
"South Africa",1960,17396477
"South Sudan",1960,2365478
"Spain",1960,30413044
"Sri Lanka",1960,10020405
"Sudan",1960,9196306
"Suriname",1960,290000
"Swaziland",1960,349181
"Sweden",1960,7480001
"Switzerland",1960,5296052
"Syria",1960,4566822
"Taiwan",1960,11209000
"Tajikistan",1960,2082499
"Tanzania",1960,10074485
"Thailand",1960,27312399
"Timor-Leste",1960,499676
"Togo",1960,1577708
"Tokelau",1960,1873
"Tonga",1960,61601
"Trinidad and Tobago",1960,841210
"Tunisia",1960,4220701
"Turkey",1960,28160579
"Turkmenistan",1960,1593501
"Turks and Caicos Islands",1960,5724
"Tuvalu",1960,6104
"Uganda",1960,6788219
"Ukraine",1960,42783010
"United Arab Emirates",1960,89871
"United Kingdom",1960,52544356
"United States",1960,186326215
"Uruguay",1960,2538095
"Uzbekistan",1960,8558503
"Wallis et Futuna",1960,8563
"Vanuatu",1960,63702
"Venezuela",1960,7562108
"West Bank and Gaza",1960,1069013
"Western Sahara",1960,32806
"Vietnam",1960,35172657
"Virgin Islands (U.S.)",1960,32632
"Yemen, Rep.",1960,5116419
"Zambia",1960,3044733
"Zimbabwe",1960,3752373
"Afghanistan",1961,9859928
"Albania",1961,1661158
"Algeria",1961,11006643
"American Samoa",1961,20500
"Andorra",1961,14337
"Angola",1961,5053693
"Anguilla",1961,5901
"Antigua and Barbuda",1961,55408
"Argentina",1961,20961000
"Armenia",1961,1934239
"Aruba",1961,55436
"Australia",1961,10493531
"Austria",1961,7080528
"Azerbaijan",1961,4026358
"Bahamas",1961,115112
"Bahrain",1961,167179
"Bangladesh",1961,51531438
"Barbados",1961,231574
"Belarus",1961,8274466
"Belgium",1961,9211920
"Belize",1961,95294
"Benin",1961,2451123
"Bermuda",1961,45573
"Bhutan",1961,232000
"Bolivia",1961,3430160
"Bosnia and Herzegovina",1961,3225391
"Botswana",1961,536540
"Brazil",1961,74975656
"British Virgin Islands",1961,8139
"Brunei",1961,83458
"Bulgaria",1961,7939132
"Burkina Faso",1961,4956921
"Burundi",1961,2992893
"Cambodia",1961,5564215
"Cameroon",1961,5525481
"Canada",1961,18284009
"Cape Verde",1961,215792
"Cayman Islands",1961,8277
"Central African Rep.",1961,1529237
"Chad",1961,3017366
"Channel Islands",1961,110381
"Chile",1961,7848372
"China",1961,667084365
"Colombia",1961,16487391
"Comoros",1961,196605
"Congo, Dem. Rep.",1961,15767376
"Congo, Rep.",1961,1039961
"Cook Islands",1961,18436
"Costa Rica",1961,1381414
"Cote d'Ivoire",1961,3777543
"Croatia",1961,4061112
"Cuba",1961,7281821
"Cyprus",1961,576469
"Czech Rep.",1961,9562444
"Denmark",1961,4612789
"Djibouti",1961,89853
"Dominica",1961,61034
"Dominican Rep.",1961,3421385
"Ecuador",1961,4570153
"Egypt",1961,28648825
"El Salvador",1961,2859302
"Equatorial Guinea",1961,255100
"Eritrea",1961,1459988
"Estonia",1961,1229668
"Ethiopia",1961,23084406
"Faeroe Islands",1961,34793
"Falkland Islands (Malvinas)",1961,2131
"Fiji",1961,407137
"Finland",1961,4463165
"France",1961,46280695
"French Guiana",1961,33505
"French Polynesia",1961,81695
"Gabon",1961,488394
"Gambia",1961,382164
"Georgia",1961,4225506
"Germany",1961,73425276
"Ghana",1961,6958364
"Gibraltar",1961,21786
"Greece",1961,8386326
"Greenland",1961,33948
"Grenada",1961,91243
"Guadeloupe",1961,281800
"Guam",1961,68835
"Guatemala",1961,4273585
"Guinea",1961,3592879
"Guinea-Bissau",1961,595705
"Guyana",1961,575863
"Haiti",1961,3944791
"Holy See",1961,904
"Honduras",1961,2066098
"Hong Kong, China",1961,3227278
"Hungary",1961,10010165
"Iceland",1961,179476
"India",1961,456949783
"Indonesia",1961,94225771
"Iran",1961,22571865
"Iraq",1961,7570069
"Ireland",1961,2828481
"Isle of Man",1961,48357
"Israel",1961,2174351
"Italy",1961,49865553
"Jamaica",1961,1652348
"Japan",1961,93357272
"Jordan",1961,935159
"Kazakhstan",1961,10411040
"Kenya",1961,8361428
"Kiribati",1961,33880
"Korea, Dem. Rep.",1961,11219876
"Korea, Rep.",1961,25808981
"Kuwait",1961,296442
"Kyrgyzstan",1961,2245062
"Laos",1961,2179647
"Latvia",1961,2158063
"Lebanon",1961,1967434
"Lesotho",1961,866469
"Liberia",1961,1142713
"Libya",1961,1399552
"Liechtenstein",1961,16956
"Lithuania",1961,2806938
"Luxembourg",1961,317204
"Macao, China",1961,175129
"Macedonia, FYR",1961,1405483
"Madagascar",1961,5226922
"Malawi",1961,3607612
"Malaysia",1961,8428536
"Maldives",1961,92526
"Mali",1961,5314146
"Malta",1961,311724
"Marshall Islands",1961,15050
"Martinique",1961,288745
"Mauritania",1961,878589
"Mauritius",1961,678408
"Mayotte",1961,25262
"Mexico",1961,39684127
"Micronesia, Fed. Sts.",1961,45954
"Moldova",1961,3075852
"Monaco",1961,22343
"Mongolia",1961,983822
"Montenegro",1961,475371
"Montserrat",1961,11877
"Morocco",1961,11947688
"Mozambique",1961,7800484
"Myanmar",1961,21407053
"Namibia",1961,617283
"Nauru",1961,4675
"Nepal",1961,9917687
"Netherlands",1961,11575478
"Netherlands Antilles",1961,137108
"New Caledonia",1961,80531
"New Zealand",1961,2423770
"Nicaragua",1961,1828750
"Niger",1961,3344605
"Nigeria",1961,46912826
"Niue",1961,4880
"Northern Mariana Islands",1961,10340
"Norway",1961,3609745
"Oman",1961,570581
"Pakistan",1961,47033454
"Palau",1961,9901
"Panama",1961,1161708
"Papua New Guinea",1961,2001049
"Paraguay",1961,1956714
"Peru",1961,10216429
"Philippines",1961,26893021
"Poland",1961,29436954
"Portugal",1961,8907640
"Puerto Rico",1961,2399064
"Qatar",1961,51093
"Reunion",1961,345051
"Romania",1961,18533445
"Russia",1961,121468992
"Rwanda",1961,2855692
"Saint Helena",1961,4700
"Saint Kitts and Nevis",1961,51196
"Saint Lucia",1961,91264
"Saint Vincent and the Grenadines",1961,82144
"Saint-Pierre-et-Miquelon",1961,4951
"Samoa",1961,113300
"San Marino",1961,15786
"Sao Tome and Principe",1961,64564
"Saudi Arabia",1961,4170636
"Senegal",1961,3130743
"Serbia",1961,7648077
"Seychelles",1961,42290
"Sierra Leone",1961,2222029
"Singapore",1961,1690329
"Slovak Republic",1961,4151408
"Slovenia",1961,1590097
"Solomon Islands",1961,129642
"Somalia",1961,2884550
"South Africa",1961,17850139
"South Sudan",1961,2422089
"Spain",1961,30731163
"Sri Lanka",1961,10248471
"Sudan",1961,9416392
"Suriname",1961,298272
"Swaziland",1961,357459
"Sweden",1961,7526139
"Switzerland",1961,5393334
"Syria",1961,4716875
"Taiwan",1961,11563000
"Tajikistan",1961,2160358
"Tanzania",1961,10373274
"Thailand",1961,28149653
"Timor-Leste",1961,508499
"Togo",1961,1593657
"Tokelau",1961,1910
"Tonga",1961,63741
"Trinidad and Tobago",1961,856289
"Tunisia",1961,4297441
"Turkey",1961,28894367
"Turkmenistan",1961,1649914
"Turks and Caicos Islands",1961,5760
"Tuvalu",1961,6242
"Uganda",1961,7006823
"Ukraine",1961,43316039
"United Arab Emirates",1961,97936
"United Kingdom",1961,52895303
"United States",1961,189192675
"Uruguay",1961,2571134
"Uzbekistan",1961,8871244
"Wallis et Futuna",1961,8731
"Vanuatu",1961,65709
"Venezuela",1961,7852680
"West Bank and Gaza",1961,1096461
"Western Sahara",1961,35763
"Vietnam",1961,36055820
"Virgin Islands (U.S.)",1961,35178
"Yemen, Rep.",1961,5214688
"Zambia",1961,3134831
"Zimbabwe",1961,3876616
"Afghanistan",1962,10056480
"Albania",1962,1712563
"Algeria",1962,11209845
"American Samoa",1962,21124
"Andorra",1962,15337
"Angola",1962,5147083
"Anguilla",1962,5948
"Antigua and Barbuda",1962,56362
"Argentina",1962,21297317
"Armenia",1962,2002170
"Aruba",1962,56227
"Australia",1962,10697112
"Austria",1962,7124432
"Azerbaijan",1962,4163396
"Bahamas",1962,121090
"Bahrain",1962,172294
"Bangladesh",1962,52977254
"Barbados",1962,232490
"Belarus",1962,8356938
"Belgium",1962,9271655
"Belize",1962,97972
"Benin",1962,2485248
"Bermuda",1962,46436
"Bhutan",1962,238201
"Bolivia",1962,3507408
"Bosnia and Herzegovina",1962,3270585
"Botswana",1962,549953
"Brazil",1962,77279855
"British Virgin Islands",1962,8283
"Brunei",1962,87192
"Bulgaria",1962,8008652
"Burkina Faso",1962,5033296
"Burundi",1962,3045392
"Cambodia",1962,5697598
"Cameroon",1962,5647721
"Canada",1962,18630957
"Cape Verde",1962,221343
"Cayman Islands",1962,8418
"Central African Rep.",1962,1556665
"Chad",1962,3083054
"Channel Islands",1962,111448
"Chile",1962,8050234
"China",1962,675641408
"Colombia",1962,16984652
"Comoros",1962,200199
"Congo, Dem. Rep.",1962,16181202
"Congo, Rep.",1962,1067597
"Cook Islands",1962,18515
"Costa Rica",1962,1430880
"Cote d'Ivoire",1962,3926909
"Croatia",1962,4077596
"Cuba",1962,7441909
"Cyprus",1962,577768
"Czech Rep.",1962,9599284
"Denmark",1962,4648157
"Djibouti",1962,95652
"Dominica",1962,61983
"Dominican Rep.",1962,3536474
"Ecuador",1962,4706566
"Egypt",1962,29408697
"El Salvador",1962,2951387
"Equatorial Guinea",1962,257941
"Eritrea",1962,1497855
"Estonia",1962,1244386
"Ethiopia",1962,23645508
"Faeroe Islands",1962,35210
"Falkland Islands (Malvinas)",1962,2117
"Fiji",1962,421563
"Finland",1962,4494265
"France",1962,46919371
"French Guiana",1962,34775
"French Polynesia",1962,84206
"Gabon",1962,491385
"Gambia",1962,389768
"Georgia",1962,4291963
"Germany",1962,74068738
"Ghana",1962,7179577
"Gibraltar",1962,22122
"Greece",1962,8431099
"Greenland",1962,35216
"Grenada",1962,92408
"Guadeloupe",1962,287188
"Guam",1962,70441
"Guatemala",1962,4391307
"Guinea",1962,3645873
"Guinea-Bissau",1962,597352
"Guyana",1962,591554
"Haiti",1962,4024114
"Holy See",1962,901
"Honduras",1962,2136100
"Hong Kong, China",1962,3391480
"Hungary",1962,10040803
"Iceland",1962,182853
"India",1962,466337036
"Indonesia",1962,96582241
"Iran",1962,23163924
"Iraq",1962,7773193
"Ireland",1962,2835226
"Isle of Man",1962,48585
"Israel",1962,2264402
"Italy",1962,50245528
"Jamaica",1962,1678884
"Japan",1962,94263847
"Jordan",1962,970642
"Kazakhstan",1962,10819503
"Kenya",1962,8628949
"Kiribati",1962,34810
"Korea, Dem. Rep.",1962,11478046
"Korea, Rep.",1962,26495936
"Kuwait",1962,336991
"Kyrgyzstan",1962,2323642
"Laos",1962,2230493
"Latvia",1962,2184569
"Lebanon",1962,2028043
"Lesotho",1962,882163
"Liberia",1962,1170708
"Libya",1962,1451196
"Liechtenstein",1962,17362
"Lithuania",1962,2846474
"Luxembourg",1962,320992
"Macao, China",1962,181020
"Macedonia, FYR",1962,1422698
"Madagascar",1962,5354559
"Malawi",1962,3694022
"Malaysia",1962,8709925
"Maldives",1962,95115
"Mali",1962,5381485
"Malta",1962,310249
"Marshall Islands",1962,15543
"Martinique",1962,295246
"Mauritania",1962,903773
"Mauritius",1962,697738
"Mayotte",1962,26542
"Mexico",1962,40966751
"Micronesia, Fed. Sts.",1962,47385
"Moldova",1962,3145451
"Monaco",1962,22477
"Mongolia",1962,1013100
"Montenegro",1962,484408
"Montserrat",1962,11793
"Morocco",1962,12275060
"Mozambique",1962,7959885
"Myanmar",1962,21866045
"Namibia",1962,632659
"Nauru",1962,4947
"Nepal",1962,10102057
"Netherlands",1962,11734901
"Netherlands Antilles",1962,139387
"New Caledonia",1962,83171
"New Zealand",1962,2477327
"Nicaragua",1962,1885094
"Niger",1962,3443850
"Nigeria",1962,47935878
"Niue",1962,4932
"Northern Mariana Islands",1962,10541
"Norway",1962,3637730
"Oman",1962,584427
"Pakistan",1962,48198347
"Palau",1962,10150
"Panama",1962,1196016
"Papua New Guinea",1962,2037162
"Paraguay",1962,2009165
"Peru",1962,10515695
"Philippines",1962,27800656
"Poland",1962,29871931
"Portugal",1962,8925989
"Puerto Rico",1962,2445883
"Qatar",1962,55883
"Reunion",1962,355087
"Romania",1962,18640463
"Russia",1962,122970547
"Rwanda",1962,2942908
"Saint Helena",1962,4665
"Saint Kitts and Nevis",1962,50965
"Saint Lucia",1962,92480
"Saint Vincent and the Grenadines",1962,83207
"Saint-Pierre-et-Miquelon",1962,4981
"Samoa",1962,116702
"San Marino",1962,16196
"Sao Tome and Principe",1962,64474
"Saudi Arabia",1962,4311990
"Senegal",1962,3217043
"Serbia",1962,7711142
"Seychelles",1962,43280
"Sierra Leone",1962,2257946
"Singapore",1962,1742448
"Slovak Republic",1962,4205808
"Slovenia",1962,1600656
"Solomon Islands",1962,133007
"Somalia",1962,2952068
"South Africa",1962,18322409
"South Sudan",1962,2480164
"Spain",1962,31067664
"Sri Lanka",1962,10480484
"Sudan",1962,9642172
"Suriname",1962,306474
"Swaziland",1962,365645
"Sweden",1962,7573556
"Switzerland",1962,5502915
"Syria",1962,4872506
"Taiwan",1962,11919000
"Tajikistan",1962,2245098
"Tanzania",1962,10683638
"Thailand",1962,29016942
"Timor-Leste",1962,517698
"Togo",1962,1607735
"Tokelau",1962,1938
"Tonga",1962,66257
"Trinidad and Tobago",1962,866959
"Tunisia",1962,4375959
"Turkey",1962,29633591
"Turkmenistan",1962,1708711
"Turks and Caicos Islands",1962,5762
"Tuvalu",1962,6391
"Uganda",1962,7240764
"Ukraine",1962,43847188
"United Arab Emirates",1962,108927
"United Kingdom",1962,53264855
"United States",1962,191953977
"Uruguay",1962,2603317
"Uzbekistan",1962,9201176
"Wallis et Futuna",1962,8904
"Vanuatu",1962,67806
"Venezuela",1962,8150542
"West Bank and Gaza",1962,1128310
"Western Sahara",1962,38881
"Vietnam",1962,36975957
"Virgin Islands (U.S.)",1962,38513
"Yemen, Rep.",1962,5317095
"Zambia",1962,3229329
"Zimbabwe",1962,4006236
"Afghanistan",1963,10261254
"Albania",1963,1764593
"Algeria",1963,11420845
"American Samoa",1963,21870
"Andorra",1963,16373
"Angola",1963,5242084
"Anguilla",1963,6001
"Antigua and Barbuda",1963,57472
"Argentina",1963,21633126
"Armenia",1963,2070427
"Aruba",1963,56698
"Australia",1963,10903699
"Austria",1963,7172179
"Azerbaijan",1963,4302765
"Bahamas",1963,127340
"Bahrain",1963,177170
"Bangladesh",1963,54474293
"Barbados",1963,233496
"Belarus",1963,8438517
"Belgium",1963,9329967
"Belize",1963,100707
"Benin",1963,2521922
"Bermuda",1963,47286
"Bhutan",1963,244653
"Bolivia",1963,3586804
"Bosnia and Herzegovina",1963,3314827
"Botswana",1963,564277
"Brazil",1963,79642214
"British Virgin Islands",1963,8444
"Brunei",1963,91088
"Bulgaria",1963,8075674
"Burkina Faso",1963,5112252
"Burundi",1963,3098852
"Cambodia",1963,5836139
"Cameroon",1963,5775774
"Canada",1963,18965320
"Cape Verde",1963,227430
"Cayman Islands",1963,8524
"Central African Rep.",1963,1585774
"Chad",1963,3150606
"Channel Islands",1963,112582
"Chile",1963,8254329
"China",1963,684909607
"Colombia",1963,17495793
"Comoros",1963,203916
"Congo, Dem. Rep.",1963,16612368
"Congo, Rep.",1963,1096480
"Cook Islands",1963,18571
"Costa Rica",1963,1481575
"Cote d'Ivoire",1963,4085408
"Croatia",1963,4093890
"Cuba",1963,7609348
"Cyprus",1963,577992
"Czech Rep.",1963,9632276
"Denmark",1963,4685089
"Djibouti",1963,102165
"Dominica",1963,62918
"Dominican Rep.",1963,3653809
"Ecuador",1963,4848259
"Egypt",1963,30182426
"El Salvador",1963,3047718
"Equatorial Guinea",1963,260991
"Eritrea",1963,1537105
"Estonia",1963,1259824
"Ethiopia",1963,24234254
"Faeroe Islands",1963,35597
"Falkland Islands (Malvinas)",1963,2104
"Fiji",1963,436199
"Finland",1963,4522251
"France",1963,47571948
"French Guiana",1963,36182
"French Polynesia",1963,86887
"Gabon",1963,494663
"Gambia",1963,396158
"Georgia",1963,4357354
"Germany",1963,74724168
"Ghana",1963,7399678
"Gibraltar",1963,22501
"Greece",1963,8470808
"Greenland",1963,36487
"Grenada",1963,93338
"Guadeloupe",1963,291910
"Guam",1963,72202
"Guatemala",1963,4512133
"Guinea",1963,3700897
"Guinea-Bissau",1963,598224
"Guyana",1963,607423
"Haiti",1963,4105331
"Holy See",1963,896
"Honduras",1963,2207969
"Hong Kong, China",1963,3553881
"Hungary",1963,10073845
"Iceland",1963,186092
"India",1963,476025147
"Indonesia",1963,99018230
"Iran",1963,23775945
"Iraq",1963,7991619
"Ireland",1963,2847099
"Isle of Man",1963,49094
"Israel",1963,2356045
"Italy",1963,50647763
"Jamaica",1963,1707126
"Japan",1963,95228052
"Jordan",1963,1008891
"Kazakhstan",1963,11211938
"Kenya",1963,8908388
"Kiribati",1963,35777
"Korea, Dem. Rep.",1963,11734690
"Korea, Rep.",1963,27144368
"Kuwait",1963,383526
"Kyrgyzstan",1963,2406263
"Laos",1963,2282604
"Latvia",1963,2210916
"Lebanon",1963,2088392
"Lesotho",1963,898637
"Liberia",1963,1199785
"Libya",1963,1504811
"Liechtenstein",1963,17785
"Lithuania",1963,2887227
"Luxembourg",1963,324974
"Macao, China",1963,188698
"Macedonia, FYR",1963,1442355
"Madagascar",1963,5486625
"Malawi",1963,3784224
"Malaysia",1963,8998621
"Maldives",1963,97757
"Mali",1963,5450558
"Malta",1963,308639
"Marshall Islands",1963,16109
"Martinique",1963,301263
"Mauritania",1963,929704
"Mauritius",1963,716944
"Mayotte",1963,27861
"Mexico",1963,42264182
"Micronesia, Fed. Sts.",1963,48873
"Moldova",1963,3211980
"Monaco",1963,22562
"Mongolia",1963,1044297
"Montenegro",1963,493148
"Montserrat",1963,11802
"Morocco",1963,12610932
"Mozambique",1963,8125366
"Myanmar",1963,22337108
"Namibia",1963,648669
"Nauru",1963,5231
"Nepal",1963,10294480
"Netherlands",1963,11895425
"Netherlands Antilles",1963,141665
"New Caledonia",1963,85867
"New Zealand",1963,2530790
"Nicaragua",1963,1942338
"Niger",1963,3547421
"Nigeria",1963,48992838
"Niue",1963,4987
"Northern Mariana Islands",1963,10709
"Norway",1963,3665487
"Oman",1963,599034
"Pakistan",1963,49413973
"Palau",1963,10381
"Panama",1963,1231377
"Papua New Guinea",1963,2075625
"Paraguay",1963,2063215
"Peru",1963,10825440
"Philippines",1963,28727140
"Poland",1963,30316767
"Portugal",1963,8933839
"Puerto Rico",1963,2495284
"Qatar",1963,61296
"Reunion",1963,365765
"Romania",1963,18745088
"Russia",1963,124376611
"Rwanda",1963,3032745
"Saint Helena",1963,4639
"Saint Kitts and Nevis",1963,50530
"Saint Lucia",1963,93830
"Saint Vincent and the Grenadines",1963,84167
"Saint-Pierre-et-Miquelon",1963,5011
"Samoa",1963,120115
"San Marino",1963,16615
"Sao Tome and Principe",1963,64246
"Saudi Arabia",1963,4463589
"Senegal",1963,3307493
"Serbia",1963,7772481
"Seychelles",1963,44363
"Sierra Leone",1963,2295070
"Singapore",1963,1790662
"Slovak Republic",1963,4256354
"Slovenia",1963,1611254
"Solomon Islands",1963,136459
"Somalia",1963,3022091
"South Africa",1963,18809986
"South Sudan",1963,2539771
"Spain",1963,31415410
"Sri Lanka",1963,10717705
"Sudan",1963,9873906
"Suriname",1963,314747
"Swaziland",1963,373904
"Sweden",1963,7623278
"Switzerland",1963,5618068
"Syria",1963,5034188
"Taiwan",1963,12277000
"Tajikistan",1963,2334221
"Tanzania",1963,11005471
"Thailand",1963,29913729
"Timor-Leste",1963,527284
"Togo",1963,1625493
"Tokelau",1963,1951
"Tonga",1963,69001
"Trinidad and Tobago",1963,875083
"Tunisia",1963,4456986
"Turkey",1963,30373939
"Turkmenistan",1963,1769008
"Turks and Caicos Islands",1963,5741
"Tuvalu",1963,6542
"Uganda",1963,7488366
"Ukraine",1963,44368350
"United Arab Emirates",1963,121678
"United Kingdom",1963,53640457
"United States",1963,194592775
"Uruguay",1963,2634538
"Uzbekistan",1963,9542785
"Wallis et Futuna",1963,9061
"Vanuatu",1963,69962
"Venezuela",1963,8453781
"West Bank and Gaza",1963,1159145
"Western Sahara",1963,42323
"Vietnam",1963,37926503
"Virgin Islands (U.S.)",1963,42314
"Yemen, Rep.",1963,5422115
"Zambia",1963,3328063
"Zimbabwe",1963,4140773
"Afghanistan",1964,10474903
"Albania",1964,1817098
"Algeria",1964,11654905
"American Samoa",1964,22672
"Andorra",1964,17438
"Angola",1964,5337063
"Anguilla",1964,6057
"Antigua and Barbuda",1964,58653
"Argentina",1964,21966478
"Armenia",1964,2138133
"Aruba",1964,57031
"Australia",1964,11122567
"Austria",1964,7220812
"Azerbaijan",1964,4440733
"Bahamas",1964,133709
"Bahrain",1964,181833
"Bangladesh",1964,56071080
"Barbados",1964,234455
"Belarus",1964,8521413
"Belgium",1964,9384939
"Belize",1964,103555
"Benin",1964,2561022
"Bermuda",1964,48092
"Bhutan",1964,251419
"Bolivia",1964,3668568
"Bosnia and Herzegovina",1964,3357005
"Botswana",1964,579518
"Brazil",1964,82021855
"British Virgin Islands",1964,8621
"Brunei",1964,95191
"Bulgaria",1964,8140705
"Burkina Faso",1964,5195464
"Burundi",1964,3154474
"Cambodia",1964,5983575
"Cameroon",1964,5909450
"Canada",1964,19309343
"Cape Verde",1964,233809
"Cayman Islands",1964,8612
"Central African Rep.",1964,1616524
"Chad",1964,3219259
"Channel Islands",1964,113765
"Chile",1964,8457066
"China",1964,696171650
"Colombia",1964,18019927
"Comoros",1964,207856
"Congo, Dem. Rep.",1964,17065408
"Congo, Rep.",1964,1126584
"Cook Islands",1964,18700
"Costa Rica",1964,1532386
"Cote d'Ivoire",1964,4251345
"Croatia",1964,4108808
"Cuba",1964,7777606
"Cyprus",1964,578710
"Czech Rep.",1964,9661235
"Denmark",1964,4722383
"Djibouti",1964,109222
"Dominica",1964,63920
"Dominican Rep.",1964,3772937
"Ecuador",1964,4994917
"Egypt",1964,30970067
"El Salvador",1964,3146076
"Equatorial Guinea",1964,264745
"Eritrea",1964,1577613
"Estonia",1964,1275487
"Ethiopia",1964,24846785
"Faeroe Islands",1964,35985
"Falkland Islands (Malvinas)",1964,2089
"Fiji",1964,450447
"Finland",1964,4545748
"France",1964,48194218
"French Guiana",1964,37711
"French Polynesia",1964,89768
"Gabon",1964,498162
"Gambia",1964,402436
"Georgia",1964,4419666
"Germany",1964,75363329
"Ghana",1964,7610752
"Gibraltar",1964,22885
"Greece",1964,8509724
"Greenland",1964,37810
"Grenada",1964,94050
"Guadeloupe",1964,296326
"Guam",1964,74044
"Guatemala",1964,4636016
"Guinea",1964,3759549
"Guinea-Bissau",1964,598294
"Guyana",1964,623694
"Haiti",1964,4188276
"Holy See",1964,881
