account,day of week,date,local time (ct),favorite_count,id_str,retweet_count,source,text,followers_count,profile_image_url,link,score
qlik,Fri,2021-02-19 00:00:00.000,1899-12-31 13:31:04.000,0,1362847185004621827,0,Sprout Social,"Qlik Luminaries are constantly pushing the envelope, finding new and innovative ways to use Qlik for the greater go… https://t.co/Qa90lnzK82",69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1362847185004621827,0.9580695033073424
MSPowerBI,Fri,2021-02-19 00:00:00.000,1899-12-31 11:00:03.000,23,1362809180554481669,9,Sprinklr Publishing,"Unify, visualize, and securely share your data. #PowerBI benefits include:
🙂 Easy-to-use
🦾 Secure
📊 Scalable soluti… https://t.co/TRs09VHFrg",127699,http://pbs.twimg.com/profile_images/1308421398042468356/M2xJtfHx_normal.png,https://twitter.com/MSPowerBI/status/1362809180554481669,0.9913811683654784
MSPowerBI,Wed,2021-02-17 00:00:00.000,1899-12-31 16:20:00.000,1,1362164923950911499,1,Sprinklr Publishing,"@DotComCTO Considering that you guys work with reporting and analysis, how about this one: https://t.co/JpqrfmYhEj?… https://t.co/yV9ABm9JUX",127699,http://pbs.twimg.com/profile_images/1308421398042468356/M2xJtfHx_normal.png,https://twitter.com/MSPowerBI/status/1362164923950911499,0.9451804161071776
MSPowerBI,Fri,2021-02-19 00:00:00.000,1899-12-31 19:25:00.000,1,1362573868930654217,0,Sprinklr Publishing,@AugustoCAChaves Hi there and sorry this is happening. We're not tracing any recent issues or related changes. This… https://t.co/fe1LKeVjbd,127699,http://pbs.twimg.com/profile_images/1308421398042468356/M2xJtfHx_normal.png,https://twitter.com/MSPowerBI/status/1362573868930654217,0.2047638893127441
qlik,Tue,2021-02-23 00:00:00.000,1899-12-31 11:30:12.000,2,1364266323040206850,0,Sprout Social,Are you looking to transform your #financial processes and make better decisions with #data? See how @ANZ_AU is usi… https://t.co/aBQhbMiKMn,69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1364266323040206850,0.9741736650466918
qlik,Mon,2021-02-22 00:00:00.000,1899-12-31 14:01:03.000,1,1363941895576158211,2,Sprout Social,It’s now essential to capture and synthesize alternative data. Watch the 2021 BI &Data Trends webinar to learn mor… https://t.co/HqW9niWSKh,69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1363941895576158211,0.5
qlik,Wed,2021-02-17 00:00:00.000,1899-12-31 15:01:08.000,0,1362145078173724676,0,Sprout Social,One more day until our next #SupportTechspertThursdays webinar! Register now to learn more about Configure and Reco… https://t.co/B47z7UHtcy,69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1362145078173724676,0.5
Tableau,Mon,2021-02-22 00:00:00.000,1899-12-31 13:54:21.000,1,1363940210413862912,0,Salesforce - Social Studio,@demartsc Well-deserved! 👏,155324,http://pbs.twimg.com/profile_images/1268207088683020288/d9agkn4h_normal.jpg,https://twitter.com/Tableau/status/1363940210413862912,0.9699022769927979
qlik,Wed,2021-02-24 00:00:00.000,1899-12-31 09:30:12.000,0,1364598509765349380,0,Sprout Social,"Qlik joins our colleagues, customers and partners to shine a bright light on the many contributions of Black Americ… https://t.co/FYqlSjz4Mq",69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1364598509765349380,0.9890605211257933
Tableau,Wed,2021-02-17 00:00:00.000,1899-12-31 15:00:20.000,25,1362144877555908609,8,Salesforce - Social Studio,"Interested in becoming a #DataDev? 👨‍💻 Whether you’re new to coding or a seasoned programmer, the Tableau Developer… https://t.co/aam2DRxSS9",155324,http://pbs.twimg.com/profile_images/1268207088683020288/d9agkn4h_normal.jpg,https://twitter.com/Tableau/status/1362144877555908609,0.9847087264060974
Tableau,Mon,2021-02-22 00:00:00.000,1899-12-31 16:30:00.000,15,1363979380184162304,2,Twitter Web App,"""When you have data, you can make really good policies that respond to that."" Tune into this week's episode of… https://t.co/jzVizzXxIn",155324,http://pbs.twimg.com/profile_images/1268207088683020288/d9agkn4h_normal.jpg,https://twitter.com/Tableau/status/1363979380184162304,0.959946870803833
