PK_servico,categoria,grupo_indicador,servico,campo,atributo,META_nome_servico,META_nome_campo,META_tipo_campo,META_cod_campo,META_contexto
80,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","instituicaoDeLongaPermanenciaParaIdososILPIsIdosos","quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","Instituicao de Longa Permanência para Idosos (ILPIs) - Idosos","Pessoas que foram Desligadas do Serviço por Reinserção Familiar","numeric","IPI-6",1
81,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","instituicaoDeLongaPermanenciaParaIdososILPIsIdosos","quantidadeDePessoasSaoBeneficiariasDoBPC","instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDePessoasSaoBeneficiariasDoBPC","Instituicao de Longa Permanência para Idosos (ILPIs) - Idosos","Pessoas Beneficiárias do BPC","numeric","IPI-7",1
82,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","instituicaoDeLongaPermanenciaParaIdososILPIsIdosos","quantidadeDeUnidadesDeNaturezaGovernamental","instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDeUnidadesDeNaturezaGovernamental","Instituicao de Longa Permanência para Idosos (ILPIs) - Idosos","Pessoas Beneficiárias do BPC","numeric","IPI-8",1
83,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","instituicaoDeLongaPermanenciaParaIdososILPIsIdosos","quantidadeDeUnidadesDeNaturezaOrganizacaoDaSociedadeCivil","instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDeUnidadesDeNaturezaOrganizacaoDaSociedadeCivil","Instituicao de Longa Permanência para Idosos (ILPIs) - Idosos","Unidades de Natureza Organizacao Da Sociedade Civil","numeric","IPI-9",1
84,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","instituicaoDeLongaPermanenciaParaIdososILPIsIdosos","quantidadeDeUnidadesNoMunicipio","instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDeUnidadesNoMunicipio","Instituicao de Longa Permanência para Idosos (ILPIs) - Idosos","Unidades No Município","numeric","IPI-11",1
86,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","republicaIdosos","quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","republicaIdosos-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","República - Idosos","Pessoas que foram Desligadas do Servico Por Autonomia","numeric","CF-4",1
87,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","republicaIdosos","quantidadeDeUnidadesDeNaturezaPrivado","republicaIdosos-quantidadeDeUnidadesDeNaturezaPrivado","República - Idosos","Unidades de Natureza Privada","numeric","CF-4",1
88,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","republicaIdosos","quantidadeDePessoasBeneficiariasDeAuxilioMoradiaAluguelSocial","republicaIdosos-quantidadeDePessoasBeneficiariasDeAuxilioMoradiaAluguelSocial","República - Idosos","Pessoas Beneficiárias de Auxílio Moradia/Aluguel Social","numeric","CF-4",1
89,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","republicaIdosos","quantidadeDePessoasForamAcolhidas","republicaIdosos-quantidadeDePessoasForamAcolhidas","República - Idosos","Pessoas Acolhidas","numeric","CF-4",1
90,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","republicaIdosos","quantidadeDePessoasForamDesligadasDoServicoPorObito","republicaIdosos-quantidadeDePessoasForamDesligadasDoServicoPorObito","República - Idosos","Pessoas Desligadas do Servico Por Óbito","numeric","CF-4",1
91,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","republicaIdosos","quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","republicaIdosos-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","República - Idosos","Pessoas que foram Desligadas do Serviço por Reinserção Familiar","numeric","CF-4",1
92,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","republicaIdosos","quantidadeDePessoasSaoBeneficiariasDoBPC","republicaIdosos-quantidadeDePessoasSaoBeneficiariasDoBPC","República - Idosos","Pessoas Beneficiárias do BPC","numeric","CF-4",1
93,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","republicaIdosos","quantidadeDeUnidadesDeNaturezaGovernamental","republicaIdosos-quantidadeDeUnidadesDeNaturezaGovernamental","República - Idosos","Unidades De Natureza Governamental","numeric","CF-4",1
94,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","republicaIdosos","quantidadeDeUnidadesDeNaturezaOrganizacaoDaSociedadeCivil","republicaIdosos-quantidadeDeUnidadesDeNaturezaOrganizacaoDaSociedadeCivil","República - Idosos","Unidades de Natureza Organizacao Da Sociedade Civil","numeric","CF-4",1
95,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","republicaIdosos","quantidadeDeUnidadesNoMunicipio","republicaIdosos-quantidadeDeUnidadesNoMunicipio","República - Idosos","Unidades No Município","numeric","CF-4",1
97,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos","quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","Residência Inclusiva - Jovens e Adultos com Deficiência (18 a 59 Anos)","Pessoas que foram Desligadas do Servico Por Autonomia","numeric","RAD-2",1
98,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos","quantidadeDeUnidadesDeNaturezaPrivado","residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDeUnidadesDeNaturezaPrivado","Residência Inclusiva - Jovens e Adultos com Deficiência (18 a 59 Anos)","Unidades de Natureza Privada","numeric","RAD-10",1
99,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos","quantidadeDePessoasBeneficiariasDeAuxilioMoradiaAluguelSocial","residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDePessoasBeneficiariasDeAuxilioMoradiaAluguelSocial","Residência Inclusiva - Jovens e Adultos com Deficiência (18 a 59 Anos)","Pessoas Beneficiárias de Auxílio Moradia/Aluguel Social","numeric","RAD-3",1
100,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos","quantidadeDePessoasForamAcolhidas","residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDePessoasForamAcolhidas","Residência Inclusiva - Jovens e Adultos com Deficiência (18 a 59 Anos)","Pessoas Acolhidas","numeric","RAD-4",1
101,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos","quantidadeDePessoasForamDesligadasDoServicoPorObito","residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDePessoasForamDesligadasDoServicoPorObito","Residência Inclusiva - Jovens e Adultos com Deficiência (18 a 59 Anos)","Pessoas Desligadas do Servico Por Óbito","numeric","RAD-5",1
102,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos","quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","Residência Inclusiva - Jovens e Adultos com Deficiência (18 a 59 Anos)","Pessoas que foram Desligadas do Serviço por Reinserção Familiar","numeric","RAD-6",1
103,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos","quantidadeDePessoasSaoBeneficiariasDoBPC","residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDePessoasSaoBeneficiariasDoBPC","Residência Inclusiva - Jovens e Adultos com Deficiência (18 a 59 Anos)","Pessoas Beneficiárias do BPC","numeric","RAD-7",1
104,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos","quantidadeDeUnidadesDeNaturezaGovernamental","residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDeUnidadesDeNaturezaGovernamental","Residência Inclusiva - Jovens e Adultos com Deficiência (18 a 59 Anos)","Unidades De Natureza Governamental","numeric","RAD-8",1
105,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos","quantidadeDeUnidadesDeNaturezaOrganizacaoDaSociedadeCivil","residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDeUnidadesDeNaturezaOrganizacaoDaSociedadeCivil","Residência Inclusiva - Jovens e Adultos com Deficiência (18 a 59 Anos)","Unidades de Natureza Organizacao Da Sociedade Civil","numeric","RAD-9",1
106,"Proteção Social Especial - Alta Complexidade","Serviço de acolhimento institucional","residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos","quantidadeDeUnidadesNoMunicipio","residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDeUnidadesNoMunicipio","Residência Inclusiva - Jovens e Adultos com Deficiência (18 a 59 Anos)","Unidades No Município","numeric","RAD-11",1
49,"Proteção Social Especial - Alta Complexidade","Serviço de proteção em situação de calamidades públicas e emergência","abrigoTemporarioCestasBasicasColchoesProgramasDeTransferenciaDeRendasChuvasAlagamentosPandemiasEpidemias","quantasPessoasForamBeneficiariasComOAcolhhimentoEmAbrigoTemporario","abrigoTemporarioCestasBasicasColchoesProgramasDeTransferenciaDeRendasChuvasAlagamentosPandemiasEpidemias-quantasPessoasForamBeneficiariasComOAcolhhimentoEmAbrigoTemporario","abrigo Temporario/Cestas Basicas/Colchoes/Programas De Transferencia De Rendas - Chuvas/Alagamentos/Pandemias Epidemias","Pessoas Beneficiárias com Acolhimento em Abrigo Temporário","numeric","ATC-3",1
51,"Proteção Social Especial - Alta Complexidade","Serviço de proteção em situação de calamidades públicas e emergência","abrigoTemporarioCestasBasicasColchoesProgramasDeTransferenciaDeRendasChuvasAlagamentosPandemiasEpidemias","quantasPessoasForamBeneficiariasDeAuxilioMoradiaOuAluguelSocial","abrigoTemporarioCestasBasicasColchoesProgramasDeTransferenciaDeRendasChuvasAlagamentosPandemiasEpidemias-quantasPessoasForamBeneficiariasDeAuxilioMoradiaOuAluguelSocial","abrigo Temporario/Cestas Basicas/Colchoes/Programas De Transferencia De Rendas - Chuvas/Alagamentos/Pandemias Epidemias","Pessoas Beneficiárias de Auxílio Moradia/Aluguel Social","numeric","ATC-4",1
53,"Proteção Social Especial - Alta Complexidade","Serviço de proteção em situação de calamidades públicas e emergência","abrigoTemporarioCestasBasicasColchoesProgramasDeTransferenciaDeRendasChuvasAlagamentosPandemiasEpidemias","quantasPessoasForamBeneficiariasDeBeneficioEventualEmSituacaoDeCalamidade","abrigoTemporarioCestasBasicasColchoesProgramasDeTransferenciaDeRendasChuvasAlagamentosPandemiasEpidemias-quantasPessoasForamBeneficiariasDeBeneficioEventualEmSituacaoDeCalamidade","abrigo Temporario/Cestas Basicas/Colchoes/Programas De Transferencia De Rendas - Chuvas/Alagamentos/Pandemias Epidemias","Pessoas Beneficiárias de Benefício Eventual Em Situação de Calamidade","numeric","ATC-5",1
228,"Gestão","Dados de Gestão","capacitacoesOfertadasGestaoSUAS","conselheiros-quantidadeEstado","capacitacoesOfertadasGestaoSUAS-conselheiros-quantidadeEstado","Capacitações Ofertadas Gestão SUAS","Conselheiros no Estado","numeric","CE",1
293,"SEDES","Sedes - Dados de Gestão","capacitacoesOfertadasGestaoSUAS","conselheiros-quantidadeEstado","capacitacoesOfertadasGestaoSUAS-conselheiros-quantidadeEstado","Capacitações Ofertadas Gestão SUAS","Conselheiros no Estado","numeric","CE",1
229,"Gestão","Dados de Gestão","capacitacoesOfertadasGestaoSUAS","conselheiros-quantidadeGovernoFederal","capacitacoesOfertadasGestaoSUAS-conselheiros-quantidadeGovernoFederal","Capacitações Ofertadas Gestão SUAS","Conselheiros no Governo Federal","numeric","CF",1
294,"SEDES","Sedes - Dados de Gestão","capacitacoesOfertadasGestaoSUAS","conselheiros-quantidadeGovernoFederal","capacitacoesOfertadasGestaoSUAS-conselheiros-quantidadeGovernoFederal","Capacitações Ofertadas Gestão SUAS","Conselheiros no Governo Federal","numeric","CF",1
227,"Gestão","Dados de Gestão","capacitacoesOfertadasGestaoSUAS","conselheiros-quantidadeMunicipio","capacitacoesOfertadasGestaoSUAS-conselheiros-quantidadeMunicipio","Capacitações Ofertadas Gestão SUAS","Conselheiros no Município","numeric","CM",1
292,"SEDES","Sedes - Dados de Gestão","capacitacoesOfertadasGestaoSUAS","conselheiros-quantidadeMunicipio","capacitacoesOfertadasGestaoSUAS-conselheiros-quantidadeMunicipio","Capacitações Ofertadas Gestão SUAS","Conselheiros no Município","numeric","CM",1
219,"Gestão","Dados de Gestão","capacitacoesOfertadasGestaoSUAS","gestor-quantidadeEstado","capacitacoesOfertadasGestaoSUAS-gestor-quantidadeEstado","Capacitações Ofertadas Gestão SUAS","Gestores no Estado","numeric","GE",1
285,"SEDES","Sedes - Dados de Gestão","capacitacoesOfertadasGestaoSUAS","gestor-quantidadeEstado","capacitacoesOfertadasGestaoSUAS-gestor-quantidadeEstado","Capacitações Ofertadas Gestão SUAS","Gestores no Estado","numeric","GE",1
220,"Gestão","Dados de Gestão","capacitacoesOfertadasGestaoSUAS","gestor-quantidadeGovernoFederal","capacitacoesOfertadasGestaoSUAS-gestor-quantidadeGovernoFederal","Capacitações Ofertadas Gestão SUAS","Gestores no Governo Federal","numeric","GF",1
284,"SEDES","Sedes - Dados de Gestão","capacitacoesOfertadasGestaoSUAS","gestor-quantidadeGovernoFederal","capacitacoesOfertadasGestaoSUAS-gestor-quantidadeGovernoFederal","Capacitações Ofertadas Gestão SUAS","Gestores no Governo Federal","numeric","GF",1
218,"Gestão","Dados de Gestão","capacitacoesOfertadasGestaoSUAS","gestor-quantidadeMunicipio","capacitacoesOfertadasGestaoSUAS-gestor-quantidadeMunicipio","Capacitações Ofertadas Gestão SUAS","Gestores no Município","numeric","GM",1
283,"SEDES","Sedes - Dados de Gestão","capacitacoesOfertadasGestaoSUAS","gestor-quantidadeMunicipio","capacitacoesOfertadasGestaoSUAS-gestor-quantidadeMunicipio","Capacitações Ofertadas Gestão SUAS","Gestores no Município","numeric","GM",1
225,"Gestão","Dados de Gestão","capacitacoesOfertadasGestaoSUAS","trabalhadoresDeNivelMedio-quantidadeEstado","capacitacoesOfertadasGestaoSUAS-trabalhadoresDeNivelMedio-quantidadeEstado","Capacitações Ofertadas Gestão SUAS","Trabalhadores Nível Médio no Estado","numeric","TME",1
290,"SEDES","Sedes - Dados de Gestão","capacitacoesOfertadasGestaoSUAS","trabalhadoresDeNivelMedio-quantidadeEstado","capacitacoesOfertadasGestaoSUAS-trabalhadoresDeNivelMedio-quantidadeEstado","Capacitações Ofertadas Gestão SUAS","Trabalhadores Nível Médio no Estado","numeric","TME",1
226,"Gestão","Dados de Gestão","capacitacoesOfertadasGestaoSUAS","trabalhadoresDeNivelMedio-quantidadeGovernoFederal","capacitacoesOfertadasGestaoSUAS-trabalhadoresDeNivelMedio-quantidadeGovernoFederal","Capacitações Ofertadas Gestão SUAS","Trabalhadores Nível Médio no Governo Federal","numeric","TMF",1
291,"SEDES","Sedes - Dados de Gestão","capacitacoesOfertadasGestaoSUAS","trabalhadoresDeNivelMedio-quantidadeGovernoFederal","capacitacoesOfertadasGestaoSUAS-trabalhadoresDeNivelMedio-quantidadeGovernoFederal","Capacitações Ofertadas Gestão SUAS","Trabalhadores Nível Médio no Governo Federal","numeric","TMF",1
224,"Gestão","Dados de Gestão","capacitacoesOfertadasGestaoSUAS","trabalhadoresDeNivelMedio-quantidadeMunicipio","capacitacoesOfertadasGestaoSUAS-trabalhadoresDeNivelMedio-quantidadeMunicipio","Capacitações Ofertadas Gestão SUAS","Trabalhadores Nível Médio no Município","numeric","TMM",1
289,"SEDES","Sedes - Dados de Gestão","capacitacoesOfertadasGestaoSUAS","trabalhadoresDeNivelMedio-quantidadeMunicipio","capacitacoesOfertadasGestaoSUAS-trabalhadoresDeNivelMedio-quantidadeMunicipio","Capacitações Ofertadas Gestão SUAS","Trabalhadores Nível Médio no Município","numeric","TMM",1
222,"Gestão","Dados de Gestão","capacitacoesOfertadasGestaoSUAS","trabalhadoresDeNivelSuperior-quantidadeEstado","capacitacoesOfertadasGestaoSUAS-trabalhadoresDeNivelSuperior-quantidadeEstado","Capacitações Ofertadas Gestão SUAS","Trabalhadores Nível Superior no Estado","numeric","TSE",1
288,"SEDES","Sedes - Dados de Gestão","capacitacoesOfertadasGestaoSUAS","trabalhadoresDeNivelSuperior-quantidadeEstado","capacitacoesOfertadasGestaoSUAS-trabalhadoresDeNivelSuperior-quantidadeEstado","Capacitações Ofertadas Gestão SUAS","Trabalhadores Nível Superior no Estado","numeric","TSE",1
223,"Gestão","Dados de Gestão","capacitacoesOfertadasGestaoSUAS","trabalhadoresDeNivelSuperior-quantidadeGovernoFederal","capacitacoesOfertadasGestaoSUAS-trabalhadoresDeNivelSuperior-quantidadeGovernoFederal","Capacitações Ofertadas Gestão SUAS","Trabalhadores Nível Superior no Governo Federal","numeric","TSF",1
287,"SEDES","Sedes - Dados de Gestão","capacitacoesOfertadasGestaoSUAS","trabalhadoresDeNivelSuperior-quantidadeGovernoFederal","capacitacoesOfertadasGestaoSUAS-trabalhadoresDeNivelSuperior-quantidadeGovernoFederal","Capacitações Ofertadas Gestão SUAS","Trabalhadores Nível Superior no Governo Federal","numeric","TSF",1
221,"Gestão","Dados de Gestão","capacitacoesOfertadasGestaoSUAS","trabalhadoresDeNivelSuperior-quantidadeMunicipio","capacitacoesOfertadasGestaoSUAS-trabalhadoresDeNivelSuperior-quantidadeMunicipio","Capacitações Ofertadas Gestão SUAS","Trabalhadores Nível Superior no Município","numeric","TSM",1
286,"SEDES","Sedes - Dados de Gestão","capacitacoesOfertadasGestaoSUAS","trabalhadoresDeNivelSuperior-quantidadeMunicipio","capacitacoesOfertadasGestaoSUAS-trabalhadoresDeNivelSuperior-quantidadeMunicipio","Capacitações Ofertadas Gestão SUAS","Trabalhadores Nível Superior no Município","numeric","TSM",1
240,"Gestão","Dados de Gestão","capacitacoesOfertadasProtecaoSocialBasica","conselheiros-quantidadeEstado","capacitacoesOfertadasProtecaoSocialBasica-conselheiros-quantidadeEstado","Capacitações Ofertadas Proteção Básica","Conselheiros no Estado","numeric","CE",1
297,"SEDES","Sedes - Dados de Gestão","capacitacoesOfertadasProtecaoSocialBasica","conselheiros-quantidadeEstado","capacitacoesOfertadasProtecaoSocialBasica-conselheiros-quantidadeEstado","Capacitações Ofertadas Proteção Básica","Conselheiros no Estado","numeric","CE",1
241,"Gestão","Dados de Gestão","capacitacoesOfertadasProtecaoSocialBasica","conselheiros-quantidadeGovernoFederal","capacitacoesOfertadasProtecaoSocialBasica-conselheiros-quantidadeGovernoFederal","Capacitações Ofertadas Proteção Básica","Conselheiros no Governo Federal","numeric","CF",1
298,"SEDES","Sedes - Dados de Gestão","capacitacoesOfertadasProtecaoSocialBasica","conselheiros-quantidadeGovernoFederal","capacitacoesOfertadasProtecaoSocialBasica-conselheiros-quantidadeGovernoFederal","Capacitações Ofertadas Proteção Básica","Conselheiros no Governo Federal","numeric","CF",1
239,"Gestão","Dados de Gestão","capacitacoesOfertadasProtecaoSocialBasica","conselheiros-quantidadeMunicipio","capacitacoesOfertadasProtecaoSocialBasica-conselheiros-quantidadeMunicipio","Capacitações Ofertadas Proteção Básica","Conselheiros no Município","numeric","CM",1
296,"SEDES","Sedes - Dados de Gestão","capacitacoesOfertadasProtecaoSocialBasica","conselheiros-quantidadeMunicipio","capacitacoesOfertadasProtecaoSocialBasica-conselheiros-quantidadeMunicipio","Capacitações Ofertadas Proteção Básica","Conselheiros no Município","numeric","CM",1
231,"Gestão","Dados de Gestão","capacitacoesOfertadasProtecaoSocialBasica","gestor-quantidadeEstado","capacitacoesOfertadasProtecaoSocialBasica-gestor-quantidadeEstado","Capacitações Ofertadas Proteção Básica","Gestores no Estado","numeric","GE",1
320,"SEDES","Sedes - Dados de Gestão","capacitacoesOfertadasProtecaoSocialBasica","gestor-quantidadeEstado","capacitacoesOfertadasProtecaoSocialBasica-gestor-quantidadeEstado","Capacitações Ofertadas Proteção Básica","Gestores no Estado","numeric","GE",1
232,"Gestão","Dados de Gestão","capacitacoesOfertadasProtecaoSocialBasica","gestor-quantidadeGovernoFederal","capacitacoesOfertadasProtecaoSocialBasica-gestor-quantidadeGovernoFederal","Capacitações Ofertadas Proteção Básica","Gestores no Governo Federal","numeric","GF",1
319,"SEDES","Sedes - Dados de Gestão","capacitacoesOfertadasProtecaoSocialBasica","gestor-quantidadeGovernoFederal","capacitacoesOfertadasProtecaoSocialBasica-gestor-quantidadeGovernoFederal","Capacitações Ofertadas Proteção Básica","Gestores no Governo Federal","numeric","GF",1
230,"Gestão","Dados de Gestão","capacitacoesOfertadasProtecaoSocialBasica","gestor-quantidadeMunicipio","capacitacoesOfertadasProtecaoSocialBasica-gestor-quantidadeMunicipio","Capacitações Ofertadas Proteção Básica","Gestores no Município","numeric","GM",1
295,"SEDES","Sedes - Dados de Gestão","capacitacoesOfertadasProtecaoSocialBasica","gestor-quantidadeMunicipio","capacitacoesOfertadasProtecaoSocialBasica-gestor-quantidadeMunicipio","Capacitações Ofertadas Proteção Básica","Gestores no Município","numeric","GM",1
237,"Gestão","Dados de Gestão","capacitacoesOfertadasProtecaoSocialBasica","trabalhadoresDeNivelMedio-quantidadeEstado","capacitacoesOfertadasProtecaoSocialBasica-trabalhadoresDeNivelMedio-quantidadeEstado","Capacitações Ofertadas Proteção Básica","Trabalhadores Nível Médio no Estado","numeric","TME",1
328,"SEDES","Sedes - Dados de Gestão","capacitacoesOfertadasProtecaoSocialBasica","trabalhadoresDeNivelMedio-quantidadeEstado","capacitacoesOfertadasProtecaoSocialBasica-trabalhadoresDeNivelMedio-quantidadeEstado","Capacitações Ofertadas Proteção Básica","Trabalhadores Nível Médio no Estado","numeric","TME",1
238,"Gestão","Dados de Gestão","capacitacoesOfertadasProtecaoSocialBasica","trabalhadoresDeNivelMedio-quantidadeGovernoFederal","capacitacoesOfertadasProtecaoSocialBasica-trabalhadoresDeNivelMedio-quantidadeGovernoFederal","Capacitações Ofertadas Proteção Básica","Trabalhadores Nível Médio no Governo Federal","numeric","TMF",1
329,"SEDES","Sedes - Dados de Gestão","capacitacoesOfertadasProtecaoSocialBasica","trabalhadoresDeNivelMedio-quantidadeGovernoFederal","capacitacoesOfertadasProtecaoSocialBasica-trabalhadoresDeNivelMedio-quantidadeGovernoFederal","Capacitações Ofertadas Proteção Básica","Trabalhadores Nível Médio no Governo Federal","numeric","TMF",1
236,"Gestão","Dados de Gestão","capacitacoesOfertadasProtecaoSocialBasica","trabalhadoresDeNivelMedio-quantidadeMunicipio","capacitacoesOfertadasProtecaoSocialBasica-trabalhadoresDeNivelMedio-quantidadeMunicipio","Capacitações Ofertadas Proteção Básica","Trabalhadores Nível Médio no Município","numeric","TMM",1
327,"SEDES","Sedes - Dados de Gestão","capacitacoesOfertadasProtecaoSocialBasica","trabalhadoresDeNivelMedio-quantidadeMunicipio","capacitacoesOfertadasProtecaoSocialBasica-trabalhadoresDeNivelMedio-quantidadeMunicipio","Capacitações Ofertadas Proteção Básica","Trabalhadores Nível Médio no Município","numeric","TMM",1
234,"Gestão","Dados de Gestão","capacitacoesOfertadasProtecaoSocialBasica","trabalhadoresDeNivelSuperior-quantidadeEstado","capacitacoesOfertadasProtecaoSocialBasica-trabalhadoresDeNivelSuperior-quantidadeEstado","Capacitações Ofertadas Proteção Básica","Trabalhadores Nível Superior no Estado","numeric","TSE",1
325,"SEDES","Sedes - Dados de Gestão","capacitacoesOfertadasProtecaoSocialBasica","trabalhadoresDeNivelSuperior-quantidadeEstado","capacitacoesOfertadasProtecaoSocialBasica-trabalhadoresDeNivelSuperior-quantidadeEstado","Capacitações Ofertadas Proteção Básica","Trabalhadores Nível Superior no Estado","numeric","TSE",1
235,"Gestão","Dados de Gestão","capacitacoesOfertadasProtecaoSocialBasica","trabalhadoresDeNivelSuperior-quantidadeGovernoFederal","capacitacoesOfertadasProtecaoSocialBasica-trabalhadoresDeNivelSuperior-quantidadeGovernoFederal","Capacitações Ofertadas Proteção Básica","Trabalhadores Nível Superior no Governo Federal","numeric","TSF",1
326,"SEDES","Sedes - Dados de Gestão","capacitacoesOfertadasProtecaoSocialBasica","trabalhadoresDeNivelSuperior-quantidadeGovernoFederal","capacitacoesOfertadasProtecaoSocialBasica-trabalhadoresDeNivelSuperior-quantidadeGovernoFederal","Capacitações Ofertadas Proteção Básica","Trabalhadores Nível Superior no Governo Federal","numeric","TSF",1
233,"Gestão","Dados de Gestão","capacitacoesOfertadasProtecaoSocialBasica","trabalhadoresDeNivelSuperior-quantidadeMunicipio","capacitacoesOfertadasProtecaoSocialBasica-trabalhadoresDeNivelSuperior-quantidadeMunicipio","Capacitações Ofertadas Proteção Básica","Trabalhadores Nível Superior no Município","numeric","TSM",1
324,"SEDES","Sedes - Dados de Gestão","capacitacoesOfertadasProtecaoSocialBasica","trabalhadoresDeNivelSuperior-quantidadeMunicipio","capacitacoesOfertadasProtecaoSocialBasica-trabalhadoresDeNivelSuperior-quantidadeMunicipio","Capacitações Ofertadas Proteção Básica","Trabalhadores Nível Superior no Município","numeric","TSM",1
264,"Gestão","Dados de Gestão","capacitacoesOfertadasProtecaoSocialControleSocial","conselheiros-quantidadeEstado","capacitacoesOfertadasProtecaoSocialControleSocial-conselheiros-quantidadeEstado","Capacitações Ofertadas Proteção e Controle Social","Conselheiros no Estado","numeric","CE",1
322,"SEDES","Sedes - Dados de Gestão","capacitacoesOfertadasProtecaoSocialControleSocial","conselheiros-quantidadeEstado","capacitacoesOfertadasProtecaoSocialControleSocial-conselheiros-quantidadeEstado","Capacitações Ofertadas Proteção e Controle Social","Conselheiros no Estado","numeric","CE",1
265,"Gestão","Dados de Gestão","capacitacoesOfertadasProtecaoSocialControleSocial","conselheiros-quantidadeGovernoFederal","capacitacoesOfertadasProtecaoSocialControleSocial-conselheiros-quantidadeGovernoFederal","Capacitações Ofertadas Proteção e Controle Social","Conselheiros no Governo Federal","numeric","CF",1
323,"SEDES","Sedes - Dados de Gestão","capacitacoesOfertadasProtecaoSocialControleSocial","conselheiros-quantidadeGovernoFederal","capacitacoesOfertadasProtecaoSocialControleSocial-conselheiros-quantidadeGovernoFederal","Capacitações Ofertadas Proteção e Controle Social","Conselheiros no Governo Federal","numeric","CF",1
263,"Gestão","Dados de Gestão","capacitacoesOfertadasProtecaoSocialControleSocial","conselheiros-quantidadeMunicipio","capacitacoesOfertadasProtecaoSocialControleSocial-conselheiros-quantidadeMunicipio","Capacitações Ofertadas Proteção e Controle Social","Conselheiros no Município","numeric","CM",1
321,"SEDES","Sedes - Dados de Gestão","capacitacoesOfertadasProtecaoSocialControleSocial","conselheiros-quantidadeMunicipio","capacitacoesOfertadasProtecaoSocialControleSocial-conselheiros-quantidadeMunicipio","Capacitações Ofertadas Proteção e Controle Social","Conselheiros no Município","numeric","CM",1
