atributo,tipo_campo
"oMunicipioDesenvolveQuaisAcoesDeVigilanciaSocioassistencial-realiza_reunioes_com_as_equipes_responsaveis_pela_execucao_dos_servicos_socioassistenciais","BOOLEAN"
"oMunicipioDesenvolveQuaisAcoesDeVigilanciaSocioassistencial-sistematiza_dados_e_produz_relatorios","BOOLEAN"
"oMunicipioDispoeDeComiteGestorIntersetorialDoPrimeiraInfanciaNoSUASProgramaCriancaFelizInstituido","BOOLEAN"
"oMunicipioDispoeDePlanoMunicipalDePromocaoEDefesaDoDireitoAConvivenciaFamiliarEComunitariaDeCriancasEAdolescentes","BOOLEAN"
"oMunicipioDispoeDePlanoMunicipalPelaPrimeiraInfancia","BOOLEAN"
"oServicoDeProtecaoSocialBasicaNoDomicilioNoMunicipioPossuiEquipeExclusiva","BOOLEAN"
"planoDecenalDeAssistenciaSocial-possui","BOOLEAN"
"planoMunicipalDeAssistenciaSocial-possui","BOOLEAN"
"PlanoMunicipaldeEducacaoPermanentedoSUAS-possui","BOOLEAN"
"quaisAreasEssenciaisDoSUASEstaoImplantadosOficialmente-gestao_do_suas","BOOLEAN"
"quaisAreasEssenciaisDoSUASEstaoImplantadosOficialmente-gestao_do_trabalho","BOOLEAN"
"quaisAreasEssenciaisDoSUASEstaoImplantadosOficialmente-protecao_social_basica","BOOLEAN"
"quaisAreasEssenciaisDoSUASEstaoImplantadosOficialmente-protecao_social_especial","BOOLEAN"
"RelatoriodeGestaoDoExercicioAnterior-possui","BOOLEAN"
"republicaIdosos-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA","BOOLEAN"
"residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA","BOOLEAN"
