Code_Client,Nb_Compte,Montant_Total_Compte,Montant_Total_Compte_Courant,Montant_Total_Compte_Epargne,Montant_Decouvert_Auto,Montant_Patrimoine,Nom_Client,Nb_Salarie,Date_Ouverture_1er_Compte,Date_Ouverture_Dernier_Compte,Code_Type_Client,Code_Adresse,Code_Salarie,Code_Secteur_activite
"CL1294",20,5091589,454837,197546,0,94844,"Mon Entreprise AUTO 1294",1,40744,42752,"AUTO","AD0644","SAL0350","SA029"
"CL1304",17,1077443,213927,483720,0,1559077,"Mon Entreprise AUTO 1304",1,38500,40704,"AUTO","AD0169","SAL0084","SA017"
"CL1309",8,13197791,118816,146341,0,1307544,"Mon Entreprise AUTO 1309",1,39639,38899,"AUTO","AD0455","SAL0239","SA005"
"CL1319",7,5858668,258599,297721,0,752674,"Mon Entreprise AUTO 1319",1,30247,43587,"AUTO","AD0654","SAL0350","SA014"
"CL1324",6,519957,-8930,511583,0,1263734,"Mon Entreprise AUTO 1324",1,43240,40289,"AUTO","AD0617","SAL0339","SA011"
"CL1334",6,1293039,363279,208473,0,848036,"Mon Entreprise AUTO 1334",1,30755,43806,"AUTO","AD0633","SAL0350","SA012"
"CL1339",10,2614235,381735,107324,0,1667241,"Mon Entreprise AUTO 1339",1,30817,39657,"AUTO","AD0334","SAL0181","SA010"
"CL1349",19,2006484,13953,555619,0,590879,"Mon Entreprise AUTO 1349",1,38611,41002,"AUTO","AD0135","SAL0073","SA006"
"CL1354",7,8205227,261171,551478,0,255126,"Mon Entreprise AUTO 1354",1,37826,42262,"AUTO","AD0722","SAL0388","SA010"
"CL1364",16,4016802,484564,24537,0,1148315,"Mon Entreprise AUTO 1364",1,31265,40345,"AUTO","AD0491","SAL0275","SA004"
"CL1369",12,3391855,363910,224082,0,1901773,"Mon Entreprise AUTO 1369",1,41618,41103,"AUTO","AD0877","SAL1355","SA003"
"CL1379",12,1917956,199882,831287,0,162276,"Mon Entreprise AUTO 1379",1,29692,40427,"AUTO","AD0537","SAL0321","SA025"
"CL1384",3,14140428,487867,817238,0,1126248,"Mon Entreprise AUTO 1384",1,37996,39176,"AUTO","AD0280","SAL0151","SA029"
"CL1394",20,5761246,147083,447126,0,1075475,"Mon Entreprise AUTO 1394",1,35463,41810,"AUTO","AD0768","SAL0434","SA024"
"CL1399",18,7219885,187817,689430,0,908183,"Mon Entreprise AUTO 1399",1,30205,41686,"AUTO","AD0692","SAL0358","SA033"
"CL1409",20,10662955,198475,22324,0,1570806,"Mon Entreprise AUTO 1409",1,29598,39430,"AUTO","AD0651","SAL0350","SA023"
"CL1414",6,7208605,111357,156721,0,1919389,"Mon Entreprise AUTO 1414",1,33345,43774,"AUTO","AD0900","SAL1355","SA027"
"CL1424",13,8756666,444642,194158,0,1157233,"Mon Entreprise AUTO 1424",1,40502,43045,"AUTO","AD0153","SAL0081","SA007"
"CL1429",16,13171328,135011,738878,0,1187654,"Mon Entreprise AUTO 1429",1,30572,43497,"AUTO","AD0478","SAL0262","SA033"
"CL1439",3,13012160,219204,989477,0,424709,"Mon Entreprise AUTO 1439",1,40995,42806,"AUTO","AD0313","SAL0171","SA022"
"CL1444",6,9141818,404102,394649,0,928034,"Mon Entreprise AUTO 1444",1,35477,42774,"AUTO","AD0512","SAL0296","SA023"
"CL1454",1,9272078,112487,608024,0,305086,"Mon Entreprise AUTO 1454",1,33554,41501,"AUTO","AD0879","SAL1355","SA019"
"CL1459",14,10642608,303122,258140,0,116644,"Mon Entreprise AUTO 1459",1,39969,40568,"AUTO","AD0560","SAL0322","SA009"
"CL1469",17,3469708,304390,651552,0,86605,"Mon Entreprise AUTO 1469",1,37317,43756,"AUTO","AD0601","SAL0323","SA011"
"CL1474",4,8926242,127735,843447,0,59648,"Mon Entreprise AUTO 1474",1,33320,40300,"AUTO","AD0826","SAL1355","SA014"
"CL1484",20,13310013,46576,291152,0,1922416,"Mon Entreprise AUTO 1484",1,30409,42903,"AUTO","AD0429","SAL0228","SA026"
"CL1489",4,8995765,471098,132762,0,98709,"Mon Entreprise AUTO 1489",1,33871,40664,"AUTO","AD0561","SAL0322","SA026"
"CL1499",13,2268053,392507,205912,0,1361312,"Mon Entreprise AUTO 1499",1,42470,40966,"AUTO","AD0428","SAL0227","SA031"
"CL1504",7,13981172,292988,646692,0,797580,"Mon Entreprise AUTO 1504",1,40497,41057,"AUTO","AD0433","SAL0232","SA018"
"CL1514",15,4161975,337238,775876,0,669815,"Mon Entreprise AUTO 1514",1,39959,39618,"AUTO","AD0717","SAL0383","SA009"
"CL1519",2,4749200,325187,633692,0,1823762,"Mon Entreprise AUTO 1519",1,38983,41185,"AUTO","AD0116","SAL0058","SA026"
"CL1529",11,11594001,32276,638009,0,1738103,"Mon Entreprise AUTO 1529",1,40702,39459,"AUTO","AD0806","SAL1355","SA013"
"CL1534",8,10255928,149672,802683,0,73890,"Mon Entreprise AUTO 1534",1,40060,42168,"AUTO","AD0465","SAL0249","SA004"
"CL1544",3,13697287,97408,930076,0,290726,"Mon Entreprise AUTO 1544",1,38493,39357,"AUTO","AD0141","SAL0076","SA023"
"CL1549",18,10191441,366579,613147,0,1049461,"Mon Entreprise AUTO 1549",1,36917,41583,"AUTO","AD0875","SAL1355","SA029"
"CL1559",4,8407193,32880,89435,0,493561,"Mon Entreprise AUTO 1559",1,41449,42928,"AUTO","AD0461","SAL0245","SA021"
"CL1564",15,5029634,121290,62201,0,147450,"Mon Entreprise AUTO 1564",1,31160,41796,"AUTO","AD0939","SAL1355","SA026"
"CL1574",17,7396127,11408,154021,0,688651,"Mon Entreprise AUTO 1574",1,36058,39826,"AUTO","AD0401","SAL0210","SA029"
"CL1579",2,10359822,62170,406888,0,978660,"Mon Entreprise AUTO 1579",1,30587,39165,"AUTO","AD0365","SAL0204","SA030"
"CL1589",5,664814,328354,45234,0,646796,"Mon Entreprise AUTO 1589",1,40010,41931,"AUTO","AD0764","SAL0430","SA030"
"CL1595",3,14858493,299536,674504,0,1497906,"Mon Entreprise AUTO 1595",1,30688,43814,"AUTO","AD0496","SAL0280","SA014"
"CL1605",11,11755237,310196,300091,0,509603,"Mon Entreprise AUTO 1605",1,34982,39578,"AUTO","AD0587","SAL0322","SA014"
"CL1610",15,877427,420856,740459,0,548770,"Mon Entreprise AUTO 1610",1,30231,39357,"AUTO","AD0116","SAL0058","SA012"
"CL1620",14,14236608,209290,655530,0,1260807,"Mon Entreprise AUTO 1620",1,31272,39301,"AUTO","AD0275","SAL0146","SA004"
"CL1626",1,12916649,86615,702551,0,531818,"Mon Entreprise AUTO 1626",1,31688,41845,"AUTO","AD0878","SAL1355","SA021"
"CL1636",15,12397960,301613,618200,0,823149,"Mon Entreprise AUTO 1636",1,32145,39710,"AUTO","AD0186","SAL0092","SA028"
"CL1641",19,13607601,77151,415213,0,270749,"Mon Entreprise AUTO 1641",1,41136,39621,"AUTO","AD0535","SAL0319","SA007"
"CL1651",9,13843587,200951,927647,0,1178022,"Mon Entreprise AUTO 1651",1,31626,42190,"AUTO","AD0266","SAL0137","SA029"
"CL1657",12,473201,-974,172963,0,1191882,"Mon Entreprise AUTO 1657",1,41321,39648,"AUTO","AD0635","SAL0350","SA027"
"CL1667",11,14440298,8921,157906,0,833860,"Mon Entreprise AUTO 1667",1,38234,43345,"AUTO","AD0436","SAL0235","SA021"
"CL1672",14,9034102,349919,199370,0,865919,"Mon Entreprise AUTO 1672",1,40873,39221,"AUTO","AD0606","SAL0328","SA010"
"CL1682",18,11420236,228891,98637,0,37659,"Mon Entreprise AUTO 1682",1,43033,39311,"AUTO","AD0252","SAL0129","SA027"
"CL1688",19,1973988,101349,994729,0,479898,"Mon Entreprise AUTO 1688",1,31700,39011,"AUTO","AD0481","SAL0265","SA017"
"CL1698",17,11331424,2187,70151,0,1529885,"Mon Entreprise AUTO 1698",1,39794,43024,"AUTO","AD0730","SAL0396","SA003"
"CL1703",17,12356131,228296,620267,0,1030042,"Mon Entreprise AUTO 1703",1,38964,43468,"AUTO","AD0805","SAL1355","SA030"
"CL1713",15,6079050,271290,359054,0,1759401,"Mon Entreprise AUTO 1713",1,43450,40042,"AUTO","AD0842","SAL1355","SA024"
"CL1719",15,9054086,236106,875326,0,1982772,"Mon Entreprise AUTO 1719",1,34862,38827,"AUTO","AD0835","SAL1355","SA026"
"CL1729",5,8834015,478152,422989,0,763514,"Mon Entreprise AUTO 1729",1,37672,41716,"AUTO","AD0375","SAL0204","SA018"
"CL1734",7,14179273,124792,392370,0,237577,"Mon Entreprise AUTO 1734",1,32893,41383,"AUTO","AD0448","SAL0237","SA002"
"CL1744",18,11140642,295546,527767,0,732844,"Mon Entreprise AUTO 1744",1,31321,43697,"AUTO","AD0401","SAL0210","SA019"
"CL1747",1,13401145,-6462,287182,0,519160,"Mon Entreprise AUTO 1747",1,37469,41187,"AUTO","AD0385","SAL0208","SA023"
"CL0013",9,10061801,286170,970079,0,752456,"Mon Entreprise MICRO 13",1,41612,38486,"MICRO","AD0013","SAL0009","SA031"
"CL0026",1,9226006,56918,416528,0,1178311,"Mon Entreprise MICRO 26",1,40259,42081,"MICRO","AD0026","SAL0015","SA006"
"CL0039",6,6855863,143398,764947,0,734084,"Mon Entreprise MICRO 39",1,43160,39180,"MICRO","AD0039","SAL0024","SA028"
"CL0052",8,7809578,-7686,54803,0,630368,"Mon Entreprise MICRO 52",1,40949,41021,"MICRO","AD0052","SAL0036","SA014"
"CL0065",3,5869467,126640,977935,0,306212,"Mon Entreprise MICRO 65",1,29532,39213,"MICRO","AD0065","SAL0044","SA018"
"CL0078",16,10875843,280222,236092,0,1858125,"Mon Entreprise MICRO 78",1,32004,41257,"MICRO","AD0078","SAL0052","SA005"
"CL0091",7,6061167,291026,735095,0,550824,"Mon Entreprise MICRO 91",1,41397,41955,"MICRO","AD0091","SAL0052","SA016"
"CL0104",14,11528552,51755,826562,0,228966,"Mon Entreprise MICRO 104",1,36641,42059,"MICRO","AD0104","SAL0052","SA020"
"CL0113",5,14572023,375206,329094,0,180102,"Mon Entreprise MICRO 113",1,40259,41782,"MICRO","AD0113","SAL0055","SA002"
"CL0122",1,12878022,316252,792558,0,1645965,"Mon Entreprise MICRO 122",1,38575,39165,"MICRO","AD0122","SAL0060","SA011"
"CL0135",20,8611417,186439,34939,0,626096,"Mon Entreprise MICRO 135",1,42809,42234,"MICRO","AD0135","SAL0073","SA008"
"CL0144",10,9278444,144121,557234,0,231812,"Mon Entreprise MICRO 144",1,30851,39694,"MICRO","AD0144","SAL0079","SA028"
"CL0164",3,13171222,273116,489091,0,1589994,"Mon Entreprise MICRO 164",1,38452,39574,"MICRO","AD0164","SAL0081","SA010"
"CL0177",4,9439585,131256,736099,0,884433,"Mon Entreprise MICRO 177",1,37323,42140,"MICRO","AD0177","SAL0092","SA022"
"CL0190",8,3533726,401182,599111,0,738954,"Mon Entreprise MICRO 190",1,32624,40570,"MICRO","AD0190","SAL0092","SA007"
"CL0203",4,10030636,366180,618319,0,383071,"Mon Entreprise MICRO 203",1,36296,42133,"MICRO","AD0203","SAL0099","SA022"
"CL0216",2,14711390,316398,163725,0,995141,"Mon Entreprise MICRO 216",1,35423,42141,"MICRO","AD0216","SAL0103","SA011"
"CL0229",10,3615640,216479,365965,0,719612,"Mon Entreprise MICRO 229",1,40405,43551,"MICRO","AD0229","SAL0114","SA007"
"CL0242",14,6583256,-7838,361685,0,405722,"Mon Entreprise MICRO 242",1,34738,38661,"MICRO","AD0242","SAL0119","SA031"
"CL0255",9,8159167,442121,625034,0,1810165,"Mon Entreprise MICRO 255",1,40058,41240,"MICRO","AD0255","SAL0132","SA013"
"CL0264",7,13769660,352898,451973,0,992369,"Mon Entreprise MICRO 264",1,39676,38788,"MICRO","AD0264","SAL0137","SA018"
"CL0273",7,8800308,-3783,240906,0,1132255,"Mon Entreprise MICRO 273",1,37472,42654,"MICRO","AD0273","SAL0144","SA012"
"CL0286",8,508087,254516,852611,0,463428,"Mon Entreprise MICRO 286",1,31481,39924,"MICRO","AD0286","SAL0155","SA023"
"CL0295",13,12217741,200322,644738,0,96093,"Mon Entreprise MICRO 295",1,30760,39683,"MICRO","AD0295","SAL0159","SA025"
"CL0315",17,9879062,113493,803612,0,1729765,"Mon Entreprise MICRO 315",1,35406,40220,"MICRO","AD0315","SAL0173","SA024"
"CL0328",7,8747670,295751,169997,0,588396,"Mon Entreprise MICRO 328",1,30788,43437,"MICRO","AD0328","SAL0178","SA019"
"CL0341",19,4438759,133134,293528,0,741565,"Mon Entreprise MICRO 341",1,36495,38851,"MICRO","AD0341","SAL0188","SA009"
"CL0354",4,6306851,323312,888806,0,1547055,"Mon Entreprise MICRO 354",1,32143,43274,"MICRO","AD0354","SAL0201","SA016"
"CL0367",11,1822707,372571,382372,0,159298,"Mon Entreprise MICRO 367",1,34898,39275,"MICRO","AD0367","SAL0204","SA022"
"CL0380",2,12120376,221068,975153,0,327714,"Mon Entreprise MICRO 380",1,40454,41654,"MICRO","AD0380","SAL0204","SA021"
"CL0393",9,13129839,391640,385910,0,164563,"Mon Entreprise MICRO 393",1,35981,39327,"MICRO","AD0393","SAL0210","SA003"
"CL0406",12,14648295,161029,612928,0,21214,"Mon Entreprise MICRO 406",1,32254,40136,"MICRO","AD0406","SAL0210","SA015"
"CL0415",18,10868708,374782,973236,0,23353,"Mon Entreprise MICRO 415",1,40306,43389,"MICRO","AD0415","SAL0214","SA005"
"CL0424",19,7107083,47417,323035,0,774949,"Mon Entreprise MICRO 424",1,40245,41372,"MICRO","AD0424","SAL0223","SA026"
"CL0437",2,11845003,304395,163062,0,1789195,"Mon Entreprise MICRO 437",1,42375,42013,"MICRO","AD0437","SAL0236","SA031"
"CL0446",15,14145712,287363,588166,0,635643,"Mon Entreprise MICRO 446",1,37678,42914,"MICRO","AD0446","SAL0237","SA031"
"CL0466",19,10798231,24623,524069,0,322520,"Mon Entreprise MICRO 466",1,29603,41311,"MICRO","AD0466","SAL0250","SA022"
"CL0479",15,1103842,431380,28705,0,180717,"Mon Entreprise MICRO 479",1,41352,43309,"MICRO","AD0479","SAL0263","SA030"
"CL0492",1,3251313,494718,761144,0,1762889,"Mon Entreprise MICRO 492",1,33597,41215,"MICRO","AD0492","SAL0276","SA024"
"CL0505",4,6101226,84672,817685,0,1293477,"Mon Entreprise MICRO 505",1,39429,43118,"MICRO","AD0505","SAL0289","SA008"
"CL0518",7,12473892,227491,356060,0,1367840,"Mon Entreprise MICRO 518",1,37672,38824,"MICRO","AD0518","SAL0302","SA016"
"CL0531",16,12006015,282842,378077,0,1584725,"Mon Entreprise MICRO 531",1,35708,41700,"MICRO","AD0531","SAL0315","SA008"
"CL0544",16,8778905,203085,911388,0,1810660,"Mon Entreprise MICRO 544",1,33952,38803,"MICRO","AD0544","SAL0322","SA016"
"CL0557",16,750928,424141,824270,0,874483,"Mon Entreprise MICRO 557",1,35012,40321,"MICRO","AD0557","SAL0322","SA011"
"CL0566",11,2849594,409152,380052,0,174074,"Mon Entreprise MICRO 566",1,32488,41456,"MICRO","AD0566","SAL0322","SA021"
"CL0575",11,13272975,74886,121621,0,1563308,"Mon Entreprise MICRO 575",1,39071,39622,"MICRO","AD0575","SAL0322","SA024"
"CL0588",12,11926220,196126,933966,0,1909818,"Mon Entreprise MICRO 588",1,36176,39125,"MICRO","AD0588","SAL0322","SA013"
"CL0597",5,-84357,478747,543803,0,1986477,"Mon Entreprise MICRO 597",1,42913,39595,"MICRO","AD0597","SAL0322","SA023"
"CL0617",20,2631109,286413,747327,0,1634404,"Mon Entreprise MICRO 617",1,43359,39703,"MICRO","AD0617","SAL0339","SA002"
"CL0630",2,12453649,241159,670027,0,939724,"Mon Entreprise MICRO 630",1,32894,39799,"MICRO","AD0630","SAL0350","SA011"
"CL0643",14,10253427,209687,80363,0,1809300,"Mon Entreprise MICRO 643",1,35477,40138,"MICRO","AD0643","SAL0350","SA001"
"CL0656",3,2043866,167227,838631,0,584081,"Mon Entreprise MICRO 656",1,34714,42984,"MICRO","AD0656","SAL0350","SA032"
"CL0669",4,5132890,240152,885830,0,97825,"Mon Entreprise MICRO 669",1,34139,40835,"MICRO","AD0669","SAL0350","SA030"
"CL0682",10,13116869,11794,812905,0,1957975,"Mon Entreprise MICRO 682",1,35119,38813,"MICRO","AD0682","SAL0350","SA032"
"CL0695",3,6760563,75070,59935,0,448494,"Mon Entreprise MICRO 695",1,38921,43413,"MICRO","AD0695","SAL0361","SA004"
"CL0708",3,14670282,95352,186890,0,1664463,"Mon Entreprise MICRO 708",1,32066,39620,"MICRO","AD0708","SAL0374","SA012"
"CL0717",10,14292145,416468,450183,0,1227755,"Mon Entreprise MICRO 717",1,42986,42300,"MICRO","AD0717","SAL0383","SA012"
"CL0726",1,7781135,60740,912908,0,1533901,"Mon Entreprise MICRO 726",1,40928,40094,"MICRO","AD0726","SAL0392","SA027"
"CL0739",11,3611521,150136,923938,0,925043,"Mon Entreprise MICRO 739",1,41057,39650,"MICRO","AD0739","SAL0405","SA032"
"CL0748",2,13663402,166397,163166,0,1854983,"Mon Entreprise MICRO 748",1,30629,42589,"MICRO","AD0748","SAL0414","SA009"
"CL0768",14,5964307,465465,981209,0,1262436,"Mon Entreprise MICRO 768",1,36762,39257,"MICRO","AD0768","SAL0434","SA016"
"CL0781",18,3289292,186160,976171,0,1679886,"Mon Entreprise MICRO 781",1,41906,40311,"MICRO","AD0781","SAL0447","SA031"
"CL0794",8,1710657,385683,444429,0,740485,"Mon Entreprise MICRO 794",1,34825,41107,"MICRO","AD0794","SAL1355","SA033"
"CL0807",12,868699,457982,351379,0,845069,"Mon Entreprise MICRO 807",1,38120,40000,"MICRO","AD0807","SAL1355","SA005"
"CL0820",11,5930088,24868,300771,0,748535,"Mon Entreprise MICRO 820",1,33752,42417,"MICRO","AD0820","SAL1355","SA020"
"CL0833",5,9029021,377999,382220,0,92959,"Mon Entreprise MICRO 833",1,30416,43811,"MICRO","AD0833","SAL1355","SA020"
"CL0846",19,5837775,369495,841683,0,128342,"Mon Entreprise MICRO 846",1,38267,43590,"MICRO","AD0846","SAL1355","SA010"
"CL0859",20,12535945,252253,17671,0,1054422,"Mon Entreprise MICRO 859",1,40854,41781,"MICRO","AD0859","SAL1355","SA001"
"CL0868",19,164790,110475,473538,0,1669935,"Mon Entreprise MICRO 868",1,40210,41320,"MICRO","AD0868","SAL1355","SA011"
"CL0877",19,11757102,331915,656824,0,1787897,"Mon Entreprise MICRO 877",1,36026,41885,"MICRO","AD0877","SAL1355","SA031"
"CL0890",20,13631981,311465,863602,0,657727,"Mon Entreprise MICRO 890",1,38643,41964,"MICRO","AD0890","SAL1355","SA028"
"CL0899",1,11179810,98675,61197,0,531274,"Mon Entreprise MICRO 899",1,43817,42320,"MICRO","AD0899","SAL1355","SA005"
"CL0919",9,13128551,51546,884720,0,1397671,"Mon Entreprise MICRO 919",1,29417,41337,"MICRO","AD0919","SAL1355","SA002"
"CL0932",7,4267574,372162,676134,0,829256,"Mon Entreprise MICRO 932",1,41893,42699,"MICRO","AD0932","SAL1355","SA028"
"CL0945",1,3431847,330583,305973,0,1255819,"Mon Entreprise MICRO 945",1,29701,42701,"MICRO","AD0945","SAL1355","SA020"
"CL0958",18,6468496,381345,666113,0,1498048,"Mon Entreprise MICRO 958",1,31641,42736,"MICRO","AD0004","SAL0001","SA019"
"CL0971",15,11305070,165732,808246,0,1978414,"Mon Entreprise MICRO 971",1,35114,38780,"MICRO","AD0030","SAL0019","SA003"
"CL0984",11,8862993,430259,986182,0,539664,"Mon Entreprise MICRO 984",1,42637,39180,"MICRO","AD0094","SAL0052","SA032"
"CL0997",8,4048072,128541,841331,0,825035,"Mon Entreprise MICRO 997",1,31107,41867,"MICRO","AD0071","SAL0050","SA028"
"CL1010",20,1653517,75877,718496,0,1702668,"Mon Entreprise MICRO 1010",1,37597,39469,"MICRO","AD0098","SAL0052","SA001"
"CL1019",15,4125547,395715,898819,0,1731286,"Mon Entreprise MICRO 1019",1,38579,40365,"MICRO","AD0081","SAL0052","SA018"
"CL1028",8,11895254,306471,754167,0,67020,"Mon Entreprise MICRO 1028",1,35639,41632,"MICRO","AD0088","SAL0052","SA005"
"CL1041",3,6152735,405149,757098,0,742278,"Mon Entreprise MICRO 1041",1,32253,43180,"MICRO","AD0012","SAL0008","SA017"
"CL1050",6,12896681,233304,931904,0,1712160,"Mon Entreprise MICRO 1050",1,39650,40227,"MICRO","AD0734","SAL0400","SA031"
"CL1065",6,8709518,211982,666178,0,1794918,"Mon Entreprise MICRO 1065",1,39997,38443,"MICRO","AD0379","SAL0204","SA006"
"CL1080",20,5024107,204357,697019,0,1733652,"Mon Entreprise MICRO 1080",1,30013,42899,"MICRO","AD0675","SAL0350","SA026"
"CL1095",4,10225396,369043,246386,0,1428871,"Mon Entreprise MICRO 1095",1,43696,40211,"MICRO","AD0462","SAL0246","SA012"
"CL1110",16,14849676,45018,509944,0,528505,"Mon Entreprise MICRO 1110",1,33631,40438,"MICRO","AD0166","SAL0081","SA015"
"CL1125",16,3093606,403074,512762,0,800821,"Mon Entreprise MICRO 1125",1,34177,43762,"MICRO","AD0303","SAL0166","SA008"
"CL1140",15,7625555,160949,455506,0,225004,"Mon Entreprise MICRO 1140",1,32238,39412,"MICRO","AD0468","SAL0252","SA001"
"CL1155",13,10328499,439963,293240,0,1608880,"Mon Entreprise MICRO 1155",1,35257,39744,"MICRO","AD0196","SAL0092","SA013"
"CL1170",10,7695196,453333,707628,0,917101,"Mon Entreprise MICRO 1170",1,37838,38934,"MICRO","AD0613","SAL0335","SA019"
"CL1185",9,3084950,81646,259273,0,53968,"Mon Entreprise MICRO 1185",1,38296,42775,"MICRO","AD0947","SAL1355","SA011"
"CL1200",18,2584819,130811,317086,0,738283,"Mon Entreprise MICRO 1200",1,35706,41088,"MICRO","AD0373","SAL0204","SA008"
"CL1215",18,12658208,431710,596630,0,1404506,"Mon Entreprise MICRO 1215",1,42706,41467,"MICRO","AD0799","SAL1355","SA029"
"CL1230",19,8402343,433509,61921,0,865759,"Mon Entreprise MICRO 1230",1,39741,42250,"MICRO","AD0733","SAL0399","SA033"
"CL1245",4,5300880,148275,636927,0,168387,"Mon Entreprise MICRO 1245",1,32623,43473,"MICRO","AD0912","SAL1355","SA027"
"CL1260",14,831213,430214,222960,0,1788771,"Mon Entreprise MICRO 1260",1,37991,41327,"MICRO","AD0650","SAL0350","SA026"
"CL1275",7,10947069,472049,496773,0,502008,"Mon Entreprise MICRO 1275",1,38349,42028,"MICRO","AD0332","SAL0179","SA015"
"CL1290",4,2376102,221767,279175,0,1209778,"Mon Entreprise MICRO 1290",1,39705,42389,"MICRO","AD0199","SAL0095","SA004"
"CL1305",11,9479634,275035,66165,0,198324,"Mon Entreprise MICRO 1305",1,34643,39796,"MICRO","AD0162","SAL0081","SA011"
"CL1320",11,14093052,299042,424032,0,426109,"Mon Entreprise MICRO 1320",1,31864,42641,"MICRO","AD0748","SAL0414","SA022"
"CL1335",13,323758,430872,569906,0,367663,"Mon Entreprise MICRO 1335",1,38354,43337,"MICRO","AD0609","SAL0331","SA030"
"CL1350",12,965558,282585,133414,0,904964,"Mon Entreprise MICRO 1350",1,33079,41043,"MICRO","AD0767","SAL0433","SA022"
"CL1365",13,8386189,55645,686311,0,1864372,"Mon Entreprise MICRO 1365",1,36781,39023,"MICRO","AD0385","SAL0208","SA008"
"CL1380",9,859205,19280,824621,0,1292116,"Mon Entreprise MICRO 1380",1,41600,41906,"MICRO","AD0768","SAL0434","SA015"
"CL1395",9,6160826,486875,390594,0,594475,"Mon Entreprise MICRO 1395",1,38355,41098,"MICRO","AD0479","SAL0263","SA032"
"CL1410",19,384144,492105,636420,0,1852669,"Mon Entreprise MICRO 1410",1,43766,39613,"MICRO","AD0619","SAL0341","SA012"
"CL1425",14,12430043,193167,439215,0,1131297,"Mon Entreprise MICRO 1425",1,37092,41269,"MICRO","AD0252","SAL0129","SA003"
"CL1440",3,3603785,188322,750894,0,59088,"Mon Entreprise MICRO 1440",1,38812,42172,"MICRO","AD0564","SAL0322","SA023"
"CL1455",6,11059690,153019,38650,0,324670,"Mon Entreprise MICRO 1455",1,34537,42795,"MICRO","AD0576","SAL0322","SA023"
"CL1470",5,13596256,194380,553139,0,325585,"Mon Entreprise MICRO 1470",1,29831,40719,"MICRO","AD0255","SAL0132","SA021"
"CL1485",20,8568798,191775,433285,0,1310774,"Mon Entreprise MICRO 1485",1,41194,39214,"MICRO","AD0670","SAL0350","SA024"
"CL1500",15,11216398,306418,340995,0,435448,"Mon Entreprise MICRO 1500",1,40777,41214,"MICRO","AD0854","SAL1355","SA015"
"CL1515",10,7011048,423729,527780,0,1548285,"Mon Entreprise MICRO 1515",1,38772,39110,"MICRO","AD0803","SAL1355","SA002"
"CL1530",12,14680876,127203,299538,0,1212330,"Mon Entreprise MICRO 1530",1,32552,41110,"MICRO","AD0550","SAL0322","SA022"
"CL1545",20,10984622,374397,482615,0,1348676,"Mon Entreprise MICRO 1545",1,38785,38378,"MICRO","AD0627","SAL0349","SA019"
"CL1560",16,1228745,345866,395934,0,1380685,"Mon Entreprise MICRO 1560",1,36442,39845,"MICRO","AD0517","SAL0301","SA018"
"CL1575",14,13639574,293700,775941,0,115221,"Mon Entreprise MICRO 1575",1,40976,39600,"MICRO","AD0545","SAL0322","SA026"
"CL1590",6,8561362,428134,448318,0,1779987,"Mon Entreprise MICRO 1590",1,36541,39337,"MICRO","AD0546","SAL0322","SA033"
"CL1591",10,9223778,477045,924028,0,1658887,"Mon Entreprise MICRO 1591",1,40608,39631,"MICRO","AD0656","SAL0350","SA015"
"CL1606",15,10906931,90768,117035,0,1505951,"Mon Entreprise MICRO 1606",1,39620,40771,"MICRO","AD0258","SAL0135","SA025"
"CL1621",19,12007903,247187,388966,0,1699684,"Mon Entreprise MICRO 1621",1,39147,42669,"MICRO","AD0777","SAL0443","SA005"
"CL1622",5,3194442,32389,576473,0,787969,"Mon Entreprise MICRO 1622",1,29275,40577,"MICRO","AD0446","SAL0237","SA003"
"CL1637",8,555826,495784,815232,0,1115740,"Mon Entreprise MICRO 1637",1,30075,41426,"MICRO","AD0343","SAL0190","SA033"
"CL1652",12,10050628,246236,344387,0,34225,"Mon Entreprise MICRO 1652",1,35140,41083,"MICRO","AD0361","SAL0204","SA029"
"CL1653",19,6237526,274170,596226,0,1065190,"Mon Entreprise MICRO 1653",1,33813,39096,"MICRO","AD0732","SAL0398","SA016"
"CL1668",20,9960543,146085,84354,0,52696,"Mon Entreprise MICRO 1668",1,40741,41441,"MICRO","AD0180","SAL0092","SA027"
"CL1683",17,4263529,361991,593642,0,396903,"Mon Entreprise MICRO 1683",1,33982,41420,"MICRO","AD0545","SAL0322","SA020"
"CL1684",14,6724062,206936,859088,0,653527,"Mon Entreprise MICRO 1684",1,42397,39978,"MICRO","AD0436","SAL0235","SA016"
"CL1699",7,8486962,199565,829895,0,858752,"Mon Entreprise MICRO 1699",1,38202,42359,"MICRO","AD0101","SAL0052","SA008"
"CL1714",17,2762832,425953,92146,0,822957,"Mon Entreprise MICRO 1714",1,35310,41571,"MICRO","AD0548","SAL0322","SA027"
"CL1715",17,2684852,60529,531788,0,1002777,"Mon Entreprise MICRO 1715",1,40564,38411,"MICRO","AD0729","SAL0395","SA017"
"CL1730",4,14410093,345807,932836,0,947254,"Mon Entreprise MICRO 1730",1,34278,42141,"MICRO","AD0569","SAL0322","SA021"
"CL1745",10,3851805,305983,457766,0,191499,"Mon Entreprise MICRO 1745",1,33713,38935,"MICRO","AD0135","SAL0073","SA025"
"CL1748",18,4310554,374351,671605,0,37412,"Mon Entreprise MICRO 1748",1,34579,40722,"MICRO","AD0656","SAL0350","SA024"
