Interaction Type,Attribute Name,Attribute Type
"EventRegistrationCanceled","AccountId","string"
"FormSubmitted","MessageId","string"
"FormSubmitted","PageId","string"
"FormSubmitted","FormId","string"
"FormSubmitted","FormName","string"
"FormSubmitted","FormSubmissionId","string"
"FormSubmitted","CustomerJourneyId","string"
"FormSubmitted","CustomerJourneyIterationId","string"
"FormSubmitted","Result","string"
"FormSubmitted","VisitorId","string"
"FormSubmitted","SessionId","string"
"FormSubmitted","ContactId","string"
"FormSubmitted","AccountId","string"
"FormSubmitted","ContactMatchingResult","string"
"FormSubmitted","LeadMatchingResult","string"
"FormSubmitted","CountryIsoCode","string"
"FormSubmitted","State","string"
"FormSubmitted","City","string"
"FormSubmitted","PostalCode","string"
"FormSubmitted","BrowserId","string"
"FormSubmitted","BrowserVersion","string"
"FormSubmitted","OperatingSystemId","string"
"FormSubmitted","OperatingSystemVersion","string"
"FormSubmitted","ReferrerUri","string"
"FormSubmitted","SendingId","string"
"FormSubmitted","SearchPhrase","string"
"FormSubmitted","SearchEngineName","string"
"FormSubmitted","VisitDuration","string"
"FormSubmitted","VisitorReturningStatus","string"
"FormSubmitted","ContactFailureMessage","string"
"FormSubmitted","LeadFailureMessage","string"
"FormSubmitted","VisitorAnonymousStatus","string"
"FormSubmitted","LeadId","string"
"FormSubmitted","SubmittedValues","string"
"FormVisited","MessageId","string"
"FormVisited","PageId","string"
"FormVisited","FormId","string"
"FormVisited","CustomerJourneyId","string"
"FormVisited","VisitorId","string"
"FormVisited","SessionId","string"
"FormVisited","ContactId","string"
"FormVisited","AccountId","string"
"FormVisited","CountryIsoCode","string"
"FormVisited","State","string"
"FormVisited","City","string"
"FormVisited","PostalCode","string"
"FormVisited","BrowserId","string"
"FormVisited","BrowserVersion","string"
"FormVisited","OperatingSystemId","string"
"FormVisited","OperatingSystemVersion","string"
"FormVisited","ReferrerUri","string"
"FormVisited","SendingId","string"
"FormVisited","SearchPhrase","string"
"FormVisited","SearchEngineName","string"
"FormVisited","VisitDuration","string"
"FormVisited","VisitorReturningStatus","string"
"FormVisited","VisitorAnonymousStatus","string"
"FormVisited","LeadId","string"
"InvalidRecipientAddress","SendingId","string"
"InvalidRecipientAddress","ContactId","string"
"InvalidRecipientAddress","AccountId","string"
"InvalidRecipientAddress","MessageId","string"
"InvalidRecipientAddress","CustomerJourneyId","string"
"InvalidRecipientAddress","CustomerJourneyIterationId","string"
"InvalidRecipientAddress","UsageType","string"
"InvalidRecipientAddress","BlockedReason","string"
"InvalidRecipientAddress","ActivityId","string"
"InvalidReplyToAddress","SendingId","string"
"InvalidReplyToAddress","ContactId","string"
"InvalidReplyToAddress","AccountId","string"
"InvalidReplyToAddress","MessageId","string"
"InvalidReplyToAddress","CustomerJourneyId","string"
"InvalidReplyToAddress","CustomerJourneyIterationId","string"
"InvalidReplyToAddress","UsageType","string"
"InvalidReplyToAddress","BlockedReason","string"
"InvalidReplyToAddress","ActivityId","string"
"InvalidSenderAddress","SendingId","string"
"InvalidSenderAddress","ContactId","string"
"InvalidSenderAddress","AccountId","string"
"InvalidSenderAddress","MessageId","string"
"InvalidSenderAddress","CustomerJourneyId","string"
"InvalidSenderAddress","CustomerJourneyIterationId","string"
"InvalidSenderAddress","UsageType","string"
"InvalidSenderAddress","BlockedReason","string"
"InvalidSenderAddress","ActivityId","string"
"LeadScoreBoost","ActivityId","string"
"LeadScoreBoost","CustomerJourneyId","string"
"LeadScoreBoost","CustomerJourneyIterationId","string"
"LeadScoreBoost","ContactId","string"
"LeadScoreBoost","AccountId","string"
"LinkedInFormSubmission","LinkedInCampaignId","string"
"LinkedInFormSubmission","LinkedInFormId","string"
"LinkedInFormSubmission","ContactId","string"
"LinkedInFormSubmission","AccountId","string"
"OutOfEmailCredits","SendingId","string"
"OutOfEmailCredits","ContactId","string"
"OutOfEmailCredits","AccountId","string"
"OutOfEmailCredits","MessageId","string"
"OutOfEmailCredits","CustomerJourneyId","string"
"OutOfEmailCredits","CustomerJourneyIterationId","string"
"OutOfEmailCredits","UsageType","string"
"OutOfEmailCredits","ActivityId","string"
"PassThroughActivityContactProcessed","ActivityId","string"
"PassThroughActivityContactProcessed","CustomerJourneyId","string"
"PassThroughActivityContactProcessed","ContactId","string"
"PassThroughActivityContactProcessed","AccountId","string"
"PassThroughActivityContactProcessed","WorkflowId","string"
"PassThroughActivityContactProcessed","CustomerJourneyIterationId","string"
"RedirectLinkClicked","LinkId","string"
"RedirectLinkClicked","Link","string"
"RedirectLinkClicked","OriginalUrl","string"
"RedirectLinkClicked","ReferrerUri","string"
"RedirectLinkClicked","MessageId","string"
"RedirectLinkClicked","CustomerJourneyId","string"
"RedirectLinkClicked","CustomerJourneyIterationId","string"
"RedirectLinkClicked","SendingId","string"
"RedirectLinkClicked","VisitorId","string"
"RedirectLinkClicked","SessionId","string"
"RedirectLinkClicked","ContactId","string"
"RedirectLinkClicked","AccountId","string"
"RedirectLinkClicked","CountryIsoCode","string"
"RedirectLinkClicked","State","string"
"RedirectLinkClicked","City","string"
"RedirectLinkClicked","PostalCode","string"
"RedirectLinkClicked","BrowserId","string"
"RedirectLinkClicked","BrowserVersion","string"
"RedirectLinkClicked","OperatingSystemId","string"
"RedirectLinkClicked","OperatingSystemVersion","string"
"RedirectLinkClicked","SearchPhrase","string"
"RedirectLinkClicked","SearchEngineName","string"
"RedirectLinkClicked","VisitDuration","string"
"RedirectLinkClicked","VisitorReturningStatus","string"
"RedirectLinkClicked","VisitorAnonymousStatus","string"
"RedirectLinkClicked","LeadId","string"
"SchedulerActivityContactProcessed","ActivityId","string"
"SchedulerActivityContactProcessed","CustomerJourneyId","string"
"SchedulerActivityContactProcessed","ContactId","string"
"SchedulerActivityContactProcessed","AccountId","string"
"SchedulerActivityContactProcessed","WorkflowId","string"
"SchedulerActivityContactProcessed","CustomerJourneyIterationId","string"
"SchedulerActivityContactProcessed","Path","string"
"SegmentMembersCountChanged","SegmentId","string"
"SegmentRelationshipEdited","SessionId","string"
"SegmentRelationshipEdited","VisitorId","string"
"SegmentRelationshipEdited","ContactId","string"
"SegmentRelationshipEdited","AccountId","string"
"SegmentRelationshipEdited","SendingId","string"
"SegmentRelationshipEdited","CountryIsoCode","string"
"SegmentRelationshipEdited","State","string"
"SegmentRelationshipEdited","City","string"
"SegmentRelationshipEdited","PostalCode","string"
"SegmentRelationshipEdited","BrowserId","string"
"SegmentRelationshipEdited","BrowserVersion","string"
"SegmentRelationshipEdited","OperatingSystemId","string"
"SegmentRelationshipEdited","OperatingSystemVersion","string"
"SegmentRelationshipEdited","SegmentId","string"
"SegmentRelationshipEdited","RelationshipOperatorAction","string"
"SegmentRelationshipEdited","Result","string"
"SegmentRelationshipEdited","SearchPhrase","string"
"SegmentRelationshipEdited","SearchEngineName","string"
"SegmentRelationshipEdited","VisitDuration","string"
"SegmentRelationshipEdited","VisitorReturningStatus","string"
"SegmentRelationshipEdited","VisitorAnonymousStatus","string"
"SegmentRelationshipEdited","LeadId","string"
"SegmentSubscribed","SessionId","string"
"SegmentSubscribed","VisitorId","string"
"SegmentSubscribed","ContactId","string"
"SegmentSubscribed","AccountId","string"
"SegmentSubscribed","CustomerJourneyId","string"
"SegmentSubscribed","CustomerJourneyIterationId","string"
"SegmentSubscribed","SendingId","string"
"SegmentSubscribed","MessageId","string"
"SegmentSubscribed","EmailDomain","string"
"SegmentSubscribed","EmailAddressUsed","string"
"SegmentSubscribed","CountryIsoCode","string"
"SegmentSubscribed","State","string"
"SegmentSubscribed","City","string"
"SegmentSubscribed","PostalCode","string"
"SegmentSubscribed","BrowserId","string"
"SegmentSubscribed","BrowserVersion","string"
"SegmentSubscribed","OperatingSystemId","string"
"SegmentSubscribed","OperatingSystemVersion","string"
"SegmentSubscribed","SegmentId","string"
"SegmentSubscribed","FormSubmissionId","string"
"SegmentSubscribed","SearchPhrase","string"
"SegmentSubscribed","SearchEngineName","string"
"SegmentSubscribed","VisitDuration","string"
"SegmentSubscribed","VisitorReturningStatus","string"
"SegmentSubscribed","VisitorAnonymousStatus","string"
"SegmentSubscribed","LeadId","string"
"SegmentUnsubscribed","SessionId","string"
"SegmentUnsubscribed","VisitorId","string"
"SegmentUnsubscribed","ContactId","string"
"SegmentUnsubscribed","AccountId","string"
"SegmentUnsubscribed","CustomerJourneyId","string"
"SegmentUnsubscribed","CustomerJourneyIterationId","string"
"SegmentUnsubscribed","SendingId","string"
"SegmentUnsubscribed","MessageId","string"
"SegmentUnsubscribed","EmailDomain","string"
"SegmentUnsubscribed","EmailAddressUsed","string"
"SegmentUnsubscribed","CountryIsoCode","string"
"SegmentUnsubscribed","State","string"
"SegmentUnsubscribed","City","string"
"SegmentUnsubscribed","PostalCode","string"
"SegmentUnsubscribed","BrowserId","string"
"SegmentUnsubscribed","BrowserVersion","string"
"SegmentUnsubscribed","OperatingSystemId","string"
"SegmentUnsubscribed","OperatingSystemVersion","string"
"SegmentUnsubscribed","SegmentId","string"
"SegmentUnsubscribed","FormSubmissionId","string"
"SegmentUnsubscribed","SearchPhrase","string"
"SegmentUnsubscribed","SearchEngineName","string"
"SegmentUnsubscribed","VisitDuration","string"
"SegmentUnsubscribed","VisitorReturningStatus","string"
"SegmentUnsubscribed","VisitorAnonymousStatus","string"
"SegmentUnsubscribed","LeadId","string"
"SessionRegistrationCanceled","SessionId","string"
"SessionRegistrationCanceled","ContactId","string"
"SessionRegistrationCanceled","AccountId","string"
"SplitterActivityContactProcessed","ActivityId","string"
"SplitterActivityContactProcessed","CustomerJourneyId","string"
"SplitterActivityContactProcessed","ContactId","string"
"SplitterActivityContactProcessed","AccountId","string"
"SplitterActivityContactProcessed","WorkflowId","string"
"SplitterActivityContactProcessed","CustomerJourneyIterationId","string"
"SplitterActivityContactProcessed","NextActivityId","string"
"SurveyResponse","SurveyId","string"
"SurveyResponse","ContactId","string"
"SurveyResponse","AccountId","string"
"SurveyResponse","CustomerJourneyId","string"
"TriggerActivityContactProcessed","ActivityId","string"
"TriggerActivityContactProcessed","CustomerJourneyId","string"
"TriggerActivityContactProcessed","ContactId","string"
"TriggerActivityContactProcessed","AccountId","string"
"TriggerActivityContactProcessed","WorkflowId","string"
"TriggerActivityContactProcessed","CustomerJourneyIterationId","string"
"TriggerActivityContactProcessed","Path","string"
"TriggerCrmWorkflowActivityContactProcessed","ActivityId","string"
"TriggerCrmWorkflowActivityContactProcessed","CustomerJourneyId","string"
"TriggerCrmWorkflowActivityContactProcessed","ContactId","string"
"TriggerCrmWorkflowActivityContactProcessed","AccountId","string"
"TriggerCrmWorkflowActivityContactProcessed","WorkflowId","string"
"TriggerCrmWorkflowActivityContactProcessed","CustomerJourneyIterationId","string"
"WebsiteClicked","CustomerJourneyId","string"
"WebsiteClicked","CustomerJourneyIterationId","string"
"WebsiteClicked","WebsiteId","string"
"WebsiteClicked","PageAddress","string"
"WebsiteClicked","PageId","string"
"WebsiteClicked","ReferrerUri","string"
"WebsiteClicked","SearchPhrase","string"
"WebsiteClicked","SearchEngineName","string"
"WebsiteClicked","Link","string"
"WebsiteClicked","LinkFriendlyName","string"
"WebsiteClicked","VisitorId","string"
"WebsiteClicked","SessionId","string"
"WebsiteClicked","ContactId","string"
"WebsiteClicked","AccountId","string"
"WebsiteClicked","CountryIsoCode","string"
"WebsiteClicked","State","string"
"WebsiteClicked","City","string"
"WebsiteClicked","PostalCode","string"
"WebsiteClicked","BrowserId","string"
"WebsiteClicked","BrowserVersion","string"
"WebsiteClicked","OperatingSystemId","string"
"WebsiteClicked","OperatingSystemVersion","string"
"WebsiteClicked","SendingId","string"
"WebsiteClicked","VisitDuration","string"
"WebsiteClicked","VisitorReturningStatus","string"
"WebsiteClicked","VisitorAnonymousStatus","string"
"WebsiteClicked","LeadId","string"
"WebsiteVisited","CustomerJourneyId","string"
"WebsiteVisited","CustomerJourneyIterationId","string"
"WebsiteVisited","MessageId","string"
"WebsiteVisited","WebsiteId","string"
"WebsiteVisited","PageAddress","string"
"WebsiteVisited","PageId","string"
"WebsiteVisited","ReferrerUri","string"
"WebsiteVisited","SearchPhrase","string"
"WebsiteVisited","SearchEngineName","string"
"WebsiteVisited","VisitorId","string"
"WebsiteVisited","SessionId","string"
"WebsiteVisited","ContactId","string"
"WebsiteVisited","AccountId","string"
"WebsiteVisited","CountryIsoCode","string"
"WebsiteVisited","State","string"
"WebsiteVisited","City","string"
"WebsiteVisited","PostalCode","string"
"WebsiteVisited","BrowserId","string"
"WebsiteVisited","BrowserVersion","string"
"WebsiteVisited","OperatingSystemId","string"
"WebsiteVisited","OperatingSystemVersion","string"
"WebsiteVisited","VisitDuration","string"
"WebsiteVisited","VisitorReturningStatus","string"
"WebsiteVisited","SendingId","string"
"WebsiteVisited","VisitorAnonymousStatus","string"
"WebsiteVisited","LeadId","string"
"LeadScoreBoost","BoostValue","int64"
"SegmentMembersCountChanged","MembersCount","int64"
"SurveyResponse","Score","double"
"ActivityContactBlocked","Version","int64"
"ActivityContactBlockedConsent","Version","int64"
"ActivityContactBlockedExternalConsent","Version","int64"
"ActivityContactBlockedSuppression","Version","int64"
"ActivityContactDispatched","Version","int64"
"ActivityContactProcessingFailed","Version","int64"
"ConfirmationRequest","Version","int64"
"ConfirmationResponse","Version","int64"
"ContactDeleted","Version","int64"
"CreateCrmActivityContactProcessed","Version","int64"
"CreateCustomChannelActivityContactProcessed","Version","int64"
"CreateLeadActivityContactProcessed","Version","int64"
"CustomChannelResponse","Version","int64"
"CustomerJourneyContactRecordUpdated","Version","int64"
"CustomerJourneyIterationStarted","Version","int64"
"DomainNotOwnedByAnyone","Version","int64"
"DomainOwnedByDifferentOrganization","Version","int64"
"EmailBlockBounced","Version","int64"
"EmailBlocked","Version","int64"
"EmailBlockedByUnsubscription","Version","int64"
"EmailBlockedByUser","Version","int64"
"EmailBlockedDuplicateAddress","Version","int64"
"EmailBlockedExternalConsentFailure","Version","int64"
"EmailBlockedInactiveContact","Version","int64"
"EmailBlockedMissingContactData","Version","int64"
"EmailBlockedMissingRelatedData","Version","int64"
"EmailClicked","Version","int64"
"EmailContainsBlacklistedLinks","Version","int64"
"EmailDelivered","Version","int64"
"EmailFeedbackLoop","Version","int64"
"EmailForwarded","Version","int64"
"EmailHardBounced","Version","int64"
"EmailHardRemoteBounced","Version","int64"
"EmailOpened","Version","int64"
"EmailSendingFailed","Version","int64"
"EmailSent","Version","int64"
"EmailSoftBounced","Version","int64"
"EmailSoftRemoteBounced","Version","int64"
"EmailSubscriptionSubmit","Version","int64"
"EntityDeleted","Version","int64"
"EventCheckIn","Version","int64"
"EventRegistration","Version","int64"
"EventRegistrationCanceled","Version","int64"
"FormSubmitted","Version","int64"
"FormVisited","Version","int64"
"InvalidRecipientAddress","Version","int64"
"InvalidReplyToAddress","Version","int64"
"InvalidSenderAddress","Version","int64"
"LeadScoreBoost","Version","int64"
"LinkedInFormSubmission","Version","int64"
"OutOfEmailCredits","Version","int64"
"PassThroughActivityContactProcessed","Version","int64"
"RedirectLinkClicked","Version","int64"
"SchedulerActivityContactProcessed","Version","int64"
"SegmentMembersCountChanged","Version","int64"
"SegmentRelationshipEdited","Version","int64"
"SegmentSubscribed","Version","int64"
"SegmentUnsubscribed","Version","int64"
"SessionRegistrationCanceled","Version","int64"
"SplitterActivityContactProcessed","Version","int64"
"SurveyResponse","Version","int64"
"TriggerActivityContactProcessed","Version","int64"
"TriggerCrmWorkflowActivityContactProcessed","Version","int64"
"WebsiteClicked","Version","int64"
"WebsiteVisited","Version","int64"
"ActivityContactBlocked","Timestamp","dateTimeOffset"
"ActivityContactBlockedConsent","Timestamp","dateTimeOffset"
"ActivityContactBlockedExternalConsent","Timestamp","dateTimeOffset"
"ActivityContactBlockedSuppression","Timestamp","dateTimeOffset"
"ActivityContactDispatched","Timestamp","dateTimeOffset"
"ActivityContactProcessingFailed","Timestamp","dateTimeOffset"
"ConfirmationRequest","Timestamp","dateTimeOffset"
"ConfirmationResponse","Timestamp","dateTimeOffset"
"ContactDeleted","Timestamp","dateTimeOffset"
"CreateCrmActivityContactProcessed","Timestamp","dateTimeOffset"
"CreateCustomChannelActivityContactProcessed","Timestamp","dateTimeOffset"
"CreateLeadActivityContactProcessed","Timestamp","dateTimeOffset"
"CustomChannelResponse","Timestamp","dateTimeOffset"
"CustomerJourneyContactRecordUpdated","Timestamp","dateTimeOffset"
"CustomerJourneyIterationStarted","Timestamp","dateTimeOffset"
"DomainNotOwnedByAnyone","Timestamp","dateTimeOffset"
"DomainOwnedByDifferentOrganization","Timestamp","dateTimeOffset"
"EmailBlockBounced","Timestamp","dateTimeOffset"
"EmailBlocked","Timestamp","dateTimeOffset"
"EmailBlockedByUnsubscription","Timestamp","dateTimeOffset"
"EmailBlockedByUser","Timestamp","dateTimeOffset"
"EmailBlockedDuplicateAddress","Timestamp","dateTimeOffset"
"EmailBlockedExternalConsentFailure","Timestamp","dateTimeOffset"
"EmailBlockedInactiveContact","Timestamp","dateTimeOffset"
"EmailBlockedMissingContactData","Timestamp","dateTimeOffset"
"EmailBlockedMissingRelatedData","Timestamp","dateTimeOffset"
"EmailClicked","Timestamp","dateTimeOffset"
"EmailContainsBlacklistedLinks","Timestamp","dateTimeOffset"
"EmailDelivered","Timestamp","dateTimeOffset"
"EmailFeedbackLoop","Timestamp","dateTimeOffset"
"EmailForwarded","Timestamp","dateTimeOffset"
"EmailHardBounced","Timestamp","dateTimeOffset"
"EmailHardRemoteBounced","Timestamp","dateTimeOffset"
"EmailOpened","Timestamp","dateTimeOffset"
"EmailSendingFailed","Timestamp","dateTimeOffset"
"EmailSent","Timestamp","dateTimeOffset"
"EmailSoftBounced","Timestamp","dateTimeOffset"
"EmailSoftRemoteBounced","Timestamp","dateTimeOffset"
"EmailSubscriptionSubmit","Timestamp","dateTimeOffset"
"EntityDeleted","Timestamp","dateTimeOffset"
"EventCheckIn","Timestamp","dateTimeOffset"
"EventRegistration","Timestamp","dateTimeOffset"
"EventRegistrationCanceled","Timestamp","dateTimeOffset"
"FormSubmitted","Timestamp","dateTimeOffset"
"FormVisited","Timestamp","dateTimeOffset"
"InvalidRecipientAddress","Timestamp","dateTimeOffset"
"InvalidReplyToAddress","Timestamp","dateTimeOffset"
"InvalidSenderAddress","Timestamp","dateTimeOffset"
"LeadScoreBoost","Timestamp","dateTimeOffset"
"LinkedInFormSubmission","Timestamp","dateTimeOffset"
"OutOfEmailCredits","Timestamp","dateTimeOffset"
"PassThroughActivityContactProcessed","Timestamp","dateTimeOffset"
"RedirectLinkClicked","Timestamp","dateTimeOffset"
"SchedulerActivityContactProcessed","Timestamp","dateTimeOffset"
"SegmentMembersCountChanged","Timestamp","dateTimeOffset"
"SegmentRelationshipEdited","Timestamp","dateTimeOffset"
"SegmentSubscribed","Timestamp","dateTimeOffset"
"SegmentUnsubscribed","Timestamp","dateTimeOffset"
"SessionRegistrationCanceled","Timestamp","dateTimeOffset"
"SplitterActivityContactProcessed","Timestamp","dateTimeOffset"
"SurveyResponse","Timestamp","dateTimeOffset"
"TriggerActivityContactProcessed","Timestamp","dateTimeOffset"
"TriggerCrmWorkflowActivityContactProcessed","Timestamp","dateTimeOffset"
"WebsiteClicked","Timestamp","dateTimeOffset"
"WebsiteVisited","Timestamp","dateTimeOffset"
