Director Name
"David Frankel"
"Scott Stewart"
"Greg Mottola"
"Terry George"
"Damian Harris"
"Patrick Tatopoulos"
"Craig M. Saavedra"
"Genndy Tartakovsky"
"Kevin KÃ¶lsch"
"Agnieszka Wojtowicz-Vosloo"
"Kent Alterman"
"Lance Rivera"
"Jake Kasdan"
"Lisa Cholodenko"
"Marcus Dunstan"
"Deb Hagan"
"Dennis Iliadis"
"Patricia Rozema"
"Stuart Townsend"
"Logan Miller"
"Gregor Jordan"
"Michael McCullers"
"Hunter Hill"
"Alister Grierson"
"Will Finn"
"Anthony Byrne"
"Josh Gordon"
"Dean DeBlois"
"Rob Letterman"
"Chris Sivertson"
"John Hillcoat"
"Brandon Camp"
"Glenn McQuaid"
"Bill Pohlad"
"Takashi Miike"
"M.J. Bassett"
"Marc Webb"
"Udayan Prasad"
"Bill Boyce"
"Gabriel Bologna"
"Ari Gold"
"Rosser Goodman"
"Dennis Lee"
"Marc SchÃ¶lermann"
"Michael Keaton"
"Trygve Allister Diesen"
"Sacha Gervasi"
"Todd Graff"
"S.R. Bindler"
"Erik White"
"Peter Sollett"
"Brooks Branch"
"Alex Holdridge"
"Michael Patrick King"
"Tom McGrath"
"Charles Robert Carner"
"Cyrus Nowrasteh"
"Derrick Borte"
"Phyllida Lloyd"
"Caryn Waechter"
"Kevin Tancharoen"
"Floria Sigismondi"
"Robert Celestino"
"Ava DuVernay"
"Clark Gregg"
"Quentin Lee"
"Joshua Michael Stern"
"Randall Wallace"
"Sngmoo Lee"
"Mark Neveldine"
"Tim Chambers"
"T. Sean Shannon"
"Darnell Martin"
"Mickey Liddell"
"Glenn Ficarra"
"Sophia Takal"
"Leigh Whannell"
"Greg Berlanti"
"Ricky Gervais"
"Scott Coffey"
"Thomas Bezucha"
"Adam Sherman"
"Greg McLean"
"John Erick Dowdle"
"Jonathan Levine"
"Will Gluck"
"James Mottern"
"Neal Brennan"
"Mark Webber"
"Aaron Fisher"
"Tao Ruspoli"
"James Gray"
"Joseph Kosinski"
"Abe Sylvia"
"Paul King"
"Derek Cianfrance"
"Sergei Bodrov"
"Jordan Galland"
"Marc Fienberg"
"Steve Antin"
"John Alan Simon"
"Mira Nair"
"Richard Curtis"
"David Hackl"
"Barry Jenkins"
"Anders Anderson"
"Vicky Jenson"
"Jay DiPietro"
"David Pomes"
"Nicholas Fackler"
"Francesca Gregorini"
"Daniel Barnz"
"Lance Hammer"
"Damien Dante Wayans"
"John Hamburg"
"Ruben Fleischer"
"David E. Talbert"
"Jean-Marc VallÃ©e"
"Drew Barrymore"
"John Wells"
"Ti West"
"Raymond De Felitta"
"Samuel Bayer"
"Oren Peli"
"Dan Trachtenberg"
"Dave Filoni"
"Brad Furman"
"Scott Sanders"
"Jon M. Chu"
"Aaron Schneider"
"Jody Hill"
"Steve Shill"
"James Bobin"
"Stiles White"
"Scott Cooper"
"Jeb Stuart"
"Scott Derrickson"
"Alan Poul"
"Anthony Bell"
"Damien Chazelle"
"William Monahan"
"Mark Andrews"
"Paul Solet"
"Philip Ridley"
"Katherine Dieckmann"
"Malcolm Venville"
"Nicholas Stoller"
"Shana Feste"
"Tom Hooper"
"Felix van Groeningen"
"Matt Reeves"
"Adam McKay"
"Michael Carney"
"David Chase"
"Andrea Arnold"
"Stewart Hendler"
"Phil Lord"
"Rowan Joffe"
"Kevin Greutert"
"Dee Rees"
"Bruce Dellis"
"Steven R. Monroe"
"Evan Glodell"
"Tom Vaughan"
"Daryl Wein"
"Julio DePietro"
"Jonas Pate"
"George Ratliff"
"George Gallo"
"Noam Murro"
"Etan Cohen"
"Christian E. Christiansen"
"Brian Baugh"
"Troy Nixey"
"Mathew Cullen"
"Hue Rhodes"
"Kate Connor"
"Johannes Roberts"
"Brad Peyton"
"Paul Feig"
"Daniel Barber"
"Keith Bearden"
"Christian Ditter"
"Bradley Rust Gray"
"Julie Anne Robinson"
"Brandon Trost"
"James Keach"
"Akiva Schaffer"
"Richard Levine"
"Jennifer Yuh Nelson"
"Eric Brevig"
"Lorene Scafaria"
"Carmen MarrÃ³n"
"Eric Mendelsohn"
"Bette Gordon"
"Daniel Stamm"
"Nanette Burstein"
"Pierre Coffin"
"Lee Daniels"
"Elizabeth Banks"
"Jason Winer"
"Nick Tomnay"
"Alan Taylor"
"Pete Travis"
"Yoav Factor"
"Conor McPherson"
"Atom Egoyan"
"R.J. Cutler"
"Shari Springer Berman"
"Ricardo de Montreuil"
"Juan Solanas"
"Jonathan Newman"
"J Blakeson"
"George Nolfi"
"Jon Cassar"
"Denis Villeneuve"
"Debra Granik"
"John Asher"
"Spencer Susser"
"David Hayter"
"Galt Niederhoffer"
"David Burton Morris"
"Susanna White"
"Stuart Beattie"
"Jeremiah Birnbaum"
"Hisako Matsui"
"Rob Epstein"
"Tommy Wirkola"
"Sarah Smith"
"Tim Miller"
"Henry Alex Rubin"
"Todd Lincoln"
"Dermot Mulroney"
"Jim Loach"
"William Riead"
"Dan Scanlon"
"Tate Taylor"
"Luis Prieto"
"Paul Haggis"
"Steven Bernstein"
"Jim Mickle"
"Joe Cornish"
"Chris Renaud"
"Adam Rodgers"
"Terry Green"
"Michael Gracey"
"Anthony Silverston"
"Ben Wheatley"
"Rawson Marshall Thurber"
"Marc Abraham"
"Ariel Vromen"
"Dana Adam Shapiro"
"David M. Rosenthal"
"Andrew Niccol"
"Bradley Cooper"
"Matthew Diamond"
"John Francis Daley"
"Dan Rush"
"Benson Lee"
"Dito Montiel"
"Matthew Chapman"
"Adam Wingard"
"Gabriele Muccino"
"David G. Evans"
"Mike Cahill"
"Jee-woon Kim"
"Vera Farmiga"
"Charles Martin Smith"
"Lena Dunham"
"Christian Rivers"
"Lance Daly"
"Mark Tonderai"
"Robert Stromberg"
"James Mather"
"Trevor Wall"
"Sean McNamara"
"James Watkins"
"Craig Zobel"
"David Brooks"
"Marc Fusco"
"Jon Hurwitz"
"Harry Thomason"
"Michael Sucsy"
"Geoff Moore"
"Rocky Powell"
"Quentin Dupieux"
"Jim Kohlberg"
"J.C. Chandor"
"Steve Race"
"Chris Butler"
"Don Handfield"
"Geoffrey Fletcher"
"Nima Nourizadeh"
"Jesse Peretz"
"Jason Eisener"
"Salim Akil"
"Oren Moverman"
"Nikolaj Arcel"
"Ron Krauss"
"Stephen Chbosky"
"John Hyams"
"Anthony Leonardi III"
"Josh Schwartz"
"Daniel Schechter"
"Benny Boom"
"Stefan Ruzowitzky"
"Steve Martino"
"Doug Ellin"
"Jeff Nichols"
"Maxim Korostyshevsky"
"Justin Kurzel"
"Eran Creevy"
"Fred Andrews"
"Ry Russo-Young"
"Huck Botko"
"Matthew Dean Russell"
"Tina Gordon"
"Greg Tiernan"
"Josh Trank"
"Eduardo SÃ¡nchez"
"Nathan Morlando"
"James Ponsoldt"
"Jorge Dorado"
"Sam Levinson"
"Jennifer Westfeldt"
"Steve McQueen"
"Kat Coiro"
"Nat Faxon"
"Christopher Landon"
"Rupert Sanders"
"Lynn Shelton"
"Wes Anderson"
"Oliver Hirschbiegel"
"Drake Doremus"
"Daniel Lusko"
"Barry Cook"
"Nicholas Jarecki"
"Andrew Dominik"
"Gonzalo LÃ³pez-Gallego"
"Dan Fogelman"
"Rich Moore"
"Henry Joost"
"Jon Watts"
"Dan Bush"
"Wes Ball"
"James Franco"
"Annette Haywood-Carter"
"William H. Macy"
"Chad Hartigan"
"Tom Gormican"
"Scott Speer"
"Kevin Connolly"
"Alejandro Monteverde"
"Neill Blomkamp"
"Michelle Schumacher"
"Duane Adler"
"Akiva Goldsman"
"Michael Walker"
"Erik Van Looy"
"Jason Moore"
"Tim Heidecker"
"Omid Nooshin"
"Dan Mazer"
"David Soren"
"Ben Lewin"
"David Weaver"
"Youssef Delara"
"Josh Radnor"
"Michelle Danner"
"Kelly Fremon Craig"
"Ted Koland"
"Kevin Macdonald"
"Tom McCarthy"
"Marshall Lewy"
"Leslye Headland"
"Bill Guttentag"
"Michael Mailer"
"Ramaa Mosley"
"Stephen Elliott"
"Brian Savelson"
"Jason Cortlund"
"Lawrence Sher"
"Maya Forbes"
"Guy Ritchie"
"Nicolas Winding Refn"
"Josh Cooley"
"Peter Sohn"
"John Carney"
"John Putch"
"Clay Kaytis"
"Gabe Torres"
"Jake Schreier"
"Matthew Lillard"
"Todd Berger"
"Jamie Travis"
"Gregory Plotkin"
"Sam Miller"
"Andy Muschietti"
"Ed Gass-Donnelly"
"Niels Arden Oplev"
"Rupert Wyatt"
"Rik Swartzwelder"
"Dexter Fletcher"
"Baran bo Odar"
"Mike Birbiglia"
"Robert Lorenz"
"Shane Carruth"
"Paco Cabezas"
"David Palmer"
"Franck Khalfoun"
"Ben Falcone"
"Anne Fontaine"
"Steven Quale"
"Benh Zeitlin"
"Alfonso Gomez-Rejon"
"Stuart Murdoch"
"Jeta Amata"
"Jason Bateman"
"Rob Marshall"
"Kate Barker-Froyland"
"Dave Green"
"James DeMonaco"
"Wally Pfister"
"Arnaud Desplechin"
"Hany Abu-Assad"
"Joseph Gordon-Levitt"
"John Pogue"
"Don Hall"
"Eric Summer"
"Alessandro Carloni"
"Kees Van Oostrum"
"Paul Tibbitt"
"Theo Avgerinos"
"Ernie Barbarash"
"Lina Esco"
"Dylan Baker"
"Travis Cluff"
"Don McKellar"
"Jennifer Kent"
"Sam Taylor-Johnson"
"Kim Farrant"
"Dustin Marcellino"
"Tom Harper"
"Peter Landesman"
"Ken Scott"
"Jeremy Saulnier"
"Darrel Campbell"
"Ryan Gosling"
"Scott Waugh"
"Destin Daniel Cretton"
"Herschel Faber"
"Cedric Nicolas-Troyan"
"Mike Flanagan"
"E.L. Katz"
"Gilles Paquet-Brenner"
"Richard Raymond"
"Amma Asante"
"Dean Israelite"
"Todd Strauss-Schulson"
"Liza Johnson"
"Vic Armstrong"
"Harold Cronk"
"Kay Cannon"
"Guillermo del Toro"
"Zach Braff"
"Peter Strickland"
"Jeff Baena"
"Farren Blackburn"
"Josh Boone"
"Trish Sie"
"Seth MacFarlane"
"Philippe Falardeau"
"Jonathan Teplitzky"
"Aleksander Bach"
"Steven Knight"
"Yarrow Cheney"
"Mona Fastvold"
"Jon Stewart"
"CiarÃ¡n Foy"
"Charlie McDowell"
"Rob Thomas"
"Jason Hall"
"David Lowery"
"GrÃ©gory Levasseur"
"James Manera"
"FrÃ©dÃ©ric Auburtin"
"Michael Tiddes"
"James Ward Byrkit"
"Stuart Hazeldine"
"Dan Gilroy"
"William Eubank"
"David Gelb"
"John Slattery"
"David L. Hunt"
"Joe Swanberg"
"Peter Billingsley"
"Roberts Gannaway"
"Peter Sattler"
"Charlie Bean"
"Andrew Erwin"
"Jeff Tremaine"
"Sarah Gavron"
"Warren P. Sonoda"
"Adam Carolla"
"Isabel Coixet"
"Simeon Rice"
"Lenny Abrahamson"
"Marielle Heller"
"Leigh Janiak"
"David Robert Mitchell"
"Jerry Jameson"
"Scott Mann"
"Richard Glatzer"
"Simon Verhoeven"
"Enrique BegnÃ©"
"Jon S. Baird"
"AndrÃ© Ã˜vredal"
"Richie Keen"
"J.A. Bayona"
"Mike Thurmeier"
"Kyle Balda"
"Taika Waititi"
"Eddie Mensore"
"RZA"
"Shane Dawson"
"Khurram H. Alavi"
"Brian Fee"
"Nicolas Pesce"
"Adam Salky"
"Levan Gabriadze"
"John Krasinski"
"Angelo Pizzo"
"Gareth Edwards"
"Michael Showalter"
"Max Joseph"
"Lena Khan"
"James Vanderbilt"
"Bryan Buckley"
"Matt Hullum"
"Carmine Cangialosi"
"Darren Doane"
"Stacy Title"
"Dan Kwan"
"Bethany Ashton Wolf"
"Chris McKay"
"Jenny Gage"
"Jayson Thiessen"
"Peter Atencio"
"Jeffrey Nachmanoff"
"Fede Alvarez"
"Joel Edgerton"
"Deon Taylor"
"Nate Parker"
"Aaron Sorkin"
"Justin Tipping"
"Patricia Riggen"
"Robert Eggers"
"Travis Knight"
"Ana Lily Amirpour"
"Tyler Nilson"
"Steven C. Miller"
"Jared Moshe"
"Sasha Gordon"
"Andrew Jay Cohen"
"Nicholas McCarthy"
"Yann Demange"
"Tom Ford"
"Joel Souza"
"J.D. Dillard"
"Timothy Reckart"
"Jon Lucas"
"Jody Lambert"
"Kate Mulleavy"
"Armando Iannucci"
"Trey Edward Shults"
"Nick Park"
"Joachim RÃ¸nning"
"David F. Sandberg"
"Robin Bissell"
"Benny Safdie"
"Theodore Melfi"
"Dallas Jenkins"
"Jacques Audiard"
"Vincent D'Onofrio"
"Jordan Peele"
"Richard Stanley"
"Yorgos Lanthimos"
"Zara Hayes"
"Dimitri Logothetis"
"Taylor Sheridan"
"Jonah Hill"
"Cory Finley"
"Brett Haley"
"Ari Sandel"
"Boots Riley"
"Oliver Daly"
"Hallie Meyers-Shyer"
"Adam Robitel"
"Diederik Van Rooijen"
"Phil Johnston"
"Jonathan Baker"
"Thurop Van Orman"
"Nisha Ganatra"
"Ric Roman Waugh"
"Michael Engler"
"Dylan Brown"
"Tim Kirkby"
"Stephen Merchant"
"Justin Barber"
"Drew Goddard"
"Abby Kohn"
"Panos Cosmatos"
"Bo Burnham"
"Roxann Dawson"
"Owen Egerton"
"Ricky D'Ambrose"
"Gene Stupnitsky"
"Ken Marino"
"Ben Hernandez Bray"
"Andrew Hyatt"
"Aaron Horvath"
"Aneesh Chaganty"
"David Yarovesky"
"Stella Meghie"
"Gurinder Chadha"
"Gary Dauberman"
"Gail Mancuso"
"David Ayer"
"Brian Kirk"
"Melina Matsoukas"
"Chuck Konzelman"
"Oz Perkins"
"Chris Henchy"
"Autumn de Wilde"
