Rank,Name,Private Score,Submitted,authorUrl,SubmittedDate,Pub. Rank,Public Score,authorId,DifRank,RankStatus
78,"Pius Kirrmann",0.84872158999999991,"01/09 20:22","https://gallery.cortanaintelligence.com/Home/Author?authorId=8D3F21AE14D19A86009A395C8D363593893A703FD6B675CD774B6CDB7BA8D1D9",2016-09-01 20:22:18.000,102,0.83577850999999992,"8D3F21AE14D19A86009A395C8D363593893A703FD6B675CD774B6CDB7BA8D1D9",24,"Better"
79,"ark.iitkgp",0.84872158999999991,"13/09 19:01","https://gallery.cortanaintelligence.com/Home/Author?authorId=9E929A64D12A91E693B64BBB3479F54003EE7BADCA146FA1C24769E0395365C8",2016-09-13 19:01:30.000,103,0.83577850999999992,"9E929A64D12A91E693B64BBB3479F54003EE7BADCA146FA1C24769E0395365C8",24,"Better"
80,"Uklid Yeesarapat",0.84872158999999991,"17/09 17:51","https://gallery.cortanaintelligence.com/Home/Author?authorId=13F14EF7D97808FE7AB39049BD4B70095189A7F80BBF5BB2EDBA0242DC9E4A2D",2016-09-17 17:51:43.000,66,0.85186938,"13F14EF7D97808FE7AB39049BD4B70095189A7F80BBF5BB2EDBA0242DC9E4A2D",-14,"Worst"
81,"Ben Arthur",0.84872158999999991,"23/09 16:41","https://gallery.cortanaintelligence.com/Home/Author?authorId=1A148F4725957AD463CD35B1614CE3A72AA2CD49619B4087BFBCBD476431ACD1",2016-09-23 16:41:29.000,105,0.83577850999999992,"1A148F4725957AD463CD35B1614CE3A72AA2CD49619B4087BFBCBD476431ACD1",24,"Better"
82,"Giorgio Saez Dezi",0.84872158999999991,"27/09 20:48","https://gallery.cortanaintelligence.com/Home/Author?authorId=C3F3EFBE06BC4CAEACF6A029F580CD99FFCB4A70EACCFB159DD6611ECADB4E5D",2016-09-27 20:48:47.000,106,0.83577850999999992,"C3F3EFBE06BC4CAEACF6A029F580CD99FFCB4A70EACCFB159DD6611ECADB4E5D",24,"Better"
83,"s10209jp",0.84872158999999991,"30/09 06:14","https://gallery.cortanaintelligence.com/Home/Author?authorId=A37D735907E6275A206C905B9D84E0685DA1BF863202089551B22AB6AD4E3622",2016-09-30 06:14:44.000,71,0.84997634,"A37D735907E6275A206C905B9D84E0685DA1BF863202089551B22AB6AD4E3622",-12,"Worst"
84,"Turmas Matematica",0.84730114,"31/08 15:56","https://gallery.cortanaintelligence.com/Home/Author?authorId=803DAE263ACFCD56E7808FD6937367DA8C18D1202A2C9F3296605460489E9F20",2016-08-31 15:56:48.000,61,0.8532891600000001,"803DAE263ACFCD56E7808FD6937367DA8C18D1202A2C9F3296605460489E9F20",-23,"Worst"
85,"Masakazu Sugiyama",0.84659091000000009,"13/07 00:34","https://gallery.cortanaintelligence.com/Home/Author?authorId=9B298CEDD456180E1BBEC2974CD5F36CFA982AA6889A4A73BA7A2717F29A8037",2016-07-13 00:34:10.000,79,0.84808329,"9B298CEDD456180E1BBEC2974CD5F36CFA982AA6889A4A73BA7A2717F29A8037",-6,"Worst"
86,"Bruno Guitarrari",0.84659091000000009,"27/08 20:58","https://gallery.cortanaintelligence.com/Home/Author?authorId=5ADABF1C06D808A346ECCFCA474028E7AF761CE0AFE6C1F130755695159A5B96",2016-08-27 20:58:03.000,77,0.84855655,"5ADABF1C06D808A346ECCFCA474028E7AF761CE0AFE6C1F130755695159A5B96",-9,"Worst"
87,"Santiago Jaramillo",0.84659091000000009,"28/09 17:28","https://gallery.cortanaintelligence.com/Home/Author?authorId=8AB73FB519A0705FA886FD08A62620C6EC672F9D6EF148C8A0B97128C5E0F638",2016-09-28 17:28:22.000,63,0.8528159,"8AB73FB519A0705FA886FD08A62620C6EC672F9D6EF148C8A0B97128C5E0F638",-24,"Worst"
88,"Prashanth Ravindran",0.84588068,"29/09 13:32","https://gallery.cortanaintelligence.com/Home/Author?authorId=B6EC5A83A6021FEA7831A8BD06432EB6424357C04AAF37270CE852014DAD04EF",2016-09-29 13:32:34.000,76,0.84902981999999994,"B6EC5A83A6021FEA7831A8BD06432EB6424357C04AAF37270CE852014DAD04EF",-12,"Worst"
89,"Vanipriya Venkatesan",0.84517044999999991,"31/07 23:07","https://gallery.cortanaintelligence.com/Home/Author?authorId=E325782876177A61006BD5FCB647F11038AACBD07641A3ADFCE66A64FD76FA3E",2016-07-31 23:07:35.000,107,0.83530525,"E325782876177A61006BD5FCB647F11038AACBD07641A3ADFCE66A64FD76FA3E",18,"Better"
90,"Aaron Le",0.84517044999999991,"15/08 14:48","https://gallery.cortanaintelligence.com/Home/Author?authorId=FC5253348759F17367CF7B6902DA4E83343E70372F1DED292B0684D03DC38DE0",2016-08-15 14:48:39.000,95,0.83956460000000011,"FC5253348759F17367CF7B6902DA4E83343E70372F1DED292B0684D03DC38DE0",5,"Better"
91,"David Sánchez",0.84517044999999991,"17/08 11:28","https://gallery.cortanaintelligence.com/Home/Author?authorId=A98CB9A766EACB9EA990C4B46D89C8B44ADE869FB1798F9A8CFC6AD9C406D9D4",2016-08-17 11:28:15.000,57,0.85423568,"A98CB9A766EACB9EA990C4B46D89C8B44ADE869FB1798F9A8CFC6AD9C406D9D4",-34,"Worst"
92,"Γιώργος Βολιωνιτάκης",0.84517044999999991,"19/09 23:13","https://gallery.cortanaintelligence.com/Home/Author?authorId=3E24D3CCA2BF6783EF23CE49F77BA5F15A45E7FA8521D391940EEB744D4D85E1",2016-09-19 23:13:51.000,62,0.8528159,"3E24D3CCA2BF6783EF23CE49F77BA5F15A45E7FA8521D391940EEB744D4D85E1",-30,"Worst"
93,"Eric Chau",0.84446022999999992,"27/07 06:55","https://gallery.cortanaintelligence.com/Home/Author?authorId=301FDE025B2FAD9E6BA26277D44619C0FF0160C88552739FB47E315B7605CF82",2016-07-27 06:55:35.000,73,0.84950308000000008,"301FDE025B2FAD9E6BA26277D44619C0FF0160C88552739FB47E315B7605CF82",-20,"Worst"
94,"Siwei Chen",0.84446022999999992,"22/08 05:03","https://gallery.cortanaintelligence.com/Home/Author?authorId=DC5BF2D3810B1B7C1AC7A528CBAE814EA7B65E1C6424102186B11101733D8233",2016-08-22 05:03:27.000,80,0.84808329,"DC5BF2D3810B1B7C1AC7A528CBAE814EA7B65E1C6424102186B11101733D8233",-14,"Worst"
95,"Peter Olson",0.84446022999999992,"29/08 13:42","https://gallery.cortanaintelligence.com/Home/Author?authorId=F881D5E742E53761ECAE594D9A1F5DED474A2C2CC2B9E9CF0A2B8A39A681CF8C",2016-08-29 13:42:41.000,89,0.84571699,"F881D5E742E53761ECAE594D9A1F5DED474A2C2CC2B9E9CF0A2B8A39A681CF8C",-6,"Worst"
96,"Aakash Gupta",0.84446022999999992,"22/09 08:23","https://gallery.cortanaintelligence.com/Home/Author?authorId=00C2733CF3C2DDAAF2001ABB5DB4B518731B8C3295D5631F39FF7ADE5BF87BE2",2016-09-22 08:23:24.000,85,0.84619024999999992,"00C2733CF3C2DDAAF2001ABB5DB4B518731B8C3295D5631F39FF7ADE5BF87BE2",-11,"Worst"
97,"Teru Watanabe",0.84446022999999992,"28/09 04:10","https://gallery.cortanaintelligence.com/Home/Author?authorId=4D0B6925C081B006B973E2F227FC405FC83942F3014ED35994F7887BA097C4B5",2016-09-28 04:10:32.000,,,"4D0B6925C081B006B973E2F227FC405FC83942F3014ED35994F7887BA097C4B5",,""
98,"William Tran",0.84303977000000008,"01/10 06:51","https://gallery.cortanaintelligence.com/Home/Author?authorId=D20F28D7CB5503EE47EFF643F800B51731F47785C1B29510DFDCD91CEF24DA37",2016-10-01 06:51:29.000,94,0.84051112000000006,"D20F28D7CB5503EE47EFF643F800B51731F47785C1B29510DFDCD91CEF24DA37",-4,"Worst"
99,"Joseph Lee",0.84232955000000009,"23/07 00:37","https://gallery.cortanaintelligence.com/Home/Author?authorId=E1239BCF57745D5F900F14326902037C0BF615AAD1ABFADD4AE6327CF37F3464",2016-07-23 00:37:48.000,90,0.84524373,"E1239BCF57745D5F900F14326902037C0BF615AAD1ABFADD4AE6327CF37F3464",-9,"Worst"
100,"Higor Eduardo",0.84090908999999991,"11/08 17:10","https://gallery.cortanaintelligence.com/Home/Author?authorId=13962E27A71FD69CE91F1B0E0F70D4169F39EF6B12899D86704FF7153664DE0E",2016-08-11 17:10:32.000,96,0.83814482,"13962E27A71FD69CE91F1B0E0F70D4169F39EF6B12899D86704FF7153664DE0E",-4,"Worst"
101,"Dominique Lepère",0.84019886,"31/07 20:07","https://gallery.cortanaintelligence.com/Home/Author?authorId=F056D89423B7ACAE3D63151A950B98A93516D442A3696269D35AB35973A4647D",2016-07-31 20:07:12.000,87,0.84571699,"F056D89423B7ACAE3D63151A950B98A93516D442A3696269D35AB35973A4647D",-14,"Worst"
102,"Thomas Seidel",0.84019886,"12/09 09:42","https://gallery.cortanaintelligence.com/Home/Author?authorId=6192E0A905D97535AF07DBB5A86694E380A2272E80098B8B62CE0F3FD2737585",2016-09-12 09:42:28.000,58,0.85376242,"6192E0A905D97535AF07DBB5A86694E380A2272E80098B8B62CE0F3FD2737585",-44,"Worst"
103,"Rafael Arias",0.83948864,"01/07 09:03","https://gallery.cortanaintelligence.com/Home/Author?authorId=16B83B0B170187CB6E93A6F24346E1F6F272A14B6FE972D23DB0D1D405E1C37D",2016-07-01 09:03:41.000,114,0.83151917,"16B83B0B170187CB6E93A6F24346E1F6F272A14B6FE972D23DB0D1D405E1C37D",11,"Better"
104,"Vasechkin Dmitriy",0.83877841000000009,"25/08 08:22","https://gallery.cortanaintelligence.com/Home/Author?authorId=C6C1C8F8993F370DC654CF6C0B8519470342500A022B40F5945440D8C22E15E5",2016-08-25 08:22:46.000,97,0.83767156,"C6C1C8F8993F370DC654CF6C0B8519470342500A022B40F5945440D8C22E15E5",-7,"Worst"
105,"Ivan Zaputlyaev",0.83735794999999991,"22/08 13:33","https://gallery.cortanaintelligence.com/Home/Author?authorId=BB420118ECE6D7EB851DE12FDA460BBA5A2357665F98765B24F99E2DCF38DF76",2016-08-22 13:33:31.000,83,0.84666351000000006,"BB420118ECE6D7EB851DE12FDA460BBA5A2357665F98765B24F99E2DCF38DF76",-22,"Worst"
106,"Gunjan Pandya",0.83735794999999991,"21/09 15:16","https://gallery.cortanaintelligence.com/Home/Author?authorId=1E2AE0E97ABD777676135A43A44A2BE40A01393BF5EDFEE3D258307F1295C547",2016-09-21 15:16:12.000,92,0.84098438,"1E2AE0E97ABD777676135A43A44A2BE40A01393BF5EDFEE3D258307F1295C547",-14,"Worst"
107,"Winfield Moses",0.83451705000000009,"08/09 19:37","https://gallery.cortanaintelligence.com/Home/Author?authorId=959C03583DE5E135A495D76931D8B7526BD8D7E861A57EB40F7F0BF5705A0668",2016-09-08 19:37:09.000,110,0.83435873,"959C03583DE5E135A495D76931D8B7526BD8D7E861A57EB40F7F0BF5705A0668",3,"Better"
108,"Brian Hutner",0.83451705000000009,"10/09 19:39","https://gallery.cortanaintelligence.com/Home/Author?authorId=19CD789E56D3832F58C77F1B54C2EA8845B162BF3063272C8AABAB25D15CED9A",2016-09-10 19:39:10.000,113,0.83199243,"19CD789E56D3832F58C77F1B54C2EA8845B162BF3063272C8AABAB25D15CED9A",5,"Better"
109,"Paolo Montesel",0.83451705000000009,"16/09 19:14","https://gallery.cortanaintelligence.com/Home/Author?authorId=3B31B93D770F8D16501F66FD5BEEE6B785372ED4B0B6FDD969D88D1D77E2813E",2016-09-16 19:14:01.000,104,0.83577850999999992,"3B31B93D770F8D16501F66FD5BEEE6B785372ED4B0B6FDD969D88D1D77E2813E",-5,"Worst"
110,"Katty Nitafan",0.83238636,"29/08 02:17","https://gallery.cortanaintelligence.com/Home/Author?authorId=DD4016192E6EA336039DAB4845C2454CB01658D85158395CC78DE348799D32AB",2016-08-29 02:17:54.000,118,0.82773308,"DD4016192E6EA336039DAB4845C2454CB01658D85158395CC78DE348799D32AB",8,"Better"
111,"Robert Butscher",0.83096591000000009,"11/09 15:47","https://gallery.cortanaintelligence.com/Home/Author?authorId=6643792A71FC93BD99F7118EA1777E82DDA831309CD61BCED56FB49C82722847",2016-09-11 15:47:51.000,93,0.84051112000000006,"6643792A71FC93BD99F7118EA1777E82DDA831309CD61BCED56FB49C82722847",-18,"Worst"
112,"Collard, Adam E",0.83096591000000009,"22/09 13:36","https://gallery.cortanaintelligence.com/Home/Author?authorId=B3BC5AE4D32E6688EB77D6E912CD3E4B0018FA79BC18749FD5C4A10C9398347C",2016-09-22 13:36:09.000,109,0.83530525,"B3BC5AE4D32E6688EB77D6E912CD3E4B0018FA79BC18749FD5C4A10C9398347C",-3,"Worst"
113,"Jorge Luis Zatarain",0.82883522999999992,"04/08 04:23","https://gallery.cortanaintelligence.com/Home/Author?authorId=B3422B98D7945338A509F573D68B6E92A4F792601B086100CCAF3375BC5D5E8B",2016-08-04 04:23:38.000,75,0.84902981999999994,"B3422B98D7945338A509F573D68B6E92A4F792601B086100CCAF3375BC5D5E8B",-38,"Worst"
114,"VIKRAM REDDY DORANALA",0.828125,"22/08 16:34","https://gallery.cortanaintelligence.com/Home/Author?authorId=778A90DFDCBD11190B03AA2F4386482D618B1D351DFA32C4A1777D8CB9360F86",2016-08-22 16:34:40.000,129,0.81211547999999989,"778A90DFDCBD11190B03AA2F4386482D618B1D351DFA32C4A1777D8CB9360F86",15,"Better"
115,"Gunjan Pandya",0.828125,"19/09 16:29","https://gallery.cortanaintelligence.com/Home/Author?authorId=C2D68CA37189B8D3926517459FF1FCFF9C7EBD6EAD32A9710EB4AC03EE56B866",2016-09-19 16:29:00.000,112,0.83293895000000007,"C2D68CA37189B8D3926517459FF1FCFF9C7EBD6EAD32A9710EB4AC03EE56B866",-3,"Worst"
116,"👽 Xenom 👽",0.82741477000000008,"23/08 12:47","https://gallery.cortanaintelligence.com/Home/Author?authorId=67BAA825A7412503BCC9CBABF00A7217D6839689E5B582CEF68BAC2ADFAC5C3A",2016-08-23 12:47:16.000,141,0.80170374,"67BAA825A7412503BCC9CBABF00A7217D6839689E5B582CEF68BAC2ADFAC5C3A",25,"Better"
117,"Faruk Demir",0.82741477000000008,"30/09 14:33","https://gallery.cortanaintelligence.com/Home/Author?authorId=8FECA62BA8C0A7CD63518A0BC787EC8ECEDE38E9569D29C84122EFDEDBEF7D5A",2016-09-30 14:33:47.000,115,0.83151917,"8FECA62BA8C0A7CD63518A0BC787EC8ECEDE38E9569D29C84122EFDEDBEF7D5A",-2,"Worst"
118,"Sorin Peste",0.82599432,"30/08 15:09","https://gallery.cortanaintelligence.com/Home/Author?authorId=DD6ED5DF24AD9B9A518D10FC6CF773CDBDBAE4C6660F24853591486FB103381E",2016-08-30 15:09:31.000,108,0.83530525,"DD6ED5DF24AD9B9A518D10FC6CF773CDBDBAE4C6660F24853591486FB103381E",-10,"Worst"
119,"敦 高橋",0.82528408999999991,"12/07 10:29","https://gallery.cortanaintelligence.com/Home/Author?authorId=6FDF4612F49F93CC8F2179C86F5AE42D01266EAA61F57404BC8F050FFFDD8315",2016-07-12 10:29:37.000,121,0.82584003999999989,"6FDF4612F49F93CC8F2179C86F5AE42D01266EAA61F57404BC8F050FFFDD8315",2,"Better"
120,"sanketjanewoo",0.82528408999999991,"18/07 08:06","https://gallery.cortanaintelligence.com/Home/Author?authorId=12ADA4BA267D767EBA2C0A6AF6C34FDA04BE56D7CCE3D60C7F08681B1F55D61F",2016-07-18 08:06:54.000,122,0.82584003999999989,"12ADA4BA267D767EBA2C0A6AF6C34FDA04BE56D7CCE3D60C7F08681B1F55D61F",2,"Better"
121,"Travis White",0.82528408999999991,"07/09 03:00","https://gallery.cortanaintelligence.com/Home/Author?authorId=56383822B21EA27B1307C93784C72FC72FBBFA6562D00E4FF6C815517E343D92",2016-09-07 03:00:47.000,116,0.82820633999999993,"56383822B21EA27B1307C93784C72FC72FBBFA6562D00E4FF6C815517E343D92",-5,"Worst"
122,"jwedvik@uw.edu",0.82457386,"25/08 05:01","https://gallery.cortanaintelligence.com/Home/Author?authorId=C190E30CA849D1E900CC8A15CD836E87C8E431D365EC5006E4940388FFE67D46",2016-08-25 05:01:55.000,120,0.82678656000000006,"C190E30CA849D1E900CC8A15CD836E87C8E431D365EC5006E4940388FFE67D46",-2,"Worst"
123,"Maxim Vyazovsky",0.82386364,"07/07 22:05","https://gallery.cortanaintelligence.com/Home/Author?authorId=F2940CF7D5B4F033F9A0CCA3297B33F26CEE934FCE3B0536838405DDD9F0CB0C",2016-07-07 22:05:15.000,123,0.82110743,"F2940CF7D5B4F033F9A0CCA3297B33F26CEE934FCE3B0536838405DDD9F0CB0C",0,"Same"
124,"chrisscastaneda",0.82315341000000009,"25/08 23:47","https://gallery.cortanaintelligence.com/Home/Author?authorId=A3F21BCBF86B8BBC4773581C388A84BB4F1F183F6AD92C0FC13A5FF2598A0FBC",2016-08-25 23:47:39.000,111,0.8334122100000001,"A3F21BCBF86B8BBC4773581C388A84BB4F1F183F6AD92C0FC13A5FF2598A0FBC",-13,"Worst"
125,"Leonard Seffer",0.82315341000000009,"14/09 11:54","https://gallery.cortanaintelligence.com/Home/Author?authorId=D91EA6138220681A187C94541C54D3F32E6A9E1941BA1942FFA5A1FD8E72A799",2016-09-14 11:54:31.000,117,0.82820633999999993,"D91EA6138220681A187C94541C54D3F32E6A9E1941BA1942FFA5A1FD8E72A799",-8,"Worst"
126,"William",0.82244318,"24/08 13:19","https://gallery.cortanaintelligence.com/Home/Author?authorId=4CB59D33D19662683F408B3BF51A15339FC1A5ED56B8EA2D3B5AAB1FAA416DD7",2016-08-24 13:19:49.000,139,0.80265026000000006,"4CB59D33D19662683F408B3BF51A15339FC1A5ED56B8EA2D3B5AAB1FAA416DD7",13,"Better"
127,"Brandon Harris",0.82244318,"27/09 04:54","https://gallery.cortanaintelligence.com/Home/Author?authorId=28E94D69C41D57C2C4866E88D5B5182F54811665D11A778FA46FBDBDBFD545DF",2016-09-27 04:54:16.000,119,0.82725982,"28E94D69C41D57C2C4866E88D5B5182F54811665D11A778FA46FBDBDBFD545DF",-8,"Worst"
128,"Jitendra patil",0.82102272999999992,"20/07 07:19","https://gallery.cortanaintelligence.com/Home/Author?authorId=C7B8D0C569BD40BF9C123A23BFAD586A8C19F340B4F391F0BF28F7270F1F5A1C",2016-07-20 07:19:51.000,124,0.8196876500000001,"C7B8D0C569BD40BF9C123A23BFAD586A8C19F340B4F391F0BF28F7270F1F5A1C",-4,"Worst"
129,"Christian Schmitt",0.81676136,"09/08 15:10","https://gallery.cortanaintelligence.com/Home/Author?authorId=05A9639B756DA042C72B0284D6B50B4419A4E79A34278EA50149C9BCA543435A",2016-08-09 15:10:37.000,154,0.78324657,"05A9639B756DA042C72B0284D6B50B4419A4E79A34278EA50149C9BCA543435A",25,"Better"
130,"Graeme Jamieson",0.81178977000000008,"02/08 18:11","https://gallery.cortanaintelligence.com/Home/Author?authorId=B4FC461F21E158733CFDF4CE2A7CBFB23CDC5D93D9FA5B2636F2F4371D23A926",2016-08-02 18:11:47.000,128,0.81448177999999993,"B4FC461F21E158733CFDF4CE2A7CBFB23CDC5D93D9FA5B2636F2F4371D23A926",-2,"Worst"
131,"Daryl Tan",0.80823864,"25/08 09:58","https://gallery.cortanaintelligence.com/Home/Author?authorId=7DEA4A5D1D995B38B55BC1DDFA7CBD15F0AA693326EEF17B477CF2E219194DF2",2016-08-25 09:58:23.000,127,0.81637482000000006,"7DEA4A5D1D995B38B55BC1DDFA7CBD15F0AA693326EEF17B477CF2E219194DF2",-4,"Worst"
132,"wilomaku",0.80752841000000009,"19/09 01:12","https://gallery.cortanaintelligence.com/Home/Author?authorId=8E0A40F94AB98489AF5AEFBAE5AE0DD15A11B89A88608D53CD051334C67C914C",2016-09-19 01:12:22.000,130,0.81211547999999989,"8E0A40F94AB98489AF5AEFBAE5AE0DD15A11B89A88608D53CD051334C67C914C",-2,"Worst"
133,"Marouane FELJA",0.80610794999999991,"29/07 11:38","https://gallery.cortanaintelligence.com/Home/Author?authorId=428BE93F8C5C8816D83789FBEEA97492C1120B914C0FFB60357AA350A4384466",2016-07-29 11:38:06.000,125,0.8196876500000001,"428BE93F8C5C8816D83789FBEEA97492C1120B914C0FFB60357AA350A4384466",-8,"Worst"
134,"CHANDAN KUMAR",0.80610794999999991,"14/09 16:32","https://gallery.cortanaintelligence.com/Home/Author?authorId=BDDFE93EA9560A99EC47D47267380C3339EC5806AA030709E1D32C0ADC31B23D",2016-09-14 16:32:06.000,135,0.80548981999999991,"BDDFE93EA9560A99EC47D47267380C3339EC5806AA030709E1D32C0ADC31B23D",1,"Better"
135,"Juan Javier Santos Ochoa",0.80539772999999992,"05/09 03:00","https://gallery.cortanaintelligence.com/Home/Author?authorId=A37BE12FEC6062539F2058ED691821FBF426863693D5CA3843A4F1BEA889432D",2016-09-05 03:00:05.000,133,0.80880265,"A37BE12FEC6062539F2058ED691821FBF426863693D5CA3843A4F1BEA889432D",-2,"Worst"
136,"rajesh c",0.80539772999999992,"14/09 10:30","https://gallery.cortanaintelligence.com/Home/Author?authorId=90C2DBA9343F64324B89F899B6D4D481F73D7B71554CB956A064EA25ED53A5B3",2016-09-14 10:30:38.000,137,0.80501656,"90C2DBA9343F64324B89F899B6D4D481F73D7B71554CB956A064EA25ED53A5B3",1,"Better"
137,"Prerana Chauhan",0.8046875,"03/09 10:24","https://gallery.cortanaintelligence.com/Home/Author?authorId=1B5BC7A6C1D56E2469AD1A01ED60AE3D5DD42EDEF80B8E6B0069D02EF7ABFBAE",2016-09-03 10:24:09.000,142,0.80170374,"1B5BC7A6C1D56E2469AD1A01ED60AE3D5DD42EDEF80B8E6B0069D02EF7ABFBAE",5,"Better"
138,"Florian Uhde",0.8046875,"09/09 09:31","https://gallery.cortanaintelligence.com/Home/Author?authorId=0663EBD8022CD882FC605E233BB135C176BBC33FCCA4605D3E4767D09F353B84",2016-09-09 09:31:37.000,132,0.80974917,"0663EBD8022CD882FC605E233BB135C176BBC33FCCA4605D3E4767D09F353B84",-6,"Worst"
139,"Sudha Subramanian",0.8046875,"26/09 05:50","https://gallery.cortanaintelligence.com/Home/Author?authorId=631D5BAF0A232E17890A9B41311E0B95C1B3C289BC41AE334550C1E4A688B3C0",2016-09-26 05:50:35.000,138,0.8045433,"631D5BAF0A232E17890A9B41311E0B95C1B3C289BC41AE334550C1E4A688B3C0",-1,"Worst"
140,"ShatskiyMaxim",0.80397727000000008,"12/08 15:49","https://gallery.cortanaintelligence.com/Home/Author?authorId=7A6FF220B78C83168F2E73A69A1F803BA2D585062F603E46E845FEB3ACD59F8E",2016-08-12 15:49:46.000,134,0.80690961,"7A6FF220B78C83168F2E73A69A1F803BA2D585062F603E46E845FEB3ACD59F8E",-6,"Worst"
141,"khanh nguyen",0.79971591000000009,"17/07 21:41","https://gallery.cortanaintelligence.com/Home/Author?authorId=554A8D4E6B1301BAD2ABCE9CE7A276B6E78407412E2E0064129311DFF63FA341",2016-07-17 21:41:44.000,148,0.79791765,"554A8D4E6B1301BAD2ABCE9CE7A276B6E78407412E2E0064129311DFF63FA341",7,"Better"
142,"Carl Parker",0.79971591000000009,"25/08 04:09","https://gallery.cortanaintelligence.com/Home/Author?authorId=11F16DAF6EFA11AB3191579D1D667A961A5CD5390AE18641B688CFBB11148FAE",2016-08-25 04:09:40.000,149,0.79791765,"11F16DAF6EFA11AB3191579D1D667A961A5CD5390AE18641B688CFBB11148FAE",7,"Better"
143,"Muni Pulipalyam",0.79900568,"16/07 12:51","https://gallery.cortanaintelligence.com/Home/Author?authorId=7527856CFF16CD4154993AE5AEFFD1A3F19CA3EDE96026E2608ECBAA45D73774",2016-07-16 12:51:20.000,147,0.79886417,"7527856CFF16CD4154993AE5AEFFD1A3F19CA3EDE96026E2608ECBAA45D73774",4,"Better"
144,"Chiyu Lin",0.79900568,"25/08 05:55","https://gallery.cortanaintelligence.com/Home/Author?authorId=F06F41878B68BAA65CE455E0F9E4486440ED4BBD321A1DFF7AF6C40D14E8213B",2016-08-25 05:55:06.000,143,0.80123048,"F06F41878B68BAA65CE455E0F9E4486440ED4BBD321A1DFF7AF6C40D14E8213B",-1,"Worst"
145,"Renan Pereira",0.79900568,"20/09 04:22","https://gallery.cortanaintelligence.com/Home/Author?authorId=23B64BF511D9200608375EA243BACB56CE0F24A040D678A5A57388119EAB1BFD",2016-09-20 04:22:31.000,151,0.7955513500000001,"23B64BF511D9200608375EA243BACB56CE0F24A040D678A5A57388119EAB1BFD",6,"Better"
146,"supreeth manyam",0.79900568,"20/09 12:25","https://gallery.cortanaintelligence.com/Home/Author?authorId=6DBB706BB98A1FB0347300A1032122F36E908CDD116FD7AD4CE4CF1567A0E591",2016-09-20 12:25:10.000,152,0.7955513500000001,"6DBB706BB98A1FB0347300A1032122F36E908CDD116FD7AD4CE4CF1567A0E591",6,"Better"
147,"r_00_t",0.79829544999999991,"23/07 05:39","https://gallery.cortanaintelligence.com/Home/Author?authorId=53021F5ACDBB8F5F0B9FE412385391AD39BEBCB72E1460EFA3F2491F3C3E7021",2016-07-23 05:39:31.000,140,0.80170374,"53021F5ACDBB8F5F0B9FE412385391AD39BEBCB72E1460EFA3F2491F3C3E7021",-7,"Worst"
148,"Muhammad Anser",0.79758522999999992,"22/09 19:56","https://gallery.cortanaintelligence.com/Home/Author?authorId=CB6D576EB8492A78C09BD66084D15476DBEE06897705E784411000DA408018D2",2016-09-22 19:56:39.000,145,0.7998107,"CB6D576EB8492A78C09BD66084D15476DBEE06897705E784411000DA408018D2",-3,"Worst"
149,"Eduardo Gomes",0.796875,"18/07 17:38","https://gallery.cortanaintelligence.com/Home/Author?authorId=C8E30A71BEE59471566862DA657A1019B4E15F8B9C63440E5D96E2C3FE94D8EF",2016-07-18 17:38:51.000,150,0.79697113,"C8E30A71BEE59471566862DA657A1019B4E15F8B9C63440E5D96E2C3FE94D8EF",1,"Better"
150,"Ricardo Filipe",0.79545455000000009,"11/07 11:13","https://gallery.cortanaintelligence.com/Home/Author?authorId=FD0DC4AA5C18977D4CEA687A5D50B5BE323D2C6FFDAC09CA98134B3FB47F8A62",2016-07-11 11:13:48.000,144,0.7998107,"FD0DC4AA5C18977D4CEA687A5D50B5BE323D2C6FFDAC09CA98134B3FB47F8A62",-6,"Worst"
151,"Riaz Hedayati",0.79545455000000009,"23/09 20:41","https://gallery.cortanaintelligence.com/Home/Author?authorId=EB30B38F8347C7F43E3C9A4274602CF194FFE020E643962648C47AD330456DA5",2016-09-23 20:41:14.000,146,0.7998107,"EB30B38F8347C7F43E3C9A4274602CF194FFE020E643962648C47AD330456DA5",-5,"Worst"
152,"krause.timsen",0.79545455000000009,"28/09 08:38","https://gallery.cortanaintelligence.com/Home/Author?authorId=245ADA6C323F320757B3008D85189D8B2B6797E8C19C7FA7DFF41E25A720E29B",2016-09-28 08:38:50.000,136,0.80548981999999991,"245ADA6C323F320757B3008D85189D8B2B6797E8C19C7FA7DFF41E25A720E29B",-16,"Worst"
153,"Wei Guo",0.79261364,"23/09 17:37","https://gallery.cortanaintelligence.com/Home/Author?authorId=93802D6BD4DCBC272E595F2CF0BA547836C26E0C6B259A9B515F454E5F3AEEF3",2016-09-23 17:37:02.000,200,0.014671080000000001,"93802D6BD4DCBC272E595F2CF0BA547836C26E0C6B259A9B515F454E5F3AEEF3",47,"Better"
154,"Banibrata De",0.78125,"25/08 06:32","https://gallery.cortanaintelligence.com/Home/Author?authorId=C5BC1579ACDE5C7E45AB253065F8A2471DFF66AFAFFCC40859294E613924EB15",2016-08-25 06:32:20.000,155,0.78230005,"C5BC1579ACDE5C7E45AB253065F8A2471DFF66AFAFFCC40859294E613924EB15",1,"Better"
