Column1,Job Posting ID,Job Posting Date,Job Title,Job Title Full,Job Title Additional Info,Job Position Type,Job Position Level,Years of Experience,Job Skills,Job Location,Minimum Pay,Maximum Pay,Pay Rate,Number of Applicants,Company Name,Company Industry,Company Size,Average Pay
23226,2540991725,2021-10-09 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",2,"['python', 'backend', 'microsoft', 'redis', 'java', 'mysql', 'airflow', 'postgres']","United States",,,"",1990,"Attentive","Marketing & Advertising","501-1,000 employees",
23516,2683550569,2021-10-22 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",1,"['scrum', 'cloud', 'aws', 'programming']","United States",,,"",,"Plastiq","Financial Services","51-200 employees",
23610,2714811667,2021-10-27 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Associate",1,"['ci/cd', 'gcp', 'java', 'aws', 'devops']","United States",,,"",170,"X4 Technology","Staffing & Recruiting","51-200 employees",
23718,2701034135,2021-11-02 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Associate",4,"['back-end', 'ajax', 'java', 'javascript', 'html', 'agile', 'coding', 'programming', 'selenium', 'xml', 'sql', 'apache', 'jquery']","United States",,,"",160,"SMC3","Logistics & Supply Chain","51-200 employees",
23798,2751539325,2021-11-06 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",4,"['python', 'saas', 'json', 'programming', 'sql', 'ai']","United States",,,"",720,"Demyst","Computer Software","51-200 employees",
24040,2693671876,2021-11-18 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",5,"['cloud', 'javascript', 'ruby', 'node', 'linux', 'r', 'css', 'aws', 'html']","United States",,,"",850,"Inventables","Computer Software","11-50 employees",
24408,2681095305,2021-12-02 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Associate",3,"['r', 'bash', 'powershell', 'git', 'java', 'javascript', 'gitlab', 'python', 'programming', 'linux', 'c']","United States",,,"",150,"Checkmarx","Computer & Network Security","501-1,000 employees",
24806,2716836804,2021-12-17 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",1,"['git', 'scrum', 'c++', 'agile', 'kanban', 'c']","United States",,,"",,"Dice","Internet","1,001-5,000 employees",
24807,2675076846,2021-12-17 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",0,"['r', 'vue', 'javascript', 'python', 'machine_learning', 'go']","United States",,,"",100,"RStudio PBC","Computer Software","201-500 employees",
25014,2674794026,2021-12-26 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",7,"['node.js', 'database', 'aws', 'python', 'coding', 'asp.net', 'docker', 'c']","United States",,,"",70,"SSP Innovations","","",
25049,2715155767,2021-12-28 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Associate",3,"['database', 'backend', 'java', 'javascript', 'aws', 'sql', 'nosql', 'devops', 'go', 'c']","United States",,,"",10,"Themis Data Solutions","Information Services","51-200 employees",
24,2677402902,2017-01-03 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",7,"['graphql', 'ci/cd', 'node', 'nosql']","United States",,,"",20,"Jobot","Staffing & Recruiting","201-500 employees",
149,2690054893,2017-01-18 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",3,"['database', 'agile', 'server', 'scrum', 'programming', 'c', 'oracle', 'microsoft', 'mysql', 'sql', 'js']","United States",,,"",,"Ivanti","Computer Software","1,001-5,000 employees",
176,2542314761,2017-01-21 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",4,"['cloud', 'slack', 'github', 'java', 'aws', 'go', 'azure']","United States",,,"",50,"Bullhorn","Computer Software","501-1,000 employees",
466,2685597444,2017-03-03 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",4,"['cloud', 'javascript', 'ruby', 'docker', 'slack', 'ci/cd', 'golang', 'aws']","United States",,,"",40,"FireHydrant","Computer Software","11-50 employees",
502,2728519192,2017-03-08 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",3,"['cloud', 'docker', 'gcp', 'programming', 'spark', 'java', 'aws', 'apache', 'azure', 'scala']","United States",,,"",10,"LiveRamp","Marketing & Advertising","501-1,000 employees",
592,2710364512,2017-03-20 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",4,"['cloud', 'javascript', 'python', 'jira', 'server', 'css', 'devops', 'c', 'github', 'backend', 'html', 'sql', 'azure', 'coding']","United States",,,"",30,"Doma (fka States Title)","Real Estate","1,001-5,000 employees",
654,2682962289,2017-03-27 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",7,"['cloud', 'r', 'programming', 'java', 'twilio']","United States",,,"",110,"Twilio","Internet","5,001-10,000 employees",
1281,2547626908,2017-06-10 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",7,"['javascript', 'ruby', 'python', 'docker', 'server', 'frontend', 'slack', 'github', 'backend', 'redis', 'atlassian', 'postgres']","United States",,,"",60,"Reforge","E-learning","11-50 employees",
1428,2731238702,2017-06-25 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",4,"['database', 'java', 'python', 'linux', 'nosql', 'apache', 'spark']","United States",,,"",70,"Syntagma Group","Staffing & Recruiting","11-50 employees",
1481,2722687735,2017-06-30 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",5,"['scrum', 'cloud', 'gcp', 'aws', 'coding', 'programming', 'docker', 'kanban', 'devops', 'azure']","United States",,,"",70,"Pelotech","Computer Software","11-50 employees",
1993,2720063013,2017-09-05 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",3,"['database', 'cloud', 'golang']","United States",,,"",,"AGR, LLC","","",
2086,2649123995,2017-09-19 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",5,"['agile/scrum', 'javascript', 'ruby', 'css', 'programming', 'mongodb', 'backend', 'aws', 'postgresql', 'sql', 'go', 'coding']","United States",,,"",,"CampusLogic","Higher Education","51-200 employees",
2447,2680685390,2017-10-21 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",1,"['database', 'backend', 'cloud', 'java', 'ruby', 'python', 'go', 'spark']","United States",,,"",50,"Medallion","Hospital & Health Care","11-50 employees",
2669,2745338216,2017-11-13 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",2,"['cloud', 'server', 'saas', 'mongodb', 'c', 'ci/cd', 'redis', 'java', 'sql', 'nosql', 'go', 'azure']","United States",,,"",40,"Phreesia","Hospital & Health Care","1,001-5,000 employees",
2864,2695672980,2017-12-06 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",4,"['database', 'cloud', 'agile', 'python', 'docker', 'programming', 'mongodb', 'ci/cd', 'java', 'aws', 'no-sql', 'snowflake', 'sql', 'coding', 'postgres']","United States",,,"",10,"Natera","Biotechnology","1,001-5,000 employees",
3191,2720082825,2018-01-21 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",3,"['cloud', 'python', 'java', 'mysql']","United States",,,"",,"Natera","Biotechnology","1,001-5,000 employees",
3220,2682414625,2018-01-23 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",4,"['docker', 'git', 'redis', 'go', 'postgres']","United States",,,"",10,"MasonHub","Logistics & Supply Chain","11-50 employees",
3231,2674758325,2018-01-24 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",6,"['iot']","United States",,,"",150,"Kit Check","Hospital & Health Care","51-200 employees",
3245,2705237974,2018-01-25 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",7,"['database', 'cloud', 'gcp', 'java', 'aws', 'programming', 'nosql', 'js', 'azure']","United States",,,"",30,"FICO","Computer Software","1,001-5,000 employees",
3306,2506798816,2018-01-28 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",5,"['backend', 'ci/cd', 'java', 'python', 'coding', 'ai', 'postgres']","United States",,,"",60,"Wiley","Publishing","1,001-5,000 employees",
3327,2434063269,2018-01-29 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",7,"['agile', 'linux', 'docker', 'git', 'scrum', 'json', 'devops', 'java', 'aws', 'sql', 'nosql']","United States",,,"",200,"Emburse","Computer Software","501-1,000 employees",
3778,2741569434,2018-02-26 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",5,"['agile', 'linux', 'docker', 'git', 'scrum', 'saas', 'json', 'devops', 'java', 'aws', 'sql', 'nosql']","United States",,,"",,"Emburse","Computer Software","501-1,000 employees",
3971,2715122471,2018-03-24 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",3,"['javascript', 'aws', 'html', 'mysql', 'agile', 'python', 'c/c++', 'postgresql', 'php']","United States",,,"",20,"SONIFI Solutions, Inc.","Hospitality","501-1,000 employees",
4007,2718094188,2018-03-29 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",8,"['unix/linux', 'node.js', 'git', 'saas', 'java', 'aws', 'mysql', 'redshift']","United States",,,"",70,"Buyers Edge Platform","Hospitality","201-500 employees",
4038,2711805759,2018-04-03 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",10,"['database', 'cloud', 'javascript', 'agile', 'frontend', 'json', 'css', 'ios', 'c/c++', 'java', 'html', 'postgresql', 'sql', 'excel', 'unix']","United States",,,"",20,"iboss","Computer & Network Security","201-500 employees",
4078,2734804558,2018-04-08 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",6,"['database', 'backend', 'redis', 'gcp', 'golang', 'ruby', 'snowflake', 'go', 'postgres']","United States",,,"",40,"High5","Staffing & Recruiting","201-500 employees",
4224,2678171139,2018-04-22 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",6,"['back-end', 'git', 'json', 'css', 'javascript', 'html', 'programming', 'php', 'xml', 'jquery', 'html5']","United States",,,"",,"Curiosity Stream","Entertainment","51-200 employees",
4267,2717903275,2018-04-25 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",5,"['agile', 'linux', 'docker', 'git', 'scrum', 'saas', 'json', 'devops', 'java', 'aws', 'sql', 'nosql']","United States",,,"",,"Emburse","Computer Software","501-1,000 employees",
4320,2755060467,2018-04-30 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",1,"['cloud', 'golang', 'aws', 'agile', 'nosql', 'mongodb', 'go']","United States",,,"",30,"WEX","Financial Services","1,001-5,000 employees",
4466,2745693326,2018-05-11 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",5,"['cloud', 'ai/ml', 'agile', 'git', 'programming', 'devops', 'c', 'ci/cd', 'java', 'aws', 'coding']","United States",,,"",,"RevaComm","Computer Software","51-200 employees",
4766,2565864361,2018-06-04 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",2,"['node.js', 'microsoft', 'cloud', 'saas', 'gcp', 'java', 'javascript', 'aws', 'agile', 'coding', 'docker', 'nosql', 'mongodb', 'azure']","United States",,,"",20,"Tenfold","Computer Software","51-200 employees",
4783,2709214002,2018-06-06 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",8,"['ci/cd', 'cloud', 'programming', 'sql', 'docker', 'nosql']","United States",,,"",200,"Advanced Career Networks","Information Technology & Services","1-10 employees",
4882,2664115531,2018-06-18 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",4,"['cloud', 'backend', 'java', 'kotlin', 'aws', 'apache', 'postgres', 'spark']","United States",,,"",,"Toast","Computer Software","1,001-5,000 employees",
5310,2693725404,2018-08-02 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",3,"['node.js', 'frontend', 'aws', 'mysql', 'sql', 'coding', 'postgres']","United States",,,"",90,"Knock","Real Estate","201-500 employees",
5546,2681191349,2018-08-29 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",6,"['cloud', 'javascript', 'agile', 'python', 'git', 'css', 'programming', 'c', 'backend', 'golang', 'html', 'sql', 'ai', 'machine_learning']","United States",,,"",10,"Applied Systems","Computer Software","1,001-5,000 employees",
5565,2608828212,2018-09-02 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",4,"['cloud', 'gitlab', 'agile', 'frontend', 'mongodb', 'backend', 'ci/cd', 'java', 'aws', 'mysql', 'snowflake', 'nosql', 'coding']","United States",,,"",30,"Plastiq","Financial Services","51-200 employees",
5650,2730513517,2018-09-16 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",6,"['backend', 'codebase', 'cloud', 'vue', 'java', 'css', 'kotlin', 'javascript', 'swift', 'python', 'coding', 'html5']","United States",,,"",650,"Walmart","Retail","10,001+ employees",
5765,2634814625,2018-09-28 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",5,"['ruby', 'devops']","United States",,,"",10,"The Judge Group","Information Technology & Services","1,001-5,000 employees",
5798,2692704085,2018-10-01 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",5,"['python', 'node', 'back-end', 'github', 'coding']","United States",,,"",40,"BentoBox","Internet","51-200 employees",
6104,2699537514,2018-11-05 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",3,"['cloud', 'javascript', 'asp.net', 'powershell', 'git', 'scrum', 'saas', 'c', 'microsoft', 'aws', 'sql', 'nosql', 'azure', 'bash', 'splunk', 'coding']","United States",,,"",10,"Applied Systems","Computer Software","1,001-5,000 employees",
6171,2680712049,2018-11-15 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",3,"['agile', 'linux', 'docker', 'git', 'scrum', 'saas', 'json', 'devops', 'java', 'aws', 'sql', 'nosql']","United States",,,"",,"Emburse","Computer Software","501-1,000 employees",
6207,2687898314,2018-11-19 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",5,"['cloud', 'ruby', 'vue.js', 'agile', 'python', 'node.js', 'frontend', 'gcp', 'programming', 'backend', 'java', 'aws', 'ml', 'ai', 'azure', 'unix', 'coding', 'javascript/typescript']","United States",,,"",10,"Workera.ai","Information Technology & Services","51-200 employees",
6406,2694687819,2018-12-06 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",3,"['graphql', 'cloud', 'vue.js', 'agile', 'programming', 'mongodb', 'c', 'ci/cd', 'aws', 'sql']","United States",,,"",10,"Cornerstone OnDemand","Computer Software","1,001-5,000 employees",
6722,2678119779,2018-12-29 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",4,"['javascript', 'agile', 'python', 'programming', 'mongodb', 'github', 'backend', 'java', 'go', 'coding']","United States",,,"",,"Unibuddy","Internet","51-200 employees",
6760,2587392193,2019-01-01 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",4,"['gitlab', 'ruby', 'bitbucket', 'saas', 'github', 'postgres']","United States",,,"",50,"Vendr","Information Technology & Services","51-200 employees",
6875,2716994318,2019-01-10 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",6,"['agile', 'linux', 'docker', 'git', 'scrum', 'saas', 'json', 'devops', 'java', 'aws', 'sql', 'nosql']","United States",,,"",,"Emburse","Computer Software","501-1,000 employees",
6972,2658841840,2019-01-20 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",4,"['graphql', 'backend', 'ci/cd', 'cloud', 'javascript', 'programming']","United States",,,"",20,"Top Stack","Staffing & Recruiting","11-50 employees",
6986,2730892215,2019-01-22 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",6,"['jupyter', 'python', 'server']","United States",,,"",320,"Noteable","Computer Software","11-50 employees",
7110,2705278703,2019-02-12 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",2,"['cloud', 'python', 'java', 'mysql']","United States",,,"",10,"Natera","Biotechnology","1,001-5,000 employees",
7351,2736512674,2019-03-12 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",6,"['database', 'datadog', 'javascript', 'ruby', 'python', 'docker', 'bi', 'node.js', 'frontend', 'css', 'programming', 'backend', 'aws', 'html', 'sql', 'coding', 'postgres']","United States",,,"",70,"Leafly","Internet","51-200 employees",
7963,2678137082,2019-05-18 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",3,"['scala', 'iot', 'git', 'microsoft', 'ci/cd', 'cloud', 'golang', 'java', 'javascript', 'ai/ml', 'aws', 'mysql', 'agile', 'python', 'docker', 'devops', 'azure']","United States",,,"",30,"Tier4 Group","Information Technology & Services","51-200 employees",
8106,2693799986,2019-06-03 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",5,"['git', 'ci/cd', 'redis', 'saas', 'java', 'css', 'javascript', 'aws', 'html', 'mysql', 'programming', 'docker']","United States",,,"",,"Khoros","Computer Software","1,001-5,000 employees",
8175,2726373152,2019-06-10 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",5,"['agile', 'linux', 'git', 'scrum', 'saas', 'json', 'programming', 'devops', 'golang', 'java', 'aws', 'mysql', 'aurora']","United States",,,"",20,"Emburse","Computer Software","501-1,000 employees",
8233,2687273658,2019-06-15 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",5,"['database', 'backend', 'frontend', 'golang', 'aws', 'sql']","United States",,,"",10,"Jobot","Staffing & Recruiting","201-500 employees",
8346,2731463507,2019-06-26 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",2,"['database', 'javascript', 'server', 'git', 'c', 'microsoft', 'aws', 'mysql', 'sql', 'azure', 'jquery']","United States",,,"",10,"EducationDynamics","Marketing & Advertising","201-500 employees",
8362,2713544820,2019-06-27 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",4,"['scrum', 'microsoft', 't-sql', 'aws', 'agile', 'python', 'coding', 'programming', 'asp.net', 'sql', 'server', 'azure', 'c']","United States",,,"",10,"Epiq","Legal Services","5,001-10,000 employees",
8461,2663762818,2019-07-06 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",4,"['cloud', 'database', 'backend', 'ci/cd', 'java', 'ruby', 'python', 'coding', 'programming', 'sql', 'docker', 'devops', 'go']","United States",,,"",30,"Collabera Inc.","Information Technology & Services","10,001+ employees",
8547,2692079579,2019-07-14 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",4,"['javascript', 'ruby', 'docker', 'programming', 'oracle', 'redis', 'java', 'mysql', 'go']","United States",,,"",,"Oracle","Information Technology & Services","10,001+ employees",
8738,2712291038,2019-08-01 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",4,"['cloud', 'python', 'java', 'mysql']","United States",,,"",60,"Natera","Biotechnology","1,001-5,000 employees",
8984,2388272877,2019-08-22 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",8,"['programming', 'cloud']","United States",,,"",1360,"C2R Ventures","Staffing & Recruiting","11-50 employees",
9085,2654286070,2019-08-30 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",5,"['javascript', 'agile', 'jira', 'docker', 'git', 'programming', 'c', 'aws', 'nosql']","United States",,,"",110,"Bowery Valuation","Commercial Real Estate","51-200 employees",
9232,2679193318,2019-09-11 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",4,"['scrum', 'redis', 'cloud', 'gcp', 'java', 'aws', 'agile', 'programming', 'linux', 'sql', 'docker', 'azure']","United States",,,"",30,"Ivanti","Computer Software","1,001-5,000 employees",
9574,2749942485,2019-10-10 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",6,"['excel', 'warehousing', 'database', 'ssis', 'scrum', 'agile', 'etl', 'sql', 'server', 'azure']","United States",,,"",50,"Capgemini","Information Technology & Services","10,001+ employees",
9639,2533043538,2019-10-15 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",3,"['word', 'javascript', 'vue.js', 'node', 'node.js', 'frontend', 'vue', 'backend', 'postgresql', 'go']","United States",,,"",110,"Wisely","Internet","51-200 employees",
9698,2675335188,2019-10-19 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",9,"['scala', 'back-end', 'airflow', 'redis', 'scikit-learn', 'saas', 'java', 'aws', 'redshift', 'programming', 'etl', 'hadoop', 'nosql', 'mongodb', 'pytorch', 'tensorflow', 'apache', 'machine_learning', 'spark']","United States",,,"",40,"Quest Groups LLC","Staffing & Recruiting","11-50 employees",
9736,2734080911,2019-10-22 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",3,"['agile', 'linux', 'docker', 'git', 'scrum', 'saas', 'json', 'devops', 'java', 'aws', 'sql', 'nosql']","United States",,,"",,"Emburse","Computer Software","501-1,000 employees",
10020,2679700648,2019-11-12 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",6,"['database', 'backend', 'frontend', 'golang', 'aws', 'sql']","United States",,,"",10,"Jobot","Staffing & Recruiting","201-500 employees",
10036,2535540142,2019-11-14 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",10,"['backend', 'frontend', 'mysql', 'postgresql', 'nosql']","United States",,,"",120,"Invitae","Biotechnology","1,001-5,000 employees",
10080,2745605499,2019-11-18 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",5,"['scala', 'cloud', 'agile', 'coding', 'machine_learning']","United States",,,"",20,"TrueAccord","Financial Services","201-500 employees",
10088,2486271143,2019-11-18 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",0,"['git', 'frontend', 'programming', 'java', 'aws', 'scala']","United States",,,"",40,"Rally Health","Health, Wellness & Fitness","1,001-5,000 employees",
10317,2542686058,2019-12-11 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",3,"['node.js', 'git', 'ci/cd', 'cloud', 'gcp', 'java', 'aws', 'python', 'docker', 'devops', 'azure']","United States",,,"",90,"Talener","Staffing & Recruiting","11-50 employees",
10349,2688424972,2019-12-14 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",5,"['github', 'scala', 'git', 'c++', 'cloud', 'golang', 'java', 'javascript', 'mysql', 'programming', 'postgresql', 'rust', 'sql', 'nosql', 'mongodb', 'devops']","United States",,,"",90,"Chronicled","Information Technology & Services","51-200 employees",
10444,2683075209,2019-12-20 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",2,"['database', 'cloud', 'javascript', 'agile', 'frontend', 'json', 'css', 'ios', 'c/c++', 'java', 'html', 'postgresql', 'sql', 'excel', 'unix']","United States",,,"",,"iboss","Computer & Network Security","201-500 employees",
10642,2708427391,2020-01-01 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",6,"['back-end', 'database', 'scrum', 'cloud', 'gcp', 'java', 'javascript', 'ruby', 'aws', 'agile', 'python', 'programming', 'kanban', 'azure']","United States",,,"",20,"4 Mile Analytics","Information Technology & Services","11-50 employees",
10643,2731827640,2020-01-01 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",3,"['python', 'docker', 'back-end', 'gcp', 'ci/cd', 'golang', 'postgresql', 'rust', 'go']","United States",,,"",,"Bestow Life Insurance","Insurance","51-200 employees",
10838,2740907796,2020-01-11 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",5,"['graphql', 'javascript', 'programming', 'node']","United States",,,"",90,"Made Renovation","Construction","1-10 employees",
11002,2718755130,2020-01-18 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",4,"['back-end', 'aws', 'python', 'machine_learning', 'go', 'c']","United States",,,"",290,"Eight Sleep","Consumer Electronics","11-50 employees",
11008,2657803321,2020-01-18 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",8,"['backend', 'aws', 'python', 'redshift', 'aurora', 'sql', 'machine_learning', 'go', 'postgres', 'spark']","United States",,,"",160,"Collabera Inc.","Information Technology & Services","10,001+ employees",
11037,2710977478,2020-01-20 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",5,"['cloud', 'python', 'java', 'mysql']","United States",,,"",,"Natera","Biotechnology","1,001-5,000 employees",
11048,2688886678,2020-01-20 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",4,"['scrum', 'cloud', 'gcp', 'aws', 'coding', 'programming', 'docker', 'kanban', 'devops', 'azure']","United States",,,"",110,"Pelotech","Computer Software","11-50 employees",
11067,2670152408,2020-01-21 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",3,"['database', 'ajax', 'javascript', 'ruby', 'agile', 'html5', 'node.js', 'css', 'php', 'mongodb', 'oracle', 'backend', 'java', 'mysql', 'coding']","United States",,,"",10,"Cengage Group","E-learning","5,001-10,000 employees",
11235,2721821183,2020-01-29 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",3,"['agile', 'linux', 'docker', 'git', 'scrum', 'saas', 'json', 'devops', 'java', 'aws', 'sql', 'nosql']","United States",,,"",10,"Emburse","Computer Software","501-1,000 employees",
11449,2684445415,2020-02-11 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",4,"['java']","United States",,,"",,"L3Harris Technologies","Defense & Space","10,001+ employees",
11723,2682053015,2020-04-19 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",4,"['database', 'git', 'cloud', 'saas', 'css', 'javascript', 'aws', 'agile', 'nosql']","United States",,,"",20,"Acoustic","Internet","1,001-5,000 employees",
11735,2558348879,2020-04-20 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Associate",4,"['ruby', 'python', 'java', 'postgresql', 'c++']","United States",,,"",30,"Procore Technologies","Computer Software","1,001-5,000 employees",
11841,2696762430,2020-04-30 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",7,"['javascript', 'ruby', 'agile', 'python', 'linux', 'back-end', 'git', 'saas', 'programming', 'devops', 'c', 'aws', 'sql', 'coding', 'postgres', 'js']","United States",,,"",,"LUMA Institute","Professional Training & Coaching","11-50 employees",
11864,2722927060,2020-05-01 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",6,"['github', 'aws', 'agile', 'python', 'cicd', 'node', 'aurora', 'devops']","United States",,,"",90,"Storm2","Staffing & Recruiting","51-200 employees",
11973,2678703085,2020-05-08 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",4,"['scala', 'backend', 'ci/cd', 'aws', 'python', 'docker', 'apache', 'postgres']","United States",,,"",30,"Benjamin Douglas","Staffing & Recruiting","1-10 employees",
11979,2677441897,2020-05-08 00:00:00.000,"Software Engineer","Senior Software Engineer","","Full-time","Mid-Senior level",5,"['node.js', 'git', 'scrum', 'ci/cd', 'javascript', 'agile', 'coding', 'js']","United States",,,"",20,"BETSOL","Information Technology & Services","501-1,000 employees",
