Order Number,variable,value
SO - 0009598,Order Quantity,9
SO - 0002811,Order Quantity,10
SO - 0006503,Order Quantity,9
SO - 0005413,Order Quantity,9
SO - 0006260,Order Quantity,12
SO - 0008661,Order Quantity,8
SO - 0006821,Order Quantity,11
SO - 0009674,Order Quantity,10
SO - 0003251,Order Quantity,11
SO - 0005808,Order Quantity,5
SO - 0006767,Order Quantity,10
SO - 0009206,Order Quantity,8
SO - 0004037,Order Quantity,11
SO - 0005057,Order Quantity,5
SO - 0010228,Order Quantity,12
SO - 0006531,Order Quantity,7
SO - 0006094,Order Quantity,5
SO - 0005765,Order Quantity,7
SO - 0009408,Order Quantity,5
SO - 0004668,Order Quantity,5
SO - 0010351,Order Quantity,11
SO - 0010302,Order Quantity,10
SO - 0005045,Order Quantity,11
SO - 0005640,Order Quantity,5
SO - 0007424,Order Quantity,7
SO - 0010135,Order Quantity,10
SO - 0006283,Order Quantity,6
SO - 000242,Order Quantity,9
SO - 0002939,Order Quantity,5
SO - 000239,Order Quantity,9
SO - 0002890,Order Quantity,11
SO - 0009298,Order Quantity,10
SO - 0007958,Order Quantity,11
SO - 0001109,Order Quantity,11
SO - 0001690,Order Quantity,8
SO - 0008959,Order Quantity,12
SO - 0006714,Order Quantity,11
SO - 0003768,Order Quantity,12
SO - 0004489,Order Quantity,8
SO - 0009204,Order Quantity,9
SO - 0002280,Order Quantity,11
SO - 0003434,Order Quantity,6
SO - 0006898,Order Quantity,5
SO - 0001115,Order Quantity,12
SO - 0009404,Order Quantity,7
SO - 0007970,Order Quantity,11
SO - 0006679,Order Quantity,8
SO - 0002082,Order Quantity,6
SO - 000696,Order Quantity,11
SO - 0003160,Order Quantity,11
SO - 0007578,Order Quantity,9
SO - 0002878,Order Quantity,11
SO - 0002641,Order Quantity,10
SO - 0003739,Order Quantity,10
SO - 0003986,Order Quantity,5
SO - 0006259,Order Quantity,5
SO - 0008485,Order Quantity,11
SO - 0008717,Order Quantity,7
SO - 0002697,Order Quantity,10
SO - 0010200,Order Quantity,5
SO - 0003349,Order Quantity,12
SO - 0004213,Order Quantity,11
SO - 0007654,Order Quantity,11
SO - 0005020,Order Quantity,8
SO - 0007871,Order Quantity,12
SO - 0004998,Order Quantity,12
SO - 0007780,Order Quantity,10
SO - 000852,Order Quantity,6
SO - 000378,Order Quantity,11
SO - 0005686,Order Quantity,8
SO - 000489,Order Quantity,6
SO - 0008150,Order Quantity,10
SO - 0005238,Order Quantity,5
SO - 0010134,Order Quantity,6
SO - 0001193,Order Quantity,6
SO - 0006517,Order Quantity,11
SO - 0010476,Order Quantity,7
SO - 0003133,Order Quantity,9
SO - 0007447,Order Quantity,9
SO - 0002987,Order Quantity,6
SO - 0008635,Order Quantity,6
SO - 0003966,Order Quantity,12
SO - 0009878,Order Quantity,9
SO - 0005845,Order Quantity,11
SO - 0003815,Order Quantity,11
SO - 0010614,Order Quantity,10
SO - 0003281,Order Quantity,6
SO - 0006341,Order Quantity,10
SO - 0007071,Order Quantity,8
SO - 0009334,Unit Price,5453.8
SO - 0001970,Unit Price,5165.7
SO - 0004258,Unit Price,1976.5
SO - 0007884,Unit Price,6123.8
SO - 0009947,Unit Price,5326.5
SO - 0002295,Unit Price,2331.6
SO - 0004085,Unit Price,3886.0
SO - 0003507,Unit Price,1112.2
SO - 0009263,Unit Price,3999.9
SO - 0005175,Unit Price,1212.7
SO - 0002549,Unit Price,3872.6
SO - 0009598,Unit Price,1768.8
SO - 0002811,Unit Price,254.6
SO - 0006503,Unit Price,716.9
SO - 0005413,Unit Price,3115.5
SO - 0006260,Unit Price,261.3
SO - 0008661,Unit Price,3517.5
SO - 0006821,Unit Price,2720.2000000000003
SO - 0009674,Unit Price,1058.6
SO - 0003251,Unit Price,1072.0
SO - 0005808,Unit Price,5902.7
SO - 0006767,Unit Price,1983.2
SO - 0009206,Unit Price,877.7
SO - 0004037,Unit Price,2298.1
SO - 0005057,Unit Price,3805.6
SO - 0010228,Unit Price,1159.1
SO - 0006531,Unit Price,1172.5
SO - 0006094,Unit Price,1199.3
SO - 0005765,Unit Price,5688.3
SO - 0009408,Unit Price,241.2
SO - 0004668,Unit Price,2003.3
SO - 0010351,Unit Price,1011.7
SO - 0010302,Unit Price,167.5
SO - 0005045,Unit Price,5460.5
SO - 0005640,Unit Price,1125.6
SO - 0007424,Unit Price,730.3
SO - 0010135,Unit Price,777.2
SO - 0006283,Unit Price,1688.4
SO - 000242,Unit Price,3946.3
SO - 0002939,Unit Price,1045.2
SO - 000239,Unit Price,1219.4
SO - 0002890,Unit Price,1031.8
SO - 0009298,Unit Price,3979.8
SO - 0007958,Unit Price,187.6
SO - 0001109,Unit Price,1072.0
SO - 0001690,Unit Price,2552.7000000000003
SO - 0008959,Unit Price,1889.4
SO - 0006714,Unit Price,830.8
SO - 0003768,Unit Price,1018.4
SO - 0004489,Unit Price,2405.3
SO - 0009204,Unit Price,3852.5
SO - 0002280,Unit Price,3959.7
SO - 0003434,Unit Price,1065.3
SO - 0006898,Unit Price,5212.6
SO - 0001115,Unit Price,3993.2
SO - 0009404,Unit Price,1031.8
SO - 0007970,Unit Price,3993.2
SO - 0006679,Unit Price,1929.6
SO - 0002082,Unit Price,1058.6
SO - 000696,Unit Price,3906.1
SO - 0003160,Unit Price,1078.7
SO - 0007578,Unit Price,951.4
SO - 0002878,Unit Price,1025.1
SO - 0002641,Unit Price,2613.0
SO - 0003739,Unit Price,167.5
SO - 0003986,Unit Price,5768.7
SO - 0006259,Unit Price,1058.6
SO - 0008485,Unit Price,227.8
SO - 0008717,Unit Price,810.7
SO - 0002697,Unit Price,710.2
SO - 0010200,Unit Price,2499.1
SO - 0003349,Unit Price,2814.0
SO - 0004213,Unit Price,1842.5
SO - 0007654,Unit Price,2606.3
SO - 0005020,Unit Price,884.4
SO - 0007871,Unit Price,1058.6
SO - 0004998,Unit Price,911.2
SO - 0007780,Unit Price,3966.4
SO - 000852,Unit Price,3564.4
SO - 000378,Unit Price,924.6
SO - 0005686,Unit Price,3819.0
SO - 000489,Unit Price,1165.8
SO - 0008150,Unit Price,2619.7000000000003
SO - 0005238,Unit Price,938.0
SO - 0010134,Unit Price,2619.7000000000003
SO - 0001193,Unit Price,1072.0
SO - 0006517,Unit Price,227.8
SO - 0010476,Unit Price,3618.0
SO - 0003133,Unit Price,3946.3
SO - 0007447,Unit Price,5071.9000000000015
SO - 0002987,Unit Price,710.2
SO - 0008635,Unit Price,194.3
SO - 0003966,Unit Price,6478.9000000000015
SO - 0009878,Unit Price,5025.0
SO - 0005845,Unit Price,2412.0
SO - 0003815,Unit Price,3798.9
SO - 0010614,Unit Price,931.3
SO - 0003281,Unit Price,5775.4000000000015
SO - 0006341,Unit Price,3926.2
SO - 0007071,Unit Price,897.8
SO - 0009334,Revenue,32722.800000000003
SO - 0001970,Revenue,36159.9
SO - 0004258,Revenue,17788.5
SO - 0007884,Revenue,67361.8
SO - 0009947,Revenue,42612.0
SO - 0002295,Revenue,11658.0
SO - 0004085,Revenue,38860.0
SO - 0003507,Revenue,6673.200000000001
SO - 0009263,Revenue,31999.2
SO - 0005175,Revenue,8488.9
SO - 0002549,Revenue,38726.0
SO - 0009598,Revenue,15919.2
SO - 0002811,Revenue,2546.0
SO - 0006503,Revenue,6452.1
SO - 0005413,Revenue,28039.5
SO - 0006260,Revenue,3135.6000000000004
SO - 0008661,Revenue,28140.0
SO - 0006821,Revenue,29922.200000000004
SO - 0009674,Revenue,10586.000000000002
SO - 0003251,Revenue,11792.0
SO - 0005808,Revenue,29513.5
SO - 0006767,Revenue,19832.0
SO - 0009206,Revenue,7021.6
SO - 0004037,Revenue,25279.1
SO - 0005057,Revenue,19028.0
SO - 0010228,Revenue,13909.2
SO - 0006531,Revenue,8207.5
SO - 0006094,Revenue,5996.5
SO - 0005765,Revenue,39818.1
SO - 0009408,Revenue,1206.0
SO - 0004668,Revenue,10016.5
SO - 0010351,Revenue,11128.7
SO - 0010302,Revenue,1675.0
SO - 0005045,Revenue,60065.5
SO - 0005640,Revenue,5628.000000000001
SO - 0007424,Revenue,5112.1
SO - 0010135,Revenue,7772.0
SO - 0006283,Revenue,10130.4
SO - 000242,Revenue,35516.700000000004
SO - 0002939,Revenue,5226.0
SO - 000239,Revenue,10974.6
SO - 0002890,Revenue,11349.8
SO - 0009298,Revenue,39798.0
SO - 0007958,Revenue,2063.6
SO - 0001109,Revenue,11792.0
SO - 0001690,Revenue,20421.6
SO - 0008959,Revenue,22672.800000000003
SO - 0006714,Revenue,9138.8
SO - 0003768,Revenue,12220.8
SO - 0004489,Revenue,19242.4
SO - 0009204,Revenue,34672.5
SO - 0002280,Revenue,43556.7
SO - 0003434,Revenue,6391.799999999999
SO - 0006898,Revenue,26063.0
SO - 0001115,Revenue,47918.4
SO - 0009404,Revenue,7222.5999999999985
SO - 0007970,Revenue,43925.2
SO - 0006679,Revenue,15436.8
SO - 0002082,Revenue,6351.6
SO - 000696,Revenue,42967.1
SO - 0003160,Revenue,11865.7
SO - 0007578,Revenue,8562.6
SO - 0002878,Revenue,11276.100000000002
SO - 0002641,Revenue,26130.0
SO - 0003739,Revenue,1675.0
SO - 0003986,Revenue,28843.5
SO - 0006259,Revenue,5293.000000000001
SO - 0008485,Revenue,2505.8
SO - 0008717,Revenue,5674.9000000000015
SO - 0002697,Revenue,7102.0
SO - 0010200,Revenue,12495.5
SO - 0003349,Revenue,33768.0
SO - 0004213,Revenue,20267.5
SO - 0007654,Revenue,28669.300000000003
SO - 0005020,Revenue,7075.2
SO - 0007871,Revenue,12703.2
SO - 0004998,Revenue,10934.4
SO - 0007780,Revenue,39664.0
SO - 000852,Revenue,21386.4
SO - 000378,Revenue,10170.6
SO - 0005686,Revenue,30552.0
SO - 000489,Revenue,6994.799999999999
SO - 0008150,Revenue,26197.000000000004
SO - 0005238,Revenue,4690.0
SO - 0010134,Revenue,15718.2
SO - 0001193,Revenue,6432.0
SO - 0006517,Revenue,2505.8
SO - 0010476,Revenue,25326.0
SO - 0003133,Revenue,35516.700000000004
SO - 0007447,Revenue,45647.100000000006
SO - 0002987,Revenue,4261.200000000001
SO - 0008635,Revenue,1165.8000000000002
SO - 0003966,Revenue,77746.8
SO - 0009878,Revenue,45225.0
SO - 0005845,Revenue,26532.0
SO - 0003815,Revenue,41787.9
SO - 0010614,Revenue,9313.0
SO - 0003281,Revenue,34652.4
SO - 0006341,Revenue,39262.0
SO - 0007071,Revenue,7182.4000000000015
SO - 0009334,Total Unit Cost,2890.514
SO - 0001970,Total Unit Cost,2066.28
SO - 0004258,Total Unit Cost,1067.3100000000002
SO - 0007884,Total Unit Cost,3123.138
SO - 0009947,Total Unit Cost,2929.5750000000003
SO - 0002295,Total Unit Cost,1468.908
SO - 0004085,Total Unit Cost,2137.3
SO - 0003507,Total Unit Cost,556.1
SO - 0009263,Total Unit Cost,2199.945
SO - 0005175,Total Unit Cost,715.493
SO - 0002549,Total Unit Cost,2323.56
SO - 0009598,Total Unit Cost,1149.72
SO - 0002811,Total Unit Cost,150.214
SO - 0006503,Total Unit Cost,379.957
SO - 0005413,Total Unit Cost,1682.37
SO - 0006260,Total Unit Cost,193.362
SO - 0008661,Total Unit Cost,2743.65
SO - 0006821,Total Unit Cost,2176.1600000000003
SO - 0009674,Total Unit Cost,624.5740000000001
SO - 0003251,Total Unit Cost,450.24
SO - 0005808,Total Unit Cost,4958.268
SO - 0006767,Total Unit Cost,1269.248
SO - 0009206,Total Unit Cost,351.08000000000004
SO - 0004037,Total Unit Cost,1034.145
SO - 0005057,Total Unit Cost,1636.408
SO - 0010228,Total Unit Cost,707.051
SO - 0006531,Total Unit Cost,621.4250000000001
SO - 0006094,Total Unit Cost,791.538
SO - 0005765,Total Unit Cost,2502.8520000000003
SO - 0009408,Total Unit Cost,159.192
SO - 0004668,Total Unit Cost,1161.914
SO - 0010351,Total Unit Cost,789.1260000000002
SO - 0010302,Total Unit Cost,137.35
SO - 0005045,Total Unit Cost,2348.015
SO - 0005640,Total Unit Cost,630.3360000000001
SO - 0007424,Total Unit Cost,496.6040000000001
SO - 0010135,Total Unit Cost,512.952
SO - 0006283,Total Unit Cost,1435.14
SO - 000242,Total Unit Cost,1657.446
SO - 0002939,Total Unit Cost,606.216
SO - 000239,Total Unit Cost,695.058
SO - 0002890,Total Unit Cost,680.988
SO - 0009298,Total Unit Cost,3303.234
SO - 0007958,Total Unit Cost,148.204
SO - 0001109,Total Unit Cost,707.52
SO - 0001690,Total Unit Cost,1276.35
SO - 0008959,Total Unit Cost,906.912
SO - 0006714,Total Unit Cost,548.3280000000001
SO - 0003768,Total Unit Cost,672.144
SO - 0004489,Total Unit Cost,1635.6040000000005
SO - 0009204,Total Unit Cost,1541.0
SO - 0002280,Total Unit Cost,1861.059
SO - 0003434,Total Unit Cost,724.404
SO - 0006898,Total Unit Cost,3283.938
SO - 0001115,Total Unit Cost,3034.8320000000003
SO - 0009404,Total Unit Cost,474.628
SO - 0007970,Total Unit Cost,2954.9680000000003
SO - 0006679,Total Unit Cost,1234.9440000000002
SO - 0002082,Total Unit Cost,730.434
SO - 000696,Total Unit Cost,1835.867
SO - 0003160,Total Unit Cost,647.22
SO - 0007578,Total Unit Cost,704.036
SO - 0002878,Total Unit Cost,635.5620000000001
SO - 0002641,Total Unit Cost,1620.06
SO - 0003739,Total Unit Cost,110.55
SO - 0003986,Total Unit Cost,4384.212
SO - 0006259,Total Unit Cost,709.2620000000002
SO - 0008485,Total Unit Cost,95.676
SO - 0008717,Total Unit Cost,567.49
SO - 0002697,Total Unit Cost,553.956
SO - 0010200,Total Unit Cost,1299.532
SO - 0003349,Total Unit Cost,1885.38
SO - 0004213,Total Unit Cost,1123.925
SO - 0007654,Total Unit Cost,1668.0320000000002
SO - 0005020,Total Unit Cost,548.328
SO - 0007871,Total Unit Cost,846.8800000000001
SO - 0004998,Total Unit Cost,537.608
SO - 0007780,Total Unit Cost,2181.5200000000004
SO - 000852,Total Unit Cost,1497.048
SO - 000378,Total Unit Cost,536.268
SO - 0005686,Total Unit Cost,2253.21
SO - 000489,Total Unit Cost,664.506
SO - 0008150,Total Unit Cost,1938.578
SO - 0005238,Total Unit Cost,534.66
SO - 0010134,Total Unit Cost,2121.9570000000003
SO - 0001193,Total Unit Cost,911.2
SO - 0006517,Total Unit Cost,134.402
SO - 0010476,Total Unit Cost,2026.08
SO - 0003133,Total Unit Cost,2999.188
SO - 0007447,Total Unit Cost,4311.115000000001
SO - 0002987,Total Unit Cost,333.794
SO - 0008635,Total Unit Cost,101.03600000000002
SO - 0003966,Total Unit Cost,4664.808
SO - 0009878,Total Unit Cost,3567.75
SO - 0005845,Total Unit Cost,1688.4
SO - 0003815,Total Unit Cost,2887.164
SO - 0010614,Total Unit Cost,530.841
SO - 0003281,Total Unit Cost,3580.7480000000005
SO - 0006341,Total Unit Cost,2826.864
SO - 0007071,Total Unit Cost,763.13
