ModYearReg,UnitSold,Lowercase,ModelID,YearID,RegID
"M4Y5NU",5,"m4y5nu","M4","Y5","NU"
"M5Y5NU",17,"m5y5nu","M5","Y5","NU"
"M6Y5NU",1,"m6y5nu","M6","Y5","NU"
"M7Y5NU",43,"m7y5nu","M7","Y5","NU"
"M8Y5NU",101,"m8y5nu","M8","Y5","NU"
"M1Y5NS",1509,"m1y5ns","M1","Y5","NS"
"M2Y5NS",1163,"m2y5ns","M2","Y5","NS"
"M3Y5NS",649,"m3y5ns","M3","Y5","NS"
"M4Y5NS",473,"m4y5ns","M4","Y5","NS"
"M5Y5NS",644,"m5y5ns","M5","Y5","NS"
"M6Y5NS",293,"m6y5ns","M6","Y5","NS"
"M7Y5NS",974,"m7y5ns","M7","Y5","NS"
"M8Y5NS",349,"m8y5ns","M8","Y5","NS"
"M1Y5NT",36,"m1y5nt","M1","Y5","NT"
"M2Y5NT",35,"m2y5nt","M2","Y5","NT"
"M3Y5NT",10,"m3y5nt","M3","Y5","NT"
"M4Y5NT",9,"m4y5nt","M4","Y5","NT"
"M5Y5NT",22,"m5y5nt","M5","Y5","NT"
"M6Y5NT",2,"m6y5nt","M6","Y5","NT"
"M7Y5NT",55,"m7y5nt","M7","Y5","NT"
"M8Y5NT",113,"m8y5nt","M8","Y5","NT"
"M1Y5ON",17564,"m1y5on","M1","Y5","ON"
"M2Y5ON",13761,"m2y5on","M2","Y5","ON"
"M3Y5ON",12431,"m3y5on","M3","Y5","ON"
"M4Y5ON",9874,"m4y5on","M4","Y5","ON"
"M5Y5ON",14021,"m5y5on","M5","Y5","ON"
"M6Y5ON",10958,"m6y5on","M6","Y5","ON"
"M7Y5ON",10121,"m7y5on","M7","Y5","ON"
"M8Y5ON",3154,"m8y5on","M8","Y5","ON"
"M1Y5PE",151,"m1y5pe","M1","Y5","PE"
"M2Y5PE",153,"m2y5pe","M2","Y5","PE"
"M3Y5PE",58,"m3y5pe","M3","Y5","PE"
"M4Y5PE",101,"m4y5pe","M4","Y5","PE"
"M5Y5PE",109,"m5y5pe","M5","Y5","PE"
"M6Y5PE",36,"m6y5pe","M6","Y5","PE"
"M7Y5PE",115,"m7y5pe","M7","Y5","PE"
"M8Y5PE",262,"m8y5pe","M8","Y5","PE"
"M1Y5QC",8479,"m1y5qc","M1","Y5","QC"
"M2Y5QC",8391,"m2y5qc","M2","Y5","QC"
"M3Y5QC",8547,"m3y5qc","M3","Y5","QC"
"M4Y5QC",6796,"m4y5qc","M4","Y5","QC"
"M5Y5QC",5761,"m5y5qc","M5","Y5","QC"
"M6Y5QC",4835,"m6y5qc","M6","Y5","QC"
"M7Y5QC",7431,"m7y5qc","M7","Y5","QC"
"M8Y5QC",2936,"m8y5qc","M8","Y5","QC"
"M1Y5SK",1906,"m1y5sk","M1","Y5","SK"
"M2Y5SK",1503,"m2y5sk","M2","Y5","SK"
"M3Y5SK",712,"m3y5sk","M3","Y5","SK"
"M4Y5SK",496,"m4y5sk","M4","Y5","SK"
"M5Y5SK",749,"m5y5sk","M5","Y5","SK"
"M6Y5SK",326,"m6y5sk","M6","Y5","SK"
"M7Y5SK",1046,"m7y5sk","M7","Y5","SK"
"M8Y5SK",743,"m8y5sk","M8","Y5","SK"
"M1Y5YT",37,"m1y5yt","M1","Y5","YT"
"M2Y5YT",37,"m2y5yt","M2","Y5","YT"
"M3Y5YT",13,"m3y5yt","M3","Y5","YT"
"M4Y5YT",5,"m4y5yt","M4","Y5","YT"
"M5Y5YT",23,"m5y5yt","M5","Y5","YT"
"M6Y5YT",1,"m6y5yt","M6","Y5","YT"
"M7Y5YT",48,"m7y5yt","M7","Y5","YT"
"M8Y5YT",95,"m8y5yt","M8","Y5","YT"
