Revenue Category,Revenue Item,variable,value
Taxation Revenue,Personal Income Tax,2020 Revenue.Actual                2017–18,32900
Taxation Revenue,Sales Taxes,2020 Revenue.Actual                2017–18,25923
Taxation Revenue,Corporations Tax,2020 Revenue.Actual                2017–18,15612
Taxation Revenue,Employer Health Tax,2020 Revenue.Actual                2017–18,6205
Taxation Revenue,Ontario Health Premium,2020 Revenue.Actual                2017–18,3672
Taxation Revenue,Gasoline Tax,2020 Revenue.Actual                2017–18,2701
Taxation Revenue,Land Transfer Tax,2020 Revenue.Actual                2017–18,3174
Taxation Revenue,Tobacco Tax,2020 Revenue.Actual                2017–18,1244
Taxation Revenue,Fuel Tax,2020 Revenue.Actual                2017–18,760
Taxation Revenue,"Beer, Wine and Spirits Taxes",2020 Revenue.Actual                2017–18,603
Taxation Revenue,Electricity Payments in Lieu of Taxes,2020 Revenue.Actual                2017–18,494
Taxation Revenue,Other Taxes,2020 Revenue.Actual                2017–18,552
Government of Canada,Canada Health Transfer,2020 Revenue.Actual                2017–18,14359
Government of Canada,Canada Social Transfer,2020 Revenue.Actual                2017–18,5314
Government of Canada,Equalization,2020 Revenue.Actual                2017–18,1424
Government of Canada,Infrastructure Programs,2020 Revenue.Actual                2017–18,1065
Government of Canada,Labour Market Programs,2020 Revenue.Actual                2017–18,969
Government of Canada,Other Federal Payments,2020 Revenue.Actual                2017–18,996
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,2020 Revenue.Actual                2017–18,1912
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,2020 Revenue.Actual                2017–18,1616
Other Non-Tax Revenue,Other Fees and Licences,2020 Revenue.Actual                2017–18,1029
Other Non-Tax Revenue,Reimbursements,2020 Revenue.Actual                2017–18,1000
Other Non-Tax Revenue,Royalties,2020 Revenue.Actual                2017–18,290
Other Non-Tax Revenue,Power Supply Contract Recoveries,2020 Revenue.Actual                2017–18,185
Other Non-Tax Revenue,Carbon Allowance Proceeds,2020 Revenue.Actual                2017–18,2401
Other Non-Tax Revenue,Electricity Debt Retirement Charge,2020 Revenue.Actual                2017–18,593
Other Non-Tax Revenue,Sales and Rentals,2020 Revenue.Actual                2017–18,2450
Taxation Revenue,Education Property Tax,2020 Revenue.Actual                2017–18,5883
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,2020 Revenue.Actual                2017–18,74
Government of Canada,Social Housing Agreement,2020 Revenue.Actual                2017–18,419
Income from Government Business Enterprises,Liquor Control Board of Ontario,2020 Revenue.Actual                2017–18,2207
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,2020 Revenue.Actual                2017–18,2487
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,2020 Revenue.Actual                2017–18,0
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,2020 Revenue.Actual                2017–18,314
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",2020 Revenue.Actual                2017–18,8309
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,2020 Revenue.Actual                2017–18,1464
Income from Government Business Enterprises,Ontario Cannabis Store,2020 Revenue.Actual                2017–18,-6
Taxation Revenue,Personal Income Tax,2020 Revenue.Actual                2018–19,35381
Taxation Revenue,Sales Taxes,2020 Revenue.Actual                2018–19,27804
Taxation Revenue,Corporations Tax,2020 Revenue.Actual                2018–19,16606
Taxation Revenue,Employer Health Tax,2020 Revenue.Actual                2018–19,6544
Taxation Revenue,Ontario Health Premium,2020 Revenue.Actual                2018–19,3819
Taxation Revenue,Gasoline Tax,2020 Revenue.Actual                2018–19,2709
Taxation Revenue,Land Transfer Tax,2020 Revenue.Actual                2018–19,2761
Taxation Revenue,Tobacco Tax,2020 Revenue.Actual                2018–19,1241
Taxation Revenue,Fuel Tax,2020 Revenue.Actual                2018–19,774
Taxation Revenue,"Beer, Wine and Spirits Taxes",2020 Revenue.Actual                2018–19,607
Taxation Revenue,Electricity Payments in Lieu of Taxes,2020 Revenue.Actual                2018–19,435
Taxation Revenue,Other Taxes,2020 Revenue.Actual                2018–19,653
Government of Canada,Canada Health Transfer,2020 Revenue.Actual                2018–19,14852
Government of Canada,Canada Social Transfer,2020 Revenue.Actual                2018–19,5451
Government of Canada,Equalization,2020 Revenue.Actual                2018–19,963
Government of Canada,Infrastructure Programs,2020 Revenue.Actual                2018–19,605
Government of Canada,Labour Market Programs,2020 Revenue.Actual                2018–19,1015
Government of Canada,Other Federal Payments,2020 Revenue.Actual                2018–19,1420
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,2020 Revenue.Actual                2018–19,1991
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,2020 Revenue.Actual                2018–19,1873
Other Non-Tax Revenue,Other Fees and Licences,2020 Revenue.Actual                2018–19,1088
Other Non-Tax Revenue,Reimbursements,2020 Revenue.Actual                2018–19,998
Other Non-Tax Revenue,Royalties,2020 Revenue.Actual                2018–19,251
Other Non-Tax Revenue,Power Supply Contract Recoveries,2020 Revenue.Actual                2018–19,173
Other Non-Tax Revenue,Carbon Allowance Proceeds,2020 Revenue.Actual                2018–19,472
Other Non-Tax Revenue,Electricity Debt Retirement Charge,2020 Revenue.Actual                2018–19,15
Other Non-Tax Revenue,Sales and Rentals,2020 Revenue.Actual                2018–19,1477
Taxation Revenue,Education Property Tax,2020 Revenue.Actual                2018–19,6171
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,2020 Revenue.Actual                2018–19,41
Government of Canada,Social Housing Agreement,2020 Revenue.Actual                2018–19,394
Income from Government Business Enterprises,Liquor Control Board of Ontario,2020 Revenue.Actual                2018–19,2276
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,2020 Revenue.Actual                2018–19,2464
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,2020 Revenue.Actual                2018–19,19
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,2020 Revenue.Actual                2018–19,390
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",2020 Revenue.Actual                2018–19,9237
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,2020 Revenue.Actual                2018–19,772
Income from Government Business Enterprises,Ontario Cannabis Store,2020 Revenue.Actual                2018–19,-42
Taxation Revenue,Personal Income Tax,2020 Revenue.Actual                  2019–20,37743
Taxation Revenue,Sales Taxes,2020 Revenue.Actual                  2019–20,28619
Taxation Revenue,Corporations Tax,2020 Revenue.Actual                  2019–20,15414
Taxation Revenue,Employer Health Tax,2020 Revenue.Actual                  2019–20,6731
Taxation Revenue,Ontario Health Premium,2020 Revenue.Actual                  2019–20,4059
Taxation Revenue,Gasoline Tax,2020 Revenue.Actual                  2019–20,2783
Taxation Revenue,Land Transfer Tax,2020 Revenue.Actual                  2019–20,3067
Taxation Revenue,Tobacco Tax,2020 Revenue.Actual                  2019–20,1118
Taxation Revenue,Fuel Tax,2020 Revenue.Actual                  2019–20,807
Taxation Revenue,"Beer, Wine and Spirits Taxes",2020 Revenue.Actual                  2019–20,582
Taxation Revenue,Electricity Payments in Lieu of Taxes,2020 Revenue.Actual                  2019–20,505
Taxation Revenue,Other Taxes,2020 Revenue.Actual                  2019–20,623
Government of Canada,Canada Health Transfer,2020 Revenue.Actual                  2019–20,15640
Government of Canada,Canada Social Transfer,2020 Revenue.Actual                  2019–20,5650
Government of Canada,Equalization,2020 Revenue.Actual                  2019–20,0
Government of Canada,Infrastructure Programs,2020 Revenue.Actual                  2019–20,400
Government of Canada,Labour Market Programs,2020 Revenue.Actual                  2019–20,1054
Government of Canada,Other Federal Payments,2020 Revenue.Actual                  2019–20,1756
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,2020 Revenue.Actual                  2019–20,2055
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,2020 Revenue.Actual                  2019–20,1222
Other Non-Tax Revenue,Other Fees and Licences,2020 Revenue.Actual                  2019–20,1156
Other Non-Tax Revenue,Reimbursements,2020 Revenue.Actual                  2019–20,1005
Other Non-Tax Revenue,Royalties,2020 Revenue.Actual                  2019–20,283
Other Non-Tax Revenue,Power Supply Contract Recoveries,2020 Revenue.Actual                  2019–20,122
Other Non-Tax Revenue,Carbon Allowance Proceeds,2020 Revenue.Actual                  2019–20,0
Other Non-Tax Revenue,Electricity Debt Retirement Charge,2020 Revenue.Actual                  2019–20,0
Other Non-Tax Revenue,Sales and Rentals,2020 Revenue.Actual                  2019–20,1369
Taxation Revenue,Education Property Tax,2020 Revenue.Actual                  2019–20,6179
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,2020 Revenue.Actual                  2019–20,30
Government of Canada,Social Housing Agreement,2020 Revenue.Actual                  2019–20,484
Income from Government Business Enterprises,Liquor Control Board of Ontario,2020 Revenue.Actual                  2019–20,2402
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,2020 Revenue.Actual                  2019–20,2309
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,2020 Revenue.Actual                  2019–20,48
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,2020 Revenue.Actual                  2019–20,414
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",2020 Revenue.Actual                  2019–20,9281
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,2020 Revenue.Actual                  2019–20,1167
Income from Government Business Enterprises,Ontario Cannabis Store,2020 Revenue.Actual                  2019–20,19
Taxation Revenue,Personal Income Tax,2020 Revenue.Current                  Outlook12020–21,36901
Taxation Revenue,Sales Taxes,2020 Revenue.Current                  Outlook12020–21,24879
Taxation Revenue,Corporations Tax,2020 Revenue.Current                  Outlook12020–21,9941
Taxation Revenue,Employer Health Tax,2020 Revenue.Current                  Outlook12020–21,6346
Taxation Revenue,Ontario Health Premium,2020 Revenue.Current                  Outlook12020–21,4007
Taxation Revenue,Gasoline Tax,2020 Revenue.Current                  Outlook12020–21,2379
Taxation Revenue,Land Transfer Tax,2020 Revenue.Current                  Outlook12020–21,3384
Taxation Revenue,Tobacco Tax,2020 Revenue.Current                  Outlook12020–21,1108
Taxation Revenue,Fuel Tax,2020 Revenue.Current                  Outlook12020–21,672
Taxation Revenue,"Beer, Wine and Spirits Taxes",2020 Revenue.Current                  Outlook12020–21,593
Taxation Revenue,Electricity Payments in Lieu of Taxes,2020 Revenue.Current                  Outlook12020–21,486
Taxation Revenue,Other Taxes,2020 Revenue.Current                  Outlook12020–21,561
Government of Canada,Canada Health Transfer,2020 Revenue.Current                  Outlook12020–21,16252
Government of Canada,Canada Social Transfer,2020 Revenue.Current                  Outlook12020–21,5832
Government of Canada,Equalization,2020 Revenue.Current                  Outlook12020–21,0
Government of Canada,Infrastructure Programs,2020 Revenue.Current                  Outlook12020–21,1013
Government of Canada,Labour Market Programs,2020 Revenue.Current                  Outlook12020–21,1091
Government of Canada,Other Federal Payments,2020 Revenue.Current                  Outlook12020–21,8434
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,2020 Revenue.Current                  Outlook12020–21,2061
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,2020 Revenue.Current                  Outlook12020–21,1377
Other Non-Tax Revenue,Other Fees and Licences,2020 Revenue.Current                  Outlook12020–21,1105
Other Non-Tax Revenue,Reimbursements,2020 Revenue.Current                  Outlook12020–21,961
Other Non-Tax Revenue,Royalties,2020 Revenue.Current                  Outlook12020–21,278
Other Non-Tax Revenue,Power Supply Contract Recoveries,2020 Revenue.Current                  Outlook12020–21,107
Other Non-Tax Revenue,Carbon Allowance Proceeds,2020 Revenue.Current                  Outlook12020–21,0
Other Non-Tax Revenue,Electricity Debt Retirement Charge,2020 Revenue.Current                  Outlook12020–21,0
Other Non-Tax Revenue,Sales and Rentals,2020 Revenue.Current                  Outlook12020–21,1045
Taxation Revenue,Education Property Tax,2020 Revenue.Current                  Outlook12020–21,6060
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,2020 Revenue.Current                  Outlook12020–21,28
Government of Canada,Social Housing Agreement,2020 Revenue.Current                  Outlook12020–21,331
Income from Government Business Enterprises,Liquor Control Board of Ontario,2020 Revenue.Current                  Outlook12020–21,2377
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,2020 Revenue.Current                  Outlook12020–21,200
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,2020 Revenue.Current                  Outlook12020–21,145
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,2020 Revenue.Current                  Outlook12020–21,407
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",2020 Revenue.Current                  Outlook12020–21,9740
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,2020 Revenue.Current                  Outlook12020–21,893
Income from Government Business Enterprises,Ontario Cannabis Store,2020 Revenue.Current                  Outlook12020–21,80
Taxation Revenue,Personal Income Tax,2019 Revenue.Actual 2016–17,30671
Taxation Revenue,Sales Taxes,2019 Revenue.Actual 2016–17,24750
Taxation Revenue,Corporations Tax,2019 Revenue.Actual 2016–17,14872
Taxation Revenue,Employer Health Tax,2019 Revenue.Actual 2016–17,5908
Taxation Revenue,Ontario Health Premium,2019 Revenue.Actual 2016–17,3575
Taxation Revenue,Gasoline Tax,2019 Revenue.Actual 2016–17,2626
Taxation Revenue,Land Transfer Tax,2019 Revenue.Actual 2016–17,2728
Taxation Revenue,Tobacco Tax,2019 Revenue.Actual 2016–17,1230
Taxation Revenue,Fuel Tax,2019 Revenue.Actual 2016–17,742
Taxation Revenue,"Beer, Wine and Spirits Taxes",2019 Revenue.Actual 2016–17,589
Taxation Revenue,Electricity Payments in Lieu of Taxes,2019 Revenue.Actual 2016–17,334
Taxation Revenue,Other Taxes,2019 Revenue.Actual 2016–17,453
Government of Canada,Canada Health Transfer,2019 Revenue.Actual 2016–17,13910
Government of Canada,Canada Social Transfer,2019 Revenue.Actual 2016–17,5146
Government of Canada,Equalization,2019 Revenue.Actual 2016–17,2304
Government of Canada,Infrastructure Programs,2019 Revenue.Actual 2016–17,732
Government of Canada,Labour Market Programs,2019 Revenue.Actual 2016–17,965
Government of Canada,Other Federal Payments,2019 Revenue.Actual 2016–17,761
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,2019 Revenue.Actual 2016–17,1727
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,2019 Revenue.Actual 2016–17,772
Other Non-Tax Revenue,Other Fees and Licences,2019 Revenue.Actual 2016–17,974
Other Non-Tax Revenue,Reimbursements,2019 Revenue.Actual 2016–17,988
Other Non-Tax Revenue,Royalties,2019 Revenue.Actual 2016–17,272
Other Non-Tax Revenue,Power Supply Contract Recoveries,2019 Revenue.Actual 2016–17,838
Other Non-Tax Revenue,Carbon Allowance Proceeds,2019 Revenue.Actual 2016–17,0
Other Non-Tax Revenue,Electricity Debt Retirement Charge,2019 Revenue.Actual 2016–17,621
Other Non-Tax Revenue,Sales and Rentals,2019 Revenue.Actual 2016–17,1999
Taxation Revenue,Education Property Tax,2019 Revenue.Actual 2016–17,5868
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,2019 Revenue.Actual 2016–17,129
Government of Canada,Social Housing Agreement,2019 Revenue.Actual 2016–17,441
Income from Government Business Enterprises,Liquor Control Board of Ontario,2019 Revenue.Actual 2016–17,2349
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,2019 Revenue.Actual 2016–17,2358
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,2019 Revenue.Actual 2016–17,0
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,2019 Revenue.Actual 2016–17,285
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",2019 Revenue.Actual 2016–17,7957
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,2019 Revenue.Actual 2016–17,860
Income from Government Business Enterprises,Ontario Cannabis Store,2019 Revenue.Actual 2016–17,0
Taxation Revenue,Personal Income Tax,2019 Revenue.Actual    2017–18,32900
Taxation Revenue,Sales Taxes,2019 Revenue.Actual    2017–18,25925
Taxation Revenue,Corporations Tax,2019 Revenue.Actual    2017–18,15612
Taxation Revenue,Employer Health Tax,2019 Revenue.Actual    2017–18,6205
Taxation Revenue,Ontario Health Premium,2019 Revenue.Actual    2017–18,3672
Taxation Revenue,Gasoline Tax,2019 Revenue.Actual    2017–18,2701
Taxation Revenue,Land Transfer Tax,2019 Revenue.Actual    2017–18,3174
Taxation Revenue,Tobacco Tax,2019 Revenue.Actual    2017–18,1244
Taxation Revenue,Fuel Tax,2019 Revenue.Actual    2017–18,760
Taxation Revenue,"Beer, Wine and Spirits Taxes",2019 Revenue.Actual    2017–18,601
Taxation Revenue,Electricity Payments in Lieu of Taxes,2019 Revenue.Actual    2017–18,494
Taxation Revenue,Other Taxes,2019 Revenue.Actual    2017–18,552
Government of Canada,Canada Health Transfer,2019 Revenue.Actual    2017–18,14359
Government of Canada,Canada Social Transfer,2019 Revenue.Actual    2017–18,5314
Government of Canada,Equalization,2019 Revenue.Actual    2017–18,1424
Government of Canada,Infrastructure Programs,2019 Revenue.Actual    2017–18,1065
Government of Canada,Labour Market Programs,2019 Revenue.Actual    2017–18,969
Government of Canada,Other Federal Payments,2019 Revenue.Actual    2017–18,996
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,2019 Revenue.Actual    2017–18,1912
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,2019 Revenue.Actual    2017–18,1640
Other Non-Tax Revenue,Other Fees and Licences,2019 Revenue.Actual    2017–18,1029
Other Non-Tax Revenue,Reimbursements,2019 Revenue.Actual    2017–18,1000
Other Non-Tax Revenue,Royalties,2019 Revenue.Actual    2017–18,290
Other Non-Tax Revenue,Power Supply Contract Recoveries,2019 Revenue.Actual    2017–18,185
Other Non-Tax Revenue,Carbon Allowance Proceeds,2019 Revenue.Actual    2017–18,2401
Other Non-Tax Revenue,Electricity Debt Retirement Charge,2019 Revenue.Actual    2017–18,593
Other Non-Tax Revenue,Sales and Rentals,2019 Revenue.Actual    2017–18,2426
Taxation Revenue,Education Property Tax,2019 Revenue.Actual    2017–18,5883
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,2019 Revenue.Actual    2017–18,74
Government of Canada,Social Housing Agreement,2019 Revenue.Actual    2017–18,419
Income from Government Business Enterprises,Liquor Control Board of Ontario,2019 Revenue.Actual    2017–18,2207
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,2019 Revenue.Actual    2017–18,2487
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,2019 Revenue.Actual    2017–18,0
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,2019 Revenue.Actual    2017–18,314
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",2019 Revenue.Actual    2017–18,8309
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,2019 Revenue.Actual    2017–18,1464
Income from Government Business Enterprises,Ontario Cannabis Store,2019 Revenue.Actual    2017–18,-6
Taxation Revenue,Personal Income Tax,2019 Revenue.Interim1 2018–19,34986
Taxation Revenue,Sales Taxes,2019 Revenue.Interim1 2018–19,27919
Taxation Revenue,Corporations Tax,2019 Revenue.Interim1 2018–19,15196
Taxation Revenue,Employer Health Tax,2019 Revenue.Interim1 2018–19,6588
Taxation Revenue,Ontario Health Premium,2019 Revenue.Interim1 2018–19,3806
Taxation Revenue,Gasoline Tax,2019 Revenue.Interim1 2018–19,2733
Taxation Revenue,Land Transfer Tax,2019 Revenue.Interim1 2018–19,2679
Taxation Revenue,Tobacco Tax,2019 Revenue.Interim1 2018–19,1267
Taxation Revenue,Fuel Tax,2019 Revenue.Interim1 2018–19,762
Taxation Revenue,"Beer, Wine and Spirits Taxes",2019 Revenue.Interim1 2018–19,612
Taxation Revenue,Electricity Payments in Lieu of Taxes,2019 Revenue.Interim1 2018–19,350
Taxation Revenue,Other Taxes,2019 Revenue.Interim1 2018–19,632
Government of Canada,Canada Health Transfer,2019 Revenue.Interim1 2018–19,14852
Government of Canada,Canada Social Transfer,2019 Revenue.Interim1 2018–19,5451
Government of Canada,Equalization,2019 Revenue.Interim1 2018–19,963
Government of Canada,Infrastructure Programs,2019 Revenue.Interim1 2018–19,779
Government of Canada,Labour Market Programs,2019 Revenue.Interim1 2018–19,997
Government of Canada,Other Federal Payments,2019 Revenue.Interim1 2018–19,1261
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,2019 Revenue.Interim1 2018–19,2046
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,2019 Revenue.Interim1 2018–19,1923
Other Non-Tax Revenue,Other Fees and Licences,2019 Revenue.Interim1 2018–19,1005
Other Non-Tax Revenue,Reimbursements,2019 Revenue.Interim1 2018–19,992
Other Non-Tax Revenue,Royalties,2019 Revenue.Interim1 2018–19,306
Other Non-Tax Revenue,Power Supply Contract Recoveries,2019 Revenue.Interim1 2018–19,183
Other Non-Tax Revenue,Carbon Allowance Proceeds,2019 Revenue.Interim1 2018–19,472
Other Non-Tax Revenue,Electricity Debt Retirement Charge,2019 Revenue.Interim1 2018–19,15
Other Non-Tax Revenue,Sales and Rentals,2019 Revenue.Interim1 2018–19,1347
Taxation Revenue,Education Property Tax,2019 Revenue.Interim1 2018–19,6005
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,2019 Revenue.Interim1 2018–19,41
Government of Canada,Social Housing Agreement,2019 Revenue.Interim1 2018–19,386
Income from Government Business Enterprises,Liquor Control Board of Ontario,2019 Revenue.Interim1 2018–19,2261
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,2019 Revenue.Interim1 2018–19,2311
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,2019 Revenue.Interim1 2018–19,17
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,2019 Revenue.Interim1 2018–19,322
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",2019 Revenue.Interim1 2018–19,9024
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,2019 Revenue.Interim1 2018–19,318
Income from Government Business Enterprises,Ontario Cannabis Store,2019 Revenue.Interim1 2018–19,-25
Taxation Revenue,Personal Income Tax,2019 Revenue.Plan2019–20,36600
Taxation Revenue,Sales Taxes,2019 Revenue.Plan2019–20,28076
Taxation Revenue,Corporations Tax,2019 Revenue.Plan2019–20,15171
Taxation Revenue,Employer Health Tax,2019 Revenue.Plan2019–20,6837
Taxation Revenue,Ontario Health Premium,2019 Revenue.Plan2019–20,4021
Taxation Revenue,Gasoline Tax,2019 Revenue.Plan2019–20,2766
Taxation Revenue,Land Transfer Tax,2019 Revenue.Plan2019–20,2877
Taxation Revenue,Tobacco Tax,2019 Revenue.Plan2019–20,1213
Taxation Revenue,Fuel Tax,2019 Revenue.Plan2019–20,776
Taxation Revenue,"Beer, Wine and Spirits Taxes",2019 Revenue.Plan2019–20,618
Taxation Revenue,Electricity Payments in Lieu of Taxes,2019 Revenue.Plan2019–20,488
Taxation Revenue,Other Taxes,2019 Revenue.Plan2019–20,540
Government of Canada,Canada Health Transfer,2019 Revenue.Plan2019–20,15646
Government of Canada,Canada Social Transfer,2019 Revenue.Plan2019–20,5653
Government of Canada,Equalization,2019 Revenue.Plan2019–20,0
Government of Canada,Infrastructure Programs,2019 Revenue.Plan2019–20,1043
Government of Canada,Labour Market Programs,2019 Revenue.Plan2019–20,1036
Government of Canada,Other Federal Payments,2019 Revenue.Plan2019–20,1386
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,2019 Revenue.Plan2019–20,2066
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,2019 Revenue.Plan2019–20,1230
Other Non-Tax Revenue,Other Fees and Licences,2019 Revenue.Plan2019–20,1080
Other Non-Tax Revenue,Reimbursements,2019 Revenue.Plan2019–20,981
Other Non-Tax Revenue,Royalties,2019 Revenue.Plan2019–20,287
Other Non-Tax Revenue,Power Supply Contract Recoveries,2019 Revenue.Plan2019–20,125
Other Non-Tax Revenue,Carbon Allowance Proceeds,2019 Revenue.Plan2019–20,0
Other Non-Tax Revenue,Electricity Debt Retirement Charge,2019 Revenue.Plan2019–20,0
Other Non-Tax Revenue,Sales and Rentals,2019 Revenue.Plan2019–20,1590
Taxation Revenue,Education Property Tax,2019 Revenue.Plan2019–20,6085
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,2019 Revenue.Plan2019–20,30
Government of Canada,Social Housing Agreement,2019 Revenue.Plan2019–20,359
Income from Government Business Enterprises,Liquor Control Board of Ontario,2019 Revenue.Plan2019–20,2339
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,2019 Revenue.Plan2019–20,2414
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,2019 Revenue.Plan2019–20,70
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,2019 Revenue.Plan2019–20,330
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",2019 Revenue.Plan2019–20,9364
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,2019 Revenue.Plan2019–20,1058
Income from Government Business Enterprises,Ontario Cannabis Store,2019 Revenue.Plan2019–20,10
Taxation Revenue,Personal Income Tax,2018 Revenue.2015–16,31141.0
Taxation Revenue,Sales Taxes,2018 Revenue.2015–16,23455.0
Taxation Revenue,Corporations Tax,2018 Revenue.2015–16,11428.0
Taxation Revenue,Employer Health Tax,2018 Revenue.2015–16,5649.0
Taxation Revenue,Ontario Health Premium,2018 Revenue.2015–16,3453.0
Taxation Revenue,Gasoline Tax,2018 Revenue.2015–16,2459.0
Taxation Revenue,Land Transfer Tax,2018 Revenue.2015–16,2118.0
Taxation Revenue,Tobacco Tax,2018 Revenue.2015–16,1226.0
Taxation Revenue,Fuel Tax,2018 Revenue.2015–16,751.0
Taxation Revenue,"Beer, Wine and Spirits Taxes",2018 Revenue.2015–16,582.0
Taxation Revenue,Electricity Payments in Lieu of Taxes,2018 Revenue.2015–16,3247.0
Taxation Revenue,Other Taxes,2018 Revenue.2015–16,470.0
Government of Canada,Canada Health Transfer,2018 Revenue.2015–16,13089.0
Government of Canada,Canada Social Transfer,2018 Revenue.2015–16,4984.0
Government of Canada,Equalization,2018 Revenue.2015–16,2363.0
Government of Canada,Infrastructure Programs,2018 Revenue.2015–16,146.0
Government of Canada,Labour Market Programs,2018 Revenue.2015–16,927.0
Government of Canada,Other Federal Payments,2018 Revenue.2015–16,893.0
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,2018 Revenue.2015–16,1565.0
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,2018 Revenue.2015–16,985.0
Other Non-Tax Revenue,Other Fees and Licences,2018 Revenue.2015–16,964.0
Other Non-Tax Revenue,Reimbursements,2018 Revenue.2015–16,991.0
Other Non-Tax Revenue,Royalties,2018 Revenue.2015–16,274.0
Other Non-Tax Revenue,Power Supply Contract Recoveries,2018 Revenue.2015–16,875.0
Other Non-Tax Revenue,Carbon Allowance Proceeds,2018 Revenue.2015–16,0.0
Other Non-Tax Revenue,Electricity Debt Retirement Charge,2018 Revenue.2015–16,859.0
Other Non-Tax Revenue,Sales and Rentals,2018 Revenue.2015–16,2102.0
Taxation Revenue,Education Property Tax,2018 Revenue.2015–16,5839.0
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,2018 Revenue.2015–16,172.0
Government of Canada,Social Housing Agreement,2018 Revenue.2015–16,455.0
Income from Government Business Enterprises,Liquor Control Board of Ontario,2018 Revenue.2015–16,1956.0
