2017 Expenses.Category,2017 Expenses.SubCategory,2018FullCategory,2018FullSubCategory,2018 Expenses.Category,2018 Expenses.Subcategory,FullCategory,FullSubCategory,variable,value
,,"Labour, Training and Skills Development", Demand-Driven Employment and Training Programs,,,"Labour, Training and Skills Development", Demand-Driven Employment and Training Programs,2021 Expenses.Actual                 2018–19,943.0
,,"Labour, Training and Skills Development", Co-op Education and Apprenticeship Tax Credits13,,,"Labour, Training and Skills Development", Co-op Education and Apprenticeship Tax Credits13,2021 Expenses.Actual                 2018–19,
,,"Labour, Training and Skills Development (Base)",,"Labour, Training and Skills Development (Total)",,"Labour, Training and Skills Development (Base)",,2021 Expenses.Actual                 2018–19,1301.0
,,"Labour, Training and Skills Development (Base)",,"Labour, Training and Skills Development (Total)",,"Labour, Training and Skills Development (Base)",,2021 Expenses.Actual                 2018–19,175.0
,,"Labour, Training and Skills Development14 (Total)",,"Labour, Training and Skills Development (Total)",,"Labour, Training and Skills Development14 (Total)",,2021 Expenses.Actual                 2018–19,1301.0
,,"Labour, Training and Skills Development14 (Total)",,"Labour, Training and Skills Development (Total)",,"Labour, Training and Skills Development14 (Total)",,2021 Expenses.Actual                 2018–19,175.0
,,Long-Term Care (Total),,Health and Long-Term Care (Total),,Long-Term Care (Total),,2021 Expenses.Actual                 2018–19,4329.0
,,Municipal Affairs and Housing, COVID‑19 Time-Limited Funding32,,,Municipal Affairs and Housing, COVID‑19 Time-Limited Funding32,2021 Expenses.Actual                 2018–19,0.0
,,Municipal Affairs and Housing, Social Housing Agreement – Payments to Service Managers15,,,Municipal Affairs and Housing, Social Housing Agreement – Payments to Service Managers15,2021 Expenses.Actual                 2018–19,367.0
,,Municipal Affairs and Housing, Safe Restart Agreement,,,Municipal Affairs and Housing, Safe Restart Agreement,2021 Expenses.Actual                 2018–19,0.0
,,Municipal Affairs and Housing (Base),,Municipal Affairs/Housing (Base),,Municipal Affairs and Housing (Base),,2021 Expenses.Actual                 2018–19,1477.0
,,Municipal Affairs and Housing (Base),,Municipal Affairs/Housing (Base),,Municipal Affairs and Housing (Base),,2021 Expenses.Actual                 2018–19,1477.0
,,Municipal Affairs and Housing (Base),,Municipal Affairs/Housing (Base),,Municipal Affairs and Housing (Base),,2021 Expenses.Actual                 2018–19,474.0
,,Municipal Affairs and Housing (Base),,Municipal Affairs/Housing (Base),,Municipal Affairs and Housing (Base),,2021 Expenses.Actual                 2018–19,474.0
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,2021 Expenses.Actual                 2018–19,500.0
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,2021 Expenses.Actual                 2018–19,708.0
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,2021 Expenses.Actual                 2018–19,500.0
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,2021 Expenses.Actual                 2018–19,708.0
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,2021 Expenses.Actual                 2018–19,500.0
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,2021 Expenses.Actual                 2018–19,708.0
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,2021 Expenses.Actual                 2018–19,708.0
,,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Base),,2021 Expenses.Actual                 2018–19,500.0
,,PRRT Savings,,PRRT Savings,,,,2021 Expenses.Actual                 2018–19,
,,Seniors and Accessibility, Time-Limited Investments,,,Seniors and Accessibility, Time-Limited Investments,2021 Expenses.Actual                 2018–19,0.0
,,Seniors and Accessibility, COVID‑19 Time-Limited Funding33,,,Seniors and Accessibility, COVID‑19 Time-Limited Funding33,2021 Expenses.Actual                 2018–19,0.0
,,Seniors and Accessibility (Base),,,,Seniors and Accessibility (Base),,2021 Expenses.Actual                 2018–19,51.0
,,Seniors and Accessibility (Total),,,,Seniors and Accessibility (Total),,2021 Expenses.Actual                 2018–19,51.0
,,Solicitor    General, COVID‑19 Time-Limited Funding34,,,Solicitor    General, COVID‑19 Time-Limited Funding34,2021 Expenses.Actual                 2018–19,0.0
,,Solicitor    General (Base),,,,Solicitor    General (Base),,2021 Expenses.Actual                 2018–19,2670.0
,,Solicitor General (Total),,,,Solicitor General (Total),,2021 Expenses.Actual                 2018–19,2670.0
,,"Tourism, Culture and Sport", Time-Limited Funding: Ontario 150 and Pan/Parapan American Games,,,"Tourism, Culture and Sport", Time-Limited Funding: Ontario 150 and Pan/Parapan American Games,2021 Expenses.Actual                 2018–19,
,,Transportation, COVID‑19 Time-Limited Funding36,,,Transportation, COVID‑19 Time-Limited Funding36,2021 Expenses.Actual                 2018–19,0.0
,,Transportation, Federal–Provincial Infrastructure Programs,,,Transportation, Federal–Provincial Infrastructure Programs,2021 Expenses.Actual                 2018–19,297.0
,,Transportation, Safe Restart Agreement,,,Transportation, Safe Restart Agreement,2021 Expenses.Actual                 2018–19,0.0
,,Transportation (Base),,Transportation (Base),,Transportation (Base),,2021 Expenses.Actual                 2018–19,4536.0
,,Treasury Board Secretariat, COVID‑19 Time-Limited Funding38,,,Treasury Board Secretariat, COVID‑19 Time-Limited Funding38,2021 Expenses.Actual                 2018–19,0.0
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,2021 Expenses.Actual                 2018–19,227.0
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,2021 Expenses.Actual                 2018–19,1392.0
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,2021 Expenses.Actual                 2018–19,1392.0
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,2021 Expenses.Actual                 2018–19,1392.0
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,2021 Expenses.Actual                 2018–19,227.0
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,2021 Expenses.Actual                 2018–19,227.0
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Base),,2021 Expenses.Actual                 2018–19,227.0
,,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,2021 Expenses.Actual                 2018–19,1392.0
,,Executive Offices, Disaster Relief,Executive Offices, Disaster Relief,,,2021 Expenses.Actual                 2018–19,
,,Indigenous Affairs, One-Time Investments including Settlements,Indigenous Affairs, One-Time Investments including Settlements,Indigenous Affairs, One-Time Investments including Settlements,2021 Expenses.Actual                 2018–19,215.0
Accessibility Directorate of Ontario (Total),,Accessibility Directorate of Ontario (Total),,Accessibility Directorate of Ontario (Total),,,,2021 Expenses.Actual                 2018–19,
Advanced Education and Skills Development (Total),,Advanced Education and Skills Development (Total),,Advanced Education and Skills Development (Total),,,,2021 Expenses.Actual                 2018–19,
"Agriculture, Food and Rural Affairs",Time-Limited Investments in Infrastructure,"Agriculture, Food and Rural Affairs", Time-Limited Investments in Infrastructure,"Agriculture, Food and Rural Affairs", Time-Limited Investments in Infrastructure,"Agriculture, Food and Rural Affairs", Time-Limited Investments in Infrastructure,2021 Expenses.Actual                 2018–19,
Attorney General (Total),,Attorney General (Total),,Attorney General (Total),,Attorney General (Total),,2021 Expenses.Actual                 2018–19,1774.0
"Children, Community and Social Services",Time-Limited Investments in Affordable and Supportive Housing,"Children, Community and Social Services", Time-Limited Investments in Affordable and Supportive Housing,"Children, Community and Social Services", Time-Limited Investments in Affordable and Supportive Housing,,,2021 Expenses.Actual                 2018–19,
"Children, Community and Social Services (Total)",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Base)",,"Children, Community and Social Services (Total)",,2021 Expenses.Actual                 2018–19,16782.0
"Children, Community and Social Services",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Base)",,"Children, Community and Social Services (Total)",,2021 Expenses.Actual                 2018–19,16782.0
"Children, Community and Social Services (Total)",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Total)",,"Children, Community and Social Services (Total)",,2021 Expenses.Actual                 2018–19,16782.0
"Children, Community and Social Services",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Total)",,"Children, Community and Social Services (Total)",,2021 Expenses.Actual                 2018–19,16782.0
"Children, Community and Social Services (Total)",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Total)",,"Children, Community and Social Services (Total)",,2021 Expenses.Actual                 2018–19,16782.0
"Children, Community and Social Services",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Total)",,"Children, Community and Social Services (Total)",,2021 Expenses.Actual                 2018–19,16782.0
"Children, Community and Social Services (Total)",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Base)",,"Children, Community and Social Services (Total)",,2021 Expenses.Actual                 2018–19,16782.0
"Children, Community and Social Services",,"Children, Community and Social Services (Total)",,"Children, Community and Social Services(Base)",,"Children, Community and Social Services (Total)",,2021 Expenses.Actual                 2018–19,16782.0
Citizenship and Immigration (Total),,Citizenship and Immigration (Total),,Citizenship and Immigration (Total),,,,2021 Expenses.Actual                 2018–19,
Community Safety and Correctional Services,Time-Limited Support for 2015 Pan/Parapan American Games Security,Community Safety and Correctional Services, Time-Limited Support for 2015 Pan/Parapan American Games Security,Community Safety and Correctional Services, Time-Limited Support for 2015 Pan/Parapan American Games Security,,,2021 Expenses.Actual                 2018–19,
Community Safety and Correctional Services (Total),,Community Safety and Correctional Services (Total),,Community Safety and Correctional Services (Total),,,,2021 Expenses.Actual                 2018–19,
Education (Total),,Education (Total),,Education (Total),,Education (Total),,2021 Expenses.Actual                 2018–19,30420.0
"Energy, Northern Development and Mines",Ontario Clean Energy Benefit,"Energy, Northern Development and Mines", Ontario Clean Energy Benefit,"Energy, Northern Development and Mines", Ontario Clean Energy Benefit,,,2021 Expenses.Actual                 2018–19,
"Energy, Northern Development and Mines",Strategic Asset Management and Transformation Related to Hydro One,"Energy, Northern Development and Mines", Strategic Asset Management and Transformation Related to Hydro One,"Energy, Northern Development and Mines", Strategic Asset Management and Transformation Related to Hydro One,,,2021 Expenses.Actual                 2018–19,
"Energy, Northern Development and Mines",Electricity Cost Relief Programs,"Energy, Northern Development and Mines", Electricity Cost Relief Programs,"Energy, Northern Development and Mines", Electricity Cost Relief Programs,"Energy, Northern Development and Mines", Electricity Cost Relief Programs,2021 Expenses.Actual                 2018–19,4243.0
"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,2021 Expenses.Actual                 2018–19,5604.0
Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,2021 Expenses.Actual                 2018–19,5604.0
"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,2021 Expenses.Actual                 2018–19,5604.0
Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,2021 Expenses.Actual                 2018–19,5604.0
"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Base)",,"Energy, Northern Development and Mines (Total)",,2021 Expenses.Actual                 2018–19,5604.0
Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Base)",,"Energy, Northern Development and Mines (Total)",,2021 Expenses.Actual                 2018–19,5604.0
"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,2021 Expenses.Actual                 2018–19,5604.0
Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,2021 Expenses.Actual                 2018–19,5604.0
"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,2021 Expenses.Actual                 2018–19,5604.0
Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,2021 Expenses.Actual                 2018–19,5604.0
"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Base)",,"Energy, Northern Development and Mines (Total)",,2021 Expenses.Actual                 2018–19,5604.0
Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Base)",,"Energy, Northern Development and Mines (Total)",,2021 Expenses.Actual                 2018–19,5604.0
Executive Offices,Time-Limited Assistance,Executive Offices, Time-Limited Assistance,,,Executive Offices, Time-Limited Assistance,2021 Expenses.Actual                 2018–19,0.0
Executive Offices (Total),,Executive Offices (Total),,Executive Offices (Total),,Executive Offices (Total),,2021 Expenses.Actual                 2018–19,33.0
Executive Offices (Total),,Executive Offices (Total),,Executive Offices (Total),,Executive Offices (Total),,2021 Expenses.Actual                 2018–19,33.0
Finance,Ontario Municipal Partnership Fund,Finance, Ontario Municipal Partnership Fund,Finance, Ontario Municipal Partnership Fund,Finance, Ontario Municipal Partnership Fund,2021 Expenses.Actual                 2018–19,510.0
Finance,Power Supply Contract Costs,Finance, Power Supply Contract Costs,Finance, Power Supply Contract Costs,Finance, Power Supply Contract Costs,2021 Expenses.Actual                 2018–19,173.0
Finance (Total),,Finance (Total),,Finance (Total),,Finance (Total),,2021 Expenses.Actual                 2018–19,1633.0
Government and Consumer Services (Total),,Government and Consumer Services (Total),,Government and Consumer Services (Total),,Government and Consumer Services (Total),,2021 Expenses.Actual                 2018–19,1718.0
Government and Consumer Services (Total),,Government and Consumer Services (Total),,Government and Consumer Services (Total),,Government and Consumer Services (Total),,2021 Expenses.Actual                 2018–19,706.0
Infrastructure,Federal–Provincial Infrastructure Programs,Infrastructure, Federal–Provincial Infrastructure Programs,Infrastructure, Federal–Provincial Infrastructure Programs,Infrastructure, Federal–Provincial Infrastructure Programs,2021 Expenses.Actual                 2018–19,352.0
Infrastructure (Total),,Infrastructure (Total),,Infrastructure (Total),,Infrastructure (Total),,2021 Expenses.Actual                 2018–19,512.0
International Trade (Total),,International Trade (Total),,International Trade (Total),,,,2021 Expenses.Actual                 2018–19,
Municipal Affairs / Housing,"Time-Limited Investments in Municipal, Social and  Affordable Housing",Municipal Affairs/Housing," Time-Limited Investments in Municipal, Social and Affordable Housing",Municipal Affairs/Housing," Time-Limited Investments in Municipal, Social and Affordable Housing",,,2021 Expenses.Actual                 2018–19,
Natural Resources and Forestry,Emergency Forest Firefighting,Natural Resources and Forestry, Emergency Forest Firefighting,,,Natural Resources and Forestry, Emergency Forest Firefighting,2021 Expenses.Actual                 2018–19,208.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,2021 Expenses.Actual                 2018–19,708.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,2021 Expenses.Actual                 2018–19,708.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,2021 Expenses.Actual                 2018–19,500.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,2021 Expenses.Actual                 2018–19,500.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,2021 Expenses.Actual                 2018–19,708.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,2021 Expenses.Actual                 2018–19,708.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,2021 Expenses.Actual                 2018–19,500.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,2021 Expenses.Actual                 2018–19,500.0
Seniors Affairs (Total),,Seniors Affairs (Total),,Seniors Affairs (Total),,,,2021 Expenses.Actual                 2018–19,
Status of Women (Total),,Status of Women (Total),,Status of Women (Total),,,,2021 Expenses.Actual                 2018–19,
Total Expense,,Total Expense,,Total Expense,,Total Expense,,2021 Expenses.Actual                 2018–19,161135.0
Transportation,Time-Limited Investments in Infrastructure,Transportation, Time-Limited Investments in Infrastructure,Transportation, Time-Limited Investments in Infrastructure,,,2021 Expenses.Actual                 2018–19,
Transportation (Total),,Transportation (Total),,Transportation (Total),,Transportation (Total),,2021 Expenses.Actual                 2018–19,4833.0
Treasury Board Secretariat,Capital Contingency Fund,Treasury Board Secretariat, Capital Contingency Fund,Treasury Board Secretariat, Capital Contingency Fund,Treasury Board Secretariat, Capital Contingency Fund,2021 Expenses.Actual                 2018–19,0.0
Treasury Board Secretariat,Operating Contingency Fund,Treasury Board Secretariat, Operating Contingency Fund,Treasury Board Secretariat, Operating Contingency Fund,Treasury Board Secretariat, Operating Contingency Fund,2021 Expenses.Actual                 2018–19,0.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,2021 Expenses.Actual                 2018–19,1392.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,2021 Expenses.Actual                 2018–19,1392.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,2021 Expenses.Actual                 2018–19,1392.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,2021 Expenses.Actual                 2018–19,227.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,2021 Expenses.Actual                 2018–19,227.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,2021 Expenses.Actual                 2018–19,227.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,2021 Expenses.Actual                 2018–19,227.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,2021 Expenses.Actual                 2018–19,1392.0
Treasury Board Secretariat,Employee and Pensioner Benefits,Treasury Board Secretariat, Employee and Pensioner Benefits17,Treasury Board Secretariat, Employee and Pensioner Benefits,Treasury Board Secretariat, Employee and Pensioner Benefits17,2021 Expenses.Actual                 2018–19,1165.0
Board of Internal Economy1 (Total),,Board of Internal Economy (Total),,Board of Internal Economy (Total),,Board of Internal Economy (Total),,2021 Expenses.Actual                 2018–19,371.0
Year-End Savings4,,Year-End Savings,,Year-End Savings2,,Year-End Savings,,2021 Expenses.Actual                 2018–19,
Education,Teachers’ Pension Plan2,Education, Teachers’ Pension Plan,Education, Teachers’ Pension Plan,Education, Teachers’ Pension Plan,2021 Expenses.Actual                 2018–19,1678.0
Municipal Affairs / Housing,Time-Limited Investments,Municipal Affairs and Housing, Time-Limited Investments,Municipal Affairs/Housing, Time-Limited Investments,Municipal Affairs and Housing, Time-Limited Investments,2021 Expenses.Actual                 2018–19,636.0
Interest on Debt3,,Interest on Debt18,,Interest on Debt1,,Interest on Debt18,,2021 Expenses.Actual                 2018–19,12384.0
Municipal Affairs / Housing (Total),,Municipal Affairs and Housing (Total),,Municipal Affairs/Housing (Total),,Municipal Affairs and Housing (Total),,2021 Expenses.Actual                 2018–19,474.0
Municipal Affairs / Housing (Total),,Municipal Affairs and Housing (Total),,Municipal Affairs/Housing (Total),,Municipal Affairs and Housing (Total),,2021 Expenses.Actual                 2018–19,474.0
Municipal Affairs / Housing (Total),,Municipal Affairs and Housing (Total),,Municipal Affairs/Housing (Total),,Municipal Affairs and Housing (Total),,2021 Expenses.Actual                 2018–19,1477.0
Municipal Affairs / Housing (Total),,Municipal Affairs and Housing (Total),,Municipal Affairs/Housing (Total),,Municipal Affairs and Housing (Total),,2021 Expenses.Actual                 2018–19,1477.0
"Tourism, Culture and Sport",Time-Limited Investments to Support 2015 Pan/Parapan  American Games,"Heritage, Sport, Tourism and Culture Industries", Time-Limited Investments to Support 2015 Pan/Parapan American Games,"Heritage, Sport, Tourism and Culture Industries", Time-Limited Investments to Support 2015 Pan/Parapan American Games,,,2021 Expenses.Actual                 2018–19,
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Total)5",,"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Total)5",,2021 Expenses.Actual                 2018–19,1064.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Total)5",,"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Total)5",,2021 Expenses.Actual                 2018–19,1064.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,2021 Expenses.Actual                 2018–19,328.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,2021 Expenses.Actual                 2018–19,1064.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,2021 Expenses.Actual                 2018–19,1064.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,2021 Expenses.Actual                 2018–19,1064.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,2021 Expenses.Actual                 2018–19,328.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,2021 Expenses.Actual                 2018–19,328.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,2021 Expenses.Actual                 2018–19,328.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,2021 Expenses.Actual                 2018–19,1064.0
Community Safety and Correctional Services (Total),,Community Safety and Correctional Services (Base),,Community Safety and Correctional Services (Base),,,,2021 Expenses.Actual                 2018–19,
Government and Consumer Services (Total),,Government and Consumer Services, Realty,Government and Consumer Services (Total),,Government and Consumer Services, Realty,2021 Expenses.Actual                 2018–19,1012.0
Government and Consumer Services (Total),,Government and Consumer Services (Base),,Government and Consumer Services (Total),,Government and Consumer Services (Base),,2021 Expenses.Actual                 2018–19,1718.0
Government and Consumer Services (Total),,Government and Consumer Services (Base),,Government and Consumer Services (Total),,Government and Consumer Services (Base),,2021 Expenses.Actual                 2018–19,706.0
"Agriculture, Food and Rural Affairs","Agriculture, Food and Rural Affairs (Base)",,,,,,,2021 Expenses.Actual                 2018–19,
"Agriculture, Food and Rural Affairs",Time-Limited Assistance,,,,,,,2021 Expenses.Actual                 2018–19,
"Children, Community and Social Services",Community and Social Services (Base),,,,,,,2021 Expenses.Actual                 2018–19,
Community Safety and Correctional Services,Community Safety and Correctional  Services (Base),,,,,,,2021 Expenses.Actual                 2018–19,
"Economic Development and Growth / Research, Innovation and Science","Economic Development and Growth / Research, Innovation and Science (Base)",,,,,,,2021 Expenses.Actual                 2018–19,
"Economic Development and Growth / Research, Innovation and Science",Green Investment Fund Initiatives,,,,,,,2021 Expenses.Actual                 2018–19,
"Economic Development and Growth / Research, Innovation and Science (Total)",,,,,,,,2021 Expenses.Actual                 2018–19,
Education,Education (Base),,,,,,,2021 Expenses.Actual                 2018–19,
"Energy, Northern Development and Mines",Energy (Base),,,,,,,2021 Expenses.Actual                 2018–19,
"Energy, Northern Development and Mines",Green Investment Fund Initiatives,,,,,,,2021 Expenses.Actual                 2018–19,
Environment and Climate Change,Environment and Climate Change (Base),,,,,,,2021 Expenses.Actual                 2018–19,
Environment and Climate Change,Green Investment Fund Initiatives,,,,,,,2021 Expenses.Actual                 2018–19,
Environment and Climate Change (Total),,,,,,,,2021 Expenses.Actual                 2018–19,
Executive Offices,Executive Offices (Base),,,,,,,2021 Expenses.Actual                 2018–19,
Finance,Finance (Base),,,,,,,2021 Expenses.Actual                 2018–19,
"Francophone Affairs, Office of (Total)",,,,,,,,2021 Expenses.Actual                 2018–19,
Health and Long-Term Care,Health and Long-Term Care (Base),,,,,,,2021 Expenses.Actual                 2018–19,
Health and Long-Term Care,Time-Limited Investments in Affordable and Supportive Housing,,,,,,,2021 Expenses.Actual                 2018–19,
Health and Long-Term Care (Total),,,,,,,,2021 Expenses.Actual                 2018–19,
Indigenous Relations and Reconciliation,Indigenous Relations and Reconciliation (Base),,,,,,,2021 Expenses.Actual                 2018–19,
Indigenous Relations and Reconciliation,Green Investment Fund Initiatives,,,,,,,2021 Expenses.Actual                 2018–19,
Indigenous Relations and Reconciliation,One-Time Investments including Settlements,,,,,,,2021 Expenses.Actual                 2018–19,
Indigenous Relations and Reconciliation (Total),,,,,,,,2021 Expenses.Actual                 2018–19,
Infrastructure,Infrastructure (Base),,,,,,,2021 Expenses.Actual                 2018–19,
Labour (Total),,,,,,,,2021 Expenses.Actual                 2018–19,
Municipal Affairs / Housing,Municipal Affairs / Housing (Base),,,,,,,2021 Expenses.Actual                 2018–19,
Municipal Affairs / Housing,Green Investment Fund Initiatives,,,,,,,2021 Expenses.Actual                 2018–19,
Natural Resources and Forestry,Natural Resources and Forestry (Base),,,,,,,2021 Expenses.Actual                 2018–19,
"Tourism, Culture and Sport","Tourism, Culture and Sport (Base)",,,,,,,2021 Expenses.Actual                 2018–19,
"Tourism, Culture and Sport (Total)",,,,,,,,2021 Expenses.Actual                 2018–19,
Transportation,Transportation (Base),,,,,,,2021 Expenses.Actual                 2018–19,
Transportation,Green Investment Fund Initiatives,,,,,,,2021 Expenses.Actual                 2018–19,
Treasury Board Secretariat,Treasury Board Secretariat (Base),,,,,,,2021 Expenses.Actual                 2018–19,
,,"Agriculture, Food and Rural Affairs", COVID‑19 Time-Limited Funding6,,,"Agriculture, Food and Rural Affairs", COVID‑19 Time-Limited Funding6,2021 Expenses.Actual                 2019–20,0.0
,,"Agriculture, Food and Rural Affairs", Federal-Provincial Infrastructure Programs,,,"Agriculture, Food and Rural Affairs", Federal-Provincial Infrastructure Programs,2021 Expenses.Actual                 2019–20,94.0
,,"Agriculture, Food and Rural Affairs", Municipal Infrastructure Program Investments3,,,"Agriculture, Food and Rural Affairs", Municipal Infrastructure Program Investments3,2021 Expenses.Actual                 2019–20,222.0
