Year,variable,value
Attribute,2016-01-01 00:00:00.000.9,Fuel Tax
Revenue,2016-01-01 00:00:00.000.9,751
Attribute,2016-01-01 00:00:00.000.10,"Beer, Wine and Spirits Taxes"
Revenue,2016-01-01 00:00:00.000.10,582
Attribute,2016-01-01 00:00:00.000.11,Electricity Payments in Lieu of Taxes
Revenue,2016-01-01 00:00:00.000.11,3247
Attribute,2016-01-01 00:00:00.000.12,Other Taxes
Revenue,2016-01-01 00:00:00.000.12,470
Attribute,2016-01-01 00:00:00.000.13,Canada Health Transfer
Revenue,2016-01-01 00:00:00.000.13,13089
Attribute,2016-01-01 00:00:00.000.14,Canada Social Transfer
Revenue,2016-01-01 00:00:00.000.14,4984
Attribute,2016-01-01 00:00:00.000.15,Equalization
Revenue,2016-01-01 00:00:00.000.15,2363
Attribute,2016-01-01 00:00:00.000.16,Infrastructure Programs
Revenue,2016-01-01 00:00:00.000.16,146
Attribute,2016-01-01 00:00:00.000.17,Labour Market Programs
Revenue,2016-01-01 00:00:00.000.17,927
Attribute,2016-01-01 00:00:00.000.18,Other Federal Payments
Revenue,2016-01-01 00:00:00.000.18,893
Attribute,2016-01-01 00:00:00.000.19,Vehicle and Driver Registration Fees
Revenue,2016-01-01 00:00:00.000.19,1565
Attribute,2016-01-01 00:00:00.000.20,Miscellaneous Other Non-Tax Revenue
Revenue,2016-01-01 00:00:00.000.20,985
Attribute,2016-01-01 00:00:00.000.21,Other Fees and Licences
Revenue,2016-01-01 00:00:00.000.21,964
Attribute,2016-01-01 00:00:00.000.22,Reimbursements
Revenue,2016-01-01 00:00:00.000.22,991
Attribute,2016-01-01 00:00:00.000.23,Royalties
Revenue,2016-01-01 00:00:00.000.23,274
Attribute,2016-01-01 00:00:00.000.24,Power Supply Contract Recoveries
Revenue,2016-01-01 00:00:00.000.24,875
Attribute,2016-01-01 00:00:00.000.25,Carbon Allowance Proceeds
Revenue,2016-01-01 00:00:00.000.25,0
Attribute,2016-01-01 00:00:00.000.26,Electricity Debt Retirement Charge
Revenue,2016-01-01 00:00:00.000.26,859
Attribute,2016-01-01 00:00:00.000.27,Sales and Rentals
Revenue,2016-01-01 00:00:00.000.27,2102
Attribute,2016-01-01 00:00:00.000.28,Education Property Tax
Revenue,2016-01-01 00:00:00.000.28,5839
Attribute,2016-01-01 00:00:00.000.29,Net Reduction of Power Purchase Contracts
Revenue,2016-01-01 00:00:00.000.29,172
Attribute,2016-01-01 00:00:00.000.30,Social Housing Agreement
Revenue,2016-01-01 00:00:00.000.30,455
Attribute,2016-01-01 00:00:00.000.31,Liquor Control Board of Ontario
Revenue,2016-01-01 00:00:00.000.31,1956
Attribute,2016-01-01 00:00:00.000.32,Ontario Lottery and Gaming Corporation
Revenue,2016-01-01 00:00:00.000.32,2234
Attribute,2016-01-01 00:00:00.000.33,Ontario Portion of the Federal Cannabis Excise  Duty
Revenue,2016-01-01 00:00:00.000.33,0
Attribute,2016-01-01 00:00:00.000.34,Direct Transfers to Broader Public-Sector  Organizations
Revenue,2016-01-01 00:00:00.000.34,284
Attribute,2016-01-01 00:00:00.000.35,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges"
Revenue,2016-01-01 00:00:00.000.35,7493
Attribute,2016-01-01 00:00:00.000.36,Ontario Power Generation Inc./Hydro One Ltd.
Revenue,2016-01-01 00:00:00.000.36,719
Attribute,2015-01-01 00:00:00.000,Revenue Item
Revenue,2015-01-01 00:00:00.000,2015
Attribute,2015-01-01 00:00:00.000.1,Personal Income Tax
Revenue,2015-01-01 00:00:00.000.1,29313
Attribute,2015-01-01 00:00:00.000.2,Sales Taxes
Revenue,2015-01-01 00:00:00.000.2,21689
Attribute,2015-01-01 00:00:00.000.3,Corporations Tax
Revenue,2015-01-01 00:00:00.000.3,9557
Attribute,2015-01-01 00:00:00.000.4,Employer Health Tax
Revenue,2015-01-01 00:00:00.000.4,5415
Attribute,2015-01-01 00:00:00.000.5,Ontario Health Premium
Revenue,2015-01-01 00:00:00.000.5,3366
Attribute,2015-01-01 00:00:00.000.6,Gasoline Tax
Revenue,2015-01-01 00:00:00.000.6,2447
Attribute,2015-01-01 00:00:00.000.7,Land Transfer Tax
Revenue,2015-01-01 00:00:00.000.7,1778
Attribute,2015-01-01 00:00:00.000.8,Tobacco Tax
Revenue,2015-01-01 00:00:00.000.8,1163
Attribute,2015-01-01 00:00:00.000.9,Fuel Tax
Revenue,2015-01-01 00:00:00.000.9,739
Attribute,2015-01-01 00:00:00.000.10,"Beer, Wine and Spirits Taxes"
Revenue,2015-01-01 00:00:00.000.10,560
Attribute,2015-01-01 00:00:00.000.11,Electricity Payments in Lieu of Taxes
Revenue,2015-01-01 00:00:00.000.11,180
Attribute,2015-01-01 00:00:00.000.12,Other Taxes
Revenue,2015-01-01 00:00:00.000.12,507
Attribute,2015-01-01 00:00:00.000.13,Canada Health Transfer
Revenue,2015-01-01 00:00:00.000.13,12408
Attribute,2015-01-01 00:00:00.000.14,Canada Social Transfer
Revenue,2015-01-01 00:00:00.000.14,4847
Attribute,2015-01-01 00:00:00.000.15,Equalization
Revenue,2015-01-01 00:00:00.000.15,1988
Attribute,2015-01-01 00:00:00.000.16,Infrastructure Programs
Revenue,2015-01-01 00:00:00.000.16,137
Attribute,2015-01-01 00:00:00.000.17,Labour Market Programs
Revenue,2015-01-01 00:00:00.000.17,896
Attribute,2015-01-01 00:00:00.000.18,Other Federal Payments
Revenue,2015-01-01 00:00:00.000.18,874
Attribute,2015-01-01 00:00:00.000.19,Vehicle and Driver Registration Fees
Revenue,2015-01-01 00:00:00.000.19,1433
Attribute,2015-01-01 00:00:00.000.20,Miscellaneous Other Non-Tax Revenue
Revenue,2015-01-01 00:00:00.000.20,1196
Attribute,2015-01-01 00:00:00.000.21,Other Fees and Licences
Revenue,2015-01-01 00:00:00.000.21,693
Attribute,2015-01-01 00:00:00.000.22,Reimbursements
Revenue,2015-01-01 00:00:00.000.22,985
Attribute,2015-01-01 00:00:00.000.23,Royalties
Revenue,2015-01-01 00:00:00.000.23,275
Attribute,2015-01-01 00:00:00.000.24,Power Supply Contract Recoveries
Revenue,2015-01-01 00:00:00.000.24,950
Attribute,2015-01-01 00:00:00.000.25,Carbon Allowance Proceeds
Revenue,2015-01-01 00:00:00.000.25,0
Attribute,2015-01-01 00:00:00.000.26,Electricity Debt Retirement Charge
Revenue,2015-01-01 00:00:00.000.26,956
Attribute,2015-01-01 00:00:00.000.27,Sales and Rentals
Revenue,2015-01-01 00:00:00.000.27,2336
Attribute,2015-01-01 00:00:00.000.28,Education Property Tax
Revenue,2015-01-01 00:00:00.000.28,5561
Attribute,2015-01-01 00:00:00.000.29,Net Reduction of Power Purchase Contracts
Revenue,2015-01-01 00:00:00.000.29,217
Attribute,2015-01-01 00:00:00.000.30,Social Housing Agreement
Revenue,2015-01-01 00:00:00.000.30,465
Attribute,2015-01-01 00:00:00.000.31,Liquor Control Board of Ontario
Revenue,2015-01-01 00:00:00.000.31,1831
Attribute,2015-01-01 00:00:00.000.32,Ontario Lottery and Gaming Corporation
Revenue,2015-01-01 00:00:00.000.32,1995
