Category,Subcategory,variable,value
Solicitor    General (Base),,Plan                 2021–22,3096
Solicitor    General, COVID‑19 Time-Limited Funding34,Plan                 2021–22,0
Solicitor    General (Total),,Plan                 2021–22,3096
Transportation (Base),,Plan                 2021–22,5530
Transportation, Safe Restart Agreement,Plan                 2021–22,0
Transportation, Federal–Provincial Infrastructure Programs,Plan                 2021–22,703
Transportation, COVID‑19 Time-Limited Funding36,Plan                 2021–22,0
Transportation (Total),,Plan                 2021–22,6233
Treasury Board Secretariat (Base),,Plan                 2021–22,455
Treasury Board Secretariat, Employee and Pensioner Benefits37,Plan                 2021–22,1766
Treasury Board Secretariat, Operating Contingency Fund,Plan                 2021–22,1915
Treasury Board Secretariat, Capital Contingency Fund,Plan                 2021–22,165
Treasury Board Secretariat, COVID‑19 Time-Limited Funding38,Plan                 2021–22,0
Treasury Board Secretariat (Total),,Plan                 2021–22,4302
Interest    on Debt39,,Plan                 2021–22,13130
Total    Expense,,Plan                 2021–22,186120
