Season,match_key,innings,team,batsman,player_key,batting_position,R,B,fours,sixes,special_role
"2009","20090501RCB",2,"Kings XI Punjab","Yuvraj Singh",1042,1,10,13,1,0,"captain"
"2009","20090517KXP",1,"Kings XI Punjab","Yuvraj Singh",1042,4,18,31,1,0,"captain"
"2009","20090520KKR",1,"Rajasthan Royals","NV Ojha",1116,1,9,17,1,0,"wicket keeper"
"2010","20100401KKR",1,"Kolkata Knight Riders","SC Ganguly",1052,1,5,10,1,0,"captain"
"2010","20100402RCB",1,"Kings XI Punjab","MS Bisla",1155,2,11,10,1,0,"wicket keeper"
"2011","20110429RCB",1,"Royal Challengers Bangalore","AB de Villiers",1074,4,5,2,1,0,"wicket keeper"
"2011","20110515KXP",1,"Kings XI Punjab","AC Gilchrist",1061,2,9,15,1,0,"captain & wicket keeper"
"2012","20120417RCB",1,"Pune Warriors","SC Ganguly",1052,3,16,16,1,0,"captain"
"2012","20120422KXP",2,"Kings XI Punjab","N Saini",1258,1,14,12,1,0,"wicket keeper"
"2012","20120513KXP",1,"Deccan Chargers","KC Sangakkara",1043,3,4,5,1,0,"captain"
"2012","20120522KKR",1,"Kolkata Knight Riders","G Gambhir",1048,2,10,12,1,0,"captain"
"2013","20130404RCB",2,"Mumbai Indians","KD Karthik",1076,3,6,4,1,0,"wicket keeper"
"2013","20130425CSK",2,"Chennai Super Kings","MS Dhoni",1014,4,21,16,1,0,"captain & wicket keeper"
"2014","20140428KXP",2,"Kings XI Punjab","GJ Bailey",1148,6,11,15,1,0,"captain"
"2014","20140502CSK",1,"Chennai Super Kings","MS Dhoni",1014,4,13,14,1,0,"captain & wicket keeper"
"2014","20140504RCB",1,"Sunrisers Hyderabad","S Dhawan",1003,2,6,6,1,0,"captain"
"2014","20140520KKR",1,"Chennai Super Kings","MS Dhoni",1014,5,7,6,1,0,"captain & wicket keeper"
"2014","20140525KXP",1,"Delhi Daredevils","KD Karthik",1076,3,7,13,1,0,"wicket keeper"
"2015","20150424RCB",1,"Rajasthan Royals","SV Samson",1293,6,5,2,1,0,"wicket keeper"
"2015","20150506RCB",2,"Kings XI Punjab","GJ Bailey",1148,6,21,18,1,0,"captain"
"2015","20150506RCB",2,"Kings XI Punjab","WP Saha",1102,3,12,12,1,0,"wicket keeper"
"2015","20150520RCB",2,"Rajasthan Royals","SV Samson",1293,3,8,9,1,0,"wicket keeper"
"2016","20160416KKR",2,"Kolkata Knight Riders","RV Uthappa",1020,1,8,10,1,0,"wicket keeper"
"2016","20160417KXP",2,"Kings XI Punjab","DA Miller",1259,4,9,9,1,0,"captain"
"2016","20160513KXP",2,"Kings XI Punjab","WP Saha",1102,3,16,13,1,0,"wicket keeper"
"2016","20160522KKR",1,"Kolkata Knight Riders","G Gambhir",1048,2,8,8,1,0,"captain"
"2017","20170430KXP",1,"Delhi Daredevils","RR Pant",1366,5,6,4,1,0,"wicket keeper"
"2017","20170507KKR",1,"Royal Challengers Bangalore","KM Jadhav",1195,6,6,6,1,0,"wicket keeper"
"2017","20170507KKR",1,"Royal Challengers Bangalore","V Kohli",1024,2,6,6,1,0,"captain"
"2008","20080418KKR",1,"Kolkata Knight Riders","DJ Hussey",1137,4,12,12,1,0,"normal player"
"2008","20080418KKR",1,"Kolkata Knight Riders","Mohammad Hafeez",1478,5,5,3,1,0,"normal player"
"2008","20080418KKR",2,"Royal Challengers Bangalore","AA Noffke",1479,8,9,10,1,0,"normal player"
"2008","20080420KKR",1,"Deccan Chargers","Y Venugopal Rao",1070,2,14,14,1,0,"normal player"
"2008","20080420KKR",1,"Deccan Chargers","SB Styris",1069,6,6,7,1,0,"normal player"
"2008","20080420KKR",2,"Kolkata Knight Riders","BB McCullum",1050,2,5,5,1,0,"normal player"
"2008","20080423CSK",1,"Chennai Super Kings","MEK Hussey",1184,3,5,9,1,0,"normal player"
"2008","20080423CSK",1,"Chennai Super Kings","JDP Oram",1015,6,5,2,1,0,"normal player"
"2008","20080425KXP",1,"Kings XI Punjab","VRV Singh",1491,11,4,2,1,0,"normal player"
"2008","20080425KXP",2,"Mumbai Indians","MA Khote",1489,9,8,7,1,0,"normal player"
"2008","20080426CSK",1,"Kolkata Knight Riders","Mohammad Hafeez",1478,6,16,24,1,0,"normal player"
"2008","20080426CSK",1,"Kolkata Knight Riders","AB Agarkar",1057,8,11,9,1,0,"normal player"
"2008","20080428CSK",2,"Royal Challengers Bangalore","B Chipli",1159,1,8,11,1,0,"normal player"
"2008","20080428CSK",2,"Royal Challengers Bangalore","Z Khan",1008,9,8,6,1,0,"normal player"
"2008","20080503RCB",1,"Royal Challengers Bangalore","JH Kallis",1066,4,6,5,1,0,"normal player"
"2008","20080503RCB",2,"Deccan Chargers","HH Gibbs",1062,3,5,7,1,0,"normal player"
"2009","20090502CSK",2,"Delhi Daredevils","AB de Villiers",1074,3,5,9,1,0,"normal player"
"2009","20090503KXP",1,"Kolkata Knight Riders","CH Gayle",1051,2,7,7,1,0,"normal player"
"2009","20090504CSK",2,"Deccan Chargers","HH Gibbs",1062,3,8,10,1,0,"normal player"
"2009","20090504CSK",2,"Deccan Chargers","DR Smith",1088,5,7,8,1,0,"normal player"
"2009","20090512RCB",2,"Royal Challengers Bangalore","RV Uthappa",1020,3,4,5,1,0,"normal player"
"2009","20090520KKR",1,"Rajasthan Royals","RJ Quiney",1083,2,6,10,1,0,"normal player"
"2009","20090523RCB",1,"Chennai Super Kings","JDP Oram",1015,6,17,21,1,0,"normal player"
"2010","20100316RCB",2,"Royal Challengers Bangalore","RV Uthappa",1020,3,20,17,1,0,"normal player"
"2010","20100320RCB",1,"Mumbai Indians","ST Jayasuriya",1001,1,7,10,1,0,"normal player"
"2010","20100327KKR",2,"Kings XI Punjab","RS Bopara",1040,1,25,26,1,0,"normal player"
"2010","20100331CSK",2,"Chennai Super Kings","SK Raina",1012,3,14,12,1,0,"normal player"
"2010","20100401KKR",1,"Kolkata Knight Riders","AB Agarkar",1057,8,17,13,1,0,"normal player"
"2010","20100402RCB",1,"Kings XI Punjab","IK Pathan",1045,6,18,14,1,0,"normal player"
"2010","20100406CSK",2,"Mumbai Indians","S Dhawan",1003,1,14,13,1,0,"normal player"
"2010","20100409KXP",1,"Mumbai Indians","SS Tiwary",1095,4,14,18,1,0,"normal player"
"2010","20100422CSK",1,"Chennai Super Kings","ML Hayden",1011,2,5,8,1,0,"normal player"
"2010","20100425CSK",2,"Mumbai Indians","S Dhawan",1003,1,10,11,1,0,"normal player"
"2011","20110411KKR",2,"Deccan Chargers","B Chipli",1159,3,6,9,1,0,"normal player"
"2011","20110411KKR",2,"Deccan Chargers","DW Steyn",1028,8,7,6,1,0,"normal player"
"2011","20110418KTK",1,"Chennai Super Kings","S Badrinath",1016,4,5,3,1,0,"normal player"
"2011","20110418KTK",1,"Chennai Super Kings","JA Morkel",1065,6,9,8,1,0,"normal player"
"2011","20110425CSK",1,"Chennai Super Kings","SK Raina",1012,3,5,4,1,0,"normal player"
"2011","20110502KTK",1,"Delhi Daredevils","Y Nagar",1150,4,22,30,1,0,"normal player"
"2011","20110502KTK",2,"Kochi Tuskers Kerala","BB McCullum",1050,2,7,7,1,0,"normal player"
"2011","20110515KXP",1,"Kings XI Punjab","Mandeep Singh",1222,6,15,10,1,0,"normal player"
"2011","20110527RCB",1,"Royal Challengers Bangalore","SS Tiwary",1095,6,13,26,1,0,"normal player"
"2012","20120407CSK",1,"Chennai Super Kings","M Vijay",1118,1,10,17,1,0,"normal player"
"2012","20120410KKR",1,"Kolkata Knight Riders","R Bhatia",1122,10,8,8,1,0,"normal player"
"2012","20120430KKR",1,"Chennai Super Kings","SK Raina",1012,3,15,17,1,0,"normal player"
"2012","20120514CSK",1,"Kolkata Knight Riders","DB Das",1240,6,4,1,1,0,"normal player"
"2012","20120522KKR",1,"Kolkata Knight Riders","JH Kallis",1066,3,13,18,1,0,"normal player"
"2013","20130403KKR",1,"Delhi Daredevils","IK Pathan",1045,7,6,3,1,0,"normal player"
"2013","20130421KXP",2,"Kings XI Punjab","Mandeep Singh",1222,4,10,11,1,0,"normal player"
"2013","20130421KXP",2,"Kings XI Punjab","Azhar Mahmood",1260,2,4,4,1,0,"normal player"
"2013","20130422CSK",2,"Chennai Super Kings","DJ Bravo",1005,6,7,4,1,0,"normal player"
"2013","20130422CSK",2,"Chennai Super Kings","SK Raina",1012,3,7,8,1,0,"normal player"
"2013","20130428CSK",1,"Chennai Super Kings","SK Raina",1012,3,16,13,1,0,"normal player"
"2013","20130502CSK",2,"Kings XI Punjab","SE Marsh",1170,3,10,12,1,0,"normal player"
"2013","20130502RCB",2,"Pune Warriors","Yuvraj Singh",1042,4,5,4,1,0,"normal player"
"2014","20140416KKR",2,"Mumbai Indians","AT Rayudu",1169,3,15,14,1,0,"normal player"
"2014","20140416KKR",2,"Mumbai Indians","AP Tare",1313,2,7,7,1,0,"normal player"
"2014","20140419RCB",2,"Royal Challengers Bangalore","NJ Maddinson",1318,1,4,6,1,0,"normal player"
"2014","20140420KXP",1,"Rajasthan Royals","AM Nayar",1006,1,4,3,1,0,"normal player"
"2014","20140425CSK",2,"Chennai Super Kings","BB McCullum",1050,2,9,10,1,0,"normal player"
"2014","20140428KXP",2,"Kings XI Punjab","CA Pujara",1178,1,8,8,1,0,"normal player"
"2014","20140509KXP",2,"Royal Challengers Bangalore","VR Aaron",1229,10,7,8,1,0,"normal player"
"2014","20140509KXP",2,"Royal Challengers Bangalore","MA Starc",1324,8,5,4,1,0,"normal player"
"2014","20140513CSK",2,"Chennai Super Kings","RA Jadeja",1035,7,6,7,1,0,"normal player"
"2014","20140520KKR",1,"Chennai Super Kings","DR Smith",1088,1,9,15,1,0,"normal player"
"2014","20140524KKR",1,"Sunrisers Hyderabad","Y Venugopal Rao",1070,4,4,1,1,0,"normal player"
"2014","20140524CSK",1,"Royal Challengers Bangalore","MA Starc",1324,8,12,8,1,0,"normal player"
"2014","20140524CSK",1,"Royal Challengers Bangalore","AB de Villiers",1074,6,13,13,1,0,"normal player"
"2014","20140525KXP",1,"Delhi Daredevils","KM Jadhav",1195,4,7,5,1,0,"normal player"
"2015","20150504KKR",2,"Sunrisers Hyderabad","GH Vihari",1281,6,8,5,1,0,"normal player"
"2015","20150504KKR",2,"Sunrisers Hyderabad","KV Sharma",1073,8,4,2,1,0,"normal player"
"2015","20150507KKR",1,"Kolkata Knight Riders","PP Chawla",1046,4,9,6,1,0,"normal player"
"2015","20150507KKR",1,"Kolkata Knight Riders","SA Yadav",1244,7,6,3,1,0,"normal player"
"2015","20150509KKR",1,"Kings XI Punjab","DA Miller",1259,5,7,10,1,0,"normal player"
"2015","20150516CSK",2,"Chennai Super Kings","SK Raina",1012,4,11,8,1,0,"normal player"
"2015","20150516CSK",2,"Chennai Super Kings","BB McCullum",1050,2,11,21,1,0,"normal player"
"2015","20150520RCB",2,"Rajasthan Royals","JP Faulkner",1246,7,6,6,1,0,"normal player"
"2016","20160409RPS",1,"Mumbai Indians","Harbhajan Singh",1007,8,6,3,1,0,"normal player"
"2016","20160409RPS",1,"Mumbai Indians","AT Rayudu",1169,5,10,8,1,0,"normal player"
"2016","20160424KKR",1,"Rising Pune Supergiants","SPD Smith",1242,3,4,3,1,0,"normal player"
"2016","20160426RPS",1,"Sunrisers Hyderabad","MC Henriques",1056,6,5,4,1,0,"normal player"
"2016","20160502KKR",2,"Kolkata Knight Riders","YK Pathan",1033,5,10,9,1,0,"normal player"
"2016","20160514KKR",1,"Rising Pune Supergiants","SS Tiwary",1095,4,9,10,1,0,"normal player"
"2016","20160514RCB",1,"Royal Challengers Bangalore","CH Gayle",1051,1,5,6,1,0,"normal player"
"2016","20160516RCB",2,"Royal Challengers Bangalore","CH Gayle",1051,1,6,13,1,0,"normal player"
"2017","20170417KKR",2,"Kolkata Knight Riders","SA Yadav",1244,6,4,3,1,0,"normal player"
"2017","20170417KKR",2,"Kolkata Knight Riders","SP Narine",1253,8,6,9,1,0,"normal player"
"2017","20170418RCB",2,"Gujarat Lions","Ishan Kishan",1356,7,11,14,1,0,"normal player"
"2017","20170423KXP",2,"Gujarat Lions","DR Smith",1088,6,5,4,1,0,"normal player"
"2017","20170424RPS",1,"Rising Pune Supergiant","BA Stokes",1383,5,10,9,1,0,"normal player"
"2017","20170430KXP",1,"Delhi Daredevils","CH Morris",1292,7,11,10,1,0,"normal player"
"2017","20170503RPS",1,"Kolkata Knight Riders","CR Woakes",1387,8,6,3,1,0,"normal player"
"2017","20170503RPS",1,"Kolkata Knight Riders","SP Jackson",1404,3,16,17,1,0,"normal player"
"2017","20170506RPS",1,"Rising Pune Supergiant","MK Tiwary",1077,7,8,9,1,0,"normal player"
"2017","20170506RPS",1,"Rising Pune Supergiant","BA Stokes",1383,4,14,15,1,0,"normal player"
"2017","20170514RPS",2,"Rising Pune Supergiant","RA Tripathi",1388,2,7,6,1,0,"normal player"
"2008","20080418KKR",1,"Kolkata Knight Riders","SC Ganguly",1052,1,10,12,2,0,"captain"
"2008","20080420RCB",1,"Mumbai Indians","L Ronchi",1131,1,8,10,2,0,"wicket keeper"
"2008","20080420RCB",1,"Mumbai Indians","PR Shah",1009,5,19,23,2,0,"normal player"
"2008","20080428CSK",1,"Chennai Super Kings","ML Hayden",1011,2,13,19,2,0,"normal player"
"2008","20080428CSK",2,"Royal Challengers Bangalore","JH Kallis",1066,4,14,10,2,0,"normal player"
"2008","20080428CSK",2,"Royal Challengers Bangalore","V Kohli",1024,6,12,7,2,0,"normal player"
"2008","20080501KXP",2,"Kings XI Punjab","RR Sarwan",1490,2,15,15,2,0,"normal player"
"2008","20080501KXP",2,"Kings XI Punjab","Yuvraj Singh",1042,4,14,9,2,0,"captain"
"2008","20080503RCB",1,"Royal Challengers Bangalore","B Chipli",1159,1,10,7,2,0,"normal player"
"2008","20080503RCB",1,"Royal Challengers Bangalore","MV Boucher",1091,7,16,14,2,0,"wicket keeper"
"2008","20080503RCB",1,"Royal Challengers Bangalore","P Kumar",1026,8,8,4,2,0,"normal player"
"2008","20080503RCB",2,"Deccan Chargers","AC Gilchrist",1061,1,10,11,2,0,"wicket keeper"
"2009","20090503RCB",2,"Royal Challengers Bangalore","RV Uthappa",1020,3,19,17,2,0,"normal player"
"2009","20090512RCB",2,"Royal Challengers Bangalore","JH Kallis",1066,2,12,10,2,0,"normal player"
"2009","20090517KXP",1,"Kings XI Punjab","LA Pomersbach",1139,3,9,8,2,0,"normal player"
"2009","20090518KKR",1,"Chennai Super Kings","MS Dhoni",1014,4,23,22,2,0,"captain & wicket keeper"
"2009","20090520CSK",2,"Kings XI Punjab","SM Katich",1113,2,11,10,2,0,"normal player"
"2009","20090520CSK",2,"Kings XI Punjab","IK Pathan",1045,7,17,11,2,0,"normal player"
"2009","20090523RCB",1,"Chennai Super Kings","SK Raina",1012,4,20,21,2,0,"normal player"
"2010","20100314KKR",2,"Kolkata Knight Riders","CA Pujara",1178,4,10,16,2,0,"normal player"
"2010","20100320RCB",1,"Mumbai Indians","KA Pollard",1183,8,10,8,2,0,"normal player"
"2010","20100331CSK",2,"Chennai Super Kings","MS Dhoni",1014,4,21,19,2,0,"captain & wicket keeper"
"2010","20100331CSK",2,"Chennai Super Kings","S Badrinath",1016,6,25,27,2,0,"normal player"
"2010","20100401KKR",1,"Kolkata Knight Riders","WP Saha",1102,7,20,17,2,0,"wicket keeper"
"2010","20100407KKR",1,"Kolkata Knight Riders","MK Tiwary",1077,4,35,32,2,0,"normal player"
"2010","20100407KKR",1,"Kolkata Knight Riders","AD Mathews",1138,5,17,11,2,0,"normal player"
"2010","20100409KXP",1,"Mumbai Indians","S Dhawan",1003,1,16,18,2,0,"normal player"
"2010","20100414RCB",1,"Rajasthan Royals","MJ Lumb",1227,1,8,6,2,0,"normal player"
"2010","20100414RCB",1,"Rajasthan Royals","AC Voges",1469,7,28,27,2,0,"normal player"
"2010","20100417KKR",2,"Kolkata Knight Riders","SC Ganguly",1052,1,10,12,2,0,"captain"
"2010","20100418CSK",2,"Chennai Super Kings","SK Raina",1012,3,15,19,2,0,"normal player"
"2010","20100418CSK",2,"Chennai Super Kings","S Badrinath",1016,4,30,29,2,0,"normal player"
"2010","20100422CSK",1,"Chennai Super Kings","M Vijay",1118,1,13,11,2,0,"normal player"
"2010","20100422CSK",1,"Chennai Super Kings","JA Morkel",1065,6,14,8,2,0,"normal player"
"2010","20100424RCB",1,"Deccan Chargers","AC Gilchrist",1061,1,10,9,2,0,"captain & wicket keeper"
"2010","20100424RCB",1,"Deccan Chargers","RG Sharma",1064,4,11,9,2,0,"normal player"
"2010","20100424RCB",1,"Deccan Chargers","R Sharma",1177,9,14,8,2,0,"normal player"
"2010","20100425CSK",2,"Mumbai Indians","JP Duminy",1004,7,19,27,2,0,"normal player"
"2011","20110408CSK",2,"Kolkata Knight Riders","JH Kallis",1066,2,11,9,2,0,"normal player"
"2011","20110416KXP",1,"Deccan Chargers","S Dhawan",1003,2,11,9,2,0,"normal player"
"2011","20110430KKR",2,"Kolkata Knight Riders","JH Kallis",1066,1,11,11,2,0,"normal player"
"2011","20110430KKR",2,"Kolkata Knight Riders","G Gambhir",1048,3,18,19,2,0,"captain"
"2011","20110502KTK",2,"Kochi Tuskers Kerala","DPMD Jayawardene",1044,4,18,28,2,0,"captain"
"2012","20120504CSK",2,"Deccan Chargers","S Dhawan",1003,2,13,18,2,0,"normal player"
"2012","20120508KXP",1,"Kings XI Punjab","DJ Hussey",1137,4,8,6,2,0,"captain"
"2012","20120509RCB",1,"Mumbai Indians","KD Karthik",1076,4,11,5,2,0,"wicket keeper"
"2012","20120522KKR",1,"Kolkata Knight Riders","YK Pathan",1033,5,15,10,2,0,"normal player"
"2013","20130404RCB",2,"Mumbai Indians","AT Rayudu",1169,5,11,7,2,0,"normal player"
"2013","20130404RCB",2,"Mumbai Indians","SR Tendulkar",1002,2,11,11,2,0,"normal player"
"2013","20130414KKR",1,"Kolkata Knight Riders","JH Kallis",1066,3,16,19,2,0,"normal player"
"2013","20130502CSK",2,"Kings XI Punjab","Mandeep Singh",1222,2,9,8,2,0,"normal player"
"2013","20130510RCB",2,"Delhi Daredevils","DA Warner",1121,4,13,18,2,0,"normal player"
"2013","20130510RCB",2,"Delhi Daredevils","KM Jadhav",1195,6,23,21,2,0,"normal player"
"2013","20130510RCB",2,"Delhi Daredevils","V Sehwag",1049,2,11,7,2,0,"normal player"
"2013","20130512KKR",2,"Kolkata Knight Riders","MK Tiwary",1077,5,15,10,2,0,"normal player"
"2013","20130512KKR",2,"Kolkata Knight Riders","MS Bisla",1155,1,12,13,2,0,"wicket keeper"
"2013","20130514KXP",1,"Royal Challengers Bangalore","V Kohli",1024,3,17,14,2,0,"captain"
"2014","20140421CSK",1,"Chennai Super Kings","SK Raina",1012,3,24,19,2,0,"normal player"
"2014","20140420KXP",1,"Rajasthan Royals","JP Faulkner",1246,7,8,2,2,0,"normal player"
"2014","20140428KXP",2,"Kings XI Punjab","GJ Maxwell",1241,4,15,12,2,0,"normal player"
"2014","20140428KXP",2,"Kings XI Punjab","R Dhawan",1298,7,19,18,2,0,"normal player"
"2014","20140428KXP",2,"Kings XI Punjab","DA Miller",1259,5,14,10,2,0,"normal player"
"2014","20140504RCB",1,"Sunrisers Hyderabad","NV Ojha",1116,6,10,4,2,0,"wicket keeper"
"2014","20140509KXP",2,"Royal Challengers Bangalore","AB de Villiers",1074,5,9,7,2,0,"normal player"
"2014","20140514KXP",1,"Sunrisers Hyderabad","S Dhawan",1003,2,11,11,2,0,"captain"
"2014","20140524CSK",1,"Royal Challengers Bangalore","S Rana",1235,7,19,12,2,0,"normal player"
"2014","20140530KXP",2,"Chennai Super Kings","SK Raina",1012,3,18,18,2,0,"normal player"
"2014","20140601KKR",1,"Kings XI Punjab","V Sehwag",1049,1,9,7,2,0,"normal player"
"2015","20150428CSK",1,"Chennai Super Kings","RA Jadeja",1035,7,18,11,2,0,"normal player"
"2015","20150502RCB",2,"Royal Challengers Bangalore","D Wiese",1347,5,11,8,2,0,"normal player"
"2015","20150506RCB",2,"Kings XI Punjab","GJ Maxwell",1241,4,12,9,2,0,"normal player"
"2015","20150520RCB",2,"Rajasthan Royals","SPD Smith",1242,4,14,11,2,0,"captain"
"2016","20160410KKR",1,"Delhi Daredevils","KK Nair",1279,4,12,13,2,0,"normal player"
"2016","20160417KXP",2,"Kings XI Punjab","SE Marsh",1170,3,13,16,2,0,"normal player"
"2016","20160504KKR",2,"Kings XI Punjab","DA Miller",1259,6,31,27,2,0,"normal player"
"2016","20160505RPS",2,"Rising Pune Supergiants","MS Dhoni",1014,4,24,24,2,0,"captain & wicket keeper"
"2016","20160513KXP",2,"Kings XI Punjab","HM Amla",1374,2,21,20,2,0,"normal player"
"2016","20160514KKR",1,"Rising Pune Supergiants","UT Khawaja",1373,2,11,8,2,0,"normal player"
"2016","20160521RPS",1,"Kings XI Punjab","Gurkeerat Singh",1269,4,18,18,2,0,"normal player"
"2016","20160522RCB",1,"Delhi Daredevils","CR Brathwaite",1354,7,10,7,2,0,"normal player"
"2017","20170417KKR",2,"Kolkata Knight Riders","G Gambhir",1048,1,15,16,2,0,"captain"
"2017","20170418RCB",2,"Gujarat Lions","SK Raina",1012,3,28,29,2,0,"captain"
"2017","20170422RPS",1,"Sunrisers Hyderabad","MC Henriques",1056,4,12,6,2,0,"normal player"
"2017","20170503RPS",1,"Kolkata Knight Riders","G Gambhir",1048,2,11,11,2,0,"captain"
"2017","20170506RPS",1,"Rising Pune Supergiant","AM Rahane",1111,1,11,9,2,0,"normal player"
"2017","20170507KKR",1,"Royal Challengers Bangalore","P Negi",1261,7,21,23,2,0,"normal player"
"2008","20080419CSK",1,"Chennai Super Kings","PA Patel",1010,1,15,10,3,0,"normal player"
"2008","20080420RCB",2,"Royal Challengers Bangalore","S Chanderpaul",1486,1,16,11,3,0,"normal player"
"2008","20080420RCB",2,"Royal Challengers Bangalore","R Dravid",1023,2,32,33,4,0,"captain"
"2008","20080423CSK",1,"Chennai Super Kings","PA Patel",1010,1,14,11,3,0,"normal player"
"2008","20080423CSK",2,"Mumbai Indians","ST Jayasuriya",1001,2,20,11,4,0,"normal player"
"2008","20080425KXP",2,"Mumbai Indians","DJ Bravo",1005,4,23,21,4,0,"normal player"
"2008","20080426CSK",2,"Chennai Super Kings","PA Patel",1010,1,21,27,3,0,"normal player"
"2008","20080501KXP",1,"Deccan Chargers","VVS Laxman",1063,2,48,34,8,0,"captain"
"2008","20080503RCB",1,"Royal Challengers Bangalore","W Jaffer",1125,2,44,37,6,0,"normal player"
"2008","20080503RCB",2,"Deccan Chargers","VVS Laxman",1063,2,52,44,7,0,"captain"
"2008","20080528KXP",2,"Rajasthan Royals","SR Watson",1182,4,18,19,3,0,"normal player"
"2008","20080528KXP",2,"Rajasthan Royals","Kamran Akmal",1487,6,18,16,4,0,"wicket keeper"
"2009","20090418RCB",2,"Rajasthan Royals","SA Asnodkar",1030,2,28,20,4,0,"normal player"
"2009","20090502CSK",2,"Delhi Daredevils","G Gambhir",1048,1,17,15,3,0,"normal player"
"2009","20090503KXP",1,"Kolkata Knight Riders","MN van Wyk",1101,5,32,35,3,0,"wicket keeper"
"2009","20090503RCB",2,"Royal Challengers Bangalore","JH Kallis",1066,1,27,22,4,0,"normal player"
"2009","20090517KXP",1,"Kings XI Punjab","KC Sangakkara",1043,5,43,47,6,0,"wicket keeper"
"2009","20090520KKR",1,"Rajasthan Royals","J Botha",1141,5,37,31,3,0,"normal player"
"2009","20090520KKR",1,"Rajasthan Royals","RA Jadeja",1035,7,24,18,3,0,"normal player"
"2009","20090520KKR",1,"Rajasthan Royals","MM Patel",1038,10,23,10,5,0,"normal player"
"2009","20090521RCB",1,"Royal Challengers Bangalore","R Dravid",1023,4,38,34,4,0,"normal player"
"2010","20100320RCB",1,"Mumbai Indians","SR Tendulkar",1002,2,63,32,11,0,"captain"
"2010","20100323RCB",1,"Royal Challengers Bangalore","JH Kallis",1066,2,66,55,10,0,"normal player"
"2010","20100327KKR",2,"Kings XI Punjab","KC Sangakkara",1043,4,29,13,6,0,"captain & wicket keeper"
"2010","20100401KKR",1,"Kolkata Knight Riders","AD Mathews",1138,6,24,18,3,0,"normal player"
"2010","20100404KXP",2,"Kings XI Punjab","MS Bisla",1155,1,28,26,4,0,"normal player"
"2010","20100404KXP",2,"Kings XI Punjab","KC Sangakkara",1043,3,45,27,8,0,"captain & wicket keeper"
"2010","20100406CSK",2,"Mumbai Indians","SR Tendulkar",1002,2,35,25,5,0,"captain"
"2010","20100406CSK",2,"Mumbai Indians","KA Pollard",1183,6,21,10,3,0,"normal player"
"2010","20100409KXP",1,"Mumbai Indians","SR Tendulkar",1002,2,45,35,6,0,"captain"
"2010","20100418CSK",2,"Chennai Super Kings","M Vijay",1118,1,17,11,3,0,"normal player"
"2010","20100419KKR",1,"Mumbai Indians","R McLaren",1172,9,40,42,4,0,"normal player"
"2011","20110411KKR",2,"Deccan Chargers","IR Jaggi",1158,2,25,28,3,0,"normal player"
"2011","20110420KTK",2,"Kolkata Knight Riders","G Gambhir",1048,3,35,35,3,0,"captain"
"2011","20110425CSK",1,"Chennai Super Kings","MEK Hussey",1184,2,41,33,6,0,"normal player"
"2011","20110502KTK",2,"Kochi Tuskers Kerala","BJ Hodge",1053,5,27,25,3,0,"normal player"
"2011","20110504CSK",2,"Chennai Super Kings","MEK Hussey",1184,1,46,41,5,0,"normal player"
"2011","20110505KTK",2,"Kolkata Knight Riders","JH Kallis",1066,1,30,31,4,0,"normal player"
"2011","20110508RCB",2,"Royal Challengers Bangalore","TM Dilshan",1075,2,16,9,4,0,"normal player"
"2011","20110508RCB",2,"Royal Challengers Bangalore","V Kohli",1024,3,27,31,4,0,"normal player"
"2011","20110512CSK",1,"Chennai Super Kings","MEK Hussey",1184,1,46,30,8,0,"normal player"
"2011","20110512CSK",1,"Chennai Super Kings","SK Raina",1012,3,43,27,6,0,"normal player"
"2011","20110527RCB",1,"Royal Challengers Bangalore","V Kohli",1024,3,31,29,5,0,"normal player"
"2012","20120407CSK",1,"Chennai Super Kings","DJ Bravo",1005,7,19,19,3,0,"normal player"
"2012","20120407RCB",2,"Delhi Daredevils","AJ Finch",1166,1,30,27,5,0,"normal player"
"2012","20120410KKR",1,"Kolkata Knight Riders","MK Tiwary",1077,5,59,49,7,0,"normal player"
"2012","20120418KKR",2,"Kolkata Knight Riders","G Gambhir",1048,2,22,13,4,0,"captain"
"2012","20120422KXP",2,"Kings XI Punjab","DJ Hussey",1137,4,41,34,4,0,"captain"
"2012","20120423RCB",2,"Rajasthan Royals","AM Rahane",1111,2,15,10,3,0,"normal player"
"2012","20120506RCB",1,"Deccan Chargers","S Dhawan",1003,2,36,29,3,0,"normal player"
"2012","20120514CSK",1,"Kolkata Knight Riders","MK Tiwary",1077,4,27,25,4,0,"normal player"
"2012","20120522KKR",1,"Kolkata Knight Riders","BB McCullum",1050,1,41,43,5,0,"wicket keeper"
"2013","20130403KKR",1,"Delhi Daredevils","DPMD Jayawardene",1044,2,40,33,6,0,"normal player"
"2013","20130403KKR",2,"Kolkata Knight Riders","JH Kallis",1066,3,30,33,3,0,"normal player"
"2013","20130421KXP",2,"Kings XI Punjab","AC Gilchrist",1061,1,26,25,4,0,"captain & wicket keeper"
"2013","20130430CSK",2,"Pune Warriors","AJ Finch",1166,2,37,33,5,0,"captain"
"2013","20130430CSK",2,"Pune Warriors","RV Uthappa",1020,1,37,33,4,0,"wicket keeper"
"2013","20130430CSK",2,"Pune Warriors","Yuvraj Singh",1042,4,31,24,4,0,"normal player"
"2013","20130430CSK",2,"Pune Warriors","LJ Wright",1300,6,19,18,3,0,"normal player"
"2013","20130502RCB",2,"Pune Warriors","SPD Smith",1242,5,35,39,3,0,"normal player"
