ID,School Name,URL Address,Address,Postal Code,Telephone Number,FAX Number,Email Address,MRT,BUS,Principal Name,Region,Zone,Type Of schools,Nature Of schools,Sessions,Level Of Schools,SAP,Autonomous,Gifted Education Programme,Integrated Programme,Mother Tongue Chinese,Mother Tongue Malay,Mother Tongue Tamil
187,"NEW TOWN PRIMARY SCHOOL","http://www.newtownpri.moe.edu.sg/","300  Tanglin Halt Road",148812,64748805,64741249,"NTPS@MOE.EDU.SG","Commonwealth MRT Station","SBS Numbers 32, 100, 105, 111, 145, 147, 195, 196, 198, 855","MRS TAN-NG WIE PIN","QUEENSTOWN","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
191,"NORTH SPRING PRIMARY SCHOOL","http://www.northspringpri.moe.edu.sg","1    RIVERVALE STREET",545088,68816887,63851044,"nsps@moe.edu.sg","NEL - Sengkang Station LRT - Bakau Station","SBS Transit Services 82, 85, 86, 88, 119, 136, 163, 372","MDM PHAN SWEE LIN SHERIN JACINTA","SENG KANG","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
192,"NORTH VIEW PRIMARY SCHOOL","http://www.northviewpri.moe.edu.sg","210  YISHUN AVENUE 6",768960,67593235,67593237,"NVPS@MOE.EDU.SG","Yishun Khatib","Feeder Service 804, 806, 807, 860","MDM WONG MEI FOONG","YISHUN","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
196,"NORTHLAND PRIMARY SCHOOL","http://www.northlandpri.moe.edu.sg","15   YISHUN AVENUE 4",769026,67598884,67559196,"NORTHLAND_PS@MOE.EDU.SG","Yishun MRT station","812 (next to bus service number 171) at Yishun Interchange","MR JAY WESTLY MAHARDALE","YISHUN","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
199,"NORTHOAKS PRIMARY SCHOOL","http://www.northoakspri.moe.edu.sg","61   Sembawang Drive",757622,,,"northoaks_ps@moe.edu.sg","SEMBAWANG MRT","Bus number 962","MR CHER TECK YIANG, LUKE MELVIN","SEMBAWANG","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
200,"NORTHSHORE PRIMARY SCHOOL","www.northshorepri.moe.edu.sg","30   Northshore Drive",828671,62026490,62026491,"northhshore_ps@moe.edu.sg","Puggol Point LRT Station","84, 384","MDM LEE YEN PING CHRISTINE","PUNGGOL","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
202,"OASIS PRIMARY SCHOOL","http://www.oasispri.moe.edu.sg/","71   Edgefield Plains",828716,,,"oasis_ps@moe.edu.sg","Damai LRT Station","50, 386","MRS ONG-CHEW LU SEE","PUNGGOL","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
203,"OPERA ESTATE PRIMARY SCHOOL","http://www.operaestatepri.moe.edu.sg","48   FIDELIO STREET",458436,62410417,64493042,"oeps@moe.edu.sg","Bedok, Kembangan","","MDM LOE LAI PINK","BEDOK","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
207,"PARK VIEW PRIMARY SCHOOL","http://www.parkviewpri.moe.edu.sg","60   PASIR RIS DRIVE 1",519524,65851421,65851401,"PVPS@MOE.EDU.SG","Pasir Ris MRT Station","358,39,53,81,89","MISS OH SEE MOEY","PASIR RIS","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
209,"PASIR RIS PRIMARY SCHOOL","http://www.pasirrispri.moe.edu.sg","5    PASIR RIS STREET 21",518968,65822606,65828492,"prps@moe.edu.sg","Pasir Ris MRT","3,5,6,89","MR TAN KING MING","PASIR RIS","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
216,"PEI TONG PRIMARY SCHOOL","http://www.peitongpri.moe.edu.sg/","15   CLEMENTI AVENUE 5",129857,67775458,67789784,"PTPS@MOE.EDU.SG","Clementi","7, 184, 282","MRS NG- TEO SOCK HUA","CLEMENTI","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
219,"PEIYING PRIMARY SCHOOL","http://www.peiyingpri.moe.edu.sg","651  YISHUN RING ROAD",768687,62575684,67558802,"peiying_ps@moe.edu.sg","Khatib","851, 852, 853, 854, 855","MDM WONG WEI YONG","YISHUN","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
221,"PIONEER PRIMARY SCHOOL","http://www.pioneerpri.moe.edu.sg","23   JURONG WEST STREET 81",649076,67932397,67933974,"pioneer_ps@moe.edu.sg","Boon Lay Station","","MDM LOKE WAI LING","JURONG WEST","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
224,"PRINCESS ELIZABETH PRIMARY SCHOOL","http://www.princesselizabethpri.moe.edu.sg","30   BUKIT BATOK WEST AVENUE 3",659163,65655111,65637859,"PEPS@MOE.EDU.SG","Bukit Batok MRT Station","Bus 174, 157, 178, 66, 941","MDM MOLIAH BINTE HASHIM","BUKIT BATOK","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
225,"PUNGGOL COVE PRIMARY SCHOOL","https://punggolcovepri.moe.edu.sg/","52   Sumang Walk",828674,63857339,63857261,"punggolcove_ps@moe.edu.sg","Nibong LRT Station","382W, 84","MR YAP SWEE BENG, DENNIS","PUNGGOL","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
226,"PUNGGOL GREEN PRIMARY SCHOOL","http://www.punggolgreenpri.moe.edu.sg","98   Punggol Walk",828772,65383011,65383210,"admin_punggolgreen_ps@moe.edu.sg","Punggol MRT Station","na","MR HANAFI B ASMORE","PUNGGOL","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
227,"PUNGGOL PRIMARY SCHOOL","http://www.punggolpri.moe.edu.sg/","61   HOUGANG AVENUE 8",538787,63850762,63877793,"punggol_ps@moe.edu.sg","Hougang, Buangkok","62 74 88 113 147 325","MISS CHEW TOCK LEE","HOUGANG","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
229,"PUNGGOL VIEW PRIMARY SCHOOL","http://www.punggolviewpri.moe.edu.sg","9    Punggol Place",828845,,,"punggolview_ps@moe.edu.sg","Punggol MRT Station","50 382","DR ANG WEK CHENG","PUNGGOL","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
230,"QIFA PRIMARY SCHOOL","http://www.qifapri.moe.edu.sg","50   WEST COAST AVENUE",128104,67783085,67761485,"QIFA_PS@MOE.EDU.SG","Clementi MRT Station","30,51,78,143,285,655","MRS CATHERINE CHIANG","CLEMENTI","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
231,"QIHUA PRIMARY SCHOOL","http://www.qihuapri.moe.edu.sg","5    WOODLANDS STREET 81",738525,62696250,62693114,"QIHUA_PS@MOE.EDU.SG","Woodlands MRT Station","911, 900","MRS LEE HUI FENG","WOODLANDS","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
232,"QUEENSTOWN PRIMARY SCHOOL","http://www.queenstownpri.moe.edu.sg","310  MARGARET DR",149303,64741044,64713640,"qtps@moe.edu.sg","Queenstown MRT","32, 111, 145, 195","MISS NG POR JOO PEARLY","QUEENSTOWN","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
235,"RADIN MAS PRIMARY SCHOOL","http://www.radinmasps.moe.edu.sg","1    BUKIT PURMEI AVENUE",99840,62733937,62763083,"rmps@moe.edu.sg","Tiong Bahru MRT HarbourFront MRT","SBS 123, 131, 275 SBS 65","MR MUHAMMAD FARIZAL BIN UMAR EFFE","BUKIT MERAH","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
242,"RIVER VALLEY PRIMARY SCHOOL","http://www.rivervalleypri.moe.edu.sg","2    RIVER VALLEY GREEN",237993,67371785,67321951,"rvps@moe.edu.sg","Somerset MRT","5, 16, 32, 54, 65, 75, 175, 970","MDM WONG LI PENG","CENTRAL","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
243,"RIVERSIDE PRIMARY SCHOOL","http://www.riversidepri.moe.edu.sg","110  Woodlands Crescent",737803,63654490,63654460,"riverside_ps@moe.edu.sg","Admiralty MRT Station","Bus No 913 and Bus No 964","MR TAN CHOON KHENG","WOODLANDS","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
245,"RIVERVALE PRIMARY SCHOOL","http://www.rivervalepri.moe.edu.sg/","80   RIVERVALE DRIVE",545092,63887450,63887449,"RIVERVALE_PS@MOE.EDU.SG","Nearest LRT Station : Rumbia","Bus Service 86, 371.","MISS RADHA D/O G SUBRAMANIAM","SENG KANG","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
250,"SEMBAWANG PRIMARY SCHOOL","http://www.sembawangpri.moe.edu.sg","10   SEMBAWANG DRIVE",757715,67567330,67560367,"SEMBAWANG_PS@MOE.EDU.SG","Sembawang MRT (6 to 8-minute walk)","656, 859, 962, 980","MRS GRACE CHUA","SEMBAWANG","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
252,"SENG KANG PRIMARY SCHOOL","http://www.sengkangpri.moe.edu.sg/","21   COMPASSVALE WALK",545166,63840809,63840839,"SKPS@MOE.EDU.SG","SENGKANG MRT","27, 80, 82, 83, 86, 87, 88, 89, 119, 156, 163, 371, 372 & 965","MDM SEAH WHYE CHOO","SENG KANG","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
254,"SENGKANG GREEN PRIMARY SCHOOL","http://www.sengkanggreenpri.moe.edu.sg/","15   Fernvale Road",797636,63864255,62428796,"sengkanggreen_ps@moe.edu.sg","Fernvale LRT (SW5) - (Sengkang West Loop)","Sengkang and Toa Payoh interchange - no 163, Along Yio Chu Kang Road, - no 70, 86, 103 and 854.Punggol Temp Interchange to Bishan Interchange - Bus 50","MR GAU POH TECK","SENG KANG","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
257,"SHUQUN PRIMARY SCHOOL","http://www.shuqunpri.moe.edu.sg","8    JURONG WEST STREET 51",649332,65637129,65637418,"sqps@moe.edu.sg","W11 Lakeside","98, 187, 335","MRS SARA DE SOUZA","JURONG WEST","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
258,"SI LING PRIMARY SCHOOL","http://www.silingpri.moe.edu.sg","61   WOODLANDS AVENUE 1",739067,62698832,63675516,"SLPS@MOE.EDU.SG","Woodlands","912 from Woodlands Interchange","MR KOE EE TIONG","WOODLANDS","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
262,"SOUTH VIEW PRIMARY SCHOOL","http://www.southviewpri.moe.edu.sg","6    Choa Chu Kang Central",689762,67697176,67631091,"SVPS@MOE.EDU.SG","Choa Chu Kang MRT Station","307 / South View LRT Station","MDM SHARIDA BINTE BATCHA SAHIB","CHOA CHU KANG","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
264,"SPRINGDALE PRIMARY SCHOOL","http://springdalepri.moe.edu.sg/","71   Anchorvale Link",544799,,,"springdale_ps@moe.edu.sg","Sengkang Station (NE16)  Nearest LRT station: Farmway  *10-15 min walk from either station","50, 85, 102, 372    Nearest Bus Stop: In front of Blk 326 Car Park  *1-2 min walk from bus stop; enter by Main Gate along Anchorvale Link or Rear Gate","MDM NEO LAY WAH","SENG KANG","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
282,"STAMFORD PRIMARY SCHOOL","http://www.stamfordpri.moe.edu.sg","1    VICTORIA LANE",198423,62945074,62919262,"STAMFORD_PS@MOE.EDU.SG","Bugis MRT Station, Jalan Besar MRT Station","Along Victoria Street:2,7,12,32,33, 51, 61,63,80,130,133,145, 175, 197","MDM FAN YUEN FUN CASSIE","CENTRAL","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
285,"TAMPINES NORTH PRIMARY SCHOOL","http://www.tampinesnorthpri.moe.edu.sg","30   TAMPINES AVENUE 9",529565,67854329,67863117,"TNPS@MOE.EDU.SG","Tampines MRT","SBS Transit 28, 29, 293","MDM RATNA KUMARI D/O R RAMACHANDRA","TAMPINES","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
286,"TAMPINES PRIMARY SCHOOL","http://www.tampinespri.moe.edu.sg","250  TAMPINES STREET 12",529426,67831190,67843521,"TPPS@MOE.EDU.SG","Tampines MRT","8, 10, 17,18, 27, 31, 65, 292, 293, or any bus going into Tampines Interchange","MDM LEE LAY SEE/ MRS LAY SEE NEUFELD","TAMPINES","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
290,"TANJONG KATONG PRIMARY SCHOOL","http://www.tanjongkatongpri.moe.edu.sg/","10   Seraya Road",437259,63444728,63445370,"TKPS@MOE.EDU.SG","na","na","MDM CHUA LAY TIN","MARINE PARADE","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
293,"TECK GHEE PRIMARY SCHOOL","http://www.teckgheepri.moe.edu.sg","1    ANG MO KIO STREET 32",569299,64548769,64589886,"tgps@moe.edu.sg","Ang Mo Kio & Bishan","22,24,135,853,162,262,159","MR WONG JIA WANG","ANG MO KIO","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
294,"TECK WHYE PRIMARY SCHOOL","http://www.teckwhyepri.moe.edu.sg","11   TECK WHYE WALK",688261,67691025,67635191,"twps@moe.edu.sg","Choa Chu Kang MRT & LRT","975, 190 & 985","MISS WONG LIANG- JI TABITHA","CHOA CHU KANG","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
296,"TELOK KURAU PRIMARY SCHOOL","http://www.telokkuraupri.moe.edu.sg","50   BEDOK RESERVOIR RD",479239,62441600,62442182,"telokkuraups@moe.edu.sg","Kaki Bukit MRT (nearest)","8, 15, 22, 55, 65, 60,66, 87 & 506","MISS LAU WAN SZE","BEDOK","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
298,"TEMASEK PRIMARY SCHOOL","http://www.temasekpri.moe.edu.sg","501  BEDOK SOUTH AVE 3",469300,64438134,64495871,"temasek_ps@moe.edu.sg","TANAH MERAH MRT","229, 10, 14, 13, 48, 43, 506","MDM ANG GEK LENG ALISON AMANDA","BEDOK","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
300,"TOWNSVILLE PRIMARY SCHOOL","http://www.townsvillepri.moe.edu.sg/","3    ANG MO KIO AVE 10",569730,64574345,64570141,"TOWNSVILLEPS@MOE.EDU.SG","Bishan MRT, Ang Mo Kio MRT Stations","45, 50, 55, 261, 548, 22, 24, 128, 135, 159, 162, 162M, 262, 853","MR TAN BOON HONG VICTOR","ANG MO KIO","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
306,"WATERWAY PRIMARY SCHOOL","https://waterwaypri.moe.edu.sg","70   Punggol Drive",828802,,,"waterway_ps@moe.edu.sg","Kadaloor LRT Station","50, 381","MRS WEE KWAN LIAM","PUNGGOL","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
307,"WELLINGTON PRIMARY SCHOOL","http://www.wellingtonpri.moe.edu.sg","10   WELLINGTON CIRCLE",757702,67533319,67533765,"WELLINGTONPS@MOE.EDU.SG","SEMBAWANG MRT","980, 856, 859","MR ALCANTARA ALBERT ALFRED","SEMBAWANG","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
308,"WEST GROVE PRIMARY SCHOOL","http://www.westgrovepri.moe.edu.sg/","1    JURONG WEST ST 72",649223,62679234,62679235,"WGPS@MOE.EDU.SG","BOON LAY MRT","Bus 99, 242","MRS CHANDLER JAY SIVA","JURONG WEST","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
309,"WEST SPRING PRIMARY SCHOOL","http://www.westspringpri.moe.edu.sg","60   Bukit Panjang Ring Road",679946,63144192,,"westspring_ps@moe.edu.sg","Jelapang LRT","920, 922","MR WILLY TAN NGUAN PENG","BUKIT PANJANG","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
311,"WEST VIEW PRIMARY SCHOOL","http://www.westviewpri.moe.edu.sg","31   SENJA ROAD",677742,67600178,67600147,"wvps@moe.edu.sg","Bukit Panjang MRT, SENJA LRT (A13)","","MR EDDIE FOO CHIT CHEONG","BUKIT PANJANG","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
312,"WESTWOOD PRIMARY SCHOOL","http://www.westwoodpri.moe.edu.sg","1    Jurong West Street 73",649188,64121690,67945084,"westwood_ps@moe.edu.sg","Boon Lay MRT Station","181, 502 & 243","MR MAH SENG THONG ANDREW","JURONG WEST","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
314,"WHITE SANDS PRIMARY SCHOOL","http://www.whitesandspri.moe.edu.sg","2    PASIR RIS ST 11",519075,69229100,65815013,"wsps@moe.edu.sg","Pasir Ris MRT Station","12, 17, 21, 39, 53, 81, 518, 109","MDM WONG LIN LIN AUDREY","PASIR RIS","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
316,"WOODGROVE PRIMARY SCHOOL","http://www.woodgrovepri.moe.edu.sg/","2    WOODLANDS DRIVE 14",738079,68943371,68943372,"WOODGROVE_PS@MOE.EDU.SG","Woodlands MRT Station","","MS ADELINE TAN WEE KIAW","WOODLANDS","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
318,"WOODLANDS PRIMARY SCHOOL","http://www.woodlandspri.moe.edu.sg","10   WOODLANDS DRIVE 50",738853,62697410,63671165,"wdp@moe.edu.sg","Woodlands","912 & 912E","MISS KUCK LI LIAN LILLIAN","WOODLANDS","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
319,"WOODLANDS RING PRIMARY SCHOOL","HTTP://www.woodlandsringpri.moe.edu.sg","11   WOODLANDS RING ROAD",738240,63643679,63643490,"WRPS@MOE.EDU.SG","Admiralty MRT Station","","MISS GEETHA D/O DORAISAMY","WOODLANDS","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
322,"XINGHUA PRIMARY SCHOOL","http://www.xinghuapri.moe.edu.sg","45   HOUGANG AVENUE 1",538882,62889121,62838831,"XINGHUA_PS@MOE.EDU.SG","Kovan MRT Station","Bus services 53, 62, 112, 113, 115","MR CHEW MUN WAI","HOUGANG","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
323,"XINGNAN PRIMARY SCHOOL","http://www.xingnanpri.moe.edu.sg","5    JURONG WEST STREET 91",649036,67913679,67921493,"XINGNAN_PS@MOE.EDU.SG","Pioneer MRT Station","Bus 99 & 241","MR CHAN GEOK ANN CHARLES","JURONG WEST","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
324,"XINMIN PRIMARY SCHOOL","http://www.xinminpri.moe.edu.sg/","9    HOUGANG AVENUE 8",538784,62835479,62880334,"xinmin_ps@moe.edu.sg","Nil","74, 147, 165, 112","MDM TAN KAY LING","HOUGANG","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
326,"XISHAN PRIMARY SCHOOL","https://www.xishanpri.moe.edu.sg/","8    YISHUN STREET 21",768611,67588837,67588361,"XISHAN_PS@MOE.EDU.SG","o   Alight at Yishun MRT Station o   Take Exit C o   Walk towards Yishun Street 21","Along Yishun Ave 2,take Bus Service 117, 169, 804, 812, 965. Alight at Blk 220. Along Yishun Ring Road,take Bus Service 1N, 800, 804, NR1. Alight at Blk 227 or 236.","MRS QUEK-SIM KIM LIANG ANNE","YISHUN","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
327,"YANGZHENG PRIMARY SCHOOL","http://www.yangzhengpri.moe.edu.sg/","15   SERANGOON AVENUE 3",556108,62846298,62879778,"YZPS@MOE.EDU.SG","Serangoon Station","58 & 105 (Outside the school, Serangoon Ave 3) 133 & 135(Serangoon Ave 2)","MRS LIM- FOO BOON CHING","SERANGOON","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
328,"YEW TEE PRIMARY SCHOOL","http://www.yewteepri.moe.edu.sg","10   CHOA CHU KANG ST 64",689100,67670027,67675450,"YTPS@MOE.EDU.SG","Yew Tee MRT Station","","MISS ANG MUI KHOONG","CHOA CHU KANG","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
329,"YIO CHU KANG PRIMARY SCHOOL","http://www.yiochukangpri.moe.edu.sg","1    HOUGANG STREET 51",538720,63851365,63855915,"admin_yckps@moe.edu.sg","Hougang MRT Station Yio Chu Kang MRT Station","88,101,109,159,161 and 325","MR NG AIK BOON","HOUGANG","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
332,"YISHUN PRIMARY SCHOOL","http://www.yishunpri.moe.edu.sg","500  YISHUN RING ROAD",768679,62577461,67554198,"YPS@MOE.EDU.SG","Yishun","Translink Feeder Service 800 & 812","MR CHAN WENG YEW MARVIN","YISHUN","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
337,"YUHUA PRIMARY SCHOOL","http://www.yuhuapri.moe.edu.sg","158  JURONG EAST STREET 24",609558,65605062,65648278,"YUHUA_PS@MOE.EDU.SG","Jurong East, Bukit Batok","98,98A,187,333,502,507,NR5","MDM TENG LAI KWAN","JURONG EAST","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
342,"ZHANGDE PRIMARY SCHOOL","http://www.zhangdepri.moe.edu.sg/","51   Jalan Membina",169485,62740357,62763042,"ZHANGDE_PS@MOE.EDU.SG","Tiong Bahru MRT Station","16,33,63,123,195,605,851,14,65,147,167,196,197,961","MDM RITA RAJLAL","BUKIT MERAH","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
343,"ZHENGHUA PRIMARY SCHOOL","http://www.zhenghuapri.moe.edu.sg","9    Fajar Road",679002,67697478,67636459,"zhenghua_ps@moe.edu.sg","LRT: Fajar Station","190, 184, 187, 700, 700A, 921","MDM WONG HIAN HWEE CONSTANCE","BUKIT PANJANG","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
345,"ZHONGHUA PRIMARY SCHOOL","http://www.zhonghuapri.moe.edu.sg","12   SERANGOON AVENUE 4",556095,62835413,62823882,"zhonghua_ps@moe.edu.sg","Ang Mo Kio MRT, Bishan MRT, Serangoon MRT","Boundary Road: 22,24,53,105,156,315,853,501,502 Yio Chu Kang Road: 70,76,103,147,156,501,502","MDM ROSTINAH BTE MOHAMAD SAID","SERANGOON","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
94,"ENDEAVOUR PRIMARY SCHOOL","https://endeavourpri.moe.edu.sg/","10   Admiralty Link",757521,64824650,64824670,"endeavour_ps@moe.edu.sg","Sembawang MRT Station","859, 962","MR KOH KIAN SENG THOMAS","SEMBAWANG","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","na"
