Product Name,Brand,Subcategory,Category,Weight (kg),Color,Manufacturer,Weight Category
"Desktop Type 7, HP","HP","Desktop","Computer",2.28,"Blue","USA","moderate"
"Desktop Type 8, HP","HP","Desktop","Computer",2.08,"Navy","China","moderate"
"Desktop Type 9, HP","HP","Desktop","Computer",3.6,"Navy","USA","moderate"
"Desktop Type 11, HP","HP","Desktop","Computer",3.48,"Red","USA","moderate"
"Laptop Type 1, Samsung","Samsung","Laptop","Computer",2.842,"Orange","China","moderate"
"Laptop Type 3, Samsung","Samsung","Laptop","Computer",2.784,"Red","China","moderate"
"Laptop Type 4, Samsung","Samsung","Laptop","Computer",2.465,"Green","China","moderate"
"Laptop Type 5, Samsung","Samsung","Laptop","Computer",1.682,"Purple","USA","moderate"
"Laptop Type 6, Samsung","Samsung","Laptop","Computer",2.3779999999999997,"Red","USA","moderate"
"Monitor Type 1, Samsung","Samsung","Monitor","Accessories",1.0829999999999997,"Purple","China","moderate"
"Desktop Type 1, Samsung","Samsung","Desktop","Computer",3.52,"Red","China","moderate"
"Desktop Type 2, Samsung","Samsung","Desktop","Computer",3.36,"Red","China","moderate"
"Desktop Type 4, Samsung","Samsung","Desktop","Computer",2.36,"Navy","USA","moderate"
"Desktop Type 5, Samsung","Samsung","Desktop","Computer",2.6,"Purple","USA","moderate"
"Desktop Type 6, Samsung","Samsung","Desktop","Computer",1.24,"Orange","USA","moderate"
"Desktop Type 7, Samsung","Samsung","Desktop","Computer",3.52,"Red","China","moderate"
"Desktop Type 8, Samsung","Samsung","Desktop","Computer",1.56,"Orange","China","moderate"
"Desktop Type 9, Samsung","Samsung","Desktop","Computer",2.52,"Purple","China","moderate"
"Desktop Type 10, Samsung","Samsung","Desktop","Computer",2.36,"Blue","USA","moderate"
"Desktop Type 11, Samsung","Samsung","Desktop","Computer",1.56,"Green","USA","moderate"
"Desktop Type 12, Samsung","Samsung","Desktop","Computer",3.04,"Purple","China","moderate"
"Laptop Type 1, Huawei","Huawei","Laptop","Computer",2.813,"Yellow","USA","moderate"
"Laptop Type 2, Huawei","Huawei","Laptop","Computer",2.436,"Orange","China","moderate"
"Laptop Type 4, Huawei","Huawei","Laptop","Computer",1.7109999999999999,"Orange","USA","moderate"
"Laptop Type 5, Huawei","Huawei","Laptop","Computer",1.16,"Blue","China","moderate"
"Monitor Type 1, Huawei","Huawei","Monitor","Accessories",1.8049999999999995,"Blue","USA","moderate"
"Monitor Type 2, Huawei","Huawei","Monitor","Accessories",1.5579999999999996,"Orange","China","moderate"
"Monitor Type 4, Huawei","Huawei","Monitor","Accessories",1.1399999999999997,"Green","China","moderate"
"Desktop Type 1, Huawei","Huawei","Desktop","Computer",3.12,"Navy","USA","moderate"
"Desktop Type 2, Huawei","Huawei","Desktop","Computer",3.16,"Red","China","moderate"
"Desktop Type 3, Huawei","Huawei","Desktop","Computer",1.48,"Blue","USA","moderate"
"Desktop Type 4, Huawei","Huawei","Desktop","Computer",4,"Red","USA","moderate"
"Desktop Type 5, Huawei","Huawei","Desktop","Computer",3.72,"Green","China","moderate"
"Desktop Type 6, Huawei","Huawei","Desktop","Computer",2.84,"Navy","USA","moderate"
"Desktop Type 7, Huawei","Huawei","Desktop","Computer",1.44,"Orange","China","moderate"
"Desktop Type 8, Huawei","Huawei","Desktop","Computer",1.36,"Navy","China","moderate"
"Desktop Type 9, Huawei","Huawei","Desktop","Computer",2.28,"Navy","China","moderate"
"Desktop Type 11, Huawei","Huawei","Desktop","Computer",3.56,"Blue","China","moderate"
"Desktop Type 12, Huawei","Huawei","Desktop","Computer",2.44,"Yellow","USA","moderate"
