RheologyParameters,Value,Depth meter,FormationName,Lithology,HoleSize inch,WellName
"Salinity*1000 ppm",267,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"FluidLoss cc/30min",12,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"pH",9.6,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"WaterVolume %",86,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"SolidVolume %",14,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"MBT ppb",7.5,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"MudWeight pcf",80,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"FunnelViscosity spq",43,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"PV cp",11,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"YP lbs/100 sq.ft",15,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"Gel 10sec",3,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"Gel 10min",5,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"TotalHardness ppm",1200,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"Salinity*1000 ppm",267,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"FluidLoss cc/30min",12,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"pH",9.5,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"WaterVolume %",84,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"SolidVolume %",16,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"MBT ppb",7.5,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"MudWeight pcf",80,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"FunnelViscosity spq",43,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"PV cp",11,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"YP lbs/100 sq.ft",15,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"Gel 10sec",3,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"Gel 10min",5,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"TotalHardness ppm",1200,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"Salinity*1000 ppm",267,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"FluidLoss cc/30min",12,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"pH",9.5,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"WaterVolume %",84,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"SolidVolume %",16,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"MBT ppb",7.5,545,"Gachsaran7","ANHY/MARL",26,"WellB"
"MudWeight pcf",80,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"FunnelViscosity spq",43,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"PV cp",11,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"YP lbs/100 sq.ft",15,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"Gel 10sec",3,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"Gel 10min",5,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"TotalHardness ppm",1200,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"Salinity*1000 ppm",267,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"FluidLoss cc/30min",12,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"pH",9.5,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"WaterVolume %",84,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"SolidVolume %",16,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"MBT ppb",7.5,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"MudWeight pcf",80,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"FunnelViscosity spq",43,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"PV cp",11,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"YP lbs/100 sq.ft",15,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"Gel 10sec",3,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"Gel 10min",5,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"TotalHardness ppm",1200,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"Salinity*1000 ppm",267,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"FluidLoss cc/30min",12,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"pH",9.5,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"WaterVolume %",84,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"SolidVolume %",16,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"MBT ppb",7.5,545,"Gachsaran7","ANHY/MARL",17.5,"WellB"
"MudWeight pcf",127,758,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FunnelViscosity spq",50,758,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"PV cp",30,758,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"YP lbs/100 sq.ft",18,758,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10sec",3,758,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10min",5,758,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"TotalHardness ppm",1520,758,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Salinity*1000 ppm",300,758,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FluidLoss cc/30min",3,758,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"pH",9.5,758,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"WaterVolume %",64,758,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"SolidVolume %",36,758,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MBT ppb",7.5,758,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MudWeight pcf",127,805,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FunnelViscosity spq",60,805,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"PV cp",30,805,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"YP lbs/100 sq.ft",24,805,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10sec",5,805,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10min",7,805,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"TotalHardness ppm",1520,805,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Salinity*1000 ppm",300,805,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FluidLoss cc/30min",3,805,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"pH",9.6,805,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"WaterVolume %",64,805,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"SolidVolume %",36,805,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MBT ppb",7.5,805,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MudWeight pcf",130,851,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FunnelViscosity spq",95,851,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"PV cp",32,851,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"YP lbs/100 sq.ft",34,851,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10sec",21,851,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10min",23,851,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"TotalHardness ppm",1920,851,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Salinity*1000 ppm",300,851,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FluidLoss cc/30min",25,851,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"pH",9.5,851,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"WaterVolume %",62,851,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"SolidVolume %",38,851,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MBT ppb",7.5,851,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MudWeight pcf",130,903,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FunnelViscosity spq",65,903,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"PV cp",40,903,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"YP lbs/100 sq.ft",24,903,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10sec",6,903,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10min",8,903,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"TotalHardness ppm",1400,903,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Salinity*1000 ppm",300,903,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FluidLoss cc/30min",8,903,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"pH",9.1,903,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"WaterVolume %",62,903,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"SolidVolume %",38,903,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MBT ppb",10,903,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MudWeight pcf",130,916,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FunnelViscosity spq",65,916,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"PV cp",37,916,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"YP lbs/100 sq.ft",23,916,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10sec",6,916,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10min",8,916,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"TotalHardness ppm",1480,916,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Salinity*1000 ppm",310,916,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FluidLoss cc/30min",6,916,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"pH",9.2,916,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"WaterVolume %",62,916,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"SolidVolume %",38,916,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MBT ppb",10,916,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MudWeight pcf",130,994,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FunnelViscosity spq",67,994,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"PV cp",39,994,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"YP lbs/100 sq.ft",26,994,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10sec",8,994,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10min",10,994,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"TotalHardness ppm",1520,994,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Salinity*1000 ppm",310,994,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FluidLoss cc/30min",6,994,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"pH",9.3,994,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"WaterVolume %",62,994,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"SolidVolume %",38,994,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MBT ppb",10,994,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MudWeight pcf",130,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FunnelViscosity spq",57,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"PV cp",34,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"YP lbs/100 sq.ft",23,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10sec",5,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10min",7,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"TotalHardness ppm",1480,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Salinity*1000 ppm",310,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FluidLoss cc/30min",6,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"pH",9.2,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"WaterVolume %",62,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"SolidVolume %",38,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MBT ppb",10,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MudWeight pcf",130,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FunnelViscosity spq",57,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"PV cp",34,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"YP lbs/100 sq.ft",22,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10sec",5,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10min",7,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"TotalHardness ppm",1480,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Salinity*1000 ppm",310,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FluidLoss cc/30min",5,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"pH",9.2,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"WaterVolume %",62,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"SolidVolume %",38,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MBT ppb",10,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MudWeight pcf",130,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FunnelViscosity spq",57,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"PV cp",37,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"YP lbs/100 sq.ft",21,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10sec",3,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10min",5,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"TotalHardness ppm",1480,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Salinity*1000 ppm",310,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FluidLoss cc/30min",3,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"pH",9.2,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"WaterVolume %",62,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"SolidVolume %",38,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MBT ppb",7.5,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MudWeight pcf",130,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FunnelViscosity spq",55,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"PV cp",38,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"YP lbs/100 sq.ft",21,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10sec",3,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10min",5,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"TotalHardness ppm",1480,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Salinity*1000 ppm",310,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FluidLoss cc/30min",3,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"pH",9.2,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"WaterVolume %",62,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"SolidVolume %",38,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MBT ppb",7.5,1026,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MudWeight pcf",130,1069,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FunnelViscosity spq",51,1069,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"PV cp",37,1069,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"YP lbs/100 sq.ft",18,1069,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10sec",3,1069,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10min",5,1069,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"TotalHardness ppm",1480,1069,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Salinity*1000 ppm",310,1069,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FluidLoss cc/30min",4,1069,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"pH",9.4,1069,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"WaterVolume %",62,1069,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"SolidVolume %",38,1069,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MBT ppb",7.5,1069,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MudWeight pcf",130,1126,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FunnelViscosity spq",51,1126,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"PV cp",33,1126,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"YP lbs/100 sq.ft",18,1126,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10sec",3,1126,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10min",5,1126,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"TotalHardness ppm",1480,1126,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Salinity*1000 ppm",310,1126,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FluidLoss cc/30min",3,1126,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"pH",9.2,1126,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"WaterVolume %",62,1126,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"SolidVolume %",38,1126,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MBT ppb",7.5,1126,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MudWeight pcf",130,1171,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FunnelViscosity spq",53,1171,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"PV cp",39,1171,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"YP lbs/100 sq.ft",18,1171,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10sec",3,1171,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10min",5,1171,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"TotalHardness ppm",1480,1171,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Salinity*1000 ppm",310,1171,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FluidLoss cc/30min",4,1171,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"pH",9.3,1171,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"WaterVolume %",62,1171,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"SolidVolume %",38,1171,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MBT ppb",7.5,1171,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MudWeight pcf",131,1211,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FunnelViscosity spq",58,1211,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"PV cp",32,1211,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"YP lbs/100 sq.ft",21,1211,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10sec",4,1211,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10min",6,1211,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"TotalHardness ppm",1480,1211,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Salinity*1000 ppm",310,1211,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FluidLoss cc/30min",4,1211,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"pH",9.3,1211,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"WaterVolume %",62,1211,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"SolidVolume %",38,1211,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MBT ppb",8.75,1211,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MudWeight pcf",132,1266,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FunnelViscosity spq",60,1266,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"PV cp",30,1266,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"YP lbs/100 sq.ft",20,1266,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10sec",4,1266,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10min",6,1266,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"TotalHardness ppm",1800,1266,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Salinity*1000 ppm",310,1266,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FluidLoss cc/30min",4,1266,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"pH",9.2,1266,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"WaterVolume %",61,1266,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"SolidVolume %",39,1266,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MBT ppb",7.5,1266,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MudWeight pcf",134,1327,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FunnelViscosity spq",69,1327,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"PV cp",35,1327,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"YP lbs/100 sq.ft",27,1327,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10sec",7,1327,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Gel 10min",9,1327,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"TotalHardness ppm",1560,1327,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"Salinity*1000 ppm",310,1327,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"FluidLoss cc/30min",5,1327,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"pH",9.2,1327,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"WaterVolume %",60,1327,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"SolidVolume %",40,1327,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MBT ppb",8.75,1327,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"MudWeight pcf",67,119,"Mishan","GrayMarl",26,"WellB"
"FunnelViscosity spq",55,119,"Mishan","GrayMarl",26,"WellB"
"PV cp",7,119,"Mishan","GrayMarl",26,"WellB"
"YP lbs/100 sq.ft",20,119,"Mishan","GrayMarl",26,"WellB"
"Gel 10sec",16,119,"Mishan","GrayMarl",26,"WellB"
"Gel 10min",18,119,"Mishan","GrayMarl",26,"WellB"
"TotalHardness ppm",800,119,"Mishan","GrayMarl",26,"WellB"
"Salinity*1000 ppm",3.3,119,"Mishan","GrayMarl",26,"WellB"
"pH",11,119,"Mishan","GrayMarl",26,"WellB"
"WaterVolume %",96,119,"Mishan","GrayMarl",26,"WellB"
"SolidVolume %",4,119,"Mishan","GrayMarl",26,"WellB"
"MudWeight pcf",67,152,"Mishan","GrayMarl",26,"WellB"
"FunnelViscosity spq",57,152,"Mishan","GrayMarl",26,"WellB"
"PV cp",8,152,"Mishan","GrayMarl",26,"WellB"
"YP lbs/100 sq.ft",22,152,"Mishan","GrayMarl",26,"WellB"
"Gel 10sec",16,152,"Mishan","GrayMarl",26,"WellB"
"Gel 10min",18,152,"Mishan","GrayMarl",26,"WellB"
"TotalHardness ppm",800,152,"Mishan","GrayMarl",26,"WellB"
"Salinity*1000 ppm",3.3,152,"Mishan","GrayMarl",26,"WellB"
"pH",11,152,"Mishan","GrayMarl",26,"WellB"
"WaterVolume %",96,152,"Mishan","GrayMarl",26,"WellB"
"SolidVolume %",4,152,"Mishan","GrayMarl",26,"WellB"
"MudWeight pcf",70,203,"Mishan","GrayMarl",26,"WellB"
"FunnelViscosity spq",40,203,"Mishan","GrayMarl",26,"WellB"
"PV cp",7,203,"Mishan","GrayMarl",26,"WellB"
"YP lbs/100 sq.ft",10,203,"Mishan","GrayMarl",26,"WellB"
"Gel 10sec",2,203,"Mishan","GrayMarl",26,"WellB"
"Gel 10min",3,203,"Mishan","GrayMarl",26,"WellB"
"TotalHardness ppm",600,203,"Mishan","GrayMarl",26,"WellB"
"Salinity*1000 ppm",200,203,"Mishan","GrayMarl",26,"WellB"
"FluidLoss cc/30min",15,203,"Mishan","GrayMarl",26,"WellB"
"pH",9.7,203,"Mishan","GrayMarl",26,"WellB"
"WaterVolume %",92,203,"Mishan","GrayMarl",26,"WellB"
"SolidVolume %",8,203,"Mishan","GrayMarl",26,"WellB"
"MBT ppb",7.5,203,"Mishan","GrayMarl",26,"WellB"
"MudWeight pcf",71,260,"Gachsaran7","GrayMarl",26,"WellB"
"FunnelViscosity spq",42,260,"Gachsaran7","GrayMarl",26,"WellB"
"PV cp",8,260,"Gachsaran7","GrayMarl",26,"WellB"
"YP lbs/100 sq.ft",10,260,"Gachsaran7","GrayMarl",26,"WellB"
"Gel 10sec",2,260,"Gachsaran7","GrayMarl",26,"WellB"
"Gel 10min",3,260,"Gachsaran7","GrayMarl",26,"WellB"
"TotalHardness ppm",600,260,"Gachsaran7","GrayMarl",26,"WellB"
"Salinity*1000 ppm",200,260,"Gachsaran7","GrayMarl",26,"WellB"
"FluidLoss cc/30min",15,260,"Gachsaran7","GrayMarl",26,"WellB"
"pH",9.8,260,"Gachsaran7","GrayMarl",26,"WellB"
"WaterVolume %",92,260,"Gachsaran7","GrayMarl",26,"WellB"
"SolidVolume %",8,260,"Gachsaran7","GrayMarl",26,"WellB"
"MBT ppb",7.5,260,"Gachsaran7","GrayMarl",26,"WellB"
"MudWeight pcf",71,280,"Gachsaran7","GrayMarl",26,"WellB"
"FunnelViscosity spq",42,280,"Gachsaran7","GrayMarl",26,"WellB"
"PV cp",8,280,"Gachsaran7","GrayMarl",26,"WellB"
