atributo,nome_servico,nome_campo,tipo_campo,cod_campo,contexto,tipo_metrica,unidade,Column9
"quantidadeDeEncaminhamentosParaOPAIF","Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Encaminhamentos para o PAIF","numeric","CF-2",1,"2","<classificar>",""
"realizaMonitoramentoDaAlimentacaoDosDadosNosSistemasDaRedeSUASEDaPlataformaEstadualPelasDemaisAreas-alimentacaoDaPlataformaEstadualDeMonitoramentoDaPAS","","","","MS-5",1,"","<classificar>",""
"realizaMonitoramentoDaAlimentacaoDosDadosNosSistemasDaRedeSUASEDaPlataformaEstadualPelasDemaisAreas-CAD_SUAS","","","","MS-1",1,"","<classificar>",""
"realizaMonitoramentoDaAlimentacaoDosDadosNosSistemasDaRedeSUASEDaPlataformaEstadualPelasDemaisAreas-demonstrativoSinteticoDeExecucaoFisicoFinanceiro","","","","MS-6",1,"","<classificar>",""
"realizaMonitoramentoDaAlimentacaoDosDadosNosSistemasDaRedeSUASEDaPlataformaEstadualPelasDemaisAreas-E-CPF","","","","MS-2",1,"","<classificar>",""
"realizaMonitoramentoDaAlimentacaoDosDadosNosSistemasDaRedeSUASEDaPlataformaEstadualPelasDemaisAreas-planoDeAcaoSAA","","","","MS-7",1,"","<classificar>",""
"realizaMonitoramentoDaAlimentacaoDosDadosNosSistemasDaRedeSUASEDaPlataformaEstadualPelasDemaisAreas-RMA","","","","MS-3",1,"","<classificar>",""
"realizaMonitoramentoDaAlimentacaoDosDadosNosSistemasDaRedeSUASEDaPlataformaEstadualPelasDemaisAreas-simpeti","","","","MS-8",1,"","<classificar>",""
"realizaMonitoramentoDaAlimentacaoDosDadosNosSistemasDaRedeSUASEDaPlataformaEstadualPelasDemaisAreas-SISC","","","","MS-4",1,"","<classificar>",""
"RelatoriodeGestaoDoExercicioAnterior-possui","Instrumentos de Gestão","Relatório de Gestão do exercício anterior","binary","IG-3",1,"1","<classificar>",""
"republicaIdosos-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA","República - Idosos","Instrumentais Metodológicos - A Unidade Utiliza Plano Individual de Atendimento - PIA","binary","IG-3",1,"1","<classificar>",""
"republicaIdosos-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","República - Idosos","Pessoas que foram Desligadas do Servico Por Autonomia","numeric","CF-4",1,"2","<classificar>",""
"republicaIdosos-quantidadeDePessoasBeneficiariasDeAuxilioMoradiaAluguelSocial","República - Idosos","Pessoas Beneficiárias de Auxílio Moradia/Aluguel Social","numeric","CF-4",1,"2","<classificar>",""
"republicaIdosos-quantidadeDePessoasForamAcolhidas","República - Idosos","Pessoas Acolhidas","numeric","CF-4",1,"2","<classificar>",""
"republicaIdosos-quantidadeDePessoasForamDesligadasDoServicoPorObito","República - Idosos","Pessoas Desligadas do Servico Por Óbito","numeric","CF-4",1,"2","<classificar>",""
"republicaIdosos-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","República - Idosos","Pessoas que foram Desligadas do Serviço por Reinserção Familiar","numeric","CF-4",1,"2","<classificar>",""
"republicaIdosos-quantidadeDePessoasSaoBeneficiariasDoBPC","República - Idosos","Pessoas Beneficiárias do BPC","numeric","CF-4",1,"2","<classificar>",""
"republicaIdosos-quantidadeDeUnidadesDeNaturezaGovernamental","República - Idosos","Unidades De Natureza Governamental","numeric","CF-4",1,"2","<classificar>",""
"republicaIdosos-quantidadeDeUnidadesDeNaturezaOrganizacaoDaSociedadeCivil","República - Idosos","Unidades de Natureza Organizacao Da Sociedade Civil","numeric","CF-4",1,"2","<classificar>",""
"republicaIdosos-quantidadeDeUnidadesDeNaturezaPrivado","República - Idosos","Unidades de Natureza Privada","numeric","CF-4",1,"2","<classificar>",""
"republicaIdosos-quantidadeDeUnidadesNoMunicipio","República - Idosos","Unidades No Município","numeric","CF-4",1,"2","<classificar>",""
"residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA","Residência Inclusiva - Jovens e Adultos com Deficiência (18 a 59 Anos)","Instrumentais Metodológicos - A Unidade Utiliza Plano Individual de Atendimento - PIA","binary","RAD-1",1,"1","<classificar>",""
"residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDeUnidadesDeNaturezaGovernamental","Residência Inclusiva - Jovens e Adultos com Deficiência (18 a 59 Anos)","Unidades De Natureza Governamental","numeric","RAD-8",1,"2","Unidades",""
"residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDeUnidadesDeNaturezaOrganizacaoDaSociedadeCivil","Residência Inclusiva - Jovens e Adultos com Deficiência (18 a 59 Anos)","Unidades de Natureza Organizacao Da Sociedade Civil","numeric","RAD-9",1,"2","Unidades",""
"residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDeUnidadesDeNaturezaPrivado","Residência Inclusiva - Jovens e Adultos com Deficiência (18 a 59 Anos)","Unidades de Natureza Privada","numeric","RAD-10",1,"2","Unidades",""
"residenciaInclusivaJovensEAdultosComDeficiencia18A59Anos-quantidadeDeUnidadesNoMunicipio","Residência Inclusiva - Jovens e Adultos com Deficiência (18 a 59 Anos)","Unidades No Município","numeric","RAD-11",1,"2","Unidades",""
"capacitacoesOfertadasGestaoSUAS-conselheiros-quantidadeEstado","Capacitações Ofertadas Gestão SUAS","Conselheiros no Estado","numeric","CE",1,"","Pessoas",""
"capacitacoesOfertadasGestaoSUAS-conselheiros-quantidadeGovernoFederal","Capacitações Ofertadas Gestão SUAS","Conselheiros no Governo Federal","numeric","CF",1,"","Pessoas",""
"capacitacoesOfertadasGestaoSUAS-conselheiros-quantidadeMunicipio","Capacitações Ofertadas Gestão SUAS","Conselheiros no Município","numeric","CM",1,"","Pessoas",""
"capacitacoesOfertadasGestaoSUAS-gestor-quantidadeEstado","Capacitações Ofertadas Gestão SUAS","Gestores no Estado","numeric","GE",1,"","Pessoas",""
"capacitacoesOfertadasGestaoSUAS-gestor-quantidadeGovernoFederal","Capacitações Ofertadas Gestão SUAS","Gestores no Governo Federal","numeric","GF",1,"","Pessoas",""
"capacitacoesOfertadasGestaoSUAS-gestor-quantidadeMunicipio","Capacitações Ofertadas Gestão SUAS","Gestores no Município","numeric","GM",1,"","Pessoas",""
"capacitacoesOfertadasGestaoSUAS-trabalhadoresDeNivelMedio-quantidadeEstado","Capacitações Ofertadas Gestão SUAS","Trabalhadores Nível Médio no Estado","numeric","TME",1,"","Pessoas",""
"capacitacoesOfertadasGestaoSUAS-trabalhadoresDeNivelMedio-quantidadeGovernoFederal","Capacitações Ofertadas Gestão SUAS","Trabalhadores Nível Médio no Governo Federal","numeric","TMF",1,"","Pessoas",""
"capacitacoesOfertadasGestaoSUAS-trabalhadoresDeNivelMedio-quantidadeMunicipio","Capacitações Ofertadas Gestão SUAS","Trabalhadores Nível Médio no Município","numeric","TMM",1,"","Pessoas",""
"capacitacoesOfertadasGestaoSUAS-trabalhadoresDeNivelSuperior-quantidadeEstado","Capacitações Ofertadas Gestão SUAS","Trabalhadores Nível Superior no Estado","numeric","TSE",1,"","Pessoas",""
"capacitacoesOfertadasGestaoSUAS-trabalhadoresDeNivelSuperior-quantidadeGovernoFederal","Capacitações Ofertadas Gestão SUAS","Trabalhadores Nível Superior no Governo Federal","numeric","TSF",1,"","Pessoas",""
"capacitacoesOfertadasGestaoSUAS-trabalhadoresDeNivelSuperior-quantidadeMunicipio","Capacitações Ofertadas Gestão SUAS","Trabalhadores Nível Superior no Município","numeric","TSM",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialBasica-conselheiros-quantidadeEstado","Capacitações Ofertadas Proteção Básica","Conselheiros no Estado","numeric","CE",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialBasica-conselheiros-quantidadeGovernoFederal","Capacitações Ofertadas Proteção Básica","Conselheiros no Governo Federal","numeric","CF",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialBasica-conselheiros-quantidadeMunicipio","Capacitações Ofertadas Proteção Básica","Conselheiros no Município","numeric","CM",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialBasica-gestor-quantidadeEstado","Capacitações Ofertadas Proteção Básica","Gestores no Estado","numeric","GE",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialBasica-gestor-quantidadeGovernoFederal","Capacitações Ofertadas Proteção Básica","Gestores no Governo Federal","numeric","GF",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialBasica-gestor-quantidadeMunicipio","Capacitações Ofertadas Proteção Básica","Gestores no Município","numeric","GM",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialBasica-trabalhadoresDeNivelMedio-quantidadeEstado","Capacitações Ofertadas Proteção Básica","Trabalhadores Nível Médio no Estado","numeric","TME",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialBasica-trabalhadoresDeNivelMedio-quantidadeGovernoFederal","Capacitações Ofertadas Proteção Básica","Trabalhadores Nível Médio no Governo Federal","numeric","TMF",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialBasica-trabalhadoresDeNivelMedio-quantidadeMunicipio","Capacitações Ofertadas Proteção Básica","Trabalhadores Nível Médio no Município","numeric","TMM",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialBasica-trabalhadoresDeNivelSuperior-quantidadeEstado","Capacitações Ofertadas Proteção Básica","Trabalhadores Nível Superior no Estado","numeric","TSE",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialBasica-trabalhadoresDeNivelSuperior-quantidadeGovernoFederal","Capacitações Ofertadas Proteção Básica","Trabalhadores Nível Superior no Governo Federal","numeric","TSF",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialBasica-trabalhadoresDeNivelSuperior-quantidadeMunicipio","Capacitações Ofertadas Proteção Básica","Trabalhadores Nível Superior no Município","numeric","TSM",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialControleSocial-conselheiros-quantidadeEstado","Capacitações Ofertadas Proteção e Controle Social","Conselheiros no Estado","numeric","CE",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialControleSocial-conselheiros-quantidadeGovernoFederal","Capacitações Ofertadas Proteção e Controle Social","Conselheiros no Governo Federal","numeric","CF",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialControleSocial-conselheiros-quantidadeMunicipio","Capacitações Ofertadas Proteção e Controle Social","Conselheiros no Município","numeric","CM",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialControleSocial-gestor-quantidadeEstado","Capacitações Ofertadas Proteção e Controle Social","Gestores no Estado","numeric","GE",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialControleSocial-gestor-quantidadeGovernoFederal","Capacitações Ofertadas Proteção e Controle Social","Gestores no Governo Federal","numeric","GF",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialControleSocial-gestor-quantidadeMunicipio","Capacitações Ofertadas Proteção e Controle Social","Gestores no Município","numeric","GM",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialControleSocial-trabalhadoresDeNivelMedio-quantidadeEstado","Capacitações Ofertadas Proteção e Controle Social","Trabalhadores Nível Médio no Estado","numeric","TME",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialControleSocial-trabalhadoresDeNivelMedio-quantidadeGovernoFederal","Capacitações Ofertadas Proteção e Controle Social","Trabalhadores Nível Médio no Governo Federal","numeric","TMF",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialControleSocial-trabalhadoresDeNivelMedio-quantidadeMunicipio","Capacitações Ofertadas Proteção e Controle Social","Trabalhadores Nível Médio no Município","numeric","TMM",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialControleSocial-trabalhadoresDeNivelSuperior-quantidadeEstado","Capacitações Ofertadas Proteção e Controle Social","Trabalhadores Nível Superior no Estado","numeric","TSE",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialControleSocial-trabalhadoresDeNivelSuperior-quantidadeGovernoFederal","Capacitações Ofertadas Proteção e Controle Social","Trabalhadores Nível Superior no Governo Federal","numeric","TSF",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialControleSocial-trabalhadoresDeNivelSuperior-quantidadeMunicipio","Capacitações Ofertadas Proteção e Controle Social","Trabalhadores Nível Superior no Município","numeric","TSM",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialEspecial-conselheiros-quantidadeEstado","Capacitações Ofertadas Proteção Social Especial","Conselheiros no Estado","numeric","CE",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialEspecial-conselheiros-quantidadeGovernoFederal","Capacitações Ofertadas Proteção Social Especial","Conselheiros no Governo Federal","numeric","CF",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialEspecial-conselheiros-quantidadeMunicipio","Capacitações Ofertadas Proteção Social Especial","Conselheiros no Município","numeric","CM",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialEspecial-gestor-quantidadeEstado","Capacitações Ofertadas Proteção Social Especial","Gestores no Estado","numeric","GE",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialEspecial-gestor-quantidadeGovernoFederal","Capacitações Ofertadas Proteção Social Especial","Gestores no Governo Federal","numeric","GF",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialEspecial-gestor-quantidadeMunicipio","Capacitações Ofertadas Proteção Social Especial","Gestores no Município","numeric","GM",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialEspecial-trabalhadoresDeNivelMedio-quantidadeEstado","Capacitações Ofertadas Proteção Social Especial","Trabalhadores Nível Médio no Estado","numeric","TME",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialEspecial-trabalhadoresDeNivelMedio-quantidadeGovernoFederal","Capacitações Ofertadas Proteção Social Especial","Trabalhadores Nível Médio no Governo Federal","numeric","TMF",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialEspecial-trabalhadoresDeNivelMedio-quantidadeMunicipio","Capacitações Ofertadas Proteção Social Especial","Trabalhadores Nível Médio no Município","numeric","TMM",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialEspecial-trabalhadoresDeNivelSuperior-quantidadeEstado","Capacitações Ofertadas Proteção Social Especial","Trabalhadores Nível Superior no Estado","numeric","TSE",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialEspecial-trabalhadoresDeNivelSuperior-quantidadeGovernoFederal","Capacitações Ofertadas Proteção Social Especial","Trabalhadores Nível Superior no Governo Federal","numeric","TSF",1,"","Pessoas",""
"capacitacoesOfertadasProtecaoSocialEspecial-trabalhadoresDeNivelSuperior-quantidadeMunicipio","Capacitações Ofertadas Proteção Social Especial","Trabalhadores Nível Superior no Município","numeric","TSM",1,"","Pessoas",""
"abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","Abrigos Institucionais para Adultos e Famílias","Pessoas que foram Desligadas do Servico Por Autonomia","numeric","AAF-2",1,"2","Pessoas",""
"abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantidadeDeImigrantes","Abrigos Institucionais para Adultos e Famílias","Imigrantes","numeric","AAF-3",1,"2","Pessoas",""
"abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantidadeDePessoasAcolhidas","Abrigos Institucionais para Adultos e Famílias","Pessoas Acolhidas","numeric","AAF-4",1,"2","Pessoas",""
"abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantidadeDePessoasEmSituacaoDeRua","Abrigos Institucionais para Adultos e Famílias","Pessoas em Situação de Rua","numeric","AAF-5",1,"2","Pessoas",""
"abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantidadeDePessoasEmTransito","Abrigos Institucionais para Adultos e Famílias","Pessoas em Transito","numeric","AAF-6",1,"2","Pessoas",""
"abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","Abrigos Institucionais para Adultos e Famílias","Pessoas que foram Desligadas do Serviço por Reinserção Familiar","numeric","AAF-7",1,"2","Pessoas",""
"abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","Abrigo Institucional para Homens em Situção de Rua - Adultos e Familias","Pessoas que foram Desligadas do Servico Por Autonomia","numeric","AIR-2",1,"2","Pessoas",""
"abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantidadeDeImigrantes","Abrigo Institucional para Homens em Situção de Rua - Adultos e Familias","Imigrantes","numeric","AIR-3",1,"2","Pessoas",""
"abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasAcolhidas","Abrigo Institucional para Homens em Situção de Rua - Adultos e Familias","Pessoas Acolhidas","numeric","AIR-4",1,"2","Pessoas",""
"abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasEmSituacaoDeRua","Abrigo Institucional para Homens em Situção de Rua - Adultos e Familias","Pessoas em Situação de Rua","numeric","AIR-4",1,"2","Pessoas",""
"abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasEmTransito","Abrigo Institucional para Homens em Situção de Rua - Adultos e Familias","Pessoas em Transito","numeric","AIR-5",1,"2","Pessoas",""
"abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","Abrigo Institucional para Homens em Situção de Rua - Adultos e Familias","Pessoas que foram Desligadas do Serviço por Reinserção Familiar","numeric","AIR-6",1,"2","Pessoas",""
"abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","Abrigo Institucional para Mulheres em Situção de Rua - adultos e Famílias","Pessoas que foram Desligadas do Servico Por Autonomia","numeric","AIM-2",1,"2","Pessoas",""
"abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantidadeDeImigrantes","Abrigo Institucional para Mulheres em Situção de Rua - adultos e Famílias","Imigrantes","numeric","AIM-3",1,"2","Pessoas",""
"abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasAcolhidas","Abrigo Institucional para Mulheres em Situção de Rua - adultos e Famílias","Pessoas Acolhidas","numeric","AIM-4",1,"2","Pessoas",""
"abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasEmSituacaoDeRua","Abrigo Institucional para Mulheres em Situção de Rua - adultos e Famílias","Pessoas em Situação de Rua","numeric","AIM-5",1,"2","Pessoas",""
"abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasEmTransito","Abrigo Institucional para Mulheres em Situção de Rua - adultos e Famílias","Pessoas em Transito","numeric","AIM-6",1,"2","Pessoas",""
"abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","Abrigo Institucional para Mulheres em Situção de Rua - adultos e Famílias","Pessoas que foram Desligadas do Serviço por Reinserção Familiar","numeric","AIM-7",1,"2","Pessoas",""
"abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","Abrigo Institucional/Unidades de Acolhimento - Criancas/Adolescentes (0 a 17 Anos)","Pessoas que foram Desligadas do Servico Por Autonomia","numeric","AIA-2",1,"2","Pessoas",""
"abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantidadeDeImigrantes","Abrigo Institucional/Unidades de Acolhimento - Criancas/Adolescentes (0 a 17 Anos)","Imigrantes","numeric","AIA-3",1,"2","Pessoas",""
"abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantidadeDePessoasAcolhidas","Abrigo Institucional/Unidades de Acolhimento - Criancas/Adolescentes (0 a 17 Anos)","Pessoas Acolhidas","numeric","AIA-4",1,"2","Pessoas",""
"abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantidadeDePessoasEmSituacaoDeRua","Abrigo Institucional/Unidades de Acolhimento - Criancas/Adolescentes (0 a 17 Anos)","Pessoas em Situação de Rua","numeric","AIA-5",1,"2","Pessoas",""
"abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantidadeDePessoasEmTransito","Abrigo Institucional/Unidades de Acolhimento - Criancas/Adolescentes (0 a 17 Anos)","Pessoas em Transito","numeric","AIA-6",1,"2","Pessoas",""
"abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","Abrigo Institucional/Unidades de Acolhimento - Criancas/Adolescentes (0 a 17 Anos)","Pessoas que foram Desligadas do Serviço por Reinserção Familiar","numeric","AIA-7",1,"2","Pessoas",""
"abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","Abrigo para Mulheres em Situação de Violência - Mulheres em Situacao De Violência","Pessoas que foram Desligadas do Servico Por Autonomia","numeric","AMV-2",1,"2","Pessoas",""
"abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-quantasPessoasForamAcolhidasComMedidaProtetiva","Abrigo para Mulheres em Situação de Violência - Mulheres em Situacao De Violência","Pessoas Acolhidas com Medida Protetiva","numeric","AMV-3",1,"2","Pessoas",""
"abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-quantasPessoasSaoBeneficiariasDeAuxilioNatalidade","Abrigo para Mulheres em Situação de Violência - Mulheres em Situacao De Violência","Pessoas Beneficiárias de Auxílio Natalidade","numeric","AMV-4",1,"2","Pessoas",""
"abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-quantasPessoasSaoBeneficiariasDeAuxilioRecambio","Abrigo para Mulheres em Situação de Violência - Mulheres em Situacao De Violência","Pessoas Beneficiárias de Auxílio Recâmbio","numeric","AMV-5",1,"2","Pessoas",""
"abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-quantidadeDePessoasForamAcolhidas","Abrigo para Mulheres em Situação de Violência - Mulheres em Situacao De Violência","Pessoas Acolhidas","numeric","AMV-6",1,"2","Pessoas",""
"abrigoParaMulheresEmSituacaoDeViolenciaMulheresEmSituacaoDeDeViolencia-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","Abrigo para Mulheres em Situação de Violência - Mulheres em Situacao De Violência","Pessoas que foram Desligadas do Serviço por Reinserção Familiar","numeric","AMV-7",1,"2","Pessoas",""
"abrigoTemporarioCestasBasicasColchoesProgramasDeTransferenciaDeRendasChuvasAlagamentosPandemiasEpidemias-quantasPessoasForamBeneficiariasComOAcolhhimentoEmAbrigoTemporario","abrigo Temporario/Cestas Basicas/Colchoes/Programas De Transferencia De Rendas - Chuvas/Alagamentos/Pandemias Epidemias","Pessoas Beneficiárias com Acolhimento em Abrigo Temporário","numeric","ATC-3",1,"2","Pessoas",""
"abrigoTemporarioCestasBasicasColchoesProgramasDeTransferenciaDeRendasChuvasAlagamentosPandemiasEpidemias-quantasPessoasForamBeneficiariasDeAuxilioMoradiaOuAluguelSocial","abrigo Temporario/Cestas Basicas/Colchoes/Programas De Transferencia De Rendas - Chuvas/Alagamentos/Pandemias Epidemias","Pessoas Beneficiárias de Auxílio Moradia/Aluguel Social","numeric","ATC-4",1,"2","Pessoas",""
"abrigoTemporarioCestasBasicasColchoesProgramasDeTransferenciaDeRendasChuvasAlagamentosPandemiasEpidemias-quantasPessoasForamBeneficiariasDeBeneficioEventualEmSituacaoDeCalamidade","abrigo Temporario/Cestas Basicas/Colchoes/Programas De Transferencia De Rendas - Chuvas/Alagamentos/Pandemias Epidemias","Pessoas Beneficiárias de Benefício Eventual Em Situação de Calamidade","numeric","ATC-5",1,"2","Pessoas",""
"casasLaresCriancasAdolescentes0A17Anos-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","Casas Lares Criancas/Adolescentes (0 a 17 Anos)","Pessoas que foram Desligadas do Servico Por Autonomia","numeric","CLC-2",1,"2","Pessoas",""
"casasLaresCriancasAdolescentes0A17Anos-quantidadeDePessoasBeneficiariasDeAuxilioMoradiaAluguelSocial","Casas Lares Criancas/Adolescentes (0 a 17 Anos)","Pessoas Beneficiárias de Auxílio Moradia/Aluguel Social","numeric","CLC-3",1,"2","Pessoas",""
"casasLaresCriancasAdolescentes0A17Anos-quantidadeDePessoasForamAcolhidas","Casas Lares Criancas/Adolescentes (0 a 17 Anos)","Pessoas Acolhidas","numeric","CLC-4",1,"2","Pessoas",""
"casasLaresCriancasAdolescentes0A17Anos-quantidadeDePessoasForamDesligadasDoServicoPorObito","Casas Lares Criancas/Adolescentes (0 a 17 Anos)","Pessoas Desligadas do Servico Por Óbito","numeric","CLC-5",1,"2","Pessoas",""
"casasLaresCriancasAdolescentes0A17Anos-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","Casas Lares Criancas/Adolescentes (0 a 17 Anos)","Pessoas que foram Desligadas do Serviço por Reinserção Familiar","numeric","CLC-6",1,"2","Pessoas",""
"casasLaresCriancasAdolescentes0A17Anos-quantidadeDePessoasSaoBeneficiariasDoBPC","Casas Lares Criancas/Adolescentes (0 a 17 Anos)","Pessoas Beneficiárias do BPC","numeric","CLC-7",1,"2","Pessoas",""
"casasLaresIdosos-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","Casas Lares - Idosos","Pessoas que foram Desligadas do Servico Por Autonomia","numeric","CL-2",1,"2","Pessoas",""
"casasLaresIdosos-quantidadeDePessoasBeneficiariasDeAuxilioMoradiaAluguelSocial","Casas Lares - Idosos","Pessoas Beneficiárias de Auxílio Moradia/Aluguel Social","numeric","CL-3",1,"2","Pessoas",""
"casasLaresIdosos-quantidadeDePessoasForamAcolhidas","Casas Lares - Idosos","Pessoas Acolhidas","numeric","CL-4",1,"2","Pessoas",""
"casasLaresIdosos-quantidadeDePessoasForamDesligadasDoServicoPorObito","Casas Lares - Idosos","Pessoas Desligadas do Servico Por Óbito","numeric","CL-5",1,"2","Pessoas",""
"casasLaresIdosos-quantidadeDePessoasForamDesligadasDoServicoPorReinsercaoFamiliar","Casas Lares - Idosos","Pessoas que foram Desligadas do Serviço por Reinserção Familiar","numeric","CL-6",1,"2","Pessoas",""
"casasLaresIdosos-quantidadeDePessoasSaoBeneficiariasDoBPC","Casas Lares - Idosos","Pessoas Beneficiárias do BPC","numeric","CL-7",1,"2","Pessoas",""
"instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantadadeDePessoasForamDesligadasDoServicoPorAutonomia","Instituicao de Longa Permanência para Idosos (ILPIs) - Idosos","Pessoas que foram Desligadas do Servico Por Autonomia","numeric","IPI-2",1,"2","Pessoas",""
"instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDePessoasBeneficiariasDeAuxilioMoradiaAluguelSocial","Instituicao de Longa Permanência para Idosos (ILPIs) - Idosos","Pessoas Beneficiárias de Auxílio Moradia/Aluguel Social","numeric","IPI-3",1,"2","Pessoas",""
"instituicaoDeLongaPermanenciaParaIdososILPIsIdosos-quantidadeDePessoasForamAcolhidas","Instituicao de Longa Permanência para Idosos (ILPIs) - Idosos","Pessoas Acolhidas","numeric","IPI-4",1,"2","Pessoas",""
