cod,descricao
60031,"11 - PISO 72X72  PORC.RET.CLASSIC WHITE BR VIA  ROSA * - BR72000"
60032,"3 -  REJUNT.ACRIL.PAL 1KG CERAMFIX -  603533"
60033,"4 -  REJUNT.ACRIL.BRA 1KG CERAMFIX -  603534"
60034,"21 - PISO 54X54  PORC.RET.PARTEN MATE RUSTICO  DELTA 2L -  PARTENON"
60035,"1 - VIVACE BACIA  C/CX.BOTAFOGO  LT-1012A  C/ASSENTO - LT- 1012A"
60036,"1 - CUBA N.0 ACO  RETANGULAR  34X40 3 1/2  S/ESCAPE  TRAMONTINA -  94020/207"
60037,"1 - CUBA N.2 ACO  RETANGULAR  34X56 4 1/2  C/ESCAPE  TRAMONTINA -  94024/203"
60038,"33 - PISO 80X80  PORC.RET.POLIDO  MARFIM BELLA  DOMUS F -  MARFIM-80-POL"
60039,"20 - PISO 80X80  PORC.RET.POLIDO  AVORIO BELLA  DOMUS F** -"
60041,"ETIQ. ROT.  MAIONESE  TEMPERADA"
60046,"ETIQ. ROT.  MOLHO SUPRA  JACK"
60048,"ETIQ. ROT.  MAIONESE  DEFUMADA"
60049,"ETIQ. ROT.  CHIMICHURRI"
60050,"2 - REV.32X60  RET.BIANCO LUX  VIVACE - BR0434L1"
60051,"MOLHA DEDO  ESPONJA  CARBRINK"
60052,"QUADRO CORT  MADEIRA 45X60  CITYQUADROS"
60053,"CLIPS 4/0 CX 50  GALV 0808-4  BACCHI"
60054,"CABO DE FORCA  TDA PP PT  3X055MM 1.2M"
60055,"TEXTURA RUSTICA  RIO BRANCA 28KG"
60056,"11 - PISO 60X60  PORC.RET.CRISTAL BIANCO  BIANCOGRES -  BP0426B1"
60057,"2 - PISO 16X100  PORC.RET.EBANO  RUSTICO ITAGRES  - 20045A"
60058,"FAIXA CEUSA 8421  BLOC CANELA RET  A T02 43X63CM"
60059,"PISO CASTELLI PN  RET P70705  (1.49)L10 T69  20X120CM"
60060,"PISO SMALT.PN  RET 62008  (1.93)L33 T69  62X62CM"
60061,"GUARNICAO P/  TELA  MOSQUITEIRO"
60062,"1 - VIVACE CUBA  DE APOIO  ITAPARICA - CS- 170"
60063,"MT TABUA 0.30"
60064,"MT TABUA 0.10"
60065,"TUBO SOLD 25MM  TIGRE"
60066,"MT PEDRA 0"
60067,"M3 PEDRA 1"
60068,"1 - BANH. M  ASCOLI MASTER  DUPLA 180/120CM  6JTS FIBRA  MONDIALLE -"
60069,"1 - PAR DE ALCAS  RETA CR  MONDIALLE -  2030005"
60070,"2 - TRAVESSEIRO  MODELO 2 PR  MONDIALLE -"
60071,"1 - ACIONADOR  ELETRONICO  C/SENSOR CR  MONDIALLE -"
60072,"CHEV/PRISMA  1.4AT LTZ*  MODELO 149585*"
60073,"BIANCO GL. 3.6 KG"
60074,"7 - REV.43.2X91  RET.SOIE EVIAN  BRILHANTE CEUSA  - 2936"
60075,"11 - PISO  59X118.2  PORC.RET.PRIMITI DECORTILES -  8033415"
60076,"10 - REV.43.2X91  RET.LICOR  BRILHANTE CEUSA  * - 2451"
60077,"7 - REV.45X66  RET.ART  COMPOSE HD  ITAGRES * -  04262A"
60078,"3 - PISO 90X90  PORC.RET.CORTEN OXI ROCA -  FYJ9B01251"
60079,"11 - PISO 20X120  PORC.RET.BLACKW DECORTILES -  8029954"
60080,"4 - REJUNT.FINE  BEGE CLARO 1KG  INOVATE - 304408"
60081,"1 - REJUNT.FINE  BRANCO 1KG  INOVATTE - 304405"
60082,"2 - REJUNT.FINE  GRAFITE 1KG  INOVATTE - 304406"
60083,"1 - REJUNT.FINE  MARRON  SUCUPIRA 1KG  INOVATTE - 304407"
60084,"1 - REJUNT.FINE  MARRON  SUCUPIRA 1KG  INOVATTE - 304407"
60085,"GRANOLA SEM  ACUCAR 10KG"
60086,"BALANCA FILIZOLA  PLATINA 15KG"
60087,"3 - PISO 60X120  PORC.RET.PULPIS  BROWN ELIANE * -  8030909"
60088,"5 - REV.30X20  RET.MICA NEVE  MONTAGGIO AC  PASSEIO - P- 19901"
60089,"2 - PISO 52.7X105  PORC.RET.OXY  BIANCOGRES -  BO0414O1"
60090,"INTERRUPTOR -  617183 / 5140002- 54"
60091,"MANDRIL LEVE  13MM-1/2"" ROSCA  1/2"" VONDER -  6670013120"
60092,"METALON GALV 25  X 25 X 125"
60093,"AC SILICONE BC  FLEX"
60094,"AC APLICADOR  SILICONE"
60095,"AF TAMPA PMET  40X20"
60096,"PORCELANATO  VILLAGRES 2481  RETIFICADO SLIM  24.5X1.00 EXTRA"
60097,"MOLHA DEDO  CREME  UMEDECEDOR  CARBRINK"
60098,"GRAMPEADOR CIS  METALIC C15 P/ 40  FLS-FAL"
60099,"CLIPS NIQUE N 4/0  C/50 95012 LEO E  LEO"
60100,"REGUA 30CM REF  3110 CRISTAL  DELLO"
60101,"MARCADOR CD  2MM AZ PILOT"
60102,"REABASTECEDOR  PINCEL 37ML AZ  PILOT"
60103,"ELETRODO 25"
60104,"FURADEIRA  IMPACTO 113D  GSB 13RE 127V -  060123D5D2"
60105,"6 - PORTA  70X210CM ECO  01F BASSANI -  ECO01F"
60106,"6 - PORTA  80X210CM ECO  01F BASSANI -  ECO01F"
60107,"1 - PORTA  60X210CM ECO  01F BASSANI -  ECO01F"
60108,"15 - PISO  28.8X119  PORC.DEMOLICAO  8140 1L CEUSA -  8140"
60109,"5 - DOBRADICA  C/BLISTER 3525  CR PADO -  58017183"
60110,"1 - FECHADURA  LEXI INT. M0994Z  IZ1851 CA IMAB -  CJ9481I18CA00"
60111,"4 - DOBRADICA  C/BLISTER 3525  CR PADO -  58017183"
60112,"1 - DOBRADICA  C/BLISTER 3525  CR PADO -  58017183"
60113,"JOELHO 90O  ESGOTO 40 MM  KRONA"
60114,"LIXA DE FERRO  120 CARBORUNDUM"
60115,"SUVINIL ACR FO  GELO 18L"
60116,"TOM ANTENA TV C- P EV 2930 FAME"
60117,"TOM 2P+T 10A  250V SM 1427  FAME"
60118,"MOD CEGO SM C-2  2658 FAME"
60119,"PLACA 4X4 C-SUP  6MOD EV 2893  FAME"
60120,"PLACA 3X3 F0R SB  277 FAME"
60121,"MOD FIO10 SM C-2  2659 FAME"
60122,"MOD TOM TEL  RJ11 4V SM 974- 501 FAME"
60123,"PLACA 4X2 C-SUP  3MOD EV 2887  FAME"
60124,"LAMP LED BULBO  4.8W 6500K BIV  AVANT"
60125,"PLUGUE 2P+T  MACHO 20A 1913  FAME"
60126,"1 - FECHADURA  LEXI WC M0994Z  BZ1952 CA IMAB -  CJ9481B19CA00"
60127,"1 - FECHADURA  LEXI WC M0994Z  BZ1952 CA IMAB -  CJ9481B19CA00"
60128,"1 - FECHADURA  LEXI WC M0994Z  BZ1952 CA IMAB -  CJ9481B19CA00"
60129,"PAPEL HIGIENICO"
60130,"PAPEL RINO A4  75GRS 500FLS  MASTER - CAIXA  C/10 - CHAMEX"
60131,"APLICADOR P/FITA  DE EMBALAGEM  R.15008 ATACADO  - CAIXA UNID - KIT"
60132,"CANETA BIC  CRISTAL AZUL  ATACADO - CAIXA  C/50 - BIC"
60133,"CANETA FINE  PONTA POROSA  AZUL R.4.6700  ATACADO - CAIXA  C/12 - CIS"
60134,"CLIPS NIQUELADO  00-2/0 500GRS  ATACADO - PCT  C/2 - BACCHI"
60135,"ELASTICOS P/  ENCARTELADOS"
60136,"MARCADOR  PERMANENTE  RECARREGAVEL  VSUPER COLOR  AZUL ATACADO -  CAIXA C/12 - PILOT"
60137,"TINTA  P/MARCADOR  QUADRO BRANCO  20ML AZUL  MULTIPLO  ATACADO - CAIXA  C/12 - BIC"
60138,"1 - FECHADURA  LEXI WC M0994Z  BZ1952 CA IMAB -  CJ9481B19CA00"
60139,"1 - FECHADURA  LEXI WC M0994Z  BZ1952 CA IMAB -  CJ9481B19CA00"
60140,"ETANOL-3-UN1170- II- GELTRADICIONAL"
60141,"TEFLON  0.15X200MM C/  ADESIVO"
60142,"PESADORA  HELIMATIC"
60143,"MILHO GRAN 25 KG"
60144,"GRAMPOS  NIQUELADOS"
60145,"TOUCA  DESCARTAVEL SC  100 UNID"
60146,"LUVA  DESCARTAVEL CX  100 UNID"
60147,"MASCARA  DESCARTAVEL SC  100 UNID"
60148,"SELO LAMINADO"
60149,"SACOLAS  PERSONALIZADAS"
60150,"CANETA  COMPACTOR TOP  2000. PRETO  ATACADO - CAIXA  C/25 - COMPACTOR"
60151,"CANETA  COMPACTOR TOP  2000. VERMELHO  ATACADO - CAIXA  C/25 - COMPACTOR"
60152,"ELASTICO  AMARELO KILO  ATACADO - PCT  UNID - TEIDE"
60153,"GRAMPEADOR  ALICATE 12FLS  REF 828L  (290.6900)  ATACADO - CAIXA  UNID - EAGLE"
60154,"MARCA TEXTO  BRITE LINER  AMARELO  ATACADO - CAIXA  C/12 - BIC"
60155,"PRANCHETA  EUCATEX OFICIO  24X34 ATACADO -  IND UNID - BACCHI"
60156,"CLIPS NIQUELADO  3/0 500GRS  VAREJO - CAIXA  UNID - BACCHI"
60157,"1 - FECHADURA  LEXI WC M0994Z  BZ1952 CA IMAB -  CJ9481B19CA00"
60158,"OLEO(GL5  140)LT(TRM 5- 140)LUBRAX(18004 None"
60159,"RETENTOR TAMPA  DISTR(00164BAG:S 229"
60160,"OLEO TURBO(15W- 40)(CH- 4)(01018467)LUBR MTR DIESE"
60161,"ARRUELA  PRESSÃO(16MM)(3 None"
60162,"ARRUELA LISA  BICROM(16MM)(31 None"
60163,"ARRUELA  ALUMINIO(14X20)( 2)TDS"
60164,"BUCHA  AMORTECEDOR  DIANT.SUPERI(021. 6)F4000"
60165,"BUCHA  AMORTECEDOR  DIANT.SUPERI(021. 6)F4000"
60166,"PASTILHA  FREIO(JG)KIA- K2500/K2700/BONG None"
60167,"BUCHA ISOLADOR  BARRA  ESTAB.DT(0840770 SR5-4X"
60168,"FILTRO  COMB(WK920/1:MA None"
60169,"MARMORE  BRANCO  RECORTADO E  ACABADO POLIDO  0.02"
60170,"GRANITO MARRON  RECORTADO E  ACABADO POLIDO  0.02"
60171,"GRANITO PRETO  SÃO GABRIEL  RECORTADO E  ACABADO POLIDO  0.02"
60172,"GRANITO VERDE  UBATUBA  RECORTADO E  ACABADO POLIDO  0.02"
60173,"FILTRO  AR(JFAK14:WEGA) K2500 HDI  2008/HYNDAI"
60174,"MOTO G5 PLUS TV  XT1683 32GB  PLATINUM"
60175,"SAMSUNG GALAXY  ON7 16GB  DOURADO"
60176,"EMB.PAPELAO  ONDULADO |REF.:  CAIXA 24 MOLHOS  |AMAR.: 198  AMARRADOS DE  25 + 1 DE 6"
60177,"PERFURADOR G 20  2 FUROS P/ 20FLS  GENIAL"
60178,"MONITOR AOC LED  18.5 W E970SWNL"
60179,"HD SEAGATE 1TB -  ST1000DM010"
60180,"PLACA MAE  ASROCK FM2A55M- HD+ R2"
60181,"MEMORIA  KINGSTON 4G  DDR3 -  KVR13N9S8/4"
60182,"PROCESSADOR  AMD A4 6300 -  AD6300OKHLBOX"
60183,"GAB MICRO-ATX  MT-22BK PS-200V2  U2HA C3T"
60184,"MUNDCLEAN APA- PEROXIDO  ORGANICO. TIPO  F. LIQUIDO ACIDO  PERACETICO  ESTABILIZADO 5.2  8 UN3109"
60185,"MUND ACP LP-E"
60186,"DETERGENTE  MUNDCLEAN AL"
60187,"MOUSE  MULTILASER  EMBORRACHADO  USB PRETO MO222  GARANTIA  FABRICANTE: 90  DIAS"
60188,"TECLADO STD USB  LITE SKL104  GARANTIA  FABRICANTE: 90  DIAS"
60189,"ESTABILIZADOR  SMS REVOLUTION  SPEEDY 300VA  16520 165200302063 165200302051 GARANTIA DE 12  MESES COM  FABRICANTE"
60190,"TAMBORES VAZIOS  TIPO 200 LITROS  000701SK"
60191,"TAMBORES VAZIOS  TIPO 200 LITROS  000701SK"
60192,"TAMBORES VAZIOS  TIPO 200 LITROS  000701SK"
60193,"VARAL CHAO  ACO.123X46ABA  BC RAVENA"
60194,"FITA ADESIVA  TRANSPARENTE  48X50 CR"
60195,"FITA ADESIVA  PERSONALIZADA  48X50 CR"
60196,"BOTINA  SEG.EL.S/B  BRONZE  GARRA37PT"
60197,"FITA PONTTO"
60198,"FILME TEC LAM  BOPP+PE  27X19.7X0.005  TEMPERO P/  CHURRASCO"
60199,"TALHADEIRA SDS  PLUS 250MM  BOSCH UN 0001 UN"
60200,"ALCOOL EM GEL"
60201,"LUVA VERDE (PAR)"
60202,"BOMBA AUTO  ASPIRANTE"
60203,"ENVELOPE KRAFT  OURO 22X32.  80GR R.1018  MASTER - CAIXA  C/5 - MAITTRA"
60204,"PAPEL CHAMEX A4  MULTI 75GRS  500FLS MASTER -  CAIXA C/10 -  CHAMEX"
60205,"BLOCO NOTE FIX  76X76MM NFX4  100FLS ATACADO -  IND UNID - 3M"
60206,"CALCULADORA DE  MESA KD-3588B  PILHA 12 DIGITOS  ATACADO - CAIXA  UNID - KADIO"
60207,"CANETA BIC FINE  PLUS - CRISTAL  FINA. PRETO  ATACADO - CAIXA  C/50 - BIC"
60208,"CANETA BIC FINE  PLUS - CRISTAL  FINA. VERMELHO  ATACADO - CAIXA  C/50 - BIC"
60209,"FACA ESTILETE  LARGO CIS  METALICO S68BC  R.260.1300  ATACADO - IND  UNID - CIS"
60210,"GRAMPEADOR  ALICATE KANGARO  HP-45 P/ 30 FLS  R.19.0600  ATACADO - CAIXA  UNID - CIS"
60211,"PINCEL ATOMICO  R.1100-P PRETO  ATACADO - CAIXA  C/12 - PILOT"
60212,"TINTA P/PINCEL  ATOMICO 37ML  PRETO ATACADO -  CAIXA C/12 - PILOT"
60213,"MASSA CORRIDA  CORAL 18L"
60214,"CAMISA ATLAS DE  LA 328/22"
60215,"GARFO ATLAS  400/23SR"
60216,"TRINCHA ATLAS  395 2"""
60217,"LIXA D'AGUA 360  CARBORUNDUM"
60218,"LIXA DE MADEIRA  100 CARBORUNDUM"
60219,"LIXA DE MADEIRA  120 CARBORUNDUM"
60220,"DECORA FO  BRANCO 18L"
60221,"SELADOR ACR  CORAL 18L"
60222,"CREME DE MILHO  25 KG"
60223,"PALETEIRA  MANUAL 2000K  MENEGOTTI"
60224,"CARRINHO  CONST.GALV.PC  3.25X8 MET"
60225,"RACK CONT.C/FD  2.00X0.95CM4BAN None"
60226,"RACK INIC.C/FD  2.00X0.95CM  4BAN.SA"
60227,"RODIZIO  GIRAT.PLACA GEL  TRANSP.SCH"
60228,"GOMA ELASTICA  P/CEDULA  MERCUR2.200"
60229,"GRAMPO  GRAMPEADOR  26/6 20X5000"
60230,"GRELHA  QD.ROT.INOX.S/CA CRISTAL"
60231,"GRELHA  QD.ROT.INOX.S/CA CRISTAL"
60232,"LUVA  PROCEDIM.DESC.VI VOLK"
60233,"SACO CRU NOVO  70X50 18BAT LIG  C/5"
60234,"CHAVE TESTE  DIGIT.12/200VFOXL EN"
60235,"BOTINA ELAST.S/B  BID.VULCAFLEX 41"
60236,"RELOGIO DE  PONTO  CARTOGRAFICO  HENRY PLUS"
60237,"TORNEIRA  LAV.CR.ALAV.1/4V HERC"
60238,"LAMPADA TUB.LED  1.20M18W BIV  FOXLU"
60239,"LUVA LATEX  AMAR.FOR.08GMU None"
60240,"LAMPADA  TUB.S.LED  1.20M20W BIV EQQ"
60241,"LUMINARIA  EMERG.30LED BIV  LIT ELGI"
60242,"CHAVE ALLEN 25PC  STARFER EN"
60243,"BICICLETA ARO 20  EXPERT 1V PRETO  FOSCO - CALOI"
60244,"BICICLETA CALOI  ASPEN T18 ARO 26  21V PRETO -  MODELO 2016"
60245,"BROCA AÇO RAP  3/16"" SIM  FERRAGENS"
60246,"SPOT 5W 6500K  29129 DME"
60247,"DISJ DIN 3X100A  FAME"
60248,"ABRAC.ACO  20/40W -INCA"
60249,"CABO FLEX 1KV  HEPR 95.00MM  P/MT PT"
60250,"CABO FLEX 750V  50.00MM P/MT PT"
60251,"TER A  COMPRESSAO  95MM"
60252,"TER A  COMPRESSAO  50MM"
60253,"TUBO PVC  SOLDAVEL 25 X  6MTS -TIGRE"
60254,"CURVA 90 SD  25MM -TIGRE"
60255,"ADESIVO PLAS FR  175G C/PINCEL - AMAN/KR"
60256,"BOIA VAZAO  TOTAL B.P. 3/4 - BELMAR/PEVILON"
60257,"SERRA ACO  RAPIDO RS1218 - STARRETT"
60258,"FITA VEDA ROSCA  18MM X 50M -TIGRE"
60259,"REGISTRO ESF SD  C/UNIAO 32 PVC - TIGRE"
60260,"ABRAC.TIPO U 3/4  -INCA"
60261,"TE SD 32MM -TIGRE"
60262,"CURVA 90 SD  32MM -TIGRE"
60263,"TUBO PVC ESG 150  X 6 MTS - CARDINALE /  PLASTILIT"
60264,"ACO CA 60 4_2 12  MTS"
60265,"VERGALHAO CA50  8_0 MM BR 12M"
60266,"VERGALHAO CA50  10_0 MM BR 12M"
60267,"SAPATA SOLDADA  10.0MM 80 X 80"
60268,"PREGO C_CABECA  P18 X 30 20 KG"
60269,"PREGO C_CABECA  P19 X 36 20 KG"
60270,"ARAME RECOZIDO  1.24 (18"") RLO 1KG"
60271,"ABRAÇADEIRA  REG(14MM)(57X76) None"
60272,"ABRAÇADEIRA  REG(14MM)51X64(2 2)(5490051064)"
60273,"ABRAÇADEIRA  REG(9MM)(13X19)( None"
60274,"ABRAÇADEIRA  REG(9MM)(1.1- 4X1.3- 4)(32X44)(5390324 None"
60275,"BALANCIM  ADMISSAO(A16H53 None"
60276,"ABRAÇADEIRA  PLASTICA(4.8MM  X390MM)(8880.091 None"
60277,"CORREIA POLY  V(4PK1065:DAYCO)"
60278,"TENSOR  CORREIA(7789:NYT 2.5/L300/PAJER"
60279,"CORREIA  SINCRONIZADA(09 None"
60280,"CORREIA  SINCR(163H95P254 None"
60281,"PIVO  INFERIOR(PVI0200) HI/ANO 93/..."
60282,"ABRAÇADEIRA  SILENCIOSO(70MM) None"
60283,"ARRUELA  LISA(08MM)ABA  LARGA(3151008)"
60284,"ARRUELA  PRESSÃO(08MM)(3 None"
60285,"FILTRO  COMB(PSC998:TEC None"
60286,"PARAFUSO  SEXT.RG(08X020)(4 None"
60287,"BIELETA  DIANTEIRA(D06H10 25"
60288,"PIVO SUPERIOR  K2500"
60289,"SAPATEIRA  MAD.MULTIUSO  ALTA KASPPE"
60290,"CLIPS PAPEL  GALVAN 3/0 10CX  C50"
60291,"PINCEL ATOMICO  PILOT 1100P AZUL"
60292,"CANETA BIC  CRISTAL .AZUL  C/50"
60293,"CANETA BIC  CRISTAL .PRETA  C/50"
60294,"CLIPS PAPEL  GALVAN 6/0 10CX  C50"
60295,"MIXER BLACK  DECKER SB40 110V"
60296,"MARCADOR  CD/DVD BIC AZUL"
60297,"PORTA BOLO INOX  REDON.2PCS  PETUNIA"
60298,"PENEIRA  FUBA/CAL55 METAL"
60299,"CADEIRA  ESTUD.PALITO  S/BRC.CINZA"
60300,"PLASTICO BOLHA  60X10MT REPLAST  C10"
60301,"ROUPEIRO ACO  C/8 PORTAS  .AMAPA"
60302,"BOTINA  SEG.EL.S/B PRATA  GARRA41PTO"
60303,"BOTINA  SEG.EL.S/B PRATA  GARRA39PTO"
60304,"BOTINA SAAD  COUNTRY COR  WHISKY 42"
60305,"RODO CABO  ALUM.60CM  PUXOU-SECOU C6"
60306,"CADEIRA  SECRET.S/BRC PTA  GAS PLAXM"
60307,"LAMPADA TUB.LED  1.20M18W6.4K BIV  K"
60308,"SANDALIA  HAVAI.CAPRIC.BC/ GD35/6"
60309,"ALICATE PRESSAO  10 TRAMONTINA  EN"
60310,"DISCO LIXA FERRO  50 DISF.4.1/2 C10"
60311,"SANDALIA  HAVAI.SLIM  ORGA.BC/PR35/6"
60312,"SERRA VIDEA MD  110MM24D MAKITA"
60313,"DISCO  DIAM.NORTON  TURBO 7  POLEGADA"
60314,"SANDALIA  HAVAI.SURF CZ  CHUM/PT41/2"
60315,"BOTINA  SEG.EL.S/B PRATA  GARRA38PTO"
60316,"BOTINA  SEG.EL.S/B PRATA  GARRA40PTO"
60317,"BOTINA  SEG.EL.S/B PRATA  GARRA42PTO"
60318,"BOTINA  SEG.EL.S/B PRATA  GARRA44PTO"
60319,"SANDALIA  HAVAI.KIDS  ATH.LJ NEO33/4"
60320,"BOTINA ELAST.S/B  BID. BCA GARRA 38"
60321,"DESEMPENADEIRA  PLAS.FRIS15X26  CAST"
60322,"PA SX MA 5.8  10X45 RI ZB  14541401"
60323,"AR LI 3/8  81025101 ZB"
60324,"PO SX MA 10 CHV  17 ZB 60541101"
60325,"DISJ DIN 3X32A  BIV CC PRIME"
60326,"DISJ DIN 3X50A  BIV.CC PRIME"
60327,"DISJ DIN 3X40A  BIV.CC PRIME"
60328,"DISJ DIN 3X25A  BIV CC PRIME"
60329,"DISJ DIN 2X25A CC  FAME"
60330,"DISJ DIN 1X25A CC  FAME"
60331,"CORALIT ZERO BR  TABACO 3.6L"
60332,"CORALIT ZERO BR  TABACO 3.6L"
60333,"CORANTE CORAL  VERMELHO 50ML"
60334,"RENDE MTO GELO  18L"
60335,"MESA  PLAST.BRANCA  90CM  RED.ANTARES"
60336,"ESCADA BANQ.03D  ACO  DOBRAV.PISOTET"
60337,"CADEIRA  PLAST.BISTRO BCA  ANTARES"
60338,"CAIXA  FERRAM.49X25X25  PLAS.STAN19"
60339,"PAPEL CHAMEX  216X279 10X500  CARTA"
60340,"CADEIRA  PLAST.BISTRO BCA  TRAMONTIN"
60341,"BANQUETA PLAST.  BRANCA DUNNAS"
60342,"CANETA BIC  CRISTAL FINA  AZUL C50"
60343,"GRAMPEADOR  METAL GRANDE C- 15 CIS"
60344,"BOTINA  SEG.EL.C/B  BRONZE  GARRA41PT"
60345,"GARRAFAO  TERMICO 5.0L  INVI.VM.8705"
60346,"BOTINA  SEG.EL.C/B  BRONZE  GARRA40PT"
60347,"BOTINA  SEG.EL.C/B  BRONZE  GARRA42PT"
60348,"VARA DE FERRO  1/4"
60349,"CIMENTO  ALVORADA 50KG"
60350,"TRELICA C/ 9 MT"
60351,"COLUNA 7X14 5/16"
60352,"DISCO DE CORTE  P/ FERRO"
60353,"COLUNA 7X20 5/16"
60354,"TRELICA C/ 7 MT"
60355,"AUTOM BOMBA  25A FENIX"
60356,"TIJOLO 20 X 30"
60357,"TIJOLO 20 X 20"
60358,"PIA SINTETICA 120  X 50"
60359,"CX DAGUA  POLIETILENO  1000L-CASALIT"
60360,"LAMP FLUOR 3V  25W 127V BR 4040  OUROLUX"
60361,"RECEPTACULO  LATAO 1451  LORENZ."
60362,"PLACA 4X2 F0 SB  760 FAME"
60363,"PLACA 4X4 F00 SB  867 FAME"
60364,"PLACA 4X4 F33 SB  957 FAME"
60365,"TOM DUP 2P+T SB  10A S/P 1337 FAME"
60366,"INT 2SS S/P SB 603  FAME"
60367,"PLACA 4X4 F22 SB  952 FAME"
60368,"TOM 2 RET SB  1353 FAME"
60369,"INT 1S SB 560  FAME"
60370,"TOM 2P+T SB 1349  FAME"
60371,"INT 2SS SB 627  FAME"
60372,"TOM 2P+T SB 1349  FAME"
60373,"GM VERG CA60  RETO PP 5_0MM"
60374,"TABLET KINNO  PC205 7 0 WI FI 3"
60375,"CANETA BIC FINA  PRECISAO -  CRISTAL AZUL  ATACADO - CAIXA  C/50 - BIC"
60376,"CANETA RETRO  PROJETOR 2.0MM  CD/DVD  REF.T65203 AZUL  ATACADO - CAIXA  C/12 - KIT"
60377,"DIMMER DMR100N  C/POT .REMOTO  10A 220V"
60378,"MDH370NS-90  240VCA - P655"
60379,"DISCO DE  DESBASTE  114.3X6.4X22.2MM  FS24 - FRATEC"
60380,"DISCO DE CORTE  304.8X3.2XX19.05 F 240 (FRATEC)"
60381,"TRENA 5M X 19MM - 536003"
60382,"ELETRODO MGM 18  - 2.50 - 102072- 250MLMGM"
60383,"HAMMERITE  PRATA 0.8L"
60384,"DEGRAU RETO  80CM"
60385,"LUB GIN 300ML"
60386,"RESPIRADOR P  PINTURA 3200  FILT/CARTUC"
60387,"BIANCO BD. 18 KG"
60388,"1 -  NIVELADOR/ESPAC 1.0MM NIVELA  CERTO (PCT  100PCS) -  NCP1001.0MM"
60389,"1 -  NIVELADOR/ESPAC 1.0MM NIVELA  CERTO (PCT  100PCS) -  NCP1001.0MM"
60390,"ARGAMASSA  LIGAMAX EXTRA  BRANCO 20KG"
60391,"PROLONG EXT MD  1-2 0021 HIDROPAL"
60392,"PROLONG EXT CT  1-2 020 HIDROPAL"
60393,"RELE FOTOELET  220V STIEL"
60394,"FITA VEDA RSC  18X10M AMANCO"
60395,"BUCHA NYL S6 NE  1540-601540"
60396,"FI CH PH 4.0X35  PS BC 39152402"
60397,"BRAC FECHADA  COND 3-4 TIGRE"
60398,"TARTARUGA PLAST  PRETA EXTRALUZ"
60399,"QUAD DIST 8DIN  BR ANDALUZ"
60400,"ARGAMASSA ACIII-  20 KG"
60401,"1 - LIXEIRA P/ PIA  DE GRANITO 5LT  TRAMONTINA -  94518/005"
60402,"JOELHO AZUL 25 X  1/2"
60403,"ADESIVO  PLASTICO PVC  FRASCO 175G  TIGRE"
60404,"LUVA SOLD 25  TIGRE"
60405,"REGISTRO ESFERA  SOLD 25MM TIGRE"
60406,"CURVA 90 SOLD 25  TIGRE"
60407,"ABRACADEIRA  SUPRENS P/ TUBO  3/4"
60408,"PARAFUSO"
60409,"TE SOLD 25 TIGRE"
60410,"JOELHO 90 SOLD  25 TIGRE"
60411,"ADAPT SOLD  CURTO 25 X 3/4  TIGRE"
60412,"OLEO FREIO DOT  4(500ML)VARGA"
60413,"SELADORA  SPARLACK 3.6L"
60414,"MASSA P MADEIRA  CORAL 3.6L"
60415,"MASSA P MADEIRA  CORAL 3.6L"
60416,"MASSA P MADEIRA  CORAL 3.6L"
60417,"MASSA P MADEIRA  CORAL 3.6L"
60418,"ETIQUETAS PERS.  AUTOADESIVAS  ATRIOS  ALIMENTOS SAL  GROSSO COM  ALHO 500G -  COUCHE - 82X108"
60419,"ETIQUETAS PERS.  AUTOADESIVAS  ATRIOS  ALIMENTOS SAL  GROSSO COM  ERVAS FINAS 500G  - COUCHE - 82X108"
60420,"P208PWL MANCAL"
60421,"UC208FKD PILO  BLOCO"
60422,"PARAF 1/2X2.1/2  SEXT RI ZB"
60423,"PORCA 1/2 SEXT  BSW CH3/4 ZB"
60424,"ARRUELA LISA 1/2  ZN (63)"
60425,"PARAF 5/16X2.1/4  SEXT RP ZB - PECA"
60426,"PORCA 5/16 SEXT  UNC CH1/2 ZB"
60427,"ARRUELA LISA  5/16 ZN (290)"
60428,"VIBRA ST MINI  D90MM 500KG/PC  1/2"
60429,"DISCO DE CORT  INOX 115X3/64  STARRETT"
60430,"SUCATA ACO INOX  304"
60431,"CHAVE FENDA  TRAMONTINA  5/16X8 C6"
60432,"DISCO CORTE  12X1/8X3/4SUPER  NORTON"
60433,"ALICATE  BICO1/2CANA  41008/106 TRAM"
60434,"CHAVE FENDA  TRAMONTINA JG  6PCAS EN"
60435,"SOLDA  CARRET.AZ60X40C COB"
60436,"CHAVE PHILLIPS  GEDORE 3/16 X 3"
60437,"CHAVE PHILLIPS  GEDORE 1/4 X 5"
60438,"ALICATE  UNIVER.PROFIS. 8  GEDORE"
60439,"DISCO CORTE 4  1/2X1.2INOX  STARC10"
60440,"ALICATE CORTE  DIAG.6 CRV  PROF.MEGA"
60441,"CHAVE PHILLIPS  GEDORE 1/8 X 3"
60442,"CHAVE BOCA  06A22MM 8PCS  STARFER"
60443,"ESMERILHADEIR 4  1/2 MAK  GA4530.220"
60444,"DISCO DESBAST  4.1/2 DISFLEX C25"
60445,"REFLETOR 6W RGB  ACO INOXIDAVEL E  POLICARBONATO"
60446,"APARELHO P/ AC.  C/ CONTROLE  REMOTO MCX971N- 220VCA - P591"
