iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
"BDI","Africa","Burundi",2022-02-15 00:00:00.000,37923,21,23.857,38,0,0,3094.384,1.714,1.947,3.101,0,0,0.66,,,,,,,,,,1380942,112.68,,2096,0.171,0.02,49.9,"tests performed",10146,8452,8001,,,71,0.08,0.07,0.07,,6,65,0.001,19.44,12255429,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,"","","",""
"CPV","Africa","Cape Verde",2022-02-15 00:00:00.000,55846,2,5,400,0,0.286,99387.615,3.559,8.898,711.869,0,0.508,0.13,,,,,,,,,399,,,0.71,,,,,"tests performed",683359,346572,291201,,,1691,121.62,61.68,51.82,,3009,399,0.071,47.22,561901,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,"","","",""
"CAF","Africa","Central African Republic",2022-02-15 00:00:00.000,14187,0,23.429,113,0,0.429,2883.544,0,4.762,22.968,0,0.087,0.71,,,,,,,,,,82793,16.828,,73,0.015,0.204,4.9,"tests performed",698869,619646,594847,,,7365,14.2,12.59,12.09,,1497,7283,0.148,44.44,4919987,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1,53.28,0.397,"","","",""
"TCD","Africa","Chad",2022-02-15 00:00:00.000,7216,0,0,190,0,0,426.604,0,0,11.233,0,0,0.56,,,,,,,,,,200916,11.878,,269,0.016,0.031,31.9,"tests performed",398464,267953,138854,,,1252,2.36,1.58,0.82,,74,1872,0.011,,16914985,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,"","","",""
"CIV","Africa","Cote d'Ivoire",2022-02-15 00:00:00.000,81237,24,37.286,791,0,0.571,3002.813,0.887,1.378,29.238,0,0.021,0.5,,,,,,,,,,1381273,51.057,,2254,0.083,0.012,79.7,"tests performed",8574775,5546012,3028763,,,65578,31.7,20.5,11.2,,2424,22492,0.083,13.89,27053629,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,"","","",""
"HRV","Europe","Croatia",2022-02-15 00:00:00.000,1021777,3410,4454.571,14584,47,48.571,250333.872,835.445,1091.363,3573.059,11.515,11.9,0.72,,,,,,,,,16085,4409465,1080.312,3.941,11161,2.734,0.423,2.4,"people tested",5162553,2302219,2219989,,2635,3700,126.48,56.4,54.39,,906,473,0.012,43.52,4081657,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,"","","",""
"DJI","Africa","Djibouti",2022-02-15 00:00:00.000,15535,1,1.429,189,0,0,15500.944,0.998,1.425,188.586,0,0,0.3,,,,,,,,,,278820,278.209,,,,,,"tests performed",151713,131370,91410,,,120,15.14,13.11,9.12,,120,118,0.012,,1002197,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,"","","",""
"GNQ","Africa","Equatorial Guinea",2022-02-15 00:00:00.000,15869,10,2.714,182,0,0,10944.961,6.897,1.872,125.527,0,0,0.46,,,,,,,,,,282211,194.643,,277,0.191,0.007,138.5,"tests performed",,,,,,,,,,,,,,,1449891,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,"","","",""
"ETH","Africa","Ethiopia",2022-02-15 00:00:00.000,467691,116,121.571,7428,2,6.143,3967.645,0.984,1.031,63.015,0.017,0.052,0.45,,,,,,,,,,4425609,37.545,,6312,0.054,0.022,46.1,"tests performed",10975742,9372215,1603527,,14,78,9.31,7.95,1.36,,1,15,0,40.74,117876226,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,"","","",""
"FJI","Oceania","Fiji",2022-02-15 00:00:00.000,63509,0,21.857,820,0,1,70338.986,0,24.208,908.186,0,1.108,0.49,,,,,,,,,,494533,547.717,,161,0.178,,,"tests performed",1283193,666202,616991,,,351,142.12,73.78,68.33,,389,101,0.011,74.07,902899,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,"","","",""
"GAB","Africa","Gabon",2022-02-15 00:00:00.000,47446,0,12,302,0,0,20820.342,0,5.266,132.524,0,0,0.78,,,,,,,,,,1556198,682.894,,1007,0.442,0.025,39.4,"tests performed",,,,,,,,,,,,,,65.74,2278829,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,"","","",""
"GMB","Africa","Gambia",2022-02-15 00:00:00.000,11911,0,4.429,365,0,0.143,4789.426,0,1.781,146.767,0,0.057,0.34,,,,,,,,,,142622,57.348,,278,0.112,0.016,62.8,"tests performed",,,,,,,,,,,,,,13.89,2486937,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,"","","",""
"GEO","Asia","Georgia",2022-02-15 00:00:00.000,1480841,22748,18626.714,15628,51,46.857,372091.825,5715.904,4680.346,3926.857,12.815,11.774,1.08,,,,,,,,,64187,12678907,3185.837,16.128,14013,3.521,0.949,1.1,"tests performed",2779761,1544802,1234959,,4279,3412,69.85,38.82,31.03,,857,2485,0.062,44.44,3979773,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,"","","",""
"GHA","Africa","Ghana",2022-02-15 00:00:00.000,157992,75,34.429,1429,3,1.429,4978.929,2.364,1.085,45.033,0.095,0.045,0.76,,,,,,,,,,2267437,71.456,,3268,0.103,0.037,27.2,"tests performed",12043575,7473144,4570431,,,84487,37.95,23.55,14.4,,2663,24811,0.078,43.52,31732128,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,"","","",""
"IRQ","Asia","Iraq",2022-02-15 00:00:00.000,2281566,2984,3246,24764,35,27.714,55405.584,72.464,78.826,601.369,0.85,0.673,0.7,,,,,,,,,24241,17708484,430.033,0.589,22170,0.538,0.186,5.4,"samples tested",16257861,9589248,6570825,,,40689,39.48,23.29,15.96,,988,21976,0.053,64.81,41179351,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,"","","",""
"JOR","Asia","Jordan",2022-02-15 00:00:00.000,1508950,18477,19213.857,13554,22,24.571,146941.939,1799.295,1871.05,1319.892,2.142,2.393,1.36,,,,,,,,,65199,15545166,1513.792,6.349,75866,7.388,0.26,3.8,"tests performed",9377901,4630227,4293498,,,15782,91.32,45.09,41.81,,1537,4462,0.043,34.26,10269022,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,"","","",""
"KWT","Asia","Kuwait",2022-02-15 00:00:00.000,606035,2166,2704.714,2522,1,1.286,140008.682,500.398,624.854,582.643,0.231,0.297,0.68,,,,,,,,,25637,7305105,1687.655,5.923,27786,6.419,0.116,8.6,"tests performed",7530179,3376127,3374933,,,25583,173.97,78,77.97,,5910,1002,0.023,49.07,4328553,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37,,2,75.49,0.806,"","","",""
"LAO","Asia","Laos",2022-02-15 00:00:00.000,139685,441,368.857,598,1,3,18929.153,59.761,49.985,81.037,0.136,0.407,0.81,,,,,,,,,2171,966152,130.926,0.294,740,0.1,0.478,2.1,"tests performed",9057962,4819056,4238906,,,48048,122.75,65.3,57.44,,6511,6368,0.086,78.7,7379358,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,"","","",""
"LBY","Africa","Libya",2022-02-15 00:00:00.000,475604,2490,2761.143,6143,8,8,68348.265,357.834,396.799,882.8,1.15,1.15,1.13,,,,,,,,,9021,,,1.296,,,,,"samples tested",3198389,2101417,1049306,,,10531,45.96,30.2,15.08,,1513,4889,0.07,44.44,6958538,3.623,29,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724,"","","",""
"MDG","Africa","Madagascar",2022-02-15 00:00:00.000,62844,1410,201.429,1335,28,4,2210.689,49.6,7.086,46.962,0.985,0.141,1.06,,,,,,,,,,387097,13.617,,1166,0.041,0.173,5.8,"tests performed",1148971,978718,926543,,,5727,4.04,3.44,3.26,,201,5204,0.018,29.17,28427333,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,"","","",""
"MWI","Africa","Malawi",2022-02-15 00:00:00.000,85065,32,27,2599,1,3.429,4329.519,1.629,1.374,132.28,0.051,0.175,0.46,,,,,,,,,,537671,27.366,,630,0.032,0.048,20.8,"tests performed",1900156,1511574,788297,,1676,1446,9.67,7.69,4.01,,74,494,0.003,,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,"","","",""
"MRT","Africa","Mauritania",2022-02-15 00:00:00.000,58577,2,9.857,973,0,0.571,12267.152,0.419,2.064,203.765,0,0.12,0.18,,,,,,,,,,859442,179.984,,1841,0.386,0.009,116.1,"tests performed",2544768,1505964,1009599,,,2766,53.29,31.54,21.14,,579,1325,0.028,43.52,4775110,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,,,15.95,,64.92,0.546,"","","",""
"MEX","North America","Mexico",2022-02-15 00:00:00.000,5300537,7831,19061,312965,146,440.143,40691.284,60.117,146.328,2402.577,1.121,3.379,1.01,,,,,,,,,9561,13895250,106.671,0.073,13938,0.107,0.563,1.8,"people tested",173037874,84765334,78499390,,364159,460366,132.84,65.07,60.26,,3534,121096,0.093,35.19,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,"","","",""
"MDA","Europe","Moldova",2022-02-15 00:00:00.000,487283,1720,2251.286,10982,20,25.571,121093.433,427.433,559.461,2729.108,4.97,6.355,0.79,,,,,,,,,12006,,,2.984,,,,,"tests performed",2005222,,1023741,,5932,5897,49.83,,25.44,,1465,,,47.22,4024025,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,"","","",""
"MAR","Africa","Morocco",2022-02-15 00:00:00.000,1156356,822,967.714,15820,18,23.286,30964.322,22.011,25.913,423.62,0.482,0.624,0.41,,,,,,,,,12995,10834077,290.109,0.348,16107,0.431,0.07,14.2,"people tested",53027113,24800057,23234829,,,60436,141.99,66.41,62.22,,1618,3672,0.01,,37344787,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,,1.1,76.68,0.686,"","","",""
"MOZ","Africa","Mozambique",2022-02-15 00:00:00.000,224767,48,47.571,2189,0,0.571,6988.362,1.492,1.479,68.059,0,0.018,0.31,,,,,,,,,,1249540,38.85,,1791,0.056,0.029,34.4,"tests performed",,,,,,,,,,,,,,38.89,32163045,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,"","","",""
"MMR","Asia","Myanmar",2022-02-15 00:00:00.000,550824,2467,1610,19314,3,0.571,10050.43,45.013,29.376,352.407,0.055,0.01,2.02,,,,,,,,,,6713698,122.499,,23955,0.437,0.053,19,"samples tested",41602977,22389299,19213678,,,92789,75.91,40.85,35.06,,1693,40415,0.074,65.74,54806014,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,"","","",""
"NAM","Africa","Namibia",2022-02-15 00:00:00.000,156843,33,51.571,3995,0,1.857,60619.307,12.754,19.932,1544.054,0,0.718,0.76,,,,,,,,,,937433,362.315,,1117,0.432,0.062,16.2,"tests performed",787241,429742,365083,,,846,30.43,16.61,14.11,,327,734,0.028,28.7,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,"","","",""
"NPL","Asia","Nepal",2022-02-15 00:00:00.000,974039,498,775.429,11902,2,9.143,32823.644,16.782,26.131,401.079,0.067,0.308,0.4,,,,,,,,,6279,5346465,180.168,0.212,9013,0.304,0.103,9.7,"tests performed",34358217,17911939,15801734,,,387959,115.78,60.36,53.25,,13074,154506,0.521,48.15,29674920,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,"","","",""
"NER","Africa","Niger",2022-02-15 00:00:00.000,8724,12,4,303,0,0,347.144,0.478,0.159,12.057,0,0,0.61,,,,,,,,,,222655,8.86,,,,,,"tests performed",,,,,,,,,,,,,,16.67,25130810,16.955,15.1,2.553,1.378,926,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,"","","",""
"NGA","Africa","Nigeria",2022-02-15 00:00:00.000,254124,108,40.857,3141,0,0.286,1202.096,0.511,0.193,14.858,0,0.001,0.52,,,,,,,,,,4177940,19.763,,8796,0.042,0.011,87.5,"tests performed",,,,,,,,,,,,,,,211400704,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539,"","","",""
"PSE","Asia","Palestine",2022-02-15 00:00:00.000,618527,4681,4596,5296,13,16.429,118429.235,896.27,879.995,1014.024,2.489,3.146,1.45,,,,,,,,,8073,,,1.546,19067,3.651,0.402,2.5,"tests performed",,,,,,,,,,,,,,16.67,5222756,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,,,,,74.05,0.708,"","","",""
"ROU","Europe","Romania",2022-02-15 00:00:00.000,2596269,21885,20174.429,61880,204,137.714,135732.954,1144.148,1054.719,3235.087,10.665,7.2,0.86,,,,,,,,,101435,20265091,1059.459,5.303,75936,3.97,0.295,3.4,"tests performed",16591748,8127352,8025764,,6691,9135,86.74,42.49,41.96,,478,20097,0.105,47.22,19127772,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828,"","","",""
"RWA","Africa","Rwanda",2022-02-15 00:00:00.000,129326,15,21.286,1452,0,0.714,9740.958,1.13,1.603,109.366,0,0.054,0.33,,,,,,,,,10048,4654235,350.561,0.757,11951,0.9,0.002,526.8,"samples tested",,,,,,,,,,,,,,50.93,13276517,494.869,20.3,2.974,1.642,1854.211,56,191.375,4.28,4.7,21,4.617,,69.02,0.543,"","","",""
"SEN","Africa","Senegal",2022-02-15 00:00:00.000,85454,14,28.286,1957,0,0.143,4969.322,0.814,1.645,113.803,0,0.008,0.4,,,,,,,,,2121,1015152,59.033,0.123,1572,0.091,0.02,51,"tests performed",2441692,1421720,1008421,,,56741,14.2,8.27,5.86,,3300,907,0.005,21.3,17196308,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,"","","",""
"SSD","Africa","South Sudan",2022-02-15 00:00:00.000,16900,3,5.571,137,0,0,1484.882,0.264,0.49,12.037,0,0,0.7,,,,,,,,,,328844,28.893,,453,0.04,0.015,67.5,"tests performed",372634,325688,277166,,,5197,3.27,2.86,2.44,,457,5039,0.044,36.11,11381377,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433,"","","",""
"SDN","Africa","Sudan",2022-02-15 00:00:00.000,59903,272,101.286,3831,67,34.714,1333.865,6.057,2.255,85.305,1.492,0.773,0.79,,,,,,,,,,562941,12.535,,,,,,"tests performed",4991228,4408196,1983137,,,159116,11.11,9.82,4.42,,3543,151710,0.338,16.67,44909351,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,"","","",""
"TLS","Asia","Timor",2022-02-15 00:00:00.000,21877,129,161.286,124,0,0.286,16279.044,95.991,120.015,92.27,0,0.213,2.17,,,,,,,,,,239055,177.885,,245,0.182,0.677,1.5,"tests performed",1246532,673277,566263,,,569,92.76,50.1,42.14,,423,117,0.009,,1343875,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,"","","",""
"TGO","Africa","Togo",2022-02-15 00:00:00.000,36693,33,11.571,271,0,0.143,4327.902,3.892,1.365,31.964,0,0.017,0.37,,,,,,,,,1062,675543,79.68,0.125,956,0.113,0.008,117.4,"tests performed",,,,,,,,,,,,,,,8478242,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515,"","","",""
"UGA","Africa","Uganda",2022-02-15 00:00:00.000,162869,47,61,3580,1,1.714,3456.214,0.997,1.294,75.971,0.021,0.036,0.41,,,,,,,,,,2406387,51.066,,4651,0.099,0.013,77,"tests performed",14973293,12742231,2219214,,,294514,31.77,27.04,4.71,,6250,263652,0.559,34.26,47123533,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,"","","",""
"ZMB","Africa","Zambia",2022-02-15 00:00:00.000,309870,291,319.143,3939,1,0.857,16377.338,15.38,16.867,208.185,0.053,0.045,0.74,,,,,,,,,1393,3229046,170.662,0.074,3231,0.171,0.099,10.1,"tests performed",2596867,,1766724,,16765,14806,13.73,,9.34,,783,,,27.78,18920657,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,63.89,0.584,"","","",""
"ZWE","Africa","Zimbabwe",2022-02-15 00:00:00.000,231603,222,171.571,5374,0,1.143,15345.904,14.71,11.368,356.079,0,0.076,0.83,,,,,,,,,,2026321,134.263,,3313,0.22,0.042,23.7,"tests performed",7670400,4319919,3350481,,4026,6404,50.82,28.62,22.2,,424,3065,0.02,,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,"","","",""
"OWID_AFR","","Africa",2022-02-15 00:00:00.000,11104836,10872,13949.714,244770,319,373.571,8085.144,7.916,10.156,178.211,0.232,0.272,,,,,,,,,,,,,,,,,,"",374292883,230330576,158065926,2965328,179105,1159202,27.25,16.77,11.51,0.22,844,498853,0.036,,1373486472,,,,,,,,,,,,,,,"","","",""
"ALB","Europe","Albania",2022-02-15 00:00:00.000,268491,187,396.429,3420,6,3.857,93455.332,65.09,137.987,1190.421,2.088,1.343,0.64,,,,,,,,,1874,1578306,549.371,0.652,691,0.241,0.7,1.4,"tests performed",2661838,1261189,1179476,221173,5146,3923,92.65,43.9,41.05,7.7,1366,834,0.029,61.11,2872934,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,"","","",""
"AIA","North America","Anguilla",2022-02-15 00:00:00.000,2497,0,8.714,9,0,0,165090.909,0,576.151,595.041,0,0,,,,,,,,,,,,,,,,,,"",21783,10218,9418,2147,,24,144.02,67.56,62.27,14.2,1587,1,0.007,,15125,,,,,,,,,,,,,81.88,,"","","",""
"ARG","South America","Argentina",2022-02-15 00:00:00.000,8766174,18573,16871.286,124585,236,194,192216.112,407.251,369.937,2731.778,5.175,4.254,0.5,1884,41.311,,,,,,,20657,33448301,733.422,0.453,37720,0.827,0.247,4,"tests performed",91223956,40072715,35528853,15346048,229821,253880,200.03,87.87,77.9,33.65,5567,28015,0.061,,45605823,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,"","","",""
"ARM","Asia","Armenia",2022-02-15 00:00:00.000,408381,1307,2043.857,8201,15,14.143,137588.743,440.345,688.601,2763.021,5.054,4.765,0.91,,,,,,,,,4145,2828454,952.942,1.397,6452,2.174,0.351,2.8,"tests performed",1959789,1067296,876951,15539,,4890,66.03,35.96,29.55,0.52,1648,1874,0.063,,2968128,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,"","","",""
"OWID_ASI","","Asia",2022-02-15 00:00:00.000,109595285,497227,538049,1327644,1332,1863.714,23425.579,106.28,115.006,283.779,0.285,0.398,,,,,,,,,,,,,,,,,,"",7104292113,3346758951,2947745105,714617219,67931445,24066707,151.85,71.54,63.01,15.27,5144,2819636,0.06,,4678444992,,,,,,,,,,,,,,,"","","",""
"AUS","Oceania","Australia",2022-02-15 00:00:00.000,2969890,24394,22642.857,4726,62,50.429,115164.612,945.936,878.031,183.262,2.404,1.955,0.73,222,8.609,2743,106.366,,,,,45746,62368573,2418.491,1.774,85724,3.324,0.264,3.8,"tests performed",52635184,21933086,20384601,10317497,160237,157389,204.11,85.05,79.05,40.01,6103,12012,0.047,55.56,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,"","","",""
"AUT","Europe","Austria",2022-02-15 00:00:00.000,2324406,25177,30441.714,14427,35,22.286,257037.21,2784.12,3366.302,1595.365,3.87,2.464,0.97,205,22.669,2227,246.266,,,,,251563,151171207,16716.798,27.818,563539,62.317,0.053,18.9,"tests performed",17900061,6781590,6525616,4941526,,14500,197.94,74.99,72.16,54.64,1603,1154,0.013,61.11,9043072,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,"","","",""
"AZE","Asia","Azerbaijan",2022-02-15 00:00:00.000,752605,4687,6034.143,9105,28,26.429,73616.324,458.461,590.232,890.609,2.739,2.585,1.22,,,,,,,,,19481,6398476,625.869,1.906,17082,1.671,0.389,2.6,"tests performed",12549963,5270596,4766430,2512937,71434,41175,122.76,51.55,46.62,24.58,4028,2652,0.026,,10223344,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73,0.756,"","","",""
"BHS","North America","Bahamas",2022-02-15 00:00:00.000,32972,22,19.857,766,0,1.857,83070.892,55.428,50.029,1929.889,0,4.679,0.64,,,,,,,,,286,214727,540.991,0.721,382,0.962,0.078,12.7,"tests performed",323346,161646,152860,19986,,316,81.47,40.73,38.51,5.04,796,82,0.021,,396914,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,"","","",""
"BHR","Asia","Bahrain",2022-02-15 00:00:00.000,473462,4839,5459.714,1429,2,1.857,270813.564,2767.84,3122.879,817.368,1.144,1.062,1.03,,,,,,,,,33630,9158089,5238.297,19.236,27533,15.748,0.216,4.6,"units unclear",3375361,1227305,1197343,950713,1704,1953,193.07,70.2,68.49,54.38,1117,371,0.021,50.93,1748295,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2,77.29,0.852,"","","",""
"BMU","North America","Bermuda",2022-02-15 00:00:00.000,11246,100,26.857,121,0,0.286,181118.341,1610.513,432.538,1948.721,0,4.601,,,,,,,,,,,,,,,,,,"",123082,46961,46041,30080,,184,198.23,75.63,74.15,48.44,2963,29,0.047,,62092,1308.82,,,,50669.315,,139.547,13,,,,,82.59,,"","","",""
"BOL","South America","Bolivia",2022-02-15 00:00:00.000,886108,1104,1600.286,21331,17,22.857,74884.881,93.299,135.24,1802.68,1.437,1.932,0.7,85,7.183,659,55.692,,,,,10619,3756641,317.473,0.897,9827,0.83,0.201,5,"tests performed",12247228,6824607,5451936,965646,5427,29694,103.5,57.67,46.07,8.16,2509,7468,0.063,21.3,11832936,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,"","","",""
"BRA","South America","Brazil",2022-02-15 00:00:00.000,27677468,125201,126281.571,640076,925,851.143,129337.927,585.069,590.119,2991.101,4.323,3.977,0.9,,,,,,,,,,67689970,316.318,,69372,0.324,,,"tests performed",379776348,174665423,152576040,57563050,858598,1133702,177.47,81.62,71.3,26.9,5298,254211,0.119,61.57,213993441,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,"","","",""
"BGR","Europe","Bulgaria",2022-02-15 00:00:00.000,1049543,6589,5422.143,34686,95,91.714,152181.456,955.391,786.199,5029.395,13.775,13.298,0.86,585,84.824,6212,900.727,,,,,37005,8861223,1284.858,5.366,27319,3.961,0.216,4.6,"tests performed",4254776,,2030626,659963,5517,5089,61.69,,29.44,9.57,738,,,44.44,6896655,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,"","","",""
"KHM","Asia","Cambodia",2022-02-15 00:00:00.000,124139,184,308,3015,0,0,7325.371,10.858,18.175,177.913,0,0,1.83,,,,,,,,,,2824457,166.67,,2828,0.167,0.082,12.3,"tests performed",33878559,14379756,13801276,6750678,102025,65185,199.92,84.85,81.44,39.84,3847,2096,0.012,35.65,16946446,90.672,25.6,4.412,2.385,3645.07,,270.892,4,2,33.7,66.229,0.8,69.82,0.594,"","","",""
"CAN","North America","Canada",2022-02-15 00:00:00.000,3208795,5808,8627,35674,102,100.714,84291.33,152.569,226.621,937.115,2.679,2.646,0.73,863,22.67,7160,188.085,,,,,39898,57351760,1506.564,1.048,61299,1.61,0.16,6.2,"tests performed",80047174,32489215,30654612,16903347,155415,109533,210.27,85.35,80.53,44.4,2877,8583,0.023,76.39,38067913,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,"","","",""
"CHN","Asia","China",2022-02-15 00:00:00.000,107196,102,80.143,4636,0,0,74.224,0.071,0.055,3.21,0,0,1.52,,,,,,,,,,,,,,,,,"",3052435000,1266426000,1228340000,459843000,5748000,5966571,211.36,87.69,85.05,31.84,4131,35600,0.002,,1444216102,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,"","","",""
"COL","South America","Colombia",2022-02-15 00:00:00.000,6026988,3731,5924.571,137439,138,177.429,117563.428,72.778,115.566,2680.908,2.692,3.461,0.5,,,,,,,,,36047,32667537,637.218,0.703,38315,0.747,0.226,4.4,"tests performed",74852552,40918363,32775467,7160288,85907,218177,146.01,79.82,63.93,13.97,4256,36319,0.071,,51265841,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,"","","",""
"CRI","North America","Costa Rica",2022-02-15 00:00:00.000,771027,4507,4454.714,7829,23,16.714,150032.895,877.01,866.836,1523.432,4.476,3.252,1.15,,,,,,,,,6751,2697363,524.875,1.314,11878,2.311,0.427,2.3,"people tested",8565613,4119679,3747136,698798,,21051,166.68,80.16,72.91,13.6,4096,4310,0.084,,5139053,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,"","","",""
