Strike,Date,Tribal Agency,Location,Latitude,Longitude,Time Period,Minimum All Targets,MaximumAllTargets,Minimum Domestic Buildings,Maximum Domestic Buildings,Minimum Religious Buildings,Maximum Religious Buildings,Minimum Other Buildings,Maximum Other Buildings,Minimum vehicles,Maximum vehicles,Strucutral Damage,Minimum Number of Missiles Reported Fired,Maximum Number of Missiles Reported FIred,Minimum Total Reported Killed,Maximum Total Reported Killed,Minimum Civilians Reported Killed,Maximum Civilians Reported Killed,Minimum Children Reported Killed,Maximum Children Reported Killed,Minimum Injured,Maximum Injured
"Ob138",2010-02-10 00:00:00.000,"NWA","Inzarkas",32.97355,69.62063,"Afternoon",2,2,1,1,0,0,0,0,1,1,"-","4","4",7,14,0,0,0,0,2,2
"Ob143",2010-08-10 00:00:00.000,"NWA","Char Khel",32.952216,69.874321,"Evening",1,1,1,1,0,0,0,0,0,0,"-","Unreported","Unreported",4,6,0,0,0,0,0,0
"Ob147",2010-10-15 00:00:00.000,"NWA","Aziz Khel",33.084063,70.206671,"Night",1,1,1,1,0,0,0,0,0,0,"-","1","4",4,6,0,0,0,0,3,3
"Ob150",2010-10-27 00:00:00.000,"NWA","Spinwan",33.173695,70.401978,"Night",1,1,1,1,0,0,0,0,0,0,"4","1","2",2,5,0,0,0,0,1,1
"Ob159",2010-11-11 00:00:00.000,"NWA","Ghulam Khan",33.133778,70.034065,"Afternoon",1,1,1,1,0,0,0,0,0,0,"-","6","7",5,8,0,0,0,0,5,6
"Ob166",2010-11-28 00:00:00.000,"NWA","Spinwan",33.173695,70.401978,"Afternoon",1,1,0,0,0,0,0,0,1,1,"-","1","2",0,4,0,0,0,0,0,0
"Ob168",2010-06-12 00:00:00.000,"NWA","Ali Khel",32.9402704,70.292545,"Evening",1,1,1,1,0,0,0,0,0,0,"-","4","4",2,4,0,0,0,0,0,0
"Ob175",2010-12-27 00:00:00.000,"NWA","Shera Tala",33.172833,70.40082,"Morning",2,3,0,0,0,0,0,0,2,3,"-","6","8",18,22,0,0,0,0,0,0
"Ob179",2010-12-28 00:00:00.000,"NWA","Ghulam Khan",33.133778,70.034065,"Afternoon",3,3,0,0,0,0,0,0,3,3,"-","6","6",9,10,0,0,0,0,6,6
"Ob181",2011-01-01 00:00:00.000,"NWA","Mandi Khel",33.045112,70.32913,"Morning",2,2,1,1,0,0,0,0,1,1,"4","4","4",8,10,0,0,0,0,0,0
"Ob184",2011-01-01 00:00:00.000,"NWA","Datta Khel",32.909136,69.76078,"",1,1,0,0,0,0,0,0,1,1,"-","Unreported","Unreported",4,4,0,0,0,0,4,4
"Ob189",2011-01-23 00:00:00.000,"NWA","Khar Qamar",32.905569,69.74885,"Afternoon",1,0,0,0,0,0,0,0,1,0,"-","1","2",2,3,0,0,0,0,0,0
"Ob197",2011-11-03 00:00:00.000,"NWA","Ghoroski",33.173587,70.401464,"",1,1,0,0,0,0,0,0,1,1,"-","4","4",4,4,0,0,0,0,0,0
"Ob199",2011-03-13 00:00:00.000,"NWA","Spalaga",32.923582,70.126977,"Morning or evening",2,2,1,1,0,0,0,0,1,1,"-","6","6",4,7,0,0,0,0,5,5
"Ob201",2011-03-16 00:00:00.000,"NWA","Ambar Shaga",32.908451,69.760566,"Morning",0,2,0,1,0,0,0,0,0,1,"-","3","3",3,5,0,0,0,0,0,0
"Ob227",2011-11-07 00:00:00.000,"NWA","Gurwak",32.849812,69.465265,"Evening",2,2,1,1,0,0,0,0,1,1,"4","4","4",5,12,0,0,0,0,2,2
"Ob228",2011-12-07 00:00:00.000,"NWA","Datta Khel",32.909136,69.76078,"Night",1,1,1,1,0,0,0,0,0,0,"-","10","10",12,25,0,0,0,0,0,0
"Ob234",2011-02-08 00:00:00.000,"NWA","Qutab Khel",32.968833,70.059299,"Evening",1,1,0,0,0,0,0,0,1,1,"-","4","4",3,4,0,0,0,0,0,0
"Ob249",2011-10-27 00:00:00.000,"NWA","Hisokhel",32.954322,70.266516,"Evening",1,3,1,1,0,0,0,0,0,2,"-","4","4",4,6,0,0,0,0,3,3
"Ob254",2011-11-16 00:00:00.000,"NWA","Babar Ghar",32.654768,70.190835,"Night",1,2,1,2,0,0,0,0,0,0,"4","4","14",4,22,0,0,0,0,6,12
"Ob255",2011-11-17 00:00:00.000,"NWA","Shawal NWA",32.61581,69.489212,"Afternoon",1,1,1,1,0,0,0,0,0,0,"4","4","6",7,9,0,0,0,0,3,5
"Ob263",2012-02-16 00:00:00.000,"NWA","Khaisoori",32.876181,70.241282,"Afternoon",1,1,0,0,0,0,0,0,1,1,"-","Unreported","Unreported",8,15,0,0,0,0,3,3
"Ob271",2012-05-23 00:00:00.000,"NWA","Darpa Khel",32.987644,70.050845,"Night",1,1,1,1,0,0,0,0,0,0,"3","Unreported","Unreported",1,5,0,0,0,0,1,2
"Ob274",2012-05-28 00:00:00.000,"NWA","Khushali",32.938927,70.247355,"Night",1,2,1,1,0,0,0,0,0,1,"4","4","8",4,10,0,0,0,0,4,4
"Ob275",2012-05-28 00:00:00.000,"NWA","Zangar Khel",32.977744,70.226583,"Night",1,2,0,1,0,0,0,0,1,1,"1","1","2",2,5,0,0,0,0,0,0
"Ob287",2012-08-19 00:00:00.000,"NWA","Shawal NWA",32.61581,69.489212,"Night",2,2,0,0,0,0,0,0,2,2,"-","4","4",4,7,0,0,0,0,2,3
"Ob293",2012-01-09 00:00:00.000,"NWA","Deegan",32.960354,69.867332,"Morning",1,2,1,1,0,0,0,0,0,1,"2/4/2018","4","7",4,6,0,0,0,0,2,3
"Ob297",2012-10-10 00:00:00.000,"NWA","Hurmuz",32.97175,70.269263,"Night",1,1,1,1,0,0,0,0,0,0,"3","4","6",3,6,0,0,0,0,3,3
"Ob323",2013-08-31 00:00:00.000,"NWA","Mosaki",32.965701,70.274498,"Afternoon",0,3,0,1,0,1,0,0,0,1,"4","Unreported","Unreported",3,4,0,0,0,0,1,3
"B11",2007-03-12 00:00:00.000,"Bannu","Jani Khel",32.79861,70.50639,"Morning",1,1,1,1,0,0,0,0,0,0,"-","Unreported","Unreported",0,0,0,0,0,0,1,1
"B13",2008-02-28 00:00:00.000,"SWA","Azam Warsak",32.289444,69.425556,"Night",1,2,1,1,0,1,0,0,0,0,"4","3","3",10,13,0,0,0,0,6,16
"B19",2008-08-20 00:00:00.000,"SWA","Zari Noor",32.318292,69.522042,"Evening",1,1,1,1,0,0,0,0,0,0,"4","2","2",6,12,0,0,0,0,5,5
"B20",2008-08-27 00:00:00.000,"SWA","Ganki Khel",32.288221,69.524789,"Night",1,1,1,1,0,0,0,0,0,0,"-","1","1",0,0,0,0,0,0,4,4
"B21",2008-08-30 00:00:00.000,"SWA","Ganki Khel",32.288221,69.524789,"Afternoon",1,4,1,1,0,0,0,0,0,3,"4","1","2",4,5,0,0,0,0,4,4
"B28",2008-09-17 00:00:00.000,"SWA","Bhaggar",32.487348,69.316923,"Afternoon, evening or night",1,1,1,1,0,0,0,0,0,0,"-","4","4",4,7,0,0,0,0,3,3
"B43",2008-11-27 00:00:00.000,"SWA","Wana",32.306395,69.590492,"",1,1,0,0,0,0,0,0,1,1,"-","2","2",5,5,0,0,0,0,0,0
"B48",2008-12-22 00:00:00.000,"SWA","Ghwa Khwa",32.061901,69.634949,"Morning",1,1,0,0,0,0,0,0,1,1,"-","Unreported","Unreported",3,3,0,0,0,0,5,5
"B49",2008-12-22 00:00:00.000,"SWA","Azam Warsak",32.289444,69.425556,"Morning",1,1,0,0,0,0,0,0,1,1,"4","Unreported","Unreported",2,4,0,0,0,0,4,4
"B50",2009-01-01 00:00:00.000,"SWA","Kari Kot",32.326451,69.477754,"",0,2,0,1,0,0,0,0,0,1,"3","2","3",3,5,0,0,0,0,1,2
"B51",2009-02-01 00:00:00.000,"SWA","Madin Village",32.565354,69.830362,"",1,2,0,0,0,0,1,1,0,1,"4","2","2",3,4,0,0,0,0,3,5
"Ob4",2009-02-16 00:00:00.000,"Kurram","Baggan",33.499177,70.380006,"Morning",1,1,1,1,0,0,0,0,0,0,"4","2","4",18,31,0,0,0,0,3,7
"Ob5",2009-01-03 00:00:00.000,"SWA","Sararogha",32.515823,70.02368,"Afternoon",1,1,1,1,0,0,0,0,0,0,"4","2","2",3,12,0,0,0,0,1,3
"Ob6",2009-12-03 00:00:00.000,"Kurram","Barjo",33.756315,70.554146,"Evening",1,4,1,4,0,0,0,0,0,0,"4","2","5",14,26,0,0,0,0,9,50
"Ob7",2009-03-15 00:00:00.000,"Bannu","Jani Khel",32.79861,70.50639,"Night",1,1,1,1,0,0,0,0,0,0,"4","2","2",2,6,0,0,0,0,3,3
"Ob8",2009-03-25 00:00:00.000,"SWA","Makeen",32.621,69.839367,"Afternoon",0,3,0,1,0,0,0,0,0,2,"2","2","2",6,8,0,0,0,0,5,5
"Ob12",2009-08-04 00:00:00.000,"SWA","Ganki Khel",32.288221,69.524789,"",1,1,0,0,0,0,0,0,1,1,"2","2","2",3,4,0,0,0,0,2,5
"Ob16",2009-12-05 00:00:00.000,"SWA","Sara Khwara",32.583271,69.455566,"",1,4,1,4,0,0,0,0,0,0,"4","2","4",5,9,0,0,0,0,4,4
"Ob20",2009-06-23 00:00:00.000,"SWA","Makeen",32.621,69.839367,"Morning",1,3,1,1,0,0,0,0,0,2,"4","1","3",5,6,0,0,0,0,7,7
"Ob23",2009-03-07 00:00:00.000,"SWA","Sarwaiki Tehsil",32.452617,69.90622,"Morning",1,1,0,0,0,0,1,1,0,0,"-","3","3",10,17,0,0,0,0,27,35
"Ob24",2009-07-07 00:00:00.000,"SWA","Makeen",32.621,69.839367,"Morning or afternoon",1,1,1,1,0,0,0,0,0,0,"4","2","2",14,18,0,0,0,0,10,10
"Ob25",2009-08-07 00:00:00.000,"SWA","Ladha",32.565354,69.830362,"Night",1,1,1,1,0,0,0,0,0,0,"-","4","6",8,10,0,0,0,0,5,12
"Ob26",2009-08-07 00:00:00.000,"SWA","Ladha",32.565354,69.830362,"Afternoon",5,5,0,0,0,0,0,0,5,5,"-","5","5",35,40,0,0,0,0,1,1
"Ob27",2009-10-07 00:00:00.000,"SWA","Painda Khel",32.317312,69.861846,"Evening or night",1,1,1,1,0,0,0,0,0,0,"4","2","2",3,5,0,0,0,0,3,3
"Ob32",2009-08-27 00:00:00.000,"SWA","Taparghai",32.5181,69.7847,"Afternoon",1,1,1,1,0,0,0,0,0,0,"-","2","3",8,10,0,0,0,0,6,9
"Ob42",2009-10-24 00:00:00.000,"Bajaur","Damadola",34.805556,71.466667,"",1,1,1,1,0,0,0,0,0,0,"4","1","2",20,30,0,0,0,0,8,8
"Ob47",2009-10-12 00:00:00.000,"SWA","Ladha",32.565354,69.830362,"",1,1,1,1,0,0,0,0,0,0,"-","2","2",6,6,0,0,0,0,8,8
"Ob59",2010-01-14 00:00:00.000,"NWA/SWA Border","Shaktoi",32.6903,70.0069,"Morning",1,1,1,1,0,0,0,0,0,0,"-","2","2",15,18,0,0,0,0,7,14
"Ob61",2010-01-15 00:00:00.000,"SWA","Shaktoi",32.6903,70.0069,"Evening",1,2,1,1,0,1,0,0,0,0,"-","2","4",6,10,0,0,0,0,0,0
"Ob62",2010-01-17 00:00:00.000,"SWA","Shaktoi",32.6903,70.0069,"Night or morning",1,1,1,1,0,0,0,0,0,0,"4","2","4",14,20,0,0,0,0,4,4
"Ob101",2010-06-29 00:00:00.000,"SWA","Kari Kot",32.326451,69.477754,"",1,2,1,1,0,0,0,0,0,1,"4","2","2",7,10,0,0,0,0,1,4
"Ob103",2010-07-24 00:00:00.000,"SWA","Dwasarak",32.051226,69.42406,"",1,1,1,1,0,0,0,0,0,0,"4","4","5",16,18,0,0,0,0,24,24
"Ob104",2010-07-25 00:00:00.000,"SWA","Shaktoi",32.6903,70.0069,"Morning",1,2,1,1,0,0,0,0,0,1,"3","2","4",14,32,0,0,0,0,7,12
"Ob106",2010-07-25 00:00:00.000,"SWA","Sararogha",32.515823,70.02368,"Evening",1,1,1,1,0,0,0,0,0,0,"-","Unreported","Unreported",4,4,0,0,0,0,5,5
"Ob111",2010-08-27 00:00:00.000,"Kurram","Shahidano",33.70035,70.341125,"Evening",2,2,0,0,0,0,0,0,2,2,"-","4","4",3,9,0,0,0,0,2,2
"Ob112",2010-08-27 00:00:00.000,"Kurram","Badshah Kot",33.473612,70.38878,"Night",1,1,1,1,0,0,0,0,0,0,"3","1","1",0,0,0,0,0,0,0,0
"Ob129",2010-09-21 00:00:00.000,"SWA","Khand Morsak",32.337765,70.117493,"Evening",1,1,0,0,0,0,0,0,1,1,"-","2","2",7,8,0,0,0,0,4,5
"Ob130",2010-09-21 00:00:00.000,"SWA","Azam Warsak",32.289444,69.425556,"Evening",1,1,1,1,0,0,0,0,0,0,"-","3","5",0,16,0,0,0,0,0,0
"Ob136",2010-09-28 00:00:00.000,"SWA","Zeba Pahar",32.454301,69.322615,"Evening",1,1,1,1,0,0,0,0,0,0,"4","2","2",4,4,0,0,0,0,2,2
"Ob171",2010-12-16 00:00:00.000,"Khyber","Speen Drang",33.806538,70.72998,"Afternoon",1,3,0,2,0,0,0,0,1,1,"2","Unreported","Unreported",7,7,0,0,0,0,0,0
"Ob172",2010-12-17 00:00:00.000,"Khyber","Tirah Valley",33.806538,70.72998,"Morning",2,3,0,1,0,0,0,0,2,2,"-","Unreported","Unreported",7,15,0,0,0,0,7,11
"Ob173",2010-12-17 00:00:00.000,"Khyber","Tirah Valley",33.806538,70.72998,"Afternoon",1,1,1,1,0,0,0,0,0,0,"-","Unreported","Unreported",11,15,0,0,0,0,2,2
"Ob191",2011-02-20 00:00:00.000,"SWA","Azam Warsak",32.289444,69.425556,"Night",1,1,1,1,0,0,0,0,0,0,"-","2","4",6,8,0,0,0,0,2,2
"Ob198",2011-03-13 00:00:00.000,"SWA","Azam Warsak",32.289444,69.425556,"Morning",0,1,0,0,0,0,0,0,0,1,"-","2","6",0,4,0,0,0,0,0,5
"Ob206",2011-10-05 00:00:00.000,"SWA","Baghar Cheena",32.486506,69.316877,"Afternoon",1,1,0,1,0,0,0,0,1,0,"-","2","4",3,5,0,0,0,0,4,4
"Ob213",2011-03-06 00:00:00.000,"SWA","Kari Kot",32.326451,69.477754,"",0,1,0,1,0,0,0,0,0,0,"-","2","2",5,12,0,0,0,0,1,3
"Ob214",2011-06-06 00:00:00.000,"SWA","Shalam Raghzai",32.822732,70.113201,"Night",1,1,1,1,0,0,0,0,0,0,"4","2","3",7,9,0,0,0,0,2,2
"Ob216",2011-06-06 00:00:00.000,"SWA","Darnashtra",32.540735,69.436512,"Morning",1,1,0,0,0,0,0,0,1,1,"-","1","2",3,5,0,0,0,0,0,0
"Ob218",2011-08-06 00:00:00.000,"NWA/SWA","Zoynari",32.61581,69.489212,"Afternoon",1,1,0,0,0,0,0,0,1,1,"4","2","2",4,4,0,0,0,0,0,0
"Ob219",2011-06-15 00:00:00.000,"SWA","Wana",32.306395,69.590492,"Afternoon",1,2,1,1,0,0,0,0,0,1,"-","2","2",2,10,0,0,0,0,2,2
"Ob220",2011-06-15 00:00:00.000,"SWA","Karez",32.250954,69.491395,"Afternoon",1,1,0,0,0,0,0,0,1,1,"-","2","2",0,0,0,0,0,0,0,0
"Ob223",2011-06-20 00:00:00.000,"Kurram","Zeraki",32.968491,70.233437,"Morning",1,1,1,1,0,0,0,0,0,0,"-","2","2",2,5,0,0,0,0,0,0
"Ob229",2011-12-07 00:00:00.000,"SWA","Barmal",32.464042,69.32622,"",1,1,1,1,0,0,0,0,0,0,"-","2","7",5,13,0,0,0,0,3,5
"Ob237",2011-08-19 00:00:00.000,"SWA","Shin Warsak",32.259265,69.514618,"Afternoon",1,1,1,1,0,0,0,0,0,0,"4","2","2",3,4,0,0,0,0,2,2
"Ob241",2011-09-27 00:00:00.000,"SWA","Azam Warsak",32.289444,69.425556,"Evening",1,2,1,1,0,0,0,0,0,1,"-","2","2",0,4,0,0,0,0,0,2
"Ob242",2011-09-30 00:00:00.000,"SWA","Baghar Cheena",32.486506,69.316877,"Afternoon",1,2,0,1,0,0,0,0,1,1,"-","2","6",3,4,0,0,0,0,1,5
"Ob244",2011-10-13 00:00:00.000,"SWA","Barmal",32.464042,69.32622,"Afternoon",1,2,1,1,0,0,0,0,0,1,"-","3","3",3,6,0,0,0,0,3,3
"Ob246",2011-10-15 00:00:00.000,"SWA","Baghar Cheena",32.486506,69.316877,"Night",1,1,1,1,0,0,0,0,0,0,"4","4","9",3,6,0,0,0,0,3,7
"Ob247",2011-10-26 00:00:00.000,"SWA","Bobar",32.654019,70.190889,"Evening",1,1,1,1,0,0,0,0,0,0,"-","2","2",13,22,0,0,0,0,6,6
"Ob248",2011-10-27 00:00:00.000,"SWA","Azam Warsak",32.289444,69.425556,"Morning",1,1,0,0,0,0,0,0,1,1,"-","2","6",4,6,0,0,0,0,3,4
"Ob264",2012-09-03 00:00:00.000,"SWA","Shaktoi",32.6903,70.0069,"Afternoon",1,2,0,1,0,0,0,0,1,1,"-","2","3",4,15,0,0,0,0,0,3
"Ob265",2012-09-03 00:00:00.000,"SWA","Sararogha",32.515823,70.02368,"Afternoon",1,1,1,1,0,0,0,0,0,0,"-","2","3",6,6,0,0,0,0,0,0
"Ob266",2012-03-13 00:00:00.000,"SWA","Darnashtra",32.540735,69.436512,"Morning",1,1,0,0,0,0,0,0,1,1,"-","2","4",6,8,0,0,0,0,2,4
"Ob267",2012-03-13 00:00:00.000,"SWA","Shawal SWA",32.61581,69.489212,"Morning",1,2,0,1,0,0,0,0,1,1,"-","2","2",6,7,0,0,0,0,3,3
"Ob276",2012-02-06 00:00:00.000,"SWA","Kari Kot",32.326451,69.477754,"Morning",1,1,0,0,0,0,0,0,1,1,"-","2","4",2,4,0,0,0,0,0,0
"Ob277",2012-03-06 00:00:00.000,"SWA","Barmal",32.464042,69.32622,"Morning",1,2,1,1,0,0,0,0,0,1,"4","4","4",0,10,0,0,0,0,4,10
"Ob291",2012-08-24 00:00:00.000,"SWA","Darnashtra",32.540735,69.436512,"Afternoon",1,1,1,1,0,0,0,0,0,0,"4","2","2",0,0,0,0,0,0,0,0
"Ob292",2012-08-24 00:00:00.000,"SWA","Darnashtra",32.540735,69.436512,"Afternoon",2,3,0,1,0,0,0,0,2,2,"-","2","2",0,0,0,0,0,0,0,0
"Ob300",2012-11-29 00:00:00.000,"SWA","Shin Warsak",32.259265,69.514618,"Afternoon",0,2,0,1,0,0,0,0,0,1,"-","2","3",1,4,0,0,0,0,3,4
"Ob301",2012-01-12 00:00:00.000,"SWA","Ghwa Khwa",32.061901,69.634949,"Afternoon",1,2,0,1,0,0,0,0,1,1,"4","2","3",1,4,0,0,0,0,3,3
"Ob306",2013-02-01 00:00:00.000,"SWA","Sara Khwara",32.583271,69.455566,"Night",1,1,0,0,0,0,0,0,1,1,"-","Unreported","Unreported",6,11,0,0,0,0,0,0
"Ob308",2013-06-01 00:00:00.000,"SWA","Babar Ghar",32.654768,70.190835,"Night",1,3,1,3,0,0,0,0,0,0,"4","10","10",8,18,0,0,0,0,3,7
"Ob313",2013-08-02 00:00:00.000,"SWA","Babar Ghar",32.654768,70.190835,"Evening",1,2,1,2,0,0,0,0,0,0,"4","2","6",6,9,0,0,0,0,2,6
"Ob317",2013-04-17 00:00:00.000,"SWA","Babar Ghar",32.654768,70.190835,"Night",1,1,1,1,0,0,0,0,0,0,"4","2","12",4,6,0,0,0,0,2,7
"Ob325",2013-09-22 00:00:00.000,"SWA","Palgai",32.638797,69.768162,"Afternoon",1,2,1,2,0,0,0,0,0,0,"3","2","2",6,7,0,0,0,0,2,4
"Ob330",2013-11-21 00:00:00.000,"KPK","Thal",33.365481,70.547308,"Morning",1,1,0,0,1,1,0,0,0,0,"2","3","3",6,9,0,0,0,0,1,9
"B1",2004-06-17 00:00:00.000,"SWA","Kari Kot",32.326451,69.477754,"Evening",1,1,1,1,0,0,0,0,0,0,"-","Unreported","Unreported",6,8,2,2,2,2,1,1
"B5",2006-01-13 00:00:00.000,"Bajaur","Damadola",34.805556,71.466667,"Night",2,3,2,3,0,0,0,0,0,0,"4","Unreported","Unreported",13,22,10,18,5,6,0,0
"B6",2006-10-30 00:00:00.000,"Bajaur","Damadola",34.805556,71.466667,"Morning",1,2,0,0,1,2,0,0,0,0,"4","3","3",81,83,80,82,68,70,3,3
"B7",2007-01-16 00:00:00.000,"SWA","Shaktoi",32.6903,70.0069,"Night or morning",3,3,3,3,0,0,0,0,0,0,"4","4","6",8,8,8,8,1,1,0,0
"B14",2008-03-16 00:00:00.000,"SWA","Dhook Pir Bagh",32.273128,69.552383,"Afternoon",1,1,1,1,0,0,0,0,0,0,"4","Unreported","Unreported",18,20,0,4,0,0,5,9
"B15",2008-05-14 00:00:00.000,"Bajaur","Damadola",34.805556,71.466667,"Evening",1,4,1,2,0,2,0,0,0,0,"4","2","2",12,20,4,6,1,4,9,9
"B16",2008-06-14 00:00:00.000,"SWA","Makeen",32.621,69.839367,"",1,1,1,1,0,0,0,0,0,0,"-","3","3",1,1,0,1,0,0,0,0
"B17",2008-07-28 00:00:00.000,"SWA","Zeralita",32.289444,69.425556,"Night",2,3,1,1,1,2,0,0,0,0,"-","2","4",7,12,1,5,0,2,3,3
"B18",2008-12-08 00:00:00.000,"SWA","Bhaggar",32.487348,69.316923,"Night",1,2,1,2,0,0,0,0,0,0,"-","4","4",12,25,0,5,0,0,0,4
"B34",2008-10-16 00:00:00.000,"SWA","Taparghai",32.5181,69.7847,"Morning",1,2,0,1,0,0,0,0,1,1,"2","2","2",2,9,0,4,0,0,1,7
"B36",2008-10-26 00:00:00.000,"SWA","Mandata",32.482108,69.627729,"Night",1,1,1,1,0,0,0,0,0,0,"4","Unreported","Unreported",18,20,0,4,0,3,2,2
"B38",2008-10-31 00:00:00.000,"SWA","Dhook Pir Bagh",32.273128,69.552383,"",1,1,1,1,0,0,0,0,0,0,"3","2","2",4,12,1,1,0,0,2,30
"B41",2008-11-19 00:00:00.000,"Bannu","Jani Khel",32.79861,70.50639,"Night",1,1,1,1,0,0,0,0,0,0,"4","2","2",3,6,0,3,0,0,7,7
"B46",2008-11-12 00:00:00.000,"SWA","Azam Warsak",32.289444,69.425556,"Evening",1,1,1,1,0,0,0,0,0,0,"4","2","2",6,7,0,7,0,0,0,0
"Ob2",2009-01-23 00:00:00.000,"SWA","Ganki Khel",32.288221,69.524789,"Evening",1,1,1,1,0,0,0,0,0,0,"3","2","2",5,10,5,10,3,4,2,2
"Ob3",2009-02-14 00:00:00.000,"SWA","Narsi Khel",33.030398,70.247011,"Morning",1,3,1,1,0,1,0,0,0,1,"4","Unreported","Unreported",25,35,1,9,1,1,11,15
"Ob10",2009-01-04 00:00:00.000,"Orakzai","Khadezai",33.640696,70.775776,"Morning",1,1,1,1,0,0,0,0,0,0,"4","2","2",10,14,5,5,3,3,4,16
"Ob13",2009-04-19 00:00:00.000,"SWA","Zari Noor",32.318292,69.522042,"Morning",1,4,1,2,0,0,0,0,0,2,"4","2","2",0,8,0,8,0,0,3,5
"Ob14",2009-04-29 00:00:00.000,"SWA","Kaniguram",32.5181,69.7847,"Evening",0,2,0,1,0,0,0,0,0,1,"3","2","2",1,10,0,4,0,0,4,4
"Ob15",2009-09-05 00:00:00.000,"SWA","Sararogha",32.515823,70.02368,"Afternoon",0,4,0,1,0,1,0,1,0,1,"4","4","4",6,25,0,4,0,0,7,10
"Ob18",2009-06-14 00:00:00.000,"SWA","Ladha",32.565354,69.830362,"Morning",0,2,0,0,0,0,0,0,0,2,"-","Unreported","Unreported",3,5,0,3,0,0,0,0
"Ob19",2009-06-18 00:00:00.000,"SWA","Ganki Khel",32.288221,69.524789,"Morning or night",1,1,1,1,0,0,0,0,0,0,"4","3","4",12,18,4,4,0,0,10,10
"Ob21",2009-06-23 00:00:00.000,"SWA","Makeen",32.621,69.839367,"",1,1,0,0,0,0,1,1,0,0,"-","2","3",60,83,18,50,10,10,27,27
"Ob22",2009-03-07 00:00:00.000,"SWA","Mantoi",32.56583,69.600234,"",1,1,0,0,1,1,0,0,0,0,"4","3","3",0,5,0,5,0,0,0,0
"Ob29",2009-05-08 00:00:00.000,"SWA","Ladha",32.565354,69.830362,"Night",1,1,1,1,0,0,0,0,0,0,"4","2","4",1,12,1,4,0,0,5,5
"Ob30",2009-11-08 00:00:00.000,"SWA","Kaniguram",32.5181,69.7847,"Morning",1,1,1,1,0,0,0,0,0,0,"-","2","3",12,25,0,6,4,4,5,7
"Ob93",2010-05-15 00:00:00.000,"Khyber","Tirah Valley",33.806538,70.72998,"Evening",0,3,0,2,0,0,0,0,0,1,"4","8","8",5,15,0,2,0,0,15,15
"Ob95",2010-05-28 00:00:00.000,"SWA","Mizai Nari",32.288656,69.319611,"Afternoon",1,1,1,1,0,0,0,0,0,0,"-","2","2",8,12,0,11,0,0,4,4
"Ob113",2010-08-27 00:00:00.000,"Kurram","Taaloo Ganj",33.499177,70.380006,"Night",2,2,1,1,1,1,0,0,0,0,"2","Unreported","Unreported",2,3,0,3,0,0,0,0
"Ob174",2010-12-17 00:00:00.000,"Khyber","Speen Drang",33.806538,70.72998,"Morning",1,1,1,1,0,0,0,0,0,0,"4","Unreported","Unreported",32,32,2,2,0,0,0,0
"Ob194",2011-08-03 00:00:00.000,"SWA","Landidog",32.28891,69.415827,"Afternoon",1,2,1,2,0,0,0,0,0,0,"3","2","5",2,5,0,5,0,0,2,2
"Ob203",2011-04-13 00:00:00.000,"SWA","Baghar Cheena",32.486506,69.316877,"Afternoon",1,3,0,1,0,0,0,0,1,2,"-","2","7",4,7,0,7,0,0,6,10
"Ob215",2011-06-06 00:00:00.000,"SWA","Wacha Dana",32.285137,69.456596,"Night or morning",0,2,0,1,0,1,0,0,0,0,"4","2","2",8,10,0,7,0,0,3,3
"Ob222",2011-06-20 00:00:00.000,"Kurram","Khardand",33.723197,70.338593,"Morning",1,1,0,0,0,0,0,0,1,1,"-","2","3",5,7,2,7,0,0,0,3
"Ob225",2011-06-27 00:00:00.000,"SWA","Mantoi",32.56583,69.600234,"Afternoon or evening",1,1,1,1,0,0,0,0,0,0,"-","2","4",12,21,0,20,0,0,2,2
"Ob230",2011-12-07 00:00:00.000,"SWA","Darnashtra",32.540735,69.436512,"Morning",1,3,1,1,0,0,0,0,0,2,"4","Unreported","Unreported",13,15,0,4,0,0,0,0
"Ob233",2011-01-08 00:00:00.000,"SWA","Nargassai",32.312026,69.354447,"Afternoon",1,3,0,2,0,0,0,0,1,1,"2","2","2",3,6,0,6,0,0,2,7
"Ob298",2012-11-10 00:00:00.000,"Orakzai","Khadezai",33.640696,70.775776,"Morning or afternoon",4,4,3,3,1,1,0,0,0,0,"4","4","4",16,26,0,2,0,0,5,15
"B3",2005-05-11 00:00:00.000,"NWA","Mosaki",32.965701,70.274498,"Night",1,1,1,1,0,0,0,0,0,0,"4","Unreported","Unreported",8,8,3,8,2,3,1,1
"B4",2005-01-12 00:00:00.000,"NWA","Asori",32.974702,70.251646,"Night",1,1,1,1,0,0,0,0,0,0,"-","Unreported","Unreported",6,6,2,3,2,2,0,0
"B8",2007-04-27 00:00:00.000,"NWA","Saidgai",32.9328,70.4,"Night",0,3,0,1,0,2,0,0,0,0,"4","6","6",3,4,3,4,0,0,3,9
"B9",2007-06-19 00:00:00.000,"NWA","Mami Rogha",32.834167,69.860833,"Morning",1,4,1,3,0,1,0,0,0,0,"4","Unreported","Unreported",20,34,0,34,0,0,10,15
"B12",2008-01-29 00:00:00.000,"NWA","Khushali",32.938927,70.247355,"Night",2,2,2,2,0,0,0,0,0,0,"4","Unreported","Unreported",12,15,4,6,2,3,1,2
"B22",2008-08-30 00:00:00.000,"NWA","Ghundikala",32.976448,70.244737,"Afternoon",1,1,1,1,0,0,0,0,0,0,"3","2","2",6,11,2,9,1,4,2,8
