FK_dim_Solicitacoes,Apoio,Notificação,Agendamento,Prazo,Data Criacao,Hora Criacao,Data Conclusao,Hora Conclusao,FK_dim_Entidades,FK_dim_Servicos,FK_dim_Usuarios,FK_dim_GruposUsuarios,FK_dim_Acoes,FK_dim_StatusExt,FK_dim_CategoriasServicos,FK_dim_GrupoResponsavel,FK_dim_MotivosCanc,FK_dim_Encaminhamento,Nota Avaliação,Motivo Avaliação,Data Avaliação,Hora Avaliação,FK_dim_Situacao
"2020.7-55.541",0,1,0,0,2020-07-25 00:00:00.000,1899-12-30 21:45:28.000,2020-07-25 00:00:00.000,1899-12-30 22:20:52.000,,8,11,13,23,17,,6,,"",-1,"",,,1
"2020.7-55.541",0,0,0,0,2020-07-25 00:00:00.000,1899-12-30 22:21:08.000,2020-07-25 00:00:00.000,1899-12-30 22:31:42.000,,8,13,15,22,19,,6,,"",-1,"",,,1
"2020.7-55.541",0,0,0,0,2020-07-25 00:00:00.000,1899-12-30 22:32:06.000,2020-07-25 00:00:00.000,1899-12-30 22:41:38.000,,8,12,14,21,18,,6,,"",-1,"",,,1
"2020.7-55.541",0,1,0,0,2020-07-25 00:00:00.000,1899-12-30 22:41:49.000,2020-07-26 00:00:00.000,1899-12-30 17:00:22.000,,8,11,13,23,17,,6,,"",-1,"",,,1
"2020.7-55.543",0,1,0,0,2020-07-26 00:00:00.000,1899-12-30 01:59:25.000,2020-07-26 00:00:00.000,1899-12-30 17:02:22.000,,8,11,13,23,17,,6,,"",-1,"",,,1
"2020.7-55.546",0,1,0,0,2020-07-27 00:00:00.000,1899-12-30 12:05:55.000,2020-07-27 00:00:00.000,1899-12-30 12:12:31.000,,8,11,13,23,17,,6,,"",-1,"",,,1
"2020.7-55.546",0,0,0,0,2020-07-27 00:00:00.000,1899-12-30 12:12:42.000,2020-07-27 00:00:00.000,1899-12-30 12:17:21.000,,8,13,15,22,19,,6,,"",-1,"",,,1
"2020.7-55.546",0,0,0,0,2020-07-27 00:00:00.000,1899-12-30 12:17:37.000,2020-07-27 00:00:00.000,1899-12-30 12:18:46.000,,8,12,14,21,19,,6,,"",-1,"",,,1
"2020.7-55.547",0,1,0,0,2020-07-27 00:00:00.000,1899-12-30 12:34:47.000,2020-07-27 00:00:00.000,1899-12-30 12:48:39.000,,8,11,13,23,17,,6,,"",-1,"",,,1
"2020.7-55.547",0,0,0,0,2020-07-27 00:00:00.000,1899-12-30 12:49:14.000,2020-07-27 00:00:00.000,1899-12-30 13:07:34.000,,8,12,14,21,17,,6,,"",-1,"",,,1
"2020.10-59.624",0,1,0,43200,2020-10-26 00:00:00.000,1899-12-30 14:17:00.000,2020-10-26 00:00:00.000,1899-12-30 14:27:40.000,,3,6,3,7,9,3,3,,"",-1,"",,,2
"2020.10-59.624",0,1,0,43200,2020-10-26 00:00:00.000,1899-12-30 14:35:25.000,2020-10-27 00:00:00.000,1899-12-30 18:47:09.000,,3,6,3,7,9,3,3,,"",-1,"",,,2
"2020.10-59.624",0,1,0,43200,2020-11-05 00:00:00.000,1899-12-30 14:48:57.000,2020-11-05 00:00:00.000,1899-12-30 17:05:41.000,,3,3,6,2,4,3,3,,"",-1,"",,,2
"2020.10-59.624",0,1,0,43200,2020-10-27 00:00:00.000,1899-12-30 18:47:50.000,2020-11-05 00:00:00.000,1899-12-30 14:48:38.000,,3,6,3,7,9,3,3,,"",-1,"",,,2
"2020.10-59.621",0,1,0,43200,2020-11-05 00:00:00.000,1899-12-30 14:48:57.000,2020-11-05 00:00:00.000,1899-12-30 17:03:20.000,,3,3,6,2,4,3,3,,"",-1,"",,,2
"2020.10-59.621",0,1,0,43200,2020-10-21 00:00:00.000,1899-12-30 19:42:45.000,2020-11-05 00:00:00.000,1899-12-30 14:48:14.000,,3,6,3,7,9,3,3,,"",-1,"",,,2
"2020.10-59.626",0,1,0,43200,2020-11-05 00:00:00.000,1899-12-30 14:49:32.000,2020-11-05 00:00:00.000,1899-12-30 17:06:13.000,,3,3,6,2,9,3,3,,"",-1,"",,,2
"2020.10-59.626",0,1,0,43200,2020-10-30 00:00:00.000,1899-12-30 17:24:58.000,2020-11-05 00:00:00.000,1899-12-30 14:49:18.000,,3,6,3,7,9,3,3,,"",-1,"",,,2
"2020.11-59.628",0,1,0,43200,2020-11-04 00:00:00.000,1899-12-30 17:10:27.000,2020-11-05 00:00:00.000,1899-12-30 17:10:25.000,,3,6,3,7,9,3,3,,"",-1,"",,,2
"2020.11-59.628",0,1,0,43200,2020-11-05 00:00:00.000,1899-12-30 17:10:49.000,2020-11-05 00:00:00.000,1899-12-30 17:38:48.000,,3,3,6,2,4,3,3,,"",-1,"",,,2
"2020.11-59.629",0,1,0,43200,2020-11-04 00:00:00.000,1899-12-30 17:12:17.000,2020-11-05 00:00:00.000,1899-12-30 17:11:14.000,,3,6,3,7,9,3,3,,"",-1,"",,,2
"2020.11-59.629",0,1,0,43200,2020-11-05 00:00:00.000,1899-12-30 17:11:50.000,2020-11-05 00:00:00.000,1899-12-30 17:38:26.000,,3,3,6,3,5,3,3,,"",-1,"",,,2
"2020.11-59.629",0,1,0,43200,2020-11-05 00:00:00.000,1899-12-30 17:38:58.000,2020-11-05 00:00:00.000,1899-12-30 17:48:14.000,,3,3,6,2,5,3,3,,"",-1,"",,,2
"2020.11-59.630",0,1,0,43200,2020-11-04 00:00:00.000,1899-12-30 17:12:19.000,2020-11-05 00:00:00.000,1899-12-30 17:11:41.000,,3,6,3,7,9,3,3,,"",-1,"",,,2
"2020.11-59.630",0,1,0,43200,2020-11-05 00:00:00.000,1899-12-30 17:12:16.000,2020-11-05 00:00:00.000,1899-12-30 17:39:08.000,,3,3,6,2,4,3,3,,"",-1,"",,,2
"2020.11-59.635",0,1,0,43200,2020-11-05 00:00:00.000,1899-12-30 18:42:10.000,2020-11-05 00:00:00.000,1899-12-30 18:45:53.000,,3,6,3,7,9,3,3,,"",-1,"",,,1
"2020.11-59.635",0,1,0,43200,2020-11-05 00:00:00.000,1899-12-30 18:46:06.000,2020-11-05 00:00:00.000,1899-12-30 18:47:04.000,,3,4,7,6,8,3,3,,"",-1,"",,,1
"2020.11-59.635",0,1,0,43200,2020-11-05 00:00:00.000,1899-12-30 18:47:24.000,2020-11-05 00:00:00.000,1899-12-30 18:48:05.000,,3,5,8,5,8,3,3,,"",-1,"",,,1
"2020.11-null.632",0,1,0,43200,2020-11-05 00:00:00.000,1899-12-30 18:03:49.000,2020-11-05 00:00:00.000,1899-12-30 18:59:02.000,,3,6,3,7,9,3,3,,"",-1,"",,,2
"2020.11-null.632",0,1,0,43200,2020-11-05 00:00:00.000,1899-12-30 18:59:34.000,2020-11-05 00:00:00.000,1899-12-30 19:18:15.000,,3,3,6,2,4,3,3,,"",-1,"",,,2
"2020.7-492.48",0,0,0,43200,2020-07-17 00:00:00.000,1899-12-30 17:33:11.000,2020-07-20 00:00:00.000,1899-12-30 21:33:29.000,,9,6,16,30,25,,7,,"",-1,"",,,1
"2020.7-493.48",0,0,0,43200,2020-07-17 00:00:00.000,1899-12-30 18:42:52.000,2020-07-20 00:00:00.000,1899-12-30 21:35:16.000,,9,6,22,30,1,,7,,"",-1,"",,,1
"2020.7-494.48",0,0,0,43200,2020-07-17 00:00:00.000,1899-12-30 21:02:13.000,2020-07-17 00:00:00.000,1899-12-30 21:09:47.000,,9,6,22,30,25,,7,,"",-1,"",,,3
"2020.7-494.48",0,0,0,43200,2020-07-17 00:00:00.000,1899-12-30 21:10:01.000,2020-07-20 00:00:00.000,1899-12-30 20:25:14.000,,9,4,21,29,24,,7,,"",-1,"",,,3
"2020.7-494.48",0,1,0,43200,2020-07-20 00:00:00.000,1899-12-30 20:25:35.000,2020-07-20 00:00:00.000,1899-12-30 20:27:40.000,,9,15,17,24,21,,7,,"",-1,"",,,3
"2020.7-495.48",0,0,0,43200,2020-07-17 00:00:00.000,1899-12-30 21:56:18.000,2020-07-17 00:00:00.000,1899-12-30 22:00:36.000,,9,6,22,30,1,,7,,"",-1,"",,,3
"2020.7-495.48",0,0,0,43200,2020-07-17 00:00:00.000,1899-12-30 22:00:53.000,2020-07-20 00:00:00.000,1899-12-30 20:26:02.000,,9,4,21,29,24,,7,,"",-1,"",,,3
"2020.7-495.48",0,1,0,43200,2020-07-20 00:00:00.000,1899-12-30 20:26:13.000,2020-07-20 00:00:00.000,1899-12-30 20:28:11.000,,9,15,17,24,21,,7,,"",-1,"",,,3
"2020.7-496.48",0,0,0,43200,2020-07-17 00:00:00.000,1899-12-30 22:12:56.000,2020-07-20 00:00:00.000,1899-12-30 20:51:43.000,,9,6,16,30,25,,7,,"",-1,"",,,1
"2020.7-497.48",0,0,0,43200,2020-07-17 00:00:00.000,1899-12-30 22:19:35.000,2020-07-17 00:00:00.000,1899-12-30 22:22:28.000,,9,6,16,30,1,,7,,"",-1,"",,,1
"2020.7-498.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 12:31:11.000,2020-07-20 00:00:00.000,1899-12-30 15:54:00.000,,9,6,16,30,25,,7,,"",-1,"",,,2
"2020.7-498.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 15:54:12.000,2020-07-20 00:00:00.000,1899-12-30 16:02:17.000,,9,4,21,29,24,,7,,"",-1,"",,,2
"2020.7-498.48",0,1,0,43200,2020-07-20 00:00:00.000,1899-12-30 16:02:30.000,2020-07-20 00:00:00.000,1899-12-30 16:05:51.000,,9,17,19,24,21,,7,,"",-1,"",,,2
"2020.7-499.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 12:39:49.000,2020-07-20 00:00:00.000,1899-12-30 12:44:49.000,,9,6,16,30,25,,7,,"",-1,"",,,2
"2020.7-499.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 12:44:58.000,2020-07-20 00:00:00.000,1899-12-30 12:58:45.000,,9,4,21,29,24,,7,,"",-1,"",,,2
"2020.7-499.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 12:59:01.000,2020-07-20 00:00:00.000,1899-12-30 13:08:35.000,,9,17,19,28,24,,7,,"",-1,"",,,2
"2020.7-499.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 13:08:43.000,2020-07-20 00:00:00.000,1899-12-30 13:14:15.000,,9,18,20,27,1,,7,,"",-1,"",,,2
"2020.7-499.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 13:14:40.000,2020-07-20 00:00:00.000,1899-12-30 13:21:54.000,,9,17,19,26,1,,7,,"",-1,"",,,2
"2020.7-499.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 13:22:18.000,2020-07-20 00:00:00.000,1899-12-30 13:33:05.000,,9,16,18,25,22,,7,,"",-1,"",,,2
"2020.7-499.48",0,1,0,43200,2020-07-20 00:00:00.000,1899-12-30 13:33:15.000,2020-07-20 00:00:00.000,1899-12-30 13:42:03.000,,9,15,17,24,21,,7,,"",-1,"",,,2
"2020.7-500.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 15:21:46.000,2020-07-20 00:00:00.000,1899-12-30 15:25:57.000,,9,6,16,30,25,,7,,"",-1,"",,,3
"2020.7-500.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 15:26:15.000,2020-07-20 00:00:00.000,1899-12-30 15:28:19.000,,9,4,21,29,24,,7,,"",-1,"",,,3
"2020.7-500.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 15:28:49.000,2020-07-20 00:00:00.000,1899-12-30 15:36:13.000,,9,17,19,28,24,,7,,"",-1,"",,,3
"2020.7-501.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 15:52:30.000,2020-07-20 00:00:00.000,1899-12-30 15:59:06.000,,9,6,16,30,25,,7,,"",-1,"",,,1
"2020.7-502.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 16:07:39.000,2020-07-20 00:00:00.000,1899-12-30 16:09:08.000,,9,6,16,30,25,,7,,"",-1,"",,,2
"2020.7-502.48",0,1,0,43200,2020-07-20 00:00:00.000,1899-12-30 16:09:21.000,2020-07-20 00:00:00.000,1899-12-30 16:10:06.000,,9,15,17,24,21,,7,,"",-1,"",,,2
"2020.7-503.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 16:16:50.000,2020-07-20 00:00:00.000,1899-12-30 16:20:18.000,,9,6,16,30,25,,7,,"",-1,"",,,1
"2020.7-503.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 16:20:33.000,2020-07-20 00:00:00.000,1899-12-30 16:22:59.000,,9,4,21,29,24,,7,,"",-1,"",,,1
"2020.7-504.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 16:37:46.000,2020-07-20 00:00:00.000,1899-12-30 16:38:59.000,,9,6,16,30,1,,7,,"",-1,"",,,1
"2020.7-504.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 16:39:17.000,2020-07-20 00:00:00.000,1899-12-30 22:01:09.000,,9,4,21,27,23,,7,,"",-1,"",,,1
"2020.7-508.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 20:20:00.000,2020-07-20 00:00:00.000,1899-12-30 20:33:54.000,,9,6,16,30,25,,7,,"",-1,"",,,2
"2020.7-508.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 20:34:23.000,2020-07-20 00:00:00.000,1899-12-30 20:35:47.000,,9,4,21,29,24,,7,,"",-1,"",,,2
"2020.7-508.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 20:36:03.000,2020-07-20 00:00:00.000,1899-12-30 20:37:26.000,,9,17,19,28,24,,7,,"",-1,"",,,2
"2020.7-508.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 20:37:54.000,2020-07-20 00:00:00.000,1899-12-30 21:46:50.000,,9,18,20,27,23,,7,,"",-1,"",,,2
"2020.7-508.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 21:47:09.000,2020-07-20 00:00:00.000,1899-12-30 21:50:19.000,,9,17,19,31,26,,7,,"",-1,"",,,2
"2020.7-508.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 21:50:27.000,2020-07-20 00:00:00.000,1899-12-30 21:52:28.000,,9,18,20,27,23,,7,,"",-1,"",,,2
"2020.7-508.48",1,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 21:52:34.000,2020-07-20 00:00:00.000,1899-12-30 21:54:20.000,,9,16,18,12,23,,7,,"",-1,"",,,2
"2020.7-508.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 21:54:20.000,2020-07-20 00:00:00.000,1899-12-30 21:55:06.000,,9,6,,11,23,,7,,"",-1,"",,,2
"2020.7-508.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 21:55:06.000,2020-07-20 00:00:00.000,1899-12-30 21:56:17.000,,9,16,18,25,22,,7,,"",-1,"",,,2
"2020.7-508.48",0,1,0,43200,2020-07-20 00:00:00.000,1899-12-30 21:56:33.000,2020-07-20 00:00:00.000,1899-12-30 21:57:22.000,,9,15,17,24,21,,7,,"",-1,"",,,2
"2020.7-510.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 22:13:49.000,2020-07-20 00:00:00.000,1899-12-30 22:18:23.000,,9,6,16,30,25,,7,,"",-1,"",,,1
"2020.7-510.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 22:18:41.000,2020-07-20 00:00:00.000,1899-12-30 22:19:52.000,,9,4,21,29,24,,7,,"",-1,"",,,1
"2020.7-510.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 22:20:14.000,2020-07-20 00:00:00.000,1899-12-30 22:20:56.000,,9,17,19,28,24,,7,,"",-1,"",,,1
"2020.7-510.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 22:21:10.000,2020-07-20 00:00:00.000,1899-12-30 22:23:09.000,,9,18,20,27,23,,7,,"",-1,"",,,1
"2020.7-510.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 22:23:18.000,2020-07-20 00:00:00.000,1899-12-30 22:24:24.000,,9,17,19,26,23,,7,,"",-1,"",,,1
"2020.7-510.48",1,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 22:24:37.000,2020-07-20 00:00:00.000,1899-12-30 22:25:22.000,,9,6,16,12,23,,7,,"",-1,"",,,1
"2020.7-510.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 22:25:22.000,2020-07-20 00:00:00.000,1899-12-30 22:26:16.000,,9,19,,11,23,,7,,"",-1,"",,,1
"2020.7-510.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 22:26:16.000,2020-07-20 00:00:00.000,1899-12-30 22:29:06.000,,9,6,16,30,23,,7,,"",-1,"",,,1
"2020.7-510.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 22:29:36.000,2020-07-20 00:00:00.000,1899-12-30 22:30:34.000,,9,18,20,26,23,,7,,"",-1,"",,,1
"2020.7-511.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 22:35:03.000,2020-07-20 00:00:00.000,1899-12-30 22:39:38.000,,9,6,16,30,25,,7,,"",-1,"",,,2
"2020.7-511.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 22:40:06.000,2020-07-20 00:00:00.000,1899-12-30 22:41:18.000,,9,4,21,29,24,,7,,"",-1,"",,,2
"2020.7-511.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 22:41:37.000,2020-07-20 00:00:00.000,1899-12-30 22:42:39.000,,9,17,19,28,24,,7,,"",-1,"",,,2
"2020.7-511.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 22:42:56.000,2020-07-20 00:00:00.000,1899-12-30 22:44:44.000,,9,18,20,27,23,,7,,"",-1,"",,,2
"2020.7-511.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 22:45:01.000,2020-07-20 00:00:00.000,1899-12-30 22:45:57.000,,9,17,19,26,23,,7,,"",-1,"",,,2
"2020.7-511.48",1,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 22:46:09.000,2020-07-20 00:00:00.000,1899-12-30 22:47:03.000,,9,16,18,12,23,,7,,"",-1,"",,,2
"2020.7-511.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 22:47:03.000,2020-07-20 00:00:00.000,1899-12-30 22:47:59.000,,9,6,,11,23,,7,,"",-1,"",,,2
"2020.7-511.48",0,0,0,43200,2020-07-20 00:00:00.000,1899-12-30 22:47:58.000,2020-07-20 00:00:00.000,1899-12-30 22:49:19.000,,9,16,18,25,22,,7,,"",-1,"",,,2
"2020.7-511.48",0,1,0,43200,2020-07-20 00:00:00.000,1899-12-30 22:49:48.000,2020-07-20 00:00:00.000,1899-12-30 22:51:37.000,,9,15,17,24,21,,7,,"",-1,"",,,2
"2020.7-513.48",0,1,0,43200,2020-07-20 00:00:00.000,1899-12-30 23:18:10.000,2020-07-20 00:00:00.000,1899-12-30 23:47:51.000,,9,6,16,24,1,,7,,"",-1,"",,,2
"2020.9-59.598",0,1,0,43200,2020-09-19 00:00:00.000,1899-12-30 15:36:40.000,2020-11-05 00:00:00.000,1899-12-30 14:46:27.000,,3,6,3,7,9,3,3,,"",-1,"",,,2
"2020.9-59.598",0,1,0,43200,2020-11-05 00:00:00.000,1899-12-30 14:46:56.000,2020-11-05 00:00:00.000,1899-12-30 17:04:03.000,,3,3,6,2,9,3,3,,"",-1,"",,,2
"2020.9-59.599",0,1,0,43200,2020-09-21 00:00:00.000,1899-12-30 18:36:59.000,2020-09-21 00:00:00.000,1899-12-30 18:45:10.000,,3,6,3,7,9,3,3,,"",-1,"",,,2
"2020.9-59.599",0,1,0,43200,2020-09-21 00:00:00.000,1899-12-30 18:45:53.000,2020-09-21 00:00:00.000,1899-12-30 18:51:24.000,,3,4,7,6,8,3,3,,"",-1,"",,,2
"2020.9-59.599",0,1,0,43200,2020-09-21 00:00:00.000,1899-12-30 18:52:29.000,2020-09-21 00:00:00.000,1899-12-30 19:39:38.000,,3,5,8,5,7,3,3,,"",-1,"",,,2
"2020.9-59.599",0,1,0,43200,2020-09-21 00:00:00.000,1899-12-30 19:40:23.000,2020-09-21 00:00:00.000,1899-12-30 19:41:38.000,,3,4,7,4,6,3,3,,"",-1,"",,,2
"2020.9-59.599",0,1,0,43200,2020-09-21 00:00:00.000,1899-12-30 19:42:12.000,2020-09-21 00:00:00.000,1899-12-30 19:44:58.000,,3,4,7,17,14,3,3,,"",-1,"",,,2
"2020.9-59.599",0,1,0,43200,2020-09-21 00:00:00.000,1899-12-30 19:45:32.000,2020-09-21 00:00:00.000,1899-12-30 20:09:34.000,,3,3,6,3,5,3,3,,"",-1,"",,,2
"2020.9-59.599",0,1,0,43200,2020-09-21 00:00:00.000,1899-12-30 20:10:21.000,2020-09-21 00:00:00.000,1899-12-30 20:11:13.000,,3,3,6,2,4,3,3,,"",-1,"",,,2
"2020.9-59.607",0,1,0,43200,2020-09-23 00:00:00.000,1899-12-30 19:49:38.000,2020-11-05 00:00:00.000,1899-12-30 14:47:07.000,,3,6,3,7,9,3,3,,"",-1,"",,,2
"2020.9-59.607",0,1,0,43200,2020-11-05 00:00:00.000,1899-12-30 14:47:20.000,2020-11-05 00:00:00.000,1899-12-30 17:04:40.000,,3,3,6,2,4,3,3,,"",-1,"",,,2
"2020.9-59.608",0,1,0,43200,2020-09-23 00:00:00.000,1899-12-30 19:51:10.000,2020-11-05 00:00:00.000,1899-12-30 14:47:39.000,,3,6,3,7,9,3,3,,"",-1,"",,,2
"2020.9-59.608",0,1,0,43200,2020-11-05 00:00:00.000,1899-12-30 14:48:11.000,2020-11-05 00:00:00.000,1899-12-30 17:05:14.000,,3,3,6,2,9,3,3,,"",-1,"",,,2
"2020.10-32.617",0,0,0,21600,2020-10-13 00:00:00.000,1899-12-30 19:26:50.000,2020-10-13 00:00:00.000,1899-12-30 19:28:20.000,,1,2,,11,2,1,1,,"",-1,"",,,1
"2020.7-34.561",0,0,0,21600,2020-09-02 00:00:00.000,1899-12-30 14:12:20.000,2020-09-02 00:00:00.000,1899-12-30 14:46:51.000,,4,2,,11,15,1,1,,"",-1,"",,,1
"2020.7-486.34",0,0,0,21600,2020-07-14 00:00:00.000,1899-12-30 18:27:43.000,2020-07-14 00:00:00.000,1899-12-30 21:10:59.000,,4,2,,11,1,1,1,,"",-1,"",,,1
"2020.7-487.32",0,0,0,21600,2020-07-14 00:00:00.000,1899-12-30 21:00:43.000,2020-07-14 00:00:00.000,1899-12-30 21:44:18.000,,1,2,,11,1,1,1,,"",-1,"",,,2
"2020.7-487.32",0,0,0,21600,2020-07-15 00:00:00.000,1899-12-30 20:37:59.000,2020-07-15 00:00:00.000,1899-12-30 20:39:21.000,,1,2,,11,1,1,1,,"",-1,"",,,2
"2020.7-487.32",0,0,0,21600,2020-07-15 00:00:00.000,1899-12-30 22:25:06.000,2020-07-17 00:00:00.000,1899-12-30 01:22:33.000,,1,2,,11,1,1,1,,"",-1,"",,,2
"2020.7-528.32",0,0,0,21600,2020-08-24 00:00:00.000,1899-12-30 19:44:18.000,2020-09-03 00:00:00.000,1899-12-30 16:12:16.000,,1,2,,11,1,1,1,,"",-1,"",,,3
"2020.9-32.583",0,0,0,21600,2020-09-03 00:00:00.000,1899-12-30 17:03:39.000,2020-09-03 00:00:00.000,1899-12-30 17:05:52.000,,1,2,,11,2,1,1,,"",-1,"",,,1
"2020.10-32.615",0,1,0,21600,2020-10-09 00:00:00.000,1899-12-30 16:26:16.000,2020-10-09 00:00:00.000,1899-12-30 16:27:52.000,,1,2,1,10,2,1,1,,"",-1,"",,,1
"2020.10-32.617",0,1,0,21600,2020-10-12 00:00:00.000,1899-12-30 22:24:03.000,2020-10-12 00:00:00.000,1899-12-30 22:43:40.000,,1,2,1,10,2,1,1,,"",-1,"",,,1
"2020.10-32.614",0,1,0,21600,2020-10-09 00:00:00.000,1899-12-30 16:07:09.000,2020-10-09 00:00:00.000,1899-12-30 16:09:37.000,,1,2,1,10,2,1,1,,"",-1,"",,,1
"2020.10-32.618",0,1,0,21600,2020-10-13 00:00:00.000,1899-12-30 23:09:12.000,2020-10-14 00:00:00.000,1899-12-30 19:42:28.000,,1,2,1,10,2,1,1,,"",-1,"",,,1
"2020.7-32.549",0,1,0,21600,2020-07-27 00:00:00.000,1899-12-30 20:02:52.000,2020-12-03 00:00:00.000,1899-12-30 17:29:34.000,,1,2,1,10,2,1,1,,"",-1,"",,,1
"2020.7-34.574",0,0,0,21600,2020-07-31 00:00:00.000,1899-12-30 20:51:43.000,2020-11-24 00:00:00.000,1899-12-30 20:16:50.000,,4,2,1,11,1,1,1,,"",-1,"",,,1
"2020.7-34.561",1,0,0,21600,2020-07-29 00:00:00.000,1899-12-30 20:44:35.000,2020-09-02 00:00:00.000,1899-12-30 14:12:20.000,,4,2,1,12,15,1,1,,"",-1,"",,,1
"2020.7-34.561",0,0,0,21600,2020-09-02 00:00:00.000,1899-12-30 14:46:50.000,2020-09-02 00:00:00.000,1899-12-30 14:48:59.000,,4,2,1,18,15,1,1,,"",-1,"",,,1
"2020.7-34.561",1,0,0,21600,2020-09-02 00:00:00.000,1899-12-30 14:49:36.000,2020-09-28 00:00:00.000,1899-12-30 18:04:42.000,,4,2,1,12,15,1,1,,"",-1,"",,,1
"2020.7-34.567",0,0,0,21600,2020-07-30 00:00:00.000,1899-12-30 14:38:04.000,2020-08-24 00:00:00.000,1899-12-30 20:27:12.000,,4,2,1,19,1,1,1,,"",-1,"",,,1
"2020.7-34.562",0,0,0,21600,2020-07-29 00:00:00.000,1899-12-30 20:51:24.000,2020-08-24 00:00:00.000,1899-12-30 19:55:15.000,,4,2,1,19,1,1,1,,"",-1,"",,,1
"2020.7-34.560",1,0,0,21600,2020-07-29 00:00:00.000,1899-12-30 20:38:05.000,2020-08-24 00:00:00.000,1899-12-30 19:51:21.000,,4,2,1,12,1,1,1,,"",-1,"",,,1
"2020.7-34.557",0,1,1,21600,2020-07-29 00:00:00.000,1899-12-30 20:21:54.000,2020-08-24 00:00:00.000,1899-12-30 19:46:06.000,,4,2,1,13,1,1,1,,"",-1,"",,,1
"2020.7-34.556",0,0,0,21600,2020-07-29 00:00:00.000,1899-12-30 20:20:48.000,2020-08-24 00:00:00.000,1899-12-30 19:42:06.000,,4,2,1,19,1,1,1,,"",-1,"",,,1
"2020.7-34.555",0,0,0,21600,2020-07-29 00:00:00.000,1899-12-30 20:19:56.000,2020-08-24 00:00:00.000,1899-12-30 19:41:09.000,,4,2,1,19,1,1,1,,"",-1,"",,,1
"2020.7-34.551",0,0,0,21600,2020-07-29 00:00:00.000,1899-12-30 15:38:23.000,2020-08-24 00:00:00.000,1899-12-30 19:38:13.000,,4,2,1,19,1,1,1,,"",-1,"",,,1
"2020.7-486.34",1,0,0,21600,2020-07-11 00:00:00.000,1899-12-30 00:46:19.000,2020-07-14 00:00:00.000,1899-12-30 18:27:43.000,,4,2,1,12,1,1,1,,"",-1,"",,,1
"2020.7-486.34",0,0,0,21600,2020-07-14 00:00:00.000,1899-12-30 21:10:59.000,2020-07-16 00:00:00.000,1899-12-30 22:46:07.000,,4,2,1,18,15,1,1,,"",-1,"",,,1
"2020.7-486.34",0,0,0,21600,2020-07-16 00:00:00.000,1899-12-30 22:46:24.000,2020-07-22 00:00:00.000,1899-12-30 19:58:12.000,,4,2,1,18,15,1,1,,"",-1,"",,,1
"2020.7-486.34",0,0,0,21600,2020-07-22 00:00:00.000,1899-12-30 19:58:35.000,2020-08-24 00:00:00.000,1899-12-30 17:34:11.000,,4,2,1,19,15,1,1,,"",-1,"",,,1
