FK_dim_Solicitacoes,Apoio,Notificação,Agendamento,Prazo,FK_dim_Entidades,FK_dim_Servicos,FK_dim_Usuarios,FK_dim_GruposUsuarios,FK_dim_Acoes,FK_dim_StatusExt,FK_dim_CategoriasServicos,FK_dim_GrupoResponsavel,FK_dim_MotivosCanc,FK_dim_Encaminhamento,FK_dim_Situacao,Nota Avaliação,Motivo Avaliação,Data Avaliação,Hora Avaliação,Hora Criacao,Hora Conclusao,FK_dim_SLA,Data Criacao,Data Conclusao
"2020.10-32.617","1","0","0",21600,1,1,8,5,12,2,1,1,1,"",1,-1,"",,,1899-12-30 19:44:11.706,1899-12-30 16:26:50.713,3,2020-10-12 00:00:00.000,2020-10-13 00:00:00.000
"2020.10-32.615","0","1","0",21600,1,1,8,5,9,10,1,1,1,"",1,-1,"",,,1899-12-30 16:23:11.900,1899-12-30 17:54:35.716,3,2020-10-09 00:00:00.000,2020-10-09 00:00:00.000
"2020.9-60.605","0","1","0",28800,1,6,3,6,2,4,3,3,1,"",2,-1,"",,,1899-12-30 12:47:39.610,1899-12-30 12:49:15.920,1,2020-09-23 00:00:00.000,2020-09-23 00:00:00.000
"2020.9-60.605","0","1","0",28800,1,6,3,6,14,11,3,3,1,"",2,-1,"",,,1899-12-30 12:45:48.620,1899-12-30 12:46:28.626,1,2020-09-23 00:00:00.000,2020-09-23 00:00:00.000
"2020.9-60.605","0","1","0",28800,1,6,3,6,15,12,3,3,1,"",2,-1,"",,,1899-12-30 12:44:08.220,1899-12-30 12:44:54.493,1,2020-09-23 00:00:00.000,2020-09-23 00:00:00.000
"2020.9-60.605","0","1","0",28800,1,6,3,6,16,13,3,3,1,"",2,-1,"",,,1899-12-30 12:42:28.613,1899-12-30 12:43:45.950,1,2020-09-23 00:00:00.000,2020-09-23 00:00:00.000
"2020.9-60.603","0","1","0",28800,1,6,3,6,2,4,3,3,1,"",2,-1,"",,,1899-12-30 12:12:58.856,1899-12-30 15:56:20.656,3,2020-09-23 00:00:00.000,2020-11-05 00:00:00.000
"2020.9-60.602","0","1","0",28800,1,6,3,6,2,4,3,3,1,"",2,-1,"",,,1899-12-30 10:57:10.273,1899-12-30 15:55:55.223,3,2020-09-23 00:00:00.000,2020-11-05 00:00:00.000
"2020.7-32.572","1","0","0",21600,1,1,7,9,12,10,1,1,1,"",1,-1,"",,,1899-12-30 17:54:03.286,1899-12-30 17:55:23.436,3,2020-07-31 00:00:00.000,2020-07-31 00:00:00.000
"2020.7-32.572","0","1","0",21600,1,1,8,5,9,10,1,1,1,"",1,-1,"",,,1899-12-30 17:52:35.073,1899-12-30 17:53:39.770,3,2020-07-31 00:00:00.000,2020-07-31 00:00:00.000
"2020.7-32.572","0","0","0",21600,1,1,9,4,11,3,1,1,1,"",1,-1,"",,,1899-12-30 17:47:57.986,1899-12-30 17:52:35.163,3,2020-07-31 00:00:00.000,2020-07-31 00:00:00.000
"2020.7-32.572","1","0","0",21600,1,1,8,5,12,2,1,1,1,"",1,-1,"",,,1899-12-30 17:10:26.626,1899-12-30 17:47:58.040,3,2020-07-31 00:00:00.000,2020-07-31 00:00:00.000
"2020.7-32.572","0","0","0",21600,1,1,8,4,11,3,1,1,1,"",1,-1,"",,,1899-12-30 17:00:20.416,1899-12-30 17:10:26.673,3,2020-07-31 00:00:00.000,2020-07-31 00:00:00.000
"2020.7-32.572","1","0","0",21600,1,1,8,5,12,2,1,1,1,"",1,-1,"",,,1899-12-30 16:57:37.820,1899-12-30 17:00:20.603,3,2020-07-31 00:00:00.000,2020-07-31 00:00:00.000
"2020.7-32.572","0","1","0",21600,1,1,10,1,10,2,1,1,1,"",1,-1,"",,,1899-12-30 15:01:00.423,1899-12-30 16:57:14.430,3,2020-07-31 00:00:00.000,2020-07-31 00:00:00.000
"2020.7-532.32","0","1","0",21600,1,1,10,1,10,1,1,1,1,"",1,-1,"",,,1899-12-30 11:26:30.153,1899-12-30 14:54:02.520,3,2020-07-24 00:00:00.000,2020-08-03 00:00:00.000
"2020.7-529.32","0","1","0",21600,1,1,10,1,10,2,1,1,1,"",1,-1,"",,,1899-12-30 18:15:24.456,1899-12-30 13:48:05.756,3,2020-07-23 00:00:00.000,2020-08-03 00:00:00.000
"2020.7-486.34","0","0","0",21600,1,4,1,4,11,3,1,1,1,"",1,-1,"",,,1899-12-30 21:33:38.000,1899-12-30 21:46:19.226,3,2020-07-10 00:00:00.000,2020-07-10 00:00:00.000
"2020.7-486.34","1","0","0",21600,1,4,1,1,12,1,1,1,1,"",1,-1,"",,,1899-12-30 16:14:54.243,1899-12-30 21:33:38.036,3,2020-07-09 00:00:00.000,2020-07-10 00:00:00.000
"2020.11-null.632","0","1","0",43200,1,3,3,6,2,4,3,3,1,"",2,-1,"",,,1899-12-30 15:59:34.560,1899-12-30 16:18:15.613,1,2020-11-05 00:00:00.000,2020-11-05 00:00:00.000
"2020.11-null.632","0","1","0",43200,1,3,6,3,7,9,3,3,1,"",2,-1,"",,,1899-12-30 15:03:49.313,1899-12-30 15:59:02.846,1,2020-11-05 00:00:00.000,2020-11-05 00:00:00.000
"2020.11-59.635","0","1","0",43200,1,3,5,8,5,8,3,3,1,"",1,-1,"",,,1899-12-30 15:47:24.083,1899-12-30 15:48:05.500,3,2020-11-05 00:00:00.000,2020-11-05 00:00:00.000
"2020.11-59.635","0","1","0",43200,1,3,4,7,6,8,3,3,1,"",1,-1,"",,,1899-12-30 15:46:06.690,1899-12-30 15:47:04.346,3,2020-11-05 00:00:00.000,2020-11-05 00:00:00.000
"2020.11-59.635","0","1","0",43200,1,3,6,3,7,9,3,3,1,"",1,-1,"",,,1899-12-30 15:42:10.736,1899-12-30 15:45:53.530,3,2020-11-05 00:00:00.000,2020-11-05 00:00:00.000
"2020.11-59.629","0","1","0",43200,1,3,3,6,2,5,3,3,1,"",2,-1,"",,,1899-12-30 14:38:58.036,1899-12-30 14:48:14.020,1,2020-11-05 00:00:00.000,2020-11-05 00:00:00.000
"2020.11-59.629","0","1","0",43200,1,3,3,6,3,5,3,3,1,"",2,-1,"",,,1899-12-30 14:11:50.960,1899-12-30 14:38:26.570,1,2020-11-05 00:00:00.000,2020-11-05 00:00:00.000
"2020.11-59.629","0","1","0",43200,1,3,6,3,7,9,3,3,1,"",2,-1,"",,,1899-12-30 14:12:17.546,1899-12-30 14:11:14.073,1,2020-11-04 00:00:00.000,2020-11-05 00:00:00.000
"2020.11-59.630","0","1","0",43200,1,3,3,6,2,4,3,3,1,"",2,-1,"",,,1899-12-30 14:12:16.036,1899-12-30 14:39:08.776,1,2020-11-05 00:00:00.000,2020-11-05 00:00:00.000
"2020.11-59.630","0","1","0",43200,1,3,6,3,7,9,3,3,1,"",2,-1,"",,,1899-12-30 14:12:19.166,1899-12-30 14:11:41.346,1,2020-11-04 00:00:00.000,2020-11-05 00:00:00.000
"2020.11-59.628","0","1","0",43200,1,3,3,6,2,4,3,3,1,"",2,-1,"",,,1899-12-30 14:10:49.740,1899-12-30 14:38:48.823,1,2020-11-05 00:00:00.000,2020-11-05 00:00:00.000
"2020.11-59.628","0","1","0",43200,1,3,6,3,7,9,3,3,1,"",2,-1,"",,,1899-12-30 14:10:27.800,1899-12-30 14:10:25.263,1,2020-11-04 00:00:00.000,2020-11-05 00:00:00.000
"2020.10-59.626","0","1","0",43200,1,3,3,6,2,9,3,3,1,"",2,-1,"",,,1899-12-30 11:49:32.473,1899-12-30 14:06:13.793,1,2020-11-05 00:00:00.000,2020-11-05 00:00:00.000
"2020.10-59.626","0","1","0",43200,1,3,6,3,7,9,3,3,1,"",2,-1,"",,,1899-12-30 14:24:58.376,1899-12-30 11:49:18.680,1,2020-10-30 00:00:00.000,2020-11-05 00:00:00.000
"2020.10-59.624","0","1","0",43200,1,3,3,6,2,4,3,3,1,"",2,-1,"",,,1899-12-30 11:48:57.126,1899-12-30 14:05:41.536,1,2020-11-05 00:00:00.000,2020-11-05 00:00:00.000
"2020.10-59.624","0","1","0",43200,1,3,6,3,7,9,3,3,1,"",2,-1,"",,,1899-12-30 15:47:50.786,1899-12-30 11:48:38.746,1,2020-10-27 00:00:00.000,2020-11-05 00:00:00.000
"2020.10-59.624","0","1","0",43200,1,3,6,3,7,9,3,3,1,"",2,-1,"",,,1899-12-30 11:35:25.153,1899-12-30 15:47:09.520,1,2020-10-26 00:00:00.000,2020-10-27 00:00:00.000
"2020.10-59.624","0","1","0",43200,1,3,6,3,7,9,3,3,1,"",2,-1,"",,,1899-12-30 11:17:00.406,1899-12-30 11:27:40.923,1,2020-10-26 00:00:00.000,2020-10-26 00:00:00.000
"2020.10-59.621","0","1","0",43200,1,3,3,6,2,4,3,3,1,"",2,-1,"",,,1899-12-30 11:48:57.116,1899-12-30 14:03:20.490,1,2020-11-05 00:00:00.000,2020-11-05 00:00:00.000
"2020.10-59.621","0","1","0",43200,1,3,6,3,7,9,3,3,1,"",2,-1,"",,,1899-12-30 16:42:45.230,1899-12-30 11:48:14.786,1,2020-10-21 00:00:00.000,2020-11-05 00:00:00.000
"2020.9-59.608","0","1","0",43200,1,3,3,6,2,9,3,3,1,"",2,-1,"",,,1899-12-30 11:48:11.150,1899-12-30 14:05:14.280,3,2020-11-05 00:00:00.000,2020-11-05 00:00:00.000
"2020.9-59.608","0","1","0",43200,1,3,6,3,7,9,3,3,1,"",2,-1,"",,,1899-12-30 16:51:10.533,1899-12-30 11:47:39.946,3,2020-09-23 00:00:00.000,2020-11-05 00:00:00.000
"2020.9-59.607","0","1","0",43200,1,3,3,6,2,4,3,3,1,"",2,-1,"",,,1899-12-30 11:47:20.136,1899-12-30 14:04:40.293,3,2020-11-05 00:00:00.000,2020-11-05 00:00:00.000
"2020.9-59.607","0","1","0",43200,1,3,6,3,7,9,3,3,1,"",2,-1,"",,,1899-12-30 16:49:38.920,1899-12-30 11:47:07.223,3,2020-09-23 00:00:00.000,2020-11-05 00:00:00.000
"2020.9-59.598","0","1","0",43200,1,3,3,6,2,9,3,3,1,"",2,-1,"",,,1899-12-30 11:46:56.676,1899-12-30 14:04:03.710,3,2020-11-05 00:00:00.000,2020-11-05 00:00:00.000
"2020.9-59.598","0","1","0",43200,1,3,6,3,7,9,3,3,1,"",2,-1,"",,,1899-12-30 12:36:40.656,1899-12-30 11:46:27.303,3,2020-09-19 00:00:00.000,2020-11-05 00:00:00.000
"2020.9-59.599","0","1","0",43200,1,3,3,6,2,4,3,3,1,"",2,-1,"",,,1899-12-30 17:10:21.976,1899-12-30 17:11:13.830,1,2020-09-21 00:00:00.000,2020-09-21 00:00:00.000
"2020.9-59.599","0","1","0",43200,1,3,3,6,3,5,3,3,1,"",2,-1,"",,,1899-12-30 16:45:32.353,1899-12-30 17:09:34.566,1,2020-09-21 00:00:00.000,2020-09-21 00:00:00.000
"2020.9-59.599","0","1","0",43200,1,3,4,7,17,14,3,3,1,"",2,-1,"",,,1899-12-30 16:42:12.993,1899-12-30 16:44:58.713,1,2020-09-21 00:00:00.000,2020-09-21 00:00:00.000
"2020.9-59.599","0","1","0",43200,1,3,4,7,4,6,3,3,1,"",2,-1,"",,,1899-12-30 16:40:23.533,1899-12-30 16:41:38.976,1,2020-09-21 00:00:00.000,2020-09-21 00:00:00.000
"2020.9-59.599","0","1","0",43200,1,3,5,8,5,7,3,3,1,"",2,-1,"",,,1899-12-30 15:52:29.690,1899-12-30 16:39:38.280,1,2020-09-21 00:00:00.000,2020-09-21 00:00:00.000
"2020.9-59.599","0","1","0",43200,1,3,4,7,6,8,3,3,1,"",2,-1,"",,,1899-12-30 15:45:53.036,1899-12-30 15:51:24.616,1,2020-09-21 00:00:00.000,2020-09-21 00:00:00.000
"2020.9-59.599","0","1","0",43200,1,3,6,3,7,9,3,3,1,"",2,-1,"",,,1899-12-30 15:36:59.646,1899-12-30 15:45:10.266,1,2020-09-21 00:00:00.000,2020-09-21 00:00:00.000
"2020.7-513.48","0","1","0",43200,1,9,6,16,24,1,5,7,1,"",2,-1,"",,,1899-12-30 20:18:10.756,1899-12-30 20:47:51.910,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-511.48","0","1","0",43200,1,9,15,17,24,21,5,7,1,"",2,-1,"",,,1899-12-30 19:49:48.776,1899-12-30 19:51:37.443,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-511.48","0","0","0",43200,1,9,16,18,25,22,5,7,1,"",2,-1,"",,,1899-12-30 19:47:58.946,1899-12-30 19:49:19.300,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-511.48","0","0","0",43200,1,9,6,4,11,3,5,7,1,"",2,-1,"",,,1899-12-30 19:47:03.550,1899-12-30 19:47:59.053,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-511.48","1","0","0",43200,1,9,16,18,12,23,5,7,1,"",2,-1,"",,,1899-12-30 19:46:09.346,1899-12-30 19:47:03.620,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-511.48","0","0","0",43200,1,9,17,19,26,23,5,7,1,"",2,-1,"",,,1899-12-30 19:45:01.550,1899-12-30 19:45:57.610,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-511.48","0","0","0",43200,1,9,18,20,27,23,5,7,1,"",2,-1,"",,,1899-12-30 19:42:56.683,1899-12-30 19:44:44.983,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-511.48","0","0","0",43200,1,9,17,19,28,3,5,7,1,"",2,-1,"",,,1899-12-30 19:41:37.020,1899-12-30 19:42:39.696,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-511.48","0","0","0",43200,1,9,4,21,29,24,5,7,1,"",2,-1,"",,,1899-12-30 19:40:06.803,1899-12-30 19:41:18.496,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-511.48","0","0","0",43200,1,9,6,16,30,25,5,7,1,"",2,-1,"",,,1899-12-30 19:35:03.760,1899-12-30 19:39:38.306,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-510.48","0","0","0",43200,1,9,18,20,26,3,5,7,1,"",1,-1,"",,,1899-12-30 19:29:36.233,1899-12-30 19:30:34.840,3,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-510.48","0","0","0",43200,1,9,6,16,30,3,5,7,1,"",1,-1,"",,,1899-12-30 19:26:16.533,1899-12-30 19:29:06.466,3,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-510.48","0","0","0",43200,1,9,19,4,11,3,5,7,1,"",1,-1,"",,,1899-12-30 19:25:22.050,1899-12-30 19:26:16.576,3,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-510.48","1","0","0",43200,1,9,6,16,12,3,5,7,1,"",1,-1,"",,,1899-12-30 19:24:37.053,1899-12-30 19:25:22.166,3,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-510.48","0","0","0",43200,1,9,17,19,26,3,5,7,1,"",1,-1,"",,,1899-12-30 19:23:18.780,1899-12-30 19:24:24.790,3,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-510.48","0","0","0",43200,1,9,18,20,27,23,5,7,1,"",1,-1,"",,,1899-12-30 19:21:10.323,1899-12-30 19:23:09.236,3,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-510.48","0","0","0",43200,1,9,17,19,28,3,5,7,1,"",1,-1,"",,,1899-12-30 19:20:14.680,1899-12-30 19:20:56.903,3,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-510.48","0","0","0",43200,1,9,4,21,29,24,5,7,1,"",1,-1,"",,,1899-12-30 19:18:41.730,1899-12-30 19:19:52.203,3,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-510.48","0","0","0",43200,1,9,6,16,30,25,5,7,1,"",1,-1,"",,,1899-12-30 19:13:49.923,1899-12-30 19:18:23.816,3,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-508.48","0","1","0",43200,1,9,15,17,24,21,5,7,1,"",2,-1,"",,,1899-12-30 18:56:33.246,1899-12-30 18:57:22.306,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-508.48","0","0","0",43200,1,9,16,18,25,22,5,7,1,"",2,-1,"",,,1899-12-30 18:55:06.240,1899-12-30 18:56:17.103,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-508.48","0","0","0",43200,1,9,6,4,11,3,5,7,1,"",2,-1,"",,,1899-12-30 18:54:20.313,1899-12-30 18:55:06.280,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-508.48","1","0","0",43200,1,9,16,18,12,23,5,7,1,"",2,-1,"",,,1899-12-30 18:52:34.746,1899-12-30 18:54:20.373,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-508.48","0","0","0",43200,1,9,18,20,27,23,5,7,1,"",2,-1,"",,,1899-12-30 18:50:27.973,1899-12-30 18:52:28.230,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-508.48","0","0","0",43200,1,9,17,19,31,26,5,7,1,"",2,-1,"",,,1899-12-30 18:47:09.143,1899-12-30 18:50:19.686,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-508.48","0","0","0",43200,1,9,18,20,27,23,5,7,1,"",2,-1,"",,,1899-12-30 17:37:54.366,1899-12-30 18:46:50.820,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-508.48","0","0","0",43200,1,9,17,19,28,24,5,7,1,"",2,-1,"",,,1899-12-30 17:36:03.166,1899-12-30 17:37:26.343,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-508.48","0","0","0",43200,1,9,4,21,29,24,5,7,1,"",2,-1,"",,,1899-12-30 17:34:23.070,1899-12-30 17:35:47.730,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-495.48","0","1","0",43200,1,9,15,17,24,21,5,7,1,"",3,-1,"",,,1899-12-30 17:26:13.156,1899-12-30 17:28:11.296,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-494.48","0","1","0",43200,1,9,15,17,24,21,5,7,1,"",3,-1,"",,,1899-12-30 17:25:35.810,1899-12-30 17:27:40.963,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-508.48","0","0","0",43200,1,9,6,16,30,25,5,7,1,"",2,-1,"",,,1899-12-30 17:20:00.060,1899-12-30 17:33:54.736,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-504.48","0","0","0",43200,1,9,4,21,27,23,5,7,1,"",1,-1,"",,,1899-12-30 13:39:17.806,1899-12-30 19:01:09.603,3,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-504.48","0","0","0",43200,1,9,6,16,30,1,5,7,1,"",1,-1,"",,,1899-12-30 13:37:46.633,1899-12-30 13:38:59.890,3,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-503.48","0","0","0",43200,1,9,4,21,29,24,5,7,1,"",1,-1,"",,,1899-12-30 13:20:33.903,1899-12-30 13:22:59.240,3,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-503.48","0","0","0",43200,1,9,6,16,30,25,5,7,1,"",1,-1,"",,,1899-12-30 13:16:50.683,1899-12-30 13:20:18.696,3,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-502.48","0","1","0",43200,1,9,15,17,24,21,5,7,1,"",2,-1,"",,,1899-12-30 13:09:21.156,1899-12-30 13:10:06.730,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-502.48","0","0","0",43200,1,9,6,16,30,25,5,7,1,"",2,-1,"",,,1899-12-30 13:07:39.546,1899-12-30 13:09:08.660,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-498.48","0","1","0",43200,1,9,17,19,24,21,5,7,1,"",2,-1,"",,,1899-12-30 13:02:30.976,1899-12-30 13:05:51.310,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-498.48","0","0","0",43200,1,9,4,21,29,24,5,7,1,"",2,-1,"",,,1899-12-30 12:54:12.973,1899-12-30 13:02:17.306,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-501.48","0","0","0",43200,1,9,6,16,30,25,5,7,1,"",1,-1,"",,,1899-12-30 12:52:30.463,1899-12-30 12:59:06.500,3,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-500.48","0","0","0",43200,1,9,17,19,28,3,5,7,1,"",3,-1,"",,,1899-12-30 12:28:49.636,1899-12-30 12:36:13.866,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-500.48","0","0","0",43200,1,9,4,21,29,24,5,7,1,"",3,-1,"",,,1899-12-30 12:26:15.253,1899-12-30 12:28:19.136,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-500.48","0","0","0",43200,1,9,6,16,30,25,5,7,1,"",3,-1,"",,,1899-12-30 12:21:46.806,1899-12-30 12:25:57.950,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-499.48","0","1","0",43200,1,9,15,17,24,21,5,7,1,"",2,-1,"",,,1899-12-30 10:33:15.766,1899-12-30 10:42:03.430,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-499.48","0","0","0",43200,1,9,16,18,25,22,5,7,1,"",2,-1,"",,,1899-12-30 10:22:18.010,1899-12-30 10:33:05.023,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-499.48","0","0","0",43200,1,9,17,19,26,3,5,7,1,"",2,-1,"",,,1899-12-30 10:14:40.570,1899-12-30 10:21:54.690,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-499.48","0","0","0",43200,1,9,18,20,27,1,5,7,1,"",2,-1,"",,,1899-12-30 10:08:43.520,1899-12-30 10:14:15.430,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-499.48","0","0","0",43200,1,9,17,19,28,3,5,7,1,"",2,-1,"",,,1899-12-30 09:59:01.736,1899-12-30 10:08:35.583,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-499.48","0","0","0",43200,1,9,4,21,29,24,5,7,1,"",2,-1,"",,,1899-12-30 09:44:58.040,1899-12-30 09:58:45.556,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-499.48","0","0","0",43200,1,9,6,16,30,25,5,7,1,"",2,-1,"",,,1899-12-30 09:39:49.666,1899-12-30 09:44:49.603,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-498.48","0","0","0",43200,1,9,6,16,30,25,5,7,1,"",2,-1,"",,,1899-12-30 09:31:11.636,1899-12-30 12:54:00.086,1,2020-07-20 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-497.48","0","0","0",43200,1,9,6,16,30,1,5,7,1,"",1,-1,"",,,1899-12-30 19:19:35.376,1899-12-30 19:22:28.613,3,2020-07-17 00:00:00.000,2020-07-17 00:00:00.000
"2020.7-496.48","0","0","0",43200,1,9,6,16,30,25,5,7,1,"",1,-1,"",,,1899-12-30 19:12:56.370,1899-12-30 17:51:43.053,3,2020-07-17 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-495.48","0","0","0",43200,1,9,4,21,29,24,5,7,1,"",3,-1,"",,,1899-12-30 19:00:53.446,1899-12-30 17:26:02.533,1,2020-07-17 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-495.48","0","0","0",43200,1,9,6,22,30,1,5,7,1,"",3,-1,"",,,1899-12-30 18:56:18.106,1899-12-30 19:00:36.373,1,2020-07-17 00:00:00.000,2020-07-17 00:00:00.000
"2020.7-494.48","0","0","0",43200,1,9,4,21,29,24,5,7,1,"",3,-1,"",,,1899-12-30 18:10:01.656,1899-12-30 17:25:14.136,1,2020-07-17 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-494.48","0","0","0",43200,1,9,6,22,30,25,5,7,1,"",3,-1,"",,,1899-12-30 18:02:13.046,1899-12-30 18:09:47.513,1,2020-07-17 00:00:00.000,2020-07-17 00:00:00.000
"2020.7-493.48","0","0","0",43200,1,9,6,22,30,1,5,7,1,"",1,-1,"",,,1899-12-30 15:42:52.386,1899-12-30 18:35:16.133,3,2020-07-17 00:00:00.000,2020-07-20 00:00:00.000
"2020.7-492.48","0","0","0",43200,1,9,6,16,30,25,5,7,1,"",1,-1,"",,,1899-12-30 14:33:11.036,1899-12-30 18:33:29.766,3,2020-07-17 00:00:00.000,2020-07-20 00:00:00.000
"2020.9-32.591","1","0","0",21600,1,1,2,1,12,1,1,1,1,"",1,-1,"",,,1899-12-30 10:16:23.066,1899-12-30 11:00:21.136,3,2020-09-09 00:00:00.000,2020-11-23 00:00:00.000
"2020.9-32.590","0","1","0",21600,1,1,2,1,10,2,1,1,1,"",1,-1,"",,,1899-12-30 10:09:09.130,1899-12-30 10:07:31.370,3,2020-09-09 00:00:00.000,2020-11-09 00:00:00.000
"2020.9-32.590","0","0","0",21600,1,1,2,1,11,1,1,1,1,"",1,-1,"",,,1899-12-30 10:06:56.430,1899-12-30 10:08:48.116,3,2020-09-09 00:00:00.000,2020-09-09 00:00:00.000
"2020.9-32.589","0","1","0",21600,1,1,2,1,10,2,1,1,1,"",1,-1,"",,,1899-12-30 09:50:17.546,1899-12-30 00:59:36.190,3,2020-09-09 00:00:00.000,2020-11-07 00:00:00.000
"2020.9-32.589","0","0","0",21600,1,1,2,1,11,1,1,1,1,"",1,-1,"",,,1899-12-30 09:48:52.120,1899-12-30 09:50:04.046,3,2020-09-09 00:00:00.000,2020-09-09 00:00:00.000
"2020.9-32.587","0","1","0",21600,1,1,2,1,10,1,1,1,1,"",2,-1,"",,,1899-12-30 17:08:36.666,1899-12-30 19:33:06.943,3,2020-09-08 00:00:00.000,2020-11-04 00:00:00.000
"2020.9-32.586","0","0","0",21600,1,1,2,1,11,1,1,1,1,"",1,-1,"",,,1899-12-30 15:31:35.236,1899-12-30 10:42:44.446,3,2020-09-03 00:00:00.000,2020-11-04 00:00:00.000
"2020.10-32.618","0","1","0",21600,1,1,2,1,10,2,1,1,1,"",1,-1,"",,,1899-12-30 20:09:12.446,1899-12-30 16:42:28.026,3,2020-10-13 00:00:00.000,2020-10-14 00:00:00.000
"2020.10-32.617","0","0","0",21600,1,1,2,4,11,3,1,1,1,"",1,-1,"",,,1899-12-30 16:26:50.490,1899-12-30 16:28:20.676,3,2020-10-13 00:00:00.000,2020-10-13 00:00:00.000
"2020.10-32.617","0","1","0",21600,1,1,2,1,10,2,1,1,1,"",1,-1,"",,,1899-12-30 19:24:03.283,1899-12-30 19:43:40.790,3,2020-10-12 00:00:00.000,2020-10-12 00:00:00.000
"2020.10-32.615","0","1","0",21600,1,1,2,1,10,2,1,1,1,"",1,-1,"",,,1899-12-30 13:26:16.186,1899-12-30 13:27:52.170,3,2020-10-09 00:00:00.000,2020-10-09 00:00:00.000
"2020.10-32.614","0","1","0",21600,1,1,2,1,10,2,1,1,1,"",1,-1,"",,,1899-12-30 13:07:09.613,1899-12-30 13:09:37.630,3,2020-10-09 00:00:00.000,2020-10-09 00:00:00.000
"2020.9-32.593","0","1","0",21600,1,1,2,1,10,2,1,1,1,"",1,-1,"",,,1899-12-30 15:41:11.576,1899-12-30 12:17:36.293,3,2020-09-09 00:00:00.000,2020-10-09 00:00:00.000
