Daily number of positive cases (old methodology),Cumulative number of positive cases (old methodology),Pillar,Nation,Date of reporting,Date of activity,DateDate,7 Day Rolling Average deaths
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","14/07/2020","13/07/2020",2020-07-14 00:00:00.000,
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","15/07/2020","14/07/2020",2020-07-15 00:00:00.000,
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","15/07/2020","14/07/2020",2020-07-15 00:00:00.000,
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","16/07/2020","15/07/2020",2020-07-16 00:00:00.000,
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","16/07/2020","15/07/2020",2020-07-16 00:00:00.000,
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","17/07/2020","16/07/2020",2020-07-17 00:00:00.000,
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","17/07/2020","16/07/2020",2020-07-17 00:00:00.000,
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","18/07/2020","17/07/2020",2020-07-18 00:00:00.000,
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","18/07/2020","17/07/2020",2020-07-18 00:00:00.000,
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","19/07/2020","18/07/2020",2020-07-19 00:00:00.000,
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","19/07/2020","18/07/2020",2020-07-19 00:00:00.000,
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","20/07/2020","19/07/2020",2020-07-20 00:00:00.000,
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","20/07/2020","19/07/2020",2020-07-20 00:00:00.000,
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","21/07/2020","20/07/2020",2020-07-21 00:00:00.000,
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","21/07/2020","20/07/2020",2020-07-21 00:00:00.000,
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","22/07/2020","21/07/2020",2020-07-22 00:00:00.000,
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","22/07/2020","21/07/2020",2020-07-22 00:00:00.000,
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","23/07/2020","22/07/2020",2020-07-23 00:00:00.000,
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","23/07/2020","22/07/2020",2020-07-23 00:00:00.000,
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","24/07/2020","23/07/2020",2020-07-24 00:00:00.000,
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","24/07/2020","23/07/2020",2020-07-24 00:00:00.000,
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","25/07/2020","24/07/2020",2020-07-25 00:00:00.000,
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","25/07/2020","24/07/2020",2020-07-25 00:00:00.000,
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","26/07/2020","25/07/2020",2020-07-26 00:00:00.000,
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","26/07/2020","25/07/2020",2020-07-26 00:00:00.000,
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","27/07/2020","26/07/2020",2020-07-27 00:00:00.000,
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","27/07/2020","26/07/2020",2020-07-27 00:00:00.000,
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","28/07/2020","27/07/2020",2020-07-28 00:00:00.000,
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","28/07/2020","27/07/2020",2020-07-28 00:00:00.000,
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","29/07/2020","28/07/2020",2020-07-29 00:00:00.000,
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","29/07/2020","28/07/2020",2020-07-29 00:00:00.000,
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","30/07/2020","29/07/2020",2020-07-30 00:00:00.000,
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","30/07/2020","29/07/2020",2020-07-30 00:00:00.000,
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","31/07/2020","30/07/2020",2020-07-31 00:00:00.000,
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","31/07/2020","30/07/2020",2020-07-31 00:00:00.000,
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","01/08/2020","31/07/2020",2020-01-08 00:00:00.000,1992.5
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","01/08/2020","31/07/2020",2020-01-08 00:00:00.000,1299.25
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","02/08/2020","01/08/2020",2020-02-08 00:00:00.000,2507.3333333333335
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","02/08/2020","01/08/2020",2020-02-08 00:00:00.000,1139.6666666666667
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","03/08/2020","02/08/2020",2020-03-08 00:00:00.000,2492
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","03/08/2020","02/08/2020",2020-03-08 00:00:00.000,1135.3333333333333
,,"Pillar 1 (plus partial Pillar 2 for Wales)","UK","04/08/2020","03/08/2020",2020-04-08 00:00:00.000,2067
,,"Pillar 2 (includes partial Pillar 2 for Wales)","UK","04/08/2020","03/08/2020",2020-04-08 00:00:00.000,1196.3333333333333
,,"Pillar 1 & partial Pillar 2","Wales","02/07/2020","01/07/2020",2020-02-07 00:00:00.000,178
,,"Pillar 1 & partial Pillar 2","Wales","03/07/2020","02/07/2020",2020-03-07 00:00:00.000,200.33333333333334
,,"Pillar 1 & partial Pillar 2","Wales","04/07/2020","03/07/2020",2020-04-07 00:00:00.000,205.66666666666666
,,"Pillar 1 & partial Pillar 2","Wales","05/07/2020","04/07/2020",2020-05-07 00:00:00.000,188.33333333333334
,,"Pillar 1 & partial Pillar 2","Wales","06/07/2020","05/07/2020",2020-06-07 00:00:00.000,146.33333333333334
,,"Pillar 1 & partial Pillar 2","Wales","07/07/2020","06/07/2020",2020-07-07 00:00:00.000,139.33333333333334
,,"Pillar 1 & partial Pillar 2","Wales","08/07/2020","07/07/2020",2020-08-07 00:00:00.000,159
,,"Pillar 1 & partial Pillar 2","Wales","09/07/2020","08/07/2020",2020-09-07 00:00:00.000,58.666666666666664
,,"Pillar 1 & partial Pillar 2","Wales","10/07/2020","09/07/2020",2020-10-07 00:00:00.000,254.33333333333334
,,"Pillar 1 & partial Pillar 2","Wales","11/07/2020","10/07/2020",2020-11-07 00:00:00.000,175.66666666666666
,,"Pillar 1 & partial Pillar 2","Wales","12/07/2020","11/07/2020",2020-12-07 00:00:00.000,183
,,"Pillar 1 & partial Pillar 2","Wales","13/07/2020","12/07/2020",2020-07-13 00:00:00.000,
,,"Pillar 1 & partial Pillar 2","Wales","14/07/2020","13/07/2020",2020-07-14 00:00:00.000,
,,"Pillar 1 & partial Pillar 2","Wales","15/07/2020","14/07/2020",2020-07-15 00:00:00.000,
,,"Pillar 1 & partial Pillar 2","Wales","16/07/2020","15/07/2020",2020-07-16 00:00:00.000,
,,"Pillar 1 & partial Pillar 2","Wales","17/07/2020","16/07/2020",2020-07-17 00:00:00.000,
,,"Pillar 1 & partial Pillar 2","Wales","18/07/2020","17/07/2020",2020-07-18 00:00:00.000,
,,"Pillar 1 & partial Pillar 2","Wales","19/07/2020","18/07/2020",2020-07-19 00:00:00.000,
,,"Pillar 1 & partial Pillar 2","Wales","20/07/2020","19/07/2020",2020-07-20 00:00:00.000,
,,"Pillar 1 & partial Pillar 2","Wales","21/07/2020","20/07/2020",2020-07-21 00:00:00.000,
,,"Pillar 1 & partial Pillar 2","Wales","22/07/2020","21/07/2020",2020-07-22 00:00:00.000,
,,"Pillar 1 & partial Pillar 2","Wales","23/07/2020","22/07/2020",2020-07-23 00:00:00.000,
,,"Pillar 1 & partial Pillar 2","Wales","24/07/2020","23/07/2020",2020-07-24 00:00:00.000,
,,"Pillar 1 & partial Pillar 2","Wales","25/07/2020","24/07/2020",2020-07-25 00:00:00.000,
,,"Pillar 1 & partial Pillar 2","Wales","26/07/2020","25/07/2020",2020-07-26 00:00:00.000,
,,"Pillar 1 & partial Pillar 2","Wales","27/07/2020","26/07/2020",2020-07-27 00:00:00.000,
,,"Pillar 1 & partial Pillar 2","Wales","28/07/2020","27/07/2020",2020-07-28 00:00:00.000,
,,"Pillar 1 & partial Pillar 2","Wales","29/07/2020","28/07/2020",2020-07-29 00:00:00.000,
,,"Pillar 1 & partial Pillar 2","Wales","30/07/2020","29/07/2020",2020-07-30 00:00:00.000,
,,"Pillar 1 & partial Pillar 2","Wales","31/07/2020","30/07/2020",2020-07-31 00:00:00.000,
,,"Pillar 1 & partial Pillar 2","Wales","01/08/2020","31/07/2020",2020-01-08 00:00:00.000,131.25
,,"Pillar 1 & partial Pillar 2","Wales","02/08/2020","01/08/2020",2020-02-08 00:00:00.000,178
,,"Pillar 1 & partial Pillar 2","Wales","03/08/2020","02/08/2020",2020-03-08 00:00:00.000,200.33333333333334
,,"Pillar 1 & partial Pillar 2","Wales","04/08/2020","03/08/2020",2020-04-08 00:00:00.000,205.66666666666666
,,"Pillar 1","England","02/07/2020","01/07/2020",2020-02-07 00:00:00.000,2085
,,"Pillar 1","Northern Ireland","02/07/2020","01/07/2020",2020-02-07 00:00:00.000,51.666666666666664
,,"Pillar 1","Scotland","02/07/2020","01/07/2020",2020-02-07 00:00:00.000,192.66666666666666
,,"Pillar 1","England","03/07/2020","02/07/2020",2020-03-07 00:00:00.000,2019
,,"Pillar 1","Northern Ireland","03/07/2020","02/07/2020",2020-03-07 00:00:00.000,72
,,"Pillar 1","Scotland","03/07/2020","02/07/2020",2020-03-07 00:00:00.000,200.66666666666666
,,"Pillar 1","England","04/07/2020","03/07/2020",2020-04-07 00:00:00.000,1608.6666666666667
,,"Pillar 1","Northern Ireland","04/07/2020","03/07/2020",2020-04-07 00:00:00.000,65.333333333333329
,,"Pillar 1","Scotland","04/07/2020","03/07/2020",2020-04-07 00:00:00.000,187.33333333333334
,,"Pillar 1","England","05/07/2020","04/07/2020",2020-05-07 00:00:00.000,2466.6666666666665
,,"Pillar 1","Northern Ireland","05/07/2020","04/07/2020",2020-05-07 00:00:00.000,46.333333333333336
,,"Pillar 1","Scotland","05/07/2020","04/07/2020",2020-05-07 00:00:00.000,187
,,"Pillar 1","England","06/07/2020","05/07/2020",2020-06-07 00:00:00.000,1736.3333333333333
,,"Pillar 1","Northern Ireland","06/07/2020","05/07/2020",2020-06-07 00:00:00.000,45.333333333333336
,,"Pillar 1","Scotland","06/07/2020","05/07/2020",2020-06-07 00:00:00.000,182.66666666666666
,,"Pillar 1","England","07/07/2020","06/07/2020",2020-07-07 00:00:00.000,1779.6666666666667
,,"Pillar 1","Northern Ireland","07/07/2020","06/07/2020",2020-07-07 00:00:00.000,51
,,"Pillar 1","Scotland","07/07/2020","06/07/2020",2020-07-07 00:00:00.000,167
,,"Pillar 1","England","08/07/2020","07/07/2020",2020-08-07 00:00:00.000,2191.3333333333335
,,"Pillar 1","Northern Ireland","08/07/2020","07/07/2020",2020-08-07 00:00:00.000,42.666666666666664
,,"Pillar 1","Scotland","08/07/2020","07/07/2020",2020-08-07 00:00:00.000,193
,,"Pillar 1","England","09/07/2020","08/07/2020",2020-09-07 00:00:00.000,1932.6666666666667
,,"Pillar 1","Northern Ireland","09/07/2020","08/07/2020",2020-09-07 00:00:00.000,65.666666666666671
,,"Pillar 1","Scotland","09/07/2020","08/07/2020",2020-09-07 00:00:00.000,187.33333333333334
,,"Pillar 1","England","10/07/2020","09/07/2020",2020-10-07 00:00:00.000,1777.6666666666667
,,"Pillar 1","Northern Ireland","10/07/2020","09/07/2020",2020-10-07 00:00:00.000,55.333333333333336
,,"Pillar 1","Scotland","10/07/2020","09/07/2020",2020-10-07 00:00:00.000,170.33333333333334
,,"Pillar 1","England","11/07/2020","10/07/2020",2020-11-07 00:00:00.000,1678.6666666666667
,,"Pillar 1","Northern Ireland","11/07/2020","10/07/2020",2020-11-07 00:00:00.000,54
,,"Pillar 1","Scotland","11/07/2020","10/07/2020",2020-11-07 00:00:00.000,157.66666666666666
,,"Pillar 1","England","12/07/2020","11/07/2020",2020-12-07 00:00:00.000,1710.3333333333333
,,"Pillar 1","Northern Ireland","12/07/2020","11/07/2020",2020-12-07 00:00:00.000,49.666666666666664
,,"Pillar 1","Scotland","12/07/2020","11/07/2020",2020-12-07 00:00:00.000,161.66666666666666
,,"Pillar 1","England","13/07/2020","12/07/2020",2020-07-13 00:00:00.000,
,,"Pillar 1","Northern Ireland","13/07/2020","12/07/2020",2020-07-13 00:00:00.000,
,,"Pillar 1","Scotland","13/07/2020","12/07/2020",2020-07-13 00:00:00.000,
,,"Pillar 1","England","14/07/2020","13/07/2020",2020-07-14 00:00:00.000,
,,"Pillar 1","Northern Ireland","14/07/2020","13/07/2020",2020-07-14 00:00:00.000,
,,"Pillar 1","Scotland","14/07/2020","13/07/2020",2020-07-14 00:00:00.000,
,,"Pillar 1","England","15/07/2020","14/07/2020",2020-07-15 00:00:00.000,
,,"Pillar 1","Northern Ireland","15/07/2020","14/07/2020",2020-07-15 00:00:00.000,
,,"Pillar 1","Scotland","15/07/2020","14/07/2020",2020-07-15 00:00:00.000,
,,"Pillar 1","England","16/07/2020","15/07/2020",2020-07-16 00:00:00.000,
,,"Pillar 1","Northern Ireland","16/07/2020","15/07/2020",2020-07-16 00:00:00.000,
,,"Pillar 1","Scotland","16/07/2020","15/07/2020",2020-07-16 00:00:00.000,
,,"Pillar 1","England","17/07/2020","16/07/2020",2020-07-17 00:00:00.000,
,,"Pillar 1","Northern Ireland","17/07/2020","16/07/2020",2020-07-17 00:00:00.000,
,,"Pillar 1","Scotland","17/07/2020","16/07/2020",2020-07-17 00:00:00.000,
,,"Pillar 1","England","18/07/2020","17/07/2020",2020-07-18 00:00:00.000,
,,"Pillar 1","Northern Ireland","18/07/2020","17/07/2020",2020-07-18 00:00:00.000,
,,"Pillar 1","Scotland","18/07/2020","17/07/2020",2020-07-18 00:00:00.000,
,,"Pillar 1","England","19/07/2020","18/07/2020",2020-07-19 00:00:00.000,
,,"Pillar 1","Northern Ireland","19/07/2020","18/07/2020",2020-07-19 00:00:00.000,
,,"Pillar 1","Scotland","19/07/2020","18/07/2020",2020-07-19 00:00:00.000,
,,"Pillar 1","England","20/07/2020","19/07/2020",2020-07-20 00:00:00.000,
,,"Pillar 1","Northern Ireland","20/07/2020","19/07/2020",2020-07-20 00:00:00.000,
,,"Pillar 1","Scotland","20/07/2020","19/07/2020",2020-07-20 00:00:00.000,
,,"Pillar 1","England","21/07/2020","20/07/2020",2020-07-21 00:00:00.000,
,,"Pillar 1","Northern Ireland","21/07/2020","20/07/2020",2020-07-21 00:00:00.000,
,,"Pillar 1","Scotland","21/07/2020","20/07/2020",2020-07-21 00:00:00.000,
,,"Pillar 1","England","22/07/2020","21/07/2020",2020-07-22 00:00:00.000,
,,"Pillar 1","Northern Ireland","22/07/2020","21/07/2020",2020-07-22 00:00:00.000,
,,"Pillar 1","Scotland","22/07/2020","21/07/2020",2020-07-22 00:00:00.000,
,,"Pillar 1","England","23/07/2020","22/07/2020",2020-07-23 00:00:00.000,
,,"Pillar 1","Northern Ireland","23/07/2020","22/07/2020",2020-07-23 00:00:00.000,
,,"Pillar 1","Scotland","23/07/2020","22/07/2020",2020-07-23 00:00:00.000,
,,"Pillar 1","England","24/07/2020","23/07/2020",2020-07-24 00:00:00.000,
,,"Pillar 1","Northern Ireland","24/07/2020","23/07/2020",2020-07-24 00:00:00.000,
,,"Pillar 1","Scotland","24/07/2020","23/07/2020",2020-07-24 00:00:00.000,
,,"Pillar 1","England","25/07/2020","24/07/2020",2020-07-25 00:00:00.000,
,,"Pillar 1","Northern Ireland","25/07/2020","24/07/2020",2020-07-25 00:00:00.000,
,,"Pillar 1","Scotland","25/07/2020","24/07/2020",2020-07-25 00:00:00.000,
,,"Pillar 1","England","26/07/2020","25/07/2020",2020-07-26 00:00:00.000,
,,"Pillar 1","Northern Ireland","26/07/2020","25/07/2020",2020-07-26 00:00:00.000,
,,"Pillar 1","Scotland","26/07/2020","25/07/2020",2020-07-26 00:00:00.000,
,,"Pillar 1","England","27/07/2020","26/07/2020",2020-07-27 00:00:00.000,
,,"Pillar 1","Northern Ireland","27/07/2020","26/07/2020",2020-07-27 00:00:00.000,
,,"Pillar 1","Scotland","27/07/2020","26/07/2020",2020-07-27 00:00:00.000,
,,"Pillar 1","England","28/07/2020","27/07/2020",2020-07-28 00:00:00.000,
,,"Pillar 1","Northern Ireland","28/07/2020","27/07/2020",2020-07-28 00:00:00.000,
,,"Pillar 1","Scotland","28/07/2020","27/07/2020",2020-07-28 00:00:00.000,
,,"Pillar 1","England","29/07/2020","28/07/2020",2020-07-29 00:00:00.000,
,,"Pillar 1","Northern Ireland","29/07/2020","28/07/2020",2020-07-29 00:00:00.000,
,,"Pillar 1","Scotland","29/07/2020","28/07/2020",2020-07-29 00:00:00.000,
,,"Pillar 1","England","30/07/2020","29/07/2020",2020-07-30 00:00:00.000,
,,"Pillar 1","Northern Ireland","30/07/2020","29/07/2020",2020-07-30 00:00:00.000,
,,"Pillar 1","Scotland","30/07/2020","29/07/2020",2020-07-30 00:00:00.000,
,,"Pillar 1","England","31/07/2020","30/07/2020",2020-07-31 00:00:00.000,
,,"Pillar 1","Northern Ireland","31/07/2020","30/07/2020",2020-07-31 00:00:00.000,
,,"Pillar 1","Scotland","31/07/2020","30/07/2020",2020-07-31 00:00:00.000,
,,"Pillar 1","England","01/08/2020","31/07/2020",2020-01-08 00:00:00.000,1650.5
,,"Pillar 1","Northern Ireland","01/08/2020","31/07/2020",2020-01-08 00:00:00.000,50.5
,,"Pillar 1","Scotland","01/08/2020","31/07/2020",2020-01-08 00:00:00.000,160.25
,,"Pillar 1","England","02/08/2020","01/08/2020",2020-02-08 00:00:00.000,2085
,,"Pillar 1","Northern Ireland","02/08/2020","01/08/2020",2020-02-08 00:00:00.000,51.666666666666664
,,"Pillar 1","Scotland","02/08/2020","01/08/2020",2020-02-08 00:00:00.000,192.66666666666666
,,"Pillar 1","England","03/08/2020","02/08/2020",2020-03-08 00:00:00.000,2019
,,"Pillar 1","Northern Ireland","03/08/2020","02/08/2020",2020-03-08 00:00:00.000,72
,,"Pillar 1","Scotland","03/08/2020","02/08/2020",2020-03-08 00:00:00.000,200.66666666666666
,,"Pillar 1","England","04/08/2020","03/08/2020",2020-04-08 00:00:00.000,1608.6666666666667
,,"Pillar 1","Northern Ireland","04/08/2020","03/08/2020",2020-04-08 00:00:00.000,65.333333333333329
,,"Pillar 1","Scotland","04/08/2020","03/08/2020",2020-04-08 00:00:00.000,187.33333333333334
89,280,"Pillar 1 & partial Pillar 2","Wales","21/03/2020","20/03/2020",2020-03-21 00:00:00.000,89
67,347,"Pillar 1 & partial Pillar 2","Wales","22/03/2020","21/03/2020",2020-03-22 00:00:00.000,78
71,418,"Pillar 1 & partial Pillar 2","Wales","23/03/2020","22/03/2020",2020-03-23 00:00:00.000,75.666666666666671
60,478,"Pillar 1 & partial Pillar 2","Wales","24/03/2020","23/03/2020",2020-03-24 00:00:00.000,71.75
150,628,"Pillar 1 & partial Pillar 2","Wales","25/03/2020","24/03/2020",2020-03-25 00:00:00.000,87.4
113,741,"Pillar 1 & partial Pillar 2","Wales","26/03/2020","25/03/2020",2020-03-26 00:00:00.000,91.666666666666671
180,921,"Pillar 1 & partial Pillar 2","Wales","27/03/2020","26/03/2020",2020-03-27 00:00:00.000,104.28571428571429
172,1093,"Pillar 1 & partial Pillar 2","Wales","28/03/2020","27/03/2020",2020-03-28 00:00:00.000,116.14285714285714
148,1241,"Pillar 1 & partial Pillar 2","Wales","29/03/2020","28/03/2020",2020-03-29 00:00:00.000,127.71428571428571
210,1451,"Pillar 1 & partial Pillar 2","Wales","30/03/2020","29/03/2020",2020-03-30 00:00:00.000,147.57142857142858
112,1563,"Pillar 1 & partial Pillar 2","Wales","31/03/2020","30/03/2020",2020-03-31 00:00:00.000,155
274,1837,"Pillar 1 & partial Pillar 2","Wales","01/04/2020","31/03/2020",2020-01-04 00:00:00.000,274
284,2121,"Pillar 1 & partial Pillar 2","Wales","02/04/2020","01/04/2020",2020-02-04 00:00:00.000,284
345,2466,"Pillar 1 & partial Pillar 2","Wales","03/04/2020","02/04/2020",2020-03-04 00:00:00.000,345
387,2853,"Pillar 1 & partial Pillar 2","Wales","04/04/2020","03/04/2020",2020-04-04 00:00:00.000,214.25
344,3197,"Pillar 1 & partial Pillar 2","Wales","05/04/2020","04/04/2020",2020-05-04 00:00:00.000,219
302,3499,"Pillar 1 & partial Pillar 2","Wales","06/04/2020","05/04/2020",2020-06-04 00:00:00.000,143
291,3790,"Pillar 1 & partial Pillar 2","Wales","07/04/2020","06/04/2020",2020-07-04 00:00:00.000,114.5
283,4073,"Pillar 1 & partial Pillar 2","Wales","08/04/2020","07/04/2020",2020-08-04 00:00:00.000,283
16,4089,"Pillar 1 & partial Pillar 2","Wales","09/04/2020","08/04/2020",2020-09-04 00:00:00.000,16
502,4591,"Pillar 1 & partial Pillar 2","Wales","10/04/2020","09/04/2020",2020-10-04 00:00:00.000,502
340,4930,"Pillar 1 & partial Pillar 2","Wales","11/04/2020","10/04/2020",2020-11-04 00:00:00.000,340
367,5297,"Pillar 1 & partial Pillar 2","Wales","12/04/2020","11/04/2020",2020-12-04 00:00:00.000,367
313,5610,"Pillar 1 & partial Pillar 2","Wales","13/04/2020","12/04/2020",2020-04-13 00:00:00.000,313
238,5848,"Pillar 1 & partial Pillar 2","Wales","14/04/2020","13/04/2020",2020-04-14 00:00:00.000,275.5
272,6118,"Pillar 1 & partial Pillar 2","Wales","15/04/2020","14/04/2020",2020-04-15 00:00:00.000,274.33333333333331
284,6401,"Pillar 1 & partial Pillar 2","Wales","16/04/2020","15/04/2020",2020-04-16 00:00:00.000,276.75
244,6645,"Pillar 1 & partial Pillar 2","Wales","17/04/2020","16/04/2020",2020-04-17 00:00:00.000,270.2
292,6936,"Pillar 1 & partial Pillar 2","Wales","18/04/2020","17/04/2020",2020-04-18 00:00:00.000,273.83333333333331
334,7270,"Pillar 1 & partial Pillar 2","Wales","19/04/2020","18/04/2020",2020-04-19 00:00:00.000,282.42857142857144
276,7546,"Pillar 1 & partial Pillar 2","Wales","20/04/2020","19/04/2020",2020-04-20 00:00:00.000,277.14285714285717
304,7850,"Pillar 1 & partial Pillar 2","Wales","21/04/2020","20/04/2020",2020-04-21 00:00:00.000,286.57142857142856
274,8124,"Pillar 1 & partial Pillar 2","Wales","22/04/2020","21/04/2020",2020-04-22 00:00:00.000,286.85714285714283
234,8358,"Pillar 1 & partial Pillar 2","Wales","23/04/2020","22/04/2020",2020-04-23 00:00:00.000,279.71428571428572
243,8601,"Pillar 1 & partial Pillar 2","Wales","24/04/2020","23/04/2020",2020-04-24 00:00:00.000,279.57142857142856
299,8900,"Pillar 1 & partial Pillar 2","Wales","25/04/2020","24/04/2020",2020-04-25 00:00:00.000,280.57142857142856
178,9078,"Pillar 1 & partial Pillar 2","Wales","26/04/2020","25/04/2020",2020-04-26 00:00:00.000,258.28571428571428
203,9280,"Pillar 1 & partial Pillar 2","Wales","27/04/2020","26/04/2020",2020-04-27 00:00:00.000,247.85714285714286
232,9512,"Pillar 1 & partial Pillar 2","Wales","28/04/2020","27/04/2020",2020-04-28 00:00:00.000,237.57142857142858
117,9629,"Pillar 1 & partial Pillar 2","Wales","29/04/2020","28/04/2020",2020-04-29 00:00:00.000,215.14285714285714
183,9812,"Pillar 1 & partial Pillar 2","Wales","30/04/2020","29/04/2020",2020-04-30 00:00:00.000,207.85714285714286
160,9972,"Pillar 1 & partial Pillar 2","Wales","01/05/2020","30/04/2020",2020-01-05 00:00:00.000,217
183,10155,"Pillar 1 & partial Pillar 2","Wales","02/05/2020","01/05/2020",2020-02-05 00:00:00.000,233.5
174,10329,"Pillar 1 & partial Pillar 2","Wales","03/05/2020","02/05/2020",2020-03-05 00:00:00.000,259.5
195,10524,"Pillar 1 & partial Pillar 2","Wales","04/05/2020","03/05/2020",2020-04-05 00:00:00.000,226
145,10669,"Pillar 1 & partial Pillar 2","Wales","05/05/2020","04/05/2020",2020-05-05 00:00:00.000,197.25
95,10764,"Pillar 1 & partial Pillar 2","Wales","06/05/2020","05/05/2020",2020-06-05 00:00:00.000,141.25
87,10851,"Pillar 1 & partial Pillar 2","Wales","07/05/2020","06/05/2020",2020-07-05 00:00:00.000,130
152,11003,"Pillar 1 & partial Pillar 2","Wales","08/05/2020","07/05/2020",2020-08-05 00:00:00.000,217.5
118,11121,"Pillar 1 & partial Pillar 2","Wales","09/05/2020","08/05/2020",2020-09-05 00:00:00.000,67
223,11344,"Pillar 1 & partial Pillar 2","Wales","10/05/2020","09/05/2020",2020-10-05 00:00:00.000,362.5
124,11468,"Pillar 1 & partial Pillar 2","Wales","11/05/2020","10/05/2020",2020-11-05 00:00:00.000,232
105,11573,"Pillar 1 & partial Pillar 2","Wales","12/05/2020","11/05/2020",2020-12-05 00:00:00.000,236
133,11706,"Pillar 1 & partial Pillar 2","Wales","13/05/2020","12/05/2020",2020-05-13 00:00:00.000,133
128,11834,"Pillar 1 & partial Pillar 2","Wales","14/05/2020","13/05/2020",2020-05-14 00:00:00.000,130.5
126,11960,"Pillar 1 & partial Pillar 2","Wales","15/05/2020","14/05/2020",2020-05-15 00:00:00.000,129
183,12142,"Pillar 1 & partial Pillar 2","Wales","16/05/2020","15/05/2020",2020-05-16 00:00:00.000,142.5
162,12304,"Pillar 1 & partial Pillar 2","Wales","17/05/2020","16/05/2020",2020-05-17 00:00:00.000,146.4
101,12404,"Pillar 1 & partial Pillar 2","Wales","18/05/2020","17/05/2020",2020-05-18 00:00:00.000,138.83333333333334
166,12570,"Pillar 1 & partial Pillar 2","Wales","19/05/2020","18/05/2020",2020-05-19 00:00:00.000,142.71428571428572
110,12680,"Pillar 1 & partial Pillar 2","Wales","20/05/2020","19/05/2020",2020-05-20 00:00:00.000,139.42857142857142
166,12846,"Pillar 1 & partial Pillar 2","Wales","21/05/2020","20/05/2020",2020-05-21 00:00:00.000,144.85714285714286
138,12984,"Pillar 1 & partial Pillar 2","Wales","22/05/2020","21/05/2020",2020-05-22 00:00:00.000,146.57142857142858
185,13169,"Pillar 1 & partial Pillar 2","Wales","23/05/2020","22/05/2020",2020-05-23 00:00:00.000,146.85714285714286
140,13309,"Pillar 1 & partial Pillar 2","Wales","24/05/2020","23/05/2020",2020-05-24 00:00:00.000,143.71428571428572
106,13415,"Pillar 1 & partial Pillar 2","Wales","25/05/2020","24/05/2020",2020-05-25 00:00:00.000,144.42857142857142
141,13556,"Pillar 1 & partial Pillar 2","Wales","26/05/2020","25/05/2020",2020-05-26 00:00:00.000,140.85714285714286
97,13653,"Pillar 1 & partial Pillar 2","Wales","27/05/2020","26/05/2020",2020-05-27 00:00:00.000,139
72,13725,"Pillar 1 & partial Pillar 2","Wales","28/05/2020","27/05/2020",2020-05-28 00:00:00.000,125.57142857142857
102,13827,"Pillar 1 & partial Pillar 2","Wales","29/05/2020","28/05/2020",2020-05-29 00:00:00.000,120.42857142857143
86,13913,"Pillar 1 & partial Pillar 2","Wales","30/05/2020","29/05/2020",2020-05-30 00:00:00.000,106.28571428571429
82,13995,"Pillar 1 & partial Pillar 2","Wales","31/05/2020","30/05/2020",2020-05-31 00:00:00.000,98
59,14054,"Pillar 1 & partial Pillar 2","Wales","01/06/2020","31/05/2020",2020-01-06 00:00:00.000,164.33333333333334
