storagearraylun_pk,resource_fk,name,identifier,category,element_type,vendor_define_type,storagearray_fk,storagearray_name,storagearray_type,storagearray_identifier,storagearraypool_fk,storagearraypool_name,block_size,bound,cache_enabled,caption,compressed,compression_rate,created_at,data_format,data_reduction,dataset_type,depth,imported,is_composite,mapped,naa_name,owning_controller,protection,raid_type,rebuild_priority,recovery_enabled,replicated_on,rmr_source,rmr_target,serial_number,num_snapshots,is_thin,capacity,used_capacity,free_capacity,spare_capacity,allocated_capacity,consumable_capacity,metadata_capacity,subscribed_capacity,over_subscribed_capacity,percent_free,percent_used,total_reduction_ratio,total_reduction_savings,num_volumes,wwn,storage_tier,status,first_added,last_edited,last_changed,protocol,technology
"3247","3247","TPStorage-ISO","lun|TPStorage-ISO|array|def59bf5-854d-4d07-a456-adcceb18fceb","{lun}","lun","LUN","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,"",,"",,,"","","","",,"",,False,"","","","",,,"","","","DEF59BF5854D4D0700011026",,"",150,54.002,95.998,"",,,,,"",63.999,36.001,"2.72792",,25005317044,"624a9370def59bf5854d4d0700011026","","ok",2021-05-03 14:54:06.166,2021-11-11 15:54:13.676,2021-11-11 15:54:13.673,"","ssd"
"6096","6096","StorageTesting_RAW_1","lun|00008|array|APM00125186274","{lun}","lun","LUN","6069","dev42vnx5100","Array (VNX)","array|APM00125186274","6098","Concrete storage pool 0000 for APM00125186274 storage system",512,"true",True,"",False,1,"","FBA","","",,"false",False,True,"","SP_B","LUN","RAID-5",3,False,"","","","",,"",1,1,,"",1,1,,0,"",,100,"",,,"60060160bb4133007e516b38c56beb11","","online",2021-06-07 17:51:30.116,2021-11-12 11:01:12.446,2021-07-27 15:01:25.363,"fc","sas"
"2387","2387","ArrayIQ10","lun|ArrayIQ10|project|default|pool|Pool1|array|Oraclezfs","{lun}","lun","LUN","2317","Oraclezfs","Array (ZFS)","array|Oraclezfs","2371","Pool1",,"",,"",,,"","","","",,"",,,"","","","mirror",,,"","","","",,"",2,0.012,1.988,"",,,,,"",99.4,0.6,"",,,"600144f0a12bb40300005f80a8bb0001","","ok",2021-02-11 21:04:05.476,2021-11-07 21:02:12.273,2021-04-05 19:02:40.286,"",""
"3259","3259","lunOne","lun|/vol/NetApp01/lunOne|array|0142255929","{lun}","lun","LUN","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929","2055","aggr0",512,"",,"",,,"","","","",,"",,True,"","","","raid_dp",,,"","","","SKXBLKiitvGw",,"",55,21.98,,"",,,,,"",,39.964,"",,,"60a98000534b58424c4b696974764777","","online",2021-05-04 15:42:04.966,2021-11-12 01:01:12.476,2021-11-12 01:01:12.473,"iscsi","sata"
"6092","6092","testd_4","lun|00004|array|APM00125186274","{lun}","lun","LUN","6069","dev42vnx5100","Array (VNX)","array|APM00125186274","6099","Concrete storage pool 0001 for APM00125186274 storage system",512,"true",False,"",False,1,"","FBA","","",,"false",False,True,"","SP_A","LUN","RAID-1",3,False,"","","","",,"",10,10,,"",10,10,,0,"",,100,"",,,"60060160a64133007639fa084e58ea11","","online",2021-06-07 17:51:30.086,2021-11-12 11:01:12.413,2021-07-27 15:01:25.300,"","ssd"
"2346","2346","z001","lun|sv_1|array|VIRT2039MB5BCH","{lun}","lun","LUN","2318","","Array (UNITY)","array|VIRT2039MB5BCH","2343","Capacity",,"",,"",,,"","","","",,"",,,"","","","",,,"","","","",0,"",100,0,100,"",0,,4,,"",100,0,"",,,"600601608a70382926fc855f436f33d1","","ok",2021-02-11 21:04:05.390,2021-11-11 21:03:12.196,2021-07-27 15:01:25.003,"",""
"2241","2241","u18ud01tp9208d1","lun|u18ud01tp9208d1|array|def59bf5-854d-4d07-a456-adcceb18fceb","{lun}","lun","LUN","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,"",,"",,,"","","","",,"",,False,"","","","",,,"","","","DEF59BF5854D4D0700011018",,"",32,0,32,"",,,,,"",100,0,"3.5165e+06",,143119,"624a9370def59bf5854d4d0700011018","","ok",2021-01-26 20:11:55.663,2021-11-11 15:54:13.573,2021-11-07 15:54:13.573,"","ssd"
"2271","2271","winhejavvv7dmad1","lun|winhejavvv7dmad1|array|def59bf5-854d-4d07-a456-adcceb18fceb","{lun}","lun","LUN","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,"",,"",,,"","","","",,"",,False,"","","","",,,"","","","DEF59BF5854D4D0700011023",,"",32,0,32,"",,,,,"",100,0,"238866",,213481,"624a9370def59bf5854d4d0700011023","","ok",2021-02-11 20:03:06.186,2021-11-11 15:54:13.650,2021-11-11 15:54:13.646,"fc","ssd"
"6095","6095","StorageTesting_2","lun|00007|array|APM00125186274","{lun}","lun","LUN","6069","dev42vnx5100","Array (VNX)","array|APM00125186274","6098","Concrete storage pool 0000 for APM00125186274 storage system",512,"true",True,"",False,1,"","FBA","","",,"false",False,True,"","SP_B","LUN","RAID-5",3,False,"","","","",,"",50,50,,"",50,50,,0,"",,100,"",,,"60060160bb4133007b58b983c46beb11","","online",2021-06-07 17:51:30.110,2021-11-12 11:01:12.440,2021-07-27 15:01:25.350,"fc","sas"
"2069","2069","exi01","lun|/vol/vol5/exi01|array|0142255929","{lun}","lun","LUN","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929","2055","aggr0",512,"",,"",,,"","","","",,"",,False,"","","","raid_dp",,,"","","","SKXBLKEdltun",,"",10,0,,"",,,,,"",,0,"",,,"60a98000534b58424c4b45646c74756e","","online",2021-01-26 19:07:55.203,2021-11-12 01:01:12.486,2021-07-27 15:02:25.430,"","sata"
"6681","6681","d42do-697-02","lun|066fcdbccae2100adb000000000000000000000002|array|096fcdbccae2100adb000000000000000000000001","{lun}","lun","LUN","6626","AF1000","Array (NIMBLE)","array|096fcdbccae2100adb000000000000000000000001","6673","default",,"",,"",,,"","","","",,"",,,"","","unprotected","",,,"","","","",,"",1,0.01,0.99,"",,,,,"",99,1,"",,,"38a0a6ec5dfea0c46c9ce90011b6dd8d","","online",2021-09-11 00:01:07.530,2021-11-12 01:01:12.600,2021-09-11 00:01:07.526,"fc","ssd"
"2067","2067","xenfc","lun|/vol/vol5/xenfc|array|0142255929","{lun}","lun","LUN","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929","2055","aggr0",512,"",,"",,,"","","","",,"",,False,"","","","raid_dp",,,"","","","SKXBLKEdm-zC",,"",10,0,,"",,,,,"",,0,"",,,"60a98000534b58424c4b45646d2d7a43","","online",2021-01-26 19:07:55.196,2021-11-12 01:01:12.460,2021-07-27 15:02:25.396,"","sata"
"2255","2255","winub4nfj7qmd6d1","lun|winub4nfj7qmd6d1|array|def59bf5-854d-4d07-a456-adcceb18fceb","{lun}","lun","LUN","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,"",,"",,,"","","","",,"",,False,"","","","",,,"","","","DEF59BF5854D4D070001101B",,"",32,0,32,"",,,,,"",100,0,"264458",,120711,"624a9370def59bf5854d4d070001101b","","ok",2021-02-05 16:28:11.290,2021-11-11 15:54:13.600,2021-11-11 15:54:13.596,"fc","ssd"
"3073","3073","ZakirTest02","lun|60002AC000000000000000040001855E|array|2FF70002AC01855E","{lun}","lun","LUN","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2480","SSD_r5",512,"",,"",,,"","","","",,"",,,"","","","RAID5",,,"","","","",,"",1,0.625,,"",0.5,1,,,"",,62.5,"",,,"60002ac000000000000000040001855e","","starting",2021-03-31 19:17:00.886,2021-05-22 19:17:52.626,2021-04-05 19:03:40.960,"",""
"2465","2465",".srdata","lun|60002AC000000000000000010001855E|array|2FF70002AC01855E","{lun}","lun","LUN","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2477","all-FC",512,"",,"",,,"","","","",,"",,,"","","","RAID1",,,"","","","",,"",60,60,,"",60,60,,,"",,100,"",,,"60002ac000000000000000010001855e","","error",2021-02-11 21:04:05.923,2021-11-11 20:16:12.966,2021-07-27 15:01:26.166,"fc","fc"
"2466","2466","ZakirTest1","lun|60002AC000000000000000030001855E|array|2FF70002AC01855E","{lun}","lun","LUN","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2485","SSD_r5",512,"",,"",,,"","","","",,"",,,"","","","RAID5",,,"","","","",,"",10,1.125,,"",0.5,10,,,"",,11.25,"",,,"60002ac000000000000000030001855e","","error",2021-02-11 21:04:05.930,2021-11-11 20:16:12.976,2021-07-27 15:01:26.176,"fc","ssd"
"2466","2466","ZakirTest1","lun|60002AC000000000000000030001855E|array|2FF70002AC01855E","{lun}","lun","LUN","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2480","SSD_r5",512,"",,"",,,"","","","",,"",,,"","","","RAID5",,,"","","","",,"",10,1.125,,"",0.5,10,,,"",,11.25,"",,,"60002ac000000000000000030001855e","","error",2021-02-11 21:04:05.930,2021-11-11 20:16:12.976,2021-07-27 15:01:26.176,"fc","ssd"
"2466","2466","ZakirTest1","lun|60002AC000000000000000030001855E|array|2FF70002AC01855E","{lun}","lun","LUN","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",512,"",,"",,,"","","","",,"",,,"","","","RAID5",,,"","","","",,"",10,1.125,,"",0.5,10,,,"",,11.25,"",,,"60002ac000000000000000030001855e","","error",2021-02-11 21:04:05.930,2021-11-11 20:16:12.976,2021-07-27 15:01:26.176,"fc","ssd"
"2753","2753","d42-1845101","lun|d42-1845101|array|def59bf5-854d-4d07-a456-adcceb18fceb","{lun}","lun","LUN","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,"",,"",,,"","","","",,"",,True,"","","","",,,"","","","DEF59BF5854D4D0700011024",,"",2,0.006,1.994,"",,,,,"",99.7,0.3,"189.771",,10532310,"624a9370def59bf5854d4d0700011024","","ok",2021-02-16 15:54:06.110,2021-10-04 14:53:35.426,2021-10-04 14:53:35.423,"fc","ssd"
"2240","2240","u18ud01tp9208d0","lun|u18ud01tp9208d0|array|def59bf5-854d-4d07-a456-adcceb18fceb","{lun}","lun","LUN","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,"",,"",,,"","","","",,"",,False,"","","","",,,"","","","DEF59BF5854D4D0700011017",,"",32,0,32,"",,,,,"",100,0,"2.85665e+06",,299911,"624a9370def59bf5854d4d0700011017","","ok",2021-01-26 20:11:55.660,2021-11-11 15:54:13.566,2021-11-07 15:54:13.563,"","ssd"
"2282","2282","ArrayIQ01","lun|119|array|36002","{lun}","lun","LUN","6057","Infinidate1","Array (INFI)","array|36002","2281","Pool1",,"",,"",True,,"","","","VOLUME",0,"",,True,"","","","",,,"","false","false","",,"",1,0.011,0.989,"",0.001,,,,"",99,1,"12.42",0.01,,"742b0f000008ca20000000000000077","","ok",2021-02-11 21:01:05.346,2021-11-11 20:18:12.173,2021-10-28 19:18:12.136,"iscsi",""
"2270","2270","winhejavvv7dmad0","lun|winhejavvv7dmad0|array|def59bf5-854d-4d07-a456-adcceb18fceb","{lun}","lun","LUN","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,"",,"",,,"","","","",,"",,False,"","","","",,,"","","","DEF59BF5854D4D0700011022",,"",32,0,32,"",,,,,"",100,0,"216840",,228783,"624a9370def59bf5854d4d0700011022","","ok",2021-02-11 20:03:06.180,2021-11-11 15:54:13.643,2021-11-11 15:54:13.636,"fc","ssd"
"2068","2068","kvm","lun|/vol/vol3/kvm|array|0142255929","{lun}","lun","LUN","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929","2055","aggr0",512,"",,"",,,"","","","",,"",,True,"","","","raid_dp",,,"","","","SKXBLKDZU9hO",,"",449.02,340.198,,"",,,,,"",,75.765,"",,,"60a98000534b58424c4b445a5539684f","","online",2021-01-26 19:07:55.200,2021-11-12 01:01:12.436,2021-10-04 00:00:34.086,"iscsi, fc","sata"
"2256","2256","Pure-01","lun|Pure-01|array|def59bf5-854d-4d07-a456-adcceb18fceb","{lun}","lun","LUN","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,"",,"",,,"","","","",,"",,True,"","","","",,,"","","","DEF59BF5854D4D070001101E",,"",500,5.175,494.825,"",,,,,"",98.965,1.035,"85.1185",,3358862328,"624a9370def59bf5854d4d070001101e","","ok",2021-02-05 16:28:11.293,2021-11-11 15:54:13.610,2021-11-11 15:54:13.603,"fc","ssd"
