CorrectAnswer,Difficulty,Options,Points,PowerPlatformArea,QAGUID,Question,References,Used?,RoundID,QuestionNumber,Submited By GUID,Submitted By Name,QuizGUID
"Nothing has the same capabilities as the lost dialogs!","Intermediate","Business process flows
Canvas apps
Task flows
Nothing has the same capabilities as the lost dialogs!",,"Dynamics 365","a81be66d-2aa9-ea11-a812-000d3a59fefc","Process Dialogs are deprecated! And will be removed soon. Which of the below have the same features and capabilities of Dialogs?","https://docs.microsoft.com/en-us/power-automate/replace-dialogs",False,"",,"12617f4e-49a9-ea11-a812-000d3a59f4b3","Ashraf Omar",""
"30 Data Steps","Easy","25 Data Steps
30 Data Steps 
40 Data Steps
No limit",,"Dynamics 365","aa1be66d-2aa9-ea11-a812-000d3a59fefc","In a given Business Process Flow, what is the maximum number of Data Steps you can add in a single stage","https://blogs.perficient.com/2018/04/04/know-your-limits-creating-process-flows-in-dynamics-365/",False,"",,"0a617f4e-49a9-ea11-a812-000d3a59f4b3","Muhammad Hussain Iqbal",""
"True","Easy","True/False",,"Dynamics 365","ac1be66d-2aa9-ea11-a812-000d3a59fefc","File is a field type in the Power Platform.","https://powerapps.microsoft.com/en-us/blog/public-preview-of-file-attribute-in-power-apps/",False,"",,"fe607f4e-49a9-ea11-a812-000d3a59f4b3","Carl de Souza",""
"0365","Easy","",,"General Knowledge","ae1be66d-2aa9-ea11-a812-000d3a59fefc","Who is the superhero who is still in Isolation and missing from the picture?","everything access wise is controlled by Office Groups. so they are the leader of the group....",False,"",,"04617f4e-49a9-ea11-a812-000d3a59f4b3","kym",""
"Green","N/A","",,"General Knowledge","b01be66d-2aa9-ea11-a812-000d3a59fefc","What primary colour is not found in the team colours of any of the Australian Football Leagues 18 teams' colours?","",False,"",,"12707893-39a9-ea11-a812-000d3a59f7a1","Monte Wilson",""
"Winston Churchill","N/A","",,"General Knowledge","b21be66d-2aa9-ea11-a812-000d3a59fefc","Which British member of Parliment served under both Queen Victoria and Queen Elizabeth?","",False,"",,"12707893-39a9-ea11-a812-000d3a59f7a1","Monte Wilson",""
"George Patton","N/A","",,"General Knowledge","b41be66d-2aa9-ea11-a812-000d3a59fefc","FUSAG - the First US Army Group was a totally ficitious army created to deceive the Germans about likely invasion locations. The fake army used inflatable tanks, cardboard planes and rubber trucks to give the appearance of a large force waiting to cross the channel. It was however ""commanded"" by a real and noteable General to give it additional veracity. Who was the General?","",False,"",,"12707893-39a9-ea11-a812-000d3a59f7a1","Monte Wilson",""
"UK","N/A","",,"General Knowledge","b61be66d-2aa9-ea11-a812-000d3a59fefc","John F Kennedy's Father Joseph was U.S. Amabassador to what country?","",False,"",,"12707893-39a9-ea11-a812-000d3a59f7a1","Monte Wilson",""
"J.S. Bach","N/A","",,"General Knowledge","b81be66d-2aa9-ea11-a812-000d3a59fefc","Which composer's death in 1750 is generally considerd to mark the end of the Baroque Era?","",False,"",,"12707893-39a9-ea11-a812-000d3a59f7a1","Monte Wilson",""
"Helium","N/A","",,"General Knowledge","ba1be66d-2aa9-ea11-a812-000d3a59fefc","Which colorless, odorless, tasteless, non-toxic and inert gas is named after the Greek word for the Sun?","",False,"",,"12707893-39a9-ea11-a812-000d3a59f7a1","Monte Wilson",""
"Insulin","N/A","",,"General Knowledge","bc1be66d-2aa9-ea11-a812-000d3a59fefc","The 1923 Nobel Prize for Medicine was awarded to two men for the discovery of what chemical compound?","",False,"",,"12707893-39a9-ea11-a812-000d3a59f7a1","Monte Wilson",""
"Transistor","N/A","",,"General Knowledge","be1be66d-2aa9-ea11-a812-000d3a59fefc","In 1947 scientists working at Bell Labs in the U.S invented what device that has become the most manfactured item in history?","",False,"",,"12707893-39a9-ea11-a812-000d3a59f7a1","Monte Wilson",""
"The Kennedy Assasination","N/A","",,"General Knowledge","c01be66d-2aa9-ea11-a812-000d3a59fefc","The so called ""Zapruder Film"" is a record of what major historical event?","",False,"",,"12707893-39a9-ea11-a812-000d3a59f7a1","Monte Wilson",""
"North and South America","N/A","",,"General Knowledge","c21be66d-2aa9-ea11-a812-000d3a59fefc","The Humbolt Squid is found prediminantly in the waters off the west coasts of which two continents?","",False,"",,"12707893-39a9-ea11-a812-000d3a59f7a1","Monte Wilson",""
"Inland Taipan","N/A","",,"General Knowledge","c41be66d-2aa9-ea11-a812-000d3a59fefc","Which snake is considerd to be the world's most venomous?","",False,"",,"12707893-39a9-ea11-a812-000d3a59f7a1","Monte Wilson",""
"Kazakhstan","N/A","",,"General Knowledge","c61be66d-2aa9-ea11-a812-000d3a59fefc","What is the worlds largest landlocked country","",False,"",,"12707893-39a9-ea11-a812-000d3a59f7a1","Monte Wilson",""
"New Zealand","Intermediate","A. America
B. Canada
C. New Zealand
D. England",,"General Knowledge","c81be66d-2aa9-ea11-a812-000d3a59fefc","Australia was the second country in the world to give women the vote. Who was the first?","https://blog.yellowoctopus.com.au/funny-australian-trivia-questions-and-answers/",False,"",,"ab5476ab-3c81-ea11-a811-000d3a37ef1b","Alice Drummond",""
"Activate the business process flow, and select Edit Security Roles, and define who will have privileges","Intermediate","A Only a system administrator has access privileges to new business process flows.

B Only a system customizer has access privileges to new business process flows.

C Activate the business process flow, and then define access privileges for users and administrators.

D Activate the business process flow, and select Edit Security Roles, and define who will have privileges.",,"Power Automate","ca1be66d-2aa9-ea11-a812-000d3a59fefc","How can you define who has privileges to create, read, update, or delete a business process flow instance?","https://docs.microsoft.com/en-gb/learn/modules/build-more-flows/14-knowledge-check",False,"",,"e86f7893-39a9-ea11-a812-000d3a59f7a1","#PPPQ",""
"Connectors let you connect to a service like Twitter","Intermediate","Connectors are used to start a flow.

Connectors let you share an app.

Connectors let you connect to a service like Twitter.

Connectors are used to connect actions and triggers together in a flow.",,"Power Automate","cc1be66d-2aa9-ea11-a812-000d3a59fefc","What are connectors used for in Power Automate?","https://docs.microsoft.com/en-gb/learn/modules/build-more-flows/14-knowledge-check",False,"",,"e86f7893-39a9-ea11-a812-000d3a59f7a1","#PPPQ",""
"Three, with user input, without user input and a physical button.","Intermediate","Two, with user input and without user input.

Three, with user input, without user input and a physical button.

Four, with user input, without user input, virtual button and physical button.

Five, with user input, without user input, virtual button, physical button and another flow.",,"Power Automate","ce1be66d-2aa9-ea11-a812-000d3a59fefc","How many button options are available to trigger a flow?","https://docs.microsoft.com/en-gb/learn/modules/intro-power-automate-buttons/8-check",False,"",,"e86f7893-39a9-ea11-a812-000d3a59f7a1","#PPPQ",""
"By adding individual users or Office 365 groups.","Intermediate","By adding individual users only.

By adding individual users or Office 365 groups.

By adding individual users, Office 365 groups or Exchange mailboxes.

By adding individual users, Office 365 groups, Exchange mailboxes or SharePoint groups.",,"Power Automate","d01be66d-2aa9-ea11-a812-000d3a59fefc","Which of the following ways can you share a button in Power Automate?","https://docs.microsoft.com/en-gb/learn/modules/intro-power-automate-buttons/8-check",False,"",,"e86f7893-39a9-ea11-a812-000d3a59f7a1","#PPPQ",""
"User authorization, data connections, and Power Automate actions or conditions","Intermediate","
Internet connection, device OS, and language

Device OS, location, and screen size

User authorization, data connections, and Power Automate actions or conditions

User interface, flow condition, and internet connection",,"Power Automate","d21be66d-2aa9-ea11-a812-000d3a59fefc","What are the three verifications that you should make when troubleshooting a flow?","https://docs.microsoft.com/en-gb/learn/modules/intro-power-automate-buttons/8-check",False,"",,"e86f7893-39a9-ea11-a812-000d3a59f7a1","#PPPQ",""
"The time and geographic location of the device","Intermediate","
The time and geographic location of the user's office

The time and geographic location of the tenant's HQ office

The time and geographic location of the tenant's Office 365 global admin

The time and geographic location of the device",,"Power Automate","d41be66d-2aa9-ea11-a812-000d3a59fefc","What time and location do trigger tokens use?","https://docs.microsoft.com/en-gb/learn/modules/intro-power-automate-buttons/8-check",False,"",,"e86f7893-39a9-ea11-a812-000d3a59f7a1","#PPPQ",""
"January 2018","Intermediate","A. December 2018
B. June 2018
C. January 2018
D. June 2019",,"Power BI","d61be66d-2aa9-ea11-a812-000d3a59fefc","When was PowerApps custom visual first released in Power BI?","https://powerapps.microsoft.com/en-us/blog/powerbi-powerapps-visual/",False,"",,"ab5476ab-3c81-ea11-a811-000d3a37ef1b","Alice Drummond",""
"Amanda Cofsky","Challenging","A. Adam Saxton
B. Amanda Cofsky
C. Christopher Finlan
D. Kelly Kaye",,"Power BI","d81be66d-2aa9-ea11-a812-000d3a59fefc","Who of these awesome people ARE NOT currently part of the Microsoft Power BI team?","I saw a post on twitter a while ago...so hopefully I'm not making this up!",False,"",,"ab5476ab-3c81-ea11-a811-000d3a37ef1b","Alice Drummond",""
"A missing or incorrect relationship in the data model","Easy","A. The DAX formula being used
B. A missing or incorrect relationship in the data model
C. Power Query",,"Power BI","da1be66d-2aa9-ea11-a812-000d3a59fefc","If you see all the same values in a visual (and that's not what you expect), where is the likely source of your problem?","Dashboard in a Day",False,"",,"24617f4e-49a9-ea11-a812-000d3a59f4b3","Jen Memhard",""
"24 Jul 2015","Easy","A - 10 July 2015
B - 24 July 2016
C- 24 July 2015",,"Power BI","dc1be66d-2aa9-ea11-a812-000d3a59fefc","When did Power BI officially begin?","https://powerbi.microsoft.com/en-us/blog/announcing-power-bi-general-availability-coming-july-24th/",False,"",,"00617f4e-49a9-ea11-a812-000d3a59f4b3","Gilbert Que",""
"False","Intermediate","True/False",,"Power BI","de1be66d-2aa9-ea11-a812-000d3a59fefc","Incremental Data Refresh is a feature available for Power BI Pro users.","https://powerbi.microsoft.com/en-us/pricing/",False,"",,"fe607f4e-49a9-ea11-a812-000d3a59f4b3","Carl de Souza",""
"?filter=User/Full+Name eq 'Batman'","Intermediate","A. ?filter=User/Full+Name eq 'Batman'
B. ?filter=User/Full%20Name eq 'Batman'
C. ?filter=User%2FFull%20Name%20eq%20%27Batman%27",,"Power BI","e01be66d-2aa9-ea11-a812-000d3a59fefc","You have a Power BI Report with a Dataset [User] and Field Name [Full Name]. You want to apply URL Parameter Filter to filter on Full Name equals to Batman.
Which one should you append to the report Url?","https://docs.microsoft.com/en-us/power-bi/service-url-filters     Section: Special Characters in Url Filters",False,"",,"fc6f7893-39a9-ea11-a812-000d3a59f7a1","Abby Kong",""
"Power Query running in the cloud","Easy","A. Azure data pipeline 
B. Power Query running in the cloud
C. Data ingestion for Power Apps 
D. Type of Power BI visualization",,"Power BI","e21be66d-2aa9-ea11-a812-000d3a59fefc","What is a Dataflow?","https://docs.microsoft.com/en-us/power-bi/service-dataflows-overview",False,"",,"02617f4e-49a9-ea11-a812-000d3a59f4b3","Gregory Petrossian",""
"True","Easy","True / False",,"Power BI","e41be66d-2aa9-ea11-a812-000d3a59fefc","Power BI Desktop was originally named Power BI Designer.","https://www.mssqltips.com/sqlservertip/3681/getting-started-with-power-bi-designer/",False,"",,"08617f4e-49a9-ea11-a812-000d3a59f4b3","mike carlo",""
"Power BI Desktop","Easy","A - Power BI Desktop
B - Power BI Service
C - Both Power BI Desktop and Power BI Service
D - None",,"Power BI","e61be66d-2aa9-ea11-a812-000d3a59fefc","With which tool you will be able to add measures in your data model?","https://docs.microsoft.com/en-us/power-bi/fundamentals/service-service-vs-desktop",False,"",,"0e617f4e-49a9-ea11-a812-000d3a59f4b3","Sarvesh Shinde",""
"True","Easy","True / False",,"Power BI","e81be66d-2aa9-ea11-a812-000d3a59fefc","Can you show values on rows in a matrix?","Under Format > Values > Show on Rows",False,"",,"00707893-39a9-ea11-a812-000d3a59f7a1","Warren Dean",""
"Standard Map","Intermediate","A. Standard Map
B. Standard Map & ArcGIS
C. Standard Map & Mapbox
D. ArcGIS & Mapbox",,"Power BI","ea1be66d-2aa9-ea11-a812-000d3a59fefc","Which map can you use with custom tooltips?","No",False,"",,"00707893-39a9-ea11-a812-000d3a59f7a1","Warren Dean",""
"DateAdd","Intermediate","A. DatesBetween
B. DatesinPeriod
C. DateAdd
D. DateMove",,"Power BI","ec1be66d-2aa9-ea11-a812-000d3a59fefc","‘I am the time machine of DAX. I can take reference to any value and move it forward or backward.’ Who am I?","",False,"",,"2111de6e-9a99-ea11-a813-000d3a59fefc","Hemanand Vadivel",""
"Line chart","Intermediate","A. Area chart
B. Bar/Column chart
C. Scatter chart
D. Line chart
E. Pie chart",,"Power BI","ee1be66d-2aa9-ea11-a812-000d3a59fefc","Which visualization should you use if you are trying to show a comparison over time for many different categories?","https://extremepresentation.typepad.com/files/choosing-a-good-chart-09.pdf",False,"",,"08707893-39a9-ea11-a812-000d3a59f7a1","Sujata Narayana",""
"Column Distribution","Intermediate","A. Column Quality
B. Column Profile
C. Column Distribution
D. Column Index",,"Power BI","f01be66d-2aa9-ea11-a812-000d3a59fefc","Which power query tool is used to identify data consistency within a column?","https://www.excelguru.ca/blog/2019/09/16/column-quality-and-distribution/",False,"",,"06617f4e-49a9-ea11-a812-000d3a59f4b3","Matt Picca",""
"Azure Data Factory","Intermediate","A. CSV file
B. Azure Data Factory
C. MySQL database
D. Google Analytics",,"Power BI","f21be66d-2aa9-ea11-a812-000d3a59fefc","Which of the following is NOT a data source that can be connected to using the standard data connectors?","My own experience...data factory makes pipelines between data sources, it isn’t a source itself",False,"",,"0c617f4e-49a9-ea11-a812-000d3a59f4b3","Sam Fisher",""
"Dynamics 365 for Fin & Ops","Intermediate","Dynamics 365 for Fin & Ops
Dynamics 365
Dynamics 365 Supply Chain Management
Dynamics 365 for Finance",,"PowerApps","f61be66d-2aa9-ea11-a812-000d3a59fefc","What is the name of the connector which connects to Finance and operations App from Power Apps ?","",False,"",,"2f11de6e-9a99-ea11-a813-000d3a59fefc","Kasun Pathirana",""
"2015","Challenging","A. 2018
B. 2011
C. 2015",,"PowerApps","f81be66d-2aa9-ea11-a812-000d3a59fefc","when was Power Apps introduced?","“Introducing Microsoft PowerApps” from Microsoft Blog",False,"",,"3311de6e-9a99-ea11-a813-000d3a59fefc","Rachel Pang",""
"None","Intermediate","A All of them
B Per User
C Per App
D None",,"PowerApps","fa1be66d-2aa9-ea11-a812-000d3a59fefc","What powerapps license allows users to ""use only"" CDS connected powerapps without having ability to create apps?","https://powerapps.microsoft.com/en-us/pricing/",False,"",,"dd10de6e-9a99-ea11-a813-000d3a59fefc","Liam Murray",""
"All of Above","Easy","A - CDS Entity
B - Forms
C - Views
D - Business Process FLOW
E - All of Above",,"PowerApps","fc1be66d-2aa9-ea11-a812-000d3a59fefc","What all components you can add in Model Driven App?","https://docs.microsoft.com/en-us/powerapps/maker/model-driven-apps/model-driven-app-components",False,"",,"0e617f4e-49a9-ea11-a812-000d3a59f4b3","Sarvesh Shinde",""
"AD Security Group","Intermediate","A) Office 365 group
B) AD Security Group
C) All of the above
D) A pandemonium of parrots",,"PowerApps","001ce66d-2aa9-ea11-a812-000d3a59fefc","What type of group(s) can you share a Power App with?","https://powerapps.microsoft.com/en-us/blog/sharing-powerapps-with-multiple-users/",False,"",,"f86f7893-39a9-ea11-a812-000d3a59f7a1","Matt Burr",""
"You must use .full property in the detail page to see full resolution image","Challenging","1. You need to upload two different images with two different fields
2. You must use thumbnail property in the gallery and no need to do anything in the detail page as it will work fine
3. You must use .full property in the detail page to see full resolution image
4. It is not possible to see this image in a high resolution, Microsoft is also struggling with this",,"PowerApps","021ce66d-2aa9-ea11-a812-000d3a59fefc","I have a Gallery called ""My Work"" which is bound to my Work entity in CDS. Gallery shows Image, Title and the Date Time as a part of record. When I click on any item (record) of the gallery, I am navigated to a detailed page of this specific record. Over here, I can see the image as distorted / pixelated. I want to see full resolution image. How can I do that?","Argh! direct them to me (Arafat)",False,"",,"0c707893-39a9-ea11-a812-000d3a59f7a1","Arafat Tehsin",""
"All of the Above","Easy","A - SQL Server
B - On Premise Gateway
C - Azure SQL
D - All of the Above",,"PowerApps","041ce66d-2aa9-ea11-a812-000d3a59fefc","Which of the following are announced as Premium connectors post Oct 2019 in Power Platform?","https://docs.microsoft.com/en-us/power-platform/admin/powerapps-flow-licensing-faq",False,"",,"0e617f4e-49a9-ea11-a812-000d3a59f4b3","Sarvesh Shinde",""
