Transaction Type,Date,Name,Amount
"Invoice",2025-01-07 00:00:00.000,"Yoo, Young-Kyu:Repairs",3915
"Invoice",2025-01-16 00:00:00.000,"Larsen's Pet Shop:Remodel",13900
"Invoice",2025-01-17 00:00:00.000,"Barley, Renee:Repairs",3186
"Invoice",2025-01-20 00:00:00.000,"Balak, Mike:Utility Shed",2092
"Invoice",2025-01-30 00:00:00.000,"Rice, Linda:Repairs",1868.36
"Invoice",2025-02-01 00:00:00.000,"Abercrombie, Kristy:Kitchen",5019.08
"Invoice",2025-02-16 00:00:00.000,"Davies, Aaron:Remodel",14560
"Invoice",2025-02-17 00:00:00.000,"Wilks, Daniel:Remodel Bathroom",4597.28
"Invoice",2025-03-13 00:00:00.000,"Overfield, David:Utility Shed",2092
"Invoice",2025-03-14 00:00:00.000,"Castillo, Eloisa:Utility Room",4589.81
"Invoice",2025-03-15 00:00:00.000,"Carr's Pie Shop:Remodel",14900
"Invoice",2025-03-28 00:00:00.000,"Fisher, Jennifer:Garage Roof",3165
"Invoice",2025-03-28 00:00:00.000,"Violette, Mike:Utility Room",1099.95
"Invoice",2025-04-07 00:00:00.000,"Keenan, Bridget:Storage Shed",2473.43
"Invoice",2025-04-11 00:00:00.000,"Fisher, Jennifer:Garage Roof",2095.6
"Invoice",2025-04-14 00:00:00.000,"Babcock's Music Shop:Remodel",12530
"Invoice",2025-04-14 00:00:00.000,"Ruff, Bryan:Utility Shed",1895.55
"Invoice",2025-04-15 00:00:00.000,"Fisher, Jennifer:Garage Roof",350
"Invoice",2025-04-15 00:00:00.000,"Fisher, Jennifer:Garage Roof",1458.68
"Invoice",2025-05-08 00:00:00.000,"Sage, Robert:Remodel",17270
"Invoice",2025-05-12 00:00:00.000,"Milner, Eloyse:Room addition",4194.29
"Invoice",2025-05-16 00:00:00.000,"Bristol, Sonya:Utility Shed",2092
"Invoice",2025-05-22 00:00:00.000,"Jimenez, Cristina:Utility Shed",2092
"Invoice",2025-06-04 00:00:00.000,"Fomin, Slava:Utility Shed",2588.13
"Invoice",2025-06-07 00:00:00.000,"Abercrombie, Kristy:Family Room",0
"Invoice",2025-06-07 00:00:00.000,"Abercrombie, Kristy:Family Room",1292.78
"Invoice",2025-06-09 00:00:00.000,"Duncan, Dave:Utility Shed",2469.75
"Invoice",2025-06-09 00:00:00.000,"Memeo, Jeanette:Utility Shed",2092
"Invoice",2025-06-17 00:00:00.000,"Rahn, Jennifer:Remodel",20300
"Invoice",2025-06-23 00:00:00.000,"Baker, Chris:Family Room",6172.24
"Invoice",2025-06-23 00:00:00.000,"Craven, Pam:Duct Work",625
"Invoice",2025-06-30 00:00:00.000,"Craven, Pam:Duct Work",321.8
"Invoice",2025-07-14 00:00:00.000,"Luke, Noelani:Kitchen",11481.8
"Invoice",2025-07-14 00:00:00.000,"Luke, Noelani:Remodel Bathroom",4834.92
"Invoice",2025-07-20 00:00:00.000,"Samuels Art Supplies:Remodel",13900
"Invoice",2025-08-13 00:00:00.000,"Memeo, Jeanette:2nd story addition",14538.54
"Invoice",2025-08-20 00:00:00.000,"Tony's Barber Shop:Remodel",15870
"Invoice",2025-08-27 00:00:00.000,"Smith, Lee:Patio",8361.67
"Invoice",2025-09-04 00:00:00.000,"Nguyen, Tuan:Garage",6819
"Invoice",2025-09-12 00:00:00.000,"Allard, Robert:Remodel",14510
"Invoice",2025-09-15 00:00:00.000,"Morgenthaler, Jenny:Room Addition",6134.17
"Invoice",2025-09-22 00:00:00.000,"Dunn, Eric C.W.:Utility Shed",2469.75
"Invoice",2025-09-25 00:00:00.000,"Morgenthaler, Jenny:Room Addition",271.53
"Invoice",2025-09-26 00:00:00.000,"Johnson, Gordon:Utility Shed",2469.75
"Invoice",2025-09-29 00:00:00.000,"Burch, Jason:Room Addition",5912.93
"Invoice",2025-09-30 00:00:00.000,"Smith, Lee:Patio",5
"Invoice",2025-10-01 00:00:00.000,"Nguyen, Tuan:Garage",35.65
"Invoice",2025-10-05 00:00:00.000,"Teschner, Anton:Sun Room",1960
"Invoice",2025-10-10 00:00:00.000,"Pretell Real Estate:155 Wilks Blvd.",3439
"Invoice",2025-10-15 00:00:00.000,"Cook, Brian:Kitchen",3100
"Invoice",2025-10-15 00:00:00.000,"Teichman, Tim:Kitchen",7764.78
"Invoice",2025-10-20 00:00:00.000,"Mackey's Nursery and Garden Supply:Greenhouse Addition",13900
"Invoice",2025-10-23 00:00:00.000,"Jacobsen, Doug:Kitchen",3207.75
"Invoice",2025-10-26 00:00:00.000,"Pretell Real Estate:155 Wilks Blvd.",2320
"Invoice",2025-10-30 00:00:00.000,"Cook, Brian:2nd story addition",14085.3
"Invoice",2025-10-30 00:00:00.000,"Cook, Brian:Kitchen",2580
"Invoice",2025-10-30 00:00:00.000,"Pretell Real Estate:155 Wilks Blvd.",4948
"Invoice",2025-10-31 00:00:00.000,"Smith, Lee:Patio",18.73
"Invoice",2025-11-03 00:00:00.000,"Nguyen, Tuan:Garage",43.89
"Invoice",2025-11-15 00:00:00.000,"Cook, Brian:Kitchen",4225.41
"Invoice",2025-11-15 00:00:00.000,"Pretell Real Estate:155 Wilks Blvd.",1072.5
"Invoice",2025-11-15 00:00:00.000,"Vitton, David:Remodel Kitchen",700
"Invoice",2025-11-18 00:00:00.000,"Hendro Riyadi:Remodel Kitchen",4223
"Invoice",2025-11-20 00:00:00.000,"Melton, Johnny:Dental office",12754.14
"Invoice",2025-11-20 00:00:00.000,"Pretell Real Estate:155 Wilks Blvd.",15435
"Invoice",2025-11-25 00:00:00.000,"Abercrombie, Kristy:Remodel Bathroom",3111.28
"Invoice",2025-11-25 00:00:00.000,"Burch, Jason:Room Addition",1005
"Invoice",2025-11-25 00:00:00.000,"Cook, Brian:2nd story addition",5418
"Invoice",2025-11-25 00:00:00.000,"Cook, Brian:Kitchen",1636.69
"Invoice",2025-11-25 00:00:00.000,"Jacobsen, Doug:Kitchen",4725
"Invoice",2025-11-28 00:00:00.000,"Teschner, Anton:Sun Room",8305.95
"Invoice",2025-11-30 00:00:00.000,"Ecker Designs:Office Repairs",1468.3
"Invoice",2025-12-01 00:00:00.000,"Nguyen, Tuan:Garage",37.58
"Invoice",2025-12-01 00:00:00.000,"Robson, Darci:Robson Clinic",445
"Invoice",2025-12-01 00:00:00.000,"Roche, Diarmuid:Garage repairs",440
"Invoice",2025-12-05 00:00:00.000,"Violette, Mike:Workshop",5732.23
"Invoice",2025-12-10 00:00:00.000,"Abercrombie, Kristy:Remodel Bathroom",4522
"Invoice",2025-12-10 00:00:00.000,"Campbell, Heather:Remodel",13900
"Invoice",2025-12-10 00:00:00.000,"Pretell Real Estate:155 Wilks Blvd.",1715
"Invoice",2025-12-11 00:00:00.000,"Cook, Brian:Kitchen",5.95
"Invoice",2025-12-12 00:00:00.000,"Lew Plumbing - C:Storage Expansion",220
"Invoice",2025-12-14 00:00:00.000,"Natiello, Ernesto:Kitchen",2080.11
"Invoice",2025-12-14 00:00:00.000,"Natiello, Ernesto:Kitchen",2824.03
"Invoice",2025-12-14 00:00:00.000,"Natiello, Ernesto:Kitchen",8656.25
"Invoice",2025-12-15 00:00:00.000,"Cook, Brian:Kitchen",1636.69
"Invoice",2025-12-15 00:00:00.000,"Robson, Darci:Robson Clinic",12420.98
"Credit Card Charge",2024-01-15 00:00:00.000,"Patton Hardware Supplies",4050.98
"Credit Card Charge",2024-02-28 00:00:00.000,"Vu Contracting",1600
"Credit Card Charge",2024-04-03 00:00:00.000,"Vu Contracting",1400
"Credit Card Charge",2024-08-15 00:00:00.000,"Patton Hardware Supplies",2340
"Credit Card Charge",2024-10-01 00:00:00.000,"Timberloft Lumber",885
"Credit Card Charge",2024-10-10 00:00:00.000,"Patton Hardware Supplies",240
"Credit Card Charge",2024-10-11 00:00:00.000,"Vu Contracting",2925
"Credit Card Charge",2024-12-02 00:00:00.000,"Patton Hardware Supplies",530
"Credit Card Charge",2025-01-10 00:00:00.000,"Patton Hardware Supplies",1172.3
"Paycheck",2025-01-13 00:00:00.000,"Dan T. Miller",1299.61
"Paycheck",2025-01-13 00:00:00.000,"Elizabeth N. Mason",890.57
"Paycheck",2025-01-13 00:00:00.000,"Gregg O. Schneider",1033.99
"Paycheck",2025-01-15 00:00:00.000,"Elizabeth N. Mason",921.28
"Credit Card Charge",2025-01-20 00:00:00.000,"Patton Hardware Supplies",739
"Paycheck",2025-01-27 00:00:00.000,"Dan T. Miller",1299.6
"Paycheck",2025-01-27 00:00:00.000,"Gregg O. Schneider",1064.04
"Credit Card Charge",2025-01-28 00:00:00.000,"McClain Appliances",695
"Paycheck",2025-02-10 00:00:00.000,"Dan T. Miller",1299.59
"Paycheck",2025-02-10 00:00:00.000,"Elizabeth N. Mason",890.56
"Paycheck",2025-02-10 00:00:00.000,"Gregg O. Schneider",1033.98
"Credit Card Charge",2025-02-18 00:00:00.000,"Vu Contracting",700
"Paycheck",2025-02-24 00:00:00.000,"Dan T. Miller",1299.6
"Paycheck",2025-02-24 00:00:00.000,"Elizabeth N. Mason",937.11
"Paycheck",2025-02-24 00:00:00.000,"Gregg O. Schneider",1079.56
"Credit Card Charge",2025-03-05 00:00:00.000,"Patton Hardware Supplies",962
"Credit Card Charge",2025-03-10 00:00:00.000,"Patton Hardware Supplies",1180
"Paycheck",2025-03-10 00:00:00.000,"Dan T. Miller",1299.61
"Paycheck",2025-03-10 00:00:00.000,"Elizabeth N. Mason",890.57
"Paycheck",2025-03-10 00:00:00.000,"Gregg O. Schneider",1033.99
"Paycheck",2025-03-24 00:00:00.000,"Dan T. Miller",1299.58
"Paycheck",2025-03-24 00:00:00.000,"Elizabeth N. Mason",890.56
"Paycheck",2025-03-24 00:00:00.000,"Gregg O. Schneider",1033.98
"Credit Card Charge",2025-04-01 00:00:00.000,"Patton Hardware Supplies",975.8
"Credit Card Charge",2025-04-02 00:00:00.000,"Patton Hardware Supplies",870
"Paycheck",2025-04-07 00:00:00.000,"Dan T. Miller",1299.61
"Paycheck",2025-04-07 00:00:00.000,"Elizabeth N. Mason",890.57
"Paycheck",2025-04-07 00:00:00.000,"Gregg O. Schneider",1033.99
"Paycheck",2025-04-21 00:00:00.000,"Dan T. Miller",1299.6
"Paycheck",2025-04-21 00:00:00.000,"Elizabeth N. Mason",921.26
"Paycheck",2025-04-21 00:00:00.000,"Gregg O. Schneider",1064.03
"Credit Card Charge",2025-05-01 00:00:00.000,"Kershaw Computer Services",5000
"Credit Card Charge",2025-05-01 00:00:00.000,"Timberloft Lumber",820
"Credit Card Charge",2025-05-02 00:00:00.000,"Patton Hardware Supplies",970
"Paycheck",2025-05-05 00:00:00.000,"Dan T. Miller",1299.59
"Paycheck",2025-05-05 00:00:00.000,"Elizabeth N. Mason",890.57
"Paycheck",2025-05-05 00:00:00.000,"Gregg O. Schneider",1033.99
"Credit Card Charge",2025-05-12 00:00:00.000,"Patton Hardware Supplies",1389
"Credit Card Charge",2025-05-15 00:00:00.000,"Patton Hardware Supplies",260
"Paycheck",2025-05-19 00:00:00.000,"Dan T. Miller",1299.59
"Paycheck",2025-05-19 00:00:00.000,"Elizabeth N. Mason",937.11
"Paycheck",2025-05-19 00:00:00.000,"Gregg O. Schneider",1079.56
"Credit Card Charge",2025-05-20 00:00:00.000,"Vu Contracting",725
"Sales Receipt",2025-05-21 00:00:00.000,"Reyes Properties - C:Repairs",840
"Credit Card Charge",2025-06-01 00:00:00.000,"Patton Hardware Supplies",1130
"Credit Card Charge",2025-06-02 00:00:00.000,"Patton Hardware Supplies",978.39
"Credit Card Charge",2025-06-02 00:00:00.000,"Patton Hardware Supplies",1280
"Paycheck",2025-06-02 00:00:00.000,"Dan T. Miller",1299.61
"Paycheck",2025-06-02 00:00:00.000,"Elizabeth N. Mason",890.56
"Paycheck",2025-06-02 00:00:00.000,"Gregg O. Schneider",1033.98
"Paycheck",2025-06-16 00:00:00.000,"Dan T. Miller",1299.6
"Paycheck",2025-06-16 00:00:00.000,"Elizabeth N. Mason",890.57
"Paycheck",2025-06-16 00:00:00.000,"Gregg O. Schneider",1033.99
"Paycheck",2025-06-30 00:00:00.000,"Dan T. Miller",1299.6
"Paycheck",2025-06-30 00:00:00.000,"Elizabeth N. Mason",890.56
"Paycheck",2025-06-30 00:00:00.000,"Gregg O. Schneider",1033.98
"Paycheck",2025-07-14 00:00:00.000,"Dan T. Miller",1299.6
"Paycheck",2025-07-14 00:00:00.000,"Elizabeth N. Mason",890.57
"Paycheck",2025-07-14 00:00:00.000,"Gregg O. Schneider",1033.99
"Paycheck",2025-07-28 00:00:00.000,"Dan T. Miller",1299.61
"Paycheck",2025-07-28 00:00:00.000,"Elizabeth N. Mason",921.28
"Paycheck",2025-07-28 00:00:00.000,"Gregg O. Schneider",1064.05
"Paycheck",2025-08-11 00:00:00.000,"Dan T. Miller",1299.6
"Paycheck",2025-08-11 00:00:00.000,"Elizabeth N. Mason",890.57
"Paycheck",2025-08-11 00:00:00.000,"Gregg O. Schneider",1033.99
"Paycheck",2025-08-25 00:00:00.000,"Dan T. Miller",1299.59
"Paycheck",2025-08-25 00:00:00.000,"Elizabeth N. Mason",937.11
"Paycheck",2025-08-25 00:00:00.000,"Gregg O. Schneider",1079.55
"Credit Card Charge",2025-09-01 00:00:00.000,"Patton Hardware Supplies",1200
"Paycheck",2025-09-08 00:00:00.000,"Dan T. Miller",1299.6
"Paycheck",2025-09-08 00:00:00.000,"Elizabeth N. Mason",890.56
"Paycheck",2025-09-08 00:00:00.000,"Gregg O. Schneider",1033.98
"Credit Card Charge",2025-09-11 00:00:00.000,"Patton Hardware Supplies",259
"Sales Receipt",2025-09-11 00:00:00.000,"Freeman, Kirby:Repairs",770
"Credit Card Charge",2025-09-15 00:00:00.000,"Patton Hardware Supplies",590.39
"Credit Card Charge",2025-09-15 00:00:00.000,"Patton Hardware Supplies",1599
"Credit Card Charge",2025-09-15 00:00:00.000,"Vu Contracting",875
"Credit Card Charge",2025-09-20 00:00:00.000,"Patton Hardware Supplies",2010.89
"Paycheck",2025-09-22 00:00:00.000,"Dan T. Miller",1299.6
"Paycheck",2025-09-22 00:00:00.000,"Elizabeth N. Mason",890.57
"Paycheck",2025-09-22 00:00:00.000,"Gregg O. Schneider",1033.99
"Paycheck",2025-10-06 00:00:00.000,"Dan T. Miller",1299.6
"Paycheck",2025-10-06 00:00:00.000,"Elizabeth N. Mason",890.56
"Paycheck",2025-10-06 00:00:00.000,"Gregg O. Schneider",1033.98
"Credit Card Charge",2025-10-14 00:00:00.000,"Bayshore CalOil Service",23
"Credit Card Charge",2025-10-15 00:00:00.000,"McClain Appliances",1050
"Sales Receipt",2025-10-15 00:00:00.000,"Natiello, Ernesto:Kitchen",717.5
"Paycheck",2025-10-20 00:00:00.000,"Dan T. Miller",1299.61
"Paycheck",2025-10-20 00:00:00.000,"Elizabeth N. Mason",921.25
"Paycheck",2025-10-20 00:00:00.000,"Gregg O. Schneider",1064.03
"Credit Card Charge",2025-10-24 00:00:00.000,"Bayshore CalOil Service",25.28
"Sales Receipt",2025-10-25 00:00:00.000,"Abercrombie, Kristy:Family Room",1067.88
"Sales Receipt",2025-10-27 00:00:00.000,"Ecker Designs:Office Repairs",437.5
"Sales Receipt",2025-10-30 00:00:00.000,"Abercrombie, Kristy:Family Room",743.75
"Paycheck",2025-11-03 00:00:00.000,"Dan T. Miller",1299.6
"Paycheck",2025-11-03 00:00:00.000,"Elizabeth N. Mason",890.57
"Paycheck",2025-11-03 00:00:00.000,"Gregg O. Schneider",1033.99
"Credit Card Charge",2025-11-04 00:00:00.000,"Bayshore CalOil Service",67.23
"Credit Card Charge",2025-11-05 00:00:00.000,"Patton Hardware Supplies",325
"Credit Card Charge",2025-11-17 00:00:00.000,"Bayshore CalOil Service",26.1
"Paycheck",2025-11-17 00:00:00.000,"Dan T. Miller",1324.61
"Paycheck",2025-11-17 00:00:00.000,"Elizabeth N. Mason",962.13
"Paycheck",2025-11-17 00:00:00.000,"Gregg O. Schneider",1108.76
"Credit Card Charge",2025-11-25 00:00:00.000,"Bayshore CalOil Service",18.47
"Sales Receipt",2025-11-29 00:00:00.000,"Ecker Designs:Office Repairs",3150
"Credit Card Charge",2025-11-30 00:00:00.000,"Mendoza Mechanical",25
"Credit Memo",2025-12-01 00:00:00.000,"Abercrombie, Kristy:Remodel Bathroom",-711.15
"Paycheck",2025-12-01 00:00:00.000,"Dan T. Miller",1325.15
"Paycheck",2025-12-01 00:00:00.000,"Elizabeth N. Mason",890.57
"Paycheck",2025-12-01 00:00:00.000,"Gregg O. Schneider",1033.99
"Refund",2025-12-01 00:00:00.000,"Abercrombie, Kristy:Remodel Bathroom",-711.15
"Credit Card Charge",2025-12-03 00:00:00.000,"Bayshore CalOil Service",23.5
"Credit Card Charge",2025-12-10 00:00:00.000,"Express Delivery Service",69.2
"Sales Receipt",2025-12-10 00:00:00.000,"Keenan, Bridget:Sun Room",102.65
"Credit Card Charge",2025-12-12 00:00:00.000,"Bayshore CalOil Service",47.52
"Credit Card Charge",2025-12-15 00:00:00.000,"Bayshore CalOil Service",10.6
"Paycheck",2025-12-15 00:00:00.000,"Dan T. Miller",1299.6
"Paycheck",2025-12-15 00:00:00.000,"Dan T. Miller",1350.15
"Paycheck",2025-12-15 00:00:00.000,"Elizabeth N. Mason",907.92
"Paycheck",2025-12-15 00:00:00.000,"Elizabeth N. Mason",932.92
"Paycheck",2025-12-15 00:00:00.000,"Gregg O. Schneider",1033.98
"Paycheck",2025-12-15 00:00:00.000,"Gregg O. Schneider",1062.12
