Organisation Name,Org Amount Raised,Org Member Count
"Southern Cross Support Services",383.4,15
"Southern Rural Water",867.1,9
"Southern Stay Disability Services",787.7,4
"Southlink Pty Ltd",42,2
"St Agnes Care and Lifestyle",617.8,20
"St Columba's PS Staff",1871.65,6
"St Ives High School",1695.3,10
"St Mary’s Primary School Newborough",7500.15,32
"St Nicholas Early Education Medowie",21,5
"St Paul Apostle North Primary School",1742.85,11
"St Paul's Grammar School",2748.5,10
"St Thomas Aquinas",5280.6,15
"Stamford Champions OneFF2021",2275.95,24
"State School",84,8
"Status Pro Pty Ltd",857.05,7
"Steel-line Garage Doors Australia",3627.6,13
"Stepz Fitness Group",8048.6,28
"Stride Nepean Blue Mountains",42,3
"Student Engagement, Department of Education",227.5,5
"Summerland Credit Union",3577.1,31
"SunDoctors",3152,7
"Support Coordination WA",255.15,7
"Swaab",1079.95,5
"Swan Christian College",332.75,4
"Swan Vet Hospital",2084.2,12
"Swann Business & Taxation",152.5,6
"Swimsafe Murrumbeena",1193.75,6
"TAFE WEST - Bre, Bourke, Cobar & Nyngan",68.25,9
"TB All Stars",345.45,11
"TSA Management",905.7,11
"Taleka",493,5
"Tamborine Mountain State High School",120.75,4
"Team MBK",3228.7,10
"Team TMC",11506.05,20
"The Base Community",5296.8,16
"The Body Shop Elizabeth",1301.95,8
"The Bridge Youth Service",2450.3,10
"The Caringbah Dentists",2344.7,8
"The ECCC Team",281,9
"The Foyer Warrnambool",1037.8,6
"The Geelong Clinic",910.85,3
"The Geelong College",8900.3,18
"The Hot ""Settlements"" Steppers",806.15,7
"The Hub",1596.6,8
"The Literature Factory",434.87,2
"The Mood & Mind Centre",1089.75,8
"The Orchards aged Care",1639.15,11
"The Physio Clinic",1737.15,17
"The Psychology and Therapy Clinic",2200.8,3
"The Speech Tree",1000.3,7
"The Tone Bar",20,6
"The Township",1681.65,8
"The Trawool Estate",125,7
"The Treasury",68.25,6
"The Turf Farm",26.25,2
"The Vault Bookkeeping Pty Ltd",3350.6,8
"The Velvet Parlour",728.25,3
"The Y St Francis Xavier - OSHC",350.75,4
"The bod society",447.4,6
"Therapy & Recovery",3261.3,10
"Thrive Community Services",2617.19,20
"Thrive Health and Nutrition",177.45,3
"Tip Top Bakeries",18102.5,86
"Tisher Liner FC Law",11175.7,40
"Today",2918.53,14
"Toogoolawah pharmacy",502.5,3
"Traffix Group",824.7,12
"Transport Team",195.75,9
"Treadwell Group Pty Ltd",159.75,3
"Trekk Advisory",4562.45,18
"TriCollective",2189.45,9
"Triaxial Consulting",8885.45,31
"True Potential Chiropractic",652.5,4
"Tumby Bay Foodland",665.75,12
"Tutch/ Between The Flags",2114,22
"Tyremax Pty Ltd",25106.38,57
"UNSW",3604.25,26
"UPPERCUTS",1408,6
"USG Boral",4654.97,14
"USG Boral Pinkenba",693.9,2
"Union House Theatre",1412,5
"Uniting",3741.65,20
"Unmind",1282.1,6
"Uppercut",2487.6,11
"Ursula Frayne Centre",908,11
"Valvoline",8554.03,24
"Velrada",1770.35,25
"VentureVibe",1434.9,3
"Vesparum",5282.25,11
"Visy Board NSW",9835.4,9
"Vitasoy Australia Products",1228.8,8
"Vivacity Coaching and Consulting",170,7
"WAPHA Midwest",21,7
"WORK180",1330.65,9
"WRM",237.45,10
"WSC Group",2357.35,26
"Wagga Wagga City Council",3167.15,23
"Wallis Social Research",13230.15,14
"Warida Wholistic Wellness",21,5
"Warrikal",6329.55,11
"Warwick Friendly Society Health Centre Pharmacy",1677.7,10
"Wellpets Kallangur",1095.7,14
"Wellways Australia",430.5,8
"Wellways Frankston",1101.4,19
"West Blacktown Veterinary Clinic",4617.45,11
"Western District Health Service",210.75,7
"Westernport Veterinary clinic",533.2,9
"Westgate community initiatives group (wcig)",626.9,8
"Westpac Banking Group",3350.9,15
"Westpac Workstream 6 DREAM TEAM",1855.7,10
"William Adams",799.2,4
"William Buck",30002.95,36
"Wisdom Learning",3999.55,9
"Wise institute",463.1,3
"Wollongong Community Corrections",646.25,6
"Women Assist Counselling",1029.7,6
"Women walk for mental health",4128.25,14
"Woolworths Mundaring",8175.2,15
"WorkAbility Rehab Pty Ltd",486.75,5
"XAM Consulting",1107.2,16
"YBM",1117.55,12
"YHA Ltd",10799.23,55
"YMCA Northern Beaches & Hills OSHC services",193.75,24
"Yarri Libraries Crew",2461.65,7
"Year 11 (CVAS)",676.5,21
"Your Employment Solutions",2051.3,17
"Your Energy Saving Solutions",830.65,14
"Yukon Electrical",538.9,3
"[axr] Recruitment & Search",4410.79,18
"ePac Flexibles Melbourne Pty Ltd",2164.4,7
"iQ Construct",232.2,14
"mmw3degrees",2478.3,10
"“ Wacky, Wily Walkers for Wellness”",3282.45,20
"121 Supports Hunter",40.95,1
"13SQN AMS",89.25,1
"AON Group",5,1
"Aioi Nissay Dowa Insurance Australia",15.75,1
"Amocon",21,1
"AnglicareCQ",140,1
"Bakers Air Conditioning and Mechanical",365.5,1
"Beyond Points - Mindset Matters",210.95,1
"Bolton Clark Fairways",31.5,1
"Bracken Ridge Little Athletics",81.9,1
"Bupa Aged Care",40.95,1
"CVO Surface Operations",147,1
"Carealot",68.25,1
"Clinton State School",20,1
"CoMHWA",78.75,1
"Coles Kellyville",2.1,1
"Collie Senior High School",65,1
"Cook Family & Friends",94.5,1
"Core Medical",323.65,1
"Cutting Edge Designs - Supporting Mental Heath Awearness",21,1
"Drywallplasterersaustralia",1076.5,1
"ECLIPSE Consulting Engineers",3117.7,1
"EPA Victoria - South Metro Region",102.5,1
"Eudlo State School",21,1
"ExxonMobil",52.5,1
"Funraisin",26,1
"Garvan Institute of Medical Research",10.5,1
"Global Skills",225.75,1
"Governance and Internal Control",283.75,1
"Grant2 Funraisin",20,1
"HBHS Well-being Team",40.95,1
"Hewitt House",2510.1,1
"Home",60.5,1
"Impact Driven",49.5,1
"Ingham State High School",134.3,1
"Intuit Quickbooks AU",105,1
"JLL Capital Markets",42,1
"Jetts Rivervale",819.09,1
"Little Star Speech Therapy",636.75,1
"Lugarno Public School",31.5,1
"MGE INDUSTRIAL CLEANING SUPPLIES",52.5,1
"MRHS",279.2,1
"Making Waves Nutrition Bar",21,1
"Manly Village Medical",10.5,1
"McCormacks Strata Management",40.95,1
"Moama Police",26.25,1
"Murtoa Neighbourhood House",246.75,1
"Nil",42,1
"North Hill Veterinary Clinic",147,1
"North West Garden  & Property Services",250,1
"Nurturing Minds Psychology",530.2,1
"Pure Boxing",52.5,1
"Regional Development Victoria - Barwon South West",87.15,1
"Roar Agency",10.5,1
"Rosella House",40.95,1
"Rush Hour Australia",1280.05,1
"Silver Chain",518.95,1
"Sirromet Wines",323.5,1
"SixPivot Pty Ltd",40.95,1
"Sofra Brunswick t/a OK POP UP",164.95,1
"St Andrews Christian College",155,1
"St John XXIII Primary School",52.5,1
"Sutherland Shire Counselling",40.95,1
"TSA Advisory",158.7,1
"Team G Bowlo",20,1
"Team GDN",10.5,1
"The Newcastle Food and Flower Markets",136.5,1
"The Physio Lounge",1787.1,1
"The Source Holistic Therapies",65,1
"There’s no shame",420,1
"Treasury Wine Estates",152.25,1
"Tweed Hospital NSW HEALTH",157.5,1
"Twisted tulip",115,1
"Two Beers Please",649.61,1
"Waco Kwikform",197,1
"Winterwares",50,1
"YRSConnected",439.95,1
"tabitha6864",10.5,1
