state_postal_abbr,year,property_type,stolen_value,recovered_value
"TX",2015,"",115787,83056
"CO",2015,"",64701,1
"TN",2015,"",480653,183501
"TX",2015,"",380049,108528
"TX",2015,"",1500,1500
"FL",2015,"",235580,50000
"ND",2015,"",105000,105000
"SD",2015,"",118600,3600
"TN",2015,"",1075999,135320
"TX",2015,"",1026241,400630
"VA",2015,"",1161600,1160000
"MT",2015,"",6,6
"TX",2015,"",180425,29800
"TX",2015,"",488507,45693
"TN",2015,"",200000,80000
"FL",2015,"",1484181,625000
"TN",2015,"",38197,265
"TX",2015,"",1976075,520816
"FL",2015,"",538188,350160
"MI",2015,"",463106,95000
"TN",2015,"",5809867,141049
"TX",2015,"",8628121,2254546
"MI",2015,"",9200,1000
"FL",2015,"",192000,50000
"FL",2015,"",166727,100000
"TN",2015,"",190449,146000
"TX",2015,"",237864,53762
