Store,Date,variable,value
42,2011-12-23 00:00:00.000,MarkDown4,
33,2012-04-06 00:00:00.000,MarkDown4,
28,2013-07-05 00:00:00.000,MarkDown4,14917.43
27,2011-05-06 00:00:00.000,MarkDown4,
41,2011-06-24 00:00:00.000,MarkDown4,
7,2010-07-30 00:00:00.000,MarkDown4,
25,2012-07-27 00:00:00.000,MarkDown4,2505.39
17,2010-02-12 00:00:00.000,MarkDown4,
7,2012-03-30 00:00:00.000,MarkDown4,385.22
5,2010-05-14 00:00:00.000,MarkDown4,
39,2010-12-24 00:00:00.000,MarkDown4,
19,2010-02-26 00:00:00.000,MarkDown4,
28,2011-03-11 00:00:00.000,MarkDown4,
40,2012-04-13 00:00:00.000,MarkDown4,1320.78
13,2011-04-29 00:00:00.000,MarkDown4,
18,2011-08-26 00:00:00.000,MarkDown4,
25,2010-06-25 00:00:00.000,MarkDown4,
34,2011-10-21 00:00:00.000,MarkDown4,
16,2012-04-13 00:00:00.000,MarkDown4,214.95
5,2012-04-27 00:00:00.000,MarkDown4,33.35
26,2011-11-04 00:00:00.000,MarkDown4,
3,2011-11-18 00:00:00.000,MarkDown4,865.09
40,2012-05-04 00:00:00.000,MarkDown4,3129.14
42,2013-03-15 00:00:00.000,MarkDown4,
6,2011-05-13 00:00:00.000,MarkDown4,
37,2013-05-10 00:00:00.000,MarkDown4,
38,2011-01-14 00:00:00.000,MarkDown4,
40,2011-05-27 00:00:00.000,MarkDown4,
12,2012-02-24 00:00:00.000,MarkDown4,2401.22
7,2010-08-20 00:00:00.000,MarkDown4,
3,2012-02-10 00:00:00.000,MarkDown4,2144.87
32,2012-06-29 00:00:00.000,MarkDown4,798.18
2,2012-05-25 00:00:00.000,MarkDown4,3595.04
35,2012-08-03 00:00:00.000,MarkDown4,21249.14
17,2012-05-04 00:00:00.000,MarkDown4,2709.84
9,2012-09-07 00:00:00.000,MarkDown4,602.8
39,2011-12-09 00:00:00.000,MarkDown4,1354.79
33,2012-10-12 00:00:00.000,MarkDown4,
27,2010-08-20 00:00:00.000,MarkDown4,
14,2011-12-09 00:00:00.000,MarkDown4,4849.0
35,2011-03-25 00:00:00.000,MarkDown4,
31,2011-11-18 00:00:00.000,MarkDown4,462.18
45,2010-07-30 00:00:00.000,MarkDown4,
4,2011-09-30 00:00:00.000,MarkDown4,
35,2010-04-16 00:00:00.000,MarkDown4,
39,2012-07-06 00:00:00.000,MarkDown4,5163.63
39,2010-08-06 00:00:00.000,MarkDown4,
16,2011-10-14 00:00:00.000,MarkDown4,
29,2011-10-21 00:00:00.000,MarkDown4,
32,2012-03-23 00:00:00.000,MarkDown4,3324.67
11,2013-05-03 00:00:00.000,MarkDown4,1475.16
8,2010-07-16 00:00:00.000,MarkDown4,
7,2012-09-07 00:00:00.000,MarkDown4,817.15
45,2011-07-15 00:00:00.000,MarkDown4,
21,2010-10-29 00:00:00.000,MarkDown4,
8,2012-09-07 00:00:00.000,MarkDown4,1177.09
22,2011-11-04 00:00:00.000,MarkDown4,
45,2012-03-02 00:00:00.000,MarkDown4,13317.88
7,2012-03-23 00:00:00.000,MarkDown4,293.35
23,2011-11-18 00:00:00.000,MarkDown4,529.68
43,2011-03-25 00:00:00.000,MarkDown4,
44,2012-11-23 00:00:00.000,MarkDown4,
39,2013-02-15 00:00:00.000,MarkDown4,5129.55
38,2011-05-20 00:00:00.000,MarkDown4,
28,2012-02-10 00:00:00.000,MarkDown4,16822.46
19,2010-09-03 00:00:00.000,MarkDown4,
19,2011-04-01 00:00:00.000,MarkDown4,
29,2012-10-19 00:00:00.000,MarkDown4,194.24
30,2012-04-27 00:00:00.000,MarkDown4,
20,2010-02-12 00:00:00.000,MarkDown4,
9,2012-07-13 00:00:00.000,MarkDown4,47.76
3,2011-06-24 00:00:00.000,MarkDown4,
18,2012-05-18 00:00:00.000,MarkDown4,868.98
27,2011-02-18 00:00:00.000,MarkDown4,
24,2010-05-21 00:00:00.000,MarkDown4,
2,2012-01-20 00:00:00.000,MarkDown4,1703.1
29,2012-04-20 00:00:00.000,MarkDown4,234.05
28,2012-04-20 00:00:00.000,MarkDown4,657.56
23,2011-09-30 00:00:00.000,MarkDown4,
12,2012-10-26 00:00:00.000,MarkDown4,2402.63
12,2012-11-16 00:00:00.000,MarkDown4,6519.99
20,2010-05-07 00:00:00.000,MarkDown4,
25,2011-05-20 00:00:00.000,MarkDown5,
44,2011-12-23 00:00:00.000,MarkDown5,746.84
20,2012-12-14 00:00:00.000,MarkDown5,2840.88
25,2012-04-27 00:00:00.000,MarkDown5,1828.28
36,2010-09-17 00:00:00.000,MarkDown5,
41,2013-06-21 00:00:00.000,MarkDown5,2711.71
14,2011-10-21 00:00:00.000,MarkDown5,
36,2012-05-25 00:00:00.000,MarkDown5,1767.58
36,2013-01-25 00:00:00.000,MarkDown5,928.12
41,2012-02-03 00:00:00.000,MarkDown5,6379.49
22,2013-05-17 00:00:00.000,MarkDown5,2815.92
9,2012-05-04 00:00:00.000,MarkDown5,647.76
38,2012-11-30 00:00:00.000,MarkDown5,1462.35
9,2012-11-02 00:00:00.000,MarkDown5,1347.79
28,2013-01-04 00:00:00.000,MarkDown5,4848.03
24,2010-08-20 00:00:00.000,MarkDown5,
7,2012-04-06 00:00:00.000,MarkDown5,3500.91
10,2012-09-21 00:00:00.000,MarkDown5,7950.03
42,2011-12-23 00:00:00.000,MarkDown5,939.49
33,2012-04-06 00:00:00.000,MarkDown5,321.7
28,2013-07-05 00:00:00.000,MarkDown5,1655.99
27,2011-05-06 00:00:00.000,MarkDown5,
41,2011-06-24 00:00:00.000,MarkDown5,
7,2010-07-30 00:00:00.000,MarkDown5,
25,2012-07-27 00:00:00.000,MarkDown5,1521.67
17,2010-02-12 00:00:00.000,MarkDown5,
7,2012-03-30 00:00:00.000,MarkDown5,1666.6
5,2010-05-14 00:00:00.000,MarkDown5,
39,2010-12-24 00:00:00.000,MarkDown5,
19,2010-02-26 00:00:00.000,MarkDown5,
28,2011-03-11 00:00:00.000,MarkDown5,
40,2012-04-13 00:00:00.000,MarkDown5,1820.75
13,2011-04-29 00:00:00.000,MarkDown5,
18,2011-08-26 00:00:00.000,MarkDown5,
25,2010-06-25 00:00:00.000,MarkDown5,
34,2011-10-21 00:00:00.000,MarkDown5,
16,2012-04-13 00:00:00.000,MarkDown5,1983.5
5,2012-04-27 00:00:00.000,MarkDown5,2598.67
26,2011-11-04 00:00:00.000,MarkDown5,
3,2011-11-18 00:00:00.000,MarkDown5,2926.05
40,2012-05-04 00:00:00.000,MarkDown5,3364.41
42,2013-03-15 00:00:00.000,MarkDown5,1128.4
6,2011-05-13 00:00:00.000,MarkDown5,
37,2013-05-10 00:00:00.000,MarkDown5,1835.48
38,2011-01-14 00:00:00.000,MarkDown5,
40,2011-05-27 00:00:00.000,MarkDown5,
12,2012-02-24 00:00:00.000,MarkDown5,5131.37
7,2010-08-20 00:00:00.000,MarkDown5,
3,2012-02-10 00:00:00.000,MarkDown5,2577.83
32,2012-06-29 00:00:00.000,MarkDown5,2945.01
2,2012-05-25 00:00:00.000,MarkDown5,14920.27
35,2012-08-03 00:00:00.000,MarkDown5,2079.74
17,2012-05-04 00:00:00.000,MarkDown5,1859.33
9,2012-09-07 00:00:00.000,MarkDown5,1377.59
39,2011-12-09 00:00:00.000,MarkDown5,22649.7
33,2012-10-12 00:00:00.000,MarkDown5,590.43
27,2010-08-20 00:00:00.000,MarkDown5,
14,2011-12-09 00:00:00.000,MarkDown5,7509.9
35,2011-03-25 00:00:00.000,MarkDown5,
31,2011-11-18 00:00:00.000,MarkDown5,12533.58
45,2010-07-30 00:00:00.000,MarkDown5,
4,2011-09-30 00:00:00.000,MarkDown5,
35,2010-04-16 00:00:00.000,MarkDown5,
39,2012-07-06 00:00:00.000,MarkDown5,108519.28
39,2010-08-06 00:00:00.000,MarkDown5,
16,2011-10-14 00:00:00.000,MarkDown5,
29,2011-10-21 00:00:00.000,MarkDown5,
32,2012-03-23 00:00:00.000,MarkDown5,3312.99
11,2013-05-03 00:00:00.000,MarkDown5,2336.52
8,2010-07-16 00:00:00.000,MarkDown5,
7,2012-09-07 00:00:00.000,MarkDown5,2158.82
45,2011-07-15 00:00:00.000,MarkDown5,
21,2010-10-29 00:00:00.000,MarkDown5,
8,2012-09-07 00:00:00.000,MarkDown5,2831.4
22,2011-11-04 00:00:00.000,MarkDown5,
45,2012-03-02 00:00:00.000,MarkDown5,2560.48
7,2012-03-23 00:00:00.000,MarkDown5,1493.28
23,2011-11-18 00:00:00.000,MarkDown5,5284.63
43,2011-03-25 00:00:00.000,MarkDown5,
44,2012-11-23 00:00:00.000,MarkDown5,736.13
39,2013-02-15 00:00:00.000,MarkDown5,23963.38
38,2011-05-20 00:00:00.000,MarkDown5,
28,2012-02-10 00:00:00.000,MarkDown5,8228.86
19,2010-09-03 00:00:00.000,MarkDown5,
19,2011-04-01 00:00:00.000,MarkDown5,
29,2012-10-19 00:00:00.000,MarkDown5,3821.21
30,2012-04-27 00:00:00.000,MarkDown5,1112.14
20,2010-02-12 00:00:00.000,MarkDown5,
9,2012-07-13 00:00:00.000,MarkDown5,4554.39
3,2011-06-24 00:00:00.000,MarkDown5,
18,2012-05-18 00:00:00.000,MarkDown5,2396.74
27,2011-02-18 00:00:00.000,MarkDown5,
24,2010-05-21 00:00:00.000,MarkDown5,
2,2012-01-20 00:00:00.000,MarkDown5,3376.03
29,2012-04-20 00:00:00.000,MarkDown5,1581.26
28,2012-04-20 00:00:00.000,MarkDown5,4674.67
23,2011-09-30 00:00:00.000,MarkDown5,
12,2012-10-26 00:00:00.000,MarkDown5,4813.93
12,2012-11-16 00:00:00.000,MarkDown5,5196.47
20,2010-05-07 00:00:00.000,MarkDown5,
25,2011-05-20 00:00:00.000,CPI,208.7583165
44,2011-12-23 00:00:00.000,CPI,129.9845484
20,2012-12-14 00:00:00.000,CPI,216.3629276
25,2012-04-27 00:00:00.000,CPI,214.4223063
36,2010-09-17 00:00:00.000,CPI,210.2924504
41,2013-06-21 00:00:00.000,CPI,0.0
14,2011-10-21 00:00:00.000,CPI,187.7846197
36,2012-05-25 00:00:00.000,CPI,220.4287124
36,2013-01-25 00:00:00.000,CPI,222.9032296
41,2012-02-03 00:00:00.000,CPI,196.8728921
22,2013-05-17 00:00:00.000,CPI,0.0
9,2012-05-04 00:00:00.000,CPI,225.4227585
38,2012-11-30 00:00:00.000,CPI,131.4275333
9,2012-11-02 00:00:00.000,CPI,227.2513257
28,2013-01-04 00:00:00.000,CPI,131.852
24,2010-08-20 00:00:00.000,CPI,132.6616129
7,2012-04-06 00:00:00.000,CPI,197.5971285
10,2012-09-21 00:00:00.000,CPI,131.0103333
42,2011-12-23 00:00:00.000,CPI,129.9845484
33,2012-04-06 00:00:00.000,CPI,131.0375484
28,2013-07-05 00:00:00.000,CPI,0.0
27,2011-05-06 00:00:00.000,CPI,138.4131202
41,2011-06-24 00:00:00.000,CPI,192.9982655
7,2010-07-30 00:00:00.000,CPI,189.9368504
25,2012-07-27 00:00:00.000,CPI,214.7382432
17,2010-02-12 00:00:00.000,CPI,126.4962581
7,2012-03-30 00:00:00.000,CPI,197.4133259
5,2010-05-14 00:00:00.000,CPI,210.8872772
39,2010-12-24 00:00:00.000,CPI,210.1805602
19,2010-02-26 00:00:00.000,CPI,131.686
28,2011-03-11 00:00:00.000,CPI,128.3995
40,2012-04-13 00:00:00.000,CPI,137.868
13,2011-04-29 00:00:00.000,CPI,128.9998667
18,2011-08-26 00:00:00.000,CPI,136.2136129
25,2010-06-25 00:00:00.000,CPI,204.5675459
34,2011-10-21 00:00:00.000,CPI,129.7821613
16,2012-04-13 00:00:00.000,CPI,197.780931
5,2012-04-27 00:00:00.000,CPI,222.2053519
26,2011-11-04 00:00:00.000,CPI,136.475129
3,2011-11-18 00:00:00.000,CPI,221.6432852
40,2012-05-04 00:00:00.000,CPI,138.0332
42,2013-03-15 00:00:00.000,CPI,132.4668065
6,2011-05-13 00:00:00.000,CPI,217.5247882
37,2013-05-10 00:00:00.000,CPI,0.0
38,2011-01-14 00:00:00.000,CPI,127.3009355
40,2011-05-27 00:00:00.000,CPI,134.7677742
12,2012-02-24 00:00:00.000,CPI,130.5502069
7,2010-08-20 00:00:00.000,CPI,190.2948237
3,2012-02-10 00:00:00.000,CPI,223.753643
32,2012-06-29 00:00:00.000,CPI,197.785577
2,2012-05-25 00:00:00.000,CPI,221.3828029
35,2012-08-03 00:00:00.000,CPI,142.1916279
17,2012-05-04 00:00:00.000,CPI,131.136
9,2012-09-07 00:00:00.000,CPI,226.2103541
39,2011-12-09 00:00:00.000,CPI,217.6645878
33,2012-10-12 00:00:00.000,CPI,131.1083333
27,2010-08-20 00:00:00.000,CPI,136.5249182
14,2011-12-09 00:00:00.000,CPI,188.6544692
35,2011-03-25 00:00:00.000,CPI,137.8478929
31,2011-11-18 00:00:00.000,CPI,217.8670218
45,2010-07-30 00:00:00.000,CPI,182.4415378
4,2011-09-30 00:00:00.000,CPI,129.6060667
35,2010-04-16 00:00:00.000,CPI,135.82725
39,2012-07-06 00:00:00.000,CPI,220.567112
39,2010-08-06 00:00:00.000,CPI,210.2614925
16,2011-10-14 00:00:00.000,CPI,195.0261012
29,2011-10-21 00:00:00.000,CPI,136.5017742
32,2012-03-23 00:00:00.000,CPI,197.2295234
11,2013-05-03 00:00:00.000,CPI,0.0
8,2010-07-16 00:00:00.000,CPI,214.4640599
7,2012-09-07 00:00:00.000,CPI,198.0950484
45,2011-07-15 00:00:00.000,CPI,186.1399808
21,2010-10-29 00:00:00.000,CPI,211.5661131
8,2012-09-07 00:00:00.000,CPI,226.0153733
22,2011-11-04 00:00:00.000,CPI,140.4279758
45,2012-03-02 00:00:00.000,CPI,190.1714927
7,2012-03-23 00:00:00.000,CPI,197.2295234
23,2011-11-18 00:00:00.000,CPI,136.4666667
43,2011-03-25 00:00:00.000,CPI,206.4496175
44,2012-11-23 00:00:00.000,CPI,131.3766667
39,2013-02-15 00:00:00.000,CPI,222.9512794
38,2011-05-20 00:00:00.000,CPI,129.0756774
28,2012-02-10 00:00:00.000,CPI,130.3849032
19,2010-09-03 00:00:00.000,CPI,132.7248387
19,2011-04-01 00:00:00.000,CPI,134.0682581
29,2012-10-19 00:00:00.000,CPI,138.8336129
30,2012-04-27 00:00:00.000,CPI,221.255812
20,2010-02-12 00:00:00.000,CPI,204.3857472
9,2012-07-13 00:00:00.000,CPI,225.6771463
3,2011-06-24 00:00:00.000,CPI,218.45094
18,2012-05-18 00:00:00.000,CPI,138.1065806
27,2011-02-18 00:00:00.000,CPI,137.2511849
24,2010-05-21 00:00:00.000,CPI,132.2230323
2,2012-01-20 00:00:00.000,CPI,219.6258417
29,2012-04-20 00:00:00.000,CPI,137.9230667
28,2012-04-20 00:00:00.000,CPI,131.1173333
23,2011-09-30 00:00:00.000,CPI,136.4195
12,2012-10-26 00:00:00.000,CPI,131.1930968
12,2012-11-16 00:00:00.000,CPI,131.3258
20,2010-05-07 00:00:00.000,CPI,203.6101784
25,2011-05-20 00:00:00.000,Unemployment,7.287
44,2011-12-23 00:00:00.000,Unemployment,6.078
20,2012-12-14 00:00:00.000,Unemployment,7.293
25,2012-04-27 00:00:00.000,Unemployment,7.139
36,2010-09-17 00:00:00.000,Unemployment,8.36
41,2013-06-21 00:00:00.000,Unemployment,
14,2011-10-21 00:00:00.000,Unemployment,8.523
36,2012-05-25 00:00:00.000,Unemployment,6.989
36,2013-01-25 00:00:00.000,Unemployment,6.266
41,2012-02-03 00:00:00.000,Unemployment,6.589
22,2013-05-17 00:00:00.000,Unemployment,
9,2012-05-04 00:00:00.000,Unemployment,5.539
38,2012-11-30 00:00:00.000,Unemployment,10.199
9,2012-11-02 00:00:00.000,Unemployment,4.954
28,2013-01-04 00:00:00.000,Unemployment,9.91
24,2010-08-20 00:00:00.000,Unemployment,8.117
7,2012-04-06 00:00:00.000,Unemployment,8.09
10,2012-09-21 00:00:00.000,Unemployment,7.17
42,2011-12-23 00:00:00.000,Unemployment,7.874
33,2012-04-06 00:00:00.000,Unemployment,7.396
28,2013-07-05 00:00:00.000,Unemployment,
27,2011-05-06 00:00:00.000,Unemployment,7.725
41,2011-06-24 00:00:00.000,Unemployment,6.934
7,2010-07-30 00:00:00.000,Unemployment,9.017
25,2012-07-27 00:00:00.000,Unemployment,7.28
17,2010-02-12 00:00:00.000,Unemployment,6.548
7,2012-03-30 00:00:00.000,Unemployment,8.256
5,2010-05-14 00:00:00.000,Unemployment,6.465
39,2010-12-24 00:00:00.000,Unemployment,8.476
19,2010-02-26 00:00:00.000,Unemployment,8.35
28,2011-03-11 00:00:00.000,Unemployment,14.021
40,2012-04-13 00:00:00.000,Unemployment,4.125
13,2011-04-29 00:00:00.000,Unemployment,7.193
18,2011-08-26 00:00:00.000,Unemployment,8.89
25,2010-06-25 00:00:00.000,Unemployment,7.856
34,2011-10-21 00:00:00.000,Unemployment,10.148
16,2012-04-13 00:00:00.000,Unemployment,6.169
5,2012-04-27 00:00:00.000,Unemployment,5.801
26,2011-11-04 00:00:00.000,Unemployment,7.598
3,2011-11-18 00:00:00.000,Unemployment,7.197
40,2012-05-04 00:00:00.000,Unemployment,4.125
42,2013-03-15 00:00:00.000,Unemployment,6.897
6,2011-05-13 00:00:00.000,Unemployment,6.855
37,2013-05-10 00:00:00.000,Unemployment,
38,2011-01-14 00:00:00.000,Unemployment,14.021
40,2011-05-27 00:00:00.000,Unemployment,4.781
12,2012-02-24 00:00:00.000,Unemployment,12.187
7,2010-08-20 00:00:00.000,Unemployment,9.017
3,2012-02-10 00:00:00.000,Unemployment,6.833
32,2012-06-29 00:00:00.000,Unemployment,8.09
2,2012-05-25 00:00:00.000,Unemployment,6.891
35,2012-08-03 00:00:00.000,Unemployment,8.839
17,2012-05-04 00:00:00.000,Unemployment,6.235
9,2012-09-07 00:00:00.000,Unemployment,5.277
39,2011-12-09 00:00:00.000,Unemployment,7.716
33,2012-10-12 00:00:00.000,Unemployment,6.895
27,2010-08-20 00:00:00.000,Unemployment,7.982
14,2011-12-09 00:00:00.000,Unemployment,8.523
35,2011-03-25 00:00:00.000,Unemployment,8.549
31,2011-11-18 00:00:00.000,Unemployment,7.441
45,2010-07-30 00:00:00.000,Unemployment,8.743
4,2011-09-30 00:00:00.000,Unemployment,5.644
35,2010-04-16 00:00:00.000,Unemployment,9.051
39,2012-07-06 00:00:00.000,Unemployment,6.623
39,2010-08-06 00:00:00.000,Unemployment,8.36
16,2011-10-14 00:00:00.000,Unemployment,6.232
29,2011-10-21 00:00:00.000,Unemployment,9.357
32,2012-03-23 00:00:00.000,Unemployment,8.256
11,2013-05-03 00:00:00.000,Unemployment,
8,2010-07-16 00:00:00.000,Unemployment,6.315
7,2012-09-07 00:00:00.000,Unemployment,7.872
45,2011-07-15 00:00:00.000,Unemployment,8.625
21,2010-10-29 00:00:00.000,Unemployment,8.163
8,2012-09-07 00:00:00.000,Unemployment,5.401
22,2011-11-04 00:00:00.000,Unemployment,7.706
45,2012-03-02 00:00:00.000,Unemployment,8.424
7,2012-03-23 00:00:00.000,Unemployment,8.256
23,2011-11-18 00:00:00.000,Unemployment,4.42
43,2011-03-25 00:00:00.000,Unemployment,10.398
44,2012-11-23 00:00:00.000,Unemployment,5.217
39,2013-02-15 00:00:00.000,Unemployment,6.266
38,2011-05-20 00:00:00.000,Unemployment,13.736
28,2012-02-10 00:00:00.000,Unemployment,12.187
19,2010-09-03 00:00:00.000,Unemployment,8.099
19,2011-04-01 00:00:00.000,Unemployment,7.658
29,2012-10-19 00:00:00.000,Unemployment,9.151
30,2012-04-27 00:00:00.000,Unemployment,6.891
20,2010-02-12 00:00:00.000,Unemployment,8.187
9,2012-07-13 00:00:00.000,Unemployment,5.277
3,2011-06-24 00:00:00.000,Unemployment,7.574
18,2012-05-18 00:00:00.000,Unemployment,8.304
27,2011-02-18 00:00:00.000,Unemployment,7.827
24,2010-05-21 00:00:00.000,Unemployment,8.211
2,2012-01-20 00:00:00.000,Unemployment,7.057
29,2012-04-20 00:00:00.000,Unemployment,9.14
28,2012-04-20 00:00:00.000,Unemployment,11.627
23,2011-09-30 00:00:00.000,Unemployment,4.584
12,2012-10-26 00:00:00.000,Unemployment,10.199
12,2012-11-16 00:00:00.000,Unemployment,10.199
20,2010-05-07 00:00:00.000,Unemployment,7.856
25,2011-05-20 00:00:00.000,IsHoliday,0.0
44,2011-12-23 00:00:00.000,IsHoliday,0.0
20,2012-12-14 00:00:00.000,IsHoliday,0.0
25,2012-04-27 00:00:00.000,IsHoliday,0.0
36,2010-09-17 00:00:00.000,IsHoliday,0.0
41,2013-06-21 00:00:00.000,IsHoliday,0.0
14,2011-10-21 00:00:00.000,IsHoliday,0.0
36,2012-05-25 00:00:00.000,IsHoliday,0.0
36,2013-01-25 00:00:00.000,IsHoliday,0.0
41,2012-02-03 00:00:00.000,IsHoliday,0.0
22,2013-05-17 00:00:00.000,IsHoliday,0.0
9,2012-05-04 00:00:00.000,IsHoliday,0.0
38,2012-11-30 00:00:00.000,IsHoliday,0.0
9,2012-11-02 00:00:00.000,IsHoliday,0.0
28,2013-01-04 00:00:00.000,IsHoliday,0.0
24,2010-08-20 00:00:00.000,IsHoliday,0.0
7,2012-04-06 00:00:00.000,IsHoliday,0.0
10,2012-09-21 00:00:00.000,IsHoliday,0.0
42,2011-12-23 00:00:00.000,IsHoliday,0.0
33,2012-04-06 00:00:00.000,IsHoliday,0.0
28,2013-07-05 00:00:00.000,IsHoliday,0.0
27,2011-05-06 00:00:00.000,IsHoliday,0.0
41,2011-06-24 00:00:00.000,IsHoliday,0.0
7,2010-07-30 00:00:00.000,IsHoliday,0.0
25,2012-07-27 00:00:00.000,IsHoliday,0.0
17,2010-02-12 00:00:00.000,IsHoliday,1.0
7,2012-03-30 00:00:00.000,IsHoliday,0.0
5,2010-05-14 00:00:00.000,IsHoliday,0.0
39,2010-12-24 00:00:00.000,IsHoliday,0.0
19,2010-02-26 00:00:00.000,IsHoliday,0.0
28,2011-03-11 00:00:00.000,IsHoliday,0.0
40,2012-04-13 00:00:00.000,IsHoliday,0.0
13,2011-04-29 00:00:00.000,IsHoliday,0.0
18,2011-08-26 00:00:00.000,IsHoliday,0.0
25,2010-06-25 00:00:00.000,IsHoliday,0.0
34,2011-10-21 00:00:00.000,IsHoliday,0.0
16,2012-04-13 00:00:00.000,IsHoliday,0.0
5,2012-04-27 00:00:00.000,IsHoliday,0.0
26,2011-11-04 00:00:00.000,IsHoliday,0.0
3,2011-11-18 00:00:00.000,IsHoliday,0.0
40,2012-05-04 00:00:00.000,IsHoliday,0.0
42,2013-03-15 00:00:00.000,IsHoliday,0.0
6,2011-05-13 00:00:00.000,IsHoliday,0.0
37,2013-05-10 00:00:00.000,IsHoliday,0.0
38,2011-01-14 00:00:00.000,IsHoliday,0.0
40,2011-05-27 00:00:00.000,IsHoliday,0.0
12,2012-02-24 00:00:00.000,IsHoliday,0.0
7,2010-08-20 00:00:00.000,IsHoliday,0.0
3,2012-02-10 00:00:00.000,IsHoliday,1.0
32,2012-06-29 00:00:00.000,IsHoliday,0.0
2,2012-05-25 00:00:00.000,IsHoliday,0.0
35,2012-08-03 00:00:00.000,IsHoliday,0.0
17,2012-05-04 00:00:00.000,IsHoliday,0.0
9,2012-09-07 00:00:00.000,IsHoliday,1.0
39,2011-12-09 00:00:00.000,IsHoliday,0.0
33,2012-10-12 00:00:00.000,IsHoliday,0.0
27,2010-08-20 00:00:00.000,IsHoliday,0.0
14,2011-12-09 00:00:00.000,IsHoliday,0.0
35,2011-03-25 00:00:00.000,IsHoliday,0.0
31,2011-11-18 00:00:00.000,IsHoliday,0.0
45,2010-07-30 00:00:00.000,IsHoliday,0.0
4,2011-09-30 00:00:00.000,IsHoliday,0.0
35,2010-04-16 00:00:00.000,IsHoliday,0.0
39,2012-07-06 00:00:00.000,IsHoliday,0.0
39,2010-08-06 00:00:00.000,IsHoliday,0.0
16,2011-10-14 00:00:00.000,IsHoliday,0.0
29,2011-10-21 00:00:00.000,IsHoliday,0.0
32,2012-03-23 00:00:00.000,IsHoliday,0.0
11,2013-05-03 00:00:00.000,IsHoliday,0.0
8,2010-07-16 00:00:00.000,IsHoliday,0.0
7,2012-09-07 00:00:00.000,IsHoliday,1.0
45,2011-07-15 00:00:00.000,IsHoliday,0.0
21,2010-10-29 00:00:00.000,IsHoliday,0.0
8,2012-09-07 00:00:00.000,IsHoliday,1.0
22,2011-11-04 00:00:00.000,IsHoliday,0.0
45,2012-03-02 00:00:00.000,IsHoliday,0.0
7,2012-03-23 00:00:00.000,IsHoliday,0.0
23,2011-11-18 00:00:00.000,IsHoliday,0.0
43,2011-03-25 00:00:00.000,IsHoliday,0.0
44,2012-11-23 00:00:00.000,IsHoliday,1.0
39,2013-02-15 00:00:00.000,IsHoliday,0.0
38,2011-05-20 00:00:00.000,IsHoliday,0.0
28,2012-02-10 00:00:00.000,IsHoliday,1.0
19,2010-09-03 00:00:00.000,IsHoliday,0.0
19,2011-04-01 00:00:00.000,IsHoliday,0.0
29,2012-10-19 00:00:00.000,IsHoliday,0.0
30,2012-04-27 00:00:00.000,IsHoliday,0.0
20,2010-02-12 00:00:00.000,IsHoliday,1.0
9,2012-07-13 00:00:00.000,IsHoliday,0.0
3,2011-06-24 00:00:00.000,IsHoliday,0.0
18,2012-05-18 00:00:00.000,IsHoliday,0.0
27,2011-02-18 00:00:00.000,IsHoliday,0.0
24,2010-05-21 00:00:00.000,IsHoliday,0.0
2,2012-01-20 00:00:00.000,IsHoliday,0.0
29,2012-04-20 00:00:00.000,IsHoliday,0.0
28,2012-04-20 00:00:00.000,IsHoliday,0.0
23,2011-09-30 00:00:00.000,IsHoliday,0.0
12,2012-10-26 00:00:00.000,IsHoliday,0.0
12,2012-11-16 00:00:00.000,IsHoliday,0.0
20,2010-05-07 00:00:00.000,IsHoliday,0.0
