Store,variable,value
8,2020-09-01 00:00:00.000,711892
9,2020-09-01 00:00:00.000,711564
1,2020-10-01 00:00:00.000,12060600
10,2020-10-01 00:00:00.000,6251283
11,2020-10-01 00:00:00.000,6258566
12,2020-10-01 00:00:00.000,6121633
2,2020-10-01 00:00:00.000,57718000
3,2020-10-01 00:00:00.000,21944000
4,2020-10-01 00:00:00.000,24486000
5,2020-10-01 00:00:00.000,15422400
6,2020-10-01 00:00:00.000,60712512
7,2020-10-01 00:00:00.000,9804600
8,2020-10-01 00:00:00.000,711216
9,2020-10-01 00:00:00.000,711367
1,2020-11-01 00:00:00.000,14453600
10,2020-11-01 00:00:00.000,6131320
11,2020-11-01 00:00:00.000,6121660
12,2020-11-01 00:00:00.000,6219970
2,2020-11-01 00:00:00.000,65775400
3,2020-11-01 00:00:00.000,12949660
4,2020-11-01 00:00:00.000,15812540
5,2020-11-01 00:00:00.000,34616220
6,2020-11-01 00:00:00.000,60711313
7,2020-11-01 00:00:00.000,935300
8,2020-11-01 00:00:00.000,712199
9,2020-11-01 00:00:00.000,713318
1,2020-12-01 00:00:00.000,16005600
10,2020-12-01 00:00:00.000,6251116
11,2020-12-01 00:00:00.000,6228780
12,2020-12-01 00:00:00.000,6273310
2,2020-12-01 00:00:00.000,70499480
3,2020-12-01 00:00:00.000,18788000
4,2020-12-01 00:00:00.000,26475120
5,2020-12-01 00:00:00.000,18809760
6,2020-12-01 00:00:00.000,60712511
7,2020-12-01 00:00:00.000,932300
8,2020-12-01 00:00:00.000,712733
9,2020-12-01 00:00:00.000,712168
