Apellidos y Nombres,variable,value
Llatas Altamirano Cristóbal Luis,Periodo de Inicio,2011-07-27 00:00:00.000
Isla Rojas Víctor,Periodo de Inicio,2011-07-27 00:00:00.000
Otárola Peñaranda Fredy Rolando,Periodo de Fin,2016-07-26 00:00:00.000
Chávez Cossío Martha Gladys,Periodo de Fin,2016-07-26 00:00:00.000
Condori Jahuira Gladys Natalie,Periodo de Fin,2016-07-26 00:00:00.000
Tapia Bernal Segundo Leocadio,Periodo de Fin,2016-07-26 00:00:00.000
Bruce Montes De Oca Carlos Ricardo,Periodo de Fin,2016-07-26 00:00:00.000
Rivas Texeira Martín,Periodo de Fin,2016-07-26 00:00:00.000
Condori Cusi Rubén,Periodo de Fin,2016-07-26 00:00:00.000
Lewis Del Alcázar Norman David,Periodo de Fin,2016-07-26 00:00:00.000
León Rivera José Raguberto,Periodo de Fin,2016-07-26 00:00:00.000
Medina Ortiz Antonio,Periodo de Fin,2016-07-26 00:00:00.000
Acuña Núñez Richard Frank,Periodo de Fin,2016-07-26 00:00:00.000
Neyra Olaychea Angel,Periodo de Fin,2016-07-26 00:00:00.000
Teves Quispe Julia,Periodo de Fin,2016-07-26 00:00:00.000
Dammert Ego Aguirre Manuel Enrique Ernesto,Periodo de Fin,2016-07-26 00:00:00.000
Eguren Neuenschwander Juan Carlos,Periodo de Fin,2016-07-26 00:00:00.000
Zeballos Salinas Vicente Antonio,Periodo de Fin,2016-07-26 00:00:00.000
Tan De Inafuko Aurelia,Periodo de Fin,2016-07-26 00:00:00.000
Mora Zevallos Daniel Emiliano,Periodo de Fin,2016-07-26 00:00:00.000
Pérez Tello De Rodríguez María Soledad,Periodo de Fin,2016-07-26 00:00:00.000
Simon Munaro Yehude,Periodo de Fin,2016-07-26 00:00:00.000
Delgado Zegarra Jaime Ricardo,Periodo de Fin,2016-07-26 00:00:00.000
Reynaga Soto Jhon Arquimides,Periodo de Fin,2016-07-26 00:00:00.000
Grández Saldaña Víctor Raul,Periodo de Fin,2016-07-26 00:00:00.000
Tejada Galindo Sergio Fernando,Periodo de Fin,2016-07-26 00:00:00.000
Díaz Dios Juan José,Periodo de Fin,2016-07-26 00:00:00.000
Chihuán Ramos Leyla Felicita,Periodo de Fin,2016-07-26 00:00:00.000
Abugattás Majluf Daniel,Periodo de Fin,2016-07-26 00:00:00.000
Gastañadui Ramírez Santiago,Periodo de Fin,2016-07-26 00:00:00.000
Gagó Pérez Julio César,Periodo de Fin,2016-07-26 00:00:00.000
Mavila León Rosa Delsa,Periodo de Fin,2016-07-26 00:00:00.000
Saavedra Vela Esther,Periodo de Fin,2016-07-26 00:00:00.000
Bardález Cochagne Aldo Maximiliano,Periodo de Fin,2016-07-26 00:00:00.000
Cordero Jon Tay María del Pilar,Periodo de Fin,2016-07-26 00:00:00.000
Reátegui Flores Rolando,Periodo de Fin,2016-07-26 00:00:00.000
Carrillo Cavero Hugo,Periodo de Fin,2016-07-26 00:00:00.000
Velásquez Quesquén Angel Javier,Periodo de Fin,2016-07-26 00:00:00.000
Huaire Chuquichaico Casio Faustino,Periodo de Fin,2016-07-26 00:00:00.000
Apaza Ordóñez Justiniano Rómulo,Periodo de Fin,2016-07-26 00:00:00.000
Gamarra Saldívar Teófilo,Periodo de Fin,2016-07-26 00:00:00.000
Pariona Galindo Federico,Periodo de Fin,2016-07-26 00:00:00.000
Becerril Rodríguez Héctor Virgilio,Periodo de Fin,2016-07-26 00:00:00.000
Urquizo Maggia José Antonio,Periodo de Fin,2016-07-26 00:00:00.000
Beingolea Delgado Alberto Ismael,Periodo de Fin,2016-07-26 00:00:00.000
Tubino Arias Schreiber Carlos Mario Del Carmen,Periodo de Fin,2016-07-26 00:00:00.000
Zamudio Briceño Tomás Martín,Periodo de Fin,2016-07-26 00:00:00.000
Benítez Rivas Heriberto Manuel,Periodo de Fin,2016-07-26 00:00:00.000
Rimarachín Cabrera Jorge Antonio,Periodo de Fin,2016-07-26 00:00:00.000
Vacchelli Corbetto Gian Carlo,Periodo de Fin,2016-07-26 00:00:00.000
Valencia Quiroz Jaime Rubén,Periodo de Fin,2016-07-26 00:00:00.000
Melgar Valdez Elard Galo,Periodo de Fin,2016-07-26 00:00:00.000
Mulder Bedoya Mauricio,Periodo de Fin,2016-07-26 00:00:00.000
Neyra Huamaní Rofilio T.,Periodo de Fin,2016-07-26 00:00:00.000
Rondón Fudinaga Gustavo Bernardo,Periodo de Fin,2016-07-26 00:00:00.000
Núñez Campos Carmen Rosa,Periodo de Fin,2016-07-27 00:00:00.000
Elías Ávalos José Luis,Periodo de Fin,2016-07-26 00:00:00.000
García Belaúnde Víctor Andrés,Periodo de Fin,2016-07-26 00:00:00.000
Coa Aguilar Rubén Rolando,Periodo de Fin,2016-07-26 00:00:00.000
De La Torre Dueñas Hernán,Periodo de Fin,2016-07-26 00:00:00.000
Cabrera Ganoza Eduardo Felipe,Periodo de Fin,2016-07-26 00:00:00.000
Kobashigawa Kobashigawa Ramón,Periodo de Fin,2016-07-26 00:00:00.000
Sarmiento Betancourt Freddy Fernando,Periodo de Fin,2016-07-26 00:00:00.000
Anicama Ñáñez Elsa Celia,Periodo de Fin,2016-07-26 00:00:00.000
Acha Romaní Walter,Periodo de Fin,2016-07-26 00:00:00.000
Schaefer Cuculiza Karla Melissa,Periodo de Fin,2016-07-26 00:00:00.000
Julca Jara Dalmacio Modesto,Periodo de Fin,2016-07-26 00:00:00.000
Guevara Amasifuén Mesias Antonio,Periodo de Fin,2016-07-26 00:00:00.000
Aguinaga Recuenco Alejandro Aurelio,Periodo de Fin,2016-07-26 00:00:00.000
Jara Velásquez Ana Ethel Del Rosario,Periodo de Fin,2016-07-26 00:00:00.000
Capuñay Quispe Esther Yovana,Periodo de Fin,2016-07-26 00:00:00.000
Lay Sun Humberto,Periodo de Fin,2016-07-26 00:00:00.000
Romero Rodríguez Eulogio Amado,Periodo de Fin,2016-07-26 00:00:00.000
Ruiz Loayza Wilder,Periodo de Fin,2016-07-26 00:00:00.000
Iberico Nuñez Luis Carlos Antonio,Periodo de Fin,2016-07-26 00:00:00.000
Mendoza Frisch Verónika Fanny,Periodo de Fin,2016-07-26 00:00:00.000
Angulo Álvarez Roberto Edmundo,Periodo de Fin,2016-07-26 00:00:00.000
Ccama Layme Francisco,Periodo de Fin,2016-07-26 00:00:00.000
Cárdenas Cerrón Johnny,Periodo de Fin,2016-07-26 00:00:00.000
Luna Gálvez José León,Periodo de Fin,2016-07-26 00:00:00.000
Inga Vásquez Leonardo Agustín,Periodo de Fin,2016-07-26 00:00:00.000
Valle Ramírez Willyam Tito,Periodo de Fin,2016-07-26 00:00:00.000
Pérez Del Solar Cuculiza Gabriela Lourdes,Periodo de Fin,2016-07-26 00:00:00.000
Rodríguez Zavaleta Elías Nicolás,Periodo de Fin,2016-07-26 00:00:00.000
Oseda Soto Doris Gladys,Periodo de Fin,2016-07-26 00:00:00.000
Cuculiza Torre Luisa María,Periodo de Fin,2016-07-26 00:00:00.000
Rosas Huaranga Julio Pablo,Periodo de Fin,2016-07-26 00:00:00.000
Hurtado Zamudio Jesús Panfilo,Periodo de Fin,2016-07-26 00:00:00.000
Canches Guzmán Rogelio Antenor,Periodo de Fin,2016-07-26 00:00:00.000
Yrupailla Montes César Elmer,Periodo de Fin,2016-07-26 00:00:00.000
Chehade Moya Omar Karim,Periodo de Fin,2016-07-26 00:00:00.000
Gutiérrez Cóndor Josue Manuel,Periodo de Fin,2016-07-26 00:00:00.000
Tait Villacorta Cecilia,Periodo de Fin,2016-07-26 00:00:00.000
Bedoya De Vivanco Javier,Periodo de Fin,2016-07-26 00:00:00.000
Chacón De Vettori Cecilia Isabel,Periodo de Fin,2016-07-26 00:00:00.000
Molina Martínez Agustín F.,Periodo de Fin,2016-07-26 00:00:00.000
Espinoza Rosales Rennán Samuel,Periodo de Fin,2016-07-26 00:00:00.000
López Córdova María Magdalena,Periodo de Fin,2016-07-26 00:00:00.000
Crisólogo Espejo Víctor Walberto,Periodo de Fin,2016-07-26 00:00:00.000
Reggiardo Barreto Renzo Andrés,Periodo de Fin,2016-07-26 00:00:00.000
Llatas Altamirano Cristóbal Luis,Periodo de Fin,2016-07-26 00:00:00.000
Isla Rojas Víctor,Periodo de Fin,2016-07-26 00:00:00.000
Otárola Peñaranda Fredy Rolando,Grupo Parlamentario,AGRUPADOS
Chávez Cossío Martha Gladys,Grupo Parlamentario,AGRUPADOS
Condori Jahuira Gladys Natalie,Grupo Parlamentario,AGRUPADOS
Tapia Bernal Segundo Leocadio,Grupo Parlamentario,AGRUPADOS
Bruce Montes De Oca Carlos Ricardo,Grupo Parlamentario,CONCERTACIÓN PARLAMENTARIA
Rivas Texeira Martín,Grupo Parlamentario,AGRUPADOS
Condori Cusi Rubén,Grupo Parlamentario,AGRUPADOS
Lewis Del Alcázar Norman David,Grupo Parlamentario,AGRUPADOS
León Rivera José Raguberto,Grupo Parlamentario,AGRUPADOS
Medina Ortiz Antonio,Grupo Parlamentario,AGRUPADOS
Acuña Núñez Richard Frank,Grupo Parlamentario,AGRUPADOS
Neyra Olaychea Angel,Grupo Parlamentario,AGRUPADOS
Teves Quispe Julia,Grupo Parlamentario,AGRUPADOS
Dammert Ego Aguirre Manuel Enrique Ernesto,Grupo Parlamentario,AGRUPADOS
Eguren Neuenschwander Juan Carlos,Grupo Parlamentario,AGRUPADOS
Zeballos Salinas Vicente Antonio,Grupo Parlamentario,AGRUPADOS
Tan De Inafuko Aurelia,Grupo Parlamentario,AGRUPADOS
Mora Zevallos Daniel Emiliano,Grupo Parlamentario,AGRUPADOS
Pérez Tello De Rodríguez María Soledad,Grupo Parlamentario,AGRUPADOS
Simon Munaro Yehude,Grupo Parlamentario,AGRUPADOS
Delgado Zegarra Jaime Ricardo,Grupo Parlamentario,AGRUPADOS
Reynaga Soto Jhon Arquimides,Grupo Parlamentario,AGRUPADOS
Grández Saldaña Víctor Raul,Grupo Parlamentario,NO AGRUPADOS
Tejada Galindo Sergio Fernando,Grupo Parlamentario,AGRUPADOS
Díaz Dios Juan José,Grupo Parlamentario,NO AGRUPADOS
Chihuán Ramos Leyla Felicita,Grupo Parlamentario,AGRUPADOS
Abugattás Majluf Daniel,Grupo Parlamentario,AGRUPADOS
Gastañadui Ramírez Santiago,Grupo Parlamentario,AGRUPADOS
Gagó Pérez Julio César,Grupo Parlamentario,AGRUPADOS
Mavila León Rosa Delsa,Grupo Parlamentario,AGRUPADOS
Saavedra Vela Esther,Grupo Parlamentario,AGRUPADOS
Bardález Cochagne Aldo Maximiliano,Grupo Parlamentario,AGRUPADOS
Cordero Jon Tay María del Pilar,Grupo Parlamentario,AGRUPADOS
Reátegui Flores Rolando,Grupo Parlamentario,AGRUPADOS
Carrillo Cavero Hugo,Grupo Parlamentario,AGRUPADOS
Velásquez Quesquén Angel Javier,Grupo Parlamentario,CONCERTACIÓN PARLAMENTARIA
Huaire Chuquichaico Casio Faustino,Grupo Parlamentario,AGRUPADOS
Apaza Ordóñez Justiniano Rómulo,Grupo Parlamentario,AGRUPADOS
Gamarra Saldívar Teófilo,Grupo Parlamentario,AGRUPADOS
Pariona Galindo Federico,Grupo Parlamentario,AGRUPADOS
Becerril Rodríguez Héctor Virgilio,Grupo Parlamentario,AGRUPADOS
Urquizo Maggia José Antonio,Grupo Parlamentario,AGRUPADOS
Beingolea Delgado Alberto Ismael,Grupo Parlamentario,AGRUPADOS
Tubino Arias Schreiber Carlos Mario Del Carmen,Grupo Parlamentario,AGRUPADOS
Zamudio Briceño Tomás Martín,Grupo Parlamentario,AGRUPADOS
Benítez Rivas Heriberto Manuel,Grupo Parlamentario,NO AGRUPADOS
Rimarachín Cabrera Jorge Antonio,Grupo Parlamentario,AGRUPADOS
Vacchelli Corbetto Gian Carlo,Grupo Parlamentario,AGRUPADOS
Valencia Quiroz Jaime Rubén,Grupo Parlamentario,AGRUPADOS
Melgar Valdez Elard Galo,Grupo Parlamentario,AGRUPADOS
Mulder Bedoya Mauricio,Grupo Parlamentario,CONCERTACIÓN PARLAMENTARIA
Neyra Huamaní Rofilio T.,Grupo Parlamentario,AGRUPADOS
Rondón Fudinaga Gustavo Bernardo,Grupo Parlamentario,AGRUPADOS
Núñez Campos Carmen Rosa,Grupo Parlamentario,CONCERTACIÓN PARLAMENTARIA
Elías Ávalos José Luis,Grupo Parlamentario,AGRUPADOS
García Belaúnde Víctor Andrés,Grupo Parlamentario,AGRUPADOS
Coa Aguilar Rubén Rolando,Grupo Parlamentario,AGRUPADOS
De La Torre Dueñas Hernán,Grupo Parlamentario,AGRUPADOS
Cabrera Ganoza Eduardo Felipe,Grupo Parlamentario,AGRUPADOS
Kobashigawa Kobashigawa Ramón,Grupo Parlamentario,AGRUPADOS
Sarmiento Betancourt Freddy Fernando,Grupo Parlamentario,AGRUPADOS
Anicama Ñáñez Elsa Celia,Grupo Parlamentario,AGRUPADOS
Acha Romaní Walter,Grupo Parlamentario,NO AGRUPADOS
Schaefer Cuculiza Karla Melissa,Grupo Parlamentario,AGRUPADOS
Julca Jara Dalmacio Modesto,Grupo Parlamentario,AGRUPADOS
Guevara Amasifuén Mesias Antonio,Grupo Parlamentario,AGRUPADOS
Aguinaga Recuenco Alejandro Aurelio,Grupo Parlamentario,AGRUPADOS
Jara Velásquez Ana Ethel Del Rosario,Grupo Parlamentario,AGRUPADOS
Capuñay Quispe Esther Yovana,Grupo Parlamentario,AGRUPADOS
Lay Sun Humberto,Grupo Parlamentario,AGRUPADOS
Romero Rodríguez Eulogio Amado,Grupo Parlamentario,AGRUPADOS
Ruiz Loayza Wilder,Grupo Parlamentario,AGRUPADOS
Iberico Nuñez Luis Carlos Antonio,Grupo Parlamentario,AGRUPADOS
Mendoza Frisch Verónika Fanny,Grupo Parlamentario,AGRUPADOS
Angulo Álvarez Roberto Edmundo,Grupo Parlamentario,AGRUPADOS
Ccama Layme Francisco,Grupo Parlamentario,AGRUPADOS
Cárdenas Cerrón Johnny,Grupo Parlamentario,AGRUPADOS
Luna Gálvez José León,Grupo Parlamentario,AGRUPADOS
Inga Vásquez Leonardo Agustín,Grupo Parlamentario,AGRUPADOS
Valle Ramírez Willyam Tito,Grupo Parlamentario,AGRUPADOS
Pérez Del Solar Cuculiza Gabriela Lourdes,Grupo Parlamentario,CONCERTACIÓN PARLAMENTARIA
Rodríguez Zavaleta Elías Nicolás,Grupo Parlamentario,CONCERTACIÓN PARLAMENTARIA
Oseda Soto Doris Gladys,Grupo Parlamentario,AGRUPADOS
Cuculiza Torre Luisa María,Grupo Parlamentario,AGRUPADOS
Rosas Huaranga Julio Pablo,Grupo Parlamentario,NO AGRUPADOS
Hurtado Zamudio Jesús Panfilo,Grupo Parlamentario,AGRUPADOS
Canches Guzmán Rogelio Antenor,Grupo Parlamentario,AGRUPADOS
Yrupailla Montes César Elmer,Grupo Parlamentario,AGRUPADOS
Chehade Moya Omar Karim,Grupo Parlamentario,NO AGRUPADOS
Gutiérrez Cóndor Josue Manuel,Grupo Parlamentario,AGRUPADOS
Tait Villacorta Cecilia,Grupo Parlamentario,NO AGRUPADOS
Bedoya De Vivanco Javier,Grupo Parlamentario,AGRUPADOS
Chacón De Vettori Cecilia Isabel,Grupo Parlamentario,AGRUPADOS
Molina Martínez Agustín F.,Grupo Parlamentario,AGRUPADOS
Espinoza Rosales Rennán Samuel,Grupo Parlamentario,AGRUPADOS
López Córdova María Magdalena,Grupo Parlamentario,AGRUPADOS
Crisólogo Espejo Víctor Walberto,Grupo Parlamentario,AGRUPADOS
Reggiardo Barreto Renzo Andrés,Grupo Parlamentario,CONCERTACIÓN PARLAMENTARIA
Llatas Altamirano Cristóbal Luis,Grupo Parlamentario,AGRUPADOS
Isla Rojas Víctor,Grupo Parlamentario,AGRUPADOS
Otárola Peñaranda Fredy Rolando,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/88-h8Mh9Tf6Ie9Vb9T.jpg
Chávez Cossío Martha Gladys,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/27-m0Dl6Dl4Ve3Xy4H.jpg
Condori Jahuira Gladys Natalie,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/33-l6Nz1Bn5Wj0Hr4Q.jpg
Tapia Bernal Segundo Leocadio,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/115-v1Eu6Zs9Dl9Hz7K.jpg
Bruce Montes De Oca Carlos Ricardo,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/18-k1Ry5Sd4Bz4Gu8Q.jpg
Rivas Texeira Martín,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/99-n9Tu2Br6Et9Oz1Z.jpg
Condori Cusi Rubén,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/32-k8Ya2Gp7Ls0Dz1G.jpg
Lewis Del Alcázar Norman David,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/69-x8Cm3Nj8Vm9Ur9P.jpg
León Rivera José Raguberto,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/66-p9Mr9Po9Tu0Qa8P.jpg
Medina Ortiz Antonio,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/74-a4Lh3Dm7Hx5Mn3D.jpg
Acuña Núñez Richard Frank,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/3-t6Ic8Hr7Be6Nj4Z.jpg
Neyra Olaychea Angel,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/84-h7Mp2Dy3Nx9Ah4W.jpg
Teves Quispe Julia,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/117-s7Md0Su2Rb5Rp5H.jpg
Dammert Ego Aguirre Manuel Enrique Ernesto,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg
Eguren Neuenschwander Juan Carlos,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/42-u3Nx4Fr0Tu1Rd8V.jpg
Zeballos Salinas Vicente Antonio,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/131-z7Po7Ci4Mc8Im4Z.jpg
Tan De Inafuko Aurelia,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/114-x4Sw6Kb5Lu7Wr4N.jpg
Mora Zevallos Daniel Emiliano,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/80-h5Rt9Rw8Yr9Wz5B.jpg
Pérez Tello De Rodríguez María Soledad,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/92-l1Te0Os0Ai0Zj9W.jpg
Simon Munaro Yehude,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/110-n1Sg1Jr3Zq0Bc3F.jpg
Delgado Zegarra Jaime Ricardo,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/39-l8Qt3Xg7Bh8Zi1J.jpg
Reynaga Soto Jhon Arquimides,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/97-m8Fg6Ch1Yy8Tx9B.jpg
Grández Saldaña Víctor Raul,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/53-r9Ly1Mz5Kj8Xs1W.jpg
Tejada Galindo Sergio Fernando,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/116-x8Au6Hv5Sv3Ph3I.jpg
Díaz Dios Juan José,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/40-w2Vf0Zj7Iz7Sd5U.jpg
Chihuán Ramos Leyla Felicita,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/29-u8Bq9Df5Op1As2W.jpg
Abugattás Majluf Daniel,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/1-g9Nv0Fm9Qc1Pk0G.jpg
Gastañadui Ramírez Santiago,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/52-m1Jj7Hx0Si0Ge6Q.jpg
Gagó Pérez Julio César,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/48-w1Ib4Vz6Ed1Ca5A.jpg
Mavila León Rosa Delsa,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/73-f9Mg2Vs9Rp9Tb9S.jpg
Saavedra Vela Esther,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/105-b1Rm9Ot4Oq0Xi9V.jpg
Bardález Cochagne Aldo Maximiliano,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/12-q8Ud1Ge7Pu9Nc2I.jpg
Cordero Jon Tay María del Pilar,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/34-r6Lf7Wv8Ay8Li7Z.jpg
Reátegui Flores Rolando,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/95-n2Zh2En6Gr2Uk3G.jpg
Carrillo Cavero Hugo,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/23-a7Ig4Wo3Ma0Ih0S.jpg
Velásquez Quesquén Angel Javier,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/126-h2Lp4Qm6An8Wr4E.jpg
Huaire Chuquichaico Casio Faustino,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/56-h5Vc8Ja0Cj1Gc8Z.jpg
Apaza Ordóñez Justiniano Rómulo,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/11-w4Wy1Nf1Fc6Ep6V.jpg
Gamarra Saldívar Teófilo,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/50-m6Go1Il2Lv8Bz8R.jpg
Pariona Galindo Federico,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/90-m6Ec8Ps2So5Ow0U.jpg
Becerril Rodríguez Héctor Virgilio,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/13-w8Hp0Oj9Lp7Ij1E.jpg
Urquizo Maggia José Antonio,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/120-z8Nx5Nt7No8Of9E.jpg
Beingolea Delgado Alberto Ismael,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/15-v6Ox6Po0Yy4Gl8I.jpg
Tubino Arias Schreiber Carlos Mario Del Carmen,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/118-p8Pj4Ys3Pp1Ul5T.jpg
Zamudio Briceño Tomás Martín,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/130-m8Ua1Hv6Bs2Pz9J.jpg
Benítez Rivas Heriberto Manuel,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/17-i8Fr6Vd6Fu6Wx6S.jpg
Rimarachín Cabrera Jorge Antonio,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/98-q3Yc3Tm6Cs9Cx0Y.jpg
Vacchelli Corbetto Gian Carlo,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/122-q7Wc3Qx1Dy7Bn0F.jpg
Valencia Quiroz Jaime Rubén,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/123-r7Rc8Sl9Er6Zf5K.jpg
Melgar Valdez Elard Galo,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/75-d7Eo7Ei7Eg8Xp0U.jpg
Mulder Bedoya Mauricio,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/81-z4Zf2Ay1Lb5Qa1B.jpg
Neyra Huamaní Rofilio T.,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/83-h7Og6Bq1Ue7Le7V.jpg
Rondón Fudinaga Gustavo Bernardo,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/102-d4Ux2Cl0Hn1Si6M.jpg
Núñez Campos Carmen Rosa,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/85-o6Os9Mb9Im7Vl3F.jpg
Elías Ávalos José Luis,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/43-f3Av5Of2Dg9Yb7L.jpg
García Belaúnde Víctor Andrés,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/51-e1Dj2Mc7Xn5Za7P.jpg
Coa Aguilar Rubén Rolando,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/30-d2Qn0Dr8Ej9Dr1O.jpg
De La Torre Dueñas Hernán,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/38-b3Kx1Te0Xr9Af5A.jpg
Cabrera Ganoza Eduardo Felipe,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/19-w9Ua0Ls7Hl7Yr8C.jpg
Kobashigawa Kobashigawa Ramón,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/64-n6Af5Oc1Yu6On3G.jpg
Sarmiento Betancourt Freddy Fernando,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/108-h5Gw9Jr9Bu8Wl1Q.jpg
Anicama Ñáñez Elsa Celia,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/9-v9Wg9Lk3Hb1Hl0L.jpg
Acha Romaní Walter,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/2-g6Sw6Gu5Hp1Tq8Y.jpg
Schaefer Cuculiza Karla Melissa,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/109-o5Hj2Ic3Vr8Hv3Q.jpg
Julca Jara Dalmacio Modesto,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/63-z0Gp7Zj7Qr1Sk6X.jpg
Guevara Amasifuén Mesias Antonio,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/54-i5Fa1Ds6Ef2By3Y.jpg
Aguinaga Recuenco Alejandro Aurelio,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/5-i5Zy7Ev0Ud1Ht7P.jpg
Jara Velásquez Ana Ethel Del Rosario,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/62-k5Tt2Fs6Fy3Ap5Q.jpg
Capuñay Quispe Esther Yovana,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/21-v0Cv6Nr4Xa3Ki4S.jpg
Lay Sun Humberto,Foto,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/65-q0Pm8Me8Nf0Yw8M.jpg
