country,variable,value
Panama,1966,0.025
Papua New Guinea,1966,
Paraguay,1966,0.0207
Peru,1966,0.0119
Philippines,1966,0.072
Poland,1966,0.127
Portugal,1966,0.0308
Qatar,1966,
Romania,1966,0.144
Russia,1966,
Rwanda,1966,0.0
Samoa,1966,0.0071
San Marino,1966,0.0
Sao Tome and Principe,1966,
Saudi Arabia,1966,
Senegal,1966,0.0125
Serbia,1966,
Seychelles,1966,
Sierra Leone,1966,
Singapore,1966,0.0326
Slovak Republic,1966,
Slovenia,1966,
Solomon Islands,1966,
Somalia,1966,0.0
South Africa,1966,0.0118
South Korea,1966,0.0157
South Sudan,1966,
Spain,1966,0.0081
Sri Lanka,1966,0.0278
"St, Kitts and Nevis",1966,
"St, Lucia",1966,
"St, Vincent and the Grenadines",1966,
Sudan,1966,0.0029
Suriname,1966,
Sweden,1966,0.116
Switzerland,1966,
Syria,1966,0.0118
Tajikistan,1966,
Tanzania,1966,
Thailand,1966,0.0132
Timor-Leste,1966,
Togo,1966,0.0226
Tonga,1966,
Trinidad and Tobago,1966,0.117
Tunisia,1966,0.0226
Turkey,1966,0.0067
Turkmenistan,1966,
Tuvalu,1966,
Uganda,1966,
Ukraine,1966,
United Arab Emirates,1966,
United Kingdom,1966,0.0413
United States,1966,0.0241
Uruguay,1966,0.0
Uzbekistan,1966,
Vanuatu,1966,
Venezuela,1966,0.012
Vietnam,1966,
Yemen,1966,
Zambia,1966,0.0323
Zimbabwe,1966,
Afghanistan,1967,0.0067
Albania,1967,0.192
Algeria,1967,0.0231
Andorra,1967,
Angola,1967,
Antigua and Barbuda,1967,
Argentina,1967,0.0383
Armenia,1967,
Australia,1967,0.05
Austria,1967,0.118
Azerbaijan,1967,
Bahamas,1967,
Bahrain,1967,
Bangladesh,1967,
Barbados,1967,
Belarus,1967,
Belgium,1967,0.0214
Belize,1967,
Benin,1967,
Bhutan,1967,0.0068
Bolivia,1967,0.0094
Bosnia and Herzegovina,1967,
Botswana,1967,0.0
Brazil,1967,0.0089
Brunei,1967,
Bulgaria,1967,0.174
Burkina Faso,1967,
Burundi,1967,0.0139
Cambodia,1967,0.0056
Cameroon,1967,0.03
Canada,1967,0.0532
Cape Verde,1967,
Central African Republic,1967,
Chad,1967,
Chile,1967,
China,1967,
Colombia,1967,0.0314
Comoros,1967,
"Congo, Dem, Rep,",1967,0.0114
"Congo, Rep,",1967,0.0602
Costa Rica,1967,0.057
Cote d'Ivoire,1967,0.033
Croatia,1967,
Cuba,1967,0.167
Cyprus,1967,0.0
Czech Republic,1967,
Denmark,1967,0.106
Djibouti,1967,
Dominica,1967,
Dominican Republic,1967,0.047
Ecuador,1967,0.0099
Egypt,1967,0.0139
El Salvador,1967,0.0769
Equatorial Guinea,1967,
Eritrea,1967,
Estonia,1967,
Eswatini,1967,
Ethiopia,1967,0.0132
Fiji,1967,
Finland,1967,0.165
France,1967,0.0226
Gabon,1967,0.0
Gambia,1967,0.0
Georgia,1967,
Germany,1967,
Ghana,1967,0.0492
Greece,1967,0.0107
Grenada,1967,
Guatemala,1967,0.0187
Guinea,1967,0.208
Guinea-Bissau,1967,
Guyana,1967,0.107
Haiti,1967,0.0862
Honduras,1967,0.0526
Hungary,1967,0.198
Iceland,1967,0.0167
India,1967,0.0593
Indonesia,1967,0.0785
Iran,1967,0.0323
Iraq,1967,0.0348
Ireland,1967,0.0418
Israel,1967,0.0708
Italy,1967,0.0309
Jamaica,1967,0.0541
Japan,1967,0.0144
Jordan,1967,0.0
Kazakhstan,1967,
Kenya,1967,0.0078
Kiribati,1967,
Kuwait,1967,0.0
Kyrgyz Republic,1967,
Lao,1967,0.0
Latvia,1967,
Lebanon,1967,0.0
Lesotho,1967,0.0403
Liberia,1967,
Libya,1967,0.0385
Liechtenstein,1967,
Lithuania,1967,
Luxembourg,1967,0.0268
Madagascar,1967,0.0332
Malawi,1967,
Malaysia,1967,0.0345
Maldives,1967,
Mali,1967,0.0174
Malta,1967,0.0392
Marshall Islands,1967,
Mauritania,1967,0.0
Mauritius,1967,0.0
Mexico,1967,0.0571
"Micronesia, Fed, Sts,",1967,
Moldova,1967,
Monaco,1967,0.0556
Mongolia,1967,0.217
Montenegro,1967,
Morocco,1967,0.0
Mozambique,1967,
Myanmar,1967,0.0188
Namibia,1967,
Nauru,1967,
Nepal,1967,0.024
Netherlands,1967,0.08
New Zealand,1967,0.0574
Nicaragua,1967,0.0
Niger,1967,0.0
Nigeria,1967,
North Korea,1967,0.16
North Macedonia,1967,
Norway,1967,0.0867
Oman,1967,
Pakistan,1967,
Palau,1967,
Panama,1967,0.0256
Papua New Guinea,1967,
Paraguay,1967,0.0183
Peru,1967,0.0123
Philippines,1967,0.25
Poland,1967,0.129
Portugal,1967,0.0308
Qatar,1967,
Romania,1967,0.144
Russia,1967,
Rwanda,1967,0.0
Samoa,1967,0.0
San Marino,1967,0.0
Sao Tome and Principe,1967,
Saudi Arabia,1967,
Senegal,1967,0.0125
Serbia,1967,
Seychelles,1967,
Sierra Leone,1967,
Singapore,1967,0.0247
Slovak Republic,1967,
Slovenia,1967,
Solomon Islands,1967,
Somalia,1967,0.0
South Africa,1967,0.0123
South Korea,1967,0.0171
South Sudan,1967,
Spain,1967,0.0096
Sri Lanka,1967,0.0289
"St, Kitts and Nevis",1967,
"St, Lucia",1967,
"St, Vincent and the Grenadines",1967,
Sudan,1967,0.0014
Suriname,1967,
Sweden,1967,0.138
Switzerland,1967,
Syria,1967,0.014
Tajikistan,1967,
Tanzania,1967,
Thailand,1967,0.0142
Timor-Leste,1967,
Togo,1967,0.0298
Tonga,1967,
Trinidad and Tobago,1967,0.107
Tunisia,1967,0.0278
Turkey,1967,0.0067
Turkmenistan,1967,
Tuvalu,1967,
Uganda,1967,
Ukraine,1967,
United Arab Emirates,1967,
United Kingdom,1967,0.0413
United States,1967,0.0231
Uruguay,1967,0.0016
Uzbekistan,1967,
Vanuatu,1967,
Venezuela,1967,0.0078
Vietnam,1967,
Yemen,1967,
Zambia,1967,0.0245
Zimbabwe,1967,
Afghanistan,1968,0.0034
Albania,1968,0.22
Algeria,1968,0.0254
Andorra,1968,
Angola,1968,
Antigua and Barbuda,1968,
Argentina,1968,0.0454
Armenia,1968,
Australia,1968,0.0162
Austria,1968,0.118
Azerbaijan,1968,
Bahamas,1968,
Bahrain,1968,
Bangladesh,1968,
Barbados,1968,
Belarus,1968,
Belgium,1968,0.0205
Belize,1968,
Benin,1968,
Bhutan,1968,0.0074
Bolivia,1968,0.0111
Bosnia and Herzegovina,1968,
Botswana,1968,0.0
Brazil,1968,0.0071
Brunei,1968,
Bulgaria,1968,0.177
Burkina Faso,1968,
Burundi,1968,0.0204
Cambodia,1968,0.0104
Cameroon,1968,0.0333
Canada,1968,0.0168
Cape Verde,1968,
Central African Republic,1968,
Chad,1968,
Chile,1968,
China,1968,
Colombia,1968,0.0258
Comoros,1968,
"Congo, Dem, Rep,",1968,0.0171
"Congo, Rep,",1968,0.0611
Costa Rica,1968,0.0614
Cote d'Ivoire,1968,0.0319
Croatia,1968,
Cuba,1968,0.176
Cyprus,1968,0.0
Czech Republic,1968,
Denmark,1968,0.106
Djibouti,1968,
Dominica,1968,
Dominican Republic,1968,0.0545
Ecuador,1968,0.008
Egypt,1968,0.0111
El Salvador,1968,0.0385
Equatorial Guinea,1968,0.0571
Eritrea,1968,
Estonia,1968,
Eswatini,1968,
Ethiopia,1968,0.0127
Fiji,1968,
Finland,1968,0.165
France,1968,0.0195
Gabon,1968,0.0074
Gambia,1968,0.0
Georgia,1968,
Germany,1968,
Ghana,1968,0.0305
Greece,1968,0.012
Grenada,1968,
Guatemala,1968,0.0192
Guinea,1968,0.213
Guinea-Bissau,1968,
Guyana,1968,0.111
Haiti,1968,0.0776
Honduras,1968,0.0635
Hungary,1968,0.208
Iceland,1968,0.025
India,1968,0.0917
Indonesia,1968,0.0749
Iran,1968,0.0412
Iraq,1968,0.0377
Ireland,1968,0.0406
Israel,1968,0.0688
Italy,1968,0.0294
Jamaica,1968,0.0568
Japan,1968,0.052
Jordan,1968,0.0
Kazakhstan,1968,
Kenya,1968,0.0097
Kiribati,1968,
Kuwait,1968,0.0
Kyrgyz Republic,1968,
Lao,1968,0.0068
Latvia,1968,
Lebanon,1968,0.0
Lesotho,1968,0.0444
Liberia,1968,
Libya,1968,0.0466
Liechtenstein,1968,
Lithuania,1968,
Luxembourg,1968,0.0357
Madagascar,1968,0.0435
Malawi,1968,
Malaysia,1968,0.0345
Maldives,1968,
Mali,1968,0.019
Malta,1968,0.0385
Marshall Islands,1968,
Mauritania,1968,0.0
Mauritius,1968,0.0048
Mexico,1968,0.0536
"Micronesia, Fed, Sts,",1968,
Moldova,1968,
Monaco,1968,0.0556
Mongolia,1968,0.218
Montenegro,1968,
Morocco,1968,0.0
Mozambique,1968,
Myanmar,1968,0.019
Namibia,1968,
Nauru,1968,0.0
Nepal,1968,0.024
Netherlands,1968,0.0711
New Zealand,1968,0.0524
Nicaragua,1968,0.0237
Niger,1968,0.0
Nigeria,1968,
North Korea,1968,0.171
North Macedonia,1968,
Norway,1968,0.09
Oman,1968,
Pakistan,1968,
Palau,1968,
Panama,1968,0.0263
Papua New Guinea,1968,
Paraguay,1968,0.0333
Peru,1968,0.0128
Philippines,1968,0.04
Poland,1968,0.132
Portugal,1968,0.0308
Qatar,1968,
Romania,1968,0.144
Russia,1968,
Rwanda,1968,0.0
Samoa,1968,0.0071
San Marino,1968,0.0
Sao Tome and Principe,1968,
Saudi Arabia,1968,
Senegal,1968,0.0125
Serbia,1968,
Seychelles,1968,
Sierra Leone,1968,
Singapore,1968,0.0172
Slovak Republic,1968,
Slovenia,1968,
Solomon Islands,1968,
Somalia,1968,0.0
South Africa,1968,0.0128
South Korea,1968,0.0192
South Sudan,1968,
Spain,1968,0.01
Sri Lanka,1968,0.0299
"St, Kitts and Nevis",1968,
"St, Lucia",1968,
"St, Vincent and the Grenadines",1968,
Sudan,1968,0.0
Suriname,1968,
Sweden,1968,0.154
Switzerland,1968,
Syria,1968,0.0162
Tajikistan,1968,
Tanzania,1968,
Thailand,1968,0.015
Timor-Leste,1968,
Togo,1968,0.0368
Tonga,1968,
Trinidad and Tobago,1968,0.0967
Tunisia,1968,0.0326
Turkey,1968,0.0067
Turkmenistan,1968,
Tuvalu,1968,
Uganda,1968,
Ukraine,1968,
United Arab Emirates,1968,
United Kingdom,1968,0.0413
United States,1968,0.0222
Uruguay,1968,0.0031
Uzbekistan,1968,
Vanuatu,1968,
Venezuela,1968,0.0038
Vietnam,1968,
Yemen,1968,
Zambia,1968,0.018
Zimbabwe,1968,
Afghanistan,1969,0.0
Albania,1969,0.247
Algeria,1969,0.0274
Andorra,1969,
Angola,1969,
Antigua and Barbuda,1969,
Argentina,1969,0.0516
Armenia,1969,
Australia,1969,0.0
Austria,1969,0.118
Azerbaijan,1969,
Bahamas,1969,
Bahrain,1969,
Bangladesh,1969,
Barbados,1969,
Belarus,1969,
Belgium,1969,0.0231
Belize,1969,
Benin,1969,
Bhutan,1969,0.0081
Bolivia,1969,0.0127
Bosnia and Herzegovina,1969,
Botswana,1969,0.0
Brazil,1969,0.005
Brunei,1969,
Bulgaria,1969,0.181
Burkina Faso,1969,
Burundi,1969,0.0268
Cambodia,1969,0.0145
Cameroon,1969,0.0367
Canada,1969,0.0562
Cape Verde,1969,
Central African Republic,1969,
Chad,1969,
Chile,1969,
China,1969,
Colombia,1969,0.0313
Comoros,1969,
"Congo, Dem, Rep,",1969,0.0229
"Congo, Rep,",1969,0.0619
Costa Rica,1969,0.0658
Cote d'Ivoire,1969,0.0309
Croatia,1969,
Cuba,1969,0.184
Cyprus,1969,0.0
Czech Republic,1969,
Denmark,1969,0.128
Djibouti,1969,
Dominica,1969,
Dominican Republic,1969,0.0619
Ecuador,1969,0.0076
Egypt,1969,0.0083
El Salvador,1969,0.0385
Equatorial Guinea,1969,0.0545
Eritrea,1969,
Estonia,1969,
Eswatini,1969,
Ethiopia,1969,0.0122
Fiji,1969,
Finland,1969,0.165
France,1969,0.0187
Gabon,1969,0.0147
Gambia,1969,0.0
Georgia,1969,
Germany,1969,
Ghana,1969,0.0143
Greece,1969,0.0133
Grenada,1969,
Guatemala,1969,0.0198
Guinea,1969,0.2
Guinea-Bissau,1969,
Guyana,1969,0.115
Haiti,1969,0.069
Honduras,1969,0.0745
Hungary,1969,0.218
Iceland,1969,0.0333
India,1969,0.075
Indonesia,1969,0.0738
Iran,1969,0.0494
Iraq,1969,0.0405
Ireland,1969,0.0394
Israel,1969,0.0667
Italy,1969,0.0299
Jamaica,1969,0.0595
Japan,1969,0.0165
Jordan,1969,0.0
Kazakhstan,1969,
Kenya,1969,0.0116
Kiribati,1969,
Kuwait,1969,0.0
Kyrgyz Republic,1969,
Lao,1969,0.0136
Latvia,1969,
Lebanon,1969,0.0
Lesotho,1969,0.0484
Liberia,1969,
Libya,1969,0.0522
Liechtenstein,1969,
Lithuania,1969,
Luxembourg,1969,0.0383
Madagascar,1969,0.054
Malawi,1969,
Malaysia,1969,0.0248
Maldives,1969,
Mali,1969,0.0207
Malta,1969,0.0377
Marshall Islands,1969,
Mauritania,1969,0.0
Mauritius,1969,0.0095
Mexico,1969,0.0507
"Micronesia, Fed, Sts,",1969,
Moldova,1969,
Monaco,1969,0.0556
Mongolia,1969,0.219
Montenegro,1969,
Morocco,1969,0.0
Mozambique,1969,
Myanmar,1969,0.0192
Namibia,1969,
Nauru,1969,0.0
Nepal,1969,0.024
Netherlands,1969,0.0533
New Zealand,1969,0.0476
Nicaragua,1969,0.0439
Niger,1969,0.0
Nigeria,1969,
North Korea,1969,0.181
North Macedonia,1969,
Norway,1969,0.0933
Oman,1969,
Pakistan,1969,
Palau,1969,
Panama,1969,0.0231
Papua New Guinea,1969,
Paraguay,1969,0.0356
Peru,1969,0.0132
Philippines,1969,0.0256
Poland,1969,0.135
Portugal,1969,0.0308
Qatar,1969,
Romania,1969,0.144
Russia,1969,
Rwanda,1969,0.0
Samoa,1969,0.0142
San Marino,1969,0.0
Sao Tome and Principe,1969,
Saudi Arabia,1969,
Senegal,1969,0.019
Serbia,1969,
Seychelles,1969,
Sierra Leone,1969,
Singapore,1969,0.0126
Slovak Republic,1969,
Slovenia,1969,
Solomon Islands,1969,
Somalia,1969,0.0
South Africa,1969,0.0132
South Korea,1969,0.0211
South Sudan,1969,
Spain,1969,0.0104
Sri Lanka,1969,0.031
"St, Kitts and Nevis",1969,
"St, Lucia",1969,
"St, Vincent and the Grenadines",1969,
Sudan,1969,0.0147
Suriname,1969,
Sweden,1969,0.113
Switzerland,1969,
Syria,1969,0.0184
Tajikistan,1969,
Tanzania,1969,
Thailand,1969,0.0157
Timor-Leste,1969,
Togo,1969,0.0437
Tonga,1969,
Trinidad and Tobago,1969,0.0867
Tunisia,1969,0.037
Turkey,1969,0.0111
Turkmenistan,1969,
Tuvalu,1969,
Uganda,1969,
Ukraine,1969,
United Arab Emirates,1969,
United Kingdom,1969,0.0413
United States,1969,0.0213
Uruguay,1969,0.0047
Uzbekistan,1969,
Vanuatu,1969,
Venezuela,1969,0.0069
Vietnam,1969,
Yemen,1969,
Zambia,1969,0.0276
Zimbabwe,1969,
Afghanistan,1970,0.0012
Albania,1970,0.273
Algeria,1970,0.0292
Andorra,1970,
Angola,1970,
Antigua and Barbuda,1970,
Argentina,1970,0.0571
Armenia,1970,
Australia,1970,0.0333
Austria,1970,0.0776
Azerbaijan,1970,
Bahamas,1970,
Bahrain,1970,
Bangladesh,1970,
Barbados,1970,
Belarus,1970,
Belgium,1970,0.0256
Belize,1970,
Benin,1970,
Bhutan,1970,0.0088
Bolivia,1970,0.0143
Bosnia and Herzegovina,1970,
Botswana,1970,0.0
Brazil,1970,0.0027
Brunei,1970,
Bulgaria,1970,0.184
Burkina Faso,1970,0.0
Burundi,1970,0.0329
Cambodia,1970,0.0181
Cameroon,1970,0.04
Canada,1970,0.0659
Cape Verde,1970,
Central African Republic,1970,
Chad,1970,
Chile,1970,
China,1970,
Colombia,1970,0.0366
Comoros,1970,
"Congo, Dem, Rep,",1970,0.0286
"Congo, Rep,",1970,0.0625
Costa Rica,1970,0.0702
Cote d'Ivoire,1970,0.03
Croatia,1970,
Cuba,1970,0.191
Cyprus,1970,0.0
Czech Republic,1970,
Denmark,1970,0.151
Djibouti,1970,
Dominica,1970,
Dominican Republic,1970,0.0693
Ecuador,1970,0.0071
Egypt,1970,0.0153
El Salvador,1970,0.0385
Equatorial Guinea,1970,0.0522
Eritrea,1970,
Estonia,1970,
Eswatini,1970,
Ethiopia,1970,0.0118
Fiji,1970,0.0455
Finland,1970,0.165
France,1970,0.0172
Gabon,1970,0.0219
Gambia,1970,0.0
Georgia,1970,
Germany,1970,
Ghana,1970,0.0164
Greece,1970,0.0147
Grenada,1970,
Guatemala,1970,0.0204
Guinea,1970,0.19
Guinea-Bissau,1970,
Guyana,1970,0.119
Haiti,1970,0.0603
Honduras,1970,0.0856
Hungary,1970,0.229
Iceland,1970,0.0417
India,1970,0.0583
Indonesia,1970,0.0727
Iran,1970,0.057
Iraq,1970,0.0431
Ireland,1970,0.0394
Israel,1970,0.0667
Italy,1970,0.0305
Jamaica,1970,0.0622
Japan,1970,0.0285
Jordan,1970,0.0
Kazakhstan,1970,
Kenya,1970,0.0163
Kiribati,1970,
Kuwait,1970,0.0
Kyrgyz Republic,1970,
Lao,1970,0.0203
Latvia,1970,
Lebanon,1970,0.0
Lesotho,1970,0.0524
Liberia,1970,
Libya,1970,0.0562
Liechtenstein,1970,
Lithuania,1970,
Luxembourg,1970,0.0409
Madagascar,1970,0.0645
Malawi,1970,
Malaysia,1970,0.0345
Maldives,1970,
Mali,1970,0.0223
Malta,1970,0.037
Marshall Islands,1970,
Mauritania,1970,0.0
Mauritius,1970,0.0143
Mexico,1970,0.0481
"Micronesia, Fed, Sts,",1970,
Moldova,1970,
Monaco,1970,0.0556
Mongolia,1970,0.222
Montenegro,1970,
Morocco,1970,0.0
Mozambique,1970,
Myanmar,1970,0.0193
Namibia,1970,
Nauru,1970,0.0
Nepal,1970,0.032
Netherlands,1970,0.0233
New Zealand,1970,0.0471
Nicaragua,1970,0.0614
Niger,1970,0.0
Nigeria,1970,
North Korea,1970,0.191
North Macedonia,1970,
Norway,1970,0.109
Oman,1970,
Pakistan,1970,
Palau,1970,
Panama,1970,0.0185
Papua New Guinea,1970,
Paraguay,1970,0.0378
Peru,1970,0.0138
Philippines,1970,0.032
Poland,1970,0.143
Portugal,1970,0.039
Qatar,1970,
Romania,1970,0.145
Russia,1970,
Rwanda,1970,0.0069
Samoa,1970,0.0213
San Marino,1970,0.0133
Sao Tome and Principe,1970,
Saudi Arabia,1970,
Senegal,1970,0.025
Serbia,1970,
Seychelles,1970,
Sierra Leone,1970,
Singapore,1970,0.0081
Slovak Republic,1970,
Slovenia,1970,
Solomon Islands,1970,
Somalia,1970,0.0139
South Africa,1970,0.0136
South Korea,1970,0.0229
South Sudan,1970,
Spain,1970,0.0107
Sri Lanka,1970,0.0321
"St, Kitts and Nevis",1970,
"St, Lucia",1970,
"St, Vincent and the Grenadines",1970,
Sudan,1970,0.0287
Suriname,1970,
Sweden,1970,0.14
Switzerland,1970,
Syria,1970,0.0206
Tajikistan,1970,
Tanzania,1970,0.039
Thailand,1970,0.0113
Timor-Leste,1970,
Togo,1970,0.0504
Tonga,1970,
Trinidad and Tobago,1970,0.0767
Tunisia,1970,0.0345
Turkey,1970,0.0112
Turkmenistan,1970,
Tuvalu,1970,
Uganda,1970,
Ukraine,1970,
United Arab Emirates,1970,
United Kingdom,1970,0.0413
United States,1970,0.0204
Uruguay,1970,0.0062
Uzbekistan,1970,
Vanuatu,1970,
Venezuela,1970,0.0101
Vietnam,1970,
Yemen,1970,
Zambia,1970,0.0364
Zimbabwe,1970,
Afghanistan,1971,0.0024
Albania,1971,0.287
Algeria,1971,0.0309
Andorra,1971,
Angola,1971,
Antigua and Barbuda,1971,
Argentina,1971,0.0621
Armenia,1971,
Australia,1971,0.0108
Austria,1971,0.0855
Azerbaijan,1971,
Bahamas,1971,
Bahrain,1971,
Bangladesh,1971,
Barbados,1971,
Belarus,1971,
Belgium,1971,0.0282
Belize,1971,
Benin,1971,
Bhutan,1971,0.0095
Bolivia,1971,0.0159
Bosnia and Herzegovina,1971,
Botswana,1971,0.0
Brazil,1971,0.0026
Brunei,1971,
Bulgaria,1971,0.188
Burkina Faso,1971,0.0022
Burundi,1971,0.0388
Cambodia,1971,0.0213
Cameroon,1971,0.05
Canada,1971,0.0674
Cape Verde,1971,
Central African Republic,1971,
Chad,1971,
Chile,1971,
China,1971,
Colombia,1971,0.0378
Comoros,1971,
"Congo, Dem, Rep,",1971,0.039
"Congo, Rep,",1971,0.0631
Costa Rica,1971,0.0658
Cote d'Ivoire,1971,0.0442
Croatia,1971,
Cuba,1971,0.197
Cyprus,1971,0.0
Czech Republic,1971,
Denmark,1971,0.173
Djibouti,1971,
Dominica,1971,
Dominican Republic,1971,0.0879
Ecuador,1971,0.0066
Egypt,1971,0.0222
El Salvador,1971,0.0385
Equatorial Guinea,1971,0.05
Eritrea,1971,
Estonia,1971,
Eswatini,1971,
Ethiopia,1971,0.0114
Fiji,1971,0.0405
Finland,1971,0.19
France,1971,0.0141
Gabon,1971,0.029
Gambia,1971,0.0
Georgia,1971,
Germany,1971,
Ghana,1971,0.0186
Greece,1971,0.016
Grenada,1971,
Guatemala,1971,0.0254
Guinea,1971,0.182
Guinea-Bissau,1971,
Guyana,1971,0.124
Haiti,1971,0.0517
Honduras,1971,0.0968
Hungary,1971,0.239
Iceland,1971,0.05
India,1971,0.0405
Indonesia,1971,0.0717
Iran,1971,0.064
Iraq,1971,0.0457
Ireland,1971,0.0394
Israel,1971,0.0667
Italy,1971,0.031
Jamaica,1971,0.0649
Japan,1971,0.0518
Jordan,1971,0.0
Kazakhstan,1971,
Kenya,1971,0.0209
Kiribati,1971,
Kuwait,1971,0.0
Kyrgyz Republic,1971,
Lao,1971,0.0271
Latvia,1971,
Lebanon,1971,0.0
Lesotho,1971,0.0565
Liberia,1971,
Libya,1971,0.0592
Liechtenstein,1971,
Lithuania,1971,
Luxembourg,1971,0.0435
Madagascar,1971,0.06
Malawi,1971,0.0667
Malaysia,1971,0.0345
Maldives,1971,
Mali,1971,0.0239
Malta,1971,0.0364
Marshall Islands,1971,
Mauritania,1971,0.0
Mauritius,1971,0.019
Mexico,1971,0.0524
"Micronesia, Fed, Sts,",1971,
Moldova,1971,
Monaco,1971,0.0556
Mongolia,1971,0.224
Montenegro,1971,
Morocco,1971,0.0
Mozambique,1971,
Myanmar,1971,0.0195
Namibia,1971,
Nauru,1971,0.0
Nepal,1971,0.0333
Netherlands,1971,0.0133
New Zealand,1971,0.0465
Nicaragua,1971,0.0766
Niger,1971,0.005
Nigeria,1971,
North Korea,1971,0.2
North Macedonia,1971,
Norway,1971,0.125
Oman,1971,
Pakistan,1971,
Palau,1971,
Panama,1971,0.0116
Papua New Guinea,1971,
Paraguay,1971,0.04
Peru,1971,0.0143
Philippines,1971,0.125
Poland,1971,0.151
Portugal,1971,0.0468
Qatar,1971,
Romania,1971,0.146
Russia,1971,
Rwanda,1971,0.0134
Samoa,1971,0.0213
San Marino,1971,0.0267
Sao Tome and Principe,1971,
Saudi Arabia,1971,
Senegal,1971,0.0304
Serbia,1971,
Seychelles,1971,
Sierra Leone,1971,
Singapore,1971,0.004
Slovak Republic,1971,
Slovenia,1971,
Solomon Islands,1971,
Somalia,1971,0.0267
South Africa,1971,0.0135
South Korea,1971,0.0245
South Sudan,1971,
Spain,1971,0.0111
Sri Lanka,1971,0.031
"St, Kitts and Nevis",1971,
"St, Lucia",1971,
"St, Vincent and the Grenadines",1971,
Sudan,1971,0.0421
Suriname,1971,
Sweden,1971,0.165
Switzerland,1971,0.0492
Syria,1971,0.0227
Tajikistan,1971,
Tanzania,1971,0.0482
Thailand,1971,0.0061
Timor-Leste,1971,
Togo,1971,0.0569
Tonga,1971,
Trinidad and Tobago,1971,0.0667
Tunisia,1971,0.0321
Turkey,1971,0.0114
Turkmenistan,1971,
Tuvalu,1971,
Uganda,1971,
Ukraine,1971,
United Arab Emirates,1971,0.0
United Kingdom,1971,0.0405
United States,1971,0.0241
Uruguay,1971,0.0078
Uzbekistan,1971,
Vanuatu,1971,
Venezuela,1971,0.0134
Vietnam,1971,
Yemen,1971,
Zambia,1971,0.0444
Zimbabwe,1971,
Afghanistan,1972,0.0035
Albania,1972,0.302
Algeria,1972,0.0324
Andorra,1972,
Angola,1972,
Antigua and Barbuda,1972,
Argentina,1972,0.0665
Armenia,1972,
Australia,1972,0.0
Austria,1972,0.176
Azerbaijan,1972,
Bahamas,1972,
Bahrain,1972,
Bangladesh,1972,
Barbados,1972,
Belarus,1972,
Belgium,1972,0.0282
Belize,1972,
Benin,1972,
Bhutan,1972,0.0103
Bolivia,1972,0.0175
Bosnia and Herzegovina,1972,
Botswana,1972,0.0
Brazil,1972,0.0025
Brunei,1972,
Bulgaria,1972,0.189
Burkina Faso,1972,0.0044
Burundi,1972,0.0444
Cambodia,1972,0.0241
Cameroon,1972,0.0552
Canada,1972,0.0361
Cape Verde,1972,
Central African Republic,1972,
Chad,1972,
Chile,1972,
China,1972,
Colombia,1972,0.0391
Comoros,1972,
"Congo, Dem, Rep,",1972,0.0515
"Congo, Rep,",1972,0.0636
Costa Rica,1972,0.0614
Cote d'Ivoire,1972,0.0574
Croatia,1972,
Cuba,1972,0.203
Cyprus,1972,0.0
Czech Republic,1972,
Denmark,1972,0.162
Djibouti,1972,
Dominica,1972,
Dominican Republic,1972,0.105
Ecuador,1972,0.0061
Egypt,1972,0.0211
El Salvador,1972,0.0385
Equatorial Guinea,1972,0.048
Eritrea,1972,
Estonia,1972,
Eswatini,1972,0.0267
Ethiopia,1972,0.011
Fiji,1972,0.0385
Finland,1972,0.215
France,1972,0.022
Gabon,1972,0.036
Gambia,1972,0.0
Georgia,1972,
Germany,1972,
Ghana,1972,0.0207
Greece,1972,0.0173
Grenada,1972,0.143
Guatemala,1972,0.0303
Guinea,1972,0.176
Guinea-Bissau,1972,0.0833
Guyana,1972,0.128
Haiti,1972,0.0431
Honduras,1972,0.0917
Hungary,1972,0.251
Iceland,1972,0.05
India,1972,0.0741
Indonesia,1972,0.0721
Iran,1972,0.0648
Iraq,1972,0.0481
Ireland,1972,0.0394
Israel,1972,0.0667
Italy,1972,0.0315
Jamaica,1972,0.0676
Japan,1972,0.0143
Jordan,1972,0.0
Kazakhstan,1972,
Kenya,1972,0.0256
Kiribati,1972,
Kuwait,1972,0.0
Kyrgyz Republic,1972,
Lao,1972,0.0339
Latvia,1972,
Lebanon,1972,0.0
Lesotho,1972,0.0605
Liberia,1972,
Libya,1972,0.0616
Liechtenstein,1972,
Lithuania,1972,
Luxembourg,1972,0.046
Madagascar,1972,0.0553
Malawi,1972,0.0673
Malaysia,1972,0.037
Maldives,1972,
Mali,1972,0.0255
Malta,1972,0.0351
Marshall Islands,1972,
Mauritania,1972,0.0091
Mauritius,1972,0.0238
Mexico,1972,0.0563
"Micronesia, Fed, Sts,",1972,
Moldova,1972,
Monaco,1972,0.0556
Mongolia,1972,0.227
Montenegro,1972,
Morocco,1972,0.0
Mozambique,1972,
Myanmar,1972,0.0197
Namibia,1972,
Nauru,1972,0.0
Nepal,1972,0.0323
Netherlands,1972,0.1
New Zealand,1972,0.046
Nicaragua,1972,0.09
Niger,1972,0.0097
Nigeria,1972,
North Korea,1972,0.209
North Macedonia,1972,
Norway,1972,0.14
Oman,1972,
Pakistan,1972,
Palau,1972,
Panama,1972,0.0
Papua New Guinea,1972,
Paraguay,1972,0.0422
Peru,1972,0.0149
Philippines,1972,0.0685
