Code_Agence,Nom_Agence,Code_Adresse
"AG0535","Agence de BEZONS","AD0869"
"AG0536","Agence de SAINT-GRATIEN","AD0870"
"AG0537","Agence de TAVERNY","AD0871"
"AG0538","Agence de CORMEILLES-EN-PARISIS","AD0872"
"AG0539","Agence de SANNOIS","AD0873"
"AG0540","Agence de SAINT-LEU-LA-FORET","AD0874"
"AG0541","Agence de SAINT-OUEN-L'AUMONE","AD0875"
"AG0542","Agence de PERSAN","AD0876"
"AG0543","Agence de L'ISLE-ADAM","AD0877"
"AG0544","Agence de GARGES-LES-GONESSE","AD0878"
"AG0545","Agence de MONTMAGNY","AD0879"
"AG0546","Agence de MONTIGNY-LES-CORMEILLES","AD0880"
"AG0547","Agence de EAUBONNE","AD0881"
"AG0548","Agence de ARGENTEUIL","AD0882"
"AG0549","Agence de VILLIERS-LE-BEL","AD0883"
"AG0550","Agence de ROBERT","AD0913"
"AG0551","Agence de SAINT-JOSEPH","AD0914"
"AG0552","Agence de SAINTE-MARIE","AD0915"
"AG0553","Agence de SHOELCHER","AD0916"
"AG0554","Agence de TRINITE","AD0917"
"AG0555","Agence de CAYENNE","AD0918"
"AG0556","Agence de KOUROU","AD0919"
"AG0557","Agence de MATOURY","AD0920"
"AG0558","Agence de REMIRE-MONTJOLY","AD0921"
"AG0559","Agence de SAINT-LAURENT-DU-MARONI","AD0922"
"AG0560","Agence de AVIRONS","AD0923"
"AG0561","Agence de BRAS-PANON","AD0924"
"AG0562","Agence de ETANG-SALE","AD0925"
"AG0563","Agence de PETITE-ILE","AD0926"
"AG0564","Agence de PORT","AD0927"
"AG0565","Agence de POSSESSION","AD0928"
"AG0566","Agence de SAINT-ANDRE","AD0929"
"AG0567","Agence de SAINT-BENOIT","AD0930"
"AG0568","Agence de SAINT-DENIS","AD0931"
"AG0569","Agence de SAINT-JOSEPH","AD0932"
"AG0570","Agence de SAINT-LEU","AD0933"
"AG0571","Agence de SAINT-LOUIS","AD0934"
"AG0572","Agence de SAINT-PAUL","AD0935"
"AG0573","Agence de SAINT-PIERRE","AD0936"
"AG0574","Agence de SAINTE-MARIE","AD0937"
"AG0575","Agence de SAINTE-SUZANNE","AD0938"
"AG0576","Agence de TAMPON","AD0939"
"AG0577","Agence de BANDRABOUA","AD0940"
"AG0578","Agence de DEMBENI","AD0941"
"AG0579","Agence de TSINGONI","AD0946"
"AG0580","Agence de SAINT MARTIN","AD0947"
